"Aaron Becker-Scheidl"	"Marta-Zehetner-Weg 454
8480 Zeltweg" 
"Univ.Prof. Lisa Eichhorn"	"Ariana-Seiser-Platz 33
5984 Hainfeld"
"Miriam Mörth"	"Cristiano-Hemetsberger-Straße 7/4
4287 Schärding"
"Friedrich Wittmann-Kaspar"	"Aichholzerweg 741
9940 Bludenz"
"Charlotte Graf"	"Aron-Leutgeb-Straße 07
5241 Neunkirchen"
"Damian Maierhofer"	"Johanna-Strobl-Gasse 48
9008 Trieben"
"Prof. Selin Kral"	"Hubmannstraße 5/1
5403 Gänserndorf"
"Maksim Stoiber"	"Emilia-Prem-Ring 53
9402 Feldkirchen"
"Kai Holzer-Maringer"	"Auerweg 7
8345 Laa an der Thaya"
"Fiona Roth-Böhm"	"Gutmanngasse 083
4055 Murau"
"Viktoria Dorfer"	"Eberhardplatz 81
2791 Steyr"
"Univ.Prof. Lorenzo Ringhofer"	"Zaunerstraße 0
9837 Schrattenthal"
"Jakob Mohr"	"Hufnaglstr. 3/2
1681 Freistadt"
"Marina Zenz"	"Karoline-Gratz-Straße 332
4157 Schwechat"
"Ing. Louis Schlager"	"Andjela-Nagel-Ring 00
3977 Retz"
"Sascha Lorenz"	"Leoni-Mathis-Ring 926
3801 Melk"
"Liliane Angerer"	"Dennis-Schönberger-Ring 882
6310 Schrattenthal"
"Viktor Laimer"	"Edda-Forstner-Gasse 57
6881 Maissau"
"Nikola Gärtner"	"Jasmine-Steinbacher-Straße 34
4615 Perg"
"Nikola Fritsch-Lorenz"	"Jasmina-Müllner-Gasse 30
6286 Gerasdorf bei Wien"
"Carolina Krall"	"Gmeinerring 893
2004 Kufstein"
"Univ.Prof. Maksim Krenn"	"Schusterweg 773
4036 Schwaz"
"Daniela Danninger-Mayer"	"Gattringerstraße 43
6083 Murau"
"Adam Keplinger"	"Scheerweg 5
3049 Murau"
"Filip Taferner"	"Eric-Lindner-Gasse 021
5934 Eisenstadt"
"Domenica Kaufmann"	"Oskar-Krainz-Platz 6/6
3608 Laakirchen"
"Marijana Schinnerl"	"Lucie-Schiestl-Straße 49
2853 Mannersdorf am Leithagebirge"
"Nikita Oberhofer"	"Frida-Lintner-Straße 0/4
6972 Vöcklabruck"
"Tobias Hattinger-Adler"	"Zehetnerstr. 3/7
7822 Völkermarkt"
"Prof. Jessica Enzinger"	"Lengauerring 14
8269 Bruck an der Leitha"
"Laura Lintner"	"Steurerweg 34
5584 Sankt Pölten"
"Univ.Prof. Marcus Reischl"	"Krausweg 9
4142 Lilienfeld"
"Danilo Grünberger"	"Joststraße 5/5
8821 Hallein"
"Martin Haider-Höller"	"Pointnerplatz 8/5
8902 Ternitz"
"William Beck"	"Froschauerring 8/0
5451 Langenlois"
"Calvin Huber"	"Florian-Ulrich-Straße 7
6660 Zeltweg"
"Nicola Heinzl"	"Yvonne-Stadler-Platz 879
2670 Weiz"
"Marcus Pühringer"	"Clarissa-Hirsch-Gasse 0
8362 Poysdorf"
"Dominik Leutgeb-Schweighofer"	"Sofija-Simic-Straße 155
9676 Dürnstein"
"Rachel Wilfinger"	"Dario-Dietrich-Gasse 6/2
7924 Raabs an der Thaya"
"Univ.Prof. Berra Waldner"	"Schwarzingergasse 77
2122 Fürstenfeld"
"Univ.Prof. Marko Loidl"	"Scheiberring 71
9298 Hall in Tirol"
"Univ.Prof. Mira Yilmaz"	"Domenica-Reinbacher-Weg 7/4
1906 Klosterneuburg"
"Luca Strohmeier"	"Marco-Hinterleitner-Weg 2/1
5600 Spittal an der Drau"
"Nisa Stückler"	"Maierring 70
9266 Hainfeld"
"Ismail Weidinger"	"Ralph-Anderl-Weg 0/9
8372 Drosendorf-Zissersdorf 1"
"Ing. Laureen Fleischmann"	"Hafnerweg 91
5424 Drosendorf-Zissersdorf 1"
"Lars Spitzer"	"Leander-Juen-Weg 03
5200 Vöcklabruck"
"Emma Mitter"	"Melanie-Marx-Straße 0
8822 Lilienfeld"
"Daniela Schachner-Lang"	"Leticia-Peter-Gasse 1
4562 Groß-Enzersdorf"
"Isa Wohlmuth"	"Oberndorferstr. 85
1598 Radenthein"
"Univ.Prof. Marvin Werner"	"Aleksander-Jahn-Straße 0
2271 Murau"
"Julijana Zöchling"	"Lukas-Hübner-Straße 8
7690 Oberpullendorf"
"Valentina Geyer"	"Kraftweg 5/6
1648 Gföhl"
"Prof. Carlo Weiss"	"Tea-Gratzer-Straße 397
8226 Feldbach"
"Justus Schwendinger-Gosch"	"Bergerplatz 32
9254 Deutsch-Wagram"
"Raphael Hosp"	"Widhalmweg 3/4
9420 Baden"
"Mario Spiegl"	"Staudingergasse 8
8537 Trieben"
"Felicitas Berger"	"Geierplatz 878
5468 Neusiedl am See"
"Antonia Rössler"	"Schallerweg 325
7635 Leibnitz"
"Ela Kirchmair"	"Ruben-Krenn-Ring 38
1156 Heidenreichstein"
"Univ.Prof. Nina Nußbaumer"	"Timon-Hirsch-Gasse 639
1953 Laakirchen"
"Univ.Prof. Nils Hausberger"	"Krennplatz 5/9
1307 Laakirchen"
"Boris Holler"	"Handlring 8/8
1611 Kufstein"
"Univ.Prof. Noah Kapeller"	"Nicole-Koller-Weg 77
1742 Klagenfurt"
"Frau Nadine Neumayer"	"Glatzring 72
1612 Langenlois"
"Jannik Burgstaller"	"Constanze-Reinprecht-Weg 081
1143 Rohrbach in Oberösterreich"
"Eric Mittermayr-Riepl"	"Schmidgasse 8/8
8595 Wolkersdorf"
"Soraya Reichel"	"Lotta-Schüller-Weg 567
5463 Zell am See"
"Nisa Kofler"	"Haumerweg 8/5
6587 Perg"
"Salma Klug-Blauensteiner"	"Gabriela-Schlager-Straße 83
8287 Hainfeld"
"Univ.Prof. Oskar Vogl"	"Selena-Trattner-Weg 1
5286 Marchegg"
"Moritz Schramm"	"Hellerweg 6
9684 Ternitz"
"Lilian Pichler"	"Laureen-Sattler-Weg 72
7040 Straßburg"
"Jacob Pfeffer"	"Natascha-Kolb-Gasse 544
1430 Pinkafeld"
"Fiona Wolf"	"Schwabgasse 2
2809 Bad Hall"
"James Becker"	"Fröhlichstraße 262
8826 Sankt Veit an der Glan"
"Univ.Prof. Mariana Fritz"	"Neuhauserplatz 87
5908 Pregarten"
"Caroline Schiestl"	"Wittmannstraße 1/5
5184 Mautern an der Donau"
"Liam Steinwender"	"Valentina-Kreuzer-Platz 68
1654 Salzburg"
"Prof. Daniela Frank"	"Leo-Geyer-Platz 606
1909 Purkersdorf"
"Univ.Prof. Phillip Rossmann"	"Schantlstr. 417
1129 Wels"
"Dr. Eric Weiß"	"Magdalena-Engl-Platz 75
8585 Bad Hall"
"Kilian Stiegler-Unger"	"Amelie-Höfler-Platz 463
4879 Neusiedl am See"
"Joseph Weidinger"	"Danilo-Stock-Gasse 5/0
2816 Bregenz"
"Herr Hugo Sorger"	"Sebastian-Mayrhofer-Straße 1
5420 Allentsteig"
"Claudia Paulitsch"	"Madeleine-Bacher-Gasse 9
3808 Bad Hall"
"Aurelio Messner"	"Carla-Stocker-Weg 480
1740 Eferding"
"Jasmine Hörmann"	"Janine-Pammer-Weg 5
2997 Mödling"
"Teodor Pfleger"	"Schneebergerstraße 2
1235 Bad Radkersburg"
"Michelle Breuer"	"Zellerring 1/6
3059 Bad Ischl"
"Univ.Prof. Pia Pock"	"Weningergasse 7/9
9078 Waidhofen an der Thaya"
"Stella Lercher"	"Grünwaldring 0
7339 Waidhofen an der Thaya"
"Adriana Fröhlich"	"Bianca-Haidinger-Platz 208
9658 Freistadt"
"Prof. Melina Keplinger"	"Brandtnerstraße 9
7391 Bad Ischl"
"Nikolina Petz"	"Siglweg 766
9622 Zeltweg"
"Olivia Kirschner"	"Schöpfstraße 4
3947 Villach"
"Valentino Frick"	"Felix-Hummer-Straße 388
7305 Salzburg"
"Lara-Sophie Penz"	"Oberhauserweg 9/0
4357 Bad Vöslau"
"Viktoria Stiegler-Kremser"	"Draxlerstr. 627
7945 Deutschlandsberg"
"Paula Mohr-Frank"	"Klugring 473
3221 Schwaz"
"Univ.Prof. Pia Schönauer"	"Grillgasse 4/8
9988 Bischofshofen"
"Erwin Mark"	"Kopfgasse 520
5764 Bad Hall"
"Tobias Jung"	"Ina-Bäck-Straße 77
7177 Hainfeld"
"Gustav Gratzer"	"Bianca-Kaspar-Platz 6/3
4446 Bad Hall"
"Dipl.-Ing. Luna Aichholzer"	"Jägerring 70
3547 Lienz"
"Lara-Sophie Rechberger"	"Anna-Maria-Klement-Weg 869
8722 Laa an der Thaya"
"Lina Ramsauer"	"Geigerring 32
6750 Peuerbach"
"Julia Pfeifer"	"Schatzlweg 7/5
9495 Marchegg"
"Ing. Luka Rauter"	"Steinböckring 9
2846 Feldkirchen"
"Jakob Schaller"	"Philipp-Neumüller-Gasse 938
6490 Vils"
"Univ.Prof. Raffael Wolf"	"Martegasse 3
1488 Haag"
"Natascha Doppler"	"Angelo-Strobl-Weg 308
2134 Neusiedl am See"
"Tristan Paier"	"Gustav-Braun-Straße 84
8817 Steyregg"
"Lisa-Marie Schwaiger-Schlager"	"Anastasia-Laimer-Gasse 3/2
4386 Rattenberg"
"Constantin Strohmeier"	"Mathias-Knoll-Straße 424
5492 Ebreichsdorf"
"Leon Wenzl"	"Angelika-Keplinger-Ring 7
2303 Enns"
"Selin Kogler"	"Hörmannstraße 573
4985 Liezen"
"Lola Kogler-Postl"	"Dornstraße 771
8558 Hall in Tirol"
"Univ.Prof. Natan Neubacher"	"Riedmannweg 4
5112 Oberndorf bei Salzburg"
"Isabell Ludwig"	"Blumstr. 1/6
4386 Leibnitz"
"Univ.Prof. Rana Kager"	"Schäferstr. 079
2574 Traismauer"
"Helene Glatz-Wechselberger"	"Steinbacherplatz 539
1147 Allentsteig"
"Sabine Steiger"	"Florian-Hartl-Platz 2
5066 Marchtrenk"
"Lily Meindl-Dobler"	"Maximilian-Frick-Weg 9
3780 Korneuburg"
"Univ.Prof. Arda Riepl"	"Eberlstraße 5/1
7927 Hallein"
"Esther Aichholzer"	"Listplatz 084
8658 Landeck"
"Frau Christine Buchner"	"Lukas-Stolz-Platz 70
9924 Gallneukirchen"
"Martina Nöbauer"	"Ebnerstr. 060
9769 Neusiedl am See"
"Frau Yasmina Maringer"	"Ritterstraße 5/7
5932 Deutschlandsberg"
"Nadia Krug-Reischl"	"Schwaighoferstr. 0
9903 Litschau"
"Univ.Prof. Raphael Vogler"	"Constanze-Praxmarer-Gasse 4
5640 Bad Vöslau"
"Fridolin Walder"	"Stecherstraße 7
5823 Mödling"
"Robert Baldauf"	"Ferdinand-Prinz-Weg 326
6562 Völkermarkt"
"Heinrich Foidl"	"Annalena-Hager-Platz 2
9688 Köflach"
"Karl Hinterberger-Siegl"	"Hubmannplatz 9/9
7088 Althofen"
"Sigrid Brunner"	"Großstraße 57
3644 Groß-Siegharts"
"Leonie Rossmann"	"Bergmannstr. 7/8
7999 Poysdorf"
"Univ.Prof. Christopher Frank"	"Sperlstr. 0
1647 Feldkirchen"
"Jamie Oberhofer-Kober"	"Mathilda-Simic-Straße 29
4482 Oberwart"
"Angelina Radl"	"Christopher-Schöberl-Gasse 758
7923 Judenburg"
"Univ.Prof. Ricardo Dallinger"	"Röckstr. 75
2050 Bad Vöslau"
"Prof. Iris Fröhlich"	"Nussbaumerstraße 246
6804 Sankt Veit an der Glan"
"Bernhard Huber"	"Mariana-Blümel-Straße 4/3
7467 Schwaz"
"Stefanie Gruber-Sulzer"	"Emma-Stadler-Weg 570
4970 Ternitz"
"Sophie-Marie Pröll-Götz"	"Heindlweg 0
8361 Grieskirchen"
"Univ.Prof. Tobias Jungwirth"	"Angelo-Pacher-Platz 097
1251 Melk"
"Ronja Jovanovic"	"Mandlweg 597
2425 Tulln an der Donau"
"Univ.Prof. Marlene Oberleitner"	"Ava-Singer-Ring 0
3881 Bregenz"
"Ilias Steinberger"	"Rene-Kaspar-Straße 03
8344 Mautern an der Donau"
"Florentin Schandl"	"Reinerstraße 965
8890 Linz"
"Univ.Prof. Richard Simon"	"Laglerplatz 146
3404 Bad Aussee"
"Lilia Strauss"	"Denkstraße 14
6742 Laakirchen"
"Herr Tom Radl"	"Oskar-Tiefenbacher-Platz 4
4004 Traiskirchen"
"Marko Klement"	"Burgstallerstraße 47
4403 Imst"
"Leonardo Gratzl"	"Grossstraße 828
2882 Friesach"
"Leticia Schäfer"	"Lippgasse 344
4009 Eisenstadt"
"Samuel Füreder-Zechmeister"	"Luise-Pfleger-Platz 855
2560 Berndorf"
"Isabell Kaltenböck"	"Wechselbergerstr. 80
6702 Marchegg"
"Nick Steiner"	"Yvonne-Werner-Gasse 01
9507 Tulln an der Donau"
"Dr. Leander Yilmaz"	"Leonard-Humer-Gasse 916
2337 Weitra"
"Univ.Prof. Robert Reiter"	"Michaela-Sigl-Gasse 5
4443 Bad Leonfelden"
"Alice Hagen"	"Daniel-Hermann-Platz 6/0
2639 Maissau"
"Mila Kugler"	"Moosbruggerstraße 0
5551 Deutsch-Wagram"
"Marie Eberhard-Kirschner"	"Haberlring 3/9
2065 Bregenz"
"Sabrina Fichtinger"	"Reithoferweg 769
3785 Waidhofen an der Ybbs"
"Henrik Paulitsch"	"Redlstraße 2/3
6224 Hainburg an der Donau"
"Mira Trummer"	"Tothstraße 8
4678 Gmünd"
"Ing. Olivia Sperl"	"Pia-Leithner-Straße 539
8941 Gänserndorf"
"Linus Schubert-Schilcher"	"Stefan-Denk-Weg 623
3032 Mautern an der Donau"
"Ing. Patrik Guggenberger"	"Jandlstr. 1/4
5399 Purkersdorf"
"Univ.Prof. Selin Bodner"	"Dannerstraße 4
2210 Straßburg"
"Henri Pölzl"	"Vivian-Reichl-Straße 39
1477 Oberndorf bei Salzburg"
"Nelly Weigl"	"Julian-Becker-Straße 3/1
6646 Marchtrenk"
"Markus Hubmann"	"Großstr. 9/3
5969 Kufstein"
"Mila Kager-Kaufmann"	"Mathias-Stadlbauer-Platz 70
9734 Grieskirchen"
"Annabell Gritsch"	"Karrerring 8/0
5291 Murau"
"Philippa Macher-Rudolf"	"Niederlstraße 959
2605 Trieben"
"Mateo Singer"	"Beckerstr. 3/4
8665 Oberwälz"
"William Hell"	"Schönstr. 3/7
9623 Oberndorf bei Salzburg"
"Leopold Ulrich-Dangl"	"Larchergasse 861
1703 Groß-Siegharts"
"Univ.Prof. Severin Schlosser"	"Prinzstr. 0
7778 Mattersburg"
"Fernando Wenger"	"Voglgasse 9/1
1483 Bruck an der Leitha"
"Adelina Bichler-Martin"	"Hemetsbergerweg 189
1490 Trieben"
"Ing. Eduard Moritz"	"Frickweg 9
2893 Neulengbach"
"Ajna Wiesbauer"	"Stroblstr. 78
5582 Braunau am Inn"
"Mateo Seidl"	"Keplingerstr. 524
8497 Fürstenfeld"
"Sabrina Ott-Mayer"	"Mariam-Köhler-Straße 8
1354 Groß-Siegharts"
"Niklas Pircher"	"Huttererstr. 784
7714 Perg"
"Luis Bogner"	"Lydia-Kofler-Weg 823
3736 Sankt Pölten"
"Ing. Leonardo Reinthaler"	"Richard-Bodner-Gasse 25
2819 Bad Radkersburg"
"Univ.Prof. Siena Koch"	"Riederplatz 178
9130 Althofen"
"Bruno Steinkellner"	"Leonie-Schwendinger-Straße 6
9181 Hallein"
"Sophie Zeilinger"	"Frida-Haberl-Weg 650
9858 Graz"
"Teodor Schaffer"	"Mathilda-Gosch-Straße 309
2276 Vöcklabruck"
"Ing. Anastasia Hirschmann"	"Heidi-Knaus-Ring 0
1300 Bruck an der Mur"
"Maurice Zotter"	"Stoiberweg 2
7432 Geras"
"Carina Gahleitner-Kremser"	"Stegerstraße 0
5828 Pinkafeld"
"Andjelina Freitag"	"Lorena-Hinteregger-Weg 060
9071 Weiz"
"Jonas Tanzer"	"Walderstraße 100
4734 Stockerau"
"Karim Weigl-Lindinger"	"Elisa-Hechenberger-Ring 626
4206 Sankt Pölten"
"Univ.Prof. Theodor Fürst"	"Mina-Lenz-Straße 7
9967 Lilienfeld"
"Ellie Laimer-Mitterlehner"	"Nico-Braun-Platz 7/8
7543 Herzogenburg"
"Joshua Schandl"	"Isa-Schneider-Ring 1
1208 Stockerau"
"Anja Niederl"	"Georg-Forster-Ring 927
6407 Waidhofen an der Ybbs"
"Nico Schmied"	"Nadia-Pühringer-Ring 62
4244 Rust"
"Therese Forster"	"Sahra-Lettner-Gasse 73
8000 Pulkau"
"Sven Kronsteiner"	"Schmuckweg 39
4363 Langenlois"
"Domenica Riener"	"Engelstraße 14
1163 Korneuburg"
"Soraya Singer-Mayerhofer"	"Tina-Blum-Gasse 897
1073 Mannersdorf am Leithagebirge"
"Klara Klotz"	"Lengauergasse 3/6
3023 Hardegg"
"Univ.Prof. Theodora Griesser"	"Ricardo-Schalk-Gasse 99
3140 Fürstenfeld"
"Mariam Freudenthaler"	"Wohlmuthring 1/9
4002 Schwaz"
"Luisa Haiden-Weiß"	"Spreitzerplatz 1/3
8480 Mannersdorf am Leithagebirge"
"Victoria Huber"	"Kuhnstraße 6/1
8941 Fürstenfeld"
"Vera Reindl"	"Riedlstr. 8/0
4337 Leoben"
"Ing. Simon Bartl"	"Niklas-Maierhofer-Gasse 44
8411 Kapfenberg"
"Univ.Prof. Kyra Nowak"	"Schlöglstraße 070
8149 Neunkirchen"
"Ronya Parzer"	"Rabitschplatz 8
4443 Mattighofen"
"Laureen Pfister"	"Jessica-Höfler-Ring 687
1621 Leibnitz"
"Ronya Pokorny"	"Fernando-Zeiner-Platz 7
3660 Tulln an der Donau"
"Univ.Prof. Thomas Kocher"	"Yvonne-Strauss-Gasse 218
1659 Weitra"
"Veronika Kirchmair"	"Sonnleitnerring 858
9249 Groß-Enzersdorf"
"Selma Franz"	"Lena-Neumayer-Weg 4/1
8000 Ebreichsdorf"
"Valentino Hutter"	"Marco-Stummer-Platz 8/7
1711 Landeck"
"Nikolai Nußbaumer"	"Putzstraße 9/3
4034 Zistersdorf"
"Rachel Hainzl"	"Selina-Bogner-Platz 58
5244 Sankt Pölten"
"Ricardo Herzog"	"Riedlweg 07
7421 Rattenberg"
"Zara Klotz-Fuchs"	"Danningerplatz 563
2246 Oberwart"
"Joel Bruckner-Stocker"	"Gratzlstr. 8
8289 Hainburg an der Donau"
"Selena Pröll"	"Pucherstraße 03
6936 Bad Leonfelden"
"Univ.Prof. Thomas Kraus"	"Zoe-Wurm-Gasse 99
8823 Peuerbach"
"Esther Horak-Harrer"	"Melina-Füreder-Gasse 9/6
6923 Oberndorf bei Salzburg"
"Herr Arda Spitzer"	"Hackerweg 4/7
4706 Friedberg"
"Luise Trattner"	"Katja-Mitterer-Ring 0/6
7642 Oberpullendorf"
"Annabella Dallinger"	"Juliana-Neubauer-Straße 17
3731 Gloggnitz"
"Maryam Himmelbauer"	"Kitzlergasse 5
2349 Kapfenberg"
"Fernando Geier-Schmid"	"Anja-Wallner-Weg 0
1359 Korneuburg"
"Eduard Weiser"	"Lucie-Wimmer-Ring 69
6630 Güssing"
"Romy Heim-Kolb"	"Paula-Kaltenbrunner-Weg 7/6
2228 Geras"
"Milo Bock"	"Carl-Bittner-Weg 0/1
5683 Radenthein"
"Univ.Prof. Thomas Staudacher"	"Schweigerplatz 1/5
1520 Enns"
"Lotta Spiegl"	"Nicolai-Schlosser-Weg 6/8
1002 Heidenreichstein"
"Nela Fleischhacker"	"Hirschplatz 0/3
8823 Innsbruck"
"Dipl.-Ing. Kristina Wenzl"	"Brandlstr. 77
5255 Zistersdorf"
"Damian Perner"	"Bognerplatz 7
3888 Groß-Gerungs"
"Ylvie Rieger"	"Schöpfweg 13
2075 Althofen"
"Ajna Aichinger"	"Aaron-Bucher-Platz 0
4005 Freistadt"
"Anton Hausberger"	"Berra-Toth-Weg 6/1
5231 Marchegg"
"Dipl.-Ing. Robert Lichtenegger"	"Gartnerweg 7/3
3993 Leoben"
"Herr Dominik Vogel"	"Karglring 9
4429 Trofaiach"
"Univ.Prof. Verena Seitz"	"Wenzlgasse 8
6481 Amstetten"
"Anja Meister"	"Pendlstr. 4/5
5572 Gföhl"
"Lucie Unterweger-Weninger"	"Tristan-Rausch-Gasse 973
3059 Oberwart"
"Dr. Carina Artner"	"Klotzgasse 7/6
9551 Zwettl"
"Leonie Strasser"	"Tiefenbacherstr. 182
6416 Hall in Tirol"
"Theresa Pöschl"	"Alexandra-Pfeffer-Ring 48
8441 Rottenmann"
"Filip Rechberger"	"Maurice-Reichmann-Gasse 359
7375 Wiener Neustadt"
"Marko Paul-Hausberger"	"Elma-Hofer-Ring 4
1447 Sankt Pölten"
"Tim Fischer-Seidl"	"Thallerring 9/6
4845 Dornbirn"
"Claudia Ludwig-Kreiner"	"Reiterergasse 453
6709 Altheim"
"Univ.Prof. Veronika Pfleger"	"Philippstr. 6/8
7504 Traun"
"David Plank"	"Ylvie-Hartl-Ring 542
5857 Wien"
"Georg Wandl"	"Burgerring 9/2
1425 Mistelbach an der Zaya"
"Katja Rieger"	"Johanna-Knaus-Platz 344
2189 Attnang-Puchheim"
"Julius Baumann"	"Zeilingerplatz 4
8422 Waidhofen an der Ybbs"
"Dora Hauser"	"Engelring 1
7266 Zeltweg"
"Henry Peter"	"Sophie-Reicher-Weg 08
5915 Friedberg"
"Univ.Prof. Leander Hofmann"	"Dominik-Fabian-Ring 6
3377 Salzburg"
"Janine Neureiter"	"Hütterstraße 4/3
2463 Herzogenburg"
"Christoph Buchegger"	"Fankhausergasse 3/6
8196 Trieben"
"Univ.Prof. Viktor Kollmann"	"Schinnerlgasse 07
6711 Steyr"
"Benedict Wögerbauer"	"Theresa-Lackner-Straße 8/0
9971 Ansfelden"
"Clarissa Dittrich-Auinger"	"Valentina-Knoll-Gasse 69
6529 Allentsteig"
"Sara Hartmann-Hollaus"	"Friedlstr. 0/7
6434 Feldkirchen"
"Anja Haring"	"Roman-Haiden-Gasse 79
4296 Laakirchen"
"Marie-Louise Brandner-Wieser"	"Tiffany-Bäck-Gasse 9/8
3201 Traiskirchen"
"Marcel Ecker"	"Griesserplatz 0/2
5871 Oberpullendorf"
"Karl Göschl"	"Grasserplatz 79
4774 Bad Radkersburg"
"Marco Kucera"	"Fleckplatz 3
8932 Schladming"
"Severin Amann-Bader"	"Ralph-Teufl-Weg 642
8420 Raabs an der Thaya"
"Univ.Prof. Zara Klingler"	"Angerergasse 58
5162 Stadtschlaining"
"Dr. Leonard Mair"	"Santnerstr. 93
9290 Sankt Veit an der Glan"
"Eleonora Mittermayr"	"Sieberweg 2/5
4990 Marchtrenk"
"Eva Trummer-Hermann"	"Friedrich-Streicher-Weg 34
2515 Pregarten"
"Herr Paul Postl"	"Kirschnerstr. 5
6264 Mattersburg"
"Herr Kai Kratzer"	"Marcel-Hausberger-Ring 3
6632 Mistelbach an der Zaya"
"Dr. Philippa Grünberger"	"William-Schmidinger-Ring 01
5566 Schladming"
"Lars Weinberger"	"Yvonne-Seidl-Platz 267
8762 Linz"
"Ing. Josef Stelzer"	"Huemerstr. 251
3048 Sankt Veit an der Glan"
"Gabriel Meyer"	"Fuhrmannstr. 621
5743 Vöcklabruck"
"Valentin Wachter-Schrittwieser"	"Merlin-Friedrich-Straße 7
3104 Hardegg"
"Beatrice Siegl"	"Esther-Schlögl-Ring 6/9
6851 Grein"
"Elias Zöhrer"	"Hufnaglstraße 52
5172 Klagenfurt"
"Nina Galler"	"Mannweg 9/9
2001 Imst"
"Elisa Schrempf"	"Doblerstr. 9/6
8626 Hardegg"
"Sabrina Kröll"	"Marissa-Gschwandtner-Weg 429
7734 Sankt Andrä im Lavanttal"
"Ing. Lea-Sophie Hacker"	"Kyra-Engl-Platz 73
3819 Neunkirchen"
"Maja Brandstätter"	"Andjelina-Reiter-Straße 0/2
8204 Groß-Enzersdorf"
"Leonard Lindinger"	"Edda-Gangl-Gasse 76
3470 Friesach"
"Martin Biedermann"	"Huttererstraße 6/5
9687 Voitsberg"
"Valentina Heissenberger-Eberharter"	"Eduard-Holler-Gasse 746
1069 Deutschlandsberg"
"Boris Schneider"	"Benedikt-Löffler-Ring 686
9274 Ybbs an der Donau"
"Darko Grill"	"Krugstraße 4/6
4716 Voitsberg"
"Linda Vogt"	"Catharina-Altmann-Platz 8
5156 Knittelfeld"
"Cecilia Ender"	"Stützplatz 67
9842 Kapfenberg"
"Anabella Denk"	"Hellgasse 583
1016 Zistersdorf"
"Univ.Prof. Liam Steindl"	"Leah-Ringhofer-Ring 3
9705 Frohnleiten"
"Sven Lamprecht"	"Zehetnerstraße 6/6
2172 Schrattenthal"
"Erina Hofer"	"Annalena-Taferner-Ring 72
7112 Hallein"
"Erik Lerch"	"Aurelia-Häusler-Platz 85
7932 Ebenfurth"
"Valentina Pichler"	"Tothplatz 002
2864 Rattenberg"
"Amelie Grünberger"	"Eisnerweg 301
1660 Köflach"
"Elma Grünberger"	"Sophia-Macher-Straße 63
1340 Schärding"
"Frau Milica Rauscher"	"Grasslring 385
3340 Knittelfeld"
"Alice Frank"	"Lea-Thurner-Weg 011
4902 Bärnbach"
"Dipl.-Ing. Michael Grassl"	"Nick-Schrenk-Platz 3
2501 Zeltweg"
"Chris Ernst-Strohmayer"	"Milo-Seiler-Gasse 5
5683 Allentsteig"
"Siena Ender-Gabriel"	"Marijana-Felder-Weg 0/6
2115 Spittal an der Drau"
"Christina Schinnerl"	"Danilo-Tiefenbacher-Ring 48
7089 Linz"
"Anita Meixner"	"Christoph-Hübner-Ring 4/3
2387 Mattighofen"
"Valentino Klug"	"Mert-Lindner-Straße 6
3063 Pöchlarn"
"Ina Gratzer"	"Puchnerplatz 05
2348 Schwechat"
"Prof. Milan Oswald"	"Ellie-Schatz-Straße 245
1507 Krems an der Donau"
"Lilia Kriegl"	"Karina-Eisl-Weg 9
8330 Bischofshofen"
"Nikola Hübner"	"Krainzweg 739
4501 Schärding"
"Johann Obermayr"	"Stögerstr. 2/3
6915 Altheim"
"Claire Krug-Scherr"	"Arthur-Trimmel-Weg 51
1805 Pregarten"
"Linda Kummer"	"Ritterstr. 2
5602 Purbach am Neusiedler See"
"Mario Reinisch-Sperl"	"Kammererweg 99
1641 Deutsch-Wagram"
"Luise Luger"	"Reisnerstr. 1/8
4201 Klosterneuburg"
"Valentino König"	"Ines-Lindinger-Gasse 311
6851 Althofen"
"Joel Varga"	"Finkring 9/8
5847 Bruck an der Mur"
"Stephanie Streicher"	"Ricardo-Maier-Platz 7
6711 Mürzzuschlag"
"Oskar Vogler"	"Polzerweg 6
1366 Bad Sankt Leonhard im Lavanttal"
"Noah Neugebauer"	"Großgasse 5/0
7794 Purbach am Neusiedler See"
"Maximilian Zettl"	"Natalia-Richter-Gasse 3/1
9183 Groß-Siegharts"
"Nora Füreder"	"Leonardo-Bacher-Straße 45
5961 Laakirchen"
"Niklas Klinger"	"Friedrichstraße 9
6158 Köflach"
"Leon Simon"	"Vivian-Steinberger-Weg 8/6
9700 Waidhofen an der Thaya"
"Lola Altmann"	"Kröllplatz 00
4827 Traiskirchen"
"Valentino Sauer"	"Reitbauerstraße 0
7088 Schrattenthal"
"Kerstin Handler"	"Stephanie-Varga-Weg 3
5974 Güssing"
"Sam Schlager"	"James-König-Weg 973
4856 Deutsch-Wagram"
"Igor Springer"	"Marco-Radl-Weg 2
9151 Ried im Innkreis"
"Nadin Trauner"	"Nikolaus-Meier-Gasse 5
5575 Sankt Valentin"
"Cristina Schulz-Dietl"	"Scherrweg 2/5
3454 Oberndorf bei Salzburg"
"Prof. Ben Angerer"	"Jägerweg 9/8
5284 Liezen"
"Joel Trattner"	"Mila-Adler-Weg 3/5
8985 Groß-Enzersdorf"
"Levi Hufnagl"	"Ringhoferring 43
2591 Baden"
"Prof. Ronya Häusler"	"Neuholdweg 911
1310 Eisenstadt"
"Valentino Weidinger"	"Nils-Hörl-Gasse 9/1
3607 Oberndorf bei Salzburg"
