"Adolf Gorenc"|"Hribarjevo nabrežje 6a
7288 Kobarid" 
"Vesna Sitar"|"Brilejeva ulica 6
6190 Bovec"
"Mark Kalan"|"Pahorjeva ulica 9a
5219 Višnja Gora"
"Erika Dolinar"|"Predor pod Gradom 79
2047 Tržič"
"Marinka Medved"|"Vrhovci, cesta XV 7c
5141 Turnišče"
"Nadja Potočnik"|"Ob pristanu 958
8249 Ajdovščina"
"Valentina Šmid"|"Pot za razori 21
7745 Kranj"
"Cecilija Potočnik"|"Čopova ulica 6b
0308 Višnja Gora"
"Albin kuhar"|"Oražnova ulica 85
8795 Ribnica"
"Dušanka Bizjak"|"Kumrovška ulica 3
3875 Šempeter pri Gorici"
"Stjepan Kuhar"|"Pohlinova ulica 6c
9658 Črnomelj"
"Bogdan Babič"|"Zavetiška ulica 0c
5541 Idrija"
"Ljudmila Železnik"|"Brankova ulica 569
3159 Cerknica"
"Jernej Breznik"|"Adamič-Lundrovo nabrežje 1b
9087 Medvode"
"Frančišek Zorman"|"Kavškova ulica 337
2666 Žalec"
"Viktorija Zajc"|"Ulica Janeza Pavla II. 0a
1504 Šentjur"
"Danijel Logar"|"Spomeniška pot 9a
6517 Murska Sobota"
"Stanislava Erjavec"|"Kratka steza 6c
0711 Brežice"
"Neja Rutar"|"Ulica Ernesta Kramerja 951
8685 Šempeter pri Gorici"
"Valentin Vidovič"|"Čižmanova ulica 65
1040 Metlika"
"Stjepan Kumer"|"Pohlinova ulica 4c
7221 Mengeš"
"Sebastjan Popović"|"Krošljeva ulica 4
4665 Grosuplje"
"Ines Zorman"|"Sketova ulica 5b
6843 Maribor"
"Miloš Jelen"|"Kozlarjeva pot 070
6113 Nova Gorica"
"Alja Mrak"|"Vrhovci, cesta XVIII 2a
6092 Kostanjevica na Krki"
"Magda Kocjančič"|"Cesta na Brinovec 415
6923 Mengeš"
"Rafael Kramar"|"Novo Polje, cesta X 7b
6999 Medvode"
"Ljudmila Zemljič"|"Ob pristanu 0
3095 Višnja Gora"
"Miran Breznik"|"Cesta Andreja Bitenca 851
0681 Laško"
"Zlatko Zorman"|"Obrežna steza 1c
4677 Lendava"
"Stjepan Maček"|"Omersova ulica 896
4251 Rogaška Slatina"
"Kaja Tomažič"|"Pučnikova ulica 85
5017 Radovljica"
"Jaka Žižek"|"Tesna ulica 8c
8422 Žalec"
"Vida Majcen"|"Rosna pot 0c
7793 Kočevje"
"Rebeka Rožman"|"Omahnova ulica 03
3167 Piran"
"Zora Kuhar"|"Kadilnikova ulica 4c
3588 Šoštanj"
"Valentina Janežič"|"Murnikova ulica 1b
9436 Vrhnika"
"Milka Novak"|"Rožna dolina, cesta X 1a
3714 Slovenj Gradec"
"Matic Gorjup"|"Polje, cesta XL 7a
9864 Ormož"
"Manca Javornik"|"Cesta Urške Zatlerjeve 0a
6064 Bovec"
"Stjepan Potočnik"|"Gmajnice 1
2329 Ruše"
"Simona Cvetko"|"Cesta vstaje 4b
6725 Višnja Gora"
"Silva Perko"|"Kančeva ulica 5a
7328 Trebnje"
"Jani čeh"|"Demšarjeva cesta 4
9757 Sežana"
"Nevenka Jovanović"|"Mirna pot 335
9029 Sevnica"
"Ernest Novak"|"Tischlerjeva ulica 5b
0589 Slovenska Bistrica"
"Karel Šmid"|"Vrhovci, cesta XVII 5b
3092 Ljubljana"
"Matic Bajc"|"Pod hruško 754
5331 Izola"
"Maja Hafner"|"Frenkova pot 3b
8709 Ilirska Bistrica"
"Vlado Pintarič"|"Putrihova ulica 116
5584 Šentjur"
"Stjepan Rus"|"Pahorjeva ulica 6b
0312 Medvode"
"Nik Sever"|"Grablovičeva ulica 1
2060 Idrija"
"Štefan Fras"|"Dobrdobska ulica 877
9406 Kočevje"
"Marijan Kastelic"|"Spodnji Rudnik III 929
1297 Sežana"
"Albert Vidic"|"Travniška ulica 8b
5310 Trbovlje"
"Polonca čeh"|"Cerkniška ulica 6
8142 Ptuj"
"Marko Čuk"|"Ameriška ulica 4
2745 Ruše"
"Karolina Godec"|"Vrhovci, cesta IX 8c
8562 Ajdovščina"
"Julija Leban"|"Mačja steza 2a
6464 Ilirska Bistrica"
"Slavica Zorko"|"Šmarna gora 83
6443 Idrija"
"Stjepan Rus"|"Pred Savljami 88
0545 Cerknica"
"Valter Golob"|"Udvančeva ulica 8b
2676 Lendava"
"Mira Fras"|"Ulica Štefke Zbašnikove 1c
2314 Gornja Radgona"
"Zdenko Cvetko"|"Kleparska steza 9b
2252 Nova Gorica"
"Martina Jereb"|"Štrekljeva ulica 6
2901 Tržič"
"Grega Jelen"|"Ulica Ivanke Kožuh 0c
1072 Litija"
"Cvetka Petrovič"|"Nazorjeva ulica 2b
1365 Škofja Loka"
"Franci Pavlič"|"Ulica Hermana Potočnika 6c
6043 Sežana"
"Ljubica Kolarič"|"Jarše 1c
2927 Ravne na Koroškem"
"Sandi Blatnik"|"Ulica Vide Pregarčeve 5a
5756 Rogaška Slatina"
"Stojan Kaučič"|"Pavšičeva ulica 5c
3320 Trebnje"
"Grega petek"|"Koblarjeva ulica 9c
3900 Šempeter pri Gorici"
"Marjan Rozman"|"Trebušakova ulica 979
7707 Kočevje"
"Petar Stopar"|"Kapusova ulica 9a
2686 Idrija"
"Alja Rupnik"|"Jarše 1c
1686 Laško"
"Ludvik petek"|"Trebušakova ulica 9a
2770 Turnišče"
"Nika Miklavčič"|"Levarjeva ulica 67
6435 Jesenice"
"Marjan Mlakar"|"Križevniška soteska 836
3820 Trbovlje"
"Slavica Furlan"|"Mali štradon 94
8435 Brežice"
"Karel Kaučič"|"Štukljeva cesta 2a
4750 Grosuplje"
"Stojan Kovač"|"Na požaru 24
4733 Turnišče"
"Damjana Hočevar"|"Snebersko nabrežje 26
0003 Idrija"
"Maksimiljan Resnik"|"Gruberjevo nabrežje 8b
4487 Žalec"
"Danijela žagar"|"Obrije 7
2996 Kobarid"
"Jelka Majcen"|"Cesta na Brod 04
6420 Laško"
"Vera Filipič"|"Kleče 6a
0158 Postojna"
"Edvard Hodžić"|"Bratov Kunovarjev ulica 8
1644 Murska Sobota"
"Živa Fras"|"Ulica Lizike Jančarjeve 9
3720 Hrastnik"
"Laura Hrovat"|"Ulica Konrada Babnika 3
2194 Žalec"
"Kristjan Žnidaršič"|"Merčnikova ulica 3a
1530 Ormož"
"Stojan Pavlin"|"Artačeva ulica 0c
0604 Črnomelj"
"Drago Šmid"|"Prule 8b
4246 Rogaška Slatina"
"Anej Tomšič"|"Levstikov trg 4c
8185 Šempeter pri Gorici"
"Edin Resnik"|"Ajdovščina 9c
7975 Krško"
"Jani Jelen"|"Bizovški štradon 2
9127 Laško"
"Vid Gorenc"|"Kraška ulica 7
5997 Laško"
"Stanislav Jenko"|"Dermotova ulica 2a
7941 Šentjur"
"Miro Zupan"|"Pečnikova ulica 829
8957 Tolmin"
"Blanka Kokalj"|"Breg 8c
7830 Slovenska Bistrica"
"Vera Markovič"|"Krožna pot 2a
4591 Gornja Radgona"
"Stojan Primožič"|"Kosovelova ulica 3b
4222 Slovenj Gradec"
"Klemen Zalokar"|"Ulica Angelce Ocepkove 0a
8269 Domžale"
"Miroslava Kokalj"|"Proletarska cesta 5a
7881 Tržič"
"Jelka Kocjančič"|"Na produ 56
3726 Lendava"
"Robert Vidovič"|"Orlova ulica 9b
4319 Nova Gorica"
"Jernej Božič"|"Kopna pot 9
1132 Domžale"
"Marijan Janežič"|"Vrhovci, cesta XVII 482
5336 Kranj"
"Branka Kovač"|"Park Ajdovščina 9
2261 Idrija"
"Zora Stopar"|"Ulica Franca Nebca 47
7318 Bled"
"Alja Primožič"|"Ločnikarjeva ulica 76
3169 Ravne na Koroškem"
"Stojan Rutar"|"Blasov breg 0c
7000 Maribor"
"Blaž Zorko"|"Vregova ulica 765
6569 Ribnica"
"Stanka Dolinar"|"Vojkova cesta 51
7020 Mengeš"
"Franc Jug"|"Gašperšičeva ulica 1c
6053 Mežica"
"Gregor Košir"|"Trbeže 6c
2030 Prevalje"
"Janez Kotnik"|"Rožna dolina, cesta V 8a
9365 Piran"
"Aleks Krivec"|"Tesovnikova ulica 3b
2810 Bled"
"Nada Rupnik"|"Balinarska pot 0
1753 Žalec"
"Štefan Bukovec"|"Ob pristanu 0b
2804 Grosuplje"
"Leon Černe"|"Pesarska cesta 564
5961 Piran"
"Stojan Vidmar"|"Sajovčeva ulica 9a
8022 Šentjur"
"Julijana Zajc"|"Dajnkova ulica 2b
3655 Mengeš"
"Sašo Kosi"|"Idrijska ulica 307
8024 Murska Sobota"
"Justina Mavrič"|"Hafnerjeva ulica 6c
8430 Piran"
"Zora Šmid"|"Bilečanska ulica 5a
0647 Ribnica"
"Jasna Čuk"|"Cesta Ceneta Štuparja 6a
7765 Krško"
"Darja Kalan"|"Drabosnjakova ulica 01
0142 Dravograd"
"Sebastijan Zupan"|"Pot v Čeželj 098
1016 Radovljica"
"Tatjana Pirnat"|"Srebrničeva ulica 0a
4210 Brežice"
"Mark Toplak"|"Hlebčeva ulica 9a
9987 Novo mesto"
"Suzana Babič"|"Trtnikova ulica 943
3498 Velenje"
"Albina Pintar"|"Podsmreška cesta 21
6617 Hrastnik"
"Andreja Blatnik"|"Križna ulica 3a
6367 Cerknica"
"Miran Primožič"|"Medveščkova ulica 73
4272 Rogaška Slatina"
"Ivana Turk"|"Gustinčarjeva ulica 4
3043 Črnomelj"
"Alja Tavčar"|"Bobrova ulica 55
2681 Kranj"
"Franc Filipič"|"Kozinova ulica 8b
3493 Celje"
"Slavko Jarc"|"Ulica Jožeta Jame 04
9787 Zagorje ob Savi"
"Miroslav Medved"|"Pot k igrišču 2a
0697 Ptuj"
"Miran Krivec"|"Strupijevo nabrežje 8c
5027 Vrhnika"
"Suzana Bregar"|"Polje, cesta XIV 34
7146 Železniki"
"Alenka Jug"|"Jenkova ulica 7a
4123 Šempeter pri Gorici"
"Silva Perko"|"Kocjanova ulica 9c
0125 Dravograd"
"Polonca Pirc"|"Artačeva ulica 6c
1292 Ljutomer"
"Adrijana Rožman"|"Ulica Malči Beličeve 32
6930 Velenje"
"Romana Jenko"|"Pretnarjeva ulica 03
0659 Litija"
"Marta Logar"|"Belačeva ulica 97
8951 Tržič"
"Miroslava Stopar"|"Pahorjeva ulica 3c
6220 Laško"
"Patricija Dolinšek"|"Prekmurska ulica 6
1482 Nova Gorica"
"Sanja Košir"|"Kozlarjeva pot 56
1655 Prevalje"
"Suzana Bukovec"|"Srebrničeva ulica 0c
6178 Metlika"
"Gordana Gregorič"|"Omahnova ulica 4c
7344 Celje"
"Hermina Mlakar"|"Trg republike 8
8290 Grosuplje"
"Jelena Tomažič"|"Zavetiška ulica 62
8566 Žalec"
"Nina Petrovič"|"Mirna pot 8a
7408 Litija"
"Pavla Breznik"|"Pod jelšami 9c
0876 Lendava"
"Nevenka Lebar"|"Vrhovci, cesta II 4a
9257 Idrija"
"Ajda Zupančič"|"Bobrova ulica 0c
7669 Murska Sobota"
"Anže Cerar"|"V Murglah 99
9761 Vipavski Križ"
"Viktorija Korošec"|"Grška ulica 6a
7235 Velenje"
"Suzana Jelen"|"Jamova cesta 7b
0297 Litija"
"Mirko kuhar"|"Podutiška cesta 2a
0602 Slovenj Gradec"
"Aleksandra Zupanc"|"Kraška ulica 1c
9902 Medvode"
"Timotej Pečnik"|"Zoisova cesta 30
8856 Šentjur"
"Darko Rožman"|"Polje, cesta XXX 346
7294 Prevalje"
"Danijela Rožič"|"Švarova ulica 500
1656 Piran"
"Magdalena Bevc"|"Pot k Savi 696
1562 Lenart v Slovenskih goricah"
"Maruša Mrak"|"Skrbinškova ulica 59
3975 Lendava"
"Darko Tavčar"|"Novo Polje, cesta XVII 1
6563 Maribor"
"Jernej Skok"|"Soška ulica 6c
6920 Gornja Radgona"
"Suzana Kaučič"|"Zofke Kvedrove ulica 4b
5093 Prevalje"
"Amalija Sitar"|"Vrtnarska cesta 44
5604 Prevalje"
"Simona žagar"|"Livarska ulica 2
9506 Ilirska Bistrica"
"Izidor Koželj"|"Kurilniška ulica 2c
5962 Postojna"
"Valentina Blažič"|"Pot na Gradišče 4c
1897 Cerknica"
"Iris Jug"|"Marincljeva ulica 33
5554 Ptuj"
"Albina Likar"|"Rudnik II 1a
6083 Zagorje ob Savi"
"Stjepan Zupančič"|"Mire Lenardičeve ulica 4
7683 Krško"
"Ksenija Javornik"|"Prvomajska ulica 8a
8770 Trbovlje"
"Slavica Sever"|"Pri mostiščarjih 2c
2186 Logatec"
"Suzana Kolarič"|"Pri brvi 0
6007 Lendava"
"Ana Dolinšek"|"Bičevje 0b
4216 Metlika"
"Jožica Eržen"|"Bognarjeva pot 5
5390 Litija"
"Grega Kos"|"Bezenškova ulica 4c
3321 Laško"
"Barbara Rajh"|"Čehova ulica 7a
2675 Gornji Grad"
"Bernard Žnidaršič"|"Podjunska ulica 7a
4840 Ruše"
"Matilda Sitar"|"Kanonijeva cesta 10
3320 Bled"
"Marijana Vidovič"|"Pot k sejmišču 734
6967 Metlika"
"Hana Tomažič"|"Štradon čez Prošco 43
0160 Radeče"
"Rajko Javornik"|"V dolini 6
1697 Mežica"
"Suzana Lebar"|"Viška cesta 076
4585 Dravograd"
"Vida Rutar"|"Drenikov vrh 2
2992 Vipava"
"Cvetka Žnidaršič"|"Ulica bratov Blanč 081
2320 Žiri"
"Maja Žnidaršič"|"Tržna ulica 8
4464 Tolmin"
"Nikola Leskovar"|"Novo Polje, cesta XIX 3b
1333 Litija"
"Stojan Kosi"|"Bizjanova ulica 54
5904 Brežice"
"Brigita Jamnik"|"Papirniška pot 3
4664 Cerknica"
"Mojca Jug"|"Prijateljeva ulica 06
8629 Šoštanj"
"Franc Šuštar"|"Mala ulica 68
1204 Tržič"
"Goran kuhar"|"Kerševanova ulica 11
5627 Slovenj Gradec"
"Suzana Novak"|"Petrčeva ulica 7c
9871 Žiri"
"Janko Rutar"|"Žeje 685
6407 Škofja Loka"
"Matevž Kovačič"|"Kudrova ulica 35
5931 Medvode"
"Živa Zalokar"|"Filipičeva ulica 98
6119 Jesenice"
"Lilijana Lebar"|"V Zalar 36
3211 Izola"
"Živa Javornik"|"Poljedelska ulica 91
2608 Idrija"
"Hana Kuhar"|"Keržičeva ulica 7
9165 Nova Gorica"
"Vlasta Rupnik"|"Franketova ulica 595
6950 Jesenice"
"Leon Kosi"|"Korotanska ulica 0a
1582 Ljutomer"
"Nik Demšar"|"Breznikova ulica 5c
5494 Šentjur"
"Suzana Rutar"|"Pod bregom 0c
9068 Trbovlje"
"Damjan Cerar"|"Hradeckega cesta 4c
5360 Slovenske Konjice"
"Marjeta Šuštar"|"Gasparijeva ulica 9a
0921 Rogaška Slatina"
"Ajda Dolenc"|"Podjunska ulica 5
2678 Ruše"
"Katarina Lesjak"|"Vinterca 7
7178 Vipavski Križ"
"Tadej Bukovec"|"Vrazov trg 300
8793 Novo mesto"
"Mark Likar"|"Gorjupova ulica 7c
0231 Bled"
"Sanja Dolenc"|"Kolarjeva ulica 6c
7046 Vipavski Križ"
"Stjepan Hozjan"|"Zakotnikova ulica 4
4045 Ruše"
"Kristijan Lesjak"|"Juvanova ulica 97
1206 Jesenice"
"Tadej Ilić"|"Jamova cesta 6
1761 Hrastnik"
"Anja Mlakar"|"Juvanova ulica 3
2855 Gornji Grad"
"Andreja žagar"|"Rožna dolina, cesta VIII 3c
3131 Trebnje"
"Tilen Hribernik"|"Novo Polje, cesta XXIII 851
7140 Slovenske Konjice"
"Blaž Bizjak"|"Slovenčeva ulica 6c
3119 Mežica"
"Franci Zver"|"Regentova cesta 408
5566 Domžale"
"Jelka Mlinarič"|"Mekinčeva ulica 1a
2225 Kobarid"
"Erna Kaučič"|"Dvorakova ulica 262
1892 Sevnica"
"Ivana žagar"|"Prijateljeva ulica 4a
1526 Sežana"
"Marijan Rozman"|"Vrhovci, cesta XI 63
7438 Kobarid"
"Tadej Kaučič"|"Pri mostiščarjih 4a
0820 Mežica"
"Ema Zver"|"Štajerska cesta 1b
6903 Ajdovščina"
"Emilija Filipič"|"Vinterca 68
3960 Litija"
"Mirsad Jerman"|"Lončarska steza 4c
4029 Radeče"
"Milica Tomažič"|"Na gaju 0b
4339 Rogaška Slatina"
"Zofija Rožič"|"Aljaževa ulica 4
0889 Rogaška Slatina"
"Nika Ilić"|"Kardeljeva ploščad 2c
6769 Slovenske Konjice"
"Anka Sever"|"Kopališka ulica 2b
9810 Domžale"
"Pia Košir"|"Kettejeva ulica 8b
2959 Maribor"
"Boris Koželj"|"Mislejeva ulica 9b
2108 Prevalje"
"Tadej Kokalj"|"Rozmanova ulica 0c
6508 Vrhnika"
"Natalija Tratnik"|"Kurilniška ulica 0a
1862 Kranj"
"Milan Pirc"|"Parmova ulica 7
2890 Novo mesto"
"Gorazd Kosi"|"Gorjančeva ulica 9c
3405 Litija"
"Monika Krajnc"|"Koblarjeva ulica 309
0068 Škofja Loka"
"Ana Vidovič"|"Kolesarska pot 1c
7625 Kamnik"
"Julija Jelen"|"Reboljeva ulica 5
7077 Velenje"
"Ciril Golob"|"Moškričeva ulica 515
0317 Celje"
"Miro Štrukelj"|"Partizanska ulica 93
0169 Slovenj Gradec"
"Tea Turk"|"Windischerjeva ulica 0c
7948 Mežica"
"Tadej Vidovič"|"Ulica Pariške komune 4c
1040 Tolmin"
"Matevž ribič"|"Blasov breg 6b
0446 Ljutomer"
"Jožica čeh"|"Polje, cesta XXXVIII 1a
7541 Radovljica"
"Nika Žagar"|"Kleče 5b
3107 Škofja Loka"
"Erika Kodrič"|"Gradnikova ulica 5
3896 Ruše"
"Nika Fras"|"Ob zelenici 3a
1147 Brežice"
"Aleksander Blažič"|"Kumrovška ulica 6b
9211 Slovenska Bistrica"
"Ciril Zalokar"|"Prušnikova ulica 699
9700 Ravne na Koroškem"
"Slobodan Jarc"|"Dalmatinova ulica 81
4031 Škofja Loka"
"Stjepan Kolenc"|"Regentova cesta 7
1702 Šentjur"
"Tadeja Jovanović"|"Baragova ulica 44
3611 Litija"
"Zdravko Zakrajšek"|"Zupanova ulica 501
8718 Brežice"
"Ivana Pečnik"|"Langusova ulica 677
3975 Mežica"
"Jernej Stopar"|"Pod bregom 124
8478 Sežana"
"Živa Simonič"|"Šarhova ulica 9c
5525 Šempeter pri Gorici"
"Simona Pirnat"|"Kardeljeva ploščad 23
2316 Gornji Grad"
"Lidija Zver"|"Krovska ulica 6b
3444 Višnja Gora"
"Rebeka Šinkovec"|"Soteška pot 6a
6343 Višnja Gora"
"Anja Leban"|"Tomačevska cesta 9b
1129 Višnja Gora"
"Sandi Kolarič"|"Uršičev štradon 9b
3220 Radovljica"
"Tadeja Kovač"|"Fabianijeva ulica 768
6676 Črnomelj"
"Lilijana Koren"|"Dražgoška ulica 81
1787 Maribor"
"Milica Resnik"|"Škofova ulica 2a
2622 Trbovlje"
"Mirsad Erjavec"|"Hacetova ulica 01
8928 Ormož"
"Goran Bevc"|"Dajnkova ulica 70
4099 Cerknica"
"Zlatko Sušnik"|"Potokarjeva ulica 6c
3958 Tolmin"
"Zvonko Jelen"|"Ob Savi 4
9193 Trebnje"
"Karolina Sitar"|"Gašperšičeva ulica 8a
5682 Slovenska Bistrica"
"Rafael Žibert"|"Flandrova ulica 8a
5133 Slovenska Bistrica"
"Rok Kos"|"Pot v mejah 390
0226 Logatec"
"Taja Bizjak"|"Parmova ulica 8
2746 Tržič"
"Daniel Kočevar"|"Jalnova ulica 0b
2701 Postojna"
"Ernest Filipič"|"Snebersko nabrežje 5b
1908 Postojna"
"Rebeka Stopar"|"Cesta vstaje 5a
1756 Lendava"
"Marijan Žnidaršič"|"Strmi pot 707
7087 Cerknica"
"Tadeja Mihelič"|"Okiškega ulica 32
6604 Ormož"
"Marija Vidic"|"Anžurjeva ulica 243
4012 Radeče"
"Slavko Breznik"|"Anžurjeva ulica 5
1924 Novo mesto"
"Mirsad Zorman"|"Karingerjeva ulica 7b
4890 Brežice"
"Damjana Kastelic"|"Lazarjeva ulica 2c
6472 Dravograd"
"Taja Demšar"|"Koprska ulica 635
2868 Gornja Radgona"
"Jasmin Markovič"|"Prešernov trg 7c
3360 Idrija"
"Veronika Zorko"|"Delakova ulica 1b
3227 Bled"
"Viktor Jarc"|"Lovšetova ulica 3b
3931 Piran"
"Anton Šinkovec"|"Tržna ulica 9c
5552 Tržič"
"Darja Dolenc"|"Ulica Janeza Rožiča 3
3154 Ptuj"
"Jerneja Sušnik"|"Štebijeva cesta 805
0705 Šentjur"
"Roza Černe"|"Reber 4a
3047 Sežana"
"Sebastjan Žagar"|"Vandotova ulica 9a
5008 Novo mesto"
"Mirsad ribič"|"Mirna pot 4
2192 Jesenice"
"Taja Jovanović"|"Mokrška ulica 8c
5232 Šentjur"
"Mojca Kocjančič"|"Marušičeva ulica 8b
9981 Ljubljana"
"Anica Nemec"|"Ulica Nade Čamernikove 8a
9868 Slovenj Gradec"
"Mark Kaučič"|"Trnovčeva ulica 0
8830 Železniki"
"Ljubica Lazar"|"Čevljarska ulica 7c
5794 Mežica"
"Gorazd Cvetko"|"Rožna dolina, cesta III 7
9229 Vipavski Križ"
"Matilda Petrovič"|"Vodnikova cesta 76
7713 Prevalje"
"Magdalena Demšar"|"Jakopičevo sprehajališče 0a
4088 Tržič"
"Maja Kolenc"|"Pod Debnim vrhom 0c
1236 Ormož"
"Klemen Mlakar"|"Prijateljeva ulica 7c
4091 Jesenice"
"Taja Knez"|"Pod Kamno gorico 0c
5850 Črnomelj"
"Stanka Pintar"|"Cesta 27. aprila 4a
1365 Žalec"
"Grega Lavrič"|"Bizovški štradon 81
5466 Celje"
"Danijel Mihelič"|"Italijanska ulica 1c
3061 Idrija"
"Tjaša Erjavec"|"Marinovševa cesta 7c
4248 Celje"
"Petar Popović"|"Blasnikova ulica 1b
9883 Radovljica"
"Davorin Kolar"|"Čopova ulica 0
7525 Hrastnik"
"Roza Jenko"|"Pot k Savi 5
9881 Bovec"
"Sonja Knez"|"Postojnska ulica 3a
3097 Novo mesto"
"Irena Mlinarič"|"Frankopanska ulica 9b
3794 Radeče"
"Taja Kramberger"|"Cesta Ljubljanske brigade 2a
5355 Trebnje"
"Kristina Kocjančič"|"Polje, cesta XLII 2b
6831 Ilirska Bistrica"
"Martin Božič"|"Apihova ulica 1
1276 Grosuplje"
"Breda Turk"|"Magistrova ulica 6
8017 Bovec"
"Taja Kuhar"|"Sternadova ulica 5a
8241 Gornji Grad"
"Irma Godec"|"Porentova ulica 9a
2472 Koper"
"Urška Pogačnik"|"Kolodvorska ulica 69
6756 Velenje"
"Ema Zakrajšek"|"Blasov breg 56
2609 Trbovlje"
"Miran Pavlič"|"Martinčeva ulica 27
2421 Ravne na Koroškem"
"Štefan Kovač"|"Mokrška ulica 231
3405 Železniki"
"Taja Mihelič"|"Pod turnom 2b
3628 Laško"
"Josip Rožič"|"Izletniška ulica 0
9039 Ljubljana"
"Martin ribič"|"Stiška ulica 57
9390 Kranj"
"Špela Dolinar"|"Pavlovčeva ulica 15
9792 Trbovlje"
"Damijan Pečnik"|"Švegljeva cesta 7b
5557 Ilirska Bistrica"
"Erna Markovič"|"Medarska ulica 6c
9462 Železniki"
"Maja Babič"|"Rudnik III 706
9544 Slovenj Gradec"
"Mihael Jerič"|"Bizjakova ulica 2
0250 Murska Sobota"
"Maruša Kalan"|"Pot na goro 3c
6258 Lendava"
"Slobodan Kotnik"|"Planinškova ulica 2a
4145 Lendava"
"Taja Mihelič"|"V Sige 9b
5014 Sežana"
"Marinka čeh"|"Gubčeva ulica 2b
1678 Jesenice"
"Angela Zorman"|"Berdajsova ulica 23
4905 Postojna"
"Bernarda Kramar"|"Bitenčeva ulica 9a
0533 Bled"
"Mark Logar"|"Pod bresti 039
0545 Žalec"
"Valter Dolenc"|"Pod Kamno gorico 8b
1632 Domžale"
"Gorazd Petrovič"|"Vrhovci, cesta XII 9
4417 Logatec"
"Nadja Vidic"|"Rožna ulica 2a
5345 Vipavski Križ"
"Neža Rozman"|"Pod gozdom 12
1131 Tolmin"
"Mirko Filipič"|"Jelinčičeva ulica 977
8067 Mežica"
"Taja Rajh"|"Kernova cesta 2a
4031 Slovenj Gradec"
"Jakob Klemenčič"|"Cesta na Brod 5a
2926 Krško"
"Slobodan Rožman"|"Vipotnikova ulica 9c
5405 Ajdovščina"
"Ivo Hrovat"|"Bratinova ulica 9b
2882 Bovec"
"Karolina Primožič"|"Lovska ulica 59
4487 Turnišče"
"Gal Kastelic"|"Bizovški štradon 3
8772 Krško"
"Mark Sitar"|"Park Arturo Toscanini 5c
0235 Vrhnika"
"Amalija Mlinarič"|"Lubejeva ulica 10
8973 Tržič"
"Sandi Skok"|"Videmska ulica 2
5281 Zagorje ob Savi"
"Nikola Nemec"|"Martinova ulica 8c
5931 Mežica"
"Taja Rožman"|"Šinkov štradon 8a
9430 Piran"
"Vanja Simonič"|"Kovačeva ulica 11
1926 Ormož"
"Kristijan Kastelic"|"Ramovševa ulica 12
2342 Piran"
"Alojzij Babič"|"Ajdovščina 639
1534 Višnja Gora"
"Samo Novak"|"Pot v boršt 2
1604 Rogaška Slatina"
"Timotej Ramšak"|"Ježica 640
1930 Žalec"
"Drago Rožič"|"Slavčja ulica 7c
4552 Medvode"
"Pavla čeh"|"Okiškega ulica 16
8481 Idrija"
"Slavko Pavlič"|"Staničeva ulica 02
2377 Ljutomer"
"Sonja Kotnik"|"Mačja steza 4b
0022 Mengeš"
"Taja Rutar"|"V Karlovce 5b
1619 Ptuj"
"Katja Kovačič"|"Frenkova pot 9c
3307 Žiri"
"Alojzija Kalan"|"Šturmova ulica 9b
6987 Slovenj Gradec"
"Cvetka Jenko"|"Ulica Franca Nebca 8a
1849 Slovenska Bistrica"
"Antonija Zupanc"|"Avsečeva ulica 143
7749 Kamnik"
"Valentin Hribar"|"Koseskega ulica 0a
4336 Kostanjevica na Krki"
"Vanja Stopar"|"Šumarjeva ulica 57
6198 Idrija"
"Lovro Jerič"|"Pot v Podgorje 8
9877 Murska Sobota"
"Jakob Skok"|"Hauptmanca 7b
8376 Jesenice"
"Tea Pintarič"|"Završje 1b
6712 Bled"
"Taja Tavčar"|"Legatova ulica 51
0155 Bovec"
"Drago Mihelič"|"Murkova ulica 489
4241 Turnišče"
"Rudolf Novak"|"Luize Pesjakove ulica 00
7178 Velenje"
"Pavla Hrovat"|"Kopitarjeva ulica 1c
9516 Velenje"
"Slavica Dolenc"|"Spomeniška pot 9a
2797 Vipava"
"Emil Kaučič"|"Linhartova cesta 5b
3108 Trebnje"
"Klara Černe"|"Nahtigalova ulica 5a
4766 Vipava"
"Bruno Koželj"|"Nadgoriška cesta 5b
5239 Izola"
"Kristjan Pavlin"|"Červanova ulica 2c
5953 Radovljica"
"Grega Breznik"|"Beljaška ulica 1c
7169 Ribnica"
"Taja Vidic"|"Vrhovci, cesta XIV 4a
4499 Dravograd"
"Zvonko Mavrič"|"Puharjeva ulica 4
2445 Bovec"
"Suzana Mavrič"|"Friškovec 8b
1143 Žalec"
"Melita Zupanc"|"Legatova ulica 1a
2820 Bovec"
"Janez Miklavčič"|"Wolfova ulica 00
5624 Krško"
"Bojan Jarc"|"Zajčeva pot 98
0799 Nova Gorica"
"Hana Petek"|"Na Rojah 9b
9293 Ajdovščina"
"Karmen Hozjan"|"Škrabčeva ulica 7
5720 Žiri"
"Ervin Vidmar"|"Na Straški vrh 4a
2302 Zagorje ob Savi"
"Dominik Černe"|"Lunačkova ulica 02
1499 Ilirska Bistrica"
"Tamara Filipič"|"Berčonova pot 1b
4105 Bled"
"Kristijan Bukovec"|"Novo Polje, cesta XXIII 0
7523 Kamnik"
"Tanja Pirnat"|"Božičeva ulica 758
2240 Višnja Gora"
"Rajko Jelen"|"Cesta na Ozare 79
7854 Žiri"
