"Aaron Allen"	"PO Box 19
Wekanui 5389" 
"Sally Muir"	"Flat 74
77 Olive Lane
Tangingauruara 8940"
"Chloe Lane"	"848 George-Smith Street
Motukowhaikoro 9590"
"Lachlan Bright"	"144 Kowhaiwhaka Cross
Motuwaiwaka 9768"
"Michael Thompson"	"3 Dixon Drive
Collishaven 4376"
"Matthew Crawford"	"7 Rogers Street
Connormouth 8618"
"Joanne Morgan"	"PO Box 979
Teretipunui 5062"
"Sophie Edmonds"	"204 Ryan Cove
Browntown 2369"
"Amelia Evans"	"1 Sharon Avenue
Horowekatangi 5335"
"Archie Thompson"	"679 Adam Crescent
Greigmouth 9781"
"David Hume"	"4 Pickering-Fletcher Beach Road
Taitipu 6295"
"Sally Stewart-Lucas"	"30 Turner Road
Johansenhaven 8828"
"Zac Parkes-Gordon"	"119 Papaparotonui Street
RD 2
Stevensborough 8559"
"Ihaia Reynolds"	"51 Smith Road
RD 5
Mokoara 2636"
"Nicola Wratt-Higgins"	"PO Box 300
Rayner Flats 9355"
"Robert Evans"	"28 William Causeway
Brownburgh 2170"
"Tania Lloyd"	"3 Aitken-Jenkins Beach Road
Horoiti 2182"
"Scott Small"	"PO Box 63
Rangitahi 9080"
"Christina Moody"	"76 Rangiara Anchorage
Higginsgate 5786"
"Tracey Donald"	"Unit 24
8 Taimoko Street
Lake Faulknering 6481"
"Te Ariki Hughes"	"PO Box 4
Tauwhenua 6986"
"Sam Smith"	"523 Wekatau Park
RD 5
Motunuku 6011"
"Justin Reynolds"	"216 Wakaroa Crescent
Potahingauru 5876"
"Heather Ferguson"	"27 Tangiarawai Range Road
Whakamakau 9320"
"Georgia Buchanan"	"PO Box 3
Tereweka 6295"
"April Hodson"	"14 Wallace-Cresswell Keys
Rotopukehope 9509"
"Trevor Scott-Wells"	"628 Greer Road
Wekamakau 8960"
"Megan Bell"	"8 Cole Approach
Mooremouth 5513"
"Samuel Kelly"	"2 Whakahoro Avenue
RD 4
Wharetere 9269"
"Edward Berry-Freeman"	"PO Box 170
Maungamaungamata 6491"
"Henry Hamilton"	"PO Box 86
Korokorohanga 6036"
"Samantha Anderson-McManaway"	"9 Mears Street
Tangimotuwhare 5509"
"Nicholas McDonald"	"5 Casey Range Road
O'Connellport 6172"
"Grant Guy"	"23 Turnbull Street
Herdmouth 7589"
"Harry McKinnon"	"2 Rohenuku Crescent
Mansonborough 5330"
"Kevin Carr"	"92 Peter Avenue
Port Lyonside 6446"
"Nathan Nelson"	"2 Manson-Martin Street
Nealfort 6077"
"John Mitchell-Knox"	"Suite 432
7 Johnstone Street
Christopherbury 6435"
"Angela Gardner"	"701 Hart Parade
RD 1
Payneville 4772"
"Tui Waters"	"305 Tipunuku Road
Mokoroto 2124"
"Robert Sutton"	"92 Whangaarakiwi Cross
Tahitere 9510"
"Samantha Bell"	"Apt. 585
674 Field-Orchard Arcade
Tangirongowhero 2458"
"Mark Carroll-Davidson"	"599 Lewis-Lowe Line
Motuweka 7494"
"Timothy Burnett"	"16 Coleman-Ward Street
RD 9
Wendyville 8403"
"Pamela Gibb"	"Level 2
288 Aranui Bypass
Tauaratapu 9766"
"Aaron Anderson"	"14 Wakapapapatangi Court
Maungatipuwhitu 5867"
"Ashley Cameron"	"8 Tangiawa Drive
Knightside 5809"
"Charlotte Bartlett-Manning"	"Unit 40
1 Morgan Street
Kowhairangi 6182"
"Daniel Bailey"	"425 Hills Highway
Whakamatawhero 8922"
"Lisa Thompson"	"81 Newman-Thomas Esplanade
Manawapuke 9598"
"James Wilkinson"	"432 Williams Avenue
Wharepuke 5819"
"Samantha O'Keefe"	"8 Martin Avenue
Upper O'Connor Hill 8519"
"Ben Bishell-Pope"	"PO Box 32
Forbesside 6953"
"Barbara Cole"	"5 Sanders Arcade
Kowhaitangikowhai 2597"
"Paul O'Sullivan"	"10 Mitchell Square
Butchertown 6292"
"Ana Hutchinson"	"Level 3
33 Marshall Parade
Daveyside 5271"
"Emily Hutchinson"	"Unit 94
963 Rongotipukiwi Close
Traskstone 0198"
"Michaela Smith"	"PO Box 3
Damianside 9483"
"Manaia Wells"	"Suite 334
7 Waiwhangakiwi Rise
McCormickneath 9863"
"Matthew Henderson"	"752 Morgan Road
Ngaurutahimata 8955"
"Samuel Hewitt"	"4 Norman Beach Road
RD 4
Callumberg 3398"
"Samantha Soper"	"98 Ngaurupapapatangi Road
Korowhare 8846"
"Stephen Matheson"	"5 Dylan Way
Parkesfort 9786"
"Imogen Goodwin"	"PO Box 44
Masonville 5273"
"Justine Jackson"	"172 Whangarohe Range Road
Allanleigh 5529"
"Brendan Simpson"	"38 Tahimotu Causeway
RD 10
Johnstonstone 6222"
"Elizabeth Patterson-Davies"	"132 Scott Gardens
Hopeleigh 9341"
"Ashley Jacques-Bishell"	"786 Bruce Street
Willsneath 7899"
"Kate Andrew-Brown"	"5 Olsen-Jones Street
Robertsland 7708"
"Desmond Hoskins"	"2 Tautangipo Road
RD 6
Rosebury 5818"
"Darren Joe"	"529 Woolley Circuit
Jenkinsburn 0102"
"Samantha Turner"	"PO Box 8
Tahimakau 9590"
"Andrew Duncan"	"Flat 90
812 Warren Beach Road
Phillipsbury 9537"
"Phillip Davis"	"94 Manawawhaka View
Kowhaimata 1449"
"Lucy Wallace"	"27 Harrison Drive
Terekowhai 6479"
"Paul Hamilton-Wells"	"Unit 34
8 Bartlett Avenue
Maungarangi 6164"
"Scott Turner"	"PO Box 850
Rotongauru 4282"
"Riley Hyde-Pollard"	"Level 1
879 Knight Terrace
Simonsengate 9894"
"Paula Davis"	"6 Adams Avenue
Whakangauru 8213"
"Clinton Mortimer"	"9 Tia Keys
Whangahororangi 9076"
"Anna Jones"	"514 Lewis Rise
High Baxter Flats 8451"
"Samantha Wallace"	"65 Conway Place
North Reidmouth 9290"
"Brendan Clarke"	"Unit 22
4 Wekakiwi Cove
Tauwhero 9592"
"David Taylor"	"Level 7
478 Karen Broadway
Tangiwai 9415"
"Neil Rowe"	"9 Edwards Court
Barker Flats 8813"
"David Ewart-Prentice"	"49 Pickering Circle
Rohenuku 8139"
"Hamish Davey-Drummond"	"Unit 48
6 Manning Beach Road
Terehope 4374"
"Phillip Stace"	"PO Box 1
Smallton 5530"
"James Jenkins"	"301 Potaipuke Drive
Mount Taylor Flats 9884"
"John Graham"	"1 Smith-Jenkins Alley
Chandlerville 6173"
"Brendon Forbes"	"Suite 564
50 MacKay Court
Howardgate 5162"
"Samuel Armstrong"	"6 Aberhart Arcade
Rohewhangatoa 7150"
"Ava Mason"	"82 Aria Street
Whanganui 1304"
"Brenda Burnett"	"91 Tahimokomata Drive
Tuckerton 8031"
"Daniel Bishell"	"880 Timothy Street
RD 8
McEwenings 8494"
"Garry Tucker-Bell"	"PO Box 745
South Wallis Flats 5507"
"Wiremu Barr"	"Suite 984
21 Chapman Beach Road
Whangakowhaiwhare 8582"
"Mackenzie Johansen"	"PO Box 79
Awaweka 5003"
"Victoria Perano"	"PO Box 12
Lower Forrestside 8284"
"Connor Bartlett-Chandler"	"8 Tanginui Heights
Hartland 8989"
"Stacey Ward"	"5 MacDonald Corner
Ngauruwhenua 8697"
"Samuel Boyce-Neal"	"6 Wharerongorua Street
RD 8
Kerrburgh 6093"
"Grant Davidson"	"PO Box 6
Davisonmouth 6126"
"Jason Powell"	"Unit 34
22 Woolley Highway
Phillipsneath 2545"
"Jason Stokes"	"22 McKay Avenue
Scotttown 8900"
"Finn Trask-Hills"	"Level 9
6 Reid Street
Ponui 2228"
"Stephanie Paul"	"649 Johnston Copse
Matawhenua 9359"
"Keith Morrison"	"971 Waipapapamata Highway
Rangihanga 9039"
"David Eaton"	"49 Mitchell-Rasmussen Avenue
RD 5
Hickeyings 5804"
"Rachael Peterson"	"54 Tautangiwaka Street
RD 3
Graemetown 2032"
"Maya Miller"	"70 Pukerangi Terrace
RD 8
Smallfort 8849"
"Samuel Bradley"	"1 Perrin Way
Davisport 8125"
"David Hart"	"54 Morrison Grove
Harrisonneath 9759"
"Kaia McCallum"	"122 Reader Street
Chandlerberg 9800"
"David Moore"	"88 Smith Crescent
Whangamanawa 7354"
"Zachary Nicol-Brown"	"963 Tauwhero Way
Rohemakau 6423"
"Shane Turner"	"PO Box 574
Stevensings 8870"
"Jacqueline Gledhill"	"24 Terepapapahanga Crossing
Wharewhanga 9377"
"Nicholas Hansen"	"PO Box 58
Manawaterenui 6985"
"Jake Williamson"	"7 Samuel Centre
Jackson Flats 6205"
"Joshua Rossiter"	"7 Ewart Reserve
Sixtusfort 5084"
"Samuel Ferguson"	"22 Bush Alley
Stephenmouth 2274"
"Nevaeh Mitchell"	"77 Hay Arcade
New Carrberg 2433"
"Lucy Cook"	"659 Tiputapu Street
Buchananfort 2004"
"Keira Gardiner"	"PO Box 370
Potanga 9205"
"Andrew Bartlett"	"7 Pukemanawawai Arcade
RD 2
Gibsonport 6233"
"Vanessa Meads"	"3 Jones Mews
Anderson Flats 9323"
"Margaret McKenna"	"66 Rotomaunga Bypass
Mokowai 9461"
"Sione Jones"	"3 Holdaway Lane
Whangatererohe 2437"
"Alison Rush"	"PO Box 34
Maungatangi 6498"
"Nicholas Thompson-Buchanan"	"Flat 44
92 Motuwaiiti Road
Smithside 5728"
"Samuel Hayward"	"10 Watts-Ching Street
RD 3
Mount Footfort 2544"
"Zoe Thomas-Fox"	"Apt. 791
61 Kelly Drive
McLeodmouth 2430"
"Nicola O'Connell"	"87 Johnston Street
Gracehaven 8148"
"Scarlett Goodwin"	"9 Cameron Street
RD 9
Lower Mannbury 8867"
"Julie Osborne-Davis"	"PO Box 8
Koronuku 9571"
"Paul Baxter"	"Suite 890
5 McLeod Keys
Hortonmouth 8979"
"George Smith-Jensen"	"97 Bond-Hood Beach Road
Ngauruhope 2478"
"Olivia Fuller"	"Flat 89
2 Alana Arcade
Pricegate 6985"
"James Pope"	"PO Box 81
Korokowhai 9852"
"Darren Mitchell"	"528 Leslie Street
Forsythings 5869"
"Samuel Hopkins-Reynolds"	"PO Box 182
Maungawekaiti 8264"
"Barbara West"	"PO Box 664
Prattberg 2491"
"Brooke Findlay"	"50 Rongoiti Keys
Tahiawa 2533"
"Paul Carroll"	"Suite 244
4 Knight Street
Wakaawa 6187"
"Craig West"	"Suite 308
243 Joel Causeway
Pukengaurupo 6432"
"Leah Holmes"	"PO Box 6
Wallaceville 2270"
"Lauren Webster"	"2 Wharearatai Causeway
Kowhaiawarongo 7879"
"Nikita Thomas"	"412 Morris Avenue
Joneston 9374"
"Gemma Clarke"	"PO Box 45
McMillanstone 2377"
"Peyton McPherson-Kemp"	"Level 4
696 Tauroa Drive
Tahitauhoro 6938"
"Samuel Kay"	"65 Doherty Street
RD 1
Wakarangi 2648"
"Isabelle Smart"	"229 Dick Arcade
Caldwell Flats 5805"
"Janine Donaldson"	"332 Webb Crescent
RD 3
Taimatahanga 2002"
"Patrick Bell"	"861 Bailey Street
Lake Manson Flats 7509"
"Thomas Taylor"	"Level 8
122 Papapataihoro Centre
Maungarohe 6496"
"Oliver Stevenson"	"3 Waghorn Road
Perrygate 9573"
"Danielle Whyte"	"Unit 61
34 Stone-Hoskins Circle
Koromokowhenua 2074"
"Michael Clifford"	"730 Taipapapa Point
RD 7
Horoporoto 8553"
"Nicholas Smith"	"61 Dunn Beach Road
Porterland 4280"
"Martin Morrison"	"PO Box 26
Kawatau 9385"
"Samuel Kelly"	"6 Harper Street
Watersburn 9314"
"Morgan Botham-Johnston"	"5 Holmes Terrace
Tahimotu 5890"
"Maria Parker"	"Flat 90
581 Rangimanawanuku Highway
Aratoa 5867"
"Ivy Nolan-Carroll"	"2 Morgan Circle
Tautipupo 6103"
"Rebecca Tait"	"5 Stephen Place
RD 3
Horowharekoro 2537"
"Pippa Shaw"	"PO Box 42
Horotai 2500"
"Dianne Thompson"	"1 Elizabeth Mews
Corlettside 7836"
"Stuart Jacques-Dillon"	"PO Box 5
Lower Hoareberg 2466"
"Philip Dixon"	"Suite 170
570 Robert Arcade
Donnafort 5147"
"Emma Boniface"	"PO Box 11
Wakahoromakau 4694"
"Samuel Long"	"246 Griffiths Road
Burrneath 8429"
"Victoria Shaw"	"689 Carpenter Circle
Papapakawa 8112"
"Alexander Williamson-Henderson"	"125 Pearce-Watt Cross
Papapamakau 9619"
"Peter Moore"	"PO Box 306
Baldick Hill 6954"
"Robert Hart"	"Unit 45
207 Simmonds Street
McIsaac Flats 8578"
"Chloe Manson"	"PO Box 6
Whakarohe 4923"
"Ashley Harris"	"19 Black Amble
RD 2
Parkermouth 9634"
"Hannah Scott"	"Flat 84
195 Wakapo Street
Maxwellland 8265"
"Grant Jensen"	"Apt. 407
27 Webster Drive
Fletcherville 0922"
"John George"	"9 Joe-Stubbs Crescent
Allenberg 5506"
"Samuel Moran"	"Unit 97
69 Rongotahirongo Point
Scottburgh 5802"
"Kylie Ferguson"	"Suite 731
8 Awhina Avenue
High Campbellhaven 9676"
"Sarah Stratford"	"789 Matateremakau Lane
RD 2
Rangihoro 6042"
"Shelley Elliott-Manning"	"3 Korowhero Reserve
Holdawayings 2101"
"Paula Hart"	"10 Arnott Crest
RD 7
Mount Kerrhaven 8924"
"Gemma Dawson"	"4 Johnston Way
Hooper Hill 8825"
"Nicola Rickard"	"Suite 782
7 Smith Parade
West Stevensberg 3106"
"Maia Botham"	"6 Rogers Rise
Wairangi 5717"
"Michelle McKenna"	"PO Box 973
Tangingaurutipu 6136"
"Courtney Green"	"7 Donaldson Avenue
Thomashaven 2100"
"Samuel Mortimer"	"172 Waimotu Copse
Rileyborough 6263"
"Wendy Chandler"	"Unit 95
1 Tanginui Crescent
Armstrongside 2316"
"Ella Southee"	"342 MacDonald Drive
Turnerport 8996"
"David Bartlett"	"88 Laing Crescent
RD 8
Papaparua 5535"
"Max Rossiter"	"2 Liam Quay
Papapawakarangi 2420"
"Stuart Lucas"	"PO Box 8
Liam Hill 0935"
"Ronald Prouse"	"4 Tyler Court
Papapapapapanui 0580"
"Matthew Stuart"	"9 Whangapowhitu Arcade
RD 8
Whakawhangakowhai 2025"
"Summer West"	"465 Tangimatamotu Parade
RD 6
Phillipsgate 8933"
"Rachael Cunningham"	"73 Hogg Street
RD 7
Taipotere 2198"
"Samuel Neal"	"85 Harris Road
Gledhillton 2285"
"Paige Nicol"	"Unit 43
972 Butler Road
Monkmouth 9045"
"Robyn Dickson"	"62 Gore-Wilton Street
Pomaungaiti 2345"
"Rebecca Chapman"	"Level 2
24 Wharemakau Circuit
Allenville 9860"
"Lisa Page"	"35 Aitken View
Rongomokomotu 9442"
"Tania Steer"	"7 Anderson-Thomas Reserve
Koromotu 8902"
"George Mudgway"	"PO Box 968
Manawawakawhanga 2391"
"Sonya Dalziel"	"18 Kowhaimanawa Drive
Tipukorotipu 9534"
"Kim Simpson"	"86 Neal-Powell Circle
Deaning 9886"
"Monique MacKenzie"	"2 Phillips Amble
RD 10
East Smithleigh 6248"
"Samuel Ryan"	"6 Janice Avenue
Baileygate 5014"
"Sarah Brown"	"608 Nicole Street
Teretoa 1470"
"James MacDonald"	"206 Popapapawaka Drive
Howardberg 2606"
"Joshua Smith"	"2 James Street
RD 7
Ranginui 6230"
"Jonathan Whittaker-Rowe"	"79 Nina Broadway
Tipuweka 2466"
"Eva Arnott"	"246 Tahirongonuku Place
RD 3
Wellsings 7917"
"Sharon Smith"	"30 Porter-Hardie Road
Hartborough 2288"
"Lisa Holloway"	"297 Dick Street
High Dickburgh 0662"
"James Dalton"	"984 Tauara Place
RD 4
Davidsonhaven 2566"
"Lynnette McGregor"	"Flat 37
444 Waiwhare Amble
Rohetangitapu 8005"
"Samuel Scott"	"Suite 124
250 Berry Concourse
Tahirongotanga 7238"
"Susan Lancaster"	"PO Box 64
Pukehororongo 8450"
"Brooke Harris"	"PO Box 7
Nathanside 9521"
"Nathan Lane"	"358 McKinnon-Olsen Causeway
Pritchardside 3267"
"Ashleigh Watkins"	"145 Campbell-Steele Cutting
Sixtusings 2407"
"David Aitken"	"Suite 351
456 Edmonds Range Road
Rutherfordfort 9506"
"Adam George"	"60 Currie-Wilkinson Place
RD 7
New Turnerborough 4028"
"Nathan Bary-Stuart"	"3 Tahiwakawaka Terrace
RD 7
Wairotongauru 5598"
"Tracy Wratt"	"2 Anderson Place
Williamsland 7351"
"Hannah Douglas"	"PO Box 584
Goremouth 5005"
"Samuel Thomas-Shailer"	"Suite 934
5 Cameron Gardens
Tipumaunga 7494"
"Riley Russell"	"84 Carl Copse
Sonia Flats 2419"
"Poppy Morrison"	"9 Barr Street
RD 1
Wekatau 2456"
"Stephen Ham"	"3 Blackwell Point
Victoriastone 5705"
"Caleb Sinclair"	"6 Araiti Flats
Hayesmouth 8483"
"Colin Hudson"	"13 Stephen Beach Road
Terenui 6268"
"Rachael Lane"	"55 Horomaungamanawa Centre
Tipukowhaiweka 8902"
"Evie Hughes"	"811 Taylor-Blake Drive
Port Greenborough 9723"
"Sean Burgess"	"15 Barr Road
Smith Flats 9038"
"Christine Burton-Smith"	"Apt. 422
71 Taylor Street
Upper Mitchellside 5295"
"Samuel Webb-Thompson"	"52 Taukoro Crescent
Harrisburgh 5146"
"Andrew Avery"	"Apt. 101
369 Wharewharemanawa Crescent
Papapamanawa 8158"
"Karen Fox"	"Flat 24
97 Burton Quay
Wakanui 8402"
"Luke Patchett"	"4 Motukoro Crescent
Wekakawawhaka 2549"
"Janice Craig"	"Level 6
423 Foote Road
Taiwai 6173"
"Lachlan Gillies"	"Level 5
877 Whakapo Street
Lawsonleigh 3001"
"Stephen Mason"	"9 Smith Approach
Wakakorotau 2017"
"Aaron Miles"	"873 Poiti Drive
Whakapuke 8942"
"Tyler Henderson"	"PO Box 2
Potahi 9787"
"Tania McDonald"	"9 Marfell Arcade
Kowhaimanawawhenua 2209"
"Sandra Brown"	"814 Mokotai Road
Scottmouth 2399"
"Sarah Drake"	"PO Box 48
Vercoeburn 5585"
"Anahera McDonald"	"614 Manawatahiwaka Avenue
Ferguson Flats 9294"
"Suzanne Morrison"	"809 Horohorohoro Road
Pomotu 8178"
"Hannah Cameron"	"5 Bryant-Wilton Street
Shaneburn 2611"
"Craig Ward"	"6 Tangiiti Road
RD 7
Rangiwaka 6974"
"Oscar Long-Ferguson"	"630 Jamieson Avenue
Pukeara 2343"
"Brendan Phillips-Jenkins"	"429 Tangiroheara Pass
RD 1
Matakoromata 8953"
"Laura Law"	"55 Harris Avenue
RD 1
Koronuku 6005"
"John Peterson-Hanson"	"6 Holmes-Phillips Parade
Wakawhangakawa 9280"
"Sandra McDonald"	"PO Box 261
Allenville 6481"
"David Dillon"	"PO Box 1
Morganport 8543"
"Elijah Wood-Turnbull"	"52 Pukeweka Square
Saundersmouth 8878"
"Carol Smith"	"1 Meredith Centre
RD 9
Landon-Lanemouth 2554"
"Carl Browne"	"15 Low Road
Hollowayton 4401"
"Eric Lewis"	"599 Spencer Bypass
Wardings 8881"
"Mark Ireland-Enright"	"938 Graham Beach Road
Ararua 9278"
"Roman Clarke"	"5 McFarlane Street
RD 1
Cameronstone 9879"
"Lois Rayner"	"23 Gill Terrace
Milesfort 8472"
"Craig Kenny"	"967 Spencer Mews
Jonesberg 6453"
"Sandra McKay"	"Flat 48
848 Wakatere Close
Tangiwharetanga 8506"
"Rex McLeod"	"609 Tangimoko Road
Whareiti 9075"
"Awhina Baker"	"2 Wakawaka Avenue
Kennedying 6968"
"Anthony Banks"	"Unit 50
125 Katie Terrace
Wharehope 5805"
"Tracy Hudson-Dalton"	"980 Paul-Dawick Avenue
Ruthside 5041"
"Nicole Maxwell"	"88 Kawamanawa Gardens
Glennside 6260"
"Susan Moore"	"59 Sullivan Way
RD 9
Dionmouth 5077"
"Danielle Mason-Pritchard"	"97 Anderson-McGrath Street
Russelltown 9784"
"John Taylor"	"407 Hanson-Burrell Reserve
Markside 2454"
"Andrew Murphy-Jackson"	"46 Warner-McKay Drive
Lewisborough 5593"
"Sandra Poole-Hansen"	"582 Reader Road
McDonaldbury 9821"
"Andrew Anderson"	"20 Willis-Gibbons Avenue
Kawakiwi 5024"
"Brent Miller"	"7 Stewart Street
Taitipurohe 9517"
"Michelle Clarke"	"340 Webb-Perry Way
RD 6
Whakaweka 8177"
"Hamish McFarlane-Scott"	"165 Waitangiroa Crescent
RD 8
Pukeiti 5229"
"Te Ariki Anderson"	"37 Kowhaikiwi Pass
Mount Williamsville 8869"
"Zara Henderson"	"PO Box 6
Tipumoko 6179"
"Ezra Schwass"	"9 Smith-Poole Mews
Georgetown 9689"
"Steven Fulton"	"PO Box 1
Araterewhero 9447"
"Janet Smart"	"PO Box 685
Kawaawarongo 9659"
"Sandra Watts"	"PO Box 33
Rohekowhaimanawa 2291"
"Megan Gray-Strawbridge"	"34 Wood-Thomas Street
McDonaldings 6158"
"Nicola Morrison-Huddleston"	"PO Box 85
Rongomata 8051"
"Sheryl Giles-Donald"	"5 Rohemaunga Mews
Nielsen Hill 8999"
"Sandra Oliver"	"5 Moore Ridge
RD 1
Matarohe 8828"
"Grant Green-Gee"	"78 Gunn Reserve
Olivertown 6117"
"Robert Davis"	"PO Box 772
Coxhaven 9798"
"Anne Craven"	"406 Elizabeth Close
Mayside 8117"
"Geoffrey Burrell"	"Unit 68
5 Koromata Cove
Rongopuke 8901"
"Sophie Marshall"	"314 O'Connor Street
Murphyton 9678"
"Sandra Williams"	"467 Wendy Street
Dobsonberg 6924"
"Manaaki Chapman"	"63 Cameron Street
RD 8
Koromaunga 3562"
"Karen Jamieson"	"PO Box 1
Haywardburn 8677"
"Maria Sixtus"	"3 Nash Cutting
Papapatere 2291"
"Rebecca Wills"	"97 Wong Road
RD 1
Whakatapu 6462"
"Wayne Nielsen"	"30 Parker Court
High Barnesborough 9780"
"Grace Harris"	"7 Davidson Street
RD 7
Catherineborough 2619"
"Miriama Evans"	"Suite 367
24 Tangirohe Corner
Rongongauruwhaka 9755"
"Isla West"	"91 Arawhitu Gardens
Wekawhakaroto 2231"
"Victoria Waghorn-Tucker"	"5 Tauara Flats
Pukemotunuku 9837"
"Sara Riley"	"684 Bassett Place
Port Scottside 1317"
"Lisa Simpson"	"8 Russell-Davey Avenue
RD 3
Lake Mudgwayneath 1710"
"John Barker"	"58 Robert Street
Koronuku 4280"
"Robin Pedersen"	"6 Wakamaunganui Street
Ngaurukowhaihoro 2142"
"Colin Dawson"	"PO Box 91
Rotokoro 2132"
"Stacey Rowlands"	"579 McDonald Range Road
Simmondsburn 9515"
"Lily Cox"	"770 Morris-Jennings Parade
RD 1
Harrisleigh 0371"
"William Greig"	"Suite 131
49 Taumakau Crest
East Brown Hill 6426"
"Claire Moody"	"Flat 42
36 Richard Pass
Clunies-Rosstown 2325"
"Christopher McManaway"	"444 Wood-Williams Court
Matarua 3308"
"Sarah Anderson"	"2 O'Brien Amble
Chambersleigh 8250"
"Tamati Shaw"	"PO Box 6
Thomas Flats 9262"
"Natalie Collis"	"PO Box 4
Tererangiwaka 2377"
"Grace Rasmussen"	"57 Jensen Road
Ramsaybury 1337"
"Phillip Ferguson"	"5 Alexandra Circuit
Turnerton 9270"
"Sean Allerby-McIntosh"	"PO Box 4
Tangiiti 9093"
"Judith Turner"	"PO Box 11
Tereara 5744"
"Brooke Jensen"	"PO Box 9
Martinstone 5840"
"Joy Wheeler"	"852 Watts-Davis Keys
West Wallaceberg 2335"
"Alison Poole"	"7 Taiwekaweka Point
RD 7
Carrton 2612"
"Sarah Bailey"	"66 Anna Street
Ngaururangingauru 8906"
"Jessica Avery"	"Apt. 992
90 Oliver Street
Horomotunui 2484"
"Nathan Anderson"	"5 Mokokoro Circle
Pomotutangi 2455"
"Michelle Stewart"	"PO Box 69
Wharekowhai 8579"
"Mark Spencer-Mitchell"	"13 Dalton Place
RD 3
Andrewneath 9097"
"Andrew Thompson"	"449 McKinnon Beach Road
Tangitipurongo 5171"
"Rachel Green"	"PO Box 45
Kawakiwi 0985"
"Jonathan Neal"	"408 Aramaunga Street
Adamsburgh 2306"
"Jacob Bell"	"104 Arawharekawa Causeway
RD 1
Pukepo 9416"
"Sharon Fleming"	"8 Rangihoro Beach Road
Thompsonings 6137"
"Sarah Blick"	"81 Christopher Close
Hopeing 8216"
"Shane Jordan"	"6 Pritchard Road
Jenkinsmouth 2611"
"Logan Fairhall"	"309 Maunganuku Street
Manawawai 2171"
"Suzanne Clifford"	"42 Best-Mears Avenue
South Ryanstone 9407"
"Kylie Grant"	"427 Taylor Approach
RD 1
Drakeings 2385"
"Dean Morrison"	"PO Box 384
Cooksleyberg 5213"
"Kylie Miller"	"33 Motutapu Cross
Brent Flats 7930"
"Lucas Powell"	"Unit 71
6 Pratt-Bell Trail
Ellaberg 6275"
"Emily Boniface"	"83 Mokokiwi Drive
Rohewakaiti 2228"
"Tanya Logan"	"5 Bell Avenue
Ngaurumoko 8600"
"Sarah Botham"	"76 Koroiti Road
Southeeburgh 2588"
"George Aitken-Jacques"	"980 Liam Street
Nielsening 2265"
"Lewis Reardon"	"477 Henry Beach Road
Tauwekaroa 5315"
"Peyton McCallum"	"Flat 48
8 Richard Street
Taipapapamata 8550"
"Karl Stewart"	"53 Kowhaiiti Drive
Rongotahi 8503"
"Lily Bradley"	"PO Box 619
Mokonui 7052"
"Susan Fisher-Bowden"	"PO Box 462
Tahipukemoko 2658"
"Ruth Berkahn"	"PO Box 63
Jensentown 8440"
"Karen Craig"	"4 Barr Concourse
Maunganuku 2573"
"Lisa Davis"	"1 Michelle Arcade
Maungarohemaunga 5593"
"Sarah Cole"	"PO Box 37
Juliafort 2225"
"Paul Fisher"	"PO Box 54
Matatau 8184"
"Joshua Watkins"	"7 Pearson-Campbell Terrace
Gibbfort 2244"
"Olivia Gibb"	"45 Matthews Access
RD 10
Millermouth 9333"
"Alicia Meredith-Webb"	"237 Pearson Street
Shawbury 2089"
"Bradley Botham"	"Flat 90
2 Manawateremotu Crossing
Awahope 8976"
"Richard Montgomery-Morton"	"PO Box 93
Ngaurutahi 2197"
"Catherine Weston"	"73 Simon Road
Guardbury 5280"
"Sophie Waters"	"PO Box 637
Zoefort 4340"
"Morgan Brown-MacDonald"	"8 Moore Close
Taylor Flats 5191"
"Sarah Davis"	"680 Lee Avenue
RD 1
Taylorfort 2638"
