"Aaliyah Day","PO Box 48
Ryanmouth 9450" 
"Christine Meredith-O'Keefe","1 Craven Way
Smithburn 8517"
"Samuel Warren","PO Box 2
Horomatawhitu 8091"
"Lesley Baxter","731 Gray-Thompson Crossing
Griffithsmouth 3164"
"Kelly Saunders","802 Wharerohekowhai Street
RD 6
West Price Flats 8885"
"Thomas Hart","PO Box 304
Mokotere 9321"
"Rebecca Cameron","PO Box 3
Davismouth 8943"
"Paul Burrell-Craven","Suite 464
1 Boyce-Norman Arcade
Kawatanga 9850"
"Gareth Thomas","2 Monique Road
Lower Nortonburgh 8094"
"Shaun Ramsay-Parker","PO Box 504
Ngaurumatahoro 9578"
"Michelle Powell-McLean","9 Holdaway Road
Peranoings 3136"
"Rebecca Brown","Level 4
2 Pukepukewhare Street
South Carpenterleigh 8235"
"James Morrison-Drew","706 Christopher Quay
Lower Smithberg 0416"
"Megan Perry-Adams","93 Stevens Highway
Campbellfort 8154"
"Christopher Davis","36 Pedersen Avenue
RD 1
High Smithport 9079"
"Thomas Jordan","758 Blackwell-Wells Avenue
RD 1
North Harperville 9772"
"Sarah Turner","5 Taumaunga Crescent
RD 6
Knightburn 8892"
"Matthew Gunn-Williams","PO Box 41
Eatonfort 5542"
"Karl Cooksley","3 Adams-Hills Cutting
Murphyville 2180"
"John Williams-McGregor","887 Rohewhare Place
RD 4
New Thomasville 6454"
"Christopher Henderson","PO Box 943
Crawtown 2074"
"Sally Street","PO Box 107
Ngaurupukerongo 8191"
"Leslie Price","Suite 392
2 Kowhaipo Road
Awaawa 5828"
"Ethan Crawford","Unit 75
758 Fitzgerald Street
Turnerton 8977"
"Hayden Holland","4 Rongopuke Gardens
Mount Smartbury 5237"
"Thomas Lewis","Suite 334
179 Waimata Crescent
Korokiwi 2604"
"Christopher Wells","634 Samantha Street
RD 6
Chapman Flats 3168"
"Linda Dunn-Hume","46 Rangihanga Corner
RD 9
Wekahope 2218"
"David Jamieson","740 Rohengaurutahi Lane
Terewhanga 2042"
"Eva Lucas","PO Box 1
Hemiton 7621"
"Brenda Franklin","11 Kawahope Road
Martinburgh 6999"
"Hayden Morris","Unit 63
11 Thomas Crescent
Pukemokoiti 8626"
"Craig Lloyd","621 Tracey Crossing
Milestown 2195"
"Mary McEwen","PO Box 581
Whakawhakawhanga 8582"
"Jacqueline Anderson-Vercoe","PO Box 929
Rohekororoa 9613"
"Thomas Lucas","396 Miller Mews
RD 7
Matatoa 9019"
"Richard Jennings","Level 8
860 Motupapapa Street
Rototahi 3942"
"James Drummond","PO Box 94
Potanga 2189"
"Andrew Steele","8 Olivia Beach Road
Fordfort 5718"
"Catherine Burns","16 Bright Street
South Floodstone 6163"
"Sophie Jones","5 Wharetainuku Beach Road
Perryfort 5296"
"Callum McIntosh","PO Box 68
Donnabury 8578"
"Kerry Russell","PO Box 55
Potanginui 9426"
"Crystal Jamieson","5 Dick Amble
RD 6
McMillanbury 5052"
"Mathew Fox","Level 7
517 Bailey Road
Scottberg 5256"
"Thomas Mayo","8 Dean-O'Sullivan Street
RD 4
Shannonmouth 9431"
"Julie Williams","2 Chandler Road
RD 3
Lower Hopkins Hill 9279"
"Helen Parker","1 Francis Trail
RD 5
Manawamatakowhai 2570"
"Susan Anderson-Bull","878 Wakarongo Park
RD 1
Morrison Hill 2166"
"Elizabeth Laurenson-Stewart","28 Koronui Street
Waitaunuku 2220"
"Nicholas Adams","PO Box 654
Olsenton 2007"
"Rebecca Cresswell","189 Pukengauru Way
Vivienneland 8626"
"Caitlin Dickson-Carroll","PO Box 4
Whakatai 1164"
"Timothy Scott-Morgan","3 Tauwaka Road
Rotokororangi 2697"
"Tony Prouse","485 Miller Mews
Robertsing 6955"
"Thomas Miles-Morris","7 Rohepukehanga Range Road
McDonaldneath 4063"
"Natasha Martin","90 Adrian Street
O'Donnellberg 9605"
"Peter Wheeler","69 Whakawai Street
Armstrongside 6232"
"Lance Nicholson","5 Jeffrey Street
Freethberg 3943"
"Hayley Edwards","78 Rotoawa Keys
Harrisport 2595"
"Timothy Munro","840 Mark Street
RD 10
Tauawa 8165"
"Maria Smith","PO Box 47
Pukerohe 9513"
"Nicholas Baldick","91 Koromakau Causeway
Taikowhaitahi 6067"
"Janice Allen-Knight","139 Rongotangi Causeway
North Simpsonside 9051"
"Kathryn Henderson","3 Flood Keys
Burrelltown 2200"
"Thomas Morris","72 Aramokoiti Road
RD 8
Taunui 5549"
"Julie Hansen-Herd","PO Box 938
Robyning 8024"
"Ria Jackson","PO Box 7
Cliffordside 2551"
"Kathleen Ferguson","Unit 86
60 Ella Avenue
Whakamata 8145"
"Holly Ramsay","PO Box 2
Rotowakawhenua 8540"
"Kane Phillips","6 Buchanan Beach Road
RD 8
Rotoiti 8442"
"David Stuart","Unit 50
728 Tahiiti Mews
Whakaawa 5885"
"Stuart Brown-Moore","196 Timothy Approach
Davidmouth 8673"
"Braxton Richards","Suite 566
837 Gordon Arcade
Korowairoto 8926"
"Leanne Davison-Pike","Unit 13
37 Sullivan Alley
Araawarohe 8216"
"Thomas Perry","1 Papaparohenui Reserve
Kowhairohe 9604"
"Jamie Hughes-Russell","8 Campbell Crossing
RD 3
Wakamata 8297"
"Jack Orr-Faulkner","PO Box 32
Horomata 9373"
"Jeremy Warren","214 Clifford Avenue
Hookmouth 9490"
"Emma Turnbull","9 McIsaac Terrace
Upper Popeton 6957"
"Daniel Murdoch","PO Box 1
Wakaroa 6488"
"Glenn Gardiner","2 Wekamakau Crest
West Daviesneath 0771"
"Raymond Warner","268 Little Street
Rohemata 8862"
"Tracey Hayward","81 Tangirongo Street
Arahope 1500"
"Isabelle Simpson","597 Page Park
RD 7
Greigburn 4621"
"Thomas Pike","582 Awatapu Terrace
Rohemokomotu 2150"
"William Lucas","482 Weston-Thomas Crescent
RD 8
Shepherdborough 5353"
"Joanne Morris","980 Rongomanawa Pass
Maungaiti 4949"
"Lynette Morgan","Level 5
48 Giles-Taylor Terrace
Hororoto 6479"
"Gail Anderson-Barnett","48 Broughan-Wood Street
Bondtown 2340"
"Peter Smith","Level 8
9 Morgan Highway
Tauiti 0274"
"James Grant","2 Holmes Street
Papapanui 2038"
"Louis Pearce","910 Koroara Trail
Thompsonmouth 9020"
"Trevor Armstrong","404 Kay Broadway
Whakawaka 5734"
"David Bell-Black","Apt. 425
21 Rongongaururongo Rise
Taylorneath 0381"
"Thomas Wallis","430 Jared Gardens
RD 4
Wekanui 5133"
"Corey Bell","79 Bruce Reserve
Patonfort 9342"
"Samuel Mason","93 Terehoro View
RD 10
Brooks Hill 2644"
"Patricia Mason","32 Terry-Walton Place
Tererangiroa 9068"
"Jane Taylor","32 Lisa Parade
McLachlanleigh 6097"
"Jason Muir-Edwards","645 Little Gardens
Terenui 8634"
"Louis Taylor-Anderson","798 Ngaurutai Amble
Matamata 6447"
"John Perry","Suite 142
96 Wood-Berry Street
Katrinaburn 3893"
"Ayla Hewitt","PO Box 620
Humphreyleigh 9662"
"Robert McKinnon","PO Box 86
Tahimokomoko 8975"
"Tia Lammas","Suite 405
6 Papapawhero Bypass
Port Robertmouth 9049"
"Tania McGrath","199 Rongohope Avenue
Watkinsborough 8103"
"Leanne Jackson","Unit 56
62 Hope-O'Keefe Quay
South Marshbury 5720"
"Rachel Jackson","738 Morris Place
Tangikiwi 8618"
"Janine Thomas","355 Tahimotu Avenue
Bellgate 9889"
"James Lane","Level 7
173 Fulton Road
Teremata 5822"
"Jordan Coleman","62 Rutherford Plaza
Pukewaka 9434"
"Toby Coleman-Turner","2 Thomas Corner
Terepapapatai 9716"
"Julian Bell","PO Box 9
Taungauru 6050"
"Jeremy Jones","37 Manawakowhainui Street
Kawatahi 3251"
"Tia North","3 Drake Track
Daltonburn 0970"
"Karen O'Leary-McKinnon","421 McKay Flats
Lake Robertsfort 5212"
"Pauline Mason","9 Horoiti Track
Wekapapapapuke 2290"
"Oliver Kennedy","PO Box 1
Andersonside 9567"
"Riley Moore","669 Oliver Grove
Shortborough 9284"
"James Henderson","97 Papapakowhai Street
Maungaroto 6101"
"David Collis","31 Whanganui Approach
Webbyhaven 2352"
"Jasmine Allerby","843 Gore-Smith Street
Rangitapu 6260"
"Jacob Wells-Simonsen","3 Todd Range Road
RD 6
West Seymour Flats 8038"
"Geoffrey Smith","464 Whakatangi Street
Pokowhai 9288"
"Tiana Bell","40 Awakoro Cutting
RD 1
Waikoro 3915"
"Grant Matthews","Suite 863
7 MacPherson-Thompson Avenue
Coxfort 9355"
"Janine Russell","917 Aitken Pass
Parker Flats 4897"
"Philip Burke","Unit 72
7 Stevens Beach Road
Tahiwaikowhai 8294"
"David Mitchell","Apt. 269
3 Satherley Concourse
Motumakau 5274"
"Deborah Gleeson","PO Box 879
Larsenfort 2234"
"Carter Munro","669 Knight Way
Hollandburgh 9335"
"Jemma Mason","964 Miller-Robert Place
Nicholasville 9393"
"Dianne Williams","68 Tangiawa Keys
Motumatamanawa 8438"
"Paula Williams","8 Sowman Corner
Tangipapapahope 9552"
"Timothy Anderson","23 Reynolds Point
Hollygate 9825"
"John West","Unit 55
2 Gaskin Rise
David Hill 5144"
"Christine Gilmore","Flat 59
406 Taiwhenua Concourse
Bartlettside 2663"
"Angela Clifford","PO Box 35
Matthewsstone 5128"
"Mark Jenkins","Unit 22
6 Mitchell Court
Wakarongo 6938"
"Zoe Jones","PO Box 78
Papapanui 6023"
"Alan Smith","584 Ngaururoa Parade
RD 8
Brownborough 8107"
"Ryan Stevenson","4 Donald Crossing
Richardsmouth 9061"
"Stephen Baxter","340 Mokoawawai Cross
Wekawharetipu 9394"
"Annette Procter","78 Jellyman Drive
New Joeneath 2117"
"Timothy Bishop","45 Rotomokowhanga Street
Wilkinsonmouth 2628"
"Rebecca Morris","92 Pratt Road
RD 9
Manningmouth 5327"
"Ethan Chapman","PO Box 735
Staceside 9433"
"Rochelle Gledhill","Apt. 674
511 Awakiwi Street
Carterport 2030"
"Logan Gray","95 Mokopapapatere Street
RD 4
Motungauruwhaka 2646"
"Jonathan McMillan","93 Motuwhero Park
Hodsonneath 1526"
"Robert Bright-Hayward","Flat 36
48 Wharewhitu Street
South Scott Hill 8640"
"Jessica Davison","286 Pokowhaimaunga Approach
Tautapu 2074"
"Michael Hodson","447 Thompson Track
Awangaurutau 2408"
"Charlotte Knight-Sullivan","3 Kowhaitangi Lane
Ngaurupo 5522"
"Timothy Brown","110 Teretere Arcade
Hardyville 9210"
"Joanne Holland","Unit 63
40 Whangapuke Cross
Motuwhangawaka 6185"
"Samuel Miller","Unit 49
735 Ranginuku Crescent
Kowhaihoro 9823"
"Colin Howell","9 Ford Plaza
RD 3
Nielsenburgh 9754"
"Katie Donald","753 Jackson-Allan Street
RD 8
Colinville 5166"
"Rawiri Harris-Miller","6 Lowe-Davis Line
RD 5
Whakawhangaroto 9035"
"Joshua Donaldson","PO Box 32
Howardleigh 2551"
"Christopher Parker-Owen","603 Forrest Rise
Tangimanawa 4151"
"Courtney McDonald","9 Ngauruhanga Road
Tangirangimotu 6994"
"Leo Johansen-Olsen","17 Strawbridge Street
RD 3
Stevengate 2173"
"Timothy Hansen-Hodson","65 Tangipapapatere Heights
Whangaaratapu 0872"
"Anna Hansen","65 Rotomanawapuke Causeway
Jaydentown 9727"
"Benjamin Hyde","Unit 49
8 Williams Street
Whakaawa 5194"
"Shane Hamilton","87 Matawhenua Beach Road
Kowhairongo 5741"
"Tracey Donaldson","5 Wekarua Street
RD 4
Morrisside 2269"
"Brendon Phillips","33 Smith Crescent
RD 8
Millerstone 9328"
"Lisa Wall","1 Harrison-Davies Way
Tahitahi 8937"
"Elizabeth Boyd","43 Williams Street
Motuiti 5736"
"Richard Whittaker","PO Box 94
Rotowhangatangi 9709"
"Vincent Scott-Pritchard","48 Hadfield-Lamb Street
Tahiwhangarongo 5709"
"Timothy Laing","83 Rongoaratangi Road
RD 3
Harrisburn 0471"
"Linda Carpenter","PO Box 590
Fowlermouth 9009"
"Rachel Willis","61 Mokokiwi Road
RD 5
Waiiti 9781"
"Jason Smith","PO Box 7
Christopherton 9891"
"Kenneth Davies","624 Allen Close
Simpsonneath 2371"
"Ian Wood","1 Williams Avenue
Streetton 9099"
"Simon Pedersen","13 Neal Crescent
RD 6
Davisneath 8122"
"Eva Jackson","8 Aaron Avenue
RD 1
Jacksonside 8491"
"David Gardner","PO Box 593
Mokomoko 5581"
"Grant Russell","3 Best Arcade
Johnside 5767"
"Timothy O'Connor-Barrett","566 Whangatai Street
RD 3
Manawawhero 8994"
"Jonathan Barnett","Level 5
33 Lang-Bassett Street
Rototaipuke 2391"
"Susan Satherley-Patchett","PO Box 4
Allangate 5800"
"Victoria Price","17 Maungatahimaunga Road
Michaelborough 9581"
"Jane Craig","PO Box 90
Nolanings 6260"
"Jasmine Hayward","279 Lucas Causeway
Powaka 6007"
"Carolyn Terry","49 Pukerohekiwi Range Road
Arakoro 5821"
"Melanie Nash","1 Donald-Wells Range Road
RD 8
Matangauru 5020"
"Tracy Barnett","PO Box 885
Kororangi 8942"
"Carl Ball-Martin","PO Box 803
Knightleigh 8446"
"Timothy Thomas","Unit 38
759 Taumaunga Street
Mooremouth 2666"
"Leah O'Keefe","Level 1
15 Ward Place
Laneneath 9082"
"Joanne Christie","632 Wharekowhai Street
Stubbsport 9535"
"Jason Thompson","3 Horowaka Mews
Edwardstown 8625"
"Katherine Mitchell","10 Tipukoro Terrace
Weston Hill 6909"
"Paul Whyte","PO Box 52
Mokonui 5228"
"Margaret Vercoe-McIntyre","265 Sinclair-Harris Alley
Kowhaimanawaiti 3579"
"Mia Davis","PO Box 24
Mount Wallacestone 7338"
"George Pope","PO Box 3
Wekangauru 8689"
"Hayden Stewart","4 Ngaurunui Street
Kowhaitipu 0682"
"Tina Franklin","6 Mokoawapapapa Drive
Rangihoro 5358"
"Madison Freeman","935 Horomotu Place
Whakamotu 5335"
"Catherine Morris","Suite 469
9 Linton Drive
Williamsville 9365"
"Lorraine Ward-Gardiner","Unit 58
3 Jane Drive
Tahiwhitu 2181"
"Grant Tapp","PO Box 5
Rangiwharekowhai 9804"
"Michael Small","487 Lang-Green Street
RD 6
Waiwaikoro 8028"
"Aimee Hubbard","55 Green Avenue
Rototoa 5297"
"Amy Murphy","99 Wendy Lane
Smithing 9518"
"Brett Hardy","Apt. 351
398 Mitchell Mews
Awatipu 6038"
"Graham Price","4 Simpson Cross
RD 3
Broughanborough 8566"
"Tina Neilson-Higgins","2 Kowhaiwhakapapapa Mews
Crawings 2025"
"William Campbell","46 Fowler-Stratford Way
RD 1
Waipapapakiwi 2156"
"Samantha Jackson-Turner","246 Allen Avenue
Maungamaunga 3623"
"Victoria Harris-Hansen","2 Taipowhare Square
RD 6
Kerrport 5368"
"Nicholas Knight","49 Weston Street
Allanburn 9820"
"Mary Anderson","50 Dion Street
Mitchellstone 1054"
"Dean North","843 Kendall Street
Griffithsburgh 9520"
"Steven Banks-Donald","5 Gilmore Drive
Pritcharding 5232"
"Ross Morris-Bell","Suite 396
3 Burgess Road
Rossport 8924"
"Garry Roberts","Flat 10
2 Tainui Flats
Horotahitangi 9600"
"Toni Atkinson-O'Connor","4 Alexander Drive
Bellberg 9336"
"Elizabeth Coley-Jones","819 Maungawaiwhitu Street
RD 9
Richardsside 8483"
"Grace Rush","Apt. 341
15 Wakawhitu Approach
Wakakawa 2223"
"Tania Browne","3 Wakawhare Trail
RD 4
Maungaara 9207"
"James Boyce-Pearson","295 Horomokokiwi Street
Hopkinsing 2540"
"Samuel Jones","PO Box 5
Aitkenfort 5304"
"Xavier Pope","Flat 24
8 Tangiwhenua Street
Davisbury 6142"
"Matthew Green","PO Box 67
McLeanberg 2093"
"Levi Parker","PO Box 18
Lisaleigh 2331"
"Adrian Waters","PO Box 20
Port Stratfordberg 6410"
"Toni Smith","PO Box 10
Manawawhangawhero 8113"
"Nathan Frost-Evans","9 Mokotahiawa Street
RD 1
Montgomery Flats 8501"
"David Bell-McGrath","22 Mokoiti Centre
RD 2
Healybury 2364"
"Charlie Wells-Davies","Suite 593
27 Lewis Road
Maungarohe 2136"
"Maria Russell","919 Ian Avenue
Poroa 4392"
"Peter Davies","52 Shaw Way
Puketere 6407"
"Sara Smith-May","PO Box 779
Tangipapapa 4353"
"Richard Gilchrist","480 Koropapapa Way
RD 4
Sophia Flats 2323"
"Christopher Mason","PO Box 31
Pukehope 6157"
"Peter Esson","Suite 582
275 Atkinson Street
Korowaka 1238"
"Toni Wong","54 Taylor-McLean Way
Tahikoro 8961"
"Jessica Christie","71 Cooksley Mews
Fullerbury 2148"
"Tyler Norman","Unit 90
2 Hayward Approach
West Broughanbury 6284"
"Anne Smith","11 Berry Street
RD 7
Lake Marfellburn 2536"
"Ashley Neal-Taylor","365 Tangikoronui Drive
RD 1
Fullerhaven 9862"
"Rebecca Shailer-MacDonald","46 Anahera Ridge
Nicholsonleigh 8008"
"Gemma Bell","674 Evelyn Causeway
Adamsburn 6247"
"Brittany Stewart","PO Box 89
Kowhainuku 7609"
"Matthew Batchelar","Level 5
2 Pritchard Road
Stephenton 5750"
"Robert Davidson","PO Box 45
Robsonneath 9749"
"Tony Davies","1 Larsen Gardens
RD 6
Kowhairongomata 9271"
"Russell Moody","PO Box 44
Kerrville 2399"
"Linda Robert","6 Mokowhanga Street
Wekawhero 9852"
"Alex Pratt","2 Campbell-Coley Terrace
Maungarohehope 2069"
"Joanne North-Bishop","4 Terehanga Arcade
Rongokoronui 9749"
"Megan Jamieson","PO Box 670
Lake Allenland 8868"
"Brent Norton","987 Kororongomanawa Street
Kawapapapamotu 8457"
"Rose Sullivan-Parkes","622 Tererangi Road
RD 10
Fentonburgh 6961"
"Renee Leslie","Level 2
657 Manawawaiwhero Street
Aranuku 9478"
"Christopher Johnston-Black","Level 6
14 McDonald Street
Maungahope 2580"
"Tony Gilmore","40 Wainui Street
Tipurua 5800"
"Katrina Neal","15 Mercer Circuit
Moturua 7232"
"Wendy Parsons","Apt. 855
4 Wharewhanga Concourse
Clarkeings 1567"
"Paula Neal","PO Box 9
Whangakoro 6056"
"Darren Miller","PO Box 7
Kowhaiwaka 9850"
"Aaron McManaway-Wilton","64 Natasha Street
Pikeberg 5371"
"Adam Zimmerman","167 Blick Street
Rohewhero 9007"
"Patricia Ward","PO Box 5
Terehope 5533"
"James Jellyman-Kenny","535 Miles Range Road
Powhangakiwi 2155"
"Brenda McDonald","9 Crawford Avenue
Natashaland 9816"
"Tony Jeffries","PO Box 236
Rasmussenport 2632"
"Hamish Simpson","PO Box 2
Horomanawa 5861"
"Sarah Sheridan","5 Morrison Street
Westside 9852"
"Sharon Reynolds","92 Stewart Line
Laurenneath 8186"
"Margaret Herd","60 Manawawhenua Street
Tangihope 8995"
"Taylor Findlay","PO Box 139
Littlebury 5131"
"Claire Burns","6 Skinner Keys
Traskmouth 5871"
"Dean Fuller","2 May Keys
High Ellerymouth 8963"
"Ann Rowland","329 Ewart Centre
Rongohoro 8927"
"Nicholas Harris","PO Box 8
Papaparohehanga 9838"
"Tracey Buchanan-Jamieson","Flat 90
20 Wharenui Track
Motutere 7483"
"Anne Reid","PO Box 15
Greenbury 8014"
"David Davey","5 Whanganuku Crescent
RD 6
Koronui 2426"
"Matthew West-Freeman","32 Wayne Street
RD 3
Andreaport 9335"
"Cohen Hughes","919 Whangatipuwhare Quay
Middlemissville 8542"
"Bernard Evans","7 Ariki Street
Tahiwhenua 5185"
"Phillip Gardiner","3 Lisa Place
Porongoroto 8528"
"Ariana Wilton","44 Bruce Arcade
RD 6
Aratautahi 8624"
"Dion Matthews","24 Powhero Street
Rongorangi 8402"
"Ryan McKay","18 Sarah Road
Hamilton Flats 5787"
"Tracey Craig","167 Manson Broadway
Johnstonside 2188"
"James Buchanan","3 Knight Drive
Rotowhaka 2255"
"Cheryl Paul-Foote","5 Edwards Crescent
Whakarongokowhai 1853"
"Samantha Smith","2 Hayley Beach Road
Powellport 5731"
"Michelle Bailey","Unit 93
15 Rangiweka Flats
Wiltonleigh 8419"
"Jacqueline Davis","32 Kirk Street
Nealleigh 1646"
"Michelle Smith","2 Webster Crescent
Jamesing 4742"
"Peter Farland-Thompson","Suite 572
35 Motuwhero Grove
Gibsontown 2573"
"Georgia Stewart","4 Jackson Square
RD 2
Rangirongo 5891"
"Angela Lucas","423 Munro Copse
Campbellville 8238"
"Tracey Evans","8 O'Donnell Way
RD 2
McKayfort 6235"
"Richard Waters","8 Mason Beach Road
Aranuku 7002"
"Justin McEwen","PO Box 58
Matatere 6472"
"Peter Saunders","8 Hudson Esplanade
Awanuku 9602"
"Kylie Smith-Fisher","8 Dean Road
RD 3
Sowmanland 8072"
"Georgia O'Brien-Webster","PO Box 535
Sharon Hill 9494"
"Tyler Holland","9 Turner Lane
RD 4
Powharetai 0395"
"Thomas Neal-Day","PO Box 334
Bairdbury 5109"
"Samuel Green","670 Mokoroheroa Lane
Papapawhaka 7269"
"Paul Fletcher","PO Box 2
Harryleigh 2003"
"Tracey O'Connell","321 Rongoweka Beach Road
RD 10
Jenniferneath 2190"
"Tane Wilkinson-Blackwell","54 Short-Gordon Street
RD 6
Motumakau 8003"
"Janice Judd","9 Sarah Crest
RD 2
Motungauruiti 9616"
"Peter Rutherford","66 Rohepapaparua Parade
Matapapapamata 2371"
"Richard Phillips-Rayner","PO Box 809
Pukeweka 9837"
"Laura Jones","546 Reid-Bryant Street
Barnesberg 2037"
"Paul Murphy","Flat 41
3 Ranginuku Drive
Wharerongo 6941"
"David Smith","54 Waitiputoa Street
Wekakawa 2656"
"Gary Parsons-Spencer","PO Box 2
Gardnermouth 2663"
"Alan Day","80 Reynolds Concourse
Brentstone 9018"
"Tracey Reader-Gray","8 Kathryn Place
Mount Wallisside 2563"
"Julie Waghorn","961 Guard Place
Phillipsings 8095"
"Emma Grant","PO Box 126
Papapanui 5187"
"Wayne Morris-Ball","483 Wharehoro Street
Ryangate 6202"
"Nicola Law","PO Box 6
Jonesmouth 2285"
"Brent Cole","PO Box 854
Parkerburgh 7356"
"Jacqueline Botham","190 James Street
Mooreburn 9043"
"Ian Aberhart","204 Bryant-Hood Ridge
Pratttown 6075"
"Sophie Norton-Ryan","3 McCormick Avenue
Motunui 5836"
"John Field-Linton","135 Oliver Avenue
RD 6
Birdbury 9350"
"Tracey Thomas","739 Knowles-Stratton Centre
Tipurongonui 9588"
"Maria Nicol","360 Ngaurukowhai Square
Rodgersburn 3022"
"David Grant","16 Alison Centre
Waltontown 5009"
"Michelle Munro","84 Baird Causeway
Williamsfort 5255"
"John Cook","PO Box 1
Arapowhitu 2078"
"David Fowler","84 Wainui Avenue
RD 4
Wekaroto 2699"
"Anthony Terry","24 Koromataroa Quay
Cooperfort 8982"
"Mila Stratford","4 Bryant Street
Whakahorotoa 2237"
"Grace Morgan-Mitchell","833 Smith Avenue
North Kennedy Hill 8847"
"Jacob Murphy","1 Elliott Street
Awatahi 2658"
"Tracey Turnbull","8 Horowhakatangi Road
RD 5
Arawhanga 6951"
"Logan Ward","Unit 75
6 Tahiwhero Street
Danielfort 2620"
"Paul McLeod","909 Hook-Thomas Avenue
Waiwekangauru 1590"
