"Aaliyah Ritchie"|"467 Korokawa Anchorage
Smithleigh 6493" 
"Nicola Hart"|"PO Box 885
Brightneath 9292"
"Michelle Neal"|"1 Moore Drive
Pokoro 2489"
"Jennifer Fleming-Ward"|"55 Pukekowhai Alley
Tipuhoro 8014"
"Mikayla Smith"|"Flat 73
1 Horonui Terrace
Goodwinborough 2370"
"Laura Patterson-Armstrong"|"PO Box 95
Brownings 4593"
"Josephine Ellery-Harris"|"167 Ford Street
Whangarua 9392"
"Kay Bruce"|"7 Kawawhare Street
Blackburn 8864"
"Fiona Robson"|"PO Box 7
Maungatangi 9855"
"Liam Foot"|"Suite 415
916 Harrison Road
Whangakawarohe 9013"
"Craig Jackson"|"1 Crawford-Riley Trail
Taungauruhope 9857"
"Nicola Henderson"|"PO Box 402
Wekamata 9434"
"Stephanie MacDonald"|"94 Whakawhero Road
Tahimata 5597"
"Annette Currie"|"PO Box 501
Wharerohe 2218"
"Matthew Casey-Brown"|"38 Pauline Centre
Cookhaven 5089"
"Joel Nielsen"|"79 Wairohe Street
Greentown 5811"
"Ian Cook"|"69 Pokawa Avenue
RD 3
Whangarohehope 8616"
"Paul Williams"|"474 Whakakowhairoa Street
Mokoawa 5040"
"Jonathan Foot"|"34 Smith-Stevenson Flats
Hart Flats 5194"
"Samantha Smith"|"109 Wekaawa View
RD 5
Wekaiti 4225"
"Karen Alve"|"759 Anderson Street
RD 3
Manawatai 6163"
"Nicola Humphrey"|"8 Maungamokotangi Avenue
Kathrynborough 9529"
"Katrina Gibson"|"99 Brown Line
Fordside 9884"
"Leanne Davidson"|"8 Rangipapapa Road
RD 2
Southee Flats 6235"
"James Lewis"|"760 Rowe Street
Reidborough 3935"
"Grant May"|"8 Gillies Alley
RD 4
Parkermouth 2348"
"Dylan Harper"|"5 Mokokowhairoto Close
Wharekorokowhai 5883"
"Brittany Mitchell"|"Flat 91
891 Kawahorotanga Square
Rangirohewhenua 9694"
"Brendan Russell"|"PO Box 8
New Powellings 9566"
"David Simmonds"|"PO Box 407
South Morganberg 9431"
"Deborah Fuller"|"PO Box 1
Jenkinsstone 2261"
"Nicola Law"|"Flat 94
63 Phillips Street
Kowhaimaunga 2118"
"Emma Davison-Scott"|"5 Wharerangi Park
Strattonville 9632"
"Sophia Cunningham"|"1 Watts Crescent
RD 9
Wharepuke 2436"
"Peter Bowden"|"8 Jefferies-Vincent Street
RD 10
Taumakau 5236"
"Desmond Baird-Scott"|"62 Mark Broadway
RD 1
Smithbury 1836"
"Joanne Corbett-Stace"|"38 Awawhenua Crossing
Adamsleigh 8508"
"Ashley Moore-Lucas"|"4 Hart Street
Blackville 2300"
"Connor Scott"|"799 Ngaurupapapa Arcade
Kororoto 2295"
"Patricia Cresswell"|"366 Reynolds Cove
RD 9
Pricestone 2518"
"Sarah Richards"|"8 Christopher Beach Road
RD 1
Loganton 2573"
"Nicola Page-Russell"|"PO Box 3
Ngaurunui 5565"
"Dean Cameron-Williams"|"Apt. 457
8 Miller Street
Mount Pedersenburn 5130"
"Bruce Turner"|"54 McKay-Taylor Avenue
RD 5
Whangawhare 9830"
"Leanne Stewart"|"Apt. 831
77 Davies Lane
Scottneath 2261"
"Karen Dalton"|"Level 2
4 Burnett-Scott Street
Kawapukewhare 6026"
"Peter Smith"|"20 Boniface Close
Elifort 2523"
"Anthony Carson"|"85 MacDonald-McEwen Avenue
Cheryling 6470"
"Stephanie Payne"|"PO Box 390
Middletoning 2213"
"Mary Nolan"|"Unit 60
7 Simpson Road
Hoareburgh 8657"
"Amy Russell"|"41 Thompson Drive
RD 1
Arapuketahi 1723"
"Nicola Taylor"|"Apt. 786
4 Kawarotokiwi Road
Awahanga 5803"
"Bruce Terry"|"27 Rangipukemata Avenue
Thompsongate 8891"
"Joshua Taylor"|"688 George Close
Taingaurutere 7783"
"Benjamin Low"|"43 Jessica Street
Whangatai 2096"
"Edward Marshall"|"Level 5
13 Motuawa Circuit
Thompsonberg 8937"
"Maia Moore"|"51 Andrew Keys
Lambleigh 5251"
"Heather Judd"|"76 Bassett Square
RD 2
Papapatangi 2339"
"Sharon Baird"|"68 Horowekawhenua Broadway
Dunn Flats 6935"
"Andrew Hart"|"Flat 15
4 Neil Circle
Maungaiti 9817"
"John Russell"|"92 Papaparoa Grove
Tairohe 2669"
"Nicola Thomas"|"Apt. 355
45 Waiiti View
Henderson Hill 8140"
"Emma Cresswell"|"67 Tairoa Road
Jackville 8635"
"Brenda Dixon"|"24 Alexander-Pedersen Avenue
Lower Blackfort 2092"
"Phillip Crawford"|"516 Blair Flats
Taupo 8553"
"Trevor Hansen"|"526 Mataweka Street
RD 10
Smithleigh 6944"
"David Moore"|"3 Papaparongo Street
RD 9
Rangingauru 8616"
"Wayne McFarlane"|"Flat 24
85 Isabella Arcade
Awataitipu 9803"
"Samuel Kenny"|"8 Horowhitu Road
RD 1
Sixtusmouth 8593"
"Rachel Russell"|"15 Anderson-Cole Beach Road
Kawamaunga 9862"
"Riley Perry"|"PO Box 7
Lower Taylorgate 2012"
"Nicola Thompson"|"400 Porohewhaka Keys
Lake McLachlanleigh 6292"
"Richard Lewis"|"Unit 15
596 Whakakowhai Street
Port Cummingtown 2225"
"Daniel Ferguson"|"324 Carter Street
Matthewport 9496"
"Geoffrey Blackwell"|"92 Hughes Cove
RD 8
High Daviesville 5323"
"Jackson Phillips"|"PO Box 775
New Wardfort 6012"
"Nicola Wilkinson"|"Suite 513
5 Sinclair-Morgan Pass
Korowhangatangi 4061"
"Graham Elliott"|"PO Box 927
Awawhangamoko 2515"
"Alice Woolley-Brown"|"39 Nicola Avenue
Foleymouth 8621"
"Rachel Gray"|"3 Smith Street
RD 2
Motuhanga 9383"
"Jackson Butcher-Sullivan"|"43 Kowhaimaunga Avenue
Brownport 5386"
"Nicole Jacques-Gillespie"|"128 Mann Drive
Awarohe 9708"
"Joanna Terry"|"PO Box 73
Manawamanawatoa 5817"
"Peter MacDonald"|"892 Tahimatahope Pass
Taunui 8485"
"David Hamilton"|"Apt. 545
6 Manawawekatangi Approach
Maungarohe 6931"
"Philip Grant"|"6 Findlay Grove
Daveymouth 4943"
"Tane Stevenson"|"1 Manawakiwi Mews
Matildaside 9634"
"Paul Smith-Stewart"|"70 Edwards-Edwards Mews
Thompsonhaven 9894"
"Sophie Wallace"|"57 Collis Road
RD 3
Morganport 5878"
"Michael Kerr-Murphy"|"Apt. 734
9 Wakawhenua Track
Tairoto 8420"
"James Kelly"|"Level 3
7 Matapokawa Square
Websterleigh 8058"
"Nicole Marshall"|"Apt. 217
442 Korowhakakowhai Beach Road
Awakawa 4105"
"Phoenix Porter"|"82 Blair-Rodgers Street
East Stewartside 2054"
"Gavin O'Leary"|"9 Wakaweka Copse
Wharetauhoro 7540"
"Nikau Gibbons"|"6 Joy Corner
New Lucasville 5063"
"Monique Harrison-Richards"|"Unit 24
9 Woods Street
Manawakorotau 6049"
"Patrick Arnott"|"Apt. 597
932 Maungakoronuku Rise
Warnerhaven 4948"
"Fiona Anderson"|"10 Daniel Crossing
McKinnonborough 2515"
"Matthew Oliver"|"30 Wakarua Plaza
Aratangingauru 9820"
"Jade Potter"|"8 Mitchell Street
Tauwhare 2349"
"Daniel Smith"|"441 McGregor Beach Road
RD 1
Jadefort 8491"
"Nicole Reid-Sixtus"|"PO Box 1
Wekatairohe 9018"
"Joanne Spencer"|"307 Horowhenua Street
Papapatanga 5271"
"Graham Lawson"|"646 Campbell Arcade
Tahipapapanuku 5268"
"Christopher Horn"|"7 Tangingauru Crossing
RD 9
Tangitangi 8509"
"Susan Coleman"|"69 Horoawaawa Avenue
Searlemouth 5596"
"Hayley Gilchrist-Hopkins"|"48 McMahon-Horton Keys
RD 3
Motuwaka 7552"
"Nathan Edwards"|"Apt. 598
78 Wallace Street
Danielmouth 8808"
"David Twidle"|"PO Box 162
Dawsonhaven 6481"
"Phillip Henderson"|"62 Russell Circle
Manawaiti 5386"
"Grace Moore"|"6 Thompson-Steer Access
Pearsonfort 5138"
"Nicole Ryan-Hardy"|"Apt. 134
5 Kawawhitu Street
Motutapu 9382"
"Wayne MacDonald"|"64 Freeth-Harrison Street
RD 6
Williamsstone 6443"
"Melanie Price-Craven"|"939 Wekanui Street
Papaparoa 5838"
"Megan Carter"|"90 Gray-Hardy Street
Kowhaitaimanawa 6005"
"Anna Brown"|"3 Maungarotohoro Road
Readerbury 6214"
"Aaron Thomas-Simmons"|"8 Pukeiti Mews
RD 6
Fordbury 2373"
"Joel Pearce"|"Apt. 863
90 Tessa Circuit
Orchardton 9473"
"Terence Watts"|"52 Bond-Thornton Terrace
Rototapu 4717"
"Joseph Ford"|"849 Maraea Avenue
Rohetai 5795"
"George Matheson"|"PO Box 5
Rangitai 6990"
"Nicole Williams"|"46 Whakaporoto Terrace
Wongport 8146"
"Kerry Roberts"|"4 Pope Street
Whareweka 5309"
"Ivy Barnes"|"7 Rogers Heights
West Gibsonville 2674"
"Eva Allan"|"3 Motutipu Drive
Hardieville 4968"
"Gemma Taylor"|"743 Millar Crescent
RD 4
MacDonaldville 5877"
"Jacqueline Whyte-Whittaker"|"135 Motutapu Circle
Motutangi 9728"
"Daniel Thomas"|"571 Kawapukewhitu Street
Wallaceside 5826"
"Maria Ewart"|"85 Maungawhero Circuit
Alexanderborough 1226"
"Yvonne Pratt"|"9 Mokokawa Street
RD 1
Kawatau 6463"
"Denise Anderson-Evans"|"Flat 22
30 Rutherford Grove
Ngaurukoro 5833"
"Nigel Fox"|"PO Box 567
Lower Hughesside 9570"
"Kayla O'Brien"|"29 Jenkins Crescent
Mooreland 2109"
"Amy Smith"|"7 Mokowhenua Mews
New Goodwinburn 5065"
"Dianne Foot"|"10 Smith Bypass
RD 8
Whangahanga 5763"
"Gavin Parsons"|"873 Williams-Harris Reserve
RD 7
Ngaurumotumotu 9560"
"Shane Guy"|"7 Woolley Street
Upper Wallacegate 7135"
"Michelle Williamson-Hughes"|"67 Rohengauru Copse
Manawahope 2117"
"Natasha Crawford"|"988 Jensen-Nielsen Road
Taurohe 5033"
"Leanne Bell"|"9 Tessa Street
Gardinerburn 8094"
"Ian Stewart"|"4 Matarangi Road
Vercoeburgh 4824"
"Nigel Grant"|"92 Stewart-Hyde Anchorage
Pohanga 9489"
"Elizabeth Miles-Terry"|"PO Box 9
Gullerymouth 5153"
"Suzanne McLachlan"|"Apt. 825
31 Tipungaurukowhai Mews
Wakamotumaunga 5276"
"David Nielsen-Harris"|"62 Lee Approach
Harrisside 6056"
"Rodney Harris"|"PO Box 3
Thompsonville 8633"
"Anna Warren"|"Unit 22
81 Victoria Beach Road
Tairohe 5855"
"Joshua Stone"|"37 Smith-Turner Street
Awaara 6469"
"Brett Wong-McMahon"|"61 Adrienne Range Road
High Stewartside 8688"
"Lucas Davidson"|"46 Allen Avenue
Whakawhangapuke 8697"
"Paul Price"|"3 Davis Street
Ryanside 2200"
"Nigel Waugh"|"Flat 82
703 Rotokawawhero Beach Road
Buchananside 9402"
"Angela Bowden-Eaton"|"Flat 76
283 Spencer Close
Rangiiti 2010"
"Blake Newton"|"67 Turner Alley
Findlaymouth 7269"
"Andrew Hubbard"|"Apt. 619
9 Horomata Alleyway
Kowhairua 8045"
"Michael Hardie"|"1 Smart Avenue
RD 5
Whakakorohoro 6053"
"Michael Hansen-Dixon"|"384 Awataunui Drive
Tahiara 3734"
"Joshua Turnbull"|"40 Miles Mews
Tiputanga 2148"
"Margaret Fitzgerald"|"8 Mila Avenue
Ararohe 5121"
"Barbara Haines"|"949 Street Avenue
Logantown 2146"
"Melissa Trask"|"41 Reed Line
Wallbury 9666"
"Nikau Knox"|"53 Harry Way
Manawatauroa 5068"
"Amanda Black"|"PO Box 7
Stewartfort 1286"
"Teresa York"|"44 Coley Bypass
Sallygate 2370"
"Melissa Flood-Gibbs"|"Suite 756
67 Olivia Ridge
Manawapukewhenua 5098"
"Grace Gore-Fox"|"80 Graham Cross
Juddborough 0190"
"Janine Williamson"|"291 Kate Street
Kawakiwi 5864"
"Carol Patchett"|"7 Maungawhare Crescent
Tahimatamakau 2580"
"David Gullery"|"PO Box 5
Stuartland 9511"
"Tina Bishell"|"Suite 819
453 Morton-Hansen Street
Kawarohemaunga 1679"
"Dylan Edwards"|"74 Lyon-Arnold Cove
RD 1
Hannahmouth 2671"
"Nikita Jensen"|"93 Rangimanawa Street
Mitchellville 2695"
"Timothy Wood"|"Level 7
599 Terence Road
Kevinmouth 9395"
"Tara York"|"PO Box 311
Ngauruawatai 9823"
"Tama Greer-Forsyth"|"888 Smart Square
Tipumatawaka 8602"
"Sarah McEwen"|"87 Tipukiwi Road
RD 7
Aramaunga 5136"
"Noah Stevens"|"Flat 48
1 Scott-Taylor Circle
Campbellside 5840"
"Tui Lawson"|"9 Aramotu Alley
Bellgate 1768"
"Angela Russell"|"46 Wharengaurumoko Street
Kawarongo 8852"
"Susan Jackson-Doherty"|"41 Short Gardens
Sharonmouth 6954"
"Graham Stevens"|"1 Edwards Approach
Ngauruawatoa 5747"
"Nikita Olsen"|"602 Papapakiwi Road
Wekawaiwhare 8281"
"James Bell"|"426 Tahikoro Grove
Patersonport 5876"
"Gabriel Russell-Brown"|"PO Box 8
Aramanawamoko 8198"
"Sarah Burgess"|"Unit 60
9 Ariana Mews
Fletcherton 9406"
"Kate Dixon-McDonald"|"Suite 150
2 Willis Line
Huddlestonneath 5232"
"Andrew Ingram"|"23 Maungakiwi Crest
Atkinsonstone 9876"
"David Coutts"|"241 Charles Crest
RD 2
Wekakowhai 9519"
"Danielle Anderson"|"666 Hume Line
Kowhaikoro 8949"
"Damian Craven"|"95 Malcolm Street
Mayhaven 5103"
"Jackson Leslie"|"PO Box 1
Maungamotu 8911"
"Noah Gordon"|"949 Parker Crescent
RD 6
Jenkinsborough 2144"
"Alana Best"|"Suite 446
63 Horotanga Road
Kowhaimata 2432"
"Ian Jenkins"|"911 Clunies-Ross Pass
Tipuara 8603"
"Matthew Procter-Morton"|"Apt. 179
248 Whakawhare Drive
Turnbullburgh 8408"
"Mikaere Ball"|"157 Hills Terrace
Port Spelmanleigh 6225"
"Nicholas Hamilton"|"396 Tahiweka Place
Griffinleigh 8087"
"Jane Hart"|"7 Koronui Street
RD 2
Arakowhai 8692"
"Emma Barnett"|"8 Carter Gardens
Awawaiwhaka 8898"
"James Griffiths"|"451 Gibson Street
Stewartleigh 8869"
"Lauren Grant"|"35 Black-Munro Avenue
Peterbury 9423"
"Oliver McGregor-Reardon"|"Suite 396
3 Rotokowhai Street
Rangitai 4723"
"Simon Collis-Carroll"|"PO Box 1
East McMurray Hill 8136"
"Daniel Jefferies"|"Level 2
55 Fisher Crescent
Hendersongate 9010"
"Jane Moore"|"49 McEwen Terrace
Pukehanga 0508"
"Carol Ewart"|"7 Morrison Street
RD 2
Freethberg 8200"
"Caitlin Coleman"|"PO Box 30
Arakawawhenua 8012"
"Philip Jenkins"|"6 Boyce-Newman Street
Horotapu 5062"
"Angela Thomas"|"Suite 828
87 Smart Reserve
Pomotutipu 3038"
"Stacey Burrell"|"PO Box 5
Horonui 2286"
"Tayla Irving"|"34 Motuarapuke Anchorage
Rohewai 6409"
"Oliver Millar"|"866 Aitken Street
RD 10
Kieranneath 5768"
"Amelia Moore"|"498 Parker Heights
Millerville 5212"
"Samuel Rees"|"PO Box 553
Maddisoning 2660"
"Jonathan Dixon"|"PO Box 30
Tahiroto 8973"
"Kayla Ball"|"3 Shaw Avenue
Flemingborough 6495"
"Andrew McGill"|"Level 7
6 Griffiths Crescent
Wilkinsonbury 5094"
"Alexandra Douglas"|"Apt. 848
7 Collis Road
Burton Hill 2644"
"Joshua Crawford"|"PO Box 7
Whakakorotere 2225"
"Jamie Munro"|"PO Box 632
Shepherdneath 8987"
"James Jackson-Murdoch"|"632 Katie Crossing
RD 3
Shaneberg 9455"
"Oliver Phillips"|"Unit 32
645 Smith Copse
Hansening 1799"
"Ashley Middleton"|"PO Box 6
Smithberg 9569"
"Amanda Rush"|"95 Smith Corner
RD 2
Tipupapapa 1108"
"Linda Cooksley"|"96 Ramsay-Foot Street
South Davisleigh 6099"
"Susan Moore"|"PO Box 249
Kawaawatangi 4750"
"John Roberts"|"274 Rohewekamanawa Road
Maungawhanga 6182"
"Suzanne Anderson"|"PO Box 3
Williamstown 9511"
"Cameron Jones"|"86 Boyd Mews
Forrestmouth 2614"
"Matthew Ferguson"|"PO Box 12
Wakapapapa 1158"
"Jason Stratford"|"10 Vercoe Cove
South Boycemouth 5350"
"Oliver Ryan"|"346 Davis-Pearce View
Hartstone 9539"
"Nicholas Lawson"|"9 Whareawatoa Close
Pritchardneath 9412"
"Madison Satherley-Hansen"|"60 Jesse Road
Rohemata 9749"
"Paula Wood"|"8 Whangatoa Street
Robertfort 5058"
"Theodore Dixon-Thompson"|"41 Manawawhakawhitu Road
Chapmanton 8089"
"Richard Brown"|"41 Awamaungapuke Way
Awamokonui 3710"
"Sophie Johansen"|"Flat 59
9 Motukawa Road
Bakerport 9397"
"Jeffrey Gullery"|"3 Maree Point
Shortland 9034"
"Lucy Fuller"|"705 Koropapapa Crest
Whangamatawai 9512"
"Sienna Patchett"|"939 Scott Crescent
Rangitanga 5751"
"Oliver Simpson"|"9 Kawataitangi Centre
Taumokongauru 5286"
"Pauline Hewitt"|"1 Craven Street
McLeodberg 5302"
"Peter Jones"|"801 Rongowhare Beach Road
Korowai 9654"
"Dylan Morris"|"PO Box 7
Campbellberg 2095"
"Alexandra Gee"|"Suite 352
193 Ross Beach Road
Tahinuku 9300"
"Emma Allen"|"PO Box 599
Wakangaururua 2071"
"Michael Gordon"|"Apt. 820
8 Harris-Murphy Range Road
Foxing 4052"
"Maria McMahon"|"525 Simmonds-McCormick Road
RD 1
Thomasing 6281"
"Jessica Laurenson"|"PO Box 56
Charlesberg 6436"
"Mark Caldwell"|"PO Box 9
Kororoto 5340"
"Oliver Toms-Williams"|"3 Amanda Street
West Andersoning 6264"
"Steven Rogers"|"PO Box 388
Blacktown 8437"
"Nicholas Simmons"|"PO Box 158
Kerr Flats 3438"
"Rebecca Murphy"|"77 Fleming-Strawbridge Mews
RD 3
Mearsville 9843"
"George Reader"|"Apt. 891
4 Raewyn Street
Shortborough 6215"
"Mary Duncan"|"Level 8
146 Tahiiti Gardens
Allanborough 9065"
"Kevin Jensen"|"54 Whangawai Mews
Brown Hill 2552"
"Russell Owen-Clarke"|"803 Jason Road
Smithburgh 2403"
"Leslie Clarke"|"48 Horohanga Street
Rongomatarangi 2204"
"Jack Hardy"|"5 Horowhaka Highway
Whangateretahi 2551"
"Olivia Bowater"|"720 Boniface-Smith Bypass
Evanston 5194"
"Rose Burton"|"PO Box 4
Martinleigh 9431"
"Kyle Miles"|"789 Rowe Place
East Francismouth 6404"
"Debra O'Connor"|"92 Taurangi Close
Maungawaka 5269"
"Ariana Morris"|"832 Samuel Bypass
Petersburn 8295"
"Lauren Anderson-North"|"PO Box 5
Nashport 6484"
"Hannah Dalton"|"75 Sarah Arcade
Tangiwhanga 9883"
"Justin Bright-Knight"|"797 Anderson Street
Anthonyborough 2235"
"Stacey Jordan"|"Unit 97
16 Elliott-Scott Street
North Campbellbury 8195"
"Georgia Roberts-Barnes"|"55 Aratoa Road
Whangamoturoa 9377"
"Olivia Croad"|"21 Healy Crescent
Wallaceborough 8176"
"Andrew Currie"|"Unit 45
45 Awamanawawhenua Flats
Tahiwhitu 6243"
"Carlos Ritchie"|"4 O'Brien Esplanade
Tangipapapawai 8085"
"Wendy Fuller"|"Unit 31
663 Matawhero Close
Collisfort 6430"
"Cameron Morris"|"9 Roberts Street
Waygate 8549"
"Shirley Rogers"|"3 Powell-Patterson Street
RD 7
Bassettburgh 8520"
"Wendy Henderson"|"1 Mokoawa Avenue
RD 2
Tahitauwai 2539"
"Anna Anderson"|"473 Osborne Cove
RD 9
Evansberg 0617"
"Troy Taylor"|"4 Johnstone Trail
RD 2
Parkergate 2562"
"David Jones"|"PO Box 2
Burkemouth 6007"
"Olivia Fisher"|"Level 8
290 Wood-Chapman Avenue
Powekatai 5830"
"Robin Farland"|"502 Denise Broadway
Mokoaratangi 4217"
"Nicole McDonald"|"1 Horoawa Road
Satherleymouth 8205"
"Alan Dalton"|"325 Awataurua Street
West Hollowayside 5716"
"Hayley Moore"|"7 Rangitoa Drive
East Conwayneath 2351"
"Nicola Hope"|"2 Cox-West Ridge
Currieings 2587"
"Emma Harris"|"273 Whakatipu Way
Wharewhaka 9294"
"Scott Scott"|"390 Flood-Moore Avenue
Matthewshaven 9350"
"Ben Morris"|"75 Taylor-Berry Access
Pearceburn 8187"
"Susan Allerby"|"5 McKay Terrace
RD 5
Waiweka 0238"
"Olivia Lloyd"|"859 Pohope Parade
Coleberg 5035"
"Leslie Taylor"|"20 Rangitai Court
Wakarohe 5512"
"Shane Jensen"|"1 Pope Avenue
Simonsen Flats 9096"
"Helen MacKenzie"|"244 Ham Mews
Whakatangi 9257"
"James Ritchie"|"107 Melissa Centre
Rutherfordmouth 2550"
"Trevor Phillips"|"PO Box 713
Waitipurangi 8906"
"Henry Smith"|"976 Scott-Hughes Street
RD 1
Kawatapu 5307"
"Pamela Best-Forrest"|"PO Box 14
Thompsonport 7151"
"Jason Russell-Simonsen"|"PO Box 2
Upper McCarthyside 1734"
"Kahu McIntosh"|"3 Hart-Mercer Drive
Arawhero 9479"
"Olivia McMillan"|"PO Box 668
Mokowhakarongo 9602"
"Michael Davidson"|"99 Ngaurutapu Avenue
Morganmouth 6902"
"Kate Green"|"Apt. 571
25 Smith Drive
High Fullerside 9602"
"Gregory Field"|"9 Rongoiti Place
RD 1
Fisherton 2093"
"Nigel Stevens"|"41 Maungapapapa Street
Hansenport 7649"
"Michelle Smith"|"PO Box 8
Williamsings 5735"
"Samantha Kennedy-Fletcher"|"2 Boyce Access
Sinclairfort 9497"
"Blake Ward"|"PO Box 824
Rongowekamoko 6108"
"Mark Wood"|"PO Box 921
Awanui 9719"
"Sophia Thompson"|"Level 2
329 Jamieson Approach
Whangarongo 9388"
"Olivia Peters-Curtis"|"8 McEwen Parade
Ararongotangi 2123"
"Simon Terry-Fuller"|"79 Hickey Street
Pooleneath 2649"
"Douglas Newton"|"PO Box 63
Marshallhaven 5745"
"Emma Healy"|"2 Owen Place
Manawaiti 9312"
"Philip Gibson"|"Apt. 827
654 Neilson Anchorage
Arawhare 2223"
"David Christie-West"|"PO Box 439
Howardhaven 4639"
"Janine MacDonald"|"Flat 17
1 Kelly-Davis Reserve
Rohematawhenua 9626"
"Sophie Williams"|"73 Robb-Dillon Street
Hororongo 9453"
"Barry Kelly"|"6 Martin Street
Mount Mortimerton 9402"
"Murray Small"|"7 Whangakawa Grove
RD 4
Smithing 9582"
"Olivia Porter"|"930 Rongopapapa Street
Petersonburgh 8066"
"Hamish Matthews"|"510 Tangingauru Way
Whakarongo 5269"
"Alexandra Smith-Knight"|"293 Tauwhenua Avenue
RD 8
Taimakau 5713"
"Scott Bishop-Greer"|"27 Stewart-Patchett Line
Mudgwaymouth 6964"
"Stephen Wells"|"40 Charles Terrace
Kawaroto 8957"
"Nigel Davey-Adams"|"16 Lyons Street
Horohanga 2003"
"Justine Pedersen"|"8 Caldwell Highway
High McIntoshing 2680"
"Christine Davies"|"8 Parkes Street
Tobymouth 9446"
"Gordon Parker"|"8 Henderson-Marshall Heights
RD 6
Wakaawatere 8909"
"Lily Harrison"|"Flat 59
1 Davison Way
Rohetapu 6068"
"Oscar Barker"|"414 Whangatoa Avenue
RD 10
Fordville 2562"
"John Hickey"|"PO Box 22
Rototaimakau 8270"
"Tracy McIntyre-Thornton"|"7 Whakamanawatangi Keys
RD 7
Brooks Hill 2214"
"Alan Morgan"|"56 Gibbons Street
Mokotau 2274"
"Michelle Croad"|"808 Ngaururoa Drive
RD 8
Hollandstone 9047"
"Nathan Shand"|"492 Potauwaka Beach Road
Rangihope 6182"
"Robyn Jellyman-Olsen"|"3 Christopher Beach Road
RD 5
Whangarohe 9894"
"Catherine Bird"|"Suite 188
756 Baker Keys
Wekahope 1530"
"Rebecca Robson"|"852 Smith Beach Road
RD 1
Andersoning 8538"
"Karl McDonald-Moore"|"PO Box 4
Whangawhare 8584"
"Oscar Campbell"|"Flat 34
8 Tauwai Rise
Taupapapa 6285"
"Kora Giles"|"PO Box 61
Matthewneath 2384"
"Amanda Holland"|"56 Rohewhenua Flats
High Daygate 5204"
"Kate Johnston"|"PO Box 552
Tangiroto 5129"
"Daniel Taylor-Wood"|"7 Holdaway Arcade
Mokokowhaitangi 2296"
"Mereana Montgomery"|"PO Box 211
Rongonui 5031"
"Natasha Jones"|"2 Kelly Access
Kowhaipokiwi 3275"
"Barbara Dickson"|"82 Whangawakawhare Crescent
Whangarua 8040"
"Isaac Harris-Lucas"|"205 Timothy Circle
Poweka 9200"
"Nicola Smart"|"Unit 76
346 Parker Way
Hodsonport 8253"
"Oscar Dawson"|"PO Box 399
Lower MacKenzieburn 8085"
"Melissa Stevens"|"15 Rotowai Crescent
Mount Watersberg 6223"
"Louise Forrest-Jamieson"|"6 Wharenuku Road
Jonesberg 2010"
"Russell Greer"|"PO Box 82
Allerby Hill 2206"
"Melissa Thompson"|"62 Stewart Street
Hutchinsonburn 6280"
"Ryan Richards"|"PO Box 78
Fieldton 2477"
"Carl Hansen"|"PO Box 7
Daviesleigh 8239"
"Melanie Turner"|"5 Grant Flats
Taylorbury 8153"
"Logan Miles"|"651 Wills Street
Botham Flats 9334"
"Hamish Millar"|"742 Rohetoa Avenue
Mokowekahope 9431"
"Oscar Dean"|"692 Whakawhitu Way
New Brownland 9773"
"Olivia Alve"|"PO Box 9
Wharerangikiwi 9603"
"Emily Powell"|"43 Karen Street
Markmouth 5265"
"Maria Oliver"|"PO Box 2
Koropuke 6287"
"Kelly Larsen"|"PO Box 8
Bruceborough 4216"
"Matilda Alexander"|"Flat 60
32 Higgins Mews
Rongoroto 9691"
"David Berry"|"302 Robyn Avenue
Clunies-Rosston 8619"
"Glenn Ramsay"|"42 Kowhaikawa Flats
Shaneberg 9064"
"Maya Butcher"|"133 Smith-McDonald Cutting
Morrisonland 9596"
