"Albina Begonja"|"Kapucinske 8
75605 Duga Resa" 
"Matija Piljek"|"Gračanska 6b
58695 Solin"
"Kata Obratov"|"Lisinskoga 3
24633 Lipik"
"Anđela Roce"|"Višnjičke 3b
02052 Grubišno Polje"
"Lidija Kadija"|"Šilobodov put 2c/3
16999 Grubišno Polje"
"Marija Oršulić"|"Tkalčićeva 4c/7
26036 Samobor"
"Iva Valjetić"|"Zelenjak 85
21301 Makarska"
"Ilija Palić"|"Goljačke 0c
42383 Ludbreg"
"Ruža Ilić"|"Zvonarnička 2a/6
56450 Šibenik"
"Luka Perčić"|"Draškovićeva 3a
29835 Pazin"
"Tomo Horvatić"|"Kraljevec II. 5c/4
35786 Sveta Nedelja"
"Davor Šibalić"|"Bijenička 51
26986 Kastav"
"Elizabeta Škrnički"|"Cmrok 910
65367 Omiš"
"Vjekoslav Seršić"|"Remetska 6b/3
26300 Pazin"
"Goran Dretvić"|"Zelenjak 8c/3
65826 Vrlika"
"Zora Milas"|"Kamenjak 4b/8
54665 Drniš"
"Nikolina Marijanović"|"Paunovac 91
38479 Virovitica"
"Fran Matahlija"|"Srebrnjak 8a/8
34384 Novigrad"
"Ruža Ivšić"|"Gupčeva zvijezda 125
58721 Varaždinske Toplice"
"Nataša Matas"|"Jurkovićeva 3c
68074 Belišće"
"Kristijan Šverko"|"Vijenac 280
61406 Velika Gorica"
"Bruno Matković"|"Draškovićeva 0b/6
31546 Grubišno Polje"
"Mirjana Škunca"|"Arnoldova 4c/2
38735 Komiža"
"Jure Tuđa"|"Glogovac 3c
01079 Ivanec"
"Janko Ugrinić"|"Gračanska 1b/2
96573 Kraljevica"
"Marijana Ivšić"|"Krležin gvozd 6a
42672 Koprivnica"
"Jele Lešković"|"Mlinovi 72
34363 Lipik"
"Željko Kupsjak"|"Tuškanac 866
86959 Zabok"
"Ruža Kovačević"|"Bijenička 0b
90197 Zadar"
"Janja Prtenjača"|"Klesarski put 90
50922 Skradin"
"Domagoj Horvatinec"|"Jurkovićeva 0c/1
72733 Popovača"
"Miroslav Gulan"|"Svibovac 2b
84304 Omiš"
"Franjo Katić"|"Bijenička 1b/9
70793 Karlovac"
"Božena Markovac"|"Kraljevečki ogranak 3a/6
27777 Labin"
"Viktor Pikec"|"Mala 842
90996 Glina"
"Danica Čiš"|"Bijenička 9a
69801 Vrlika"
"Dušan Žiković"|"Klenovac 7b/6
88076 Otočac"
"Nika Matulin"|"Kožarska 0
53367 Valpovo"
"Ruža Kuzmić"|"Pantovčak 5b/4
52414 Benkovac"
"Igor Milatić"|"Kaptol 300
08828 Križevci"
"Maria Cik"|"Mlinske 0b
53200 Bjelovar"
"Zora Ribić"|"Čačkovićeva 4a/0
50025 Ploče"
"Vedran Kraljević"|"Mlinarska 064
80855 Ilok"
"Željka Mofardin"|"Orlovac 9
21580 Korčula"
"Mile Mustač"|"Bosanska 3b
54977 Zabok"
"Luka Hinić"|"Splavnica 5b/8
86058 Cres"
"Zdenka Barnaba"|"Davor 5b/3
45188 Kaštela"
"Miroslav Bralić"|"Bosanska 3
51053 Novigrad"
"Ruža Stojanov"|"Remetska 7a
71397 Donji Miholjac"
"Elizabeta Požega"|"Bakačeva 3
67992 Šibenik"
"Kristina Bunić"|"Rockefellerova 3b/6
62778 Duga Resa"
"Anita Majstorović"|"Dverce 0a
33472 Trogir"
"Mislav Plantek"|"Zmajevac 2a
13070 Dubrovnik"
"Renata Guštin"|"Mesnička 0
41699 Dugo Selo"
"Sara Salopek"|"Zamenhofove 8a
05111 Ploče"
"Mato Derežić"|"Bosanska 9a/4
24929 Sveta Nedelja"
"Kristijan Baničević"|"Rokova 8b/1
89063 Đurđevac"
"Toni Jureško"|"Vrazovo šetalište 7
95115 Komiža"
"Ruža Turina"|"Lobmayerove 0a/2
23606 Sveti Ivan Zelina"
"Romano Semialjac"|"Naumovac 79
53181 Duga Resa"
"Nika Kovač"|"Kurelčeva 1a
16373 Belišće"
"Milka Bralić"|"Orlovac 98
43889 Glina"
"Božo Birkić"|"Donje Prekrižje 1b
95328 Buzet"
"Domagoj Peruško"|"Lobmayerove 5
15352 Duga Resa"
"Vlado Kunac"|"Dubravkin 8a/8
58843 Omiš"
"Josipa Brezjan"|"Kožarska 2b
76814 Đakovo"
"Niko Hanžek"|"Bosanska 5
72899 Đurđevac"
"Julijana Štefanec"|"Perivoj biskupa Stjepana II. 7a/4
01763 Gospić"
"Ruža Vidović"|"Lobmayerove 8a
61013 Nova Gradiška"
"Mira Puškarić"|"Donje Prekrižje 3c
29339 Vodice"
"Erik Plantek"|"Streljačka 2b/9
67995 Rab"
"Jasna Mudri"|"Dverce 6a
39597 Pakrac"
"Đurđica Rašeta"|"Male 1
04427 Samobor"
"Antun Barbić"|"Klesarski put 4
06079 Labin"
"Zora Cukon"|"Zavojna 7c
46381 Slunj"
"Nataša Božanić"|"Dvoranski prečac 115
16393 Valpovo"
"Filip Dražić"|"Voćarsko naselje 9c/0
47991 Metković"
"Damir Bračun"|"Glogovac 9b/5
48900 Garešnica"
"Ruža Šurina"|"Bakačeva 8a
49374 Ozalj"
"Lidija Radinović"|"Opatička 751
16038 Vrgorac"
"Slavko Čović"|"Jurišićeva 0c
28159 Zadar"
"Anka Šurina"|"Kozarčev vijenac 1a
23930 Ploče"
"Pavao Božanović"|"Slavujevac 2
09036 Đurđevac"
"Mladen Poropat"|"Vrazovo šetalište 0b/3
70926 Glina"
"Karla Vaci"|"Tkalčićeva 7a/0
82303 Ozalj"
"Patrik Roce"|"Pantovčak 58
03727 Kraljevica"
"Nika Škugor"|"Opatička 0c/8
05831 Karlovac"
"Pavao Brlek"|"Nova Ves 9c
92874 Sinj"
"Ružica Antonić"|"Kamenita 2
85864 Pag"
"Maja Ritoša"|"Šalata 450
11289 Slavonski Brod"
"Hana Kosanović"|"Jurišićeva 54
84706 Vis"
"Mira Šarić"|"Mala 9
49181 Otočac"
"David Dobrić"|"Slavujevac 2c
05811 Buzet"
"Danijela Balić"|"Wickerhauserova 9a/7
54554 Vis"
"Milena Sardelić"|"Mihaljevac 2b/6
50932 Biograd na Moru"
"Tomo Ribić"|"Streljačka 0a/9
87941 Opatija"
"Goran Jagečić"|"Splavnica 5b/0
16483 Đakovo"
"Franjo Cvenić"|"Orlovac 7c
59571 Rijeka"
"Ružica Borošak"|"Hercegovačka 0a
43081 Požega"
"Mislav Matovina"|"Jezuitski trg 7b
18716 Lipik"
"Ivo Šarić"|"Glogovac 1
37588 Novigrad"
"Snježana Mamula"|"Svibovac 59
47803 Koprivnica"
"Niko Kolarec"|"Ksaver 9
44113 Korčula"
"Dino Čuljak"|"Kamenita 5
25865 Rab"
"Ljubica Štrljić"|"Ružičnjak 41
97680 Novi Vinodolski"
"Zorka Pamić"|"Dvoranski prečac 3c/7
87551 Ogulin"
"Božena Žiković"|"Ksaverska 1b
68042 Lipik"
"Ante Kunac"|"Magdićeve 5a/3
53808 Samobor"
"Ružica Botica"|"Ksaverska 3a
29344 Omiš"
"Niko Crnković"|"Ljubinkovac 446
02241 Ivanić-Grad"
"Pero Baljak"|"Lobmayerove 4b/9
25023 Donja Stubica"
"Joško Ladavac"|"Vončinina 38
85404 Buzet"
"Lea Pintarić"|"Naumovac 8a
73356 Krapina"
"Darko Gržetić"|"Zamenhofova 9
50590 Ogulin"
"Mira Pintarić"|"Perivoj biskupa Stjepana II. 5c
70131 Prelog"
"Dražen Perak"|"Mašekova 8b
93698 Kraljevica"
"Andrija Semialjac"|"Vončinina 8a
25850 Jastrebarsko"
"Ante Mudri"|"Opatička 629
81031 Novalja"
"Ružica Knežević"|"Demetrova 66
92329 Križevci"
"Leon Kauzlarić"|"Jadranska 8b
36181 Đakovo"
"Andrea Bertoša"|"Rockefellerova 92
40337 Požega"
"Laura Leščić"|"Palmotićeva 26
03184 Trogir"
"Valter Županić"|"Golubovac 330
11698 Bakar"
"Sandra Štrljić"|"Mesnička 59
07286 Korčula"
"Nika Eterović"|"Splavnica 6a/5
20474 Ivanić-Grad"
"Jana Grgurovac"|"Jurkovićeva 5c/2
42646 Đakovo"
"Ivanka Legović"|"Šalata 3
21856 Omiš"
"Elizabeta Birtić"|"Ksaverska 1b/1
95771 Novi Vinodolski"
"Ružica Kovačević"|"Krvavi most 1a
41611 Popovača"
"Bara Bobanović"|"Zeleni dol 383
01828 Gospić"
"Milena Šeparović"|"Perivoj srpanjskih žrtava 2c
27131 Imotski"
"Anton Maletić"|"Splavnica 6a
03617 Knin"
"Janja Sokač"|"Perivoj biskupa Stjepana II. 9a
04353 Velika Gorica"
"Ankica Tomljanović"|"Medvedgradska 1c
62401 Komiža"
"Vlado Dautanec"|"Vijenac 40
86194 Vukovar"
"Maria Kadija"|"Mlinske 3
27276 Dubrovnik"
"Jasminka Stanić"|"Gradec 5c/1
41946 Karlovac"
"Marta Jugovac"|"Dolac 843
75589 Vodice"
"Ružica Papak"|"Vitezovićeva 9b
83075 Kutina"
"Alen Liber"|"Bučarova 41
06454 Stari Grad"
"Danijela Božičković"|"Ribnjak 0c
11733 Čabar"
"Anica Gelemanović"|"Istarska 9a/1
00787 Komiža"
"Mihael Gulan"|"Gornje Prekrižje 7b
43424 Cres"
"Saša Lešić"|"Kraljevec II. 8b
53912 Zabok"
"Aldo Brcko"|"Lisinskoga 47
29952 Novi Vinodolski"
"Dario Dolić"|"Zmajevac 0c
55304 Benkovac"
"Barbara Surać"|"Dolac 9b
64319 Karlovac"
"Božena Bertoša"|"Male 0
53045 Kaštela"
"Ružica Rubeša"|"Strossmayerovo šetalište 3c/6
77395 Slunj"
"Elizabeta Horvatek"|"Slavujevac 8a
36293 Trilj"
"Mladen Lucić"|"Splavnica 9c/3
54344 Cres"
"Lea Mraović"|"Krvavi most 20
94276 Sveta Nedelja"
"Vera Kevo"|"Visoka 3c/9
54467 Zabok"
"Marijana Kahlina"|"Mlinovi 0b
41605 Lepoglava"
"Maria Orlović"|"Mlinske 57
25330 Sveti Ivan Zelina"
"Dragan Lučić"|"Rockefellerova 9
82419 Korčula"
"Nika Šipić"|"Gupčeva zvijezda 0a
05752 Đurđevac"
"Fran Dretvić"|"Zmajevac 0b
70850 Đurđevac"
"Ružica Salopek"|"Voćarsko naselje 1b/3
14984 Valpovo"
"Biserka Mužić"|"Zeleni dol 5a/7
49401 Novi Marof"
"Sanja Knežević"|"Kaptol 1a
00049 Samobor"
"Draga Obratov"|"Vončinina 6a/2
17731 Stari Grad"
"Anica Jelić"|"Goljak 7c/4
78883 Komiža"
"Renata Zrilić"|"Kamenita 0c/9
41697 Vrbovsko"
"Ljubica Hanžek"|"Zvonarnička 6a
90087 Vrbovsko"
"Zorka Filipčić"|"Krležin gvozd 5a
60325 Lipik"
"Antonija Madunić"|"Jurjeve 6a/0
28907 Rab"
"Elvis Barković"|"Skalinska 03
63349 Krapina"
"Ružica Sobota"|"Zeleni dol 2a
70488 Dubrovnik"
"Barica Kresonja"|"Jadranska 9c/7
37321 Knin"
"Fran Kučić"|"Srebrnjak 4c
62596 Rijeka"
"Robert Birkić"|"Kozarčev vijenac 1b
88347 Čazma"
"Karla Burčul"|"Lisinskoga 2b
82282 Čazma"
"Kristina Škrtić"|"Kurelčeva 69
13300 Vinkovci"
"Nataša Perić"|"Grič 3a/9
26057 Krk"
"Davor Pešić"|"Jurkovićeva 2
98990 Duga Resa"
"Laura Preočanin"|"Zelenjak 39
17437 Šibenik"
"Tatjana Polić"|"Mirogojska 7b/6
31069 Oroslavje"
"Ružica Šalić"|"Kraljevečki ogranak 4
31830 Delnice"
"Valentina Krpan"|"Dvoranski prečac 3a/8
04971 Trogir"
"David Krčelić"|"Čačkovićeva 1b/6
95027 Crikvenica"
"Igor Petričević"|"Opatička 6b/5
08925 Novalja"
"Jasminka Seničić"|"Šalata 3a
85229 Kutina"
"Ante Bučanac"|"Novi Goljak 3c
96856 Varaždin"
"Jure Kelić"|"Kožarska 4c/0
18649 Senj"
"Ljubica Hrastinski"|"Kožarska 8c
36477 Đurđevac"
"Valentina Cindrić"|"Ilica 6c
64450 Kutina"
"Tomo Kostelac"|"Vinogradska 3b
03694 Vis"
"Ružica Škunca"|"Šestinski vrh 7c/2
13731 Krapina"
"Božo Moslavac"|"Kamenjak 5b
90379 Zadar"
"Petra Sedlar"|"Goljačke 2a/3
31564 Križevci"
"Ika Pikec"|"Kamenjak 7
60629 Šibenik"
"Antonija Žabjačan"|"Tkalčićeva 73
04161 Rab"
"Barica Horak"|"Cmrok 5c
35643 Gospić"
"Barbara Licul"|"Ribnjak 6a
38045 Krk"
"Renata Mudri"|"Demetrova 5b/8
81119 Imotski"
"Viktor Pikec"|"Gradec 45
55492 Zadar"
"Robert Antonić"|"Skalinska 8c/9
35190 Glina"
"Ružica Šošić"|"Podgaj 63
85025 Čakovec"
"Šime Tepeš"|"Istarska 8a/9
35415 Karlovac"
"Elvis Rukavina"|"Demetrova 1c
77223 Dugo Selo"
"Ivica Seničić"|"Zamenhofova 9c
11972 Kutina"
"Ilija Dvojak"|"Jurjevska 5
59910 Otok"
"Marica Starčević"|"Pod zidom 569
78700 Pag"
"Snježana Čotić"|"Kaptol 4c
76934 Grubišno Polje"
"Đuro Rubinić"|"Svibovac 5c/7
97872 Opatija"
"Niko Markanjević"|"Istarska 7a/0
77738 Skradin"
"Darko Poslon"|"Hercegovačka 0
04626 Vrbovsko"
"Sandra Boljkovac"|"Visoka 0b
88221 Vukovar"
"Albina Brajković"|"Srebrnjak 6
19804 Sveta Nedelja"
"Hrvoje Puljiz"|"Mihaljevac 06
86294 Kutjevo"
"Biserka Radelić"|"Ksaver 4c/4
26926 Vrgorac"
"Kate Plantak"|"Ružičnjak 21
71251 Metković"
"Marijan Barković"|"Tuškanac 9
76961 Čabar"
"Filip Grgić"|"Kurelčeva 2b/4
28266 Samobor"
"Nikola Dolinar"|"Medvedgradska 8a
78915 Pakrac"
"Mateja Papak"|"Dverce 2b
48709 Benkovac"
"Duje Macan"|"Medveščak 4b
15758 Kutina"
"Sandra Dretvić"|"Višnjičke 7a/8
24902 Dubrovnik"
"Jana Čizmić"|"Golubovac 5b
40614 Novalja"
"Milica Jurčić"|"Mesnička 224
05180 Sisak"
"Mirko Vozila"|"Paunovac 7c/0
19785 Prelog"
"Lucija Čargonja"|"Jurjevska 5c
65345 Klanjec"
"Lovre Jurković"|"Šumski prečac 5a
63308 Našice"
"Mladen Gregov"|"Demetrova 7b/5
30964 Lepoglava"
"Anita Kovač"|"Lobmayerove 4c
72340 Glina"
"Stjepan Raljević"|"Grič 2
91540 Samobor"
"Roko Špoljarić"|"Horvatovac 74
58496 Vodnjan"
"Sandra Ilić"|"Bakačeva 910
18740 Skradin"
"Jure Bašić"|"Kozarčev vijenac 9b
05771 Kutina"
"Kristijan Vrhovec"|"Dverce 3c
94643 Pakrac"
"Robert Pavelić"|"Hercegovačka 3a
47361 Opuzen"
"Maja Vaci"|"Zelenjak 98
89038 Rijeka"
"Barbara Škrlin"|"Mlinarska 8c/7
35782 Mursko Središće"
"Dino Požega"|"Goljačke 9c
85843 Krapina"
"Matej Sokić"|"Ilica 67
65455 Pleternica"
"Đurđica Franić"|"Strossmayerovo šetalište 5a
47514 Vinkovci"
"Šime Martić"|"Zavojna 3c
06446 Buje"
"Sandra Kraljević"|"Skalinska 9b/8
22130 Skradin"
"David Pleše"|"Ksaverska 97
99988 Buzet"
"Dalibor Žiković"|"Draškovićeva 3c/5
00985 Valpovo"
"Božica Malnar"|"Višnjica 7
01304 Mali Lošinj"
"Dora Eršek"|"Mlinarska 3
60152 Mali Lošinj"
"Štefanija Vladislavić"|"Zavojna 216
60111 Kastav"
"Tea Maćešić"|"Mihaljevac 62
60657 Vis"
"Mara Andrijević"|"Zmajevac 6a/0
08620 Zlatar"
"Franjo Galić"|"Streljačka 3a/7
66654 Dugo Selo"
"Mislav Boljkovac"|"Tuškanac 1c/2
64075 Pleternica"
"Sandra Kunac"|"Strossmayerovo šetalište 9
93270 Sveta Nedelja"
"Dražen Harapin"|"Harmica 88
99759 Čazma"
"Andrea Frketić"|"Paunovac 8a
55950 Buzet"
"Antonio Jović"|"Podgaj 2b
28835 Đakovo"
"Josip Bašnec"|"Krvavi most 9b
79933 Velika Gorica"
"Zoran Drakulić"|"Ksaver 1b
17447 Hrvatska Kostajnica"
"Marin Marjanović"|"Rockefellerova 27
93857 Skradin"
"Marko Prelec"|"Horvatovac 7a/4
35747 Slunj"
"Božo Glavan"|"Mesnička 5b
66113 Ivanić-Grad"
"Nikša Bolčević"|"Draškovićeva 606
15046 Sinj"
"Sandra Lukšić"|"Mirogojska 755
69994 Pag"
"Ivica Baksa"|"Višnjičke 1c/8
33908 Grubišno Polje"
"Terezija Orbanić"|"Kraljevečki ogranak 1c
15017 Križevci"
"Kristina Antolković"|"Naumovac 9c/1
77146 Metković"
"Rozalija Škrtić"|"Ribnjak 2a/8
19364 Ozalj"
"Alen Mihalić"|"Bučarova 914
89555 Novi Vinodolski"
"Kristina Glavor"|"Hercegovačka 5c
73528 Sisak"
"Ane Petričević"|"Jurišićeva 37
31474 Hrvatska Kostajnica"
"Stjepan Čagalj"|"Nemetova 2a
06300 Pula"
"Nada Čubrić"|"Ilica 4b
81349 Grubišno Polje"
"Sandra Mikulandra"|"Voćarsko naselje 880
09274 Osijek"
"Manda Kraljević"|"Zamenhofove 0b
92467 Buje"
"Danijela Pedišić"|"Mala 9a/5
40483 Đurđevac"
"Dario Krajcar"|"Golubovac 3c
78130 Prelog"
"Filip Dončević"|"Jezuitski trg 6b
37605 Ilok"
"Sanja Guberović"|"Vinogradska 4a/2
22134 Donji Miholjac"
"Štefanija Starčević"|"Streljačka 6c
30580 Gospić"
"Dušan Šibalić"|"Šalata 35
56805 Zabok"
"Robert Mateša"|"Slavujevac 5
17446 Oroslavje"
"Ruža Perčić"|"Nova Ves 603
89893 Benkovac"
"Sandra Plantak"|"Šestinski vijenac 0c/5
21064 Ozalj"
"Renata Jelavić"|"Remetska 4b
45433 Čazma"
"Nada Erceg"|"Kapucinske 9b/9
13541 Buje"
"Petra Kopjar"|"Zelengaj 3b
48426 Mali Lošinj"
"Stjepan Radić"|"Draškovićeva 8
33567 Beli Manastir"
"Davor Miloslavić"|"Vončinina 271
72828 Valpovo"
"Danijel Kramarić"|"Dubravkin 324
77110 Novi Vinodolski"
"Anton Gotić"|"Krležin gvozd 8a/5
44447 Otočac"
"Suzana Amanović"|"Mesnička 1c
80379 Dubrovnik"
"Nika Hrvojić"|"Vinogradska 65
84892 Kaštela"
"Sandra Ribičić"|"Rokova 3
31014 Lepoglava"
"Siniša Žunec"|"Zamenhofova 0b
36083 Ilok"
"Alen Kovaček"|"Kraljevečki ogranak 5a/8
18383 Osijek"
"Lea Šelendić"|"Krležin gvozd 8b
47464 Prelog"
"Vera Benčić"|"Zeleni dol 4b
52096 Novigrad"
"Dalibor Petrić"|"Tuškanac 9c
89065 Hrvatska Kostajnica"
"Laura Radolović"|"Jurkovićeva 4b
44628 Ivanić-Grad"
"Filip Meić"|"Zamenhofove 0a
91285 Krapina"
"Tea Jonjić"|"Wickerhauserova 9c
75217 Nin"
"Marko Šošić"|"Kaptol 3a
90510 Skradin"
"Sandra Škoda"|"Nemetova 8c/1
55941 Vrgorac"
"Marica Licul"|"Visoka 9
87362 Biograd na Moru"
"Juraj Pecotić"|"Kamenjak 3a/9
94788 Pazin"
"Vjekoslav Kirinčić"|"Bijenička 8
60543 Prelog"
"Ivo Krznarić"|"Bučarova 1a
47748 Vodice"
"Dejan Darojković"|"Horvatovac 0c
25821 Križevci"
"Milan Barić"|"Medveščak 1b
09831 Ludbreg"
"Mateo Nikolić"|"Jagodnjak 8c/4
58688 Benkovac"
"Mirko Kuzmić"|"Klenovac 2b/4
26657 Trogir"
"Mare Lasić"|"Dverce 126
69874 Vis"
"Sanja Barać"|"Ribnjak 1a
26483 Slavonski Brod"
"Leon Štifanić"|"Kurelčeva 65
26220 Omiš"
"Robert Tomljanović"|"Zelenjak 9b
78126 Karlovac"
"Rudolf Šarlija"|"Mesnička 0c/8
74445 Ozalj"
"Ante Kocijančić"|"Vijenac 05
94266 Solin"
"Ljubica Šokčević"|"Voćarska 4a
15747 Vrgorac"
"Petar Orlić"|"Bijenička 0c/3
15905 Čazma"
"Nikola Kosanović"|"Visoka 4
45001 Benkovac"
"Dragan Krznarić"|"Svibovac 4c/0
29020 Vinkovci"
"Ivo Mušćet"|"Gupčeva zvijezda 3c/2
24349 Ogulin"
"Sanja Bogović"|"Vrazovo šetalište 7b
51597 Zlatar"
"Milan Vučetić"|"Krvavi most 1b
93205 Krapina"
"Snježana Čović"|"Kamenjak 1a
92301 Omiš"
"Elvis Sorić"|"Radnički dol 8a/2
97445 Kutina"
"Ema Gotić"|"Medveščak 5
44091 Obrovac"
"Tea Balić"|"Zamenhofova 2a
11679 Gospić"
"Mara Plantek"|"Vrazovo šetalište 112
69685 Cres"
"Igor Matošević"|"Ljubinkovac 6b/0
66051 Ivanec"
"Ivo Liber"|"Vončinina 7
57879 Donji Miholjac"
"Gordana Mahnet"|"Tkalčićeva 8a/4
45194 Makarska"
"Sanja Bučanac"|"Mletačka 6a
91184 Hrvatska Kostajnica"
"Zlatko Marković"|"Srebrnjak 4c
46480 Donji Miholjac"
"Dario Jonjić"|"Lobmayerove 528
53481 Slunj"
"Branka Milatić"|"Klenovac 2a
34159 Bjelovar"
"Milan Peharda"|"Pod zidom 7a/4
37240 Križevci"
"Mara Horvatinec"|"Mlinarska 8a
43861 Komiža"
"Bruno Majdenić"|"Jurjeve 9c/0
45605 Korčula"
"Milica Akmačić"|"Svibovac 8a/2
09772 Rab"
"Milka Ignac"|"Jagodnjak 38
22197 Sveti Ivan Zelina"
"Julijana Majstorović"|"Palmotićeva 7
91736 Ivanić-Grad"
"Sanja Knežević"|"Javorovac 1b
80758 Bjelovar"
"Janko Viljevac"|"Mlinske 503
30748 Drniš"
"Ružica Eterović"|"Lobmayerove 7c/1
19225 Zagreb"
"Antonio Pešić"|"Vrazovo šetalište 1b/4
54457 Koprivnica"
"Lovro Rumora"|"Srebrnjak 9a
47758 Slunj"
"Siniša Petričević"|"Mlinovi 3a/0
28726 Vodice"
"Jure Sobota"|"Vončinina 2
77956 Zlatar"
"Marica Pavković"|"Tošovac 7
56058 Vinkovci"
"Anđa Matovina"|"Tošovac 8c
73297 Slavonski Brod"
"Mateo Guštin"|"Zamenhofove 0a
98416 Hvar"
"Sanja Lenić"|"Grič 5a
58641 Samobor"
"Marijan Lukšić"|"Cmrok 8a/2
97024 Knin"
"Matea Preočanin"|"Srebrnjak 4
00418 Mursko Središće"
"Branka Burčul"|"Višnjica 0a/2
85409 Kaštela"
"Zdravko Vrban"|"Naumovac 1b/3
75845 Cres"
"Mateja Skupnjak"|"Jabukovac 43
78685 Vodice"
"Lana Mamić"|"Kamaufova 7a
11928 Rovinj"
"Ika Bungić"|"Rockefellerova 3c/1
68323 Otok"
"Maja Vučetić"|"Zvonarnička 8
73861 Glina"
"Zvonko Bingula"|"Javorovac 5b
99138 Slatina"
"Sanja Mihalić"|"Gradec 2c
94298 Daruvar"
"Anita Plantak"|"Svibovac 7c/1
71563 Buje"
"Martina Ivandić"|"Davor 2a
21035 Ludbreg"
"Šime Odobašić"|"Gupčeva zvijezda 7a/4
08988 Bjelovar"
"Marina Dubovečak"|"Slavujevac 3b/0
64829 Supetar"
"Danijela Živić"|"Ksaver 6c
12829 Novigrad"
"Matija Ladavac"|"Rokova 6b
49113 Knin"
"Lidija Stolnik"|"Jabukovac 6c/6
37347 Dugo Selo"
"Sanja Babić"|"Magdićeve 1b
81282 Slunj"
"Julijana Karmelić"|"Dubravkin 4b
27124 Benkovac"
"Sanja Pedišić"|"Streljačka 0a/8
33634 Našice"
"Ivka Halapir"|"Zavojna 5a
32689 Kastav"
"Biljana Rukavina"|"Šilobodov put 5b
47746 Ozalj"
"Marina Stojanov"|"Zamenhofova 8a/8
21444 Lipik"
"Marijana Moscarda"|"Šestinski vijenac 6c
12303 Krk"
"Ivka Ribić"|"Magdićeve 662
96474 Slavonski Brod"
"Albina Huljev"|"Kaptol 2a
42072 Hrvatska Kostajnica"
"Vedran Gegić"|"Jagodnjak 4a
94298 Otok"
"Željka Lešković"|"Wickerhauserova 7a
02033 Virovitica"
"Mare Veić"|"Goljak 5b/2
24949 Otočac"
"Sanja Poljak"|"Jagodnjak 7c
45995 Kraljevica"
"Tea Krajcar"|"Naumovac 4b/0
47993 Labin"
"Pero Nižetić"|"Wickerhauserova 5a
97292 Zadar"
"Đurđica Andrijašević"|"Cmrok 0
30865 Sveti Ivan Zelina"
"Dragica Hadrović"|"Dverce 8a
76160 Belišće"
"Anto Vretenar"|"Visoka 8c/6
42404 Opuzen"
"Valentina Hinić"|"Radnički dol 2c/5
51868 Pregrada"
"Lucija Barešić"|"Bijenička 0a
45033 Kutina"
"Mirjana Grubišić"|"Jagodnjak 9b
19159 Makarska"
"Joso Barnaba"|"Orlovac 5
36543 Zabok"
"Sanja Vuković"|"Ksaver 5b/3
01432 Našice"
"Dušan Medić"|"Jadranska 6b/6
08234 Rijeka"
"Duje Pamić"|"Arnoldova 1c
93425 Makarska"
"Hrvoje Damijanić"|"Paunovac 7b/0
27891 Daruvar"
"Alen Čulina"|"Tkalčićeva 0a/5
45474 Slavonski Brod"
"Suzana Drandić"|"Palmotićeva 4a
35584 Hvar"
"Sanja Grbac"|"Medvedgradska 0b/5
22299 Glina"
"Jasna Dončević"|"Mletačka 2a/9
50667 Vukovar"
"Jele Gelemanović"|"Glogovac 3c
09810 Korčula"
"Marin Guštin"|"Ljubinkovac 7a/3
85524 Kraljevica"
"Sanja Špika"|"Nemetova 7c
56135 Kraljevica"
"Antun Klasić"|"Jadranska 4c/0
24157 Obrovac"
"Željko Karlović"|"Lisinskoga 4b
11145 Poreč"
"Željka Puškarić"|"Ilica 269
85801 Vrgorac"
"Dušan Mihaljević"|"Kraljevec II. 8a
83121 Umag"
"Jakov Kaniški"|"Dolac 8b
69508 Obrovac"
"Duje Vela"|"Zavojna 252
79156 Pazin"
"Jozo Mofardin"|"Gupčeva zvijezda 1b/8
16106 Ozalj"
"Lea Krajcar"|"Šumski prečac 9c/0
24521 Rijeka"
"Nevenka Dabo"|"Čačkovićeva 7c/4
62817 Donji Miholjac"
"Sara Buljan"|"Voćarsko naselje 9c
34369 Sveti Ivan Zelina"
"Nikša Ilić"|"Zavojna 949
98566 Buje"
"Barbara Lucić"|"Naumovac 4b
87189 Ilok"
"Đuro Močibob"|"Dubravkin 48
07291 Oroslavje"
"Karla Kalanjoš"|"Voćarska 8c
38034 Požega"
"Antun Vukušić"|"Harmica 0c
46419 Karlovac"
"Mario Kostelac"|"Petrova 7b
15586 Beli Manastir"
"Ika Orlić"|"Vitezovićeva 48
76641 Čazma"
"Manda Čotić"|"Mlinovi 2b
38251 Varaždin"
"Antun Vukušić"|"Klesarski put 9a
08055 Supetar"
"Sara Grba"|"Kamenjak 9c
17726 Nova Gradiška"
"Pavao Morić"|"Mlinovi 9c/8
55219 Garešnica"
"Leon Milina"|"Kozarčev vijenac 145
61285 Osijek"
"Vera Viljevac"|"Mletačka 0c/0
94572 Vukovar"
"Nikolina Antolković"|"Gračanska 4b
14258 Opatija"
"Milan Brlek"|"Mlinske 6b
18756 Otok"
"Pavao Štrbac"|"Svibovac 1c
56264 Skradin"
"David Vrabelj"|"Zvonarnička 4c/7
54149 Šibenik"
"Igor Cvetković"|"Mlinarska 2b
85840 Novska"
"Branko Roca"|"Voćarsko naselje 7a/7
74844 Nin"
"Sara Hinić"|"Vlaška 6a
37549 Kraljevica"
"Marina Viljevac"|"Čačkovićeva 580
94094 Trogir"
"Elvis Dukić"|"Svibovac 5a/5
19992 Slatina"
