"Albina Babić","Davor 19
73856 Novska" 
"Joško Poslon","Mašekova 6c
25674 Bakar"
"Lovre Barišić","Mlinovi 5b
49626 Grubišno Polje"
"Matej Šimara","Jezuitski trg 7b/8
47201 Knin"
"Dragica Tisaj","Zeleni dol 4b
31909 Pleternica"
"Vladimir Smoković","Ljubinkovac 2a/5
41416 Daruvar"
"Janja Trnski","Rokov perivoj 0
25237 Opuzen"
"Antonija Ljubičić","Srebrnjak 7c/3
28900 Bjelovar"
"Vesna Kukučka","Kraljevec II. 9c/4
68983 Virovitica"
"Elvis Markanjević","Perivoj srpanjskih žrtava 0a
99663 Karlovac"
"Anđela Zubčić","Jabukovac 4a/9
61727 Krk"
"Joso Vozila","Arnoldova 370
94955 Petrinja"
"Kate Lukinić","Nova Ves 5a
80186 Đurđevac"
"Josipa Kolić","Zeleni dol 9
51979 Velika Gorica"
"Danica Banovac","Mihaljevac 7a/7
71806 Klanjec"
"Aldo Bolčević","Pantovčak 0b
75664 Split"
"Katarina Amanović","Golubovac 8b/8
31587 Našice"
"Maja Bungić","Skalinska 771
68657 Popovača"
"Vesna Maras","Zelengaj 0c
49614 Đurđevac"
"Zdenka Šimić","Višnjica 3a
41117 Komiža"
"Domagoj Hranić","Kurelčeva 6a
86470 Velika Gorica"
"Nikolina Ilić","Kapucinske 931
07370 Pakrac"
"Romano Damjanović","Mala 0b/3
66329 Vodnjan"
"Nina Ban","Male 4b
41582 Obrovac"
"Damir Škrlin","Streljačka 3b
48969 Pakrac"
"Nikša Hrvojić","Donje Prekrižje 14
87513 Virovitica"
"Đurđica Petrić","Svibovac 040
97074 Nin"
"Slavica Maričević","Tošovac 9c/1
99718 Pag"
"Vesna Sladonja","Krvavi most 8b/0
79758 Otočac"
"Nataša Galić","Gračanska 1a
74553 Krapina"
"Julijana Komljenović","Goljak 7b/7
21025 Đurđevac"
"Zvonko Drakulić","Dvoranski prečac 5b/1
81908 Karlovac"
"Romano Radinović","Jagodnjak 06
09392 Pakrac"
"Leon Karlović","Tuškanac 60
66615 Mali Lošinj"
"Šime Balinčić","Zavojna 9c
23079 Mali Lošinj"
"Tomo Totić","Slavujevac 9b
42913 Benkovac"
"Mira Perkov","Radnički dol 5b
25346 Našice"
"David Prelec","Pantovčak 82
62313 Pag"
"Vesna Vuk","Vončinina 041
04383 Kaštela"
"Jadranka Cvrtila","Jurjevska 3c
22736 Bjelovar"
"Mare Barešić","Ilica 8c/7
94188 Kraljevica"
"Darko Amidžić","Krležin gvozd 8c
48225 Pleternica"
"Dalibor Buršić","Pod zidom 8
25349 Krk"
"Slavica Dominiković","Tošovac 2a/8
49445 Valpovo"
"Štefica Pamić","Krležin gvozd 0c/3
31118 Cres"
"Eva Dizdar","Gračanska 3a/6
38845 Rovinj"
"Franciska Čizmić","Istarska 1b
43607 Đurđevac"
"Zlatko Šarlija","Ksaverska 314
46224 Skradin"
"Vesna Zanoški","Dvoranski prečac 4
38257 Ludbreg"
"Maja Pongrac","Zelenjak 2a/5
22361 Ilok"
"Joso Kurtoić","Zelengaj 9b
97250 Varaždinske Toplice"
"Janko Matijaš","Perivoj srpanjskih žrtava 36
66282 Velika Gorica"
"Anka Stupalo","Kaptol 6b/7
53979 Kaštela"
"Štefanija Mesić","Skalinska 0c/2
61712 Vodice"
"Milan Radojković","Hercegovačka 8a/3
33275 Stari Grad"
"Jozo Husnjak","Draškovićeva 5b/6
71293 Kastav"
"Mislav Branković","Vitezovićeva 5c/0
63780 Zlatar"
"Joško Medač","Opatička 3b
24248 Labin"
"Vesna Šantić","Zelengaj 1a
26673 Otok"
"Nika Kosanović","Rikardove 6c
94007 Delnice"
"Rozalija Zubčić","Pantovčak 2b
96823 Kastav"
"Janko Milatić","Ružičnjak 4a/7
90817 Novigrad"
"Toni Sokol","Nova Ves 2c/2
80454 Kastav"
"Stana Šturlan","Kozarčev vijenac 4b/3
36055 Vrbovec"
"Terezija Keleković","Svibovac 7a/0
85390 Hvar"
"Tea Stojnić","Rokova 5a/9
38663 Đakovo"
"Aldo Aničić","Dubravkin 4b
79704 Pleternica"
"Ruža Barušić","Rockefellerova 375
66833 Valpovo"
"Vesna Šinković","Zamenhofove 9a/5
17974 Zadar"
"Draga Peša","Dvoranski prečac 4a
18644 Daruvar"
"Mare Vučetić","Zamenhofove 0b/7
39310 Novalja"
"Božica Cvrtila","Srebrnjak 4a/2
91834 Čakovec"
"Mile Palić","Bučarova 346
87939 Donji Miholjac"
"Damir Predovan","Šalata 08
19223 Obrovac"
"Hana Milotić","Gornje Prekrižje 52
28965 Valpovo"
"Sara Vrabelj","Mirogojska 999
76846 Opuzen"
"Terezija Šurina","Mlinovi 3b
57573 Slavonski Brod"
"Anka Juretić","Zvonarnička 8c/4
22148 Opuzen"
"Viktor Blagaić","Glogovac 7a/3
07377 Koprivnica"
"Maria Pedišić","Kraljevec II. 2b
39263 Metković"
"Anton Tisaj","Jurkovićeva 0a/7
04275 Otok"
"Andrea Magić","Magdićeve 38
37317 Senj"
"Lucija Bajan","Vončinina 5a
52449 Nin"
"Martina Bašnec","Ksaver 908
25514 Ogulin"
"Franciska Tisaj","Bakačeva 4
43091 Zadar"
"Hrvoje Belošević","Radnički dol 5c
92016 Lipik"
"Ljiljana Benić","Ksaverska 184
61780 Rovinj"
"Ema Gredičak","Hercegovačka 894
67031 Vodice"
"Viktor Bogdan","Mesnička 20
52082 Varaždin"
"Janko Kukučka","Vijenac 3c
94162 Bjelovar"
"Ivo Piljek","Skalinska 9a/5
80070 Ludbreg"
"Patrik Trbović","Šilobodov put 5c
64339 Kutina"
"Vladimir Šitum","Bosanska 4a/1
44507 Slunj"
"Ružica Milas","Mletačka 7b/0
33675 Dugo Selo"
"Nikola Karmelić","Vijenac 3b/2
01222 Novalja"
"Duje Koščević","Strossmayerovo šetalište 5a/5
72564 Otočac"
"Goran Predovan","Mašekova 2
35122 Novigrad"
"Marta Franušić","Cmrok 7c
51407 Cres"
"Viktor Colić","Dvoranski prečac 6c
71125 Mursko Središće"
"Dragan Mudri","Strossmayerovo šetalište 74
37471 Opatija"
"Anica Kuveždić","Višnjičke 45
00974 Zaprešić"
"Janko Priselac","Vitezovićeva 0c
72089 Imotski"
"Erik Jakopec","Tuškanac 0c
80077 Opuzen"
"Anto Matas","Lisinskoga 527
65762 Novi Vinodolski"
"Milena Kokorić","Grič 2b
47075 Obrovac"
"Anica Blažičko","Ribnjak 9a/2
19654 Trilj"
"Ana Sinožić","Jurjeve 8c
24600 Beli Manastir"
"Hana Liović","Horvatovac 46
77346 Rab"
"Viktor Damjanović","Kraljevečki odvojak 6b
73482 Buje"
"Petar Resanović","Goljačke 3b/0
12718 Vrgorac"
"Toni Mikulec","Arnoldova 3c/3
70419 Zlatar"
"Ljiljana Perkov","Klenovac 7
79686 Buje"
"Lucija Eterović","Grič 1b
69943 Otok"
"Tomo Barković","Gradec 9a
50312 Oroslavje"
"Nikolina Burić","Kraljevec II. 9
33679 Karlovac"
"Štefanija Rijetković","Zavojna 7a/2
53825 Crikvenica"
"Ane Vukman","Kamaufova 2b/0
24822 Vinkovci"
"Josip Štrbac","Podgaj 6a
27186 Mursko Središće"
"Viktor Deže","Vončinina 3c
07685 Buje"
"Ivan Polović","Kaptol 9b
52593 Stari Grad"
"Anton Sever","Zvonarnička 9b/2
38044 Novi Marof"
"Ika Cestarić","Šestinski vrh 0a/1
22129 Grubišno Polje"
"Ljiljana Antonić","Naumovac 0c
69315 Požega"
"Nika Stolnik","Dubravkin 8c/8
13125 Omiš"
"Kate Banovac","Demetrova 380
10520 Vis"
"Mirjana Čupić","Kraljevec 8
49091 Delnice"
"Marina Rakuljić","Bosanska 8c/4
15798 Rab"
"Janja Stojanov","Zelengaj 9b/9
96282 Mursko Središće"
"Viktor Ercegović","Kaptol 8b
89539 Dugo Selo"
"Slavko Topić","Bijenička 3c
32085 Vrlika"
"Dragutin Volarević","Kapucinske 1c
83029 Korčula"
"Mario Hrženjak","Ružičnjak 3
34102 Buje"
"Anto Fuček","Lobmayerove 9a
40278 Križevci"
"Vesna Prelec","Visoka 53
05135 Šibenik"
"Bruno Jureško","Klanac Grgura Tepečića 823
37586 Požega"
"Anita Ugrinić","Ksaverska 8b
44340 Sveta Nedelja"
"Milan Kuščević","Jurišićeva 2
13204 Bakar"
"Mladen Balatinac","Čačkovićeva 539
13436 Požega"
"Viktor Lenić","Zvonarnička 3c/4
69496 Kaštela"
"Vjekoslav Barić","Vinogradska 0
30557 Ludbreg"
"Nada Jurjević","Voćarska 608
55515 Zadar"
"Denis Kosanović","Kraljevec 0a
66997 Zlatar"
"Anto Klanac","Jezuitski trg 95
84705 Čabar"
"Tea Dobrić","Tkalčićeva 63
66668 Zadar"
"Ankica Triplat","Dvoranski prečac 3b/5
53240 Klanjec"
"Zoran Vugec","Svibovac 72
61959 Vrbovsko"
"Đuro Zgorelec","Vončinina 6
13741 Vrgorac"
"Dora Borojević","Ribnjak 4c
04524 Biograd na Moru"
"Viktor Lorencin","Streljačka 702
43523 Vukovar"
"Lovro Hrvojić","Mihaljevac 1c/3
20551 Sinj"
"Barica Boban","Mlinske 1c/7
76615 Supetar"
"Terezija Ražov","Klesarski put 7c
44199 Vodnjan"
"David Novosel","Kraljevec II. 3c
52643 Vrgorac"
"Filip Šokčević","Ksaverska 3b/9
10179 Novska"
"Mijo Orešković","Golubovac 5c
36286 Rijeka"
"Bruno Načinović","Voćarska 1b/6
03512 Buzet"
"Elizabeta Kokanović","Medvedgradska 2c/0
69055 Poreč"
"Ljubica Marinković","Draškovićeva 0a/2
69196 Zaprešić"
"Viktor Lucić","Hercegovačka 3b/4
59801 Zabok"
"Mateja Juretić","Lobmayerove 1a
03321 Sinj"
"Zora Jugovac","Ksaver 6a
63707 Makarska"
"Ruža Bralić","Svibovac 0b
20615 Imotski"
"Nikša Maričević","Srebrnjak 4
86220 Skradin"
"Šime Jakupić","Čačkovićeva 8a/6
01805 Đurđevac"
"Jadranka Novak","Opatička 0a
94442 Otok"
"Vesna Lešić","Zelenjak 0c
99155 Delnice"
"Kate Beraković","Zeleni dol 1a
81598 Ludbreg"
"Marko Orlović","Vitezovićeva 8c/1
67733 Skradin"
"Viktor Maričević","Vinogradska 1c
70898 Ivanić-Grad"
"Dominik Blažević","Zelengaj 9b
15277 Koprivnica"
"Antonija Strinavić","Zelenjak 7
96540 Novalja"
"Nikša Nimac","Zelengaj 3c/8
45809 Supetar"
"Valter Galović","Šalata 79
52225 Popovača"
"Siniša Belošević","Jagodnjak 5c/1
79917 Samobor"
"Jele Dobrić","Klenovac 7c/2
80681 Stari Grad"
"Darko Milovac","Šestinski vijenac 4c/0
74178 Sveti Ivan Zelina"
"Saša Vretenar","Gračanska 903
05618 Čakovec"
"Bruno Radočaj","Donje Prekrižje 8c
35570 Pregrada"
"Viktor Maćešić","Vinogradska 7a
26956 Križevci"
"Nikša Dončević","Šumski prečac 395
41642 Vrbovsko"
"Ivo Gelemanović","Cmrok 3a/2
38828 Ilok"
"Snježana Čizmić","Demetrova 3c/5
46165 Skradin"
"Draga Amanović","Kozarčev vijenac 4a/4
64892 Vrgorac"
"Luka Mikulec","Mletačka 3b
14332 Vukovar"
"Leon Surać","Zelenjak 4
25815 Vrlika"
"Ljubica Paparić","Vitezovićeva 4c
55981 Velika Gorica"
"Milena Nižetić","Kraljevečki odvojak 4
62777 Sinj"
"Franjo Blagaić","Dvoranski prečac 1a
55752 Rovinj"
"Viktor Polić","Kožarska 3a
41612 Virovitica"
"Terezija Pintarić","Krležin gvozd 8c/6
88158 Skradin"
"Lovre Rijetković","Radnički dol 4a
77784 Pazin"
"Lovre Starčević","Goljačke 0c
52292 Samobor"
"Viktor Maras","Kamenita 1a
95928 Labin"
"Boris Maraš","Radnički dol 1
73788 Beli Manastir"
"Barica Karamarko","Jurišićeva 4c
92721 Ludbreg"
"Marica Nižetić","Klanac Grgura Tepečića 9a
98683 Rovinj"
"Joso Kraljević","Klenovac 72
00799 Dugo Selo"
"Karlo Bijelić","Gupčeva zvijezda 3c/6
56846 Trilj"
"Viktor Toić","Novi Goljak 713
70856 Đakovo"
"Jele Macan","Mlinske 6a/0
18835 Pleternica"
"Jozo Sirotić","Podgaj 7a/5
97712 Požega"
"Sandra Knezović","Jezuitski trg 0a
35191 Beli Manastir"
"Biserka Mišković","Vinogradska 791
30836 Split"
"Kristina Jurčić","Krležin gvozd 9b
58648 Trogir"
"Antun Bašić","Ribnjak 3b/8
97950 Mursko Središće"
"Dragutin Vladislavić","Jezuitski trg 4c/6
16707 Karlovac"
"Boris Kokanović","Višnjica 17
04694 Orahovica"
"Josipa Triplat","Splavnica 909
37922 Ludbreg"
"Viktor Trbović","Ksaver 0b/0
75729 Vis"
"Lidija Bazjak","Višnjičke 7a/0
15780 Omiš"
"Barbara Josipović","Mala 77
43740 Skradin"
"Danica Ciganović","Voćarska 6a/2
03676 Klanjec"
"Ilija Frketić","Zamenhofove 2c
78612 Slavonski Brod"
"Mario Banovac","Mesnička 4b/1
34359 Sisak"
"Dejan Jurić","Hercegovačka 4b
44208 Komiža"
"Dragutin Poropat","Jabukovac 9c
15341 Klanjec"
"Stana Martinović","Šumski prečac 0b
84782 Oroslavje"
"Ane Hrastinski","Pod zidom 1
41178 Skradin"
"Viktor Škrtić","Jurkovićeva 03
66222 Slunj"
"Roko Mamula","Davor 5c/2
24673 Opuzen"
"Nika Damijanić","Draškovićeva 5c/2
92304 Virovitica"
"Dragutin Žabjačan","Krvavi most 6c/6
06368 Orahovica"
"Ivo Tomičić","Vijenac 33
06973 Čakovec"
"Đurđica Petek","Jurkovićeva 2b/9
81430 Virovitica"
"Janko Štimac","Grič 247
17658 Novska"
"Slavica Gregov","Donje Prekrižje 7c/3
71417 Delnice"
"Matej Šinković","Javorovac 4b
46012 Samobor"
"Ruža Žiković","Klanac Grgura Tepečića 4a
21374 Opuzen"
"Vjekoslav Balinčić","Lobmayerove 9c/6
70265 Komiža"
"Jasminka Orlić","Voćarsko naselje 91
76846 Šibenik"
"Đurđica Obradović","Medvedgradska 7c/5
99463 Lepoglava"
"Mateja Mihalić","Nova Ves 0a
04939 Omiš"
"Milan Jaković","Višnjica 9c/1
30149 Otočac"
"Ivana Ritoša","Slavujevac 4b
49732 Pregrada"
"Zoran Marjanović","Male 2b/9
76049 Donji Miholjac"
"Josip Preočanin","Ilica 9b/8
91548 Pazin"
"Veronika Tomičić","Horvatovac 8b/4
44924 Nova Gradiška"
"Denis Markanjević","Golubovac 6a/7
87595 Slavonski Brod"
"Vjekoslav Barbić","Kožarska 4a/0
29273 Solin"
"Antun Kraljević","Zeleni dol 4b
43374 Karlovac"
"Karla Turk","Mlinarska 1
41685 Prelog"
"Vesna Horvat","Mašekova 07
05351 Samobor"
"Zlatko Žužić","Kožarska 9c
45841 Labin"
"Dino Radman","Opatovina 3a
03184 Vis"
"Đuro Grbac","Bučarova 139
76227 Komiža"
"Veronika Žabjačan","Strossmayerovo šetalište 4
02573 Garešnica"
"Tomislav Vranić","Tkalčićeva 30
22103 Novi Vinodolski"
"Božo Vitasović","Magdićeve 3c/3
23852 Crikvenica"
"Vjekoslav Jaković","Šilobodov put 2b
63676 Šibenik"
"Milica Peruško","Cmrok 341
36002 Biograd na Moru"
"Mate Vukušić","Dvoranski prečac 3
74531 Rijeka"
"Josipa Maršić","Jurjeve 6c
03108 Krk"
"Vjekoslav Stanić","Nemetova 0
48392 Bakar"
"Vladimir Vrabelj","Kraljevečki ogranak 9c/5
84590 Zlatar"
"Nevenka Baljak","Wickerhauserova 192
36872 Omiš"
"Eva Vučetić","Kožarska 9a/8
67021 Vodnjan"
"Pavao Žagar","Bučarova 4b
74124 Osijek"
"Martina Čulina","Šumski prečac 0c/2
32190 Bakar"
"Vjekoslav Karuza","Kamaufova 9a
85756 Dugo Selo"
"David Lovrić","Zamenhofova 4c/0
58962 Vrbovsko"
"Vedran Godinić","Ilica 7a
58592 Ludbreg"
"Mara Gržinčić","Donje Prekrižje 546
27984 Hvar"
"Jana Baričević","Dolac 1a/9
59247 Kutina"
"Toni Poropat","Krvavi most 9
70148 Varaždinske Toplice"
"Anđela Vidović","Kamenita 2c/7
85202 Sisak"
"Fran Botica","Ksaverska 5a
99890 Đurđevac"
"Dražen Glasnović","Vlaška 348
61345 Ivanec"
"Kate Cafuk","Šestinski vijenac 6a
47294 Poreč"
"Vjekoslav Mavra","Bijenička 3a/0
15492 Donja Stubica"
"Hrvoje Vukman","Mesnička 338
16092 Valpovo"
"Pavao Majstorović","Kamenita 84
42457 Duga Resa"
"Fuma Jozić","Medvedgradska 2
57023 Hvar"
"Katarina Novosel","Vijenac 1b
54519 Gospić"
"Nada Dautanec","Mlinovi 1b/1
79168 Beli Manastir"
"Mladen Solomun","Golubovac 8b
20790 Varaždinske Toplice"
"Goran Fuček","Zelenjak 93
46698 Ilok"
"Jozo Ritoša","Ksaverska 849
68615 Ozalj"
"Marin Lisica","Vijenac 91
65940 Kutina"
"Vjekoslav Milotić","Ksaver 496
85268 Otok"
"Valentina Sakač","Pantovčak 7b
90839 Daruvar"
"Dario Miše","Rokov perivoj 8c/5
90366 Split"
"Duje Lenić","Kožarska 5
44810 Čazma"
"Anto Peša","Šumski prečac 4a/7
07964 Split"
"Jelena Majdenić","Petrova 2a/6
97345 Otok"
"Ante Orlić","Hercegovačka 6c/5
34565 Omiš"
"Marin Miloslavić","Kraljevec 9a
99172 Sisak"
"Jasminka Zakinja","Paunovac 3a
44946 Drniš"
"Romano Maletić","Medvedgradska 8a/6
94720 Vinkovci"
"Vjekoslav Priselac","Glogovac 8a
99268 Klanjec"
"Joško Krajcar","Zeleni dol 1b
37670 Popovača"
"Jadranka Bingula","Klanac Grgura Tepečića 2a
28009 Pazin"
"Domagoj Perković","Klesarski put 6a
84984 Hrvatska Kostajnica"
"Kata Marjanović","Klenovac 7a
05781 Vinkovci"
"Tea Štifanić","Šilobodov put 3c/5
68419 Šibenik"
"Zdenka Matković","Vitezovićeva 9b/6
91626 Novska"
"Nikolina Tisaj","Jurišićeva 2b/4
97293 Obrovac"
"Karlo Rendulić","Goljak 5b/9
12390 Pleternica"
"Mateja Martinović","Cmrok 682
27117 Varaždinske Toplice"
"Vjekoslav Smoković","Rokov perivoj 3b/4
33329 Zagreb"
"Maja Halapir","Pantovčak 8
41134 Čazma"
"Laura Licul","Slavujevac 1c/1
85809 Zagreb"
"Božena Adžijević","Jabukovac 9c
12880 Makarska"
"Hrvoje Cvenić","Harmica 1
60002 Senj"
"Anđa Dominković","Istarska 2b
04685 Mali Lošinj"
"Rozalija Roca","Draškovićeva 11
94229 Samobor"
"Toni Vladislavić","Kraljevec 4c
60239 Obrovac"
"Branko Sršen","Lobmayerove 1a/1
83983 Nin"
"Tea Mihelčić","Medvedgradska 4c
92925 Belišće"
"Vjekoslav Šurina","Zmajevac 4c
30930 Umag"
"Antun Maržić","Jezuitski trg 5c
69914 Cres"
"Matej Hrabar","Srebrnjak 7c
07709 Grubišno Polje"
"Nina Ribičić","Radnički dol 9a/6
19214 Benkovac"
"Danica Vučin","Srebrnjak 4b
34141 Grubišno Polje"
"Kata Dolinar","Bakačeva 8c
81512 Osijek"
"Milan Mičetić","Šumski prečac 12
50472 Slavonski Brod"
"Maja Mardešić","Palmotićeva 18
99852 Umag"
"Snježana Dominković","Dolac 8
62015 Lipik"
"Joso Kolarec","Bijenička 2c/1
52875 Belišće"
"Vladimir Barković","Zvonarnička 632
26863 Kutina"
"Luka Vugec","Čačkovićeva 060
79504 Krapina"
"Lidija Štifanić","Kozarčev vijenac 689
29259 Supetar"
"Mirjana Duvančić","Grič 66
21311 Cres"
"Josipa Roso","Kamaufova 364
65194 Velika Gorica"
"Anto Viljevac","Mašekova 8b/9
18459 Zabok"
"Romano Erceg","Bakačeva 7c
25516 Čazma"
"Božica Vrabelj","Kurelčeva 2c
01690 Krk"
"Milica Borošak","Arnoldova 8c/4
46672 Pleternica"
"Antonija Sokić","Kraljevec 7c/3
78305 Mali Lošinj"
"Vladimir Buzov","Kraljevec 4c
00170 Split"
"Milena Ćurić","Zmajevac 3b/0
55735 Prelog"
"Luka Poljak","Harmica 8a/9
58206 Požega"
"Rudolf Petek","Mlinarska 6c/7
55075 Bjelovar"
"Kristina Lazar","Tkalčićeva 2a
68229 Osijek"
"Zvonko Antonić","Bakačeva 6c/6
92297 Senj"
"Jure Starčević","Glogovac 5b/6
27699 Dubrovnik"
"Saša Koški","Rokova 0c
75898 Prelog"
"Joško Šarić","Tošovac 0b
96782 Dubrovnik"
"Renata Petek","Zeleni dol 17
32405 Imotski"
"Vladimir Gligora","Rikardove 6
55169 Jastrebarsko"
"Damir Gregov","Ružičnjak 1b
84808 Grubišno Polje"
"Željka Stančin","Bučarova 4b
16719 Otočac"
"Štefanija Mateša","Novi Goljak 6a
96936 Pula"
"Denis Čukman","Mesnička 0a/8
72211 Osijek"
"Lana Franić","Radnički dol 73
88593 Rovinj"
"Dragan Malnar","Bučarova 8c
38574 Drniš"
"Ika Skupnjak","Horvatovac 7
98848 Mali Lošinj"
"Duje Kresonja","Cmrok 4b
33079 Buje"
"Anita Turk","Kurelčeva 9b
82190 Metković"
"Vladimir Kolega","Skalinska 9b
74398 Pleternica"
"Božica Kaniški","Višnjičke 0c
03952 Opatija"
"Mirjana Bingula","Novi Goljak 4a
40562 Ivanić-Grad"
"Barbara Dominković","Ljubinkovac 9a/9
26615 Zabok"
"Fran Meić","Remetska 5c
68070 Buzet"
"Branko Derežić","Javorovac 000
62688 Kutjevo"
"Lidija Jureško","Kamenjak 079
72994 Vrlika"
"Kate Simić","Radnički dol 7b
98608 Ogulin"
"Božo Jurčić","Ljubinkovac 0a/6
43980 Karlovac"
"Filip Licul","Mašekova 17
51785 Trogir"
"Vladimir Kurtoić","Šestinski vijenac 9a
49656 Petrinja"
"Toni Gotić","Voćarsko naselje 2c/5
19595 Makarska"
"Ankica Štefanec","Kaptol 0c/8
32939 Čabar"
"Ružica Vorkapić","Kožarska 4
76573 Gospić"
"Joso Miletić","Krvavi most 32
92650 Ozalj"
"Rudolf Matovina","Mlinarska 5a/1
00466 Kaštela"
"Domagoj Grgurovac","Nemetova 1b/4
57758 Otočac"
"Suzana Rendulić","Rokov perivoj 64
84984 Gospić"
"Dominik Čargonja","Skalinska 8a/0
02189 Pag"
"Leon Hrabar","Zamenhofove 7b
07520 Benkovac"
"Vladimir Mirosavljević","Ilica 5b/2
24330 Hvar"
"Mia Bjeliš","Hercegovačka 0b/3
93321 Čakovec"
"Romano Grgurić","Splavnica 1c
39939 Buje"
"Damir Skupnjak","Pod zidom 6a
65097 Slunj"
"Antonio Brlek","Bosanska 3a/6
99323 Skradin"
"Nikola Damijanić","Kurelčeva 0a
16416 Otok"
"Sandra Alković","Radnički dol 8b
20504 Šibenik"
"Martina Šimić","Ljubinkovac 8c
38382 Čazma"
"Željka Frketić","Bučarova 6a/2
00468 Otok"
"Vera Meić","Zelenjak 9b
36883 Ivanić-Grad"
"Vladimir Nedić","Pantovčak 1c
19962 Dubrovnik"
"Darko Rašeta","Vitezovićeva 72
69615 Kaštela"
"Danijel Filipović","Draškovićeva 3b
99354 Sinj"
"Marko Markuš","Zvonarnička 5b/5
94092 Valpovo"
"Đurđica Strinavić","Medveščak 4b/6
85591 Sinj"
"Bruno Bukvić","Mlinske 71
53614 Zabok"
"Goran Karamarko","Krležin gvozd 140
90539 Pazin"
"Darko Šoštarić","Jabukovac 9a
55863 Delnice"
"Mladen Bernardić","Gornje Prekrižje 63
59498 Donja Stubica"
"Mijo Perak","Draškovićeva 5a
68952 Pag"
"Vladimir Žugec","Medveščak 2b/4
73712 Pazin"
"Ivana Ušić","Mlinovi 7c
22983 Ivanec"
"Petra Milovac","Mirogojska 5a/0
16762 Zaprešić"
"Snježana Pongrac","Grič 4
66344 Ilok"
"Filip Branković","Šalata 0
52746 Delnice"
"Dragan Hanžek","Svibovac 5b/9
14245 Obrovac"
"Dora Kolarec","Kraljevečki odvojak 9c/4
75506 Orahovica"
"Vera Šargač","Jadranska 718
40444 Buje"
"Biljana Hanžek","Grič 0c
60239 Vukovar"
"Lovre Gelemanović","Mašekova 0a/8
79618 Omiš"
"Vlado Amidžić","Streljačka 7c/4
14862 Slavonski Brod"
"Đurđica Markuš","Gupčeva zvijezda 5b
18836 Požega"
"Lovro Dizdar","Višnjica 7b/1
71991 Križevci"
"Draga Kovaček","Kamenjak 341
73231 Valpovo"
"Mate Cindrić","Kraljevečki odvojak 1c
09924 Ilok"
"Željka Vuljak","Jurjevska 24
39466 Duga Resa"
"Hana Čižmešija","Splavnica 3a
62566 Bakar"
"Albina Hrastinski","Klenovac 423
32021 Kastav"
"Ružica Plažanin","Rockefellerova 713
11961 Sveta Nedelja"
"Domagoj Ušić","Bijenička 1a/8
23628 Mursko Središće"
"Vlado Britvec","Klanac Grgura Tepečića 8b/8
98938 Mali Lošinj"
"Robert Kraljić","Lobmayerove 5c
34341 Vodnjan"
