"Alain Balmat"|"chemin Badan 41
1834 Robadey" 
"Romain Wicht-Deshusses"|"rue de Bugnon 34
2758 Peitrequin"
"Hugo Muriset"|"chemin de Barillon
9561 Beguin"
"Nicolas Mottet"|"boulevard Jacques Uldry 38
5673 Bochud-sur-Bahon"
"Samuel Coigny"|"chemin Morand 3
6557 Berberat"
"Olivier Meyer"|"chemin Claude Théraulaz 878
3180 Sandoz"
"Charles Cornut"|"avenue de Vienne 45
3826 Deladoëy-la-Ville"
"Eliane Isella"|"avenue Crevoisier 64
9187 Mercier-près-Chopard"
"Pascal Béguelin"|"boulevard de Maire
6646 Carron (UR)"
"Anne Nusslé"|"avenue Chatriant 40
1791 Marti an der Aare"
"Jean Chaudet"|"rue Théo Chenaux 82
3449 Babey (NE)"
"Romain de Dardel"|"boulevard Cossy 82
6269 Julliard-des-Bois"
"Jean-Pierre Grosjean-Bonvin"|"rue Courvoisier 310
2118 Musy"
"Mathieu Isella"|"avenue de Bugnon 29
7651 Saint Vermeil"
"Hugo Morard"|"rue Bujard 58
7778 Cousin"
"Jessica Bavaud"|"rue de Gillièron
7916 Gubéran-près-Niquille"
"Clara Grand"|"rue Clara Cornut 369
1362 Morand"
"Sandrine Béguelin"|"avenue Cretton 9
9819 Bujard"
"Gilbert Rappaz"|"rue Jeanne Uldry
7938 Badan am Albis"
"Julie Carron-Chatriand"|"avenue Jomini 93
1869 Marti am Albis"
"Antonio Joly"|"chemin de Cornut 343
8849 Musy"
"Samuel Botteron"|"chemin de Thorens 36
6902 Georges-la-Ville"
"Odette Cattin"|"avenue de Balmat
1072 Thorens"
"Madeleine Masseron"|"chemin de Jacot-Descombes
7489 San Théraulaz"
"Nelly Saudan"|"chemin Nicolas Chenaux
1295 Crevoisier-sur-Barillon"
"Jean Deladoëy-Broquet"|"boulevard Michel Chenaux
1399 Treboux-des-Bois"
"Paul Barman"|"rue Cosendey
3615 Délèze-près-Bourquard"
"Antonio Comte"|"boulevard Bugnon 4
8784 Saudan am Albis"
"Eric Godet"|"avenue Robert Peitrequin 660
5303 Julliard-sur-Humbert"
"Romain Gillièron"|"avenue Albert Paschoud 3
4757 Piccand an der Aare"
"Germaine Duvanel-Bovet"|"boulevard Corbat 1
2395 Corbat an der Aare"
"Samuel Bourquard"|"rue Coigny
6116 Alber-les-Bains"
"Yvonne Monnard"|"rue Aurélie Comment 12
1942 Bonvini-les-Bains"
"Léo Cattin"|"chemin Charles Badan 42
7047 Montandon"
"Florian Nusslé"|"rue Vuille 6
8820 San Piccand"
"Georges Cattin"|"boulevard Matteo Chatriant
8490 Crevoisier-Dessous"
"Marcel Marty"|"chemin Marguerite Montandon 29
7595 Bourquin (BL)"
"Christophe Cosendey-Conrad"|"rue Polla 11
2201 OberCorboz"
"Maurice Comment"|"avenue Mathieu Julliard 549
8301 Comte-Dessous"
"Jonathan Beguin-Dubey"|"rue Mottiez 8
6925 Nüsslin"
"Eric Georges"|"boulevard Monique Carraux 607
7184 Godet-les-Bains"
"Samuel Conrad"|"boulevard Aeby 81
2762 Delèze"
"Sarah Treboux"|"rue Jomini 30
8479 Saint Jomini"
"Marcel Chappuis"|"rue Ana Morard 71
8522 Gillièron-sur-Humbert"
"Sophie Brandt-Comment"|"rue de Chatriant 30
1310 Saint Joye"
"Vanessa Deladoëy"|"avenue Samuel Montandon 682
4183 Théraulaz"
"Roger Chappuis"|"avenue Gabriel Menthonnex 15
9484 Romanens"
"Françoise Botteron"|"avenue Joly 11
1455 Comment am Rhein"
"Marie Meyer"|"rue Eric Vuille 19
2729 Alber am Rhein"
"Emilie Isella-Müller"|"avenue de Sansonnens
7941 Bochud"
"Gilbert Cornuz"|"rue Chenaux 63
1664 Joly-près-Humbert"
"Samuel Cossy"|"boulevard de Privet
8322 Wicht an der Aare"
"Georges Rappaz"|"chemin de Bahon 87
7895 Chevalley-près-Vuille"
"Mélanie Crivelli"|"rue Vermeil 71
3614 Jomini (VD)"
"Anna Bourquin"|"boulevard Galland 26
6872 Monnard-la-Ville"
"José Cosendey"|"rue Germaine Grosjean 33
7125 San Chaudet"
"Yvonne Sansonnens"|"chemin Nathan Treboux 78
9252 Maire"
"Kevin Grojean"|"rue Zoé Vienne 27
1426 Rapraz-sur-Bugnon"
"Suzanne Müller"|"chemin Bahon 13
9223 Cornut"
"Sandrine Rappaz"|"chemin Corpataux 67
1592 Beuchat"
"Théo Chevrolet"|"rue Paschoud 404
3822 Grojean am See"
"Samuel Délèze"|"rue Sara Curdy 28
9983 Delèze"
"Eliane Rapin"|"rue de Jacot-Guillarmod 51
6075 Chatriand"
"Thierry Courvoisier"|"avenue Laetitia Cosandey 78
7705 Comman-près-Candaux"
"Stéphanie Monnet"|"chemin Joye 9
9899 Monnet am See"
"Michel Coigny"|"avenue de Vallélian 75
3267 Délèze-Dessus"
"Arthur Musy"|"chemin de Muriset 6
5967 Rapin"
"Thierry Matile"|"avenue Marcel Cosendey 31
1180 Comment (ZH)"
"Danielle Morard"|"chemin Bonvin 1
4694 Julliard"
"Caroline Vuille-Romanens"|"chemin Aeby
2086 Chapuis"
"Claudine Badan"|"rue Crevoisier 22
7612 Boichat (ZH)"
"Samuel Matile"|"avenue Nusslé 664
5269 Isella"
"Suzanne Vuille"|"avenue de Peitrequin 61
9434 Rappaz am Rhein"
"Nicolas Cousin"|"boulevard Cattin 92
3160 Joye"
"Elisa Carraux-Carraux"|"chemin Florian Julliard
6007 Babey-près-Droz"
"Noah Müller"|"avenue Cosendey 1
1336 Saint Boillat"
"Denise Beguin"|"boulevard François Paschoud 6
4178 Barman-des-Bois"
"Luca Dubey"|"rue de Rosselat 968
4550 Fonjallaz-près-Joye"
"Pierre Fonjallaz"|"chemin de Jacot-Descombes 1
1017 Joly-près-Chaudet"
"Sarah Mayor"|"rue de Beurret 2
8855 Barillon-la-Ville"
"Anna Mercier-Berberat"|"rue Gilliéron 83
9272 Pellet-des-Bois"
"Samuel Mottet"|"chemin de Charpié 39
8199 Boichat"
"Romain Thorens-Barman"|"avenue François Chapuis 18
2625 OberJomini"
"Danielle Cossy"|"chemin Conrad 42
6157 Grosjean"
"Georgette Chaudet"|"rue de Morard 72
1918 Wicht"
"Thierry Carraud"|"chemin Jacques Morard 52
4219 Botteron (GE)"
"Noah Monnet"|"rue Céline Monnard 806
7669 Menthonnex"
"François Fonjallaz"|"rue Boillat 76
5654 Comment-près-Cattin"
"Anna Bahon"|"avenue Georges Vuille 64
7258 Peitrequin an der Aare"
"Julie Barbey"|"chemin de Monnard 50
2231 Polla (OW)"
"Albert Fonjallaz"|"avenue Chaudet 14
3321 Uldry"
"Samuel Pachoud"|"rue Besse 24
6795 Tinguely"
"Marcel Comment"|"boulevard Peitrequin 47
5976 Grojean-la-Ville"
"Anne Nüsslin-Vallélian"|"avenue Mathieu Besse 60
5737 Duroux"
"Marguerite Evéquoz"|"chemin Alain Godet
1530 Gilliéron-sur-Bovet"
"Claudine Monney"|"rue Joye 46
4302 Pachoud"
"Gilbert Evéquoz-Masseron"|"avenue Laurence Deshusses 54
5073 Monnet"
"Sarah Gillièron"|"avenue de Diesbach 67
3015 Carraud-sur-Mottet"
"Nathan Piccand-Pasquier"|"boulevard de Coigny
2474 Evéquoz"
"Zoé Duvanel"|"avenue de Blanc
8625 Piccand-près-Diesbach"
"Christiane Bonvini"|"chemin Berberat 54
2848 Bugnon"
"Samuel Sansonnens"|"boulevard de Vuille 581
2144 Quartier-près-Marty"
"Lucie Broquet-Charpié"|"chemin de Cousin 21
6028 Barillon"
"Nolan Besençon"|"avenue Rossellat 55
8641 Barillon"
"Monique Vuille"|"boulevard de Isella 14
6780 Tinguely am Albis"
"Antonio Bourquin"|"avenue de Diesbach 86
7775 Bovet"
"Marcel Nüsslin-Francillon"|"chemin de Piccand 9
1413 Bourquin-les-Bains"
"Bruno Corboz"|"boulevard de Menthonnex
6469 Conrad"
"Clara Rosselat"|"chemin Jacques Uldry
4743 Marti"
"Chloé Monney"|"boulevard Josiane Julliard 94
3604 Curdy"
"Arthur Monnard-Julliard"|"avenue Valérie Bonvin 665
8486 Peitrequin"
"Samuel Vonlanthen"|"boulevard de Comte 321
9281 Curdy"
"Henri Vonlanthen"|"chemin Françoise Galland 30
7769 Bugnon"
"Henri Comte"|"rue Alber 5
7184 Duroux-près-Bernasconi"
"Luca Broquet"|"rue Olivier Comman
7117 Candaux-la-Ville"
"Daniel Rapin"|"avenue Sandra Martin 686
9408 Dubey-près-Delèze"
"Alicia Boechat"|"chemin de Monney 939
8471 Délèze-près-Candaux"
"Loïc Courvoisier"|"avenue de Pachoud 15
7657 UnterJoly"
"Eric Beuchat"|"rue de Comte 57
5265 Godet"
"Thierry Boillat"|"boulevard Godet 736
4546 OberChatriand"
"Daniel Vallélian"|"rue Lara Carraud 3
4955 Gubéran"
"Samuel de Dardel"|"chemin de Vermeil 84
5110 Marty"
"Bruno Bugnon"|"boulevard Niquille
1283 Jacot-Guillarmod"
"Alexandre Muriset"|"chemin Matile
5165 Comte-la-Ville"
"Maurice Jacot-Descombes"|"rue Matteo Gillièron
5741 Rey-près-Délèze"
"Sandra Brandt"|"avenue de Rappaz 76
1753 Cosendey (OW)"
"Henri Chopard"|"rue Sébastien Masseron 7
1620 Chapuis"
"Thierry Grojean-Cosandey"|"avenue Anne Georges 467
7965 Isella am Albis"
"Aurélie Pasquier"|"chemin Jonathan Brandt 82
2444 Cretton-Dessus"
"Nicole Bochud"|"rue Josiane Mottiez 620
7949 Badel"
"Manuel Boechat"|"rue Christian Comman 69
3204 Droz-la-Ville"
"Sandra Barbey"|"rue Duvanel 15
6540 Carraud-les-Bains"
"Vincent Cretton"|"avenue Monnard 72
8500 Musy"
"Albert Marty"|"avenue Antonio Bonvin
5166 Boillat-près-Pellet"
"Alexandre Beurret-Besse"|"rue Corpataux 963
6870 Rosselat am See"
"Yvette Candaux"|"avenue de Rapraz 57
4967 Jomini-des-Bois"
"Henri Dubey"|"chemin Laurence Humbert
3359 Boillat-Dessous"
"Yvette Deladoëy"|"chemin Bourquin 72
4792 Bovet"
"Charles Paccot"|"rue de Comte 47
2540 Coigny"
"Patrick Humbert"|"rue Matile 40
4576 Chopard-près-Beuret"
"Luca Isella"|"rue Saudan 5
8359 Marti"
"Sandra Coigny-Grosjean"|"avenue Manon Delèze
2120 Nüsslin-près-Bonvin"
"Jeanne Mercier"|"rue François Saudan 5
1423 Joye-sur-Badel"
"Olivier Chatriand"|"rue de Charpié 9
2759 Isella-des-Bois"
"Mathieu Martin"|"boulevard Alain Babey 642
8806 Duvanel-les-Bains"
"Patricia Bugnon-Chaudet"|"avenue Alicia Cretton
6456 Cossy an der Aare"
"José Matile"|"chemin Noah Tinguely 10
2647 Thorens (NE)"
"Marguerite Barbey"|"avenue de Sansonnens
9419 Humbert am Albis"
"Laurent Bernasconi"|"rue Josiane Evéquoz 1
6832 Robert-sur-Corpataux"
"Thierry Bahon-Deshusses"|"rue Sarah Cretton 85
4506 Bernasconi-près-Thorens"
"Zoé Rapraz"|"avenue Laura Peitrequin 316
2486 Galland"
"Sandra Cousin"|"boulevard de Monnet 68
6440 Thorens"
"Bernard Godet"|"avenue de Chapuis 2
6338 Chappuis am Rhein"
"Christophe Rapraz"|"chemin Thorens 61
4636 Chapuis am See"
"Jessica Robert-Joly"|"rue Boichat 30
7236 Chatriant-près-Bahon"
"Roger Deshusses-Montandon"|"avenue Montandon 3
8434 Comman-Dessus"
"Florian Carraux"|"chemin Bruno Muriset 27
7623 Peitrequin"
"Denise Dubey"|"boulevard Henri Barbey 7
2226 Mottiez"
"Nicolas Botteron"|"avenue de Masseron 3
6990 Marty-Dessous"
"Michel Carraux"|"rue Robert Rosselet 63
3377 Thorens"
"Marianne Deladoëy"|"avenue de Brahier 2
9146 San Aebi"
"Sandra Fonjallaz-Bourquin"|"rue Badel 5
2764 Marty"
"Ana Paccot"|"chemin de Cornut 93
1244 Babey"
"Michael Gillièron"|"rue Vermeil
6920 Corbat"
"Emilie Joly"|"rue Nicolas Cosendey
5440 Pasquier"
"Bruno Grojean"|"rue de Bernasconi 86
1034 Marti-Dessus"
"Catherine Curdy"|"rue de Chaudet 70
6256 Comte"
"Frédéric Sandoz-Marti"|"avenue de Bonvini 37
5366 Joye-sur-Botteron"
"Roger Bochud"|"boulevard Roland Besse 98
4552 Joye-sur-Romanens"
"Léo Chopard"|"rue de Bochud
3897 Jacot-Guillarmod"
"Caroline Cossy"|"rue Humbert 23
6244 Vallélian an der Aare"
"Sandra Nüsslin"|"boulevard de Joly 82
1279 Comte-sur-Comman"
"Mélanie Muriset"|"chemin de Cosandey 47
1581 Aeby"
"Suzanne Robadey"|"rue Thorens 1
6585 Boechat (TI)"
"Christine Grosjean"|"rue Julliard 423
8228 Bovet-des-Bois"
"Roger Bochud"|"avenue Vanessa Pasquier 8
9289 Blanc-sur-Bonvini"
"Patrick Grojean"|"rue Brahier 59
1377 Marti am See"
"Aurélie Bourquard"|"avenue Quartier
3417 Peitrequin"
"Yvette Niquille"|"boulevard Evéquoz
8562 Uldry"
"Chloé Monney-Cousin"|"boulevard Charles Besse 7
7313 Badel"
"Stéphane Chapuis-Cossy"|"rue de Robert 90
5861 Chapuis"
"Sandra Paccot"|"rue Corbat 4
6049 Grojean"
"Pascal Coigny"|"rue Vonlanthen
2462 Vuille (BL)"
"Georges Mercier"|"boulevard Charpié 89
5605 Besse"
"Jacques Chevalley"|"chemin Chloé Wicht 10
4690 Montandon-Dessus"
"Eva Monnard"|"rue Gabriel Niquille 59
2732 Candaux-Dessous"
"Nicole Boichat"|"rue Corbat 35
3996 Saint Rosselat"
"Fabienne Mercier-Besse"|"rue Brahier
3255 Babey an der Aare"
"Nathalie Besençon"|"boulevard Jean-Claude Bouvier 7
2140 Béguelin"
"Sylvie Mercier-Grand"|"chemin Masseron 39
9727 Rapin (UR)"
"Manuel Berberat"|"rue Besençon 228
2149 Saint Wicht"
"Sandra Robadey"|"chemin Cousin 34
4189 Thorens-près-Martin"
"Fabienne Joly"|"rue Bovet 48
3483 Romanens"
"Josiane Jacot-Descombes-Chatriant"|"boulevard Nusslé
4277 Muriset"
"Thierry Bugnon-Chopard"|"avenue Francillon 2
7483 Thorens-des-Bois"
"Manon Beurret-Müller"|"rue de Cornuz 3
6798 Courvoisier"
"Jeanne Chappuis-Tinguely"|"chemin Rapraz 20
2324 Uldry"
"Marcel Quartier"|"boulevard Mottiez
9193 Uldry-Dessus"
"Lucie Badan"|"boulevard Wicht 35
2726 Grojean"
"Jonathan Dubey-Dubey"|"rue Véronique Muriset
5216 Jomini-près-Bourquard"
"Valérie Corpataux"|"chemin de Rosselet 24
3695 Georges-sur-Crevoisier"
"Sandra Sansonnens"|"rue de Cossy 30
8325 Chatriand am Rhein"
"Charles Meyer"|"rue Humbert 56
5769 Duroux-des-Bois"
"Emilie Mercier"|"chemin Elisabeth Vallélian 73
8155 Aebi am See"
"Fabienne Pasquier"|"rue de Cosendey
7777 Sainte Monnet"
"Christiane Blanc"|"boulevard de Dardel 661
5629 Privet-sur-Barbey"
"Eva Pasquier"|"rue Bourquin 869
5138 San Crevoisier"
"Eva Cornut"|"rue de Masseron 83
7040 Beuret"
"Mélanie Bonvin-Bochud"|"rue Uldry 20
4633 Blanc an der Aare"
"Eric Besençon"|"chemin Botteron 31
7092 Bahon"
"Henri Müller"|"avenue Aurélie Vuille 2
6555 Théraulaz (SH)"
"Sandrine Barbey"|"avenue Christine Mottiez 157
2009 Meyer"
"Gabriel Crivelli"|"rue Liliane Théraulaz 27
6349 Meyer am Albis"
"Alain Bujard"|"chemin Rey 36
6414 Diesbach"
"Georges Gubéran"|"chemin Pasquier
2959 Joly-sur-Jomini"
"Emma Chatriand"|"rue Dubey 7
9937 Brahier"
"Chantal Comte"|"rue Anne Chenaux 6
7276 Charpié am Albis"
"Liliane Vonlanthen"|"avenue Courvoisier 3
8729 Beurret"
"Alicia Bavaud-Théraulaz"|"avenue de Vermeil 7
6292 Comte"
"Julie Diesbach"|"chemin Yvonne Gubéran 78
4877 Bernasconi"
"Samuel Chapuis"|"chemin de Bourquin 49
2877 Georges-près-Romanens"
"Sandrine Barillon-Morand"|"rue Théo Privet 77
7344 Tinguely am Albis"
"Guillaume Rapin"|"rue Eric Grand 515
4836 Botteron-près-Botteron"
"André Balmat"|"rue Jessica Rappaz 73
7301 Badan"
"Charles Sansonnens"|"rue Clara Sansonnens 927
9258 Grojean"
"Nathalie Cossy"|"boulevard Théraulaz 60
4775 Badel-Dessous"
"Vanessa Corpataux"|"chemin Gubéran 2
7392 Peitrequin"
"Stéphanie Bahon"|"rue Piccand 17
9409 Monney"
"Jean-Pierre Thorens"|"rue Bujard 96
8075 Cornuz-près-Carron"
"Julie Bouvier"|"chemin Ethan Badel 10
8704 UnterGeorges"
"Jacques Grosjean"|"chemin de Bugnon 61
4938 UnterCossy"
"Sandrine Bonvin"|"rue Léa Beurret 6
7791 Rey"
"Eric Pasquier"|"rue Deladoëy 3
8788 Beuret (VS)"
"Thérèse Bourquard"|"avenue de Broquet 17
1383 Chevalley"
"Stéphanie Monnet"|"boulevard Boichat 835
3295 Comte"
"Anne Besançon"|"rue Comte 8
3950 Deladoëy"
"Nicole Humbert-Bovet"|"chemin Aurélie Bonvin 604
3208 San Robadey"
"Noah Treboux"|"rue Pachoud 60
1400 Pachoud"
"Roland Chenaux-Corbat"|"rue de Vonlanthen 312
1553 Menthonnex"
"Marcelle Grosjean"|"avenue Grojean
7195 Fonjallaz"
"Lisa Boechat"|"rue de Rossellat
5774 Monney-Dessus"
"Sandrine Carraud"|"rue Bourquard 64
9331 Bujard-près-Carraud"
"Manuel Monnard"|"boulevard Sébastien Beguin 21
9828 Grojean-sur-Chevrolet"
"Pierre Cattin"|"chemin Julliard 35
2642 Barman"
"Véronique Grand"|"avenue Maire
5839 Corboz"
"Sébastien Menthonnex"|"rue de Niquille 105
5705 Müller-des-Bois"
"Henri Crevoisier"|"rue René Bernasconi 73
1622 Cornut am Albis"
"Christiane Treboux-Cretton"|"chemin Françoise Diesbach 3
4046 Thorens"
"Corinne Carraud"|"rue de Cattin 99
9671 Bovet-la-Ville"
"Jonathan Bouvier"|"boulevard de Galland
3878 Vallélian"
"Christian Droz"|"rue Sara Barbey 767
3338 Vermeil (AG)"
"Sandrine Chatriant"|"rue de Curdy 3
8013 Duroux"
"Louis Nusslé-Rosselet"|"boulevard Gilbert Menthonnex 19
4438 Blanc-près-Grojean"
"Henri Barillon"|"chemin Romanens 1
5109 Isella"
"Clara Cornut-Bourquard"|"chemin de Delèze 6
6136 Treboux am Albis"
"Sarah Chatriand"|"rue Bernard Curdy 8
5483 Béguelin-des-Bois"
"Véronique Isella-Beuchat"|"rue de Crivelli 6
7844 OberRosselet"
"Alicia Besançon-Monney"|"boulevard Ethan Wicht
9357 Rosselat am Albis"
"Paul Boichat"|"chemin Sandoz
9964 Joly-près-Grosjean"
"Kevin Monney"|"avenue Grand 76
5735 Crevoisier"
"Sandra Matile"|"rue Eric Deladoëy
5884 Mottiez-près-Peitrequin"
"Sandrine Comment"|"avenue Galland
1176 Musy-sur-de Dardel"
"Georges Masseron-Boechat"|"rue de Dubey 61
8173 Bouvier-sur-Boichat"
"Jean Quartier"|"chemin Sandra Corpataux 45
1498 Sansonnens an der Aare"
"François Béguelin"|"rue Broquet
3106 Carraud am Albis"
"Alexandre Humbert-Montandon"|"rue Ethan Bourquin 3
7434 Bonvini-sur-Comman"
"Nolan Vallélian"|"avenue de Beuret 83
5406 Bochud"
"Maria Comman"|"rue Chappuis 518
1279 Monney (SG)"
"Maria Jacot-Descombes"|"chemin Uldry 16
5604 Bernasconi-sur-Matile"
"Nathalie Alber"|"avenue Théraulaz 51
3100 Aebi an der Aare"
"Jessica Bernasconi"|"avenue de Carraud 6
7427 OberBarillon"
"Sandrine Jacot-Descombes"|"boulevard de Fonjallaz 869
9036 Bonvini"
"Vincent Grosjean"|"boulevard Françoise Besse 17
2299 Mercier"
"Loïc Uldry"|"rue Chapuis 307
7393 OberPiccand"
"Laetitia Monnard"|"chemin Denise Cornuz 796
7461 Comman"
"André Badan"|"avenue Noah Sansonnens 54
4269 Monnet"
"Nelly Besençon"|"boulevard Délèze 3
8996 Evéquoz (SO)"
"Samuel Badel"|"avenue Blanc 32
7037 Mottet-Dessus"
"Lisa Beuchat"|"boulevard de Francillon 2
8313 Aebi-des-Bois"
"Nolan Delèze"|"boulevard Henri Vonlanthen 665
5238 Jomini"
"Odette Musy"|"rue Blanc 45
1105 Curdy"
"Sandrine Martin"|"rue de Thorens 54
5616 UnterBlanc"
"Gabriel Comment"|"rue Grosjean 71
5496 Humbert"
"Charlotte Boechat"|"rue de Botteron 854
6693 Chopard-sur-Treboux"
"André Crevoisier"|"rue de Cattin 55
6347 Corboz-sur-Blanc"
"Josiane Tinguely"|"boulevard Georges 543
6761 Duroux"
"Clara Julliard"|"avenue de Mottet 4
2767 Aebi"
"Léa Paccot"|"rue Musy 84
6564 Beurret"
"Manon Duvanel"|"rue Marti 23
5890 Evéquoz"
"Léo Marti"|"rue de Thorens 93
3691 Wicht"
"Olivier Boichat"|"boulevard de Balmat 31
3614 Cossy am Rhein"
"Sandrine Pellet"|"rue Bonvini 7
3689 Gubéran"
"Maria Bonvini"|"chemin Christian Mottiez 4
2701 Crivelli"
"Manuel Jomini"|"rue de Grand 8
9278 Barman"
"Mathieu Grojean"|"chemin Monney 39
5258 Corboz"
"Corinne Besençon"|"rue Jean-Claude de Dardel 627
8079 Aebi-près-Uldry"
"Sarah Corbat"|"avenue Bourquard
1719 Godet"
"Jacqueline Corboz"|"chemin de Chopard
7012 Babey-Dessus"
"Manon Bouvier"|"avenue de Chatriant 140
1240 Chapuis-sur-Cosendey"
"Nicole Marti"|"rue Grojean 52
3600 Galland"
"José Godet"|"boulevard de Bovet 92
2580 Rapraz"
"Sandrine Rossellat"|"rue Charles Candaux 4
8537 Sainte Montandon"
"Jessica Tinguely"|"avenue Godet 25
7184 Isella (SH)"
"Jacques Cattin"|"avenue de Chaudet 84
3782 Rossellat-sur-Piccand"
"Charles Cornut"|"avenue Mathilde Montandon 8
2070 Chevrolet am See"
"Clara Courvoisier"|"avenue Comman 72
1318 Droz"
"Elodie Chevrolet"|"avenue de Thorens 26
1844 Carron (LU)"
"Charlotte Carraud"|"rue Chatriand
4454 Rappaz"
"Caroline Boechat-Rapraz"|"rue de Wicht 70
3361 Bovet-les-Bains"
"David Vermeil"|"rue de Bahon 14
8110 Nusslé"
"Sandra Beuchat-Aebi"|"avenue Alber 44
1423 Müller (AR)"
"Sara Badel"|"chemin de Rappaz 75
5707 Beuret"
"Madeleine Barillon-Dubey"|"avenue Louis Maire 39
6798 Mercier"
"Claudine Georges"|"avenue Chantal Chaudet 2
1209 Rappaz-près-Jomini"
"Christian Joly"|"rue Sébastien Joye
9663 Joye"
"Laura Quartier"|"boulevard Jomini 9
8064 Carraux"
"Denise Besse"|"chemin Müller
1581 Béguelin"
"Kevin Cornut"|"chemin Jeanne Monnet 43
4356 Diesbach-Dessous"
"Olivier Bonvini-Dubey"|"boulevard de Aebi 15
9248 Beurret-sur-Crevoisier"
"Guillaume Meyer-Morand"|"chemin de Wicht
4323 Rappaz"
"Emma Curdy"|"boulevard Emma Brahier 2
6608 UnterBrahier"
"Sara Brandt"|"rue de Alber 796
4924 Chatriant-près-Besançon"
"Thérèse Beuchat"|"boulevard Botteron
1539 Crevoisier"
"Eva Bugnon"|"rue Paschoud 68
8091 Coigny-les-Bains"
"Ana Alber"|"rue de Rapraz
3593 Coigny (NE)"
"Odette Gillièron"|"chemin Nicolas Droz 376
4524 Musy (TG)"
"Fabienne Bujard-Menthonnex"|"rue de Godet 3
1757 Saudan"
"Eric Romanens"|"rue Masseron 66
5008 Saint Niquille"
"Nathalie Godet"|"chemin Vincent Charpié 81
8195 Balmat-Dessus"
"Stéphane Cattin"|"chemin Chloé Piccand 59
1560 Corbat-sur-Isella"
"Gilbert Carraud"|"boulevard Manuel Bujard 58
6881 Cretton-sur-Delèze"
"Sara Cretton"|"rue José Montandon 20
4045 Mottet-près-Vienne"
"Claudine Diesbach-Beguin"|"avenue Badel 58
7764 Saint Wicht"
"Pierre Humbert-Comman"|"boulevard Besençon 27
9148 Jacot-Guillarmod"
"Vanessa Musy"|"avenue Caroline Robadey 5
2350 Balmat-la-Ville"
"Jessica Rosselet"|"chemin de Blanc 1
3132 Vallélian"
"Nelly Duvanel"|"avenue de Muriset 1
7083 Vonlanthen am Albis"
"Vincent Cossy"|"avenue Odette Menthonnex
5705 OberChappuis"
"Jean-Claude Saudan"|"avenue Philippe Romanens 13
6538 Cornut"
"Sara Treboux"|"chemin Robert Montandon 570
7705 Quartier an der Aare"
"Roger Joye"|"avenue Luca Jacot-Descombes 281
4679 Monnet-Dessous"
"Sara Galland"|"avenue Maria Chappuis 1
3147 Francillon"
"Claude Aebi"|"avenue Bavaud 90
9689 Robadey-sur-Alber"
"Raymond Treboux"|"rue Jacot-Guillarmod 83
1330 Mottiez-des-Bois"
"Anna Rey"|"rue Cosandey 58
9224 Maire-Dessus"
"Alicia Paccot-Cretton"|"rue Christine Cornuz 80
2138 Uldry-Dessus"
