"அகண்டலன் எட்டப்பன்"|"746 இசைவேந்தன் ஷம்பு
தாவண்கரே 748806" 
"வடிவேல் வரதராஐன்"|"358 நம்பி ஸ்துதி
நாக்பூர்-480069"
"ராஜவேலு மணிச்சுடர்"|"0615 ஒளியன் அக்னிகுமாரன்
வாரங்கல்-545974"
"ஒளவை கடற்கோ"|"30/190 கடம்பா
பிரோசாபாத் 994714"
"அகத்தழகி"|"36 ஷானன் யூவராஜ்
பொகாரோ 446410"
"எழிலோவியம் ஷாமினி"|"5/9 வல்லவன்
திருப்பூர்-382843"
"கங்கைகொண்டான்"|"3 ஷ்ராவண்
கொல்லம்-062224"
"எழிற்குமரன் ஷிங்"|"10/902 உட்கர்ஷ்
திருப்பூர் 180829"
"உதயமூர்த்தி"|"579 நச்சினார்க்கினியன்
காஞ்சிபுரம் 136034"
"அகவழகு அச்சுதானந்தன்"|"2 அகலார்சடையன்
ஜான்சி-302209"
"ராஜ"|"48/85 அங்கையர்க்கரசி
அம்ரித்சர்-899562"
"வடிவேல்"|"01/88 ஆதி அகத்தழகி
புனே-671142"
"ஹர்ஷிகா"|"59/56 ஹிரண்யா
நெல்லூர்-371373"
"நாகம்மாள் ஐயப்பன்"|"918 பக்தவச்சலம் இக்ஷிதா
நாகர்கோவில்-305418"
"பன்னீர் இந்திராணி"|"368 ரஞ்சனா
சென்னை பெருநகர் 200325"
"உலக ஹன்யா"|"64/329 நன்மொழி எழிற்குவளை
பிரோசாபாத்-512017"
"ஆட்டனத்தி ஷாலு"|"34 எழிலழகி
வாரங்கல்-720731"
"ஷரினி"|"85/0421 ஒளிவேந்தன்
கோர்பா 106585"
"மணிச்சுடர் நன்மணி"|"46 நல்லிசை அச்சுதானந்தன்
கோட்டா-161967"
"சங்குமணி"|"141 அகலறிவன்
சென்னை-237077"
"இசைத்தேவி இடைக்காடன்"|"18/280 கதிர்ச்செல்வி எழிசை
கோட்டா-225411"
"வடிவேல்"|"496 வாஞ்சினாதன் தனித்தமிழ்
மாலேகான்-396879"
"தணிகைச்செல்வி ஆதிசேஷா"|"5/7 ஹரிஷ்
தஞ்சாவூர்-468511"
"ஷஸ்வத் அக்ஷயா"|"9 கடலரசன் மணிமாலா
இராஜபாளையம், விருதுநகர் மாவட்டம் 394894"
"ஹர்ஷிதா இசைவளன்"|"84 ஹரிதாஸ்
திருநெல்வேலி 599159"
"வண்டார்குழலி"|"3967 நம்பியூரான்
இராஜபாளையம், விருதுநகர் மாவட்டம்-780226"
"நாகமதி ஹிரண்யா"|"11/536 ஸ்ரீனா ஷம்பு
ஓசூர்-993355"
"நாதவேணி"|"534 தன்மானம் பவளக்கொடி
காஞ்சிபுரம்-801096"
"வல்லரசு ரக்ஷிதா"|"3342 ராமசாமி
கோழிக்கோடு 818067"
"நவீனா பகவத்"|"4606 ஒளி
வாரங்கல்-448800"
"அங்கம்மாள்"|"98/0977 ராஜகுமாரி இசை
சிலிகுரி-825706"
"வடிவேல்"|"66/0743 தங்கத்தமிழ் ஆடற்செல்வி
கொல்கத்தா பெருநகர்-584083"
"யாழிசை"|"00/403 பவளமலை சதிகா
குடியாத்தம்-563241"
"ரக்ஷிகா பபிதா"|"80 இசைமொழி மணிமாலா
திருநெல்வேலி 394308"
"ஆதர்ஷ்"|"6249 அகில்
பொள்ளாச்சி 480230"
"இசைமகள் நற்றிணை"|"4/6 ரீனா
பாவ்நகர்-687138"
"ஏழிசைக்கலை"|"2/1 கதிர்
ராஞ்சி-523958"
"ஷபரி"|"9/8 வர்ஷினி
சேலம்-647125"
"ஒளியழகன் அகரன்"|"4/0 இக்ஷிதா ரட்சகா
மதுரா-479908"
"அகவொளி நப்பசலையார்"|"4 நறுமுகை எழிலரசன்
திருவண்ணாமலை 309948"
"உதயபரிதி"|"45/26 தங்கதுரை
துர்காபூர் 217198"
"வடிவேல்"|"8693 மணிச்சுடர் நற்றிணை
சேலம்-592809"
"உமயாள்"|"87/0082 தங்கம்மாள்
சண்டிகர் 645542"
"ஹெலன்"|"20/9546 அஜந்தா
வாணியம்பாடி 884487"
"ரகசியா"|"73 உலகமதி இசைவளன்
அஜ்மீர்-478289"
"இசையாளன் ஸ்னேஹல்"|"85/448 நவிதா ஆதிசங்கரா
நாகர்கோவில்-705149"
"ஆதிமொழி"|"8 வர்ணவதி
ராஞ்சி 475397"
"உன்மேஷ்"|"67/52 ஸரளா அகலிகை
ஜபல்பூர்-592704"
"ஏழிசைப்பொழில் வசந்த்"|"74 ஷைலேஷ் உதயா
மாலேகான்-742527"
"கனிமொழி"|"7864 உபாஸனா
சென்னை பெருநகர் 250130"
"தங்கமகன்"|"97/62 யேவான் அங்கம்மாள்
சிவகாசி 875073"
"வடிவேல்முருகன்"|"58/222 யாழ்ப்பாணன் தஞ்சைவாணன்
கரக்பூர்-103574"
"ரதவனி ஷைலேஷ்"|"74/2694 மணவழகி
இந்தோர் 389418"
"பாக்யஸ்ரீ ஏழிசைக்கலை"|"55 இசையரசு கண்மலர்
பாட்னா-646503"
"ஷியாம்"|"0410 சஜனி
நாசிக்-859609"
"கடற்கோமகள்"|"39/276 ஸரிகா
கும்பகோணம்-338847"
"மணிமேகலை"|"38/6967 வள்ளல் ஷா
குடியாத்தம்-857890"
"ஆதி"|"301 தக்ஷேஷ்
காஞ்சிபுரம்-584641"
"உமையம்மை ஷலின்"|"95 நர்மதா
நெல்லூர்-533948"
"ஷர்மிளா"|"35 சகுந்தன் மணிமுகில்
மதுரை-433048"
"ஊர்ஜித்"|"41/769 இந்திராணி
மதுரை 180674"
"வடிவேல்முருகன்"|"8861 ஸ்ரீகா
வாணியம்பாடி-128201"
"ஸ்கந்தா"|"7691 ஸுரபி
விசாகப்பட்டினம் 284090"
"மகிழ்நன் இசைமணி"|"99/1597 உதயாதி
சென்னை பெருநகர்-359835"
"அங்கதன்"|"9/9 யாழ்ப்பாணன்
மும்பை பெருநகர்-467088"
"சங்கீதா"|"9407 யாழரசன் அகலறிவன்
திருநெல்வேலி-388025"
"எழிற்கோமகள் நங்கை"|"28/577 ஹரிதா
ஈரோடு-599933"
"அகிலன் ஆடலரசி"|"92/2479 அகாத் கணியன்
தஞ்சாவூர் 001866"
"தங்கம்"|"52/767 ஸ்ரீராம் நன்முத்து
ஆம்பூர் 618678"
"ஷாலிகா"|"7 இசைவாணன் உத்தர்
குல்பர்கா-560153"
"ஸ்வப்நில்"|"8 ஆடற்கொடி வரதராஜ்
பெல்காம்-149319"
"வணங்காமுடி ஸ்ரீதேவி"|"01 நளினி
காரைக்குடி-104810"
"உஜாகர்"|"85/7803 பகவந்த் மகிழ்கோ
கோரக்பூர்-089965"
"யாழரசி ஷிகா"|"4/6 ஏழிசைக்கனல்
புதுக்கோட்டை 872064"
"அங்கணன்"|"8 பன்னீர்
மொரதாபாத் 117087"
"இசையமுது கத்ரினா"|"8236 கஜோல்
கரக்பூர் 854874"
"வசந்தா"|"9035 அகிலேஷ்வரி
புவனேசுவர் 346961"
"நாகவல்லி"|"88/2964 சங்குப்பூ உபேந்திரா
ராய்ப்பூர்-675400"
"சத்யநாராயணன் ரஞ்சனா"|"44/45 ஸ்ப்ரிஹா நன்னி
நான்தேட் 783520"
"ஆண்டர்ஸன்"|"451 எழிற்கோமகள் அஜந்தா
கோயம்புத்தூர்-568304"
"அகத்தியன்"|"79 எழிலேந்தி
லூதியானா 730490"
"வணங்காமுடி"|"25 ஸ்டீபன்
நாக்பூர்-440442"
"பதுமை ஷஷாங்க்"|"5 பரமேஷ்வரி ஸ்ரீமயி
ஆசன்சோல் 588293"
"ரமேஷ்கண்ணா"|"47 ஒளியவன்
மதுரை 774454"
"தங்கபாண்டியன்"|"5/5 ஒள்ளறிவன்
காஜுவாகா 183043"
"இந்துமுகி"|"011 கதிரவன் நாச்சி
நெல்லூர் 714473"
"எழில்"|"423 பவளமல்லி கதிர்ச்செல்வி
தில்லி 904479"
