"அகண்டலன் எழில்மகள்"	"8/8 வடிவுக்கரசி அங்கால
மாலேகான்-045133" 
"ஷண்சிலாதேவி"	"79/0744 ஏழிசைச்சுடர் வல்லரசு
கரூர் (கரூர் மாவட்டம்)-090439"
"மங்களா"	"20 தங்கேஷ்வரன் ராஜி
ஹுப்ளி-தர்வாத்-354892"
"கதிரழகி இந்திவார்"	"91/3268 தனலட்சுமி
மதுரா 670381"
"உதயச்சல்"	"51/729 ஆசிரா
மதுரா-441464"
"வசந்த்"	"196 ஹரி ரதி
வாணியம்பாடி-964870"
"ஐயம்பெருமான் ஊர்வசி"	"83/817 நாகமதி
வாரங்கல்-839592"
"உதியன்"	"6940 ராஜசேகர்
அகோலா 947158"
"ஆடற்கொடி"	"81/685 ஹர்ஷினி ராமசாமி
காரைக்குடி-032704"
"தங்கவேலன்"	"30 இசைவளன்
பரேலி-910041"
"தனுஷா உத்தமி"	"6 எயினி நன்னி
துர்காபூர்-570878"
"ஹன்ஷிகா"	"4 சக்திவேல பனிமலர்
அம்ரித்சர் 734623"
"தனுப்பிரியா நங்கை"	"95/9075 ஹனிஷா
கொச்சி-247713"
"தனஸ்ரீ கடம்பன்"	"06/033 கடர் எழிலிசை
ஜாம்நகர்-218939"
"கடம்பன் யாழ்வாணன்"	"1 ரவி
காஞ்சிபுரம் 129288"
"வசந்த்"	"3 ஷர்மிதா ஏழிசைப்பொழில்
திருச்சிராப்பள்ளி 569098"
"சந்திர"	"4/8 ஷாஷினி,
மும்பை பெருநகர் 514832"
"எழிற்கோமகள்"	"09 கதிரோன்
கண்ணூர்-880413"
"ரம்ஜான்"	"14/760 அகலறிவன் ஆடலழகி
உஜ்ஜைன்-303706"
"அகுல்,"	"10 யாழ்வாணன்
புதுக்கோட்டை 556566"
"சசிகாந்த்"	"51/700 பபிதா கண்ணம்மா
அகோலா 137782"
"ரக்ஷிதா"	"48/1646 நன்னாயகம்
விசாகப்பட்டினம்-111605"
"கதிரேசன்"	"740 நற்றிணை ஷாந்தலா
காஜுவாகா 169597"
"தனுஷ்ரி"	"62/1436 அங்கதன்
பெல்காம் 672950"
"அகில் சத்யநாராயணன்"	"9600 பக்தவச்சலம் உண்மை
வேலூர் 317734"
"வசந்த்குமார் கஜ்ரி"	"02/3258 இசையமுதம்
கொல்லம் 811757"
"ஏழிசைப்புதல்வி ஒளிமுகம்"	"5 எழிற்கோமகள் ஸயூரி
வேலூர் 069401"
"ஷக்தி"	"60/4723 தனுஷ்கா
அலிகார் 272355"
"தங்கமதி"	"8 ஆசைச்செல்வி
அவுரங்கபாத் 365212"
"பத்மினி அச்சுதானந்தன்"	"7 உதியன்
லக்னோ 421297"
"ஏழிசைக்கொடி ஆதித்தி"	"6 இசையரசி ஏழிசை
சேலம்-014202"
"உதயவன்"	"0645 கஐலட்சுமி இசைவாணி
நாக்பூர்-960814"
"ஸ்ரீகாந்த் இந்தரஜித்"	"5 ரம்ஜான் ஆடலரசு
கடலூர் 087024"
"இசைவளன் வழுதி"	"67 ஆஞ்சனேயா
தேராதூன்-097287"
"ரித்திகா"	"459 ஹஸினா
சிலிகுரி 805132"
"வசனா இந்திரா"	"90/864 சங்குமாலை
உஜ்ஜைன்-471402"
"கண்ணுக்கினியன்"	"5/7 தனுஷா
புவனேசுவர்-203336"
"சந்தனம்"	"13/053 இந்திகாப்
ஸ்ரீநகர்-109700"
"சத்யமூர்த்தி ஐயம்பெருமான்"	"82/69 ஆதித்யா
வாரணாசி 482083"
"யோகலட்சுமி"	"21 கஜோல்
ஜம்சேத்பூர்-227040"
"ஐயப்பன்"	"52/4319 உமையாள்
தாவண்கரே 813835"
"நம்பிள்ளை"	"87 இசைவேந்தன் அகற்கண்ணன்
கோலாப்பூர் 355770"
"தங்கமதி ஆடலரசு"	"50/40 உலகநங்கை ஹாருண்
புவனேசுவர்-836291"
"மங்கை யாழரசன்"	"8 ஸ்ராவனி மணிச்சுடர்
குவஹாத்தி 905176"
"தங்கமணி கண்ணதாசன்"	"963 இதயா ராசாத்தி
குவாலியர் 442787"
"வசனா கதிரோன்"	"350 ஏழிசைச்செல்வி
ரூர்கேலா-985858"
"ஷிஷிர் இடைக்காடன்"	"479 வஞ்சிமகள்
புனே-829313"
"ஹேமலதா"	"68/084 உமாமகேஷ்வரி
திருவனந்தபுரம்-257320"
"ரீஜா"	"0407 ஹிரண்யா
இராஜபாளையம், விருதுநகர் மாவட்டம்-523292"
"எரியீட்டி"	"75/760 ஹேமந்தினி வசுமதி
திருவண்ணாமலை-895809"
"ஆதியரசி இசைவேந்தன்"	"3/8 ஹரிதா இசைச்செல்வி
நெய்வேலி 189534"
"தங்கேஷ்வரன் பத்மநாபன்"	"7/6 யாழ்நங்கை ஸ்ரீலா
கோரக்பூர்-066570"
"ஒளிமதி ஸெடெபானி"	"70/495 ஸ்ரீனா
ஜல்கான்-377038"
"வடிவேலன் மணிகண்டன்"	"966 ஐயனாரப்பன்
கொல்லம்-206327"
"நாகம்மாள் உயிரோவியம்"	"4 ஏறுநடை
புவனேசுவர்-022944"
"வசனா ஹெலன்"	"79/1663 ராஜேஷ்வரி ஷ்ராவண்
தில்லி 480732"
"ஐயா"	"59/915 ரமணி ராஜா
சாங்கலி-730007"
"மணிமுத்து கஜோல்"	"2/0 அச்சுதானந்தன் உதியன்
மதுரை 949642"
"வடிவழகி தங்கச்சுடர்"	"57/206 பத்ரநிதி தங்கத்தமிழ்
பரேலி-807248"
"மகிணன் மணவழகன்"	"21 அக்ரோதனன்
கயா 903863"
"உஜாகர்"	"74/2254 அகானா இந்திரா
அஜ்மீர்-803592"
"பாக்யஸ்ரீ"	"92/787 தனுப்பிரியா
சகாரன்பூர் 209024"
"மகிழ்ந்தன்"	"93/25 அசிரா
ஆக்ரா-521153"
"கனல்மொழி வசந்தசேனா"	"6/8 நட்புச்செல்வன்
திருப்பூர் 606392"
"ஆகேந்திரா மணிமலை"	"894 ஹர்ஷினி இசையரசன்
இராணிப்பேட்டை 649412"
"வசனா"	"68 தங்கமகன்
அகமத்நகர் 683177"
"யசோதா"	"03/117 தக்ஷேஷ் ரமணன்
சூரத் 033228"
"சத்ருகணன் அகவொளி"	"02/5298 உதயகுமார்;
நாகப்பட்டினம் 062712"
"ஒளியன்"	"82/56 தன்சி உத்தமி
ராஞ்சி-762337"
"மணிநிலவன் ஸ்ரீனா"	"3 மணிமேகலை ரக்ஷிகா
ஸ்ரீநகர்-974389"
"நட்புச்செல்வன்"	"6 உதீப்
இராஜபாளையம், விருதுநகர் மாவட்டம் 356335"
"மணிமலை பகுகுனன்"	"7/2 ஏலா
கயா 456383"
"உத்பலா"	"94/3550 யாழரசி மஞ்சரி
புவனேசுவர் 667624"
"இசையமுதம் கனல்"	"3123 எழிலழகன் எழிலேந்தி
ஜபல்பூர்-217886"
"ஷந்தோஷி"	"97/23 தங்கம் கனல்மொழி
புனே 123197"
"வசுதா"	"84 பத்மபிரியா
வேலூர்-334498"
"இசையழகன் உஜேஷ்"	"59/3955 நந்தினி
நான்தேட்-953093"
"ஏழிசைக்கதிர்"	"2 ஸ்ரீமா கதிர்ச்செல்வி
சேலம் 676557"
"எழிற்கோ தங்கச்சுடர்"	"41 சங்கமித்ரா தனித்தமிழ்
ஜோத்பூர் 932160"
"ஷண்சிலாதேவி கதிர்க்குமரி"	"83/928 மணிகண்டன் அகாத்
மொரதாபாத் 512556"
"எழிலன்பன் ஸயூரி"	"01/114 உமை ஷ்யாம்
வாணியம்பாடி-985435"
"ராஜதுரை ஹாசினி"	"41/74 பகுகுனன் பகுமித்ரன்
வேலூர் 164616"
"தங்கம்மாள்"	"155 தணிகைவேலன்
கோர்பா 861086"
"சத்யராஐ; யோகராணி"	"10/795 ஸ்மிதா ராஜகோபால்
ஈரோடு-517453"
"ஷசி நாச்சியார்"	"9/4 அக்ரூர், நம்பெருமாள்
குல்பர்கா-468218"
"வசுதா"	"86 கதிர்
அகமதாபாத்-097161"
