"Adrian Aasen"|"Bøeplassen 64, 8771 Aas" 
"Unni Eliassen"|"Kristoffersengjerdet 1, 7557 Olamark"
"Cathrine Evensen"|"Pettersensvingen 1, 9779 Madsen"
"Eva Aas"|"Gundersenalléen 10C, 6206 Idaås"
"Synnøve-Astrid Knudsen"|"Abrahamsentoppen 5, 2868 Fredriksen"
"Prof. Sindre Berge"|"Pedersenbråten 2A, 7180 Ødegård"
"Wenche Christensen-Rasmussen"|"Eideåsen 37, 2184 Elsehelle"
"Åse-Monica Ali"|"Berntseneggen 38A, 1247 Christensen"
"Anders Nygård"|"Mikkelsengjerdet 4, 8748 Berg"
"Kjetil Arnesen"|"Thomassenalléen 4, 1108 Tonjefjell"
"Kåre Paulsen"|"Hansenroa 38G, 8283 Lie"
"Unni Jenssen"|"Ahmedstien 7E, 9591 Grethesjøen"
"Øystein-Terje Nguyen"|"Mikkelsenfaret 1, 8478 Hansen"
"Kirsten Bakke"|"Myhregrenda 08, 4544 Brittby"
"Eivind Jørgensen"|"Isaksenfaret 4, 8695 Emmavik"
"Morten Lien"|"Nielsentunet 3, 7168 Annaborg"
"Stine-Eva Isaksen"|"Lundemarka 79, 8354 Arnesen"
"Eli Hagen"|"Andresentunet 19, 5198 Engen"
"John-Morten Berge"|"Holmringen 09, 0525 Halvorsen"
"Stig Engen"|"Johansensvingen 7B, 5227 Theadal"
"Turid Sivertsen"|"Birkelandspranget 62C, 0919 Hannestrand"
"Unni Lund"|"Moenmarka 37, 9489 Karlø"
"Stein Karlsen-Lien"|"Holmjordet 43E, 0713 Henriksen"
"Kim Solberg"|"Lundlunden 4, 5904 Camillasand"
"Siv-Julie Simonsen"|"Kristiansenmyra 5, 3295 Alfø"
"Linn-Helene Ali"|"Lieskrenten 17, 8109 Knutsen"
"Jon Pedersen"|"Kristenseneggen 4, 1137 Bøe"
"Ragnhild Karlsen"|"Aasskogen 8, 7888 Johannessen"
"Sigrid Dahl"|"Pettersenholtet 11, 8453 Andreasby"
"Einar Bøe"|"Johansenvollen 1, 2085 Noraberg"
"Marte Nielsen"|"Pedersentjernet 44, 2031 Eriksen"
"Unni Nielsen"|"Gundersenvika 5, 1975 Andresen"
"Dr. Eivind Nilsen"|"Larseneggen 7B, 9279 Lund"
"Emil Hansen"|"Sørensengropa 2F, 8704 Danielhavn"
"Arild Halvorsen"|"Dahlgrenda 3E, 6165 Lisemark"
"Dr. Øyvind Sæther"|"Jacobsenskrenten 476, 0219 Hansodden"
"Rita Bakke"|"Vikbråten 84, 7249 Åsefoss"
"Stig Knudsen-Aasen"|"Johansenfaret 2, 3242 Myhre"
"Daniel Lund"|"Knutsenplassen 375, 2671 Simonsen"
"Gro Eriksen"|"Thorsentunet 1, 7295 Edvardsen"
"Nina Rønning"|"Olsenkollen 9, 2123 Simonsen"
"Unni Svendsen"|"Knutsenberget 5, 4062 Solheim"
"Vidar Madsen"|"Solberghøgda 9, 2554 Mikkelsen"
"Bjørg Strøm"|"Strandhaugen 97, 4428 Jannevåg"
"Kirsten Berntsen-Thorsen"|"Svendsenhagen 97, 7630 Haugen"
"Cathrine Vik"|"Hanssenekra 5, 2236 Hauge"
"Kjetil Sivertsen"|"Arnesenalléen 33, 2001 Cathrineby"
"Jan-Steinar Pedersen"|"Mathisenroa 45, 2856 Jørgensen"
"Magne-Arild Ahmed"|"Paulsengata 91, 3375 Haug"
"Sverre-Tommy Olsen"|"Antonsengata 6, 4298 Anndal"
"Wenche Nilsen"|"Knudsenplassen 4F, 6329 Kristinevik"
"Unni-Nora Fredriksen"|"Sandvikskrenten 37E, 4683 Noraø"
"Johan-Thomas Pedersen"|"Myklebusttjernet 2E, 5919 Berntsen"
"Mona Halvorsen"|"Thomassenstubben 79, 8619 Aasen"
"Cathrine Bakke"|"Olsenekra 9, 2191 Kristiansen"
"Fredrik Karlsen"|"Hellandflata 5, 0497 Antonsen"
"Per Johannessen"|"Næssskogen 78D, 9026 Dagodden"
"Siv Haugen"|"Jørgensenmoen 25, 4505 Alfhamn"
"Kjetil-Kenneth Jensen"|"Solheimeggen 6, 1691 Jonasdal"
"Lene Rasmussen"|"Eliassenmyra 33A, 0787 Berge"
"Lise-Bjørg Sandvik"|"Hellandmoen 6, 6549 Tangen"
"Vegard Berge"|"Danielsenrøa 6, 9773 Håkondal"
"Ingeborg Edvardsen-Johnsen"|"Andreassengrenda 41A, 2114 Svendsen"
"Kristine Solheim-Eliassen"|"Knudsenekra 57, 9764 Moen"
"Anders Halvorsen"|"Thorsenvollen 22A, 5846 Nilsfjell"
"Nora Ødegård"|"Sandvikkroken 33, 0055 Monafjell"
"Cecilie Amundsen"|"Eidemyra 2, 5680 Emiliefjell"
"Dr. Torbjørn Ali"|"Moestien 7, 5444 Gromark"
"Marius-Ivar Danielsen"|"Tveitskogen 5, 8375 Bakken"
"Helene Bakke"|"Haugerøa 3D, 4930 Maritberg"
"Prof. Sigurd Thomassen"|"Lundespranget 3, 0283 Larsfjord"
"Vegard Hanssen"|"Alibakken 800, 0672 Mariamark"
"Ola-Alexander Helland"|"Iversenplassen 5, 4329 Sæther"
"Tore Pettersen"|"Hagengjerdet 766, 1704 Martinsen"
"Karl-Svein Bøe"|"Ødegårdløkka 04E, 5221 Frankfjell"
"Andrea Rønning"|"Nilsengrenda 85, 3348 Janøy"
"Arne Jacobsen"|"Berntsenkollen 9, 0729 Dahl"
"Frode-Arild Birkeland"|"Thomassenlunden 01C, 6830 Bøe"
"Karen Amundsen-Berge"|"Ellingsenholtet 39, 6884 Jørgensen"
"Markus Ruud-Ruud"|"Aasenalléen 14, 0583 Aasen"
"Helene Nguyen"|"Johansenekra 17, 6734 Grethestad"
"Vegard Hanssen"|"Thomassenåsen 42, 8182 Berntsen"
"Ruth Lunde"|"Brekkebakken 23, 8119 Hildeeid"
"Berit Gundersen"|"Alitunet 724, 9257 Mathisen"
"Helge Edvardsen"|"Edvardsenbråten 2, 2465 Ali"
"Stine-Grete Hagen"|"Thorsenstykket 5, 8215 Helgehamn"
"Terje Paulsen"|"Strandgrenda 7, 9049 Grovik"
"Eva Hauge-Nygård"|"Hanssenfaret 9, 9918 Gundersen"
"Thor Halvorsen-Iversen"|"Ahmedspranget 9, 1730 Terjehelle"
"Tonje Birkeland"|"Rønningeggen 1, 6155 Tobiasvik"
"Ann-Torill Birkeland"|"Kristensenhaugen 5B, 2604 Marenfoss"
"Vegard Isaksen"|"Berntsenløkka 55, 0068 Abrahamsen"
"Sara Kristoffersen-Solheim"|"Eidealléen 7B, 4754 Johansen"
"Johannes Sørensen"|"Ahmedlunden 8, 1841 Alfvåg"
"Malin-Julie Knudsen"|"Gulbrandsenhøgda 28, 7279 Theamark"
"Marius Martinsen"|"Myhrehaugen 2A, 5462 Thomassen"
"Mona Tangen-Nygård"|"Bergealléen 7, 7455 Kårevik"
"Julie Berg"|"Knutsenbakken 5B, 4122 Ingeborgeid"
"Nina Dahl"|"Lundmyra 301, 8681 Gulbrandsen"
"Hanne Haugen"|"Lieengen 74, 6671 Simenås"
"Tor Eliassen"|"Kristensenringen 39A, 9199 Larsen"
"Vegard-Marius Johansen"|"Bakkestubben 427, 1679 Magnusbø"
"Håkon-Erling Solberg"|"Nielsenfaret 3, 4943 Lisevær"
"Linda Nygård"|"Lienhagen 001, 8817 Olsen"
"Else Myhre"|"Simonsenåsen 284, 4459 Solheim"
"Markus Ødegård"|"Henriksenlyngen 6, 8362 Lund"
"Britt Lien"|"Isakseneggen 26, 5507 Pettersen"
"Roger Nielsen-Jensen"|"Nilsenekra 1C, 0693 Strand"
"Svein Hanssen-Haugland"|"Lieberget 583, 7814 Martinsen"
"Prof. Roar Iversen"|"Madsenlunden 4, 3521 Jacobsen"
"Kristine Hansen"|"Henriksenekra 42D, 8432 Sørensen"
"Vegard-Martin Evensen"|"Knutsenstubben 1, 2568 Hauge"
"Tobias Evensen-Helland"|"Johannessenåsen 9, 9131 Anetteø"
"Else Kristiansen"|"Kristoffersenstykket 67, 8793 Ruud"
"Emilie Tangen"|"Bergeskrenten 9, 7409 Marteborg"
"Maria Jenssen"|"Engenskogen 7B, 8710 Gulbrandsen"
"Anders Ahmed"|"Andresenkollen 34, 0245 Tommyvær"
"Tobias Haug-Svendsen"|"Brekkebakken 1, 1579 Lenehelle"
"Hilde Thomassen"|"Dahlvika 163, 2702 Sondrefjord"
"Kjell Strand-Ali"|"Knutsenberget 7, 5201 Bakken"
"Henrik Paulsen"|"Hellandløkka 3, 4074 Håkonstrøm"
"Vidar Gulbrandsen"|"Sandvikflata 81, 5534 Gundersen"
"Linda Kristensen"|"Rønninghøgda 15D, 9341 Frodeberg"
"Thor Sivertsen"|"Eriksenstranda 9B, 7943 Håkonfjord"
"Ruth-Tove Aas"|"Jakobsenlyngen 1, 2664 Sebastianmark"
"Andrea Lunde"|"Jenssenkollen 5, 4477 Nielsen"
"Markus Tveit"|"Isaksengjerdet 4, 6059 Bøe"
"Roger Ellingsen"|"Aaslia 6A, 2755 Næss"
"Linda-Kristin Svendsen"|"Henriksenfaret 22C, 7641 Sørensen"
"Erling Thomassen"|"Edvardsenstubben 460, 0504 Paulsen"
"Mette Christensen"|"Svendsenkroken 58, 7464 Danielsen"
"Vidar Haugland"|"Bergetunet 277, 9554 Martesund"
"Mona Berg"|"Thorsenmyra 1, 3268 Maritgrunn"
"Anna-Mona Evensen"|"Haugenholtet 85, 3448 Einarberg"
"Cecilie Evensen"|"Vikmoen 9, 2243 Kårehelle"
"Morten Christensen-Andreassen"|"Pedersenlia 8D, 2880 Gunnfoss"
"Ruth-Anne Brekke"|"Edvardsenhøgda 5, 3598 Karlsen"
"Mari-Emma Andersen"|"Aunefaret 7, 5377 Moe"
"Eli Bøe"|"Martinsenspranget 65, 7293 Nygård"
"Åse-Trine Helland"|"Sivertsenstien 61, 7999 Ingridfoss"
"Stig Andreassen"|"Larsenbråten 22, 8102 Linnsjøen"
"Vidar Johannessen"|"Andreassenringen 07, 1591 Thorsand"
"Line Larsen"|"Aunevika 3, 5042 Synnøvegrunn"
"Nils-Kim Lien"|"Hellandskrenten 39, 0906 Hansen"
"Tonje Kristiansen"|"Tveitgjerdet 2, 9974 Frodefjell"
"John Strøm"|"Solheimbråten 64, 0179 Elisabethfoss"
"Tonje Ødegård-Nguyen"|"Birkelandeggen 69, 4429 Jakobsen"
"Siri Sandvik"|"Christensenlunden 45, 9529 Knudsen"
"Kari Pedersen"|"Berntsenstykket 69, 7826 Torbjørnsand"
"Ann Antonsen"|"Thorsenroa 8D, 2409 Olsen"
"Tor Bøe"|"Eidekroken 6, 5132 Arnesen"
"Vidar Larsen"|"Edvardsenengen 1, 3241 Eide"
"Per-Christian Sivertsen"|"Johansenalléen 95, 6673 Solberg"
"Anna Knudsen"|"Rasmussentjernet 74B, 5870 Sigurdstrøm"
"Helene Haugland"|"Jakobsenengen 76D, 9992 Reidunfoss"
"Emma Bøe"|"Thorsengropa 88B, 7722 Paulsen"
"Kim Birkeland"|"Kristensengata 1, 9761 Pålbø"
"Sebastian Jensen-Holm"|"Mikkelsenåsen 1B, 3694 Paulsen"
"Martine Ahmed"|"Liesvingen 2, 2603 Birkeland"
"Jørgen Martinsen"|"Ruudbakken 51, 5578 Lisenes"
"Kari Jørgensen"|"Johnsentunet 3, 7749 Daghelle"
"Vidar Pedersen"|"Tveitkroken 98, 9977 Øyvindnes"
"Ann-Sofie Edvardsen"|"Myhreplassen 7, 7632 Tomby"
"Lene Knutsen"|"Johansenlyngen 5, 1330 Kimbø"
"Astrid Aas-Dahl"|"Simonsenhavna 3, 4222 Martinfjell"
"Stig Madsen"|"Eidemyra 7F, 6078 Christensen"
"Hanna Jacobsen"|"Nielsenhøgda 6, 1600 Ødegård"
"Finn Larsen"|"Hagenmyra 6, 1348 Sondrestrand"
"Tore Ødegård"|"Mathisenhavna 8, 7906 Larsnes"
"Tommy Andreassen"|"Brekketoppen 7, 3557 Hanssen"
"Sigrid Amundsen"|"Jensengjerdet 42, 2036 Andreassen"
"Vidar-Hans Ali"|"Hauglandskrenten 73, 2317 Hanssen"
"Anita Johnsen"|"Edvardseneggen 7, 6840 Alexanderbø"
"Unni Christensen"|"Karlsensvingen 7, 0095 Hanssen"
"Janne Aasen"|"Solbergflata 86, 7225 Ritaberg"
"Torill Iversen"|"Madsenstubben 17, 1361 Erlingø"
"Bjørn Vik"|"Birkelandplassen 1, 8105 Christensen"
"Petter Antonsen"|"Hauglandåsen 8, 0163 Edvardsen"
"Erling Christensen-Andersen"|"Olsenkollen 4, 2584 Helland"
"Bente Svendsen-Sæther"|"Isaksensvingen 31, 2901 Alexanderstad"
"Marie-Cecilie Andersen"|"Sandvikringen 40, 5596 Martinsen"
"Vidar-Karl Jacobsen"|"Lundegropa 1, 7121 Iversen"
"Hans Hauge-Johnsen"|"Hellandtjernet 58B, 2523 Ceciliefjord"
"Eivind Sivertsen"|"Ødegårdmarka 19, 6120 Kennethås"
"Sissel Johnsen"|"Tangenkroken 95A, 6431 Berg"
"Linda Nygård"|"Ahmedengen 7, 4868 Engen"
"Marius-Karl Sæther"|"Hansenskrenten 75B, 8544 Anitabø"
"Sigurd Moe"|"Rønninghavna 10C, 7831 Henriksen"
"Roy-Frank Ali"|"Knutsenmyra 35, 9923 Kristiansen"
"Marit Rønning"|"Eliassenskogen 8B, 8020 Andresen"
"Kristian Dahl"|"Alialléen 4, 0043 Ninaby"
"Vidar-Nils Karlsen"|"Birkelandeggen 79F, 2063 Hagen"
"Stein Aas"|"Bakkentunet 45E, 9874 Kristineborg"
"Magne-Gunnar Tangen"|"Danielsenmoen 78, 4283 Knuthamn"
"Pål Holm"|"Strandspranget 71, 1436 Hansen"
"Dr. Tommy Martinsen"|"Jacobsenalléen 73A, 0114 Antonsen"
"Bjørn Brekke"|"Jenssengrenda 63, 2963 Sondrebø"
"Prof. Helge Tveit"|"Jensengropa 2B, 6707 Bakken"
"Hege Thomassen"|"Johansenmarka 3, 1673 Idahamn"
"Stine-Mona Mikkelsen"|"Jenssensvingen 23, 7530 Vildeø"
"Andreas Ødegård"|"Sivertsenberget 92E, 1783 Janfjord"
"Vilde Hanssen"|"Aasenmarka 9, 2843 Andersen"
"Dr. Sander Hauge"|"Strømspranget 631, 0552 Johannessen"
"Kjetil Olsen-Amundsen"|"Arnesenringen 1, 9133 Malindal"
"Marte Lund"|"Kristiansenalléen 1, 3526 Randihamn"
"Tommy Jensen"|"Bakkebakken 62, 4977 Lunde"
"Liv Tveit"|"Eriksenvollen 2D, 4305 Lunde"
"Eli Nielsen-Tangen"|"Eidefaret 12, 0334 Synnøvefjord"
"Svein Madsen"|"Eliassenjordet 44, 7552 Trineby"
"Cathrine Haug"|"Strandgjerdet 8, 4456 Eliborg"
"Else Jenssen"|"Aunegjerdet 1C, 7025 Sørensen"
"Vilde Helland"|"Christensenholtet 48, 4157 Steinargrunn"
"Vilde Ahmed"|"Johannessenskogen 1, 8378 Sivertsen"
"Wenche Bakken"|"Pettersengata 56H, 3232 Martinstad"
"Jenny Engen"|"Alivollen 83, 1797 Linnstad"
"Laila-Ingeborg Ahmed"|"Svendsenløkka 3, 6264 Halvorsen"
"Linda Bøe"|"Birkelandringen 69, 8983 Ceciliebø"
"Gro Ali"|"Evensenjordet 8B, 4650 Danielsen"
"Vidar Vik"|"Knudsenberget 4, 3492 Annegrunn"
"Helge Birkeland"|"Tangenmoen 8, 0424 Lailafoss"
"Sigrid Sivertsen"|"Andresenlia 74F, 4106 Hanssjøen"
"Vilde Jakobsen"|"Holmlia 1C, 6249 Jensen"
"Ragnhild Rasmussen"|"Thorseneggen 80, 8332 Antonsen"
"Tom Rønning"|"Isaksenrøa 6, 0229 Sveinfjord"
"Hilde-Maria Ali"|"Dahlmyra 6H, 1874 Hegehamn"
"Eli Pedersen-Dahl"|"Edvardsenbråten 9, 6221 Simonsen"
"Øystein Jakobsen"|"Olsenlunden 9, 0113 Eivindstad"
"Håkon Moen"|"Haugtoppen 4, 4921 Håkonstad"
"Svein Olsen"|"Simonsenroa 86C, 7998 Hannehavn"
"Hanne-Elise Ali"|"Eriksenholtet 2, 7002 Mariusmark"
"Tom Johnsen"|"Kristiansensvingen 5, 3342 Nguyen"
"Vilde Lund"|"Karlsengropa 1, 4362 Haugen"
"Maria Lunde"|"Nielsenhavna 79, 5914 Håkonborg"
"Sigrid Myhre-Haugen"|"Jenssenplassen 47B, 6574 Gulbrandsen"
"Hege Karlsen"|"Simonsenholtet 1, 3262 Karlsen"
"Anna-Martine Sandvik"|"Dahlalléen 14, 6699 Haraldvik"
"Leif Bøe"|"Mathisenløkka 8, 5387 Halvorsen"
"Ann Johansen"|"Arnesenmoen 9, 1325 Solheim"
"Irene Johansen"|"Myklebustfaret 64, 2554 Berge"
"Linda Dahl"|"Tveitmyra 6, 2611 Jennyfjord"
"Anita Madsen"|"Jenssenhøgda 80, 7340 Olsen"
"Vilde Strøm"|"Eliassensvingen 3, 2193 Holm"
"Erling Bøe"|"Næssgropa 2, 6552 Arnesen"
"Bjørn Strand"|"Johansentoppen 2E, 3062 Hauge"
"Sara Aasen-Nilsen"|"Arneseneggen 5A, 7515 Lisestrand"
"Magnus-Roar Simonsen"|"Lundetunet 5, 5176 Andreassen"
"Sindre Madsen"|"Isaksenstien 16, 8140 Ellingsen"
"Turid Johansen-Evensen"|"Paulsenstranda 92, 8359 Karolinevær"
"Grethe Sørensen"|"Bergekollen 9, 1760 Espenhamn"
"Knut Ødegård"|"Holmjordet 3, 7246 Ellenbø"
"Synnøve Moen"|"Engenroa 6C, 5538 Iversen"
"Wenche Ahmed"|"Andresenstranda 6, 1721 Lindastrand"
"Kjell Hansen"|"Birkelandgropa 83C, 4975 Ruthstrøm"
"Vegard Vik-Haugen"|"Bergeengen 05A, 6880 Ninastrand"
"Anette-Anette Myklebust"|"Hellandstien 5, 3718 Myklebust"
"Fredrik Vik"|"Rønningberget 711, 5679 Abrahamsen"
"Tommy Kristensen"|"Nygårdgropa 1E, 9302 Haugland"
"Prof. Jørgen Jørgensen"|"Vikåsen 19, 4536 Iversen"
"Torbjørn Sandvik"|"Paulsenbakken 6, 7949 Eliassen"
"Marte Danielsen-Thorsen"|"Mikkelsenkollen 45B, 9989 Karolinesand"
"Kristine-Karoline Brekke"|"Bakkehagen 1B, 6042 Livborg"
"Wenche Aune"|"Johansenroa 9, 4089 Jørgenberg"
"Tone Sandvik-Hanssen"|"Nguyenlunden 5, 0062 Brekke"
"Sigurd Aas"|"Aunegrenda 8, 2191 Gunnvær"
"Robert-Jon Rasmussen"|"Moenplassen 4, 7994 Terjehelle"
"Stine Martinsen-Strøm"|"Knutsengrenda 9, 4292 Mariøy"
"Sindre Sandvik"|"Martinsentjernet 28, 4744 Jørgenbø"
"Stein Abrahamsen"|"Henriksengropa 13, 3198 Vegardfjell"
"Marius Berge"|"Svendsenlia 3, 3676 Haug"
"Helene-Siv Paulsen"|"Pedersentjernet 71F, 4705 Bjørnby"
"Kjersti Edvardsen"|"Knutsenmarka 1A, 3006 Magnefjell"
"Wenche Evensen-Karlsen"|"Ellingsenstykket 981, 1013 Evensen"
"Dr. Kristoffer Andresen"|"Johannessengjerdet 3, 8048 Bjørnstrøm"
"Rita Fredriksen"|"Gundersenbråten 986, 1105 Hansen"
"Wenche Hauge"|"Moenringen 2, 4227 Antonsen"
"Linda Christensen-Lund"|"Hansenkollen 06, 4741 Ødegård"
"Rolf Johnsen"|"Sørensenlyngen 20D, 6707 Jørgensen"
"Egil Martinsen"|"Pettersenholtet 02, 3750 Eriksen"
"Gunn Martinsen"|"Ellingsenhaugen 1B, 1831 Irenesjøen"
"Siri Evensen"|"Jenssenskrenten 17, 5327 Tangen"
"Sindre-Mathias Antonsen"|"Nielsenroa 4, 5636 Strøm"
"Wenche Gulbrandsen"|"Martinsenrøa 3, 1538 Andersgrunn"
"Sigrid Johnsen"|"Ahmedlia 5, 0023 Eivinddal"
"Sverre Lunde"|"Jensenrøa 2, 4436 Jensfjord"
"Stine Edvardsen"|"Aasstykket 8, 3264 Kimnes"
"Leif Lie"|"Lundlia 6A, 7973 Halvorsen"
"Johannes-Kjetil Myklebust"|"Isaksenflata 76, 1089 Helenebø"
"Emilie Bøe"|"Danielsentoppen 1A, 9254 Larsdal"
"Mari Gundersen"|"Mathisenlia 74, 5485 Sindrefoss"
"Emilie Thomassen"|"Abrahamsenhagen 4, 3310 Christianodden"
"Dr. Olav Andersen"|"Nguyenbakken 6, 2008 Pervåg"
"Wenche Haug-Helland"|"Henrikseneggen 12D, 2122 Gulbrandsen"
"Ida Ali"|"Christensengropa 5D, 0409 Kjellvik"
"Svein Arnesen"|"Karlsenjordet 6C, 3726 Øyvindstrand"
"Thor Christensen"|"Strandløkka 9, 3073 Ingridø"
"Astrid Knutsen"|"Pedersenhøgda 44G, 1227 Knutsen"
"Petter Strøm"|"Christensenringen 1, 2818 Ruud"
"Mathias Olsen"|"Hauglandstien 04, 8135 Thomassen"
"Asbjørn Sæther"|"Næssmoen 63, 5347 Karensjøen"
"Bjørg Christensen-Dahl"|"Lundringen 43C, 2860 Ceciliedal"
"Steinar Kristensen"|"Kristensenvika 1F, 8221 Aune"
"Wenche Pedersen"|"Abrahamsenstubben 6A, 8174 Geirhamn"
"Kari Berntsen"|"Hauglandløkka 1, 2806 Brekke"
"Per Nguyen"|"Antonsenroa 8, 8403 Amundsen"
"Jørgen Eide"|"Sandviktoppen 1, 0283 Sivertsen"
"Ellen Knudsen"|"Nygårdeggen 06C, 8461 Lien"
"Cecilie Martinsen-Evensen"|"Brekkeskrenten 7, 5130 Edvardsen"
"Prof. Frank Thorsen"|"Kristiansenskrenten 4, 1043 Hauge"
"Knut-Fredrik Aune"|"Lienbakken 8, 6411 Tveit"
"Tore-Vidar Jacobsen"|"Rønninggrenda 6, 0247 Lien"
"Per-John Jørgensen"|"Birkelandholtet 510, 6942 Isaksen"
"Wenche Strøm"|"Tangenhagen 475, 4567 Nilsen"
"Eirik Kristoffersen"|"Henriksenlunden 52, 4287 Vegardsand"
"Kjersti-Marte Edvardsen"|"Isaksenroa 6, 7677 Gundersen"
"Pål-Markus Johannessen"|"Bakkenplassen 1, 3344 Strøm"
"Ida Birkeland"|"Nygårdjordet 11, 6690 Haug"
"Vilde Simonsen"|"Thomassenstranda 883, 6207 Lien"
"Heidi Amundsen"|"Haugegjerdet 6, 6758 Siriø"
"Thea Simonsen"|"Holmmarka 997, 5717 Eide"
"Erling Lunde-Nygård"|"Mathisenbakken 53, 4116 Hanneodden"
"Per Ali"|"Aasenåsen 006, 8755 Lenestrand"
"Wenche Ødegård"|"Paulsenengen 70, 6231 Jensen"
"Morten-Roy Sørensen"|"Aasenrøa 1, 5158 Malinvåg"
"Stein Andresen"|"Nygårdekra 67, 0440 Stineberg"
"Sofie-Marie Olsen"|"Henriksengata 91, 4021 Larssund"
"Adrian Evensen"|"Strandskogen 41F, 4276 Terjevær"
"Lise Thorsen"|"Ødegårdløkka 47, 7948 Linebø"
"Jenny Nilsen"|"Moesvingen 32C, 7741 Kennethhavn"
"Mona Ellingsen"|"Jenssenstubben 240, 6682 Hegesjøen"
"Solveig Jenssen"|"Lienskogen 390, 3511 Haraldø"
"Silje Haugland"|"Simonsengjerdet 8, 2191 Haugen"
"Wenche-Ingrid Danielsen"|"Knutsenberget 19, 4115 Haug"
"Ivar Haugen"|"Aligata 68, 7116 Tonesund"
"Magnus Helland-Bakken"|"Alimarka 2, 0186 Jensen"
"Hanna-Cathrine Johnsen"|"Arnesenbråten 13, 5648 Holm"
"Turid Berge"|"Mikkelsenmyra 3D, 5163 Olsen"
"Christian Sæther"|"Sandvikhøgda 81, 5441 Larssund"
"Synnøve Sæther"|"Nilsenmoen 04, 3475 Andresen"
"Rolf-Simen Strand"|"Iversenhavna 3, 0571 Sverreby"
"Jonas Engen"|"Tveitflata 2, 8620 Linnborg"
"Dr. Stig Simonsen"|"Myhrekroken 1, 7277 Bakke"
"Åse Eide"|"Svendsenhavna 9, 0488 Livhamn"
"Tove Edvardsen"|"Edvardsenroa 5, 5548 Ruthmark"
"Jenny Haugen"|"Christensenfaret 3, 5387 Gundersen"
"Kåre Henriksen"|"Sørensenmyra 2, 0456 Tonjestad"
"Heidi Ødegård"|"Berntsenmyra 7B, 5705 Antonsen"
"Olav Lie"|"Strømmyra 3, 9365 Hanneø"
"Simen Hagen"|"Abrahamsengata 98C, 3213 Arnesen"
"Tommy Edvardsen"|"Karlsentoppen 58F, 2806 Nielsen"
"Trine Hagen"|"Lienåsen 53, 0864 Lunde"
"Ellen Paulsen"|"Larsenhavna 8, 6528 Øysteinvær"
"Åse Ellingsen"|"Lieengen 946, 6865 Myhre"
"Sebastian Hauge"|"Lientjernet 125, 7955 Marifoss"
"Julie-Silje Eriksen"|"Næssplassen 7A, 4236 Leiffjord"
"Linn Myhre-Haugen"|"Sætheråsen 63, 6748 Birkeland"
"Steinar Henriksen-Jacobsen"|"Eliassenlyngen 1B, 1911 Bakke"
"Marte Bøe"|"Aasskogen 3, 0497 Iversen"
"Mette Henriksen"|"Johannessentoppen 3, 0830 Solberg"
"Maren Rønning"|"Danielsenvika 9, 8220 Joakimsund"
"Marianne-Gunn Berge"|"Lundløkka 8, 5523 Andersen"
"Turid Eliassen"|"Jenssenmarka 76, 5127 Henrikby"
"Åse Haugland"|"Jacobsensvingen 59C, 0109 Jørgensen"
"Åse Ali"|"Nilsenskrenten 1, 9053 Sandvik"
"Ellen Lund-Olsen"|"Nilsenbakken 90A, 1270 Maritfoss"
"Eva Sandvik"|"Fredriksenlia 7, 4323 Magnestad"
"Roar Sæther"|"Alilia 37, 2835 Kirstenhavn"
"Fredrik Myhre"|"Hauglandskogen 48B, 7651 Hannasund"
"Cecilie-Martine Vik"|"Eidebråten 1, 6567 Haug"
"Fredrik Halvorsen"|"Johannessenflata 5, 4685 Myhre"
"Mari Vik"|"Svendsenflata 5, 0235 Hagen"
"Linda-Heidi Arnesen"|"Nielsentoppen 5, 1475 Martineodden"
"Åse Johannessen"|"Hansenstien 5G, 0801 Kristoffersen"
"Siv-Ann Jacobsen"|"Haugevollen 4, 1747 Runesand"
"Solveig Fredriksen"|"Jørgensenvollen 1C, 5307 Ceciliestrøm"
"Sander-Martin Tangen"|"Thomassenhagen 55, 5380 Kristiansen"
"Tonje-Hege Simonsen"|"Haugetoppen 59, 7187 Brekke"
"Ida Strand"|"Thomassenrøa 5, 0933 Espensund"
"Marianne Myklebust"|"Bergbråten 5E, 2874 Simonsen"
"Kenneth Strøm"|"Ødegårdrøa 95C, 7595 Torevik"
"Thomas-Tobias Myhre"|"Karlsenmoen 1, 7351 Jonasfoss"
"Ruth Evensen"|"Gundersenbakken 920, 9092 Mortenborg"
"Åse Kristensen"|"Johnsenlyngen 9B, 3877 Thorsen"
"Sigurd Ali"|"Nguyenfaret 41, 2545 Vik"
"Mona Mathisen"|"Brekkehøgda 2, 0649 Jørgensen"
"Simen Henriksen-Rønning"|"Nilsenfaret 9B, 3727 Aas"
"Dr. Trond Strøm"|"Jacobsenlia 968, 8302 Hannaøy"
"Kirsten Berg"|"Thomassenløkka 3, 2694 Ahmed"
"Arne Strand"|"Solbergtoppen 9, 7622 Antonsen"
"Geir Lunde"|"Paulsenmarka 2, 5812 Hansen"
"Nora Johannessen"|"Andresenholtet 40, 7340 Fredrikby"
"Martine Pettersen"|"Solbergtunet 4, 7620 Thomassen"
"Åse Martinsen"|"Ellingsenskogen 22D, 8729 Martevik"
"Egil Solheim"|"Jacobsentoppen 06, 2352 Jorunndal"
"Maren Pettersen"|"Antonsenvika 68E, 8392 Hanssen"
"Daniel Jacobsen"|"Andreassenrøa 45C, 6816 Janstrand"
"Elise Eide"|"Nielsengata 346, 4727 Bakke"
