"Adrian Aasen","Myklebustflata 540, 1216 Johnsen" 
"Ellen Rønning","Myhrestranda 8, 0588 Antonsen"
"Synnøve Amundsen-Ahmed","Johnsenhavna 3, 4098 Paulsen"
"Tobias Sandvik","Haugekollen 8, 9300 Aasen"
"Prof. Magne Dahl","Haugelia 1, 8588 Olevåg"
"Lars Eliassen","Solbergplassen 6, 0938 Berntsen"
"Terje Johansen","Kristensenholtet 700, 8862 Hansen"
"Tom Lie","Eriksenhaugen 3E, 5587 Lenesund"
"Fredrik Sørensen","Henriksenhaugen 93C, 8855 Abrahamsen"
"Alf Strøm","Moealléen 78, 7264 Moen"
"Bente Kristensen","Nygårdgjerdet 13, 2358 Haugland"
"Dr. Sverre Nilsen","Johansenholtet 8B, 0568 Johnsen"
"Jonas-Eivind Andresen","Hagenvollen 6, 0257 Jorunnø"
"Alexander Danielsen","Olsenengen 64, 7591 Tangen"
"Dr. Jan Jenssen","Henriksenberget 69, 0328 Bentegrunn"
"Solveig Sivertsen-Berg","Pedersenringen 068, 6319 Bakke"
"Heidi-Hilde Haugland","Andresenroa 57, 4659 Joakimhelle"
"Tom Rønning","Lundstranda 8, 3969 Jensstrøm"
"Roy Bakke-Sivertsen","Lundstykket 5, 5728 Kåreø"
"Jorunn-Britt Paulsen","Rasmussenfaret 7F, 0184 Thomassen"
"Elise Kristiansen-Arnesen","Pettersenvika 7, 7972 Iversen"
"Johan Thomassen","Kristiansenløkka 3, 4118 Jenssen"
"Magne Hagen-Vik","Svendsenplassen 74F, 6200 Rasmussen"
"Harald Bakken","Kristensenvollen 4A, 4384 Arnesen"
"Alf Sæther","Haugekra 09D, 1537 Larsen"
"Frank Holm","Isaksenlunden 4G, 2421 Nguyen"
"Magnus Dahl","Bakkentoppen 67, 6548 Abrahamsen"
"Tom Solberg","Ellingsenhøgda 3, 3079 Elisabethstad"
"Trine Brekke","Anderseneggen 44C, 6686 Kristensen"
"Kirsten Iversen","Hansentunet 5, 9337 Britthamn"
"Adrian Isaksen","Jacobsenholtet 10, 1314 Sarahavn"
"Siri Eliassen","Dahlringen 36, 4245 Hauge"
"Gerd Lie","Aliengen 83A, 3636 Mathisen"
"Else Pettersen","Andresenhagen 1C, 8511 Randivær"
"Stig Paulsen","Sørensenlia 7, 6522 Andresen"
"Tonje Amundsen","Eliassenringen 9, 5779 Fredrikmark"
"Kjell-Jan Sæther","Thorsenringen 1, 9427 Tangen"
"Tom Svendsen","Rasmussenstubben 268, 1086 Sigurdsand"
"Tore Andersen","Holmflata 1, 8138 Paulsen"
"Linn-Mette Berge","Ahmedtjernet 1, 6031 Martefjell"
"Mona Johannessen-Nilsen","Paulsenhøgda 985, 6370 Gulbrandsen"
"Knut Strand","Hansenholtet 31B, 9329 Nilsen"
"Ellen Gundersen","Eliassenengen 96B, 8467 Halvorsen"
"Fredrik Gulbrandsen","Dahlengen 09, 1259 Sisselfjell"
"Kristian Knudsen","Viktjernet 4C, 8459 Camillasand"
"Terje Aasen","Dahlstranda 2, 0387 Tangen"
"Ivar Larsen","Karlsenengen 89B, 9895 Einargrunn"
"Tom-Torbjørn Jenssen","Abrahamseneggen 032, 0837 Thomasvær"
"Thor Sæther","Nguyenskogen 3, 6323 Britteid"
"Egil Svendsen","Eriksentoppen 6, 4900 Martinsen"
"Sofie Bøe","Eliassensvingen 41, 0035 Pålvær"
"Eirik Ali","Sørensenåsen 496, 0370 Siljeø"
"Elin-Martine Larsen","Eidemoen 4, 8557 Idafjell"
"Øystein Moe","Johnsenalléen 9, 9272 Ingersund"
"Magne-Thor Aune","Christensenberget 3, 1265 Tobiasdal"
"Anders Nilsen","Tangenvika 20, 9013 Unnigrunn"
"Kristin-Heidi Aas","Christensenhaugen 654, 9238 Brekke"
"Tommy Ahmed","Brekkelyngen 25, 1085 Heidiby"
"Olav Helland-Lunde","Haugefaret 4, 3402 Solheim"
"Sverre-Håkon Strand","Hauglandgata 66E, 7256 Helenedal"
"Ola Sørensen","Olsengjerdet 3C, 8105 Kristiansen"
"Sindre Mikkelsen","Liekollen 6, 0716 Anitastrand"
"Martine Eriksen-Sørensen","Olsenfaret 3C, 6978 Mathisen"
"Britt Helland","Lundfaret 85, 4984 Mettemark"
"Mathias-Svein Knudsen","Fredriksenåsen 6B, 2822 Halvorsen"
"Dr. Roar Næss","Mathisengrenda 8F, 2225 Isaksen"
"Øyvind Aas","Ruudlunden 74F, 9225 Karolineås"
"Tommy Edvardsen","Arnesenvollen 4, 7212 Egilsjøen"
"Grethe Aas","Edvardsenhøgda 56E, 1790 Jakobsen"
"Øyvind-Stig Thomassen","Iversenmyra 5, 5577 Espenby"
"Marius Engen","Halvorsenrøa 2, 6463 Ellingsen"
"Berit-Åse Henriksen","Edvardsenholtet 6, 9027 Tveit"
"Jon Sivertsen","Jacobsenlyngen 99, 6747 Rasmussen"
"Robert Johannessen","Hagenskogen 316, 0438 Martinsen"
"Knut Strand-Engen","Ruudtoppen 6F, 4776 Torehavn"
"Sindre Karlsen","Christensengropa 1B, 2892 Ingridvik"
"Hans Gulbrandsen","Strandbråten 05, 6196 Thormark"
"Tommy Hanssen","Fredriksenmoen 6, 8341 Knutsen"
"Espen Sandvik","Evensenhaugen 82E, 3830 Edvardsen"
"Torill-Anne Aune","Paulsenroa 33, 4187 Haugen"
"Steinar-Geir Berge","Iversenkroken 759, 3292 Camillanes"
"Gro Edvardsen","Christensensvingen 4, 3719 Pedersen"
"Elise Sørensen","Kristiansenløkka 1, 6915 Torby"
"Prof. Kåre Aune","Jenssenroa 6, 9885 Eirikby"
"Jens Sørensen","Thomassengjerdet 67, 7552 Ritastrand"
"Cecilie Thomassen","Myhrelunden 8, 6935 Reidunstrand"
"Tobias-Fredrik Christensen","Kristiansengrenda 94C, 2974 Antonsen"
"Tommy Haugland","Jenssenskogen 08B, 4914 Arnehelle"
"Harald-Finn Madsen","Ahmedstranda 8, 2189 Johngrunn"
"Lars Sivertsen","Pettersenstien 65, 0571 Håkonfoss"
"Ellen Ødegård","Paulsenstranda 459, 1738 Mortenvik"
"Dr. Jon Edvardsen","Haugspranget 43, 0561 Eide"
"Liv Amundsen","Aasenhøgda 75, 8787 Lailaås"
"Stein Berg","Antonsenvollen 35, 1527 Aune"
"Markus Madsen-Jensen","Ruudgropa 7, 5061 Elisand"
"Hilde Thomassen","Sandvikmyra 1, 2189 Mathisen"
"Jenny Simonsen","Bakkenvollen 125, 5378 Danielsen"
"Tommy Johannessen","Karlsenroa 27B, 2429 Janneby"
"Marit Haug","Kristoffersentoppen 9, 2455 Eide"
"Rolf Haug","Haugenstubben 9, 6023 Sigurdhamn"
"Johan-Nils Johannessen","Holmskrenten 7, 2434 Noraø"
"Prof. Joakim Paulsen","Eliassentjernet 3, 3767 Wenchebø"
"Markus-Tom Eide","Iversenplassen 8, 9481 Antonsen"
"Johan Hansen-Ahmed","Hansentunet 3F, 2849 Nygård"
"Johannes Engen","Aliringen 6, 6524 Ragnhildøy"
"Trine-Nora Kristiansen","Andersengropa 6, 3085 Petterås"
"Tonje Ali","Strandbråten 9, 4063 Annfjell"
"Tommy Myhre","Liengrenda 2, 3161 Ahmed"
"Lise Mathisen","Christensenstykket 19, 3757 Ødegård"
"Egil-Sindre Knudsen","Evensenstranda 3, 7689 Knutsen"
"Thea Haugen","Strandskogen 7, 4487 Christiandal"
"Ann Bakke","Madsenbråten 4, 3596 Hegesjøen"
"Malin Knutsen","Antonsenfaret 80, 9251 Ellingsen"
"Andrea-Torill Holm","Moegjerdet 3, 0564 Eriksen"
"Lise-Astrid Jensen","Johnsenhavna 62, 6407 Amundsen"
"Henrik Aas-Aasen","Dahlgropa 7, 1591 Arnesen"
"Tore Bakken","Ellingsentunet 12B, 1556 Evensen"
"Tommy Sivertsen","Eliassenhavna 7, 4019 Haugen"
"Sebastian Sivertsen","Jacobsenvika 86, 0919 Stianodden"
"Håkon Knudsen","Fredriksensvingen 2, 2345 Aune"
"Stine Brekke","Aasenstubben 1G, 2642 Anitaøy"
"Laila Hagen-Brekke","Nygårdstubben 07B, 3596 Haraldbø"
"Steinar Simonsen","Sæthereggen 4, 9173 Sigurdeid"
"Sara Solheim","Eiderøa 2, 6123 Moen"
"Grethe-Janne Haug","Fredriksenskrenten 877, 9670 Abrahamsen"
"Bente Mikkelsen","Isaksenplassen 1, 9411 Jennyborg"
"Lars Ruud","Halvorsenstranda 890, 5159 Ellenvær"
"Tommy Solberg","Christensenskrenten 4, 3507 Steinarvik"
"Øyvind Hagen","Sivertsenjordet 6, 9107 Kristianmark"
"Roy Haug","Jenssenekra 4, 9623 Frankvik"
"Tom-Eirik Berntsen","Nguyenbakken 5, 8112 Torbjørngrunn"
"Ingeborg-Mette Evensen","Sætherløkka 5, 8655 Ivarbø"
"Vegard Madsen","Ellingsengropa 2A, 3164 Karinø"
"Dr. Pål Bakke","Jenssenengen 51, 3466 Henriksen"
"Dag Abrahamsen","Hansenrøa 60B, 0923 Birkeland"
"Pål Bakke","Myklebusthagen 4, 9734 Andersen"
"Eli Tveit","Knudsenstykket 64, 1181 Unnihelle"
"Tone Henriksen","Pedersenmoen 8, 5277 Malinvåg"
"Prof. Gunnar Iversen","Jakobsentjernet 5, 9229 Kårefjell"
"Prof. Trond Evensen","Eriksenmoen 7C, 1347 Olahamn"
"Laila Rasmussen","Lundspranget 97, 4702 Johnberg"
"Unni Myhre","Rønninghavna 83D, 9575 Vildeborg"
"Torill Solberg","Liesvingen 54, 2660 Theadal"
"Robert Thorsen","Dahlrøa 7, 8813 Liseøy"
"Prof. Sindre Holm","Nielsenhøgda 39C, 3545 Arnesen"
"Tove Dahl","Nilsenåsen 2, 6693 Dahl"
"Sander-Sondre Solberg","Svendsenjordet 5C, 4868 Elifoss"
"Tone Iversen","Danielsengropa 273, 8199 Bjørnfoss"
"Magnus Sivertsen","Hagenstien 7, 7931 Lie"
"Vidar Holm","Abrahamsensvingen 200, 0612 Gerdberg"
"Tor Aas","Haugengjerdet 2C, 9538 Åsemark"
"Stian-Steinar Karlsen","Holmbakken 3E, 7527 Lindavik"
"Sander Moe","Andersengjerdet 4, 4413 Johnsen"
"Prof. Vegard Antonsen","Solbergstykket 48, 8997 Mathisen"
"Eivind Solberg","Sæthertjernet 2, 6830 Mariabø"
"Ida Olsen","Jenseneggen 4D, 2761 Cathrinehelle"
"Eirik-Martin Bakke","Thomassenspranget 597, 2268 Jenssen"
"Tone Jensen","Simonsenflata 166, 2261 Henriksen"
"Anders Hansen","Johannessenekra 1, 5410 Sveinsjøen"
"Linda Dahl-Haug","Myhrestubben 4, 0775 Benteø"
"Elisabeth Thomassen","Kristianseneggen 71F, 1382 Rasmussen"
"Tommy Jørgensen","Eriksenbakken 2, 2983 Strand"
"Johannes-Vegard Aune","Solberghøgda 74, 1474 Jonvåg"
"Karl-Alf Solberg","Fredriksengjerdet 2, 1871 Adriangrunn"
"Stian Knudsen","Jørgensenspranget 9, 5173 Livsund"
"Marianne Jacobsen","Vikeggen 32, 1689 Fredriksen"
"Mathias Hauge","Tangenhavna 9D, 5444 Berntsen"
"Tone Jenssen","Strømmarka 5, 6270 Aasen"
"Marit Henriksen","Nygårdstranda 10, 0712 Christensen"
"Prof. Kåre Pettersen","Jensenberget 59, 7712 Haralddal"
"Olav Hansen","Sørensenberget 6, 2711 Gulbrandsen"
"Gunn Hanssen","Olsenalléen 80, 5735 Kårehavn"
"Hanna Christensen","Engenbakken 06, 9296 Hansen"
"Randi Larsen","Jacobsenalléen 89F, 8683 Sveinvåg"
"Robert Martinsen","Næssvollen 7, 9747 Hauge"
"Jenny Bøe","Aunehaugen 8, 1046 Randiodden"
"Reidun Iversen","Larsenflata 04B, 8877 Monicafjord"
"Tone Kristensen","Jørgensenløkka 90G, 9748 Sørensen"
"Mette Solheim","Johannesseneggen 66, 1055 Lunde"
"Andreas Simonsen","Iversenlyngen 30, 2508 Vegardfoss"
"Kristian-Daniel Abrahamsen","Simonseneggen 5A, 3314 Kristiansen"
"Sara Simonsen","Olsenringen 34, 7199 Jenssen"
"Ingeborg-Siv Myhre","Hanssenroa 44A, 5688 Karlsjøen"
"Christian Aune","Gulbrandsenringen 2, 3098 Annastad"
"Stine Berg","Solbergbakken 31C, 2406 Jakobsen"
"Morten Rønning","Simonsengrenda 9, 3200 Bøe"
"Tom-Espen Haug","Vikhagen 7, 9144 Lunde"
"Tone Martinsen","Fredriksengrenda 20, 3862 Gretehavn"
"Geir Ødegård","Rasmussengata 05, 7799 Helland"
"Bente Nilsen","Nielsenhøgda 7, 8802 Finnnes"
"Alf Jensen","Rasmussenbråten 8, 1309 Halvorsen"
"Tommy-Johan Johannessen","Madseneggen 1, 3983 Olsen"
"Ellen Mikkelsen","Jenssenfaret 8, 6824 Johnsen"
"Monica Tangen","Danielsenkroken 6, 4109 Mariusstad"
"Joakim-Sverre Strøm","Iversenhavna 5B, 7141 Astridhamn"
"Lars Andreassen-Johnsen","Kristiansengjerdet 2, 6067 Berntsen"
"Janne-Marit Haugen","Hagenhagen 91, 8997 Nguyen"
"Tone Mathisen-Paulsen","Solbergløkka 2A, 2249 Solberg"
"Leif Gulbrandsen","Berghavna 5, 3396 Sirifjell"
"John-Johan Myhre","Jakobsenplassen 41, 1896 Eide"
"Dr. Thor Knutsen","Ruudtoppen 6A, 0826 Mathisen"
"Kjersti Knutsen-Ødegård","Thomassenkroken 6C, 0608 Ellingsen"
"Anette Larsen","Solheimmyra 6B, 4373 Arneø"
"May Tveit","Rønningholtet 33, 7896 Vildefjord"
"Erling Simonsen","Kristensensvingen 4, 8516 Danielby"
"Nina Aune","Andersenlunden 4, 4536 Svendsen"
"Kari Hauge","Eriksenhavna 8, 2226 Tobiasodden"
"Tone Myklebust","Fredriksengrenda 1C, 8940 Ellenberg"
"Lise Holm","Lienspranget 21, 3934 Rasmussen"
"Randi Jacobsen","Brekkehøgda 71, 7943 Kimøy"
"Torbjørn Berge","Næsslyngen 98, 0462 Tangen"
"Kim Simonsen","Næssgjerdet 317, 1102 Sigridhamn"
"Prof. Arne Ruud","Eidevika 77, 5230 Camillamark"
"Fredrik Bakken","Sandvikskogen 3, 8346 Bjørgsjøen"
"Cecilie Mikkelsen","Knutsenhavna 1, 3754 Vik"
"Sverre Halvorsen","Ellingsenmyra 72, 5470 Magnusberg"
"Frank Bakke","Larsenengen 40C, 8560 Ingeborgstrand"
"Tone-Cathrine Danielsen","Rønninglyngen 1, 3202 Helland"
"Sondre Eliassen","Lieekra 8D, 8167 Åseås"
"Christian Eliassen","Tveitskrenten 6C, 1402 Lien"
"Tove Arnesen","Birkelandlunden 53, 6507 Tonjeø"
"Øystein Johansen","Johannessentjernet 7C, 4574 Ingridfoss"
"Vegard Larsen","Kristensenskogen 17C, 7259 Antonsen"
"Jorunn Brekke-Sørensen","Evensenplassen 7, 3520 Annborg"
"Kari-Ann Edvardsen","Sætherfaret 4, 5075 Andreassen"
"Marianne Solheim","Amundsentoppen 6, 2648 Eide"
"Siri-Tonje Kristensen","Engentunet 4, 8117 Knudsen"
"Tonje Gundersen","Fredriksenstykket 4C, 2099 Paulsen"
"Martin-Trond Ødegård","Strømlunden 170, 5355 Aas"
"Kenneth Mathisen","Nilsenrøa 7, 1269 Pettersen"
"Anita Nygård","Hellandlyngen 3, 0316 Oladal"
"Anders-Frank Rasmussen","Abrahamsenlyngen 64A, 5124 Pettersund"
"Nora Aas-Helland","Strandengen 9, 7707 Edvardsen"
"Karl Madsen","Thomassenlyngen 1, 4856 Jakobsen"
"Nina Evensen","Bakkestubben 3, 3898 Hegesjøen"
"Elisabeth Ruud","Olsenkollen 4, 7734 Andersen"
"Reidun Christensen","Berntsenstubben 909, 3583 Lien"
"Tonje Lie","Jenssenhaugen 80F, 0447 Ceciliedal"
"Jon Knudsen","Madsengjerdet 6, 1939 Steinarøy"
"Rolf Larsen","Jenssenholtet 5, 2323 Fredriksand"
"Anette Jensen","Bergbakken 61, 3680 Christensen"
"Kristine Lien","Solberggrenda 8, 3848 Elifoss"
"Kirsten Strøm","Lundtoppen 428, 8557 Ninasand"
"Johan Eide","Haugeekra 086, 8364 Lie"
"Ida Simonsen","Tveitflata 5, 3361 Øyvindeid"
"Jonas Mikkelsen","Mikkelsenstien 81, 2670 Tobiashavn"
"Håkon Arnesen","Bergekra 741, 4631 Ellenvik"
"Tonje Martinsen","Myklebusttoppen 4, 4591 Andreassen"
"Ingeborg Tveit","Pedersengropa 29C, 1376 Tomø"
"Anne Kristensen","Mathisenmyra 78, 8161 Andreahelle"
"Elise Iversen","Svendsenvika 99, 3801 Nguyen"
"Sofie Nilsen","Hauglandekra 53A, 1770 Olsen"
"Anders Solberg","Martinsentunet 86, 4670 Halvorsen"
"Stian Kristiansen","Lundhavna 04, 4127 Johnsen"
"Stine Jacobsen","Johansenmoen 7B, 9110 Randiås"
"Jørgen-Arild Fredriksen","Mathisentunet 5B, 4862 Helland"
"Tove-Ingrid Ahmed","Bakkehaugen 2C, 1245 Anitabø"
"Tonje Paulsen","Nguyenspranget 2, 7054 Karolinestrøm"
"Kristine-Jenny Tveit","Haugensvingen 89, 8625 Danielsen"
"Stian Sørensen","Bergeberget 14E, 0704 Petterhamn"
"Knut Aas","Næsssvingen 9F, 8674 Hegeodden"
"Robert-Vidar Solheim","Aasenstykket 881, 2519 Nilsen"
"Martine Bøe","Knudsenmyra 69, 6186 Jorunnhavn"
"Olav Bakken-Engen","Svendsenbråten 8, 6857 Leiffjord"
"Sigurd Hanssen","Ruudkollen 174, 9838 Pettersund"
"Kjetil-Dag Jensen","Nguyenspranget 01, 7850 Håkonstrand"
"Jan Andresen","Lundebakken 02A, 5713 Karenstrøm"
"Tonje Simonsen","Bergefaret 574, 4362 Stigfoss"
"Lene Birkeland-Nilsen","Aasmoen 5, 7227 Knudsen"
"Dr. Ivar Hansen","Christensengjerdet 14, 4017 Anetteborg"
"Åse Lien","Pederseneggen 6C, 1124 Hildedal"
"Jorunn Haugland","Eidehøgda 3, 3492 Strøm"
"Berit Tangen","Bergeekra 36, 5033 Stigeid"
"Eirik Knudsen","Solberggrenda 87, 6181 Robertstad"
"Sondre Abrahamsen","Berghaugen 88H, 9520 Nielsen"
"Nina Gulbrandsen","Antonsenstranda 8, 2185 Mikkelsen"
"Hanne Larsen","Knutsenplassen 59, 9627 Kjerstihavn"
"Tonje Ødegård","Lienstykket 9B, 3166 Moe"
"Line Simonsen","Myklebustgata 11, 1029 Engen"
"Frode-Jonas Aasen","Lundespranget 12D, 9500 Berntsen"
"Tommy Halvorsen","Johannessentjernet 98, 6362 Karinøy"
"Ruth Haug","Mikkelsenflata 8, 3192 Nygård"
"Pål-Johan Ødegård","Næssmyra 9, 2204 Jacobsen"
"Erling Fredriksen","Andersenrøa 4B, 9711 Strøm"
"Svein Ali","Bakkenrøa 8, 0589 Ødegård"
"Linda Ødegård","Mathisenrøa 6C, 4190 Berge"
"Maren Simonsen","Liestykket 46F, 4526 Wenchedal"
"Tonje-Andrea Evensen","Tangengata 2, 4605 Hagen"
"Erling Mikkelsen","Sivertsenhavna 25, 9469 Danielsen"
"Siri Kristensen","Antonsentunet 6C, 2171 Anetteborg"
"Marit Vik","Gulbrandsentunet 4, 2164 Arildfoss"
"Martin Arnesen","Eriksenbråten 9, 0833 Christensen"
"Roger Tangen","Rønningroa 7, 8180 Anitaøy"
"Daniel Bakken","Knudsenlia 63H, 2965 Monicastad"
"Tonje Haugland","Mathisenstien 3, 1084 Kristoffersen"
"Ruth Holm-Jørgensen","Solberghagen 687, 8401 Hanneø"
"Karen Johannessen","Haugberget 5, 8197 Hannehavn"
"Tonje-Irene Næss","Ødegårdvika 46C, 8385 Tangen"
"Ellen Knutsen","Simonsensvingen 95, 4994 Aune"
"Dr. Roar Kristoffersen","Hansenhøgda 52, 5840 Sofiegrunn"
"Solveig Rasmussen","Aaslia 37, 6800 Antonsen"
"Inger Lund","Bergestykket 38, 6019 Alexandervær"
"Thomas Pedersen","Fredriksenflata 8, 2768 Aas"
"Roger-Helge Hauge","Nygårdplassen 9, 7617 Vidarmark"
"Mette Rasmussen","Næssvollen 6, 3062 Andresen"
"Elin Birkeland","Iversenbråten 03A, 1453 Engen"
"Aud-Kristine Hansen","Gulbrandsensvingen 00D, 8526 Joakimstrøm"
"Tor Ali","Jensenhavna 36, 6712 Nielsen"
"Sissel-Aud Pettersen","Solbergekra 71, 3257 Sandvik"
"Marianne Lunde","Simonsenskogen 96, 6101 Gulbrandsen"
"Tor Jørgensen","Hellandskogen 39, 6384 Espenstrøm"
"Cecilie Lie","Bøeløkka 043, 5124 Kjetilås"
"Emma Myhre","Hagenfaret 708, 6190 Karenodden"
"Øyvind Thomassen","Amundsenlyngen 10, 2429 Fredriksen"
"Marie Solberg","Lundlunden 3C, 4612 Ingridvik"
"Eivind-Thor Næss","Jensenberget 11, 3485 Svendsen"
"Frode Amundsen","Arnesenlia 66, 4286 Andersnes"
"Tor Arnesen","Henriksenmyra 13B, 6618 Ellenmark"
"Prof. Espen Sørensen","Dahlroa 56, 7636 Holm"
"Joakim-Mathias Henriksen","Kristensentjernet 51, 0140 Haug"
"Bjørn Henriksen","Martinsenskogen 299, 3465 Rasmussen"
"Roar Sæther","Ahmedlia 17, 8020 Helland"
"Bente Berg","Jenssentunet 99C, 0227 Thomassen"
"Robert Strøm","Edvardsentoppen 5, 3411 Jonsund"
"Anna Nielsen","Bakkenskrenten 4, 7374 Mathisen"
"Anette Jacobsen-Mikkelsen","Dahlkollen 906, 2630 Vidarsund"
"Sissel Andersen","Myhrelunden 1, 2676 Siljenes"
"Tor Danielsen","Myhregata 3, 6688 Tveit"
"Reidun Jakobsen","Henriksengropa 2, 7446 Jorunneid"
"Øyvind Jensen","Johannessenrøa 49A, 6028 Aune"
"Berit-Irene Gulbrandsen","Aasenringen 07, 1990 Fredriksen"
"Frode Jenssen","Kristoffersensvingen 1, 6692 Beritø"
"Astrid Bøe","Haugeåsen 00B, 0634 Frodevåg"
"Silje Vik","Bøehaugen 8, 7555 Hagen"
"Hanna Berg","Madsenhøgda 84F, 4042 Hanssen"
"Jon Aune","Bergtunet 5, 9217 Dahl"
"Vilde-Emma Kristensen","Bakkekroken 68, 8949 Evagrunn"
"Tor Fredriksen","Solberglunden 7, 5207 Eliseby"
"Erling Nielsen","Tveitåsen 746, 3296 Gunnardal"
"Julie Næss","Dahllunden 5, 0844 Lund"
"Lars-Robert Johansen","Brekketjernet 8, 6999 Sisselby"
"Morten Strand","Gundersenvollen 64, 1667 Madsen"
"Sindre Engen-Ellingsen","Olsenhavna 81, 6994 Thornes"
"Nina Ødegård","Madsenholtet 5, 0336 Andreassen"
"Lene Birkeland","Pettersenbråten 4, 7153 Theastad"
"Randi Eide-Haugen","Rasmusseneggen 37A, 9879 Jørgensen"
"Else Berge","Isaksenhaugen 09, 0402 Nygård"
"Tor Gulbrandsen-Berntsen","Aasenlyngen 37, 2030 Strøm"
"Mette Tangen","Lundestubben 5, 4523 Berntsen"
"Kristine Mathisen","Hansenlyngen 2, 3850 Oleodden"
"Karen Lien","Tangenskogen 46, 2911 Egilø"
"Heidi Danielsen","Jensenberget 89B, 2464 Sarasand"
"Maren Larsen","Thorsenengen 39C, 6477 Jansund"
"Dr. Sverre Jenssen","Simonsenhøgda 3, 0192 Janvær"
"Anna Henriksen-Ruud","Birkelandhøgda 4, 6249 Christensen"
"Hanne Jensen","Strømtoppen 94, 6604 Mortenfjord"
"Tommy Ruud","Johannessengjerdet 70C, 9559 Nilsvær"
"Tor Iversen","Nielsenlyngen 87, 4926 Kristoffersen"
"Sondre-Karl Holm","Knudsenstykket 43, 2908 Janhavn"
"Leif-Erling Dahl","Iversenringen 45, 3116 Hannefjell"
"Stein Holm","Liegropa 99, 3237 Kristensen"
"Elin-Else Gundersen","Solbergholtet 86, 8651 Malinfjell"
"Anette-Cathrine Bøe","Gundersenskrenten 64H, 0897 Hauge"
"Linda Vik","Arnesentoppen 1D, 1428 Reidunmark"
"Sebastian Vik","Bergespranget 7, 8823 Vik"
"Sebastian Solheim-Strøm","Nilsengrenda 56F, 2469 Birkeland"
"Karen Tveit","Rasmussenkollen 2, 8773 Helgesjøen"
"Tor Jørgensen","Solheimvika 2, 9948 Eliassen"
"Torbjørn-Leif Jensen","Rasmussenvika 2, 4931 Ellenberg"
"Sissel Strøm","Iversenroa 610, 5919 Torfjell"
"Torill-Sigrid Ahmed","Eliassenstykket 8G, 0791 Idasand"
"Knut Hauge","Paulsenkroken 7, 9716 Hanssen"
"Julie Moe-Moen","Knudsenberget 9A, 8998 Simenhavn"
"Siri Hagen","Nielsenstien 82, 5836 Jonøy"
"Elin-Marianne Andersen","Haugenhøgda 25E, 2698 Johnsen"
"Mette Myhre","Nilsenhøgda 87, 2430 Haraldstad"
"Dr. Thomas Johannessen","Knutsengjerdet 72, 3002 Reidunfoss"
"Tor Knudsen","Madsenhøgda 9, 6946 Solheim"
"Line Holm","Halvorsenhagen 9, 8858 Jannevik"
"Egil Knutsen","Evensenalléen 3D, 2327 Sondresand"
"Tom Larsen","Vikringen 9E, 9848 Leifsjøen"
"Karoline Haug","Sandvikhøgda 8, 4138 Arnehelle"
"Martin Lien","Hagenberget 7, 9172 Nygård"
"Johan-Frode Karlsen","Nilsenengen 111, 6254 Theasjøen"
"Tove Johansen","Engenhøgda 3B, 8497 Maritgrunn"
"Linn-Hanne Thomassen","Karlsenmarka 00C, 2012 Sandvik"
"Stig Thorsen","Bakkenmyra 2, 2050 Terjenes"
"Tor-Øystein Sivertsen","Abrahamsengropa 79, 7161 Nygård"
"Sverre-Tobias Ødegård","Tveitflata 15D, 6819 Beritfjord"
"Kristian Lund","Henriksentjernet 9, 8788 Johannesborg"
"Grete Amundsen","Sivertsenengen 45B, 3356 Simonsen"
"Heidi Solheim-Paulsen","Nilsenhagen 01, 0240 Halvorsen"
"Ruth Thomassen","Antonsentjernet 068, 2935 Arnesen"
"Marius-Magne Haugen","Andersenringen 8, 4646 Grethevåg"
"Ole Sæther","Moenmyra 99, 1154 Martinhavn"
"Tommy Ødegård","Auneroa 39A, 3198 Thomassen"
"Robert Tangen","Halvorsenmoen 07A, 1252 Strand"
"Torbjørn Aune","Aasenflata 1, 9866 Dahl"
"Thomas-Kristoffer Rønning","Lienskogen 44, 5341 Næss"
"Anna Berg","Jacobsenbakken 7, 8595 Amundsen"
"Johannes Jensen","Henriksenlunden 66B, 7833 Johanneseid"
"Synnøve Lien","Henriksenskrenten 1, 0237 Ragnhildmark"
"Vegard-Kristoffer Rønning","Sivertsenroa 80, 6958 Jenssen"
"Helge Larsen-Rasmussen","Haugemyra 6, 0601 Terjegrunn"
"Jørgen Evensen","Solheimgrenda 4, 0147 Hauge"
"Ola Sørensen","Henriksenekra 12, 2581 Jenssen"
"Mette Haugland","Engenekra 42B, 6087 Helland"
"Torbjørn Birkeland","Andresentunet 73C, 3152 Aune"
"Wenche Edvardsen","Halvorsenstubben 7, 8408 Simonsen"
"Lene Næss","Ruudgata 49F, 7419 Gulbrandsen"
"Alexander-Pål Berg","Paulsenmarka 82, 7180 Kjetildal"
"Finn Lund","Madsenvollen 427, 2108 Mikkelsen"
"Helge Larsen","Solberggrenda 1F, 0211 Stianmark"
"Morten Nygård-Berge","Eriksenroa 7, 2565 Hannamark"
"Finn Engen","Henriksenstubben 48F, 1684 Asbjørnsand"
"Torbjørn Aas","Thorsengropa 196, 7262 Petterstad"
"Gunnar Brekke","Aasenkroken 7, 8744 Roberteid"
"Torbjørn Brekke","Berntsenringen 1A, 7916 Strand"
"Kristoffer Gulbrandsen-Haugen","Berntsenlyngen 4, 9815 Joakimbø"
"Dr. Tore Berge","Mikkelsenlunden 4, 9656 Janborg"
"Håvard-Jan Gundersen","Madsenbakken 52, 5796 Nygård"
