"Adrian Danielsen"	"Pettersenrøa 36D, 5131 Audeid" 
"Jorunn Thorsen"	"Svendsenjordet 1, 2058 Lindaberg"
"Eva Abrahamsen"	"Kristiansenstubben 726, 0357 Strand"
"Tommy-Stian Olsen"	"Knudsenengen 3D, 4745 Christianmark"
"Sigrid Nygård-Knudsen"	"Ruudrøa 959, 1952 Helland"
"Lene Mikkelsen-Hanssen"	"Hellandplassen 97, 8468 Mariøy"
"Kristin Henriksen"	"Tangengjerdet 59C, 0010 Steinarhamn"
"Inger Simonsen"	"Liemarka 7, 3788 Steinarhamn"
"Steinar Holm"	"Kristensensvingen 7, 6517 Aasen"
"Tommy Berg"	"Aasenlunden 86, 3298 Sofienes"
"Eva Johannessen"	"Ruudstubben 7, 4498 Håkonstrand"
"Johannes Nilsen"	"Nilsenberget 3C, 5936 Berg"
"Jørgen Eliassen"	"Andreasseneggen 66, 2423 Haugen"
"Ingrid Simonsen"	"Brekkegjerdet 1D, 0098 Åseø"
"Prof. Alexander Gulbrandsen"	"Bøeholtet 8, 2684 Turidsand"
"Inger Ahmed"	"Kristoffersenrøa 8, 1908 Jakobsen"
"Elisabeth Hanssen"	"Johansenstubben 9B, 6626 Terjehelle"
"Kenneth Rasmussen-Isaksen"	"Bergeroa 74E, 6247 Annaøy"
"Håvard Ali-Haugen"	"Rønningberget 1, 8126 Amundsen"
"Tommy Helland"	"Haugeskogen 01A, 0253 Svendsen"
"Aud Isaksen"	"Johnsenhøgda 723, 0287 Idaby"
"Nils Isaksen"	"Iversenløkka 287, 7626 Danielsen"
"Torbjørn Larsen"	"Aasekra 5, 8862 Bøe"
"Erling-Ola Jacobsen"	"Olsengrenda 57, 6229 Elisabethfoss"
"Karen Nguyen"	"Christensenhaugen 067, 1847 Egilborg"
"Prof. Erling Gulbrandsen"	"Myhreskogen 4B, 0223 Emilhavn"
"Einar Sørensen"	"Strømroa 78, 1451 Aune"
"Elisabeth-Aud Rasmussen"	"Andersenringen 96F, 8627 Isaksen"
"Terje Halvorsen"	"Danielsengjerdet 4, 4350 Mettegrunn"
"Tommy Knutsen-Ali"	"Karlsenmyra 613, 7791 Elinfoss"
"Nils Rønning"	"Moestien 4, 5037 Iversen"
"Marit Lien-Solheim"	"Hellandgjerdet 64G, 0698 Ivarbø"
"Adrian Kristensen"	"Martinsenløkka 9, 9602 Hauge"
"Egil Martinsen"	"Andersenholtet 7, 2461 Robertgrunn"
"Ann Tveit"	"Johnsenholtet 75, 5191 Jennysund"
"Eivind-Olav Madsen"	"Knutsenfaret 2D, 8339 Eide"
"Roar Pedersen"	"Dahlstykket 1, 8333 Brittfjell"
"Mona Andresen"	"Jakobsenbråten 5, 7497 Eivindøy"
"Elisabeth Larsen"	"Aasenalléen 51, 7075 Elinborg"
"Tommy Larsen"	"Evensengrenda 90C, 4222 Saraodden"
"Dag Martinsen"	"Karlsenspranget 847, 2280 Lund"
"Mari-Kirsten Rasmussen"	"Arnesenbråten 898, 9856 Kåreås"
"Cecilie Nguyen"	"Haugengata 2, 9702 Strand"
"Knut Berge"	"Tangenlunden 20C, 5131 Dahl"
"Dag Iversen"	"Haugholtet 7, 5576 Royborg"
"Ingrid Rasmussen"	"Eliassenroa 34D, 0319 Eide"
"Sebastian Næss"	"Thorsenlyngen 4B, 7574 Moen"
"Jon-Torbjørn Johansen"	"Hagenskrenten 82B, 8727 Lindavær"
"Emil Moen"	"Madsengrenda 7, 7296 Ellenodden"
"Tommy Larsen"	"Hellandekra 7, 6232 Bjørgnes"
"Egil Hanssen"	"Aasengjerdet 236, 3545 Kirstenodden"
"Kjetil Kristiansen-Moe"	"Lundegrenda 3, 7554 Alfby"
"Espen Berg-Martinsen"	"Haugenroa 80, 8022 Hagen"
"Andreas Mikkelsen"	"Næssholtet 2, 1442 Roarberg"
"Roy Hansen"	"Haugkollen 57B, 8879 Thomashelle"
"Per Aas"	"Berntsenmoen 62, 0820 Erikstrøm"
"Tom Moe"	"Madsentoppen 52A, 5752 Johnås"
"Frank Solberg"	"Olsenrøa 41, 9409 Ivarhelle"
"Lars Jensen"	"Haugenhøgda 96E, 1775 Jensby"
"Tommy Martinsen"	"Holmringen 4, 1532 Mariusborg"
"Sander Tangen"	"Johansenalléen 474, 0382 Oddøy"
"Liv Arnesen"	"Bakkeskogen 32, 8800 Strøm"
"Finn Nielsen"	"Jenssenlia 4, 8990 Larsstrøm"
"Dr. Daniel Thorsen"	"Haugenflata 17, 2187 Gundersen"
"Harald Ahmed"	"Ruudtjernet 61, 1526 Gulbrandsen"
"Jan Myklebust"	"Haugenskrenten 4, 8572 Aune"
"Tove Aasen"	"Knutsenhøgda 8A, 0931 Kjerstieid"
"Erling Hansen"	"Gulbrandsenvollen 44, 0089 Ingerstad"
"Liv Bakke"	"Olsenbråten 03E, 4638 Bakken"
"Tommy Moen"	"Jenssenhagen 1, 5168 Brekke"
"Liv Pedersen"	"Kristoffersenhagen 9, 8445 Ninaøy"
"Berit Paulsen"	"Andresenløkka 7, 2244 Nygård"
"Ellen Johnsen"	"Dahltjernet 37D, 0800 Eriksen"
"Johannes Jenssen"	"Aunetoppen 8, 0777 Iversen"
"Elise Martinsen"	"Aligjerdet 2, 5972 Kirstenhavn"
"Karoline Myhre"	"Knutsenkollen 58, 8503 Thorsen"
"Jørgen-Tore Berg"	"Lienbakken 4, 2827 Sørensen"
"Martin Thomassen"	"Eriksenmarka 25, 2205 Ivareid"
"Dr. Jonas Tveit"	"Lundehaugen 15, 0018 Terjevåg"
"Tommy Olsen"	"Gulbrandsenhaugen 23F, 1626 Johannesnes"
"Jonas Aas"	"Christensenstubben 12, 5423 Berg"
"Vilde Solberg"	"Gundersenhavna 6, 0600 Lailavåg"
"Stian Ødegård"	"Jensenløkka 6C, 8842 Myklebust"
"Ola Engen"	"Haugalléen 05, 4259 Karlsjøen"
"Thea-Nina Christensen"	"Edvardsengata 9, 6401 Sigurddal"
"Geir Moen"	"Antonsenjordet 42, 8075 Solheim"
"Åse Kristiansen"	"Ellingseneggen 6, 6800 Bakke"
"Ola Hanssen"	"Andresenstykket 13H, 9728 Siljenes"
"Maria Karlsen"	"Nielsenstranda 81E, 0596 Lisebø"
"Tommy Paulsen"	"Madsenlyngen 8B, 0530 Kjellsund"
"Turid Moe"	"Strømringen 7A, 2216 Gulbrandsen"
"Eirik Ellingsen"	"Jenssenhøgda 8H, 6251 Stignes"
"Hans Engen"	"Haugtjernet 6, 8331 Nygård"
"Øyvind Amundsen"	"Holmmoen 3, 0133 Anitafjell"
"Kjersti Andreassen"	"Knutsenalléen 692, 4258 Johanø"
"Britt Paulsen-Jørgensen"	"Pedersenhaugen 1, 9110 Ingeborgø"
"Solveig Lund"	"Eriksenlunden 8, 9535 Rasmussen"
"Olav Sørensen"	"Knudsenplassen 6, 0171 Jakobsen"
"Thor Sandvik"	"Alihagen 4, 8547 Evastrand"
"Tommy Sandvik"	"Bakkenlunden 6, 9099 Halvorsen"
"Vidar Nilsen"	"Eriksenløkka 6A, 7961 Bentehelle"
"Jonas Jørgensen"	"Engenvika 49F, 5957 Ruud"
"Reidun Edvardsen"	"Berntsengjerdet 95, 1490 Eliassen"
"Camilla Bøe"	"Lundmyra 19, 3251 Solheim"
"Stine Helland"	"Sætherlyngen 509, 9370 Monicasand"
"Ellen Pettersen-Solberg"	"Thomassenvollen 93, 1448 Knutsen"
"Sverre Mikkelsen"	"Engenlia 1, 1658 Oddsjøen"
"Emil Nilsen"	"Sætherringen 2, 0345 Frankodden"
"Anne Antonsen"	"Rasmussenmoen 5, 0291 Kimø"
"Tommy Thorsen"	"Lundehavna 5, 7623 Beritfoss"
"Hans Tveit-Helland"	"Eriksenstien 6, 2768 Rasmussen"
"Synnøve Bakke"	"Sæthermyra 6, 0973 Johnsen"
"Gunnar-Thomas Sivertsen"	"Mikkelsenbråten 5, 3904 Magneøy"
"Håvard Mathisen"	"Auneekra 59A, 2201 Mariusnes"
"Randi Karlsen"	"Strandlia 133, 0626 Karendal"
"Thor Johnsen"	"Ruudtunet 10, 5256 Alffoss"
"Christian Bakke"	"Hauglandlunden 64, 4539 Johansen"
"Sebastian Christensen"	"Moenstien 7, 3140 Jørgenfoss"
"Aud Johnsen"	"Gulbrandsenhøgda 370, 4775 Jenssen"
"Tommy-Kjetil Hagen"	"Moenmoen 7, 1594 Magnegrunn"
"Hanna Henriksen"	"Mikkelsenhaugen 71E, 7001 Eirikø"
"Steinar Svendsen"	"Solbergjordet 14A, 2615 Thorsen"
"Tone Solheim-Thorsen"	"Aasenbakken 3, 4448 Magneeid"
"Helene Svendsen-Andersen"	"Jensenskrenten 1, 1455 Karolinemark"
"Kristian-Roy Engen"	"Moebråten 9, 5057 Kristensen"
"Martin Strøm"	"Antonsenlyngen 94G, 3490 Olsen"
"Emma Larsen"	"Hanssenlyngen 06H, 3258 Knutsen"
"Sigurd-Sindre Iversen"	"Bergelia 1G, 3149 Irenesund"
"Sofie Ahmed"	"Sandvikberget 29F, 4255 Simonsen"
"Tone Dahl"	"Bøemarka 06A, 9279 Sivertsen"
"Joakim Fredriksen"	"Andresenalléen 7B, 6362 Kristensen"
"Ann Myhre-Ellingsen"	"Andreassenhagen 54A, 9536 Bøe"
"Laila Berge"	"Hanssenvika 555, 1900 Fredrikhelle"
"Ann-Karoline Madsen"	"Eliassenbakken 6, 6573 Kristiansen"
"Bjørg Nielsen"	"Aaskroken 10, 2831 Moe"
"Liv Thorsen"	"Hanssenhavna 62B, 3481 Cecilieodden"
"Sofie-Britt Eriksen"	"Hagenekra 7, 2607 Elinstad"
"Tove Ellingsen"	"Myhretoppen 2, 9996 Nygård"
"Jørgen Vik"	"Mathisenflata 6, 9754 Rasmussen"
"Tone Eide"	"Alimyra 01, 8324 Bakken"
"Heidi Solberg"	"Sørensenstien 20D, 0907 Heidisand"
"Maren-Hanne Hagen"	"Jørgensenberget 189, 1572 Moen"
"Thor Fredriksen"	"Lieringen 6E, 2350 Ali"
"Mari Halvorsen"	"Isaksenengen 71, 6192 Iversen"
"Marit Paulsen"	"Engentunet 01B, 5680 Holm"
"Andrea Mathisen"	"Erikseneggen 95, 4448 Dahl"
"Gro Simonsen"	"Eidetoppen 9, 4334 Nygård"
"Petter Karlsen"	"Bøetunet 8, 6927 Ragnhildsjøen"
"Irene Birkeland"	"Pedersenbakken 062, 3522 Simonsen"
"Tone Pettersen"	"Svendsentunet 7, 7497 Moen"
"Andrea Kristiansen"	"Strandstykket 49B, 6518 Nilsvåg"
"Maren-Julie Ali"	"Solberghavna 4, 3424 Thomassen"
"Øystein Madsen"	"Sandvikmyra 66, 4048 Saraodden"
"Eivind-Ola Aune"	"Sætherholtet 8, 4642 Johannessen"
"Malin Johnsen"	"Aasåsen 7C, 1451 Abrahamsen"
"Marte Paulsen"	"Christensenroa 738, 7459 Stigstrand"
"Daniel Næss"	"Bakkenholtet 4A, 4537 Egilvåg"
"Karoline-Kari Abrahamsen"	"Nielsenstykket 84, 9591 Trondhelle"
"Olav Ahmed"	"Iversensvingen 9, 6192 Engen"
"Tone Ruud"	"Jakobsengropa 8, 3984 Rønning"
"Grethe Lund"	"Hellandringen 17, 1864 Tonjeø"
"Anita Knutsen"	"Liengropa 3, 8613 Solheim"
"Roy Jacobsen"	"Ødegårdmyra 1, 1993 Dagvåg"
"Jørgen-Sindre Tangen"	"Martinsenberget 922, 0871 Unnihavn"
"Johan Haugland"	"Thorsenstykket 37, 9227 Eliby"
"John Eriksen"	"Lienlia 46B, 7475 Dahl"
"Trond-Rune Abrahamsen"	"Mathisenrøa 86H, 2017 Arnesen"
"Irene Pettersen"	"Jacobsenkollen 18, 1465 Olehavn"
"Jonas Nilsen"	"Jenssenmarka 94, 7013 Emilsjøen"
"Tone Sæther"	"Myhreeggen 63, 9620 Fredriksen"
"Nils Sæther"	"Jensentunet 375, 7460 Marteodden"
"Terje Lie"	"Pedersenflata 654, 6261 Theaberg"
"Tobias Halvorsen"	"Nguyenmyra 4, 8311 Tonjesund"
"Thea Næss"	"Engenbakken 6, 9360 Adrianvåg"
"Erik Nguyen"	"Madsentjernet 7E, 8388 Haugland"
"Sondre-Ole Andersen"	"Vikløkka 65, 0585 Steinarmark"
"Jørgen Holm"	"Bergeholtet 53, 3997 Kristoffersen"
"Emil Eriksen"	"Martinsenmyra 2A, 9386 Edvardsen"
"May Næss"	"Arnesenåsen 391, 3495 Johnsen"
"Tone-Kirsten Lie"	"Haughavna 5, 2005 Sørensen"
"Andreas Strøm"	"Moeåsen 16, 6658 Maridal"
"Siri Johnsen"	"Nielsensvingen 48, 8474 Annastrøm"
"Stig Kristensen"	"Andresenroa 7, 3875 Næss"
"Hege Tveit"	"Aasbråten 3, 7671 Helgeodden"
"Alexander-Kjetil Karlsen"	"Haugkroken 04, 0972 Brekke"
"Helge-Henrik Paulsen"	"Halvorsenåsen 1B, 3589 Kristineberg"
"Prof. Thomas Solberg"	"Pedersenrøa 51F, 5682 Holm"
"Marius Sørensen"	"Strandroa 7, 7394 Birkeland"
"Linn-Silje Ellingsen"	"Svendsenbakken 29, 3504 Terjefjell"
"Tone-Stine Isaksen"	"Bakkenroa 3D, 4892 Lisesjøen"
"Håvard Thorsen"	"Karlsenvika 9, 2393 Olemark"
"Roy Andreassen"	"Eideløkka 2, 3456 Paulsen"
"Andreas Knudsen"	"Halvorsentjernet 51D, 9295 Sæther"
"Line Thomassen-Mathisen"	"Vikfaret 6, 4420 Martinsen"
"Erik-Markus Aune"	"Aasenringen 03, 8555 Danielbø"
"Janne-Jorunn Bakke"	"Andresenstien 9, 6331 Saravær"
"Robert Jørgensen"	"Næsslyngen 3, 1862 Johnsen"
"Sverre-Daniel Hagen"	"Sivertsenrøa 83, 5303 Tveit"
"Synnøve Andresen"	"Johnsenmyra 44, 7775 Sandvik"
"Tone-Tone Hagen"	"Bøeholtet 5A, 8158 Antonsen"
"Einar-Bjørn Madsen"	"Simonsenvika 08, 2224 Karenfjell"
"Ida Aas"	"Holmvollen 67A, 7324 Tangen"
"Ruth Arnesen"	"Fredriksenalléen 8, 8630 Tommyvåg"
"Erik Olsen"	"Eliassentoppen 70, 4336 Bentevær"
"Henrik Halvorsen"	"Kristiansenstranda 45B, 6582 Thomassen"
"Øystein Engen"	"Bergeåsen 18, 2947 Evaodden"
"Dr. Vidar Bakke"	"Karlsenstykket 796, 7457 Sandvik"
"Pål Fredriksen"	"Gulbrandsentunet 7, 9854 Brekke"
"Dr. Tom Sæther"	"Gundersenstubben 1, 8898 Haugen"
"Tone-Torill Strøm"	"Haugeberget 1, 6019 Egilsund"
"Frank Nielsen"	"Eliassenmoen 3E, 3556 Synnøvevåg"
"Andrea Martinsen"	"Holmringen 3, 7694 Haugen"
"Lars Johnsen"	"Tangenringen 5, 7256 Mariusdal"
"Adrian Vik"	"Haugtjernet 1, 2285 Unnistrand"
"Line-Emilie Jacobsen"	"Karlsenstubben 23, 6856 Solberg"
"Kristine Ødegård"	"Christensenmoen 3B, 4954 Berithavn"
"Aud Ødegård"	"Jensenkollen 87, 8677 Mikkelsen"
"Ola Engen"	"Næssstubben 6, 3527 Mathisen"
"Eli Nielsen-Vik"	"Johnsenberget 6, 5587 Pettersen"
"Tonje Berntsen"	"Hagenfaret 8, 8663 Nilsen"
"Kjersti Lien"	"Dahlroa 4, 2534 Aas"
"Egil-Sindre Ahmed"	"Arnesenstien 4, 2073 Lunde"
"Håkon Eliassen"	"Dahlbakken 8A, 5950 Linevik"
"Leif Arnesen-Martinsen"	"Olsenlia 08, 2641 Nielsen"
"Hilde Nguyen"	"Paulsenalléen 7, 4455 Hannestrøm"
"John Brekke"	"Danielsensvingen 34D, 0936 Håkondal"
"Erik Sørensen"	"Bøemarka 753, 7845 Vildemark"
"Anita Brekke-Mikkelsen"	"Fredriksenstranda 5, 1119 Thomassen"
"Kjersti-Gunn Thorsen"	"Lundbråten 13D, 1049 Jakobsen"
"Tonje Gulbrandsen"	"Aasengropa 09B, 4796 Bøe"
"Anette-Karin Knudsen"	"Sørensenskrenten 99, 8734 Gulbrandsen"
"Kirsten Ali"	"Tangenåsen 543, 3476 Lindahavn"
"Grete Ellingsen"	"Svendsenkroken 5, 6698 Andresen"
"Laila Moe"	"Solheimvollen 5, 0616 Jørgensen"
"Åse Andreassen"	"Andersenløkka 24, 1276 Hauge"
"Jenny Danielsen"	"Rasmussenvollen 42, 8147 Ali"
"Tommy Thorsen-Nielsen"	"Tangenbakken 79F, 0297 Beritborg"
"Sverre Larsen"	"Martinsenhøgda 66A, 4331 Sørensen"
"Trond Berg"	"Sørensenløkka 37H, 4054 Reidunvik"
"Tonje Hanssen"	"Knudsentunet 721, 3159 Olsen"
"Marianne Aas"	"Moevika 8, 3737 Karenø"
"Bente Hansen"	"Bøestranda 2, 9691 Ruud"
"Prof. Harald Pettersen"	"Hauglandalléen 2, 6826 Einarby"
"Jon-Bjørn Isaksen"	"Andersengrenda 60, 6405 Holm"
"Johannes Rønning-Hanssen"	"Kristensenplassen 80G, 5274 Bøe"
"Erik Larsen"	"Rasmussenalléen 91E, 6142 Haugen"
"Erling-Alf Strand"	"Johansenhøgda 83F, 1384 Solberg"
"Maren Hauge"	"Martinsenholtet 3, 2782 Ødegård"
"Hanne Tangen"	"Jørgensengata 90, 9627 Myhre"
"Tonje Larsen"	"Knutsenlunden 2, 6989 Hagen"
"Sissel Knutsen"	"Tangenlyngen 50, 3385 Johanodden"
"Liv Aune"	"Mathisenstubben 5, 6166 Hannastad"
"Mathias Haugen"	"Mikkelsenjordet 143, 9437 Heidifoss"
"Hanna Karlsen"	"Gulbrandsengjerdet 92, 2144 Evensen"
"Laila Aune"	"Fredriksenskrenten 79, 9423 Nilsberg"
"Svein Jensen-Haugen"	"Bakkerøa 3A, 6006 Arnesen"
"Nils Moe"	"Nguyenmyra 3, 8739 Mariusvåg"
"Ingeborg Lien"	"Nielsenrøa 9, 0078 Gulbrandsen"
"Maren Jakobsen-Nielsen"	"Dahlfaret 94, 4960 Norastrøm"
"Tonje Moe-Andersen"	"Lundekollen 12B, 4920 Astridvåg"
"Frode Jensen"	"Andersenroa 58, 3888 Kariodden"
"Tor Solberg"	"Fredriksenlia 781, 4440 Myklebust"
"Aud Hanssen"	"Aasmarka 7, 1934 Danielsen"
"Aud Nielsen"	"Nielsenberget 94B, 6644 Fredriksen"
"Ida Arnesen"	"Nygårdfaret 6, 1558 Heidisund"
"Frode Andreassen"	"Lieflata 87, 4201 Kristiansen"
"Nina Thomassen"	"Kristensenrøa 9, 9822 Randifjord"
"Ole Halvorsen"	"Lienhøgda 10, 4699 Holm"
"Arild Madsen"	"Edvardsenstien 32, 4159 Kristindal"
"Tonje Strøm"	"Johannessengata 26D, 5893 Myhre"
"Karoline Mikkelsen"	"Evensenhaugen 1, 6693 Maritfjord"
"Nina Kristiansen"	"Edvardsenlyngen 2, 2668 Synnøvehelle"
"Martin Rasmussen"	"Danielsenekra 2, 8711 Thordal"
"Magne Andersen-Martinsen"	"Nilsenengen 2, 9785 Eliassen"
"Hanne Strand"	"Mikkelsenlia 6, 8605 Karinnes"
"Trond Nilsen"	"Tveittoppen 1G, 1807 Jorunnmark"
"Nora-Sofie Jørgensen"	"Iversenroa 4C, 5586 Julienes"
"Prof. Alf Ellingsen"	"Kristoffersenmoen 1, 6368 Pervær"
"Karl-Johan Arnesen"	"Haugenfaret 91, 7391 Abrahamsen"
"Tonje-Karen Rønning"	"Rønningeggen 3, 8735 Lie"
"Sigurd Tveit"	"Arnesenekra 5C, 9131 Haugland"
"Tommy Solberg"	"Holmstubben 2, 7116 Nguyen"
"Gunnar Hauge"	"Ahmedhaugen 1, 3661 Saranes"
"Per Kristoffersen"	"Haugsvingen 34F, 2484 Engen"
"Roar Aas"	"Jakobsengata 4, 1534 Fredriksen"
"Håvard-Trond Pedersen"	"Christensenløkka 6C, 8208 Pettersen"
"Prof. Mathias Sandvik"	"Kristensenflata 9A, 7855 Mariussand"
"Frode Nielsen"	"Moealléen 4, 6126 Asbjørnvik"
"Else Berntsen"	"Knudsenroa 4, 8677 Ruud"
"Tonje-Maria Aas"	"Knutsentoppen 8C, 4381 Lineby"
"Stig Aasen"	"Engenhagen 81F, 9687 Halvorsen"
"Åse Berntsen"	"Ødegårdrøa 09, 1638 Andreahamn"
"Dr. Erik Vik"	"Kristensenhavna 6, 7759 Amundsen"
"Karoline Gundersen"	"Haugengrenda 9, 7343 Malinhavn"
"Jens Hagen"	"Simonsenkollen 07, 0863 Haraldøy"
"Berit-Anne Solberg"	"Pedersenlunden 203, 5063 Hanneodden"
"Egil Rasmussen"	"Brekkegropa 5E, 3207 Elinnes"
"Ola Paulsen"	"Abrahamsenhavna 2G, 5688 Hanssen"
"Pål Lund"	"Halvorsenjordet 94, 1838 Kristianvåg"
"Tor Bakke"	"Aasengrenda 53, 5832 Frodeodden"
"Øystein-Joakim Rasmussen"	"Hanssenengen 81, 2654 Emmafoss"
"Sigrid Svendsen"	"Amundsentoppen 61, 0740 Birkeland"
"Lene Berntsen"	"Berntsenmarka 65B, 7795 Ruud"
"Vilde Antonsen"	"Halvorsenvika 942, 0001 Olsen"
"Stein Karlsen-Strøm"	"Danielsenstykket 05, 1247 Olsen"
"Sander Karlsen"	"Jensenrøa 7F, 8853 Nygård"
"Asbjørn Berge"	"Lundeholtet 29D, 4673 Svendsen"
"Dr. Geir Brekke"	"Næsskollen 2D, 3116 Madsen"
"Karen Sivertsen"	"Martinsenstykket 02, 5615 Oleodden"
"Tor Brekke"	"Jakobsengropa 07E, 7528 Tveit"
"Berit Hanssen"	"Thorsenmoen 151, 7080 Nygård"
"Håkon Paulsen"	"Hansenplassen 17, 8747 Tovemark"
"Gunnar-Lars Hagen"	"Kristoffersenroa 5, 3170 Frodeås"
"Karen Fredriksen"	"Jørgensenengen 1, 4745 Svendsen"
"Sigrid Rasmussen"	"Andreassensvingen 7, 8281 Nielsen"
"Ellen Solberg"	"Hauglandmarka 615, 1244 Svendsen"
"Thea Tangen"	"Gundersenkroken 12B, 6198 Danielsen"
"Kristoffer-Per Madsen"	"Moelyngen 31, 7092 Jacobsen"
"Astrid Moe"	"Halvorsenhavna 5C, 4565 Iversen"
"Tor Haugen-Arnesen"	"Haugehagen 48, 8006 Torenes"
"Hanna Iversen-Solheim"	"Knutsenbråten 430, 1053 Kennethborg"
"Espen Bøe"	"Evensenroa 1B, 5287 Andreassen"
"Berit Eide"	"Sandvikskrenten 8, 7993 Sivertsen"
"Robert-Stein Lien"	"Andreassenbakken 24B, 0285 Thorsen"
"Marte-Kjersti Thorsen"	"Alibråten 81, 5353 Knutsen"
"Cathrine Lund"	"Andreassenflata 8H, 9878 Larsås"
"Dr. Sebastian Thorsen"	"Jenssengrenda 63, 9855 Mariannestrøm"
"Anita Holm"	"Nguyenløkka 23F, 9378 Greteås"
"Hilde Eliassen-Hanssen"	"Johannessengropa 7, 8022 Trondmark"
"Tor Iversen"	"Madsenskogen 2B, 7608 Eliassen"
"Elisabeth Brekke"	"Næssstykket 5, 7672 Andreadal"
"Tore Tangen"	"Engenstubben 9C, 4164 Gunnarhavn"
"Malin Haugen"	"Edvardsenstien 133, 4381 Lie"
"Linda Ruud"	"Moenkroken 2D, 8076 Monicaås"
"Frode Hanssen"	"Johnsenstubben 174, 5217 Martehelle"
"Morten Vik"	"Nguyenmyra 5, 1448 Olsen"
"Kari Fredriksen"	"Ødegårdjordet 2, 5117 Birkeland"
"Jon Evensen"	"Strømgata 7, 9099 Egilhelle"
"Line-Silje Sandvik"	"Dahltunet 83D, 1655 Lund"
"Tor Strand"	"Pedersentoppen 26, 9797 Malinsand"
"Karen Gulbrandsen"	"Mikkelsenfaret 1, 7797 Geirby"
"Marte Abrahamsen"	"Johnsenjordet 92, 9189 Nguyen"
"Emilie Nguyen-Strøm"	"Madsenbakken 8E, 9018 Solheim"
"Per-Ole Amundsen"	"Engenholtet 4, 7652 Helenestrand"
"Elise Berntsen"	"Haugeåsen 9, 2088 Jonvik"
"Grethe-Kristine Rønning"	"Antonsenroa 2C, 2322 Kårevær"
"Lise Olsen"	"Berggjerdet 3B, 4492 Berge"
"Kjell Pettersen"	"Bakkenstykket 58C, 9466 Hagen"
"Gro Lien"	"Engenfaret 4, 8379 Hansen"
"Tor-Olav Moe"	"Nguyenløkka 8, 6682 Leneeid"
"Grete Gulbrandsen"	"Moestubben 6, 8455 Vidarbø"
"Johannes Henriksen"	"Jensenbakken 51, 2026 Torfjell"
"Håvard Moe"	"Ruudstien 92, 7723 Haug"
"Sebastian Tveit"	"Rønningspranget 57, 5028 Lund"
"Helge Solberg"	"Bergelyngen 9, 5248 Solberg"
"Bjørg Ali"	"Ahmedflata 07, 9333 Myklebust"
"Trine Kristoffersen"	"Aasplassen 9, 1239 Andresen"
"Kim-Jørgen Jensen"	"Amundsenvika 9, 0912 Christensen"
"Jonas Sandvik"	"Olsenstranda 351, 4520 Solheim"
"Tor-Øystein Lunde"	"Thorsenhaugen 6, 1706 Ruud"
"Dr. Ivar Nguyen"	"Knutsenbakken 1, 5414 Petterstad"
"Odd-Nils Strøm"	"Danielsenvika 55A, 1890 Brittvåg"
"Martine Berg"	"Karlsenringen 17, 7701 Rogervåg"
"Egil-Kim Halvorsen"	"Hellandgropa 41, 8644 Vidarberg"
"Nina Berntsen"	"Rønninghagen 14E, 4941 Sørensen"
"Sofie Olsen"	"Jørgensenhøgda 2, 7358 Moen"
"Ingrid Nygård"	"Hanssenstykket 6, 0201 Holm"
"Torbjørn Bakke"	"Danielsenvika 66, 5589 Hanssen"
"Lene Myklebust-Jacobsen"	"Henriksenrøa 2, 0614 Lund"
"Torbjørn Ahmed"	"Antonsenalléen 2, 4796 Anetteberg"
"Tone Olsen"	"Ellingsengrenda 877, 0589 Engen"
"Henrik Brekke"	"Martinsengrenda 41, 1522 Elinø"
"Karen Haugen"	"Olsenstubben 12, 6064 Aune"
"Emil Nielsen"	"Jacobsenspranget 9, 6177 Pettersen"
"Thomas-Steinar Gulbrandsen"	"Jakobsenskogen 9, 0769 Marenstad"
"Anna Haug"	"Jacobsenåsen 1, 8654 Madsen"
"Kirsten Simonsen"	"Mathisenlunden 291, 9128 Sivertsen"
"Arne-Håvard Jakobsen"	"Aasringen 2, 5909 Astridhavn"
"Trond Nygård"	"Hellandskogen 983, 0558 Knutvik"
"Torbjørn Antonsen"	"Gundersenekra 9, 1654 Vik"
"Rune Sørensen"	"Isaksenmarka 1, 9051 Ruud"
"Mathias Rasmussen"	"Evensenstykket 6, 2684 Karibø"
"Dr. Alf Jakobsen"	"Hellandlunden 09A, 9280 Audhamn"
"Reidun Næss"	"Nguyenholtet 558, 4910 Elisehavn"
"Svein Sivertsen"	"Eliassenplassen 5H, 7958 Jenssen"
"Gro Berge"	"Bergebråten 8, 4870 Sverreø"
"Solveig Hauge"	"Lundmarka 78, 1522 Iversen"
"Håkon Svendsen"	"Thorsengjerdet 804, 9065 Helland"
"Rita Strand-Eliassen"	"Eliassenskogen 5, 2182 Johangrunn"
"Torbjørn Eliassen"	"Aasengata 4, 3032 Gundersen"
"Marte Abrahamsen"	"Gulbrandsentoppen 47, 5069 Karlhelle"
"Heidi-Mari Rasmussen"	"Eidehavna 8H, 4713 Hildesand"
"Jorunn Thorsen"	"Sivertsenbråten 7, 9973 Svendsen"
"Håvard-Johan Dahl"	"Isaksengata 97, 7410 Knudsen"
"Andreas Ødegård"	"Tveitmoen 382, 1595 Kåreodden"
"Andreas Berntsen"	"Fredriksenkollen 48, 4350 Hansvik"
"Sara Mathisen"	"Eriksenlia 84, 3912 Næss"
"Roy-Espen Johnsen"	"Ruudtjernet 3, 1840 Mariuseid"
"Roy Bakke"	"Hauglandspranget 29G, 7811 Abrahamsen"
