"अंजली अहेरजी","599 चव्हाण
नवी मुंबई-385520" 
"श्री प्रकाश कोल्हे","59/29 महाजन
रत्नागिरी-116555"
"रोहित कदम","7688 आगरकर
पिंपरी-चिंचवड 452062"
"श्रीमती निखिल पाटील","422 देशमुख
जळगाव-494767"
"गौरी माने","1700 देशमुख
जळगाव-314064"
"कुमारी स्मिता भोसले","0/9 पूजा देशमुख
नागपूर 922911"
"गौरी मोरे","9748 स्वाती अहेर
नाशिक 735114"
"तन्वी भोसलेजी","8361 कोमल सावंत
नांदेड-283427"
"अशोक पाटील","93/011 गणेश ठाकूर
सातारा-779556"
"हर्षद देशपांडे","8/4 दीपक आगरकर
अमरावती 342535"
"श्रीमती अभिषेक आगरकर","658 अमित देशमुख
अकोला-517400"
"प्रवीण राऊत","96/429 मिलिंद जोशी
मिरज 920757"
"अनिरुद्ध शिंदे","82/45 भोसले
अमरावती-443892"
"श्रीमती निखिल शिंदे","0304 भोसले
सांगली 656399"
"कविता सानेजी","3/0 मेघा देशपांडे
औरंगाबाद-421584"
"कुमारी प्रवीण देशपांडे","10/39 ओक
जळगाव-414351"
"विनायक गवळीजी","98/6429 माने
नागपूर-595050"
"आदित्य शिरसाटजी","18/719 पल्लवी देशमुख
नाशिक 654667"
"स्वाती शिरसाटजी","0338 साळुंखे
जळगाव 609359"
"लता चौगुलेजी","1/6 अहेर
कोल्हापूर-321475"
"निखिल कदमजी","57 मानसी सावंत
औरंगाबाद-243451"
"श्रीमती मंगेश साळुंखे","99 मिलिंद साने
मुंबई 468886"
"दीपक सावंतजी","67/499 अभिषेक पवार
हिंगोली 307592"
"श्रीमती निलेश फडके","51/7824 अपर्णा जाधव
कोल्हापूर-433772"
"श्री प्रकाश चौगुले","774 देशपांडे
लातूर 005522"
"कविता आगरकर","09 अभिजीत कोल्हे
परभणी-711678"
"श्री मेघा ओक","1/2 माने
पिंपरी-चिंचवड 293568"
"अमित देशपांडे","01/8720 जोशी
पुणे 511952"
"अपर्णा ठाकूर","70 ठाकूर
मिरज-139187"
"अभिषेक पाटीलजी","77/25 साने
पुणे-171703"
"प्रवीण सावंतजी","30/32 आगरकर
सांगली 287311"
"नेहा पाटील","30/34 निलेश कुलकर्णी
मुंबई 612567"
"हर्षदा शिंदेजी","9/3 देशमुख
उस्मानाबाद 523932"
"श्रीमती निलेश शिरसाट","11/0175 उमा भोसले
औरंगाबाद 559005"
"अनिल कदम","68/15 समीर अहेर
कोल्हापूर-704245"
"समीर मानेजी","78 महाजन
सोलापूर-867208"
"निखिल साळुंखेजी","75/130 गायकवाड
धुळे-799220"
"अमित महाजनजी","76/31 जगताप
चंद्रपूर-227996"
"प्रज्ञा पाटील","462 जाधव
पुणे-444579"
"चेतना फडके","3 मानसी मोरे
हिंगोली 752121"
"कुमारी मकरंद गवळी","797 जोशी
नाशिक-910339"
