"अंजली अहेरजी","6/9 अनिल आगरकर
अमरावती-978757" 
"कुमारी अभिजीत राऊत","9/3 राहुल चव्हाण
नागपूर 524277"
"कीर्ती ओकजी","20 प्रवीण जगताप
अमरावती-526642"
"अरुण अहेर","5/9 चौगुले
रत्नागिरी-789411"
"कुमारी हर्षदा ओक","50 भोसले
यवतमाळ 481529"
"माधुरी पाटील","47/0781 दीपक सावंत
पिंपरी-चिंचवड 611479"
"किरण चौगुले","9/5 दीपाली सावंत
सोलापूर-588852"
"गौरव देशमुखजी","10/23 रोहिणी कोल्हे
मुंबई 640619"
"श्रीमती गौरी साने","26/349 चव्हाण
पिंपरी-चिंचवड-445899"
"आदित्य देशमुखजी","8/8 प्रकाश शिरसाट
ठाणे-520651"
"चेतना चव्हाण","6/1 रेणुका शिरसाट
यवतमाळ 512636"
"प्रज्ञा ओकजी","368 चेतना माने
धुळे 536631"
"श्रुती राऊतजी","02 मकरंद साने
नाशिक 563658"
"प्रकाश राऊतजी","83/5855 स्नेहा साळुंखे
उस्मानाबाद-505387"
"इशिता फडके","70/11 शिंदे
पुणे-897136"
"स्वाती जाधवजी","262 सावंत
नाशिक 254708"
"रोहिणी ओक","1845 साळुंखे
सांगली-502043"
"निखिल आगरकरजी","65 निखिल जोशी
हिंगोली-309788"
"श्रीमती चेतन देशपांडे","36/12 साळुंखे
पुणे-120682"
"श्री कैलास शिंदे","71/9188 अनिल कदम
परभणी-080307"
"स्नेहा जगताप","05 माने
सोलापूर-869385"
"हर्षदा चौगुले","91 गवळी
सोलापूर-999576"
"श्री ईश्वर कदम","2/1 देशमुख
सातारा-646179"
"मानसी पाटील","5778 गायकवाड
ठाणे-984517"
"किरण सावंतजी","922 प्रिया माने
उस्मानाबाद 796546"
"माधुरी ठाकूर","35/8992 माने
चंद्रपूर-306389"
"आकांक्षा सानेजी","16/2951 राऊत
पुणे 872473"
"रीमा जाधवजी","53 उमेश पवार
अमरावती 225404"
"श्रीमती चेतना गवळी","23 गवळी
कोल्हापूर-645193"
"विकास मोरेजी","49/3638 अनिता देशमुख
हिंगोली-726188"
"श्री विकास महाजन","52/48 गवळी
हिंगोली 308497"
"श्रीमती आकाश जाधव","7/5 अंजली चौगुले
नांदेड-526075"
"कुमारी अशोक साळुंखे","52/560 चेतन आगरकर
औरंगाबाद-616257"
"जितेंद्र पवारजी","96/138 गौरी ओक
नाशिक-072816"
"ज्योती ओकजी","511 अपर्णा कांबळे
अहमदनगर 003768"
"ज्योती भोसले","921 रोहित भोसले
लातूर-935300"
"श्री कविता ओक","49/91 विकास चव्हाण
नांदेड 529522"
"अशोक पवार","98/4214 भोसले
औरंगाबाद 362602"
"श्रीमती चेतना गायकवाड","240 माने
अकोला-474004"
"अरुण आगरकर","57/731 चौगुले
अमरावती-302696"
"श्रीमती उमेश चव्हाण","9 कुलकर्णी
नवी मुंबई 951549"
