"अंजली आगरकर"|"7225 जाधव
नांदेड-416315" 
"मकरंद शिंदेजी"|"6 दत्तात्रेय चौगुले
पिंपरी-चिंचवड 587185"
"श्रीमती इशिता कांबळे"|"25 कैलास आगरकर
अहमदनगर-996798"
"रोहिणी पवार"|"164 अपर्णा साने
अहमदनगर-871356"
"कुमारी सुरेश पवार"|"5/8 माधुरी शिरसाट
यवतमाळ-446682"
"सुरेश सावंतजी"|"12/85 स्मिता भोसले
सातारा 605855"
"मकरंद सावंत"|"4/0 पूजा सावंत
यवतमाळ 323142"
"अभिषेक साळुंखे"|"2174 मिलिंद साने
सांगली 419003"
"राहुल मोरेजी"|"9/1 नेहा गवळी
उस्मानाबाद-299537"
"ज्योती ठाकूर"|"7261 आशा मोरे
अहमदनगर-539619"
"इशिता अहेरजी"|"77/73 शिरसाट
अमरावती 047146"
"चेतन जगताप"|"3639 प्रिया सावंत
गोंदिया-024516"
"कुमारी वैशाली शिरसाट"|"03/5924 विकास जोशी
पुणे 493800"
"विकास सानेजी"|"38/83 सावंत
मुंबई-092142"
"चेतना कुलकर्णीजी"|"70/138 मेघा कोल्हे
लातूर-336383"
"स्नेहा अहेरजी"|"03 जोशी
रत्नागिरी 437645"
"मोहन मोरे"|"2790 चेतन सावंत
नांदेड-058877"
"श्रीमती अनिल मोरे"|"42/835 गौरव देशपांडे
नांदेड 885303"
"दत्तात्रेय कोल्हेजी"|"2 मोरे
नवी मुंबई 250514"
"कुमारी कोमल गायकवाड"|"10/5748 अरुण मोरे
गोंदिया-212185"
"पल्लवी कोल्हेजी"|"2 ओक
रत्नागिरी 499166"
"संदीप गायकवाडजी"|"703 फडके
नाशिक-476982"
"मानसी देशमुखजी"|"9/6 जगताप
नागपूर 470222"
"श्रीमती दत्तात्रेय देशमुख"|"4/2 कुलकर्णी
यवतमाळ 300401"
"आशा मोरे"|"8/9 विवेक ओक
पिंपरी-चिंचवड-404597"
"स्नेहा कदम"|"04/17 स्मिता ओक
पिंपरी-चिंचवड-499838"
"स्नेहा देशपांडेजी"|"23/1224 हर्षदा भोसले
अमरावती-279899"
"कुमारी अनिल माने"|"584 दीपाली साळुंखे
यवतमाळ-440943"
"श्रीमती अमोल मोरे"|"11 धनंजय आगरकर
वसई-027473"
"कुमारी रोहित जोशी"|"69/906 जोशी
पिंपरी-चिंचवड-830007"
"उमा कांबळे"|"83/33 सुरेश माने
लातूर-202746"
"कोमल पवारजी"|"4960 देशपांडे
धुळे 454563"
"कुमारी मोहन गायकवाड"|"36/1871 देशपांडे
ठाणे 450882"
"अमोल मोरे"|"15/2631 आगरकर
अहमदनगर-178484"
"मीनल कोल्हे"|"15/2424 मानसी साळुंखे
ठाणे 018985"
"स्नेहा जगताप"|"5 मेघा देशपांडे
हिंगोली 233729"
"कुमारी पल्लवी पाटील"|"7320 गौरव ओक
ठाणे-396862"
"श्रीमती भूषण पाटील"|"36/46 अमित मोरे
बीड-047223"
"आशा अहेरजी"|"40/136 आशा चौगुले
मुंबई 295191"
"श्रीमती अंजली कदम"|"73/0146 मोरे
अकोला 777330"
"उमेश माने"|"42/720 ओक
ठाणे 531085"
"श्रीमती संदीप मोरे"|"0/9 जगताप
अकोला-560768"
"श्रीमती आकांक्षा माने"|"233 महाजन
रत्नागिरी 767584"
"सुनील मानेजी"|"90 पूजा साळुंखे
कोल्हापूर 663906"
"निखिल अहेर"|"8784 धनंजय जोशी
मुंबई 796514"
"स्नेहा जाधव"|"867 ठाकूर
नागपूर-421758"
"श्री उमेश शिरसाट"|"60/51 कीर्ती मोरे
सांगली-764598"
"सुनील महाजन"|"61/9914 महाजन
मुंबई 123838"
"अभिजीत कांबळे"|"0481 देशपांडे
उस्मानाबाद-803976"
"कल्पना अहेर"|"72 दीपाली ओक
उस्मानाबाद-190519"
"श्रीमती मीनल शिंदे"|"0 पवार
सोलापूर 303978"
"प्रज्ञा ओकजी"|"26 कोल्हे
सातारा 096656"
"प्रज्ञा गायकवाडजी"|"90/1138 ठाकूर
रत्नागिरी-415102"
"मीनल जोशी"|"0 जोशी
धुळे 600235"
"अशोक मानेजी"|"8457 फडके
अहमदनगर-970713"
"स्नेहा जाधवजी"|"25/79 चौगुले
मिरज-453346"
"ईश्वर शिंदेजी"|"6 अपर्णा गायकवाड
कोल्हापूर-714441"
"मकरंद गायकवाड"|"68/7890 उमा कोल्हे
ठाणे-342807"
"प्रज्ञा साने"|"41/7539 प्रवीण पवार
पिंपरी-चिंचवड 376267"
"श्रीमती नेहा राऊत"|"446 साळुंखे
धुळे-214814"
"हर्षद मोरेजी"|"19 अरुण जगताप
परभणी-533671"
"रीमा जोशीजी"|"449 पाटील
नागपूर-765755"
"कल्पना चव्हाण"|"6251 पाटील
यवतमाळ-598058"
