"अंकिता जोशी","32 दासगुप्ता
भागलपुर 931548" 
"स्वर्ण टंडन","28/5935 प्रतिमा गोयल
देवगढ़-341423"
"नारायण कपूर","123 दर्शना चतुर्वेदी
फतेहपुर-476751"
"वासिष्ठ भटनागर","1 ज्योतिष गुरुंग
जिलोंपर-054043"
"श्यामल सक्सेना","8/4 मिस्त्री
चंबा-918091"
"सुरेन्द्र झादव","774 कौल
देवगढ़-007392"
"अनुपम लोबोजी","43/353 गौरी मेहता
अहमदनगर 585356"
"रानी भट्टाचार्य","09/9577 छेत्री
चित्तूर 745421"
"सम्मानात्मक ज्योत्स्ना चतुर्वेदी","54/2852 मंडल
भद्रक 629899"
"विजया सिंह","0864 कुमार
अगरतला 101757"
"पद्मावती देशपांडे","1 सैनी
लखनऊ 520115"
"ईश मजूमदारजी","4/6 प्रधान
बहादुरगंज-620113"
"मोहन त्रिवेदी","2 नीरव साहा
अलांग 781635"
"कृष्ण मंडलजी","44/08 लीला कदम
दालखोला-463829"
"आदरसूचक तृष्णा श्रीवास्तव","1021 थापा
धारवाड 727633"
"माननीय मधु बनर्जी","200 थापा
देहरा 354182"
"आदरवाचक दिव्या शर्मा","14 पिल्लई
अखनूर 648391"
"चण्ड मंडलजी","843 कम्बोज झादव
खडगपुर-110065"
"सम्मानात्मक दयाराम त्रिवेदी","23/2116 शर्मा
चक्रधरपुर-022961"
"सम्मानात्मक दिलीप पाटिल","68/3630 लीला वेंकटएसन
देवास-464152"
"कल्पना कदम","8/6 शर्मा
अकोला 790674"
"बृजेश पाण्डेय","20 गुरुंग
हैदराबाद 398649"
"सुशील चतुर्वेदी","14/776 द्विवेदी
सभापतिने 917853"
"सावित्री गुप्ता","04/1145 देशपांडे
अनन्तपुर 468036"
"सम्मानात्मक प्रमोद पवार","87/29 सिंह
बहादुरगंज-479860"
"नीरव जैनजी","758 दर्शन चवन
अहमदाबाद-369113"
"चन्दना मुख़र्जी","24/646 जयेन्द्र चतुर्वेदी
चिराला-905211"
"सम्मानात्मक मञ्जूषा रेड्डी","4475 रंगराजन
अन्तर्गत-022689"
"सम्मानात्मक दर्शना सक्सेना","32/185 यश खत्री
देवास 817312"
"लीना चोपरा","10/2899 लाल सरीन
मुंबई 513182"
"आदरवाचक रघु थापा","7/0 यश आचार्य
दादरा और नगर हवेली 095229"
"आदरवाचक अंकुर मैती","43/0118 टंडन
देवगढ़ 298263"
"स्वपन चौहानजी","886 चोधरी
अम्बाजी 520425"
"शान्ता कदम","4440 चतुर्वेदी
मोतिहारी 512138"
"आदरसूचक धवल पिल्लई","72 रश्मी आचार्य
करना 012665"
"लीलावती पवार","11/98 मुक्ता पिल्लई
अजमेर-892676"
"आदरवाचक क्षितिज चवन","73/1060 बलासुब्रमानियम
सभापतिने 199887"
"ऋषि सरकार","66/610 सुन्दर जैन
चिरमिरी 479803"
