"ავთანდილ აბდულაევი"|"აკურის ქ. 12, ყვარელი" 
"ლამარა კირკიტაძე"|"კოლმეურნეობის ველის ქ. 53, ტყიბული"
"ოთარ კილაძე"|"თამარაშვილი მიხეილის ქ. 18, ქობულეთი"
"სალომე კვარაცხელია"|"კონდოლის ქ. 37, ბაღდათი"
"ლილი წულაია"|"რიონის ქ. 24, თელავი"
"მთვარისა გობეჯიშვილი"|"ინგოროყვა პავლეს ქ. 10, ჭიათურა"
"თეიმურაზ კახაძე"|"იპოლიტე-ივანოვის ქ. 95, ქობულეთი"
"ანა მიქელაძე"|"სვირის ქ. 68, მარტვილი"
"ნოდარ ახალაძე"|"გორგასლის ქ. 95, ლანჩხუთი"
"ბესარიონ თედორაძე"|"შანიძე აკაკის ქ. 70, სენაკი"
"ჯონი კვინიკაძე"|"ახვლედიანი ელენეს ქ. 33, ზუგდიდი"
"ბესარიონ მახათაძე"|"მელიქიშვილის ქ. 58, ტყვარჩელი"
"ია ხარშილაძე"|"ლანჩხუთის ქ. 54, რუსთავი"
"ილია წურწუმია"|"ვასაძის ქ. 93, ბორჯომი"
"ლენა კვაჭაძე"|"მამკოდის ქ. 29, ცაგერი"
"გურამ სვანიძე"|"იორის ქ. 24, ცხინვალი"
"ბონდო ისაევი"|"ვერჰარნის ქ. 38, თეთრიწყარო"
"ზინა ფოფხაძე"|"კვერნაულის ქ. 34, ბოლნისი"
"თეონა ჟვანია"|"როსტოვის ქ. 85, სამტრედია"
"თინა პაპაშვილი"|"ჩიქოვანის ქ. 35, ნინოწმინდა"
"ჯონი კობახიძე"|"ბალანჩივაძე მელიტონის ქ. 15, ხობი"
"პეტრე ჩაჩუა"|"ტაშკენტის ქ. 38, ზუგდიდი"
"ნონა ჯავახიშვილი"|"ჩკალოვის ქ. 27, ზესტაფონი"
"ვენერა გელაშვილი"|"ზიჩი მიხაის ქ. 79, ქობულეთი"
"სიმონ დევაძე"|"ნიაბის ქ. 78, მცხეთა"
"მანანა ადამია"|"პიატიგორსკის ქ. 98, ტყიბული"
"ნათელა ჩხაიძე"|"ზიგზაგის ქ. 64, ლაგოდეხი"
"არჩილ მახარაშვილი"|"გუდამაყრის ქ. 16, თეთრიწყარო"
"ელგუჯა ხატიაშვილი"|"მარგიანი რევაზის ქ. 86, წნორი"
"თამაზ მაჭავარიანი"|"კედია სპირიდონის ქ. 24, ბორჯომი"
"ჯონი კობერიძე"|"კოსტავას ქ. 95, ოჩამჩირე"
"დემურ ელიზბარაშვილი"|"გოძიაშვილის ქ. 27, სიღნაღი"
"კარლო კილასონია"|"ტაბიძე ტიციანის ქ. 54, ჯვარი"
"დოდო მიმინოშვილი"|"ინტერნატის ქ. 72, ბორჯომი"
"როლანდ ახვლედიანი"|"სამურზაყანოს ქ. 37, თბილისი"
"ელმირა კილასონია"|"ფაღავა ირაკლის ქ. 73, ზესტაფონი"
"ნონა ქათამაძე"|"ენუქიძის ქ. 59, ბათუმი"
"ბიძინა ბერიშვილი"|"დადიანი ცოტნეს ქ. 39, ოჩამჩირე"
"შაქრო ხაჭაპურიძე"|"შანიძე აკაკის ქ. 80, წალენჯიხა"
"გოგა ბერიშვილი"|"ჩეჩელაშვილის ქ. 22, გურჯაანი"
"ჯონი მელქაძე"|"სიხარულიძის ქ. 76, ჭიათურა"
"მურთაზ ცეცხლაძე"|"ხვამლის ქ. 52, თეთრიწყარო"
"მარინა გაბელია"|"ბოდბის ქ. 69, ვანი"
"გოგი ბერაია"|"დარკვეთის ქ. 72, სამტრედია"
"ია ბერაია"|"მიშველაძე არჩილის ქ. 23, ონი"
"კობა კირთაძე"|"ანჯაფარიძე ვერიკოს ქ. 65, ყვარელი"
"ზაზა ნუცუბიძე"|"ინტერნატის ქ. 17, აბაშა"
"ბექა თოფურია"|"ტაბიძე ტიციანის ქ. 91, სიღნაღი"
"ცირა სეხნიაშვილი"|"ჭოპორტის ქ. 69, მარნეული"
"ციური კვარაცხელია"|"ხორავა აკაკის ქ. 42, სენაკი"
"ჯონი ნაცვლიშვილი"|"სართიჭალის ქ. 07, ჭიათურა"
"ანი კაციტაძე"|"ენუქიძის ქ. 34, ზუგდიდი"
"თამილა ანდღულაძე"|"კასპის ქ. 95, ოჩამჩირე"
"დიანა ბერიაშვილი"|"ბააზოვის ქ. 52, ჭიათურა"
"ვლადიმერ გვაზავა"|"ჩოხელის ქ. 30, კასპი"
"არმენ ჟვანია"|"ხმელნიცკის ქ. 84, თელავი"
"ნიკა შაინიძე"|"გლინკას ქ. 71, მცხეთა"
"ვალენტინა შათირიშვილი"|"მთავარანგელოზის ქ. 73, რუსთავი"
