"אביאל אברמוב"|"צוקית 29, ברקת, 9769678" 
"איתן ארליך"|"החליל 17, באר מילכה, 4094878"
"עידן כהן"|"מבוא חיים מקובנה 11, כסלון, 5744246"
"ליה עלי"|"הנוטר 82, משמר העמק, 5965379"
"מנחם כהן"|"סמ הבוסתן 59, אטרש )שבט(, 9221896"
"דבורה כץ"|"קנין הארץ 84, אביחיל, 2499971"
"רבקה נתן"|"פרופס 75, אורטל, 6636005"
"מרים גאבר"|"גיבתון חנוך 56, עזר, 8223716"
"אורי אבראהים"|"נחל נחשון 88, פקיעין חדשה, 9851030"
"עומר אורן"|"הסיגלית 56, עין השופט, 2356271"
"יצחק שני"|"מעונות ים 20, גבעת השלושה, 8998685"
"אדל קורן"|"אל חגאג בן יוסף 92, כפר אחים, 5880753"
"עידן לוין"|"אלמנשיה-מושירפה 55, דוב""ב, 5533558"
"ארבל זיו"|"נשר 20, אביחיל, 8843051"
"אדל בנימין"|"כזיב 44, עמיר, 3969512"
"מלכה גבאי"|"אפעל 09, כפר יונה, 4227127"
"נעמה אזולאי"|"אלכנסת 98, לקיה, 1626356"
"אודל שם טוב"|"גבע 72, אבו רובייעה )שבט(, 7906429"
"עלמה שחר"|"העבודה 41, נורדיה, 5408104"
"יעל פרידמן"|"הרב חכם שמעון 41, בית חנניה, 3557004"
"איתן סגל"|"תרס""ח 04, משמר העמק, 7371603"
"עילאי ברדה"|"אלסלילמה 07, כפר סירקין, 1834911"
"עידן שטרן"|"משעול הצופית 56, כפר אחים, 0965105"
"בניה אזברגה"|"רחבת פנינה 40, שומרה, 1101395"
"שירה מרום"|"אשל 08, נחלה, 4675174"
"אדל יעל אברהם"|"גרינבוים 21, נוקדים, 3639809"
"עומר ווקנין"|"נהריה 06, רימונים, 0484832"
"איתי חזן"|"מישאל 30, אורטל, 8573075"
"רוני גוטמן"|"גפן 68, עמיר, 4193279"
"שמואל שמעוני"|"בית אבות 32, סגולה, 3200002"
"מרדכי אזולאי"|"אילניה 84, משמר העמק, 1280759"
"יהודית רוזן"|"גבע 34, עין אל-אסד, 1075095"
"עילאי אלבז"|"אלכרום 72, עדי, 7933508"
"סיון אברהמי"|"אייר 60, אבו רובייעה )שבט(, 2015009"
"יעקב שמש"|"לכיש 42, חשמונאים, 9112169"
"שרה לוי"|"שכ הרכבת 31, חצור הגלילית, 1895663"
"ארבל וייס"|"דרך שועפאט סמ4 57, כפר הנוער הדתי, 9672820"
"מוחמד יעקובוביץ"|"דרך חברון 32, לוזית, 0105693"
"יובל אברהם"|"אתר חפץ חיים 62, עדי, 8616288"
"נופר מסארווה"|"הזמיר 62, הר אדר, 6762825"
"מוחמד כהן"|"גבע 36, גבעת ח""ן, 6004903"
"ארבל בן הרוש"|"המסגר 40, משמר העמק, 9642066"
"עילאי אליהו"|"עין שביב 33, עלי זהב, 4714424"
"ליאל כספי"|"המצודה 65, נחלה, 2110294"
"נויה מילר"|"אלכרום 87, בית חנן, 2115231"
"אסתר סלאמה"|"זגגי 73, גרופית, 2808651"
"אדם שחאדה"|"רח 1238 32, לוזית, 4741325"
"איתן יפרח"|"אלמנשיה-מושירפה 86, מכמורת, 6517960"
"זוהר עטיה-בן דוד"|"אלסלילמה 92, הר אדר, 1546366"
"אברהם שאול"|"הבריגדה 13, מגן, 5490734"
"תום שלום"|"האילתית 61, סער, 1959441"
"אחמד פדידה"|"לוריא 38, גרופית, 5421593"
"עילאי אסדי"|"הנורית 43, הר אדר, 5077301"
"יעקב בראון"|"אזור תעשייה מזרח 30, אליקים, 9384858"
"הודיה לוי"|"מבצע הראל 06, משמר העמק, 9184370"
"תאיר הורוביץ"|"דולצ'ין אריה 05, עמוקה, 4015939"
"עדי שרון"|"נאות אשכול 80, אביבים, 1760119"
"יוסף כהן"|"הנוטר 08, פוריה - נווה עובד, 6009398"
"עידו יעקובי"|"הפרדס 71, הסוללים, 8899950"
"יעל ששון"|"ש""ץ גרשון 79, צפרירים, 5455411"
"טליה שטיינברג"|"אל-מחאג'ר סמ4 54, תלמי אליהו, 2233357"
"גלי לוי"|"החצב 51, יד רמב""ם, 6449183"
"עילאי בכר"|"הרימון 62, נירן, 3292927"
"רבקה עמר"|"גובר רבקה 71, בית חשמונאי, 4405752"
"שי אביטבול"|"העבודה 53, צפרירים, 5320331"
"אמיליה בן עמי-חיון"|"סמ השחף 60, נטע, 6200884"
"מנחם כהן"|"יששכר 09, מגן, 8891013"
"אמילי אליהו"|"אל זיתון סמ2 87, בית חנניה, 0181139"
"רוי שרעבי"|"תאנה 07, שעב, 4977229"
"אורי ריאן"|"יהודה הלוי 61, עין צורים, 9942880"
"דימא בר"|"פרי חדש 66, נוקדים, 3279623"
"טליה אברמוביץ"|"המורד 94, שעב, 9455108"
"עילאי גולן"|"זגגי 84, חצור-אשדוד, 7772259"
"הילי ברוך"|"אל חגאג בן יוסף 86, עמקה, 9953119"
"מוחמד פישמן"|"מנזר המארונים 34, אודם, 2130481"
"אדל איילה קפלן"|"שכ 14 76, חצור-אשדוד, 9287307"
"עידו עליאן"|"מעונות ים 70, חצור הגלילית, 0760245"
"דניאל זילברמן"|"שבטי ישראל 92, שומרה, 8553605"
"איילת בן חמו"|"מרחביה )מושב( 03, נוקדים, 0511693"
"שילה ח'ורי-אביטבול"|"אשדוד 07, גיתית, 4212154"
"הלל יחזקאל"|"הפרדס 80, חשמונאים, 1677506"
"חיה בדארנה"|"שכ מחניים 17, גרופית, 2640999"
"עילאי ח'טיב"|"יהודה המכבי 72, עדי, 6738171"
"אביה רובינשטיין"|"סלא איירין 05, כפר הנוער הדתי, 5117543"
"אורי אלקיים"|"ההגנה 74, נוקדים, 7987269"
"ינון לוי"|"משעול התפוח 81, גבעת ח""ן, 1664955"
"נועם אוחנה"|"לוין מיכאל וחנה 71, חיננית, 7212544"
"מעיין גולן"|"כרם חמד 80, גבעת כ""ח, 5320449"
"נטע קדוש"|"זכרון יעקב 82, באר מילכה, 5778902"
"אלה סואעד"|"ברזיל 66, כפר יונה, 0982370"
"טל חן"|"הסיגלית 57, גבעת השלושה, 0096629"
"לאה לוי"|"אלוורוד 94, בית ברל, 7177287"
"עילאי טל"|"נחל ערוגות מ""ר 81, כפר אחים, 8241964"
"רבקה אגבאריה"|"לוד הצעירה 04, כסלון, 7310121"
"פאטמה יוסף"|"אזור תעשיה הר יונה 16, בית חנניה, 8765561"
"דוד אסעד"|"רח 1060 82, פוריידיס, 1215069"
"חיים דוד"|"ענזה 51, ברקאי, 0494380"
"רוני חזן"|"הראשונים 06, תלמי אליהו, 5007695"
"ישראל חיון"|"ש ציונים כלליים 80, מרחביה )מושב(, 6818936"
"מרים טל"|"גינוסר 84, פוריידיס, 9006376"
"נינה פרנקל"|"רח 2001 14, כפר מסריק, 2920421"
"אלירן שוקרון"|"ברקת 46, נירן, 5782823"
"עילאי כהן"|"לוין מיכאל וחנה 87, עמוקה, 5995036"
"עומר פרץ"|"אזור תעשייה מזרח 26, זוהר, 2249982"
"נועה יפה"|"מורדי הגטאות 25, כפר הנוער הדתי, 7069856"
"רוני פאר"|"החצב 83, מכמורת, 5459539"
"לאה חזן"|"טאחונת אלראהיב 61, שומרה, 3315029"
"מוסטפא גולן"|"אסא המלך 14, בית ברל, 9832776"
"שאם שולמן"|"גובר רבקה 04, ורד יריחו, 9011296"
"יוסף קינן"|"דרך חברון 64, מזכרת בתיה, 8812186"
"בן פלדמן"|"חתוכה יורם 27, גני מודיעין, 8646905"
"עמית טל"|"התבור 51, עלי זהב, 2731141"
"עילאי מעיין אליהו"|"אהרון מאיר מזיא 30, אודם, 3414143"
"עוז מוראד"|"יכין 58, זוהר, 9244062"
"נוה שבתאי"|"החבל 47, גבעת השלושה, 1334801"
"דוד מסיקה"|"משעול מוריה 06, בית חנניה, 9618576"
"שירה עובדיה"|"אלסריס 93, כפר אחים, 3085496"
"שילה כהן"|"זית 25, אורטל, 9271007"
"דוד קוגן"|"האדמו""ר מויז'ניץ 40, מעונה, 6977006"
"יהודה שני"|"הנורית 38, עין אל-אסד, 1756502"
"דניאל בן משה"|"ג'ו עמר 06, שדי תרומות, 3560777"
"ירדן כהן"|"סמ הרכבת 94, שיטים, 9904199"
"עילאי נאסר"|"ברזיל 89, שיטים, 4795978"
"מאיה חמוד-סלאמה"|"קבועה )שבט( 43, האון, 0976662"
"נריה לוי"|"תרצ""ו 91, פוריידיס, 3757702"
"אלינור בן סימון"|"קרל נטר 24, חצור הגלילית, 6625763"
"אמילי גרוס"|"בית אבות 64, חשמונאים, 2591684"
"דולב סאלם"|"שביל הרקפות 03, פוריידיס, 9071008"
"אהרון פלג"|"ג'ו עמר 66, גרופית, 1780551"
"מרדכי איליי יעקובוביץ"|"הדולב 58, כפר הנוער הדתי, 0395296"
"יוסף ניר"|"לבקוביץ 37, נוקדים, 8807281"
"יעקב מור"|"אלתרמן 52, באר מילכה, 2193087"
"עילאי נתן"|"גבע 53, עין אל-אסד, 3020653"
"ג'וד גליק"|"אביב 57, חיננית, 4760688"
"נעמי איבגי"|"האורן 28, אביחיל, 5503352"
"איילה גולדמן"|"החצב 46, כפר אחים, 1211290"
"נויה פישמן"|"שקד 83, מגאר, 8506366"
"טליה חמדאן"|"דולצ'ין אריה 45, נטע, 0165265"
"אמיר ח'לאילה"|"הרימון 94, מסד, 3210053"
"עדי מזרחי"|"הברדלס 23, שדה אליהו, 1716967"
"משה אהרון"|"סמ הבוסתן 75, נוקדים, 6082995"
"שירה שיטרית"|"שכ חפצי בה 83, לוזית, 4398748"
"עילאי שחר"|"אלול 54, רגבה, 1035752"
"בארי כהן"|"אביב 10, טל-אל, 6964963"
"ניתאי ברכה"|"חושן 91, שפר, 6607228"
"נועה מזרחי-אמסלם"|"הר עצמון 86, צורית, 5986217"
"אמילי מלכה"|"חיטה 84, מלאה, 5796343"
"ליאור שמואלי"|"אלזיתונה סמ7 33, פוריה - נווה עובד, 0484280"
"הלל עווד"|"אביגיל 66, שומרה, 0194637"
"אריאל חיון"|"סמ עינב 04, זוהר, 2691690"
"יצחק מזרחי"|"עוגן 70, פוריה - נווה עובד, 8476068"
"אביגיל כהן"|"נחל פארן 25, ורד יריחו, 9837594"
"עילאי שקד"|"הרשת 43, משמר העמק, 1259265"
"שאם כץ"|"אפעל 41, ברקת, 3023567"
"חיים חורי"|"אל-מקפה סמ9 33, שדה אליהו, 0141480"
"הודיה זוהר"|"הצבעוני 04, הר אדר, 2539982"
"אליהו חזן"|"רח 7069 03, כפר אחים, 8188262"
"עמית כהן"|"טופז 02, פוריידיס, 2748338"
"רבקה דרורי"|"הרשת 54, לוזית, 9027572"
"הראל לנדאו"|"הרדוף 75, נתיב השיירה, 9177532"
"עלי כחלון-פרץ"|"מרכז 40, מסד, 3346843"
"אלישבע שרעבי"|"עולש מצוי 97, נוקדים, 3672666"
"עילי ח'ליל"|"בורסת היהלומים 17, גני מודיעין, 9928868"
"ידידיה זילברמן"|"רח 5041 15, אביבים, 7824123"
"עילאי כהן"|"מבוא הדס 42, בית חנן, 4059922"
"משי אהרן"|"בית אבות 22, נורדיה, 3642639"
"אריאל עבאס"|"שכ היובל 62, שדה אליהו, 8084904"
"אריאל גולן"|"אלול 49, מכמורת, 8002366"
"יהודה זילברמן"|"מוצא 09, חיננית, 0971900"
"גיא איליי עמירה"|"רבנו תם 19, ברקאי, 7918683"
"נועה ביטון-שמיר"|"המלאכה 07, עזר, 9475319"
"אליאב יוסף"|"שכ החלוצים 02, בית ברל, 0483339"
"עלי אברהם"|"שכ חפצי בה 58, משמר העמק, 4147109"
"נגה וקנין"|"מגלן 60, בית חנניה, 9035053"
"יעל אברהמי"|"הרליץ יוסף 79, סגולה, 7110343"
"אחמד משה"|"בקעת הירח 25, גדות, 6529081"
"אביאל יחיא"|"נתיב הפורצים 04, פוריה - נווה עובד, 1169805"
"מחמוד שחר"|"מעבר לים 04, חצור הגלילית, 7011305"
"ינאי עבדאללה"|"שכ חפצי בה 03, שפר, 3905411"
"עוז בוסקילה"|"זיו 56, אביבים, 8676801"
"שקד מסארוה"|"צפת 49, עין השופט, 2920150"
"שמואל שחר"|"שריג 84, כפר הנוער הדתי, 8653289"
"עלי הררי"|"ש הפועלים 39, עין אל-אסד, 5805242"
"טליה סרוסי"|"פרופ' בירק יהודית 45, רחוב, 5838552"
"מלכה גולדשטיין"|"השיח 52, אל סייד, 0979797"
"אוריה פאר"|"חרת א בוס 40, חיננית, 5504175"
"אנה ברוך"|"אדמון 51, עספיא, 9785046"
"ג'וד אלבז"|"ירקון 20, משמר העמק, 8829025"
"מוסטפא אבו כף"|"שכ מחניים 36, שדות מיכה, 5638077"
"מוריה כהן"|"טביב 06, עדי, 1502656"
"דניאל מוסא"|"אלתרמן 53, ברקת, 8973081"
"נחמה ביטון"|"הורדים 97, שיטים, 3231015"
"עלי וקנין"|"נאות אשכול 00, רחוב, 4896355"
"אריאל זיו"|"מרווה 62, עספיא, 9216242"
"תמר קליין"|"ריחאניה 22, האון, 9037118"
"מריה משה"|"רח 1060 08, גבעת השלושה, 1741397"
"הדס אליאס"|"יד העפלה ממרוקו 71, כפר אחים, 0182849"
"נעמה ארז"|"אל-מחאג'ר סמ4 32, אבו רובייעה )שבט(, 5709903"
"אלרואי רחמים"|"ש קואפרטיבים 65, נחלה, 0547171"
"מוחמד אנגל"|"הרדוף 92, דוב""ב, 1266155"
"הלל הייב"|"מנזר המארונים 62, אביבים, 1869556"
"שיינא אביגיל סגל"|"דיה 32, עין השופט, 9056458"
"עלי לוי"|"לוין שמריהו 31, עספיא, 5830738"
"נוה יהודה"|"שמחוני 72, שדות מיכה, 6915720"
"בת שבע עובד"|"החצב 81, יד רמב""ם, 2035209"
"משה נחמיאס"|"עולש מצוי 72, עמקה, 9588193"
"טוביה מחמוד"|"ויקטור ויוליוס 02, יד רמב""ם, 9034407"
"לני מכלוף"|"דודו דותן 35, דולב, 1030012"
"אגם קליין"|"נחל סרפד 88, רימונים, 0577440"
"פריידא בן חמו"|"אל-לימון 92, סגולה, 4417522"
"דוד פרץ"|"רח 14 67, רימונים, 4374161"
"ליבי טייב"|"צדוק הכהן 18, שדה אליהו, 2281572"
"עלי נתן"|"יכין 31, העוגן, 5211070"
"יואב עוזרי"|"רח 14 55, מגן, 4274213"
"מרדכי אוחיון"|"בית יצחק-שער חפר 51, שדי תרומות, 2370994"
"ארי לוי"|"חתוכה יורם 97, גינתון, 0758792"
"עתי שטרן"|"יהודה המכבי 92, נווה חריף, 8035157"
"הדסה שושן"|"הנורית 74, חצור-אשדוד, 2854916"
"הילה בנימין"|"שכ הפועל המזרחי ג' 84, פקיעין חדשה, 5732356"
"אורי שלו"|"אזור בית הקברות 11, שדי תרומות, 2698724"
"ג'וד דמרי"|"החלוצים 62, מגאר, 9598706"
"עדן עזאם"|"הדייגים 68, כפר אחים, 9271380"
"עלי עוזרי"|"המגינים 75, יד רמב""ם, 2823181"
"אלין יעקב-אזולאי"|"דימיטר פשב 51, גנות הדר, 6820616"
"עמנואל זועבי"|"נהריה 05, צפרירים, 9280923"
"אושר שפירא"|"ש פועלים 42, פוריידיס, 4230388"
"עידן טוויל"|"רח 1060 04, נטע, 2765842"
"שלום ברכה"|"חיים וייצמן 61, אודם, 1923626"
"אורי חן"|"שביל קליפות התפוזים 86, כסלון, 2278457"
"יעקב עטיה"|"רח 2001 18, כפר סירקין, 8371169"
"יהונתן יהודה"|"רח 16 86, אטרש )שבט(, 0678561"
"פנחס ליפשיץ"|"טאבליא 17, רגבה, 0779999"
"עלי שחאדה"|"התבור 85, סער, 2855655"
"מרים רונן"|"רח 2306 27, מכמורת, 9225268"
"עומר זועבי"|"האילנות 82, מגאר, 1762701"
"ינאי בסול"|"גינוסר 30, עין צורים, 6924184"
"נויה עאסלה"|"דיה 47, גדות, 8893888"
"חנה לוי"|"צור 01, מזכרת בתיה, 4337537"
"לאה נחום"|"הנוטר 86, נחלה, 0674954"
