"Ada Balcewicz","ul. Miłosza 613
53-927 Chojnice" 
"Adam Sztuczka","plac Powstańców 52
96-419 Żyrardów"
"pani Sylwia Fijak","ul. Wczasowa 814
48-675 Łuków"
"pani Urszula Maciejczuk","pl. Solidarności 836
22-743 Chorzów"
"Aleksander Węgier","plac Armii Krajowej 87
16-699 Szczecin"
"Kamil Klinger","al. Kasprowicza 67/62
01-493 Warszawa"
"pan Wojciech Ciuruś","al. Ciasna 89/85
08-310 Żory"
"pani Dagmara Soczewka","plac Skargi 43
36-207 Rzeszów"
"Olaf Pacholczak","aleja Kasztanowa 96
30-242 Mińsk Mazowiecki"
"Natasza Potyrała","pl. Brzechwy 03
96-088 Skierniewice"
"Sonia Wyciszkiewicz","pl. Sikorskiego 00
88-588 Bochnia"
"Tymon Semenowicz","ul. Przechodnia 91
45-040 Mielec"
"Franciszek Wiesiołek","pl. Broniewskiego 27
19-706 Ostrów Wielkopolski"
"Krystian Grosz","ulica Zdrojowa 587
88-325 Ciechanów"
"pani Natasza Bajak","ulica Moniuszki 281
65-776 Świecie"
"Oskar Jeske","plac Piłsudskiego 845
80-294 Jarosław"
"pan Wojciech Fidos","plac Wolności 90/50
06-371 Bełchatów"
"Sandra Nieszporek","ul. Korczaka 519
81-982 Wałcz"
"Tymon Basista","ul. Wałowa 42
36-679 Jaworzno"
"Julita Sosnówka","ul. Widok 40/17
80-006 Iława"
"pani Monika Zach","plac Piłsudskiego 827
21-482 Warszawa"
"pani Bianka Paliga","pl. Czarnieckiego 200
15-658 Sochaczew"
"pani Urszula Skrobek","plac Tuwima 50
72-530 Łódź"
"Rafał Bartkowicz","ul. Turystyczna 051
68-584 Tarnów"
"Maurycy Jałowiec","plac Plater 33
62-096 Myszków"
"Szymon Gogacz","aleja Żurawia 40
80-901 Police"
"pan Wojciech Korab","ulica Plażowa 12/05
47-670 Iława"
"Anna Maria Kroll","ul. Makuszyńskiego 467
90-406 Puławy"
"Ignacy Zawiasa","ulica Wróblewskiego 359
99-453 Wałcz"
"pani Adrianna Buszko","aleja Brzechwy 74
62-878 Mysłowice"
"Karina Brach","plac Sucharskiego 30
92-325 Police"
"Gabriel Kuczak","aleja Brzechwy 416
16-627 Jarosław"
"pani Sara Kolbusz","ulica Słowackiego 90
26-008 Chrzanów"
"pan Eryk Kalarus","plac Tuwima 34/66
52-071 Toruń"
"Cyprian Piwowarek","aleja Tartaczna 216
12-632 Będzin"
"pan Eryk Bluszcz","al. Konstytucji 3 Maja 31
24-693 Kętrzyn"
"pan Wojciech Kurzaj","aleja Wiślana 555
19-096 Koszalin"
"Melania Hajdukiewicz","aleja Stefana Batorego 059
46-773 Ciechanów"
"Liwia Goral","ul. Stolarska 92/08
36-253 Tarnowskie Góry"
"Dagmara Nesterowicz","pl. Wybickiego 18/97
60-873 Zabrze"
"Maciej Polaszek","plac Paderewskiego 02
58-871 Piekary Śląskie"
"Piotr Tutka","plac Wolności 808
27-581 Czeladź"
"Marcel Kosiec","al. Zdrojowa 929
57-637 Jawor"
"Konrad Molak","ulica Gołębia 95
62-259 Grudziądz"
"pani Ewa Janisz","plac Kazimierza Wielkiego 939
52-697 Płońsk"
"Anna Maria Kryszkiewicz","al. Sportowa 11
87-228 Świebodzice"
"pan Wojciech Śmieja","ul. Wojciecha 439
92-151 Nysa"
"Janina Szumna","plac Makuszyńskiego 31/76
48-692 Jelenia Góra"
"pani Liwia Kabala","ulica Bolesława Chrobrego 512
35-720 Łomża"
"pani Nela Ograbek","pl. Korfantego 350
04-848 Leszno"
"Szymon Kulczak","ulica Staffa 19/33
79-301 Kościerzyna"
"Janina Woźniczko","al. Średnia 79/63
15-434 Świecie"
"Janina Jankowicz","al. Wyzwolenia 966
01-703 Łomża"
"Ida Gałach","plac Makuszyńskiego 55/07
80-008 Białystok"
"Jeremi Mszyca","pl. Listopada 497
96-959 Jarocin"
"Blanka Kulma","plac Asnyka 03
25-428 Legnica"
"pan Łukasz Andrejczuk","ul. Nowa 53
20-937 Otwock"
"pan Wojciech Przerwa","pl. Sienkiewicza 44
51-840 Giżycko"
"pan Jacek Oleksak","aleja Cyprysowa 888
01-640 Katowice"
"Błażej Florian","aleja Kruczkowskiego 17
25-370 Nowa Sól"
"Natan Pyszny","ulica Strumykowa 894
48-317 Kłodzko"
"pani Apolonia Beśka","al. Promienna 26/38
85-453 Wągrowiec"
"pan Tymoteusz Bartela","ul. Magnoliowa 12/75
15-874 Kraśnik"
"Juliusz Węgrzyniak","aleja Świerczewskiego 43
90-667 Legnica"
"Damian Buczma","al. Partyzantów 624
58-661 Turek"
"Oliwier Materek","ul. Jana Sobieskiego 21
12-096 Racibórz"
"pan Łukasz Engel","ul. Sokola 70/74
49-344 Giżycko"
"Cyprian Zachwieja","ulica Lubelska 15
66-224 Kalisz"
"Olaf Motak","aleja Morska 12/09
88-331 Wągrowiec"
"Sandra Blaut","al. Sawickiej 68
28-204 Ciechanów"
"Rozalia Prostak","ul. Kielecka 29
14-786 Świecie"
"pan Albert Gajowiak","ul. Plater 99/58
61-028 Pruszków"
"pani Agnieszka Grzebyk","al. Miła 00/80
25-086 Piaseczno"
"Bartek Chaberek","aleja Dębowa 18
67-640 Bielsk Podlaski"
"pan Bruno Gniewek","ulica Morelowa 84
57-663 Jelenia Góra"
"Kornel Ziajka","ulica Podleśna 173
45-782 Gorzów Wielkopolski"
"pan Łukasz Haremza","ul. Kazimierza Wielkiego 41
71-678 Lubliniec"
"Karina Oleszko","plac Fredry 518
20-685 Jaworzno"
"pan Juliusz Surmiak","ul. Żwirki i Wigury 892
03-612 Łomża"
"Hubert Bekus","aleja Armii Krajowej 77
13-342 Bydgoszcz"
"Szymon Bicz","al. Młynarska 11
05-925 Świecie"
"pani Marcelina Henke","ul. Lisia 29/16
60-557 Czerwionka-Leszczyny"
"Jacek Brygoła","ul. Lwowska 16
38-991 Świecie"
"Szymon Wojtach","ul. Norwida 093
85-771 Żywiec"
"Melania Tabak","ul. Kochanowskiego 51
50-634 Luboń"
"Nicole Uliasz","aleja Promienna 61
25-019 Marki"
"pan Łukasz Kajdas","plac Słowackiego 986
75-628 Bytom"
"Arkadiusz Boryczko","plac Słowackiego 87
64-561 Nowa Ruda"
"Apolonia Fojt","pl. Sikorskiego 53
26-751 Łaziska Górne"
"Olaf Lipok","al. Fredry 301
49-366 Nowy Dwór Mazowiecki"
"pan Emil Szczap","al. Tartaczna 718
89-016 Otwock"
"Filip Moskalik","pl. Maczka 97/64
79-791 Iława"
"Igor Wawrzyczek","plac Wojska Polskiego 406
74-964 Koło"
"Gaja Kamieniak","ul. Fiołkowa 49/99
25-040 Pabianice"
"pan Dominik Dudziec","ul. Północna 63/78
18-768 Czechowice-Dziedzice"
"Eryk Sapeta","ul. Szkolna 51/55
58-867 Żagań"
"pani Ada Kuczak","al. Maja 87
54-127 Grodzisk Mazowiecki"
"Angelika Cibor","pl. Moniuszki 72/45
91-678 Czeladź"
"Nela Świstek","plac Konstytucji 3 Maja 21
23-303 Nowy Dwór Mazowiecki"
"Marcin Sajewicz","pl. Jana Sobieskiego 83
74-577 Rzeszów"
"Norbert Fiedoruk","plac Niepodległości 85
70-600 Łomża"
"Natasza Myszor","ulica Kasztanowa 455
55-077 Biłgoraj"
"Jerzy Dyka","plac Rynek 08/51
96-869 Tomaszów Mazowiecki"
"Monika Gzyl","al. Piaskowa 584
10-488 Świętochłowice"
"pan Tobiasz Zegadło","pl. Wróblewskiego 00
80-320 Lubartów"
"pan Krystian Mulawa","ul. Południowa 585
59-656 Płońsk"
"pani Ada Kułach","pl. Plater 57
66-467 Jaworzno"
"Inga Gawliczek","ul. Armii Krajowej 68/20
46-525 Bolesławiec"
"pan Maciej Nojek","pl. Krasickiego 41/88
91-159 Szczecin"
"Julian Rosłoń","ulica Malczewskiego 24/57
16-020 Bartoszyce"
"Ada Łodej","plac Stefana Batorego 304
60-066 Ząbki"
"Nela Humeniuk","plac Kusocińskiego 190
17-502 Stalowa Wola"
"pan Olaf Pabisiak","ul. Szeroka 51/00
78-629 Bytom"
"Sylwia Gosek","al. Dąbrowskiej 90
38-207 Żagań"
"pani Elżbieta Maculewicz","pl. Jana 69
39-942 Toruń"
"pani Roksana Solis","pl. Władysława Jagiełły 98/39
47-461 Świnoujście"
"pani Ada Porwoł","aleja Staffa 686
62-048 Pruszcz Gdański"
"Maks Jarka","ulica Konstytucji 3 Maja 944
07-051 Kętrzyn"
"Elżbieta Jakóbik","al. Rejtana 43/59
06-467 Tychy"
"Bianka Basa","ulica Partyzantów 44/34
70-450 Płońsk"
"Fabian Bacia","plac Poniatowskiego 56
51-785 Pruszków"
"Józef Amanowicz","al. Kilińskiego 23/06
33-838 Toruń"
"pan Maciej Flieger","plac Batalionów Chłopskich 10/80
83-509 Zgierz"
"Nikodem Boksa","plac Witosa 036
06-355 Bytom"
"Kamila Durma","ul. Olchowa 66
21-965 Legnica"
"pan Borys Kryza","plac Konopnickiej 279
38-020 Jasło"
"pani Ada Rajch","aleja Krasińskiego 88/93
36-830 Leszno"
"pani Justyna Kurcz","plac Wróblewskiego 790
52-271 Łódź"
"Monika Wójt","pl. Matejki 216
39-152 Świebodzice"
"pani Ida Rajczak","ulica Dobra 375
92-823 Ząbki"
"Aleks Korgul","plac Fredry 22
72-194 Skarżysko-Kamienna"
"Marika Mueller","pl. Bolesława Krzywoustego 082
08-817 Mikołów"
"Angelika Nalewajek","ul. Broniewskiego 50
26-771 Łuków"
"Szymon Wudarczyk","al. Ludowa 01
88-921 Legionowo"
"Gaja Kolarczyk","al. Turystyczna 711
90-662 Police"
"Szymon Przewoźna","ulica Widok 65
23-433 Suwałki"
"pani Adrianna Grzela","plac Pułaskiego 93/88
68-423 Pszczyna"
"Marek Jargieło","aleja Czarnieckiego 27/79
34-878 Żory"
"Urszula Żelazo","pl. Nałkowskiej 574
80-081 Tarnowskie Góry"
"Bartek Zaczyk","plac Władysława Jagiełły 131
94-147 Wałcz"
"Borys Ochnik","ulica Jana 613
30-469 Marki"
"Tola Jędryczka","plac Gałczyńskiego 145
72-742 Gorzów Wielkopolski"
"Ksawery Ogłaza","ul. Sportowa 866
19-990 Przemyśl"
"Karina Lepak","ul. Andersa 269
86-317 Toruń"
"Aniela Szkoda","plac Jana Pawła II 76
98-281 Częstochowa"
"Piotr Nowek","aleja Plażowa 94/06
92-378 Łaziska Górne"
"pani Adrianna Kasperczak","pl. Prusa 91
30-594 Łomża"
"pani Janina Armata","pl. Chopina 73/42
54-760 Starachowice"
"Adrianna Hrabia","aleja Letnia 13/15
64-816 Śrem"
"Wojciech Jarosik","ul. Tuwima 83
18-998 Lubin"
"Dominik Tylka","al. Popiełuszki 37/86
43-127 Toruń"
"Monika Leszczyk","aleja Wyspiańskiego 924
52-922 Tarnów"
"Mikołaj Bancerz","plac Andersa 12
82-466 Żywiec"
"pani Julita Zapadka","pl. Kilińskiego 10/51
80-256 Radomsko"
"pan Łukasz Bartoszczyk","al. Kruczkowskiego 57/52
15-912 Sosnowiec"
"Nicole Ciapa","aleja Nałkowskiej 49/58
11-412 Koło"
"pani Adrianna Wawrzynek","plac Floriana 76
89-930 Płońsk"
"Tobiasz Stupak","aleja Krasińskiego 03
42-039 Kielce"
"Jerzy Jędraszczyk","plac Wróblewskiego 531
78-060 Tarnów"
"Jędrzej Kłoczko","ul. Mieszka I 38/29
91-589 Krotoszyn"
"pan Mikołaj Kliber","aleja Okrzei 69
35-613 Zduńska Wola"
"Tola Darul","ulica Sienkiewicza 36/73
04-577 Czeladź"
"Alan Fryś","pl. Świerczewskiego 62/61
67-686 Grodzisk Mazowiecki"
"Damian Peda","pl. Pułaskiego 689
77-257 Katowice"
"pan Dominik Kalisiak","al. Przechodnia 320
16-501 Chełm"
"Ida Augustynek","pl. Wybickiego 20/14
88-219 Kalisz"
"pani Adrianna Łyś","pl. Słowackiego 794
47-891 Gdynia"
"pan Daniel Korta","ul. Tuwima 51
82-274 Gdynia"
"Stanisław Bortkiewicz","al. Złota 16/68
14-650 Bielawa"
"Tola Myga","al. Błękitna 29
90-736 Konin"
"pan Damian Sadlik","ul. Tysiąclecia 60
60-834 Kołobrzeg"
"Marcelina Chochół","al. Szymanowskiego 558
16-248 Września"
"Borys Pachowicz","ul. Grottgera 52
66-432 Głogów"
"Łukasz Grotek","aleja Wróblewskiego 128
16-029 Grudziądz"
"Ewelina Oleksiuk","ulica Broniewskiego 89/34
55-328 Zawiercie"
"Błażej Szoka","aleja Maja 13
85-309 Konin"
"pani Agnieszka Plona","aleja Topolowa 495
45-578 Polkowice"
"pani Apolonia Sawko","ul. Makowa 16
84-890 Myszków"
"Kamil Dyś","ul. Lotnicza 89
29-662 Wejherowo"
"pan Emil Niedbał","aleja Kaliska 45
40-140 Rybnik"
"Cyprian Erdmann","aleja Kołłątaja 35
19-783 Lębork"
"Kalina Dziczek","aleja Jarzębinowa 189
98-308 Biłgoraj"
"pan Leonard Niewiara","al. Narcyzowa 08
79-525 Kluczbork"
"Aleks Duszczak","al. Orla 40
68-271 Wieluń"
"Marcelina Karwala","plac Makuszyńskiego 172
45-460 Głogów"
"Olga Lindner","ul. Szarych Szeregów 04
59-641 Wejherowo"
"pani Agnieszka Pyza","al. Średnia 746
11-681 Nowy Targ"
"Dariusz Dorobek","plac Bema 68
17-181 Płońsk"
"Bruno Ryznar","plac Korczaka 51/80
47-377 Turek"
"pani Ewelina Pyda","pl. Powstańców Śląskich 724
34-436 Wągrowiec"
"Leon Brudny","plac Żeromskiego 83
24-826 Bartoszyce"
"Norbert Rajtar","ul. Kruczkowskiego 679
88-914 Bielsko-Biała"
"Bartek Miąsko","pl. Kruczkowskiego 063
08-055 Płock"
"pani Karina Hermann","aleja Niepodległości 89
94-673 Głogów"
"Justyna Antoń","aleja Letniskowa 33
95-772 Jasło"
"Jeremi Sobstyl","ul. Andersa 45
87-562 Jarocin"
"pani Anastazja Glazer","pl. Powstańców 12
21-720 Mikołów"
"Sara Szczepan","plac Wyspiańskiego 07
54-971 Kędzierzyn-Koźle"
"Stanisław Falba","pl. Piłsudskiego 26/05
05-766 Będzin"
"Stanisław Majorczyk","ul. Bałtycka 23/78
76-828 Kościerzyna"
"Karol Słyk","ulica Hallera 46
86-027 Gniezno"
"Miłosz Towarek","plac Wieniawskiego 25/90
27-689 Zabrze"
"Jeremi Chołody","ul. Krucza 64/30
38-780 Łuków"
"Marcelina Dylong","al. Łąkowa 05
30-128 Szczecinek"
"Natan Brózda","ul. Rejtana 17/83
62-015 Płock"
"pan Maurycy Seweryniak","pl. Paderewskiego 61
93-352 Tczew"
"pani Anastazja Herba","pl. Żeromskiego 16/35
84-751 Ostróda"
"pani Sara Elert","al. Lipowa 17
16-894 Bydgoszcz"
"Aleks Mak","aleja Dworska 391
26-797 Suwałki"
"Gaja Sławik","al. Kościuszki 133
23-857 Bolesławiec"
"Cezary Pasiak","al. Kielecka 34/35
07-245 Sieradz"
"Kajetan Samol","plac Lelewela 622
99-512 Gniezno"
"pan Oskar Morcinek","ulica Popiełuszki 47/92
96-051 Racibórz"
"Anita Mrózek","pl. Staszica 895
47-046 Piła"
"Cyprian Olas","aleja Wojska Polskiego 08/24
57-775 Świdnica"
"Elżbieta Madziar","aleja Żwirowa 85/21
76-781 Przemyśl"
"pani Anastazja Margol","plac Armii Krajowej 17/77
89-376 Głogów"
"Janina Ostręga","al. Szpitalna 89/16
25-259 Chorzów"
"Wojciech Chromy","ulica Cmentarna 86
70-265 Czechowice-Dziedzice"
"pan Bruno Dworniczak","ulica Spacerowa 519
43-746 Kętrzyn"
"Natan Sadura","plac Stycznia 19/64
09-574 Chojnice"
"Alex Sołek","pl. Reja 02
61-579 Kluczbork"
"Olga Galik","plac Wieniawskiego 75
24-752 Koło"
"Nataniel Podgórna","ulica Strumykowa 52
88-909 Ostrowiec Świętokrzyski"
"Kornelia Chabior","aleja Lisia 086
17-489 Września"
"Patryk Koniec","ulica Daszyńskiego 30/35
95-075 Kwidzyn"
"pani Anastazja Masiak","plac Paderewskiego 81/12
06-656 Wieluń"
"Janina Gul","al. Kusocińskiego 342
82-738 Poznań"
"Urszula Kloch","plac Konstytucji 3 Maja 152
40-598 Chełm"
"Borys Wojtasiewicz","ulica Szeroka 80/54
69-735 Mielec"
"Ryszard Łaciak","al. Konopnickiej 26
03-677 Turek"
"Konstanty Ciepła","aleja Kraszewskiego 63
51-939 Ostrów Wielkopolski"
"pani Sandra Szołtysik","ul. Jeżynowa 36/64
14-837 Nowy Targ"
"Józef Drobnik","pl. Kopernika 74
33-459 Żagań"
"Apolonia Matynia","plac Asnyka 791
19-432 Pabianice"
"Józef Czermak","ul. Kazimierza Wielkiego 890
13-562 Gliwice"
"pani Anastazja Paździora","ulica Stycznia 721
39-134 Białogard"
"pan Leonard Łokaj","ul. Jaśminowa 18
45-391 Koło"
"pani Dorota Maksimowicz","pl. Mickiewicza 42
52-024 Legnica"
"Kamila Jasionek","plac Miłosza 66
24-594 Kościerzyna"
"Ernest Majorczyk","pl. Stycznia 489
42-380 Radomsko"
"Klara Baranowicz","aleja Czarnieckiego 44/79
81-525 Marki"
"Cezary Linek","al. Strażacka 96
98-772 Skarżysko-Kamienna"
"Rafał Myga","ul. Kruczkowskiego 488
98-540 Bielsk Podlaski"
"Tadeusz Skrzecz","ul. Sikorskiego 85/82
16-215 Gorlice"
"Fabian Zajko","ul. Morcinka 610
16-989 Świnoujście"
"pani Anastazja Sznura","aleja Sybiraków 83
66-393 Malbork"
"Anna Maria Wawrzynkiewicz","pl. Floriana 387
56-056 Kutno"
"Cyprian Panasiewicz","aleja Armii Krajowej 34/96
30-799 Krotoszyn"
"Julita Śledzik","aleja Spółdzielcza 536
99-632 Ciechanów"
"Kaja Lalak","ulica Kosynierów 61
64-624 Chrzanów"
"Julian Patalas","ul. Maja 42
15-770 Włocławek"
"pan Błażej Hanke","al. Magnoliowa 764
15-086 Sosnowiec"
"Karol Klaus","aleja Floriana 236
36-551 Tomaszów Mazowiecki"
"pani Olga Martyn","aleja Rybacka 85
22-585 Śrem"
"Juliusz Początek","pl. Drzymały 16/21
11-383 Wieluń"
"pani Anastazja Witas","al. Wiązowa 762
96-617 Pabianice"
"Stefan Wośko","al. Spokojna 401
15-964 Wodzisław Śląski"
"Rafał Karłowicz","ulica Andersa 12
68-995 Dzierżoniów"
"Ada Lempart","al. Zamkowa 704
76-122 Starogard Gdański"
"Patryk Przeniosło","plac Kopernika 35/66
14-308 Żyrardów"
"Kaja Skrzecz","plac Miłosza 966
44-111 Chojnice"
"pan Oskar Lemieszek","aleja Staszica 50
70-458 Augustów"
"Julianna Pasiut","plac Lelewela 41
56-779 Szczytno"
"pani Nicole Malecha","ulica Świerczewskiego 76/30
51-161 Legionowo"
"Antoni Dyjach","ulica Grottgera 306
20-517 Zduńska Wola"
"pani Angelika Głowiak","ul. Stefana Batorego 65
25-293 Świebodzice"
"Kornelia Stanclik","ul. Borowa 00
56-920 Starachowice"
"Dawid Małż","ulica Piastowska 528
64-820 Lębork"
"Borys Palica","al. Szymanowskiego 66
60-859 Żyrardów"
"Sylwia Dyś","aleja Kilińskiego 94
65-071 Ostróda"
"Szymon Skolik","plac Jana III Sobieskiego 950
95-036 Legnica"
"Rozalia Ochab","al. Stycznia 629
24-881 Oświęcim"
"Maciej Kuciak","ul. Parkowa 912
71-670 Jarosław"
"Daniel Chaberek","pl. Rejtana 52
02-980 Oleśnica"
"Arkadiusz Dzikiewicz","ul. Traugutta 78/58
52-214 Bełchatów"
"pani Angelika Minta","al. Wróblewskiego 04/49
76-313 Reda"
"Sonia Jędraszek","aleja Wczasowa 89
59-487 Mińsk Mazowiecki"
"Wojciech Kudełka","ul. Baczyńskiego 66/82
11-658 Chrzanów"
"Ignacy Tolak","al. Wilcza 88
77-530 Sopot"
"Kajetan Malecha","aleja Graniczna 791
53-140 Wejherowo"
"Gaja Szpala","plac Maczka 41
11-566 Turek"
"pan Cezary Wawszczyk","al. Kalinowa 23
19-707 Olsztyn"
"Kamil Wichary","plac Żeromskiego 446
78-144 Środa Wielkopolska"
"Radosław Ochał","plac Świerczewskiego 87
04-255 Kalisz"
"Agnieszka Michalczak","ulica Powstańców Śląskich 19/30
41-926 Jarosław"
"pani Angelika Orwat","pl. Batalionów Chłopskich 13
35-972 Pruszków"
"Dorota Rubaj","ulica Skargi 47
28-698 Tarnów"
"pan Damian Matyka","al. Zacisze 74/25
18-266 Wieluń"
"Maks Szulim","ulica Akacjowa 610
10-792 Wałcz"
"Grzegorz Janasik","ul. Orzeszkowej 833
02-469 Wyszków"
"Mieszko Szafarz","plac Kołłątaja 504
57-485 Gdynia"
"Tadeusz Szram","al. Zamkowa 573
10-075 Tomaszów Mazowiecki"
"Natan Sanetra","ul. Pułaskiego 498
99-799 Gliwice"
"Radosław Fleszar","ulica Północna 55/55
72-111 Bielsko-Biała"
"Ewelina Drywa","plac Krasickiego 14
58-551 Malbork"
"pani Angelika Szafarz","aleja Orzeszkowej 276
48-637 Gorlice"
"Alan Ziemkiewicz","al. Kołłątaja 08
17-198 Chojnice"
"Adrianna Gołas","plac Chełmońskiego 02/80
85-201 Nowa Sól"
"Karina Wilma","aleja Jałowcowa 33
62-382 Myszków"
"pani Lidia Bobak","pl. Listopada 272
85-005 Pszczyna"
"Elżbieta Żok","aleja Sucharskiego 75
26-900 Bielsko-Biała"
"Adrian Klemens","plac Kruczkowskiego 35/58
86-100 Starachowice"
"pani Adrianna Kowala","pl. Powstańców Śląskich 69/18
53-029 Police"
"pan Damian Sysło","al. Niepodległości 858
13-387 Tczew"
"Andrzej Dadej","al. Nadrzeczna 19/28
07-804 Wałcz"
"pani Aniela Duniec","al. Lubelska 101
10-605 Czechowice-Dziedzice"
"pan Cyprian Wałaszek","ulica Poznańska 31
86-134 Oświęcim"
"Kajetan Lazarek","aleja Floriana 84
69-114 Zduńska Wola"
"Stanisław Twardzik","ulica Morelowa 038
30-249 Zamość"
"pan Artur Holewa","ulica Diamentowa 53
97-655 Nysa"
"pani Marcelina Rodzeń","pl. Korczaka 60/76
69-127 Opole"
"Dariusz Kafel","aleja Żwirki i Wigury 484
38-822 Zawiercie"
"pan Szymon Wiertelak","ulica Kamienna 19
09-177 Głogów"
"Dawid Kryszkiewicz","al. Grottgera 29
09-348 Piastów"
"Ryszard Tyniec","ulica Osiedlowa 66
13-035 Leszno"
"pani Aniela Felisiak","aleja Maja 153
07-876 Lubartów"
"Nicole Dudko","ul. Korczaka 96
43-618 Sanok"
"Gustaw Królikiewicz","aleja Chełmońskiego 88/71
48-462 Ostrów Wielkopolski"
"Maurycy Waluk","ulica Wybickiego 71/84
92-293 Wałbrzych"
"Dominik Gruszczyk","plac Asnyka 141
05-612 Rzeszów"
"Maurycy Wojsa","plac Powstańców Śląskich 032
06-288 Mińsk Mazowiecki"
"Antoni Misiurek","al. Jana Sobieskiego 04/07
13-824 Gliwice"
"Tomasz Kupś","al. Batalionów Chłopskich 17
82-159 Łowicz"
"Dawid Zawodnik","ulica Wyspiańskiego 311
67-362 Mikołów"
"Józef Sprawka","aleja Szkolna 61/99
51-788 Ełk"
"pani Aniela Grochowina","plac Stycznia 463
08-940 Giżycko"
"Emil Ambrozik","pl. Plater 07/74
97-918 Reda"
"Michał Jamroz","ul. Krokusowa 97
79-602 Konin"
"pani Sara Ciemięga","pl. Mieszka I 25
49-444 Nysa"
"Tomasz Putek","aleja Brzozowa 68/06
31-714 Kalisz"
"pani Rozalia Krzeszowiec","aleja Krasickiego 71
52-215 Zambrów"
"pan Fryderyk Ryguła","ul. Krakowska 140
03-844 Nowy Dwór Mazowiecki"
"Inga Tereszkiewicz","pl. Krasińskiego 86/27
83-557 Brodnica"
"pan Cezary Baś","plac Pułaskiego 11
60-829 Ciechanów"
"Ida Bojczuk","ulica Rózana 414
28-866 Tczew"
"pani Aniela Matacz","ul. Skargi 87
14-982 Kielce"
"Elżbieta Pich","aleja Letnia 29/30
20-607 Sosnowiec"
"pani Gaja Linke","pl. Kossaka 29/19
04-912 Mława"
"Wojciech Margas","ul. Okulickiego 262
26-282 Tarnów"
"Marika Supernak","ulica Fabryczna 44
86-589 Ostrów Wielkopolski"
"Bartek Jasina","pl. Miłosza 22/80
85-880 Sochaczew"
"Gustaw Toś","plac Długosza 04/99
91-854 Piaseczno"
"pani Olga Łabno","aleja Rataja 71/82
08-830 Zgorzelec"
"Julianna Dulik","plac Moniuszki 728
37-159 Wejherowo"
"Julian Doroszuk","pl. Pułaskiego 75/37
54-333 Dzierżoniów"
"pani Aniela Mielcarz","plac Sikorskiego 89
98-050 Mysłowice"
"Kornelia Plizga","plac Grottgera 67
79-721 Chojnice"
"Marianna Pleśniak","pl. Wyszyńskiego 42/15
58-658 Kętrzyn"
"pan Józef Humeniuk","aleja Wojska Polskiego 722
01-979 Luboń"
