"Aaron Lercher"|"Anabella-Pilz-Gasse 7
7053 Schwechat" 
"Lara Schlosser-Lammer"|"Brucknerweg 7/1
1474 Bad Radkersburg"
"Sofia Hofer-Schmidl"|"Anika-Meindl-Straße 7
3258 Kapfenberg"
"Sigrid Schlosser"|"Patrik-Scherz-Platz 0
1398 Amstetten"
"Prof. Christian Roth"|"Geislergasse 3
5138 Pulkau"
"Prof. Leopold Knoll"|"Anja-Fleischmann-Weg 64
4539 Lienz"
"Leonhard Schulz"|"Matteo-Aichinger-Ring 730
9538 Litschau"
"Dominik Stadler"|"Beni-Dorfer-Ring 539
6292 Bludenz"
"Dipl.-Ing. Carlotta Ritter"|"Mühlbacherplatz 8
7164 Bad Aussee"
"Emilija Gross"|"Knollring 46
5703 Klagenfurt"
"Nikolas Rössler"|"Helena-Wegscheider-Gasse 7
8383 Dornbirn"
"Isabell Köck"|"Sandro-Zechner-Gasse 1
7342 Kapfenberg"
"Lydia Haderer"|"Jandlstr. 2
7288 Wolkersdorf"
"Niko Koller"|"Nikolaus-Meyer-Weg 0
3172 Spittal an der Drau"
"Natan Fleck"|"Ofnergasse 43
4071 Wörgl"
"Prof. Levi Stöger"|"Isabella-Jandl-Straße 1
1178 Hardegg"
"Selena Walch"|"Kaufmannweg 889
9998 Groß-Enzersdorf"
"Ariane Hufnagl"|"Leonora-Stöger-Straße 9
9730 Sankt Veit an der Glan"
"Univ.Prof. Erwin Brandstätter"|"Emilija-Konrad-Straße 9/5
9158 Bad Aussee"
"Kerstin Stangl"|"Angelika-Kremser-Gasse 2
7316 Bleiburg"
"Emilija Hödl"|"Karoline-Wenger-Platz 947
2058 Zistersdorf"
"Pauline Schaffer"|"Sternring 14
1696 Waidhofen an der Ybbs"
"Tim Reif"|"Rechbergerplatz 6
1671 Kindberg"
"Dr. Lotta Bayer"|"Mayerstr. 3
6345 Hainburg an der Donau"
"Tom Eibl-Handl"|"Florentin-Klausner-Ring 8
7277 Stockerau"
"Prof. Liam Erhart"|"Feichterstr. 144
8400 Waidhofen an der Thaya"
"Marc Groß"|"Koberweg 0
8888 Neusiedl am See"
"Valentina Trimmel"|"Wiednerring 5
4201 Ebenfurth"
"Univ.Prof. Juliana Steinbauer"|"Schulzring 9/9
1736 Zwettl"
"Prof. Barbara Schwab"|"Dora-Vogt-Ring 183
6676 Purbach am Neusiedler See"
"Oscar Zangerl"|"Gratzlgasse 7
8119 Herzogenburg"
"Dr. Nela Spreitzer"|"Bichlerstr. 38
2161 Traiskirchen"
"Ing. Antonius Pinter"|"Gasserweg 6
4691 Deutsch-Wagram"
"Dipl.-Ing. Lorena Ott"|"Steinkellnerplatz 6
4420 Saalfelden am Steinernen Meer"
"Valentina Pfeifer-Nemeth"|"Fitzweg 7
5531 Deutsch-Wagram"
"Prof. Linda Baumann"|"Mayerring 0/0
6952 Schladming"
"Ilias Schinagl"|"Lennard-Holzer-Ring 2
9615 Villach"
"John Wittmann"|"Angelina-Neumayr-Weg 20
1094 Wolkersdorf"
"Rene Sigl"|"Mert-Helm-Gasse 05
1723 Herzogenburg"
"Ing. Lia Aichinger"|"Mühlbergerstr. 9/9
6426 Oberwälz"
"Anastasia Hattinger"|"Höflerplatz 7/1
1278 Jennersdorf"
"Richard Reichmann-Wiesinger"|"Tanja-Pühringer-Ring 580
1941 Bad Sankt Leonhard im Lavanttal"
"Steven Bittner-Schmied"|"Schuhstr. 4
3678 Eferding"
"Maksim Kreuzer"|"Stefan-Schmidl-Weg 594
1719 Dürnstein"
"Josefine Juen"|"Franz-Griesser-Straße 39
7054 Grein"
"Prof. Linnea Holzknecht"|"Karoline-Meusburger-Straße 96
8945 Sankt Johann im Pongau"
"Katharina Jöbstl-Mitteregger"|"Paul-Edlinger-Gasse 9
1765 Peuerbach"
"Nina Knoll"|"Ederstr. 1
6661 Innsbruck"
"Robin Handl"|"Elma-Kager-Ring 702
5719 Geras"
"Claudia Hofmeister"|"Carlo-Steinböck-Platz 97
8892 Groß-Gerungs"
"Univ.Prof. Leticia Leopold"|"Vito-Reiterer-Platz 4/5
6331 Oberwart"
"Lina Haderer"|"Platzerstr. 0/3
9780 Gmünd"
"Theresa Scherz"|"Wilhelmweg 9
7259 Bad Vöslau"
"Ing. Adam Sturm"|"Prohaskaplatz 21
3808 Judenburg"
"Aron Haring-Hartmann"|"Rauterplatz 7
2180 Weiz"
"Prof. Linus Kunz"|"Elvira-Riedl-Ring 3/5
8265 Purbach am Neusiedler See"
"Nisa List-Vogt"|"Pia-Kolar-Ring 284
9088 Bad Vöslau"
"Katarina Mittermayr"|"Carla-Niederl-Platz 632
8455 Traismauer"
"Jan Mairhofer"|"Alexandra-Schubert-Straße 042
9080 Gmunden"
"Ing. Igor Bergmann"|"Nemethstraße 2/8
9041 Geras"
"Alan Galler"|"Bruggerring 088
6172 Imst"
"Emilija Auer"|"Zachgasse 882
2112 Ybbs an der Donau"
"Ing. Leoni Kapeller"|"Wohlmuthplatz 6/3
5590 Leoben"
"Jovana Neumayer"|"Michael-Schrammel-Straße 2/3
7426 Gallneukirchen"
"Clemens Heissenberger"|"Lercherplatz 88
9946 Hallein"
"Prof. Marijana Galler"|"Dorferweg 6/2
9358 Melk"
"Dario Steinacher"|"Kreidlstraße 519
5398 Eisenstadt"
"Karla Artner-Walcher"|"Cristiano-Haas-Ring 0
5500 Zeltweg"
"Ben Knoll-Tiefenbacher"|"Klausnerplatz 2/4
2169 Oberpullendorf"
"Martha Rudolf"|"Anna-Denk-Platz 62
9687 Mureck"
"Jasper Schuler"|"Fitzring 07
6389 Deutschlandsberg"
"Nicolas Riener"|"Lea-Leutgeb-Weg 2/6
1319 Feldkirch"
"Dipl.-Ing. Theresa Petz"|"Nussbaumergasse 3/4
6056 Gallneukirchen"
"Dr. Darko Paul"|"Paulgasse 0
3265 Freistadt"
"Univ.Prof. Leonie Groß"|"Lana-Sommer-Ring 30
9419 Hainfeld"
"Prof. Matteo Bichler"|"Schusterstr. 938
1143 Retz"
"Marcus Steinbacher"|"Felicitas-Mayer-Straße 84
6964 Attnang-Puchheim"
"Dr. Andrea Schmied"|"Bianca-Pfeffer-Gasse 939
7296 Wörgl"
"Dr. Jessica Zechmeister"|"Rathstr. 7/5
9218 Schrems"
"Nika Adler"|"Mayrhoferplatz 806
4421 Völkermarkt"
"Rene Plank"|"Marc-Grüner-Ring 662
2666 Hallein"
"Noel Grabner-Heissenberger"|"Foidlring 450
3542 Eferding"
"Herr Leander Draxler"|"Binderplatz 2
6114 Kufstein"
"Prof. Aurelio Krenn"|"Kreuzerstraße 8
5914 Berndorf"
"Noel Herbst-Becker"|"Andrej-Neumüller-Weg 688
2566 Poysdorf"
"Prof. Maurice Steinlechner"|"Mina-Eder-Straße 2/7
8402 Perg"
"Alan Jenewein-Mitterer"|"Lenzring 3/5
1389 Weiz"
"Frau Nadia Gassner"|"Cristiano-Rossmann-Weg 58
5594 Purbach am Neusiedler See"
"Domenica Salcher"|"Leander-Ostermann-Gasse 91
7657 Klagenfurt"
"Dr. Eva Rauscher"|"Vivian-Herzog-Straße 89
8294 Groß-Enzersdorf"
"Antonia Spitzer"|"Philippring 93
8997 Laakirchen"
"Herr Joel Hauer"|"Nino-Schindler-Weg 24
7575 Friedberg"
"Vanessa Kahr"|"Diana-Sieber-Straße 211
4093 Gerasdorf bei Wien"
"Univ.Prof. Rebecca Thaler"|"Ajna-Haderer-Platz 9
6101 Eferding"
"Ing. Nicole Schön"|"Frederik-Enzinger-Ring 3/5
4243 Gerasdorf bei Wien"
"Prof. Maurice Wirth"|"Emil-Schulz-Ring 3
9688 Trofaiach"
"Christopher Rosenberger"|"Schalkring 4/5
1777 Saalfelden am Steinernen Meer"
"Petra Rosenberger"|"Ofnerstraße 52
2950 Laakirchen"
"Karla Böhm"|"Klugring 2/7
2375 Hainburg an der Donau"
"Melek Brandtner"|"Hechenbergerstr. 9
5620 Oberpullendorf"
"Moritz Bogner"|"Aurora-Jandl-Straße 3/2
4307 Klagenfurt"
"Clarissa Pfister"|"Salma-Moosbrugger-Gasse 410
8956 Amstetten"
"Patricia Riepl-Kager"|"Wiednergasse 4/8
4039 Frohnleiten"
"Ing. Juliane Spreitzer"|"Ullmannring 1/2
7109 Vils"
"Larissa Kloiber"|"Lena-Fellinger-Platz 3/2
2540 Wels"
"Prof. Maximilian Arnold"|"Hafnerring 83
1801 Attnang-Puchheim"
"Alan Altmann"|"Nicholas-Schulz-Ring 1
4357 Leibnitz"
"Prof. Ronja Fellinger"|"Holzergasse 0
8115 Bregenz"
"Theo Schiestl"|"Antonella-Rath-Gasse 63
3516 Gmunden"
"Sigrid Kahr-Jovanovic"|"Emmanuel-Markl-Platz 858
2043 Stockerau"
"Lilly Kuhn-Seiler"|"Tim-Hämmerle-Platz 4/2
4416 Raabs an der Thaya"
"Estelle Mairhofer-Hofer"|"Kissgasse 3
3248 Villach"
"Annabella Hütter"|"Augustinplatz 683
6710 Mautern an der Donau"
"Dilara Traxler"|"Sommerweg 91
3352 Oberndorf bei Salzburg"
"Ruben Nowak"|"Walderstr. 7
8306 Groß-Siegharts"
"Prof. Mike Haring"|"Grundnerplatz 0
7456 Geras"
"Leticia Gratzer"|"Rieplweg 851
2595 Waidhofen an der Thaya"
"Ferdinand Brandstetter"|"Jungplatz 2/1
6827 Schwechat"
"Kristian Schwaighofer"|"Gahleitnerring 9
4604 Altheim"
"Jacob Kolb"|"Felberweg 15
7527 Bregenz"
"Ing. Marvin Urban"|"Bertholdgasse 8/3
6973 Friesach"
"Markus Hermann"|"Nadia-Winter-Ring 4/7
2668 Leoben"
"Simon Lassnig"|"Bernerring 22
1605 Eferding"
"Marvin Stern"|"Lydia-Pacher-Weg 99
9410 Schwanenstadt"
"Erik Leopold"|"Martin-Prenner-Gasse 457
4440 Eferding"
"Prof. Moritz Glück"|"Linderplatz 2/7
2130 Friesach"
"Mila Ebner"|"Jovana-Zenz-Straße 305
8216 Saalfelden am Steinernen Meer"
"Alma Wurzinger"|"Philip-Trinkl-Gasse 060
1868 Schwanenstadt"
"Matheo Schreiber"|"Kellnerplatz 138
3489 Traiskirchen"
"Ing. Benedikt Lederer"|"Brandnerstraße 409
5638 Völkermarkt"
"Tamara Fehringer"|"Pircherplatz 078
2080 Eisenstadt"
"Dipl.-Ing. Beni Wurzinger"|"Hochreitergasse 827
3826 Villach"
"Leyla Schwaiger"|"Steinböckring 9/8
2315 Korneuburg"
"Mariana Sauer"|"Ganglplatz 95
4475 Ansfelden"
"Zoe Neuhold-Brandner"|"Schauerring 6
3359 Sankt Pölten"
"Prof. Natascha Tauber"|"Teodor-Loidl-Ring 98
3190 Waidhofen an der Thaya"
"Jonas Hacker-Sulzer"|"Steinwenderring 25
3142 Bad Vöslau"
"Leander Zauner"|"Hufnaglweg 4
5787 Sankt Veit an der Glan"
"Univ.Prof. Sascha Fiedler"|"Suppanstraße 351
9358 Grieskirchen"
"Rana Fischer-Rabitsch"|"Lucia-Ecker-Ring 1
9606 Waidhofen an der Thaya"
"Tobias Moosbrugger"|"Isabell-Pröll-Ring 7/0
6849 Bad Radkersburg"
"Emil Rohrer"|"Ina-Stern-Ring 0/9
9375 Salzburg"
"Marc Werner"|"Yilmazplatz 25
7017 Pregarten"
"Dipl.-Ing. Eduard Jovanovic"|"Grasslstr. 9
3800 Groß-Gerungs"
"Lea-Sophie Widmann"|"Ofnerstraße 8/8
7585 Mistelbach an der Zaya"
"Prof. Nico Held"|"Gattringergasse 096
1552 Bärnbach"
"Ronja Haiden"|"Markring 00
6236 Berndorf"
"Dipl.-Ing. Frederik Hufnagl"|"Antonella-Kral-Straße 5
6488 Dürnstein"
"Liliane Dünser"|"Kaingasse 76
8361 Purbach am Neusiedler See"
"Emmanuel Mittermayr"|"Dana-Schäfer-Weg 00
8370 Pregarten"
"Ricardo Martin"|"Röckstr. 4
4372 Haag"
"Vincent Plattner-Gosch"|"Kraxnerstr. 3
7145 Zeltweg"
"Frida Kurzmann"|"Arthur-Radl-Straße 3/9
2848 Neusiedl am See"
"Benjamin Stöger-Kainz"|"Faschingring 159
3162 Straßburg"
"Andjelina Gstrein"|"Hutterstr. 39
8473 Ried im Innkreis"
"Prof. Nicolai Götz"|"Arthur-Kappel-Straße 78
2116 Mureck"
"Stephan Kappel"|"Probststr. 20
1846 Frauenkirchen"
"Maurice Weninger-Schiestl"|"Arthur-Luttenberger-Straße 07
7590 Marchegg"
"Nikolai Reisinger"|"Sigrid-Fürst-Weg 6/9
4951 Bleiburg"
"Rayana Larcher-Muhr"|"Sebastian-Sulzer-Platz 335
4306 Voitsberg"
"Dipl.-Ing. Andjelina Friedl"|"Nicola-Hauer-Gasse 2/6
9194 Imst"
"Laurin Hödl"|"Kurzweg 733
5528 Wien"
"Mario Schulz"|"Peterplatz 83
9264 Neunkirchen"
"Dario Keller"|"Nicolas-Herbst-Straße 6/7
9776 Innsbruck"
"Herr Hubert Sperl"|"Nicolas-Hackl-Ring 0/5
1582 Oberndorf bei Salzburg"
"Prof. Nicolas Felder"|"Holzerstr. 445
8091 Kufstein"
"Samuel Lehner"|"Sam-Fröschl-Platz 46
4154 Bad Vöslau"
"Louis Rieger"|"Maximilian-Haslauer-Gasse 50
5056 Wolkersdorf"
"Robert Wieland"|"Paula-Bichler-Weg 271
2179 Schwanenstadt"
"Benedict Felder"|"Ina-Schreiber-Gasse 69
4884 Eisenstadt"
"Matthias Ortner"|"Marissa-Pucher-Straße 3/6
8190 Mannersdorf am Leithagebirge"
"Dario Gollner"|"Isabel-Strauß-Ring 7
7295 Hardegg"
"Dr. Lennard Fritsch"|"Natalia-Steinberger-Straße 83
1648 Linz"
"Josef Mörth-Schwarzinger"|"Maida-Landl-Ring 6/9
7209 Allentsteig"
"Andjelina Steiger"|"Raffael-Gosch-Weg 85
4648 Ebreichsdorf"
"Prof. Niko Eberhard"|"Leutgebplatz 3/8
4925 Pulkau"
"Dana Humer"|"Fuhrmannstraße 9/2
7724 Gleisdorf"
"Liam Postl-Rauscher"|"Marie-Sophie-Sperl-Platz 90
6612 Grein"
"Ing. Frida Linder"|"Schieferweg 43
9751 Schwechat"
"Cristina Kern"|"Christina-Frisch-Gasse 2/2
3058 Fischamend"
"Melina Horn-Lindner"|"Pointnerweg 6
8652 Gerasdorf bei Wien"
"Evelyn Pammer"|"Windischplatz 07
3302 Mank"
"Florian Sauer"|"Ackerlstraße 4
4821 Gloggnitz"
"Konstantin Gahleitner"|"Rieglerweg 7/7
2172 Groß-Gerungs"
"Univ.Prof. Eda Aichholzer"|"Naglplatz 50
4602 Traun"
"Prof. Niko Fischer"|"Haindlstraße 04
2554 Berndorf"
"Prof. Sandro Haider"|"Isa-Kellner-Platz 8/0
1878 Gloggnitz"
"Katja Wechselberger"|"Urbanweg 0
6672 Feldbach"
"Prof. Finn Denk"|"Ullmanngasse 3/4
6013 Steyregg"
"Carl Fellner"|"Aylin-Ritter-Ring 641
6275 Bad Sankt Leonhard im Lavanttal"
"Maurice Leber"|"Samuel-Frühwirth-Ring 9
8994 Geras"
"Patrik Postl"|"Arda-Ebner-Straße 955
5031 Radenthein"
"Eda Heindl"|"Jannik-Adler-Ring 74
2355 Villach"
"Erina Höfer-Meusburger"|"Alara-Kugler-Gasse 556
6201 Rust"
"Timo Schwarzl-Engel"|"Tothgasse 991
4337 Krems an der Donau"
"Prof. Nikola Vogt"|"Florin-Arnold-Straße 2
6752 Freistadt"
"Georg Reitinger"|"Stephanie-Moser-Ring 6/5
8314 Ansfelden"
"Sonja Stecher"|"Maryam-List-Gasse 1/5
4230 Ebreichsdorf"
"Dipl.-Ing. Steven Kopp"|"Luttenbergerstraße 048
9393 Retz"
"Philip Höfer"|"Kissplatz 5/9
5784 Ebreichsdorf"
"Marta Widmann"|"Dana-Hinteregger-Ring 41
3595 Völkermarkt"
"Felicitas Sommer"|"Schieferplatz 012
6110 Saalfelden am Steinernen Meer"
"Carla Nowak"|"Antonius-Philipp-Weg 3
5300 Liezen"
"Daniel Schuller"|"Meierstraße 259
2151 Ried im Innkreis"
"Maurice Nowak"|"Buchingerstr. 987
4172 Sankt Andrä im Lavanttal"
"Prof. Oliver Wöhrer"|"Fellingerplatz 6
6425 Wilhelmsburg"
"Irina Schmidinger-Singer"|"Kirchnerplatz 228
9820 Zell am See"
"Adam Artner"|"Ronja-Rainer-Straße 81
8472 Groß-Gerungs"
"Annalena Heissenberger"|"Clemens-Lackner-Gasse 0/1
4839 Lilienfeld"
"Levi Suppan"|"Angelina-Kollmann-Weg 2
9236 Eisenstadt"
"Angelina Füreder"|"Koberring 667
3628 Wolkersdorf"
"Karim Dietl"|"Peerring 80
1661 Mürzzuschlag"
"Helene Farkas"|"Rechbergerring 7/8
4522 Radstadt"
"Steven Peham"|"Leopoldstraße 51
8736 Gerasdorf bei Wien"
"Mike Fellner-Buchinger"|"Louise-Reinthaler-Weg 7/4
4642 Retz"
"Prof. Pascal Schöberl"|"Göschlplatz 09
8747 Liezen"
"Lilly Kolm"|"Leah-Buchberger-Straße 590
6144 Raabs an der Thaya"
"Jan Reitinger"|"Mittermayrstraße 145
3933 Haag"
"Aleksandra Sommer"|"Reinbacherplatz 34
6792 Dornbirn"
"Luis Griesser"|"Rauchplatz 010
5119 Neumarkt am Wallersee"
"Amanda Hofstätter-Beck"|"Weissenböckweg 9/3
8480 Herzogenburg"
"Lotta Dangl"|"Yvonne-Köck-Weg 68
7971 Drosendorf-Zissersdorf 1"
"Aurora Seebacher"|"Schlagerstraße 1/5
4235 Leoben"
"Lennard Wimmer"|"Grillgasse 04
7554 Bad Hall"
"Dr. Amanda Klug"|"Pacherring 131
7671 Marchtrenk"
"Prof. Robin Nagele"|"Ellerweg 3/0
6792 Friedberg"
"Hubert Kreiner-Wurzinger"|"Gassnergasse 1/3
8900 Vöcklabruck"
"Dipl.-Ing. Nadia Grünwald"|"Leonie-Blümel-Ring 0
4667 Bludenz"
"Thomas Kaindl"|"Ronja-Hartmann-Platz 752
5662 Traun"
"Martha Gattringer"|"Tom-Fuchs-Gasse 963
5239 Groß-Gerungs"
"Cristiano Schuler-Dittrich"|"Guggenbergerstr. 91
5908 Villach"
"Carlotta Heger"|"Lennart-Lackner-Weg 6
2887 Bad Ischl"
"Melissa Leibetseder-Wittmann"|"Kollerplatz 371
6568 Leibnitz"
"Aurora Brugger"|"Staudingerweg 1
5923 Vöcklabruck"
"Frau Zoe Kofler"|"Ela-Ender-Weg 0/3
8152 Dürnstein"
"Prof. Sabrina Karrer"|"Arda-Hahn-Straße 99
9948 Judenburg"
"Dr. Fabio Prenner"|"Esther-Stöger-Gasse 78
1350 Zwettl"
"Paula Neuner"|"Kammererstraße 02
8053 Schwechat"
"Leon Leibetseder"|"Schullerring 5/2
7992 Bleiburg"
"Cristiano Hirschmann-Gangl"|"Neugebauerstr. 6/7
7476 Litschau"
"Jacob Stecher-Danninger"|"Loidlplatz 65
6315 Mattighofen"
"Aurora Anderl"|"Weissgasse 082
3134 Jennersdorf"
"Elena Wenger-Stern"|"Sandro-Staudacher-Platz 52
9261 Bludenz"
"Lilia Riegler"|"Angelina-Kriegl-Gasse 6/3
8833 Imst"
"Elona Hubmann"|"Eckerring 27
6046 Feldkirch"
"Prof. Stephanie Leonhartsberger"|"Nicholas-Stifter-Ring 9
5808 Vils"
"Finn Schuster"|"Erlacherstr. 81
4926 Langenlois"
"Maria Böhm-Gratzer"|"Huberweg 96
6221 Trieben"
"Ellie Stefan"|"Koppstr. 0
8076 Murau"
"Nina Muhr"|"Plankring 455
1263 Judenburg"
"Prof. Tanja Zeilinger"|"Rosa-Reinisch-Platz 156
1974 Fürstenfeld"
"Ismail Salzer"|"Gloria-Eichhorn-Platz 2
1251 Spittal an der Drau"
"Frau Charlotte Bodner"|"Leyla-Haslinger-Platz 9/2
8267 Mureck"
"Univ.Prof. Yasmina Unger"|"Grabnergasse 2/9
5193 Eferding"
"Soraya Kolm"|"Reichlstraße 75
3494 Geras"
"Prof. Tanja Winkler"|"Löfflergasse 801
6601 Wörgl"
"Nina Pacher-Baier"|"Ledererstraße 8/2
5526 Bad Sankt Leonhard im Lavanttal"
"Elyas Dallinger"|"Leo-Messner-Platz 035
7352 Bludenz"
"Lennard Schandl"|"Jessica-Zöhrer-Ring 1
8949 Mannersdorf am Leithagebirge"
"Lora Mader-Bürger"|"Rienerplatz 601
5711 Kapfenberg"
"Michelle Franz"|"Leon-Mitteregger-Ring 558
9643 Berndorf"
"Vivian Puchner"|"Jovana-Redl-Platz 973
4354 Güssing"
"Aleksander Binder"|"Schimplring 252
3960 Gallneukirchen"
"Dominik Krainz-Neuhauser"|"Fiedlergasse 0
3738 Deutschlandsberg"
"Prof. Adriano Hörmann"|"Schatzstraße 660
9501 Schärding"
"Prof. Timon Glatz"|"Natan-Pfister-Ring 43
9523 Salzburg"
"Jasper Grabher"|"Isabella-Uhl-Platz 4
7162 Groß-Enzersdorf"
"Eduard Höller"|"Nikolaus-Schwarzinger-Straße 2/9
2621 Groß-Enzersdorf"
"Luis Hammerer"|"Reichmannplatz 63
3517 Mank"
"Herr Philip Lang"|"Schuhstraße 1
8610 Krems an der Donau"
"Mira Schrempf"|"Elyas-Hartl-Ring 45
4346 Rattenberg"
"Kilian Bacher"|"Danglring 02
8017 Grein"
"Nikolai Hummer-Marx"|"Meiergasse 7
6493 Oberpullendorf"
"Steven Zauner"|"Nikolas-Resch-Ring 8/9
1920 Frauenkirchen"
"Amelia Paul"|"Marina-Kurz-Platz 8
1420 Pregarten"
"Prof. Xavier Kaufmann"|"Leticia-Frühwirth-Gasse 41
3104 Wilhelmsburg"
"Melissa Richter"|"Luana-Hauer-Weg 4
7167 Feldkirchen"
"Timo Bogner"|"Wernerring 7
2988 Bregenz"
"Emmanuel Stadler"|"Wallnerstr. 92
5982 Pulkau"
"Verena Bräuer-Postl"|"Veronika-Fröschl-Straße 504
3905 Deutschlandsberg"
"Felix Leibetseder"|"Erhartring 947
2000 Enns"
"Bruno Ladner"|"Leah-Hattinger-Weg 263
7240 Ternitz"
"Luisa Eberl"|"Jennifer-Paul-Ring 87
9389 Eggenburg"
"Antonella Dietrich-Pacher"|"Kocherstraße 6
1696 Stadtschlaining"
"Klara Fritsch"|"Wiesingerstr. 839
3039 Frohnleiten"
"Rachel Jungwirth"|"Voglerplatz 3/2
6598 Murau"
"Johann Glück"|"Payerring 7
7978 Kindberg"
"Univ.Prof. Benjamin Wimmer"|"Dario-Prantl-Gasse 606
2774 Rust"
"Larissa Reinbacher"|"Milan-Neumayer-Weg 8
7055 Graz"
"Leon Fuhrmann"|"Zellerstr. 6
6095 Graz"
"Elyas Stütz"|"Listring 6/6
6633 Wolkersdorf"
"Dipl.-Ing. Leni Hummel"|"Laimerplatz 9
4533 Marchegg"
"Tiffany Kohler"|"Nadja-Danninger-Ring 390
6987 Hall in Tirol"
"Victor Wohlmuth"|"Timo-Platzer-Ring 437
2461 Gänserndorf"
"Dipl.-Ing. Amanda Bernhard"|"Fleckplatz 5
7857 Straßburg"
"Raffael Lerch"|"Jungwirthplatz 7/3
6914 Hallein"
"Olivia Schiefer"|"Oberndorferplatz 696
5428 Allentsteig"
"Michaela Blümel-Friedl"|"Reichelstraße 317
1846 Klosterneuburg"
"Tina Köck"|"Alma-Macher-Platz 163
8630 Berndorf"
"Yasmina Hauer"|"Raffael-Mühlberger-Weg 0/3
6134 Gföhl"
"Eric Tischler"|"Kilian-Hainzl-Straße 59
7304 Neunkirchen"
"Ismail Bürger"|"Mario-Gschwandtner-Gasse 6/1
5682 Enns"
"Marta Engel"|"Puntigamstr. 0
5318 Ried im Innkreis"
"Andreas Wandl"|"Kochring 93
8548 Purbach am Neusiedler See"
"Anabella Reif-Deutschmann"|"Rebecca-Schinnerl-Weg 543
1195 Neusiedl am See"
"Raffaela Dorfer"|"Riedmannstraße 533
6657 Korneuburg"
"Ing. Leonardo Bachler"|"Mia-Zettl-Weg 91
9449 Steyr"
"Herr Angelo Rauch"|"Laurin-Denk-Ring 9
8583 Laakirchen"
"Nico Guggenberger"|"Neubauerring 587
5763 Marchtrenk"
"Gabriela Geier"|"Arda-Veit-Straße 6/8
8907 Zistersdorf"
"Arthur Pilz"|"Hattingerweg 516
1281 Bad Radkersburg"
"Sofija Mühlböck"|"Lampertstraße 5
4416 Herzogenburg"
"Liliana Veit"|"Vito-Dietrich-Ring 044
9029 Judenburg"
"Alexia Berger"|"Kuglerplatz 65
9841 Linz"
"Stefanie Weninger"|"Walcherstr. 906
4384 Radenthein"
"Raffaela Dorfer-Kral"|"Neumayergasse 57
5767 Purbach am Neusiedler See"
"Elvira Heiss-Schmuck"|"Kasparweg 983
4095 Linz"
"Prof. Nora Wöhrer"|"Maria-Zehetner-Straße 1/1
2785 Braunau am Inn"
"Univ.Prof. Alan Heinz"|"Reifweg 3
6231 Radstadt"
"Josefine Stadler"|"Sandro-Pircher-Gasse 3
6353 Bärnbach"
"Karolina Schramm-Klein"|"Dana-Humer-Ring 933
8827 Murau"
"Klara Freitag"|"Alena-Heigl-Straße 07
2610 Rust"
"Alma Marx"|"Zoe-Leithner-Weg 75
5197 Oberwart"
"Benedikt Grabner"|"Lia-Peter-Platz 237
1792 Attnang-Puchheim"
"Raffaela Suppan"|"Oliver-Reischl-Ring 379
9548 Wolkersdorf"
"Raffaela Kaltenegger"|"Mörthstr. 99
7081 Friedberg"
"Isabel Pesendorfer"|"Arda-Lipp-Platz 7
5366 Sankt Andrä im Lavanttal"
"Oliver Krainer"|"Darius-Geier-Straße 5/6
4722 Linz"
"Emilia Lipp"|"Sofija-Scherr-Platz 5/7
3641 Völkermarkt"
"Finn Schmidt-Kaltenbrunner"|"Kalteneggerring 60
7210 Zell am See"
"Paula Stöger"|"Grasserstr. 6/5
3524 Waidhofen an der Thaya"
"Nina Sailer"|"Mairring 62
5969 Mödling"
"Marijana Stöckl"|"Eberhardgasse 6
5957 Sankt Pölten"
"Martin Eberl"|"Marcel-Fleischhacker-Straße 16
6094 Groß-Gerungs"
"Alma Günther"|"Marijana-Waldner-Ring 6
5134 Jennersdorf"
"Ralph Prinz"|"Filip-Springer-Straße 034
9268 Bad Ischl"
"Nikolaus Hölzl-Rossmann"|"Fabian-Kappel-Straße 46
9617 Schrattenthal"
"Prof. Oskar Obermüller"|"Kreidlring 900
7150 Fürstenfeld"
"Univ.Prof. Aurelio List"|"Michael-Laimer-Platz 514
1229 Traiskirchen"
"Ing. Mert Köck"|"Filip-Bader-Ring 069
6543 Purbach am Neusiedler See"
"Herr Xavier Springer"|"Buchergasse 47
4322 Bruck an der Leitha"
"Emanuela Haas"|"Rossmanngasse 9
3873 Oberndorf bei Salzburg"
"Axel Zechner-Neugebauer"|"Sofia-Pröll-Ring 47
6871 Knittelfeld"
"Mathilda Kölbl"|"Berra-Stocker-Ring 92
9652 Tulln an der Donau"
"Jennifer Ullmann"|"Lutzplatz 8/3
1803 Ferlach"
"Rana Engl-Wolf"|"Mario-Knoll-Weg 75
5425 Hallein"
"Louis Grill-Bösch"|"Schöffmannring 7
7658 Bruck an der Mur"
"Mariella Köck"|"Veronika-Tanzer-Gasse 9/3
4052 Landeck"
"Marta Maringer"|"Lucia-Niederl-Gasse 6/8
7504 Neulengbach"
"Elsa Springer"|"Kitzlergasse 915
2719 Trieben"
"Emilija Stelzl"|"Brandnerstraße 7
5147 Oberwälz"
"Frau Klara Gratzer"|"Farkasring 32
5998 Ybbs an der Donau"
"Karl Stöckl"|"Marxstraße 3
9137 Imst"
"Maria Mitteregger"|"Rottensteinerweg 9/0
6500 Neunkirchen"
"Laurin Lammer"|"Isabelle-Kogler-Straße 459
4418 Zwettl"
"Rana Kalcher"|"Sternplatz 10
6091 Hainburg an der Donau"
