"अंजली कुलकर्णी"	"861 चव्हाण
मिरज 990346" 
"इशिता पवारजी"	"31/51 अहेर
उस्मानाबाद 072342"
"आशा ठाकूरजी"	"074 पाटील
सांगली 026731"
"विवेक ठाकूरजी"	"73/14 आगरकर
परभणी 852599"
"श्रुती देशमुखजी"	"3/3 सुनील सावंत
सांगली 873653"
"विकास पवारजी"	"24/524 स्वाती शिंदे
सोलापूर 238463"
"श्री प्रकाश कदम"	"048 माधुरी साने
अहमदनगर 708063"
"अरुण जोशीजी"	"54/307 अनुष्का जोशी
लातूर 144120"
"श्री अपर्णा चव्हाण"	"9 कदम
नांदेड-937445"
"राहुल साने"	"1697 विवेक चौगुले
अहमदनगर 500529"
"गणेश साने"	"21/66 मोरे
रत्नागिरी 536843"
"श्री कीर्ती पाटील"	"232 आकाश महाजन
मुंबई 771784"
"श्री माधुरी चव्हाण"	"3559 पवार
नांदेड-824028"
"स्वाती चौगुलेजी"	"180 अमित माने
परभणी-793653"
"श्रुती भोसलेजी"	"90/947 उमा कांबळे
सांगली-639299"
"धनंजय आगरकर"	"3/7 प्रकाश महाजन
नाशिक-437058"
"रोहिणी चव्हाण"	"970 आशा मोरे
अकोला 261793"
"चेतना कुलकर्णीजी"	"92 देशपांडे
अमरावती 040948"
"मंगेश कदमजी"	"6/1 जगताप
हिंगोली 104640"
"गौरी पवारजी"	"10/503 पल्लवी सावंत
सांगली 913365"
"दीपाली चौगुलेजी"	"1/6 फडके
सातारा 582946"
"विवेक साळुंखेजी"	"6 प्रशांत पाटील
परभणी 320976"
"रीमा जगताप"	"160 जगताप
पिंपरी-चिंचवड 959986"
"कीर्ती पवार"	"2/5 कविता गवळी
रत्नागिरी 028987"
"श्रुती शिंदे"	"848 देशपांडे
पुणे 887619"
"अमोल चौगुले"	"84 स्वाती साने
सातारा 020190"
"रोहिणी कोल्हेजी"	"175 पूजा साळुंखे
चंद्रपूर-745934"
"जितेंद्र कोल्हे"	"76/10 विकास सावंत
औरंगाबाद-462537"
"श्री कैलास देशमुख"	"84 अनिल जोशी
अमरावती-227946"
"पंकज कोल्हे"	"0 कुलकर्णी
बीड 804008"
"कुमारी मकरंद शिंदे"	"3 अनुष्का फडके
सांगली 783203"
"मीनल गायकवाड"	"949 कुलकर्णी
ठाणे-030222"
"कुमारी आशा जोशी"	"9256 अनिल चौगुले
जळगाव-241656"
"जितेंद्र साळुंखे"	"11/150 शिंदे
अहमदनगर 218439"
"श्रुती साळुंखेजी"	"88/49 मानसी जाधव
नवी मुंबई 651011"
"रोहित शिरसाट"	"165 जगताप
कोल्हापूर 845105"
"निखिल देशमुख"	"7 रीमा कुलकर्णी
कोल्हापूर 074036"
"पंकज अहेर"	"2/1 देशपांडे
यवतमाळ 692403"
"वैशाली देशमुखजी"	"65/5885 कांबळे
नवी मुंबई-002084"
"मीनल फडके"	"27/521 फडके
यवतमाळ 707750"
"मंगेश भोसलेजी"	"7 कुलकर्णी
जळगाव 352781"
"कुमारी समीर मोरे"	"9847 कांबळे
अहमदनगर 701250"
"दत्तात्रेय देशपांडेजी"	"66/2530 ठाकूर
वसई 725401"
"स्मिता चौगुलेजी"	"83/56 भूषण देशमुख
अहमदनगर 135698"
"संदीप आगरकरजी"	"251 कांबळे
सांगली-041221"
"श्रुती साळुंखे"	"324 श्रुती पाटील
मुंबई-511684"
"पल्लवी साळुंखे"	"88/47 चौगुले
औरंगाबाद 959898"
"श्री आकांक्षा फडके"	"0 कदम
नांदेड 421587"
"कुमारी हर्षदा जोशी"	"3/8 अशोक आगरकर
रत्नागिरी 626290"
"स्मिता कदम"	"353 कल्पना भोसले
कोल्हापूर-350637"
"मंगेश देशमुख"	"8/7 नेहा साळुंखे
नागपूर-020873"
"निखिल गवळीजी"	"54/644 जोशी
चंद्रपूर 178173"
"वैशाली मोरेजी"	"59 गौरव जोशी
सांगली 718698"
"श्रीमती दीपक देशपांडे"	"2 इशिता मोरे
पिंपरी-चिंचवड 722640"
"संदीप गवळी"	"92/541 हर्षद देशमुख
नांदेड-390167"
"प्रवीण ओकजी"	"40/7858 राहुल फडके
पुणे-867460"
"गौरव ओक"	"593 देशमुख
सातारा 887565"
"कुमारी संदीप भोसले"	"2/9 भूषण पवार
अमरावती-324608"
"अनिता कदमजी"	"184 मंगेश राऊत
सांगली-133775"
"प्रकाश शिरसाट"	"270 सावंत
अहमदनगर 880363"
"स्नेहा शिंदे"	"27 सचिन पाटील
नागपूर 611278"
"दत्तात्रेय राऊतजी"	"1319 आकाश पाटील
उस्मानाबाद 471727"
