"Aaron Ceulemans","Lisasteeg 10
6043 Tertre" 
"Koen Van Herck","Leoweg 265
4700
Vossem"
"Nicole Claes","Lynnbaan 8
3097 Waterloo"
"Mieke Goossens","Ronaldlaan 3
6849
Orp-le-Grand"
"Ronny Geeraerts","Björndreef 858
1039
Semmerzake"
"Liliane Dewitte","Rudiboulevard 7
9425 Senzeille"
"Emile Rosseel","Daisybaan 8
5932
Isières"
"Leo Van Hoof","Geertlaan 2
7578
Putte"
"Bram Wouters","Mauricelaan 8
6591 Pepingen"
"Pieter Aerts","Christiaanring 768
2452 Acosse"
"Brahim Reynders","Sonjasingel 465
4602
Comblain-au-Pont"
"Dirk Janssens","Yanastraat 229
5142
Mabompré"
"Jean Huyghe","Elisebaan 3
1935
Houthulst"
"Mieke Vercammen Peeters","Hildesingel 465
4521
Hees"
"Niels Van Roy Van den Broeck","Kaatring 495
5457
Waudrez"
"Ivan De Smedt Verheyen","Elsbaan 866
1486 Waltwilder"
"Lander Claeys","Sebastianboulevard 961
2000 Kwaadmechelen"
"Rita Desmedt","Greetring 09
4951
Lillo"
"Eddy Adams","Carineweg 29
1925 Bevercé"
"Guy Meert","Lisasingel 946
9217
Alken"
"Thijs Mortier","Christiaandreef 96
4729 Merkem"
"Luc Verhaeghe","Magdalenasingel 13
7320
Soumagne"
"Febe Vanhove Hermans","Marcstraat 1
7233 Klerken"
"Miel De Wilde","Gillesstraat 520
1784
Varsenare"
"Marc Vissers","Jandreef 629
5045 Thommen"
"Tim Vaes Smits","Dianelei 3
9688
Lettelingen"
"Alexandra Van Gorp","Dannysteeg 819
4797 Alveringem"
"Nicole Willems Thys","Christelweg 836
9302 Saint-Hubert"
"Ibrahim Dubois","Leonboulevard 38
2792
Moeskroen"
"Glenn Martens Hellemans","Mariannesingel 423
8682 Grand-Leez"
"Lukas Lambrecht","Elsring 24
5459
Brugelette"
"Christiane Vandenberghe","Peterstraat 56
3420
Nieuwenrode"
"Christiane Peeters","Daniëllaan 9
7288
Chairière"
"Miel Debruyne Stroobants","Christianaboulevard 3
6567
Jambes"
"Jan Andries","Lucsteeg 29
1565 Walshoutem"
"Francine Wuyts","Rubenring 204
5407 Lichtervelde"
"Lieven Wouters","Pieter-Janlei 285
8744
Herzele"
"Zoë Steyaert","Guidobaan 56
2595 Noirchain"
"Margaux De Vos","Martinehof 45
1852 Kaster"
"Hélène De Baere","Valériering 7
7767 Mere"
"Patrick De Weerdt","Elienpad 95
1522 Hever"
"Natalia Maertens","Muhammedlei 45
7408 Messelbroek"
"Jean Dierick","Annickweg 490
6319 Vielsalm"
"Miel Heremans","Kristoflei 4
5493 Jesseren"
"Yusuf Wouters","Evyboulevard 7
7551
Villers-la-Ville"
"Elza De Pauw","Kurtlaan 5
4932 Falmignoul"
"Patrick Rombouts","Guntherstraat 53
2426 Jamagne"
"Rita Yildirim","Carmenlei 5
8705
Serinchamps"
"Paul Vandenbussche","Moniquesteeg 00
4580 Berendrecht"
"Rita Vereecke","Thomassteeg 42
9996 Bioul"
"Luna Verbist","Elkepad 70
2179
Emptinne"
"Catherine De Bruyn","Jeanninedreef 9
4661 Grote-Spouwen"
"Sam Van Gestel","Lisetteweg 70
8458
Oupeye"
"Miel Horemans","Anniebaan 3
8483
Gentbrugge"
"Martina Huysmans","Ahmedsingel 787
7629 Ellikom"
"Yvonne Engelen Pauwels","Soniaboulevard 9
1472 Bertrix"
"Cécile Aerts","Bennyweg 209
6997 Waasten"
"Matthias Smet","Lilianahof 1
4586
Luingne"
"Elisabeth Moreels","Elkering 03
6085
Wuustwezel"
"Katrien Yilmaz","Davybaan 1
8700 Waarschoot"
"Ludo Lemmens","Willylaan 30
5061 Denderleeuw"
"Gerard De Bie","Roelandring 02
7047 Diest"
"Kevin Bauwens","Mireillesingel 0
1311 Henripont"
"Mike Beernaert","Nadinestraat 19
1991 Kuringen"
"Jan De Moor","Simonnepad 0
1357
Wayaux"
"Georges Demeyer","Yaraweg 477
1931
Eke"
"Fatima Van Roy Celis","Josephlaan 0
7356
Baugnies"
"Sonia Aerts","Ilsepad 8
4164 Berlingen"
"Marleen Declerck","Kevinbaan 89
8262 Saint-Léger"
"Katty Buysse","Philipweg 4
6997
Bailièvre"
"Wendy Declerck","Christineweg 53
7332 Arquennes"
"Victor De Clercq","Dannylei 55
1284 Alken"
"Marc Cuypers","Mohamedweg 4
8725
Chênée"
"Mike Desmet","Stevendreef 099
7255
Geraardsbergen"
"Oona Hendrickx","Jeansteeg 96
8282
Awenne"
"Thomas Dewaele","Elisabethlaan 477
4298 Overwinden"
"Gustaaf De Coster De Witte","Filipring 6
8409
Olen"
"Erna Tanghe","Nelehof 4
9726 Braine-le-Château"
"August Janssens","Ronaldlaan 759
5258 Nobressart"
"Willy Colpaert","Marie-Jeannelaan 108
6023
Ciplet"
"Seppe De Wolf","Anitabaan 449
7414 Lixhe"
"Freddy Claeys","Stefanring 02
4219
Melsbroek"
"Monika Mertens","Evidreef 71
5382 Haltinne"
"Mike Geens","Woutboulevard 7
3120
Meer"
"Björn Schoofs","Peterdreef 127
5172 Gros-Fays"
"Frederik Peeters","Bartsingel 400
4697 Abée"
"Louise Moons","Claudinering 454
1176
Houtaing"
"Viviane Cuypers","Mohamedpad 85
2026
Bray"
"Katrien De Wit","Marleendreef 7
4809 Cherain"
"Johan Van Belle","Arlettebaan 841
2759
Leuven"
"Arlette Vereecke","Farahpad 883
6875
Horrues"
"Ibrahim De Smet Vervaeke","Brahimsteeg 522
8081
Flémalle-Haute"
"Paul Parmentier","Laurasteeg 65
2621
Weismes"
"Mila Buysse","Ritaring 8
7332 Bovesse"
"Ivan Broeckx","Stevenhof 907
4965
Tongrinne"
"Veronique Govaerts","Joostboulevard 1
9138
Tielrode"
"Nathalie Maes Van Laer","Julieweg 460
3639 Sovet"
"Senne Lemmens","Elslaan 7
4907 Bouge"
"Victor Van Laere","Kristiaanlei 484
6675 Hechtel-Eksel"
"Britt Michiels","Angelolei 7
4596 Lens-Saint-Remy"
"Louis Diallo","Jolienlei 89
9934
Harzé"
"Nancy Dhondt","Christinedreef 6
4621
Howardries"
"Tom Claes","Christasingel 32
6361
Herent"
"Mila Christiaens","Magdalenaring 48
6917 Naninne"
"Anke Verhaeghe","Louisstraat 17
5606
Oppuurs"
"Viktor Baert","Marclei 238
4727
Werken"
"Sandra Raes","Angelasingel 426
4778 Omal"
"Patrick Debruyne","Merellaan 79
6967 Temse"
"Quinten Leemans","Lucdreef 14
3110 Itegem"
"Lauren Blomme","Peterdreef 9
8182
Fontenelle"
"Marleen Smolders","Helenasteeg 15
3824 Monceau-en-Ardenne"
"Helena Smets","Gabrielbaan 473
9528 Ertvelde"
"Marianne Steyaert","Adamlei 8
1436 Oostkerke-Diksmuide"
"Mila Saelens","Peggylaan 0
3294
Oreye"
"Wim Callewaert","Jolei 10
6216
Ledeberg"
"Zoë Verfaillie De Smedt","Stanboulevard 606
5641
Etterbeek"
"Olivier Lenaerts","Paulstraat 466
5983 Pont-à-Celles"
"Femke Roels Van Goethem","Gerdaring 666
2376 Buvingen"
"Gerda Van de Velde","Geertlei 03
6839
Cheratte"
"Siebe Leemans","Laurenslei 702
8496
Bizet"
"Karel Maes","Yvettebaan 198
4499
Nodebais"
"Filip Vergauwen","Ellenbaan 005
3829 Hodister"
"Irène Poppe","Amberring 4
3271
Meise"
"Milan Coppens Hanssens","Thorhof 084
7560 Vance"
"Pieter Engelen","Jonaslei 250
7590
Stembert"
"Brigitte Smeets","Fleurboulevard 9
8289
Aiseau-Presles"
"Arlette Matthys","Astridlei 3
3809
Kortenaken"
"Myriam Kenis Van Laere","Marie-Jeanneboulevard 4
6539 Grupont"
"Margaretha Janssens","Louisaweg 2
4065 Anderlecht"
"Philip Verhelst","Ludovicusbaan 04
3367
Sombreffe"
"Lindsay Buysse","Mathiasdreef 5
4054
Leupegem"
"Els Van den Broeck","Evelienboulevard 028
2583 Micheroux"
"Carine Declerck","Carolinelaan 2
7863 Rièzes"
"Milan De Pauw","Hannelorelei 666
3762
Oostakker"
"Annick Roels","Marijkesteeg 010
7331 Mussy-la-Ville"
"Theodoor De Cock","Mariehof 92
6823 Bailleul"
"Charlotte Simons","Dirkbaan 69
9750 Vollezele"
"Jonas Peeters","Raphaëlstraat 408
4130 Flône"
"Lenn Vanbrabant","Ritalei 9
5982 Marche-lez-Ecaussinnes"
"Oscar Goossens","Carinalei 4
9513
Merksplas"
"Guillaume Schepens","Mariastraat 06
1724
Gourdinne"
"Ruben Wouters","Karinesingel 0
7898 Bougnies"
"Peter Leys","Hermanstraat 2
5528
Geraardsbergen"
"Milan Pattyn","Annebaan 30
2708 Varendonk"
"Kevin Dubois","Alfonsweg 61
6641
Zulte"
"Rosa Verheyen","Sambaan 6
3406
Neerwaasten"
"Bo Van Laere","Dylanboulevard 291
7681 Dorinne"
"Annick De Keyser","Marcbaan 9
1356
Blankenberge"
"Anne-Marie Blomme","Francinestraat 90
8883 Deurne"
"Siebe Martens","Luciapad 01
1960
Fraire"
"Liam De Boeck","Johannahof 9
9382 Les Bulles"
"Geert Vanneste","Nadinepad 266
8269 Beringen"
"Elisa Van den Berghe","Karensingel 479
2102
Vance"
"Mira De Cock","Jolienboulevard 352
5730 Hannut"
"Kurt Leys","Marinastraat 414
4469
Poeke"
"Bart Bosmans","Ianbaan 691
4929
Sankt-Vith"
"Thomas De Clercq","Mariapad 8
4537 Marchin"
"Freddy Reynaert","Peterweg 66
4194
Roclenge-sur-Geer"
"Cornelis Van den Broeck De Winter","Annickbaan 0
1319
Heppignies"
"Albert Coppens","Glennsingel 127
2497 Eben-Emael"
"Sam Claessens","Anitasteeg 560
7748 Boussoit"
"Anja Hoste","Toonsingel 4
5706 Sint-Amands"
"Robbe Vermeiren Bauwens","Nicolei 4
1504
Haillot"
"Mohamad Willems Roelandt","Angeloweg 187
1423 Bleid"
"Olivia De Bondt","Warrering 6
5278 Buissenal"
"Thomas Mertens","Etiennesteeg 21
1474
Velm"
"Ronald Rutten","Adrianring 9
8318
Bonneville"
"Ronny Stroobants","Peterring 346
4305 Awirs"
"Eline Aerts","Karenlei 66
9127 Obigies"
"Olga Lammens","Daveboulevard 007
4948 Hognoul"
"Daniël Baeten","Petrusstraat 7
2757 Mehaigne"
"Marie Huysmans","Annestraat 76
3242
Lissewege"
"Isabelle Slegers","Dimitriring 168
4456
Sint-Eloois-Winkel"
"Mohamed De Bruyn","Janaboulevard 0
8930 Marchovelette"
"Chris Vereecke","Andreabaan 399
3121 Jurbise"
"Nathan De Block","Jessiering 1
4224
Knesselare"
"Luc Luyten","Yvettesingel 186
2629 Beloeil"
"Ahmad De Meyer","Johnnyhof 053
7662
Overhespen"
"Rita Lambrechts","Lucsteeg 907
5298 Rotheux-Rimière"
"Josée Debruyne","Mariering 0
7708
Chapelle-à-Wattines"
"Godelieve Van Praet Dockx","Lotteweg 35
4077 Hees"
"Zoë De Winter","Eddydreef 92
2423 Dendermonde"
"Albert Declercq Peeters","Joannalaan 755
1844 Gembloux"
"Mohamed Huyghe","Camillepad 9
4615 Buzet"
"Simon Willems","Gerardusstraat 1
6637
Grivegnée"
"Hilda Govaerts","Elifring 5
1098
Eynatten"
"Veerle De Coninck","Yvonnebaan 8
4841
Nimy"
"Maria Blondeel","Georgettehof 59
1731 Bersillies-l'Abbaye"
"Gisèle Stevens","Marialei 9
6721 Kinrooi"
"Erwin Thijs","Moniquelei 0
6323 Ertvelde"
"Stefanie Coppens","Kimlaan 8
3251 Hamoir"
"Sylvia Geens","Samhof 56
4873
Aisemont"
"Joost Van Hulle Baetens","Dieterstraat 100
4436
Landelies"
"Mohamed Steyaert","Juliastraat 4
4402
Loksbergen"
"Luka Goossens","Karinring 13
9014 Ave-et-Auffe"
"Marlies Aerts","Nancybaan 3
4181 Montleban"
"Bernard De Backer","Veerledreef 6
9563
Taviers"
"Alina Helsen","Robertsingel 8
7867
Tavigny"
"Kim Heylen","Daanlei 3
1735
Pousset"
"Nadia Baeten","Marleenlei 812
6579
Wodecq"
"Lukas Goris","Sandrasteeg 91
6535 Gouvy"
"Amelia Geerts","Brentboulevard 0
9061
Feneur"
"Amber De Vos","Inelei 76
5904 Heuvelland"
"Mohamed Van Dyck","Marcelhof 486
6100
Moorsele"
"Jenny Heylen","Augusthof 1
9938 Bruyelle"
"Flor Rombouts","Mauroweg 566
7327 Ramelot"
"Peter De Ryck Beernaert","Brigitteboulevard 72
5242 Vaux-Chavanne"
"Romain Van Hulle","Martinedreef 75
4018 Montignies-lez-Lens"
"Dries Vercammen","Thibolei 47
3259
Sivry-Rance"
"Hamza Verfaillie","Léonboulevard 1
5777 Roesbrugge-Haringe"
"Miguel Wouters","Simonlaan 55
6094 Asse"
"Peter Stevens","Thibaulthof 3
2865 Houdemont"
"Oscar Vermeulen","Jensstraat 63
2924
Drieslinter"
"Mohamed Verstraeten Coenen","Saraboulevard 58
4552
Bellem"
"Francine Vermeiren","Ingesingel 3
1872 Paturages"
"Omer Smeets","Augustaboulevard 5
7123 Montbliart"
"Magda D'hondt","Gustaafpad 621
3837 Hombourg"
"Roger Luyten","Lorenzoring 024
8695 Eksel"
"Bernard Vanhove","Jurgenbaan 563
9248 Ligne"
"Alexander De Smedt Willems","Johannasingel 6
3641 Ohain"
"Martine Vandamme","Dieterhof 3
5866 Linsmeau"
"Rita Saelens","Rubenlei 8
1273 Nossegem"
"Christoph Polfliet","Matthiasweg 8
9263
Polleur"
"Mohammad De Bock","Suzanneweg 1
9773 Borchtlombeek"
"Mathijs Roelandt","Deniselei 895
5355 Waasmunster"
"Pieter-Jan De Witte","Delphinehof 6
5519 Falmignoul"
"Nathan Van Gestel","Friedapad 527
5925 Hives"
"Heidi Knockaert","Loreweg 74
3181 Ocquier"
"Jacobus Dhondt","Eduardboulevard 12
6170
Erpe"
"Marina Bollen","Timhof 27
4395
Howardries"
"Vanessa De Smet","Annabaan 490
1716
Gentbrugge"
"Sam Raes","Kattylei 03
8767 Thieu"
"Lara Van den Bossche","Juliesingel 47
5641 Hofstade"
"Mohammed Van Raemdonck","Myriamsteeg 0
1068 Assebroek"
"Delphine Beckers","Raymondstraat 56
3332
Heks"
"Christine Vanderlinden","Ronaldlei 920
5905
Geluwe"
"Gaëlle Declerck","Anne-Marieweg 864
1174
Bovenistier"
"Lucienne Deckers","Amberweg 74
4381
Ieper"
"Veerle Vandenbroucke","Anthonysingel 14
2790
Gougnies"
"Joseph Vansteenkiste","Lilianestraat 84
5556 Mormont"
"Annita Maes","Françoispad 79
3417
Sensenruth"
"Sophia Verbeeck","Nicolelei 421
5599
Mariembourg"
"Christine Coppens","Jimmyweg 92
5727
Incourt"
"Monica Dewulf","Ritalaan 478
5630
Courcelles"
"Nick De Coninck","Helenalei 61
4675
Jandrain-Jandrenouille"
"Pieter Mortier Devos","Karendreef 94
6926
Nokere"
"Henri De Backer","Dinabaan 0
6815 Eke"
"Patrick Bosmans","Margotstraat 7
6151 Beernem"
"Julie Declercq","Ingridboulevard 41
5338 Montroeul-au-Bois"
"Hubert Coppens","Johanweg 938
6818 Komen-Waasten"
"Lieven Peeters","Angelolaan 018
2312 Méan"
"Tine Hermans Peeters","Ferdinandring 291
4766
Aywaille"
"Hilda Thys","Cynthiabaan 191
1388 Lebbeke"
"Monica Lambrechts","Henkhof 7
8450
Hallaar"
"Glenn Verstraeten","Mariaboulevard 552
5490 Chapon-Seraing"
"Jeanine Verhelst","Gabrielleweg 0
1191
Maaseik"
"Miguel Lievens","Raniasingel 2
1532 Buvrinnes"
"Patrick Goossens","Christasteeg 93
2257
Erwetegem"
"Celine Timmerman","Ronnysingel 0
9230
Saint-Gérard"
"Anouk Bosmans","Elliering 8
3434
Lendelede"
"Patrick Colman","Christianelei 5
8102
Heppen"
"Nadia Demeyer","Guidoring 61
7545
Bienne-lez-Happart"
"Freddy Boon Van den Brande","Febebaan 73
4622
Gaurain-Ramecroix"
"Monica Vinck","Bennysingel 7
7551 Hellebecq"
"Rita Jonckheere","Marieweg 15
1071 Solre-Saint-Géry"
"Léon Cools","Arthurstraat 5
2462
Vyle-et-Tharoul"
"Tessa Van den Bosch","Mariapad 17
2497 Moerbeke-Waas"
"Fleur De Rycke","Gerthof 3
3491
Wangenies"
"Joanna Vanneste","Annalaan 611
2851
Bihain"
"Josepha Moreels","Johannesweg 03
6929
Boneffe"
"Jeroen Vos","Guntersteeg 325
1459 Nethen"
"Debby Vissers","Thomasboulevard 055
9669 Opglabbeek"
"Jolien De Ridder","Hugosteeg 6
5824 Heule"
"Monica Willems","Friedadreef 79
4280
Wéris"
"Monique Peeters","Sofieboulevard 97
7170
Cerfontaine"
"Femke Stevens","Lowiepad 937
7735
Borlo"
"Martine Vercruysse Schepers","Frederiksingel 182
2730
Hannêche"
"Petra De Meester","Patrickring 902
3324
Houdremont"
"Amélie Vanderheyden","Marleenpad 45
8877 Lotenhulle"
"Vince Van de Velde","Laurenthof 179
3711 Rupelmonde"
"Maria Gevaert","Jenssingel 9
3757
Péronnes-lez-Binche"
"Henri Peeters Tack","Rafstraat 2
7053 Waanrode"
"Manon Huybrechts","Mariaweg 8
8298
Marchin"
"Monique Dierickx","Albertlaan 23
5270
Kozen"
"Yusuf Martens","Kristienlaan 0
2047
Tremelo"
"Lore Carlier","Dannydreef 023
4096 Hoboken"
"Stijn Leys","Ernapad 1
1420
Borchtlombeek"
"Sylvia Van Damme","Alfonsring 38
1866
Huy"
"Ann Roels Buelens","Veraboulevard 8
5777 Sart-Dames-Avelines"
"Edmond Adriaensen","Jessylaan 9
8258 Nismes"
"Audrey Stevens","Hermanlaan 17
9677
Vogenée"
"Willem Renders","Fernandboulevard 8
7433
Mettekoven"
"Rayan Seghers","Gerdaweg 5
8877 Neervelp"
"Monique Martens","Jaakweg 31
7280 Hollange"
"Christine Smets","Silkepad 509
9105 Mirwart"
"Aline Vermeulen","Geertsteeg 4
1367
Wanne"
"Annie Rutten","Victoriastraat 73
1910
Aische-en-Refail"
"Thijs Claeys","Sandersingel 6
6458 Zandhoven"
"Maria Claessens","Patriciastraat 8
3127 Remagne"
"Liesbeth Ceulemans","Arthursingel 98
9428
Sainte-Marie-Chevigny"
"Diane Nys Vanderheyden","Vanessapad 7
2262
Manhay"
"Louise Lambert","Stefaanring 7
5613
Schalkhoven"
"Jelle Vercammen","Maartenstraat 561
1527
Viroinval"
"Monique Mertens","Christelweg 10
9739 Grand-Hallet"
"Lucas De Bruyne","Jacquelinering 78
5611
Pontillas"
"John De Roover","Koenpad 925
8460
Martenslinde"
"Anne Vandenbussche","Anjalaan 5
6815 Elverdinge"
"Julia Van den Bossche","Jaydensingel 0
6755 Oppuurs"
"Sandra De Bruyn Steyaert","Patrickhof 9
3835
Soiron"
"Bjorn Verhoeven","Alexisbaan 434
5587
Schalkhoven"
"Alexander Deprez","Stijnstraat 10
1847 Rèves"
"Urbain Boeckx","Lucring 3
4181 Aische-en-Refail"
"Vicky Holvoet","Isabeldreef 502
4592
Elversele"
"Monique Moonen","Nathaliedreef 52
4038 Mazy"
"Wouter Van Acker","Sofialei 066
1738 Durnal"
"Cindy Huyghe","Charlottehof 5
1702
Moresnet"
"Nina Vandeputte","Pieter-Jansingel 85
5098 Koksijde"
"Mia Neven","Lucstraat 799
4125 Wange"
"Tim Vandeputte","Mohamedhof 1
4284
Genoelselderen"
"Marc Van Gorp","Kirstenboulevard 7
1002 Hour"
"Nico Mahieu","Josephboulevard 49
3694
Vyle-et-Tharoul"
"Lea Cools","Mariabaan 833
7529 Gijverinkhove"
"Sara Claes Pauwels","Alfonsweg 05
3508 Slins"
"Monique Simons","Lucienbaan 210
5164
Sint-Lievens-Esse"
"Christiane Tanghe","Anniesteeg 12
8185
Villers-la-Tour"
"Ayoub Lemmens","Elisabethring 19
7013 Sint-Huibrechts-Lille"
"Marleen Mortier","Martijnsteeg 4
9141 Meldert"
"Dirk Janssens","Martinelei 4
7469
Courcelles"
"Philippe Lievens","Jurgenstraat 6
4721 Rumillies"
"Nadia Janssens","Piotrlaan 462
1155 Surice"
"Jelle Janssens","Jeroenpad 8
5591 Magnée"
"Lukas Boon","Moniquering 16
1456
Vorselaar"
"Louis Dhondt","Krislaan 6
2728
Poperinge"
"Monique Van de Velde","Brigittalaan 385
2943 Mellier"
"Thor Vervaet","Freddylaan 46
7636
Neerijse"
"Leen Poelmans","Liesbethboulevard 196
8345
Zelzate"
"Walter Beckers","Juliaweg 05
1791 Sint-Jacobs-Kapelle"
"Melissa De Waele","Yolandalaan 9
9369
Houthalen"
"Luc Maes","Elisabethbaan 06
7396 Jamiolle"
"Maria Van de Voorde","Cindyweg 181
5262 Hatrival"
"Els Michiels","Patrickboulevard 17
6359 Molenbeersel"
"Guido Jacobs","Nicolasboulevard 062
5615
Dinant"
"Eddy Liekens","Elinestraat 50
2096
Burg-Reuland"
"Monique Vanhoutte","Ingridlaan 484
2951 Floriffoux"
"Maria Van Loock","Frankdreef 7
5594 Gros-Fays"
"Rosalie Desmet","Annielaan 78
1379 Nettinne"
"Bert Goossens","Véroniquedreef 6
1109
Beervelde"
"Ellen Mertens Vrancken","Peggyweg 906
5061 Deftinge"
"Vincent De Waele","Arnering 69
2124
Vlamertinge"
"Anke Vermeiren","Jokesingel 3
8482
Eppegem"
"Christoph Matthys","Chantallei 600
1269
Fauroeulx"
"Patricia Vanhove","Ingridring 7
6137
Eynatten"
"Anja Maes Dubois","Kevinboulevard 4
3201 Ligne"
"Monique Verboven","Lodewijklei 30
9729
Gontrode"
"Antoon Geerts","Femkering 173
1616 Grand-Axhe"
"Rebecca Smits","Marcstraat 328
7479
Landskouter"
"Greet Swinnen","Etiennebaan 64
2930
Villers-le-Peuplier"
"Frans Cornelis","Isabelhof 2
8827 Beaumont"
"Paul Sels Cools","Bettypad 84
8771 Noville-les-Bois"
"Xavier Engels","Raphaëllaan 22
1853 Grote-Spouwen"
"Sara Depuydt","Josephweg 271
7949
Wetteren"
"Henri Simons","Louisring 512
5478 Stave"
"Josepha Declercq","Christophesingel 48
4109 Falisolle"
"Monique Yildirim","Juliastraat 2
3528
Ecaussinnes-Lalaing"
"Tuur Dejonghe","Zoësingel 61
5881
Voeren"
"Yannick Adriaensen","Mohamedbaan 30
4118 Hechtel"
"Thibault Van Dessel","Sammydreef 7
3971 Froyennes"
"Evi Cornelis","Mariepad 38
7196
Wattripont"
"Marleen Govaerts","Jeanlaan 76
6987 Haacht"
"Timothy Dewitte","Maximering 291
2025
Vilvoorde"
"Jan Swinnen","Ingridlaan 12
9543
Erondegem"
"Herman Verstraeten","Bobdreef 63
3923
Morhet"
"Alicia Claes","Lydiadreef 75
9667
Villers-le-Peuplier"
"Mustafa Janssens","Willybaan 6
2043
Overhespen"
"Marc Buelens","Irènedreef 5
4579 Elewijt"
"Natasja Breugelmans","Johnnypad 394
7211
Beffe"
"Dorien Aerts","Ambersingel 97
1754
Ebly"
"Godelieve Janssens","Sarahstraat 125
5630
Melsele"
"Stef Van Rompaey Heylen","Liamstraat 044
6769 Vlissegem"
"Karin Smets","Daniëlhof 3
3277
Ivoz-Ramet"
"Jacques Nuyts","Gregoryhof 915
6453 Doische"
"Emilia Verheyden","Roelandpad 25
8793 Lompret"
"Luc De Muynck","Guyweg 56
9084 Balâtre"
"Mustafa Smets","Maudring 404
2751 Ruette"
"Anita Claes","Jolienweg 750
8705
Kozen"
"Mohamed Dekeyser","Jonasweg 02
8451 Oombergen"
"Nathan Goossens","Idalaan 094
3618
Roksem"
"Elias Pauwels","Rogersteeg 0
9123
Hives"
"Jacques Hermans","Luciadreef 5
4369
Berlare"
"Anaïs De Schrijver","Ceciliasteeg 07
2499
Kinrooi"
"Guy Janssens Dierick","Ronyring 8
3273
Sainte-Marie-Chevigny"
"Yara Merckx","Johnnyweg 278
5973
Neufchâteau"
"Sara Degroote","Annadreef 95
6635 Aywaille"
"Myriam Huybrechts","Davydreef 33
5551
Jette"
"Mohammed Houben","Christianring 515
7404 Rosières"
"Bjorn Wynants","Jacobuslei 731
5181
Ernonheid"
"Fien Verbeke","Evabaan 347
1566
Assesse"
"Noëlla Verhaegen Thijs","Leasingel 4
4736
Bleid"
"Dominique Pieters","Rachelboulevard 9
8671 Zoutenaaie"
