"Aaron Bruneel","Mauricesteeg 94
2260 Rijkhoven" 
"Elly De Witte","Lindadreef 122
2651 Ekeren"
"Bart Driesen","Peterhof 782
7679
Hollogne-sur-Geer"
"Nancy Geerts","Elsweg 2
7919
Sint-Agatha-Berchem"
"Julie Claes","Guidohof 9
8605
Jurbise"
"Kristof Goris","Svensteeg 6
7275 Neerpelt"
"Robin De Smet Van Dijck","Francishof 2
1687 Fays-les-Veneurs"
"Hamza Verhaegen","Mariaweg 144
9634 Ophoven"
"Annick Depoorter","Margaretaweg 259
6893 Nokere"
"Christa Ali","Brunodreef 34
3995 Fumal"
"Tibo Moonen","Andrélei 653
9344
Heinsch"
"Marina Vercruysse Baeyens","Malikabaan 413
4548
Ham"
"Anneke De Vos","Paulsteeg 7
9673
Wierde"
"Nancy Goossens","Pauliensteeg 99
4924 Lennik"
"Yannick Christiaens","Guillaumeboulevard 5
7066 Baillamont"
"Alexander Vanderheyden","Silkeweg 193
6265
Vaux-Chavanne"
"Sam Meert","Maximeweg 575
8025 Bevercé"
"Olivia Jacobs","Svenring 481
3649 Affligem"
"Fatima Verstraeten","Rubenlei 759
1450 Machelen"
"Jacqueline Roosen","Robinsteeg 591
2389 Bruyelle"
"Eveline Boon","Jacqueslaan 3
7343 Mazy"
"Tijs Dewilde","Larabaan 7
7719 Ophasselt"
"Marleen Moreels","Isabellestraat 72
4641 Kasterlee"
"Nancy Lauwers","Pietboulevard 563
2455
Komen-Waasten"
"Myriam De Vos","Antoniuslei 72
2827 Hantes-Wihéries"
"Julie Peeters","Danielboulevard 87
8385 Mellet"
"Lars Huysmans Vervaet","Francislaan 262
2463 Moorsele"
"Sonja Vervaeke","Sarahpad 10
2076
Ellezelles"
"Koenraad Devos","Rolandlei 266
1871 Ezemaal"
"Gerard Mertens","Mohamedhof 9
6795 Erwetegem"
"Tom De Vos","Walterhof 3
3445
Geraardsbergen"
"Astrid De Smet","Katjaweg 365
1710 Belsele"
"Claudine Van Dooren","Frankboulevard 85
7108 Molenbeersel"
"Nancy Thijs","Lindapad 791
1507 Willaupuis"
"Louise Brouwers","Nicodreef 78
3224
Sint-Jan-in-Eremo"
"Ilse Verlinden","Lucasdreef 31
8390 Vezin"
"Ayse De Smet","Stijnsingel 7
8784 Thorembais-Saint-Trond"
"Julia Dillen","Thomasring 2
5240 Arquennes"
"Marie-Christine Boeckx Vrancken","Anndreef 07
1277 Bellevaux"
"Marcel Vandenberghe","Jacquessingel 45
9647 Kachtem"
"Noël Mestdagh","Sergelaan 322
3755
Thys"
"Sabine Rombaut","Elinelei 5
5950 Vloesberg"
"Irène Verhelst","Lucpad 346
7957 Stuivekenskerke"
"Nancy Thomas","Vincentbaan 139
1305
Plancenoit"
"Jill Van Dyck","Leolaan 5
8050 Steenhuffel"
"Mark Callens","Katrienpad 99
3690 Macquenoise"
"Elsa Rombouts","Elsbaan 37
6456
Péronnes-lez-Binche"
"Mathis De Coninck Hendrickx","Ghislainsingel 0
1134 Walem"
"Marie Decoster","Rosahof 158
5775
Wespelaar"
"Anthony Mahieu Van der Linden","Janlaan 4
5927 Ramillies-Offus"
"Willy Van Looy","Erikhof 4
5055 Leugnies"
"Dirk Poelmans","Ceciliaweg 787
1598 Werbomont"
"Maria Slegers","Willypad 7
6229
Jabbeke"
"Nancy Vanhee","Daniëldreef 2
8257
Ronsele"
"Jan Baeyens","Alexanderpad 537
9087 Beersel"
"Tom Aerts Baert","Rosetteboulevard 9
9058 Henis"
"Marie-Claire Berghmans","Magdalenapad 8
2166
Voorde"
"René De Smet","Edmondstraat 074
5577
Nettinne"
"Eric Jacobs","Brianlaan 9
3113 Neder-over-Heembeek"
"Isabelle De Keyser","Bennyweg 7
7310 Tintigny"
"Roger Van de Walle","Annastraat 4
2495
Zandbergen"
"Christine Goethals","Christinehof 4
8652 Haltinne"
"Magda Pieters","Mohamedlei 9
7892 Grandville"
"Naomi Beckers","Jeroenboulevard 634
1227 Nijlen"
"Liam Peeters","Lucbaan 787
3826
Schelle"
"Evelyne Gielen","Hildesteeg 5
8426
Quévy-le-Petit"
"Glenn De Bruycker","Jeanring 3
1503
Zarren"
"Walter Dupont","Sarahbaan 079
2130 Ohey"
"Kristina Bouckaert","Hendrikweg 000
8066
Vaalbeek"
"Tom Martens","Mathisring 02
2519
Sautin"
"Roger Aerts","Anthonyhof 8
8007 Mehaigne"
"Nicole Van den Brande","Chrisbaan 99
3486
Steenhuize-Wijnhuize"
"Sandra Berghmans","Nicopad 348
2913
Agimont"
"Naomi Swennen","Chantallaan 55
9694 Omezée"
"Femke Vanbrabant","Dianaboulevard 65
5181 Conneux"
"Mohamed Goethals","Nickpad 6
5448 Dikkelvenne"
"David De Laet","Pieterlaan 8
9458
Serinchamps"
"Simon Cuypers","Paullei 92
8344 Hooglede"
"Casper Van der Linden","Arnoldlei 7
9955
Balegem"
"Ellen Verstraeten","Franksteeg 3
6516 Lichtervelde"
"Quinten Cools","Roossteeg 3
2993 Hombourg"
"Jason Pollet","Dirkhof 00
5195
Willemeau"
"Louis Vanhove","Eliasbaan 206
4649 Willebroek"
"Natacha Willems","Laraweg 59
5971
Rumst"
"Roger Carlier","Remipad 56
5740 Jallet"
"Jan De Bock","Giuseppelaan 82
2487 Chapelle-à-Oie"
"Gerda Van Damme","Marleenboulevard 546
3251
Ganshoren"
"Davy Van Dyck","Mariaboulevard 7
3687
Bovigny"
"Adam Samyn","Theodreef 9
1094
Meyerode"
"Ilyas Pauwels","Ritasteeg 127
3135
Overrepen"
"Tess Wauters","Lisettesingel 3
8858
Xhoris"
"Ronald De Coninck","Pierresingel 57
8184
Waasmont"
"Christine Sabbe","Janlaan 87
7886 Elouges"
"Nathalie Bogaert","Willylei 1
3651 Herbeumont"
"Tom Thijs Schoofs","Edgardsingel 685
8779 Montignies-Saint-Christophe"
"Bram Boone","Gretadreef 6
3223 Erbisoeul"
"Nicole Lammens","Anniebaan 02
5214
Thimister"
"Nadia Breugelmans De Cock","Rebeccaboulevard 6
8786 Tiegem"
"Justine Brouwers","Veroniquepad 217
6290
Veltem-Beisem"
"Marleen Thijs","Godelievasingel 27
3616
Hannêche"
"Lena Verhaeghe","Filiphof 37
8993
Eke"
"Leonie Verstraete","Lauradreef 577
9916
Onze-Lieve-Vrouw-Waver"
"Francine De Groote","Hermanring 95
2045
Villers-le-Bouillet"
"Nathalie Colpaert","Geertsteeg 8
3341 Kieldrecht"
"Hugo Horemans","Hasanpad 153
7612
Morlanwelz"
"Yara De Coninck","Marielei 84
1820 Zemst"
"Nathalie Janssen","Bramboulevard 4
5686 Vielsalm"
"Nick Van Herck","Philippering 1
3961 Magnée"
"Evelyn Van Praet Willems","Albertsingel 23
5386
Wegnez"
"Carl Van Looveren","Evelienbaan 723
2605 Franc-Waret"
"Marc Gielen","Marcdreef 7
8063 Dion"
"Nina Roels","Joëlsingel 9
3576
Les Hayons"
"Ella De Bondt","Célinehof 19
3259
Sart-Dames-Avelines"
"Nathalie De Maeyer","Corneliaboulevard 21
7630 Les Bons"
"Patrick Van den Bossche","Eliasstraat 8
3503 Robechies"
"Jan Smets","Cecilelaan 038
9882
Munsterbilzen"
"Omer Liekens","Moniquelei 6
3070 Borsbeke"
"Paul Claeys","Aichapad 371
6879 Teuven"
"Florence Yilmaz","Laurenlei 71
1958 Lobbes"
"Sara De Wolf","Katolei 989
7154
Mont-de-l'Enclus"
"Jesse De Clerck","Veerlestraat 8
4017 Barry"
"Hilda Rutten","Pierrestraat 401
5450
Thuillies"
"Arne Pauwels","Lucweg 27
4726
Gierle"
"Nathalie Lemmens","Denisesteeg 24
5175
Loenhout"
"René Claeys","Ingedreef 111
8364 Leernes"
"Gilbert Tielemans","Stellahof 737
6110
Daussois"
"Jeanine Janssen","Lieselothof 96
9407
Sinaai-Waas"
"Sonja Broeckx","Lucasdreef 61
1912
Outrelouxhe"
"Rachid De Keyser","Ellensingel 184
5045
Zoutenaaie"
"Ellen Van den Bosch","Ludolei 71
7733 Ocquier"
"Erwin Breugelmans","Rogersteeg 797
2146 Overijse"
"Sandra Timmermans","Benoitbaan 51
3068 Glabbeek-Zuurbemde"
"Alexandre Verlinden","Geertboulevard 283
7020 Ligney"
"Nathalie Moens","Stijnpad 9
4645 Evere"
"Daniël Bracke","Mohamedbaan 847
1903
Oelegem"
"Brecht Lenaerts","Mariedreef 565
7079 Schelderode"
"Linda Vercammen","Silkelei 7
4495 Sint-Martens-Voeren"
"Mathias Bervoets Verhaeghe","Edwardweg 4
4850
Schalkhoven"
"Henri Dewulf","Aarondreef 990
2023 Noorderwijk"
"Maria Van den Berghe","Alainlaan 6
2947 Sint-Amandsberg"
"Delphine Geeraerts","Vivianepad 9
6027
Libin"
"Paul Van Looveren","Mariahof 22
4250
Ciney"
"Julien Daems","Friedalei 0
4919
Aubel"
"Nathalie Vermeylen","Andréweg 02
6479
Petit-Thier"
"Sander Verhaegen","Oscarring 553
7566 Fronville"
"Lieze Boone","Zakariastraat 297
8522
Bekkerzeel"
"Anne Goyvaerts","Melissaboulevard 6
9178
Ormeignies"
"Maria De Wolf","Arnolaan 063
6664 La-Roche-en-Ardenne"
"Nicolas Van den Berghe","Kimlei 25
9895
Libramont-Chevigny"
"Maria Timmermans Jansen","Maartenboulevard 3
4345 Dongelberg"
"Jan De Coninck","Edwinstraat 525
2708 Hermalle-sous-Huy"
"Anaïs Wuyts","Lodelei 033
2153 La Louvière"
"Elisabeth Van Acker","Godelievalaan 1
5300 Testelt"
"Nathan Goyvaerts","Andrébaan 99
8784 Marcourt"
"René Vandendriessche","Brigitteboulevard 1
8868
Huise"
"Mats Roels","Lucasweg 7
4114 Dworp"
"Hannelore Janssens","Nadiahof 557
6002 Havinnes"
"Elisabeth Hermans","Aymandreef 945
6245
Sint-Joris-Nieuwpoort"
"Christiana De Bruyne","Anaring 23
3153
Orp-Jauche"
"Lieven Pieters","Christinestraat 18
5063 Terwagne"
"Jean-Claude Martens","Frederiksteeg 1
8762 Lillois-Witterzée"
"Melissa Bosmans Jansen","Soniaring 297
1317 Roeselare"
"Steven Devos","Marclei 7
4200 Ranst"
"Nathan Jacobs","Danielstraat 274
9919 Termes"
"David Smet","Jeanbaan 659
1852
Eine"
"Bruno Sterckx","Wendyring 49
8191 Houwaart"
"Dirk Declerck","Jeannineboulevard 56
2449 Koolkerke"
"Godelieve Janssens","Jonashof 262
9364
Daknam"
"Bram Matthys","Danieldreef 176
6627
Ruddervoorde"
"Marcel Pauwels","Marclaan 2
7392 Ertvelde"
"Lieve Hendrickx Heremans","Bettylaan 395
9666
Herzele"
"Sara Janssen","Johansteeg 0
7120
Meerbeke"
"Alice Van Driessche","Daniellepad 05
3464
Houdeng-Goegnies"
"Nathan Mortier","Felixpad 42
9757 Martouzin-Neuville"
"Stella De Jonghe","Dieterpad 9
7938
Vollezele"
"Inge Pauwels","Marleenweg 9
6156 Halle"
"Denise Cuypers","Rudystraat 090
4848 Passendale"
"Rita Jansen","Anniehof 621
4706 Geluwe"
"Anke Geeraerts","Johanring 3
2835 Eynatten"
"Daniel Van Genechten","Sarahlaan 97
6273
Poucet"
"Veerle Braem","Josephuslaan 03
6797 Oostkerke-Diksmuide"
"Tom De Wilde","Annadreef 59
7808
Aiseau-Presles"
"Sylvie Rogiers Voet","Christinepad 85
6627
Robelmont"
"Nele Vanbrabant","Eliasring 85
6383
Biercée"
"Mohamed Bruneel","Lienweg 19
4153
Vlamertinge"
"Jozef Van Driessche","Jeanninebaan 318
5239 Leval-Trahegnies"
"Cecile Baele","Wilfriedlei 419
2268
Orgeo"
"Patrick Andries","Roelsingel 53
8369
Tournai"
"Annick Peeters","Simonbaan 403
1915
Arbre"
"Loïc Kaya","Bramsteeg 999
6224
Veulen"
"Emile Goris","Juulbaan 599
4441
Fauvillers"
"David Geeraerts","Annysteeg 80
8846 Schendelbeke"
"Hans Everaert","Walterlei 62
8724
Mehaigne"
"Nick Devos Maes","Quintenhof 4
4972
Tielt"
"Dirk Van Daele","Rosettesteeg 72
6268 Moignelée"
"Joren Blomme Lemmens","Hugobaan 494
3248
Betekom"
"Simonne Devos","Oliviersteeg 394
7979 Meerbeek"
"Cecilia Verheyden","Willyweg 835
1657 Proven"
"Juul Vermeir","Jeroenbaan 02
2493
Sart-Eustache"
"Kamiel Van Hove","Stijnsteeg 5
1204 Forest"
"Paul Vervoort","Sabinebaan 0
9466
Brussel"
"Angela De Smedt Baert","Cédricbaan 97
9066 Komen-Waasten"
"Yolande Claes Goossens","Liamboulevard 54
5597 Housse"
"Nick Dupont","Eriklei 7
7016 Heusden-Zolder"
"Gert Peeters","Johanboulevard 8
5364 Opwijk"
"Roland Van Assche","Karinbaan 25
1282
Dampicourt"
"Astrid Singh","Martinebaan 51
6406 Merendree"
"Patrick Van Dyck","Chantalpad 766
2462 Darion"
"Frederik Van Daele","Marcboulevard 8
9631
Essen"
"Olga Rogiers","Stefaniering 3
3932
Groot-Bijgaarden"
"Wesley Dewulf","Marinalaan 543
4597 Vitrival"
"Arthur Beckers","Kimberleypad 401
1526 Outer"
"Emma De Weerdt","Omarbaan 52
5252 Schepdaal"
"Nick Jacobs","Irenasteeg 63
6880 Sart-Custinne"
"Evy Verdonck","Hildeweg 567
1795
Liernu"
"Freddy Thijs","Mariedreef 41
3916
Ransart"
"Maria Michiels","Maximlaan 084
8898
Sint-Kruis-Winkel"
"Felix De Coster","Vivianepad 1
2532 Gérouville"
"Frank Bauwens","Aaronring 27
7108 Merkem"
"Joannes Verlinden Neyens","Ayselei 05
2403 Vogenée"
"Sabine Mertens","Jarnobaan 58
8355
Bruyelle"
"Ella Thys","Louisstraat 071
7184
Stoumont"
"Carina Janssens Verheyen","Wardstraat 1
4783
Thynes"
"Nick Slegers","Ritaboulevard 762
6074 Longvilly"
"Marcella Smet","Carinehof 4
4775 Lamine"
"Kelly Meersman","Bennydreef 11
2859
De Pinte"
"Roger Van Gestel","Christofhof 773
2124
Saint-Aubin"
"Senne Janssens","Stevestraat 56
4320
Gors-Opleeuw"
"Anny Van Hecke","Hermanhof 03
7375
Lanaken"
"Sofia Dekeyser","Yvonnelei 14
2179 Oostham"
"Hilde De Meyer Vandevelde","Kellysingel 3
9064 Ciergnon"
"Wilfried Torfs","Brunoboulevard 7
8461 Sint-Amands"
"Walter Demeulenaere","Janlaan 1
6745
Cortil-Noirmont"
"Nick Wauters","Jorenring 490
8032 Waasmont"
"Guy Ceulemans","Nielssingel 79
1839 Sinaai-Waas"
"Björn Daniels","Raphaëlweg 8
3724 Braives"
"Maxim Aerts","Annhof 10
8138
Zevergem"
"Serge Voet Desmet","Anpad 404
6254
Hannêche"
"Hilde Vinck","Mauricedreef 817
3463
Rukkelingen-Loon"
"Marc Ooms De Laet","Jeflaan 24
6921
Zichen-Zussen-Bolder"
"Ludo David","Kathyring 76
5627 Sugny"
"Guy Pollet","Manuelweg 3
4871 Denée"
"Emilia De Pauw","Willyboulevard 47
1674
Stembert"
"Nicky Van den Bosch Engels","Krissteeg 632
8025
Villers-Saint-Ghislain"
"Beatrice Aerts","Ritabaan 80
5770
Meerbeke"
"Christel Schepens Vinck","Wouterweg 94
1722 Crupet"
"Alain Smet","Dariostraat 016
6457 Hekelgem"
"Ariane Boone","Lindadreef 603
5269
Elewijt"
"Peter Mariën","Pascalepad 091
9695
Pesche"
"Kurt De Leeuw Jacobs","Cédriclaan 4
1503 Grand-Rechain"
"Pol Van Hulle","Ellenpad 09
3111
Welden"
"Robin Pauwels","Anthonyring 86
4005 Merbes-Sainte-Marie"
"Bram Cools","Ingridweg 1
7881 Herstal"
"Nico De Bruyn","Stephanring 2
7373
Velaines"
"Martine Vandamme","Anndreef 57
4637
Vaux-et-Borset"
"Mark Lievens","Vanessadreef 3
7169
Fraiture"
"Bart Heymans","Ritasingel 555
2847
Oplinter"
"Tom Vanhoutte","Lucbaan 9
8273
Asquillies"
"Joost Fransen","Davidpad 86
3488 Autre-Eglise"
"Sabrina Claes","Stevenlaan 34
9448 Winenne"
"Etienne Stas","Veradreef 096
9032 Weismes"
"Petra Buysse","Lucbaan 37
9072
Grapfontaine"
"Franciscus Lambrechts","Tomstraat 1
6553
Queue-du-Bois"
"Nico Dewulf","Svenbaan 595
8924
Kemexhe"
"Wendy Goyvaerts","Jennylaan 34
6426
Kerksken"
"Olivia Boonen","Catherinesteeg 7
7507 Westende"
"André Thys","Annestraat 76
2785
Maldegem"
"Rudy Peeters","Mauricesteeg 53
7329 Weert"
"Frans Verstraete","Davidring 01
5520
Gruitrode"
"Quinten Jacobs","Charlottesteeg 5
1856
Buvingen"
"Elena De Smet","Jonassingel 4
8064
Enines"
"Stijn Van Genechten","Freddybaan 3
3401 Wanze"
"Emily Deprez","Huguettelaan 2
3103 Bovekerke"
"Nico Thys","Marcring 114
6634
Zelzate"
"Jean De Vos","Brieklei 02
5576 Brye"
"Nathalie Cornelis","Ronnyhof 48
8686
Gondregnies"
"Liesbeth Everaert","Laurentweg 12
9760 Hasselt"
"Gerda Matthys Joris","Stefanielaan 018
6656 Nijlen"
"Claudine Martens Jansen","Josephpad 67
2935
Havelange"
"Gert Coenen","Laralei 2
9324 Péronnes-lez-Binche"
"Ines Leroy","Brunodreef 478
2472
Ligney"
"Koen Geerts","Guydreef 8
2588 Sombreffe"
"Chloë Mariën","Paullaan 987
1642 Beauwelz"
"Nicole Gielen","Jürgendreef 5
3422 Thiméon"
"Freddy De Clerck","Alisteeg 216
4072
Izenberge"
"Marc Deprez","Peterlaan 9
5207 Hemptinne-lez-Florennes"
"Edwin Hellemans","Patriciabaan 7
2428
Les Bons"
"Cédric Peeters","Stevenboulevard 9
9061 Howardries"
"Felix Simoens","Rialaan 09
9933
Isnes"
"Lieselot Mertens","Nancyring 00
7214 Masnuy-Saint-Pierre"
"Lucienne De Backer","Eliassteeg 8
9808
Branchon"
"Peter Van Damme","Christianalei 3
1756 Willemeau"
"Jeanine De Smedt","Dirkstraat 883
6590 Bouffioulx"
"Nicole Huysmans","Pieterboulevard 961
9566
Meerdonk"
"Maaike Martens","Koenlei 3
6333 Vinderhoute"
"Kirsten Schoofs","Thomaslei 92
1494 Etalle"
"Annick Moens","Katrienboulevard 710
8802
Gonrieux"
"Gunter Degryse","Benbaan 66
3392 Sint-Goriks-Oudenhove"
"Andrea Raeymaekers","Christophelaan 64
4592 Korbeek-Dijle"
"Kristine Rombouts","Lindabaan 756
6469 Beerst"
"Jasper Moons","Mariastraat 929
9547 Witry"
"Pieter-Jan Van Parys","Yassinelei 1
6527 Oevel"
"Steve Jacobs Verbeeck","Josephinesteeg 2
4891
Moerbeke"
"Nicole Jacobs","Merelhof 17
2255 Munte"
"Stéphane Staelens","Reinhildepad 7
3347 Castillon"
"Martha Willems","Nadiasingel 023
3161 Kortenberg"
"Joseph De Pauw","Sarahlei 678
1806
Ophasselt"
"Katrijn Claessens","Tinekeweg 724
2173 Heppen"
"Sofie De Vuyst","Katosteeg 084
8374 Overijse"
"Lucie Van Dyck","Evastraat 9
2040
Redu"
"Robin Van Belle","Ronnybaan 5
4138 Afsnee"
"Ludovicus Driesen","Annielaan 2
3935
Hastière"
"Joost Van Dijck","Nicolestraat 963
2280
Nafraiture"
"Nicole Janssen","Mariapad 61
7248 Ruddervoorde"
"Stijn Hendrickx","Louisring 0
4843
Houdeng-Goegnies"
"Steven Christiaens","Connysingel 9
1629
Clabecq"
"Hans Smets","Kellypad 7
6780
Damme"
"Leopold Faes","Annasingel 08
7044
Modave"
"Stéphane Beckers","Davidweg 2
1544
Esplechin"
"Monique Devolder","Axelweg 822
9749 Louette-Saint-Denis"
"Jan Lemmens","Sabrinalei 652
1941 Zandvliet"
"Walter De Clercq","Paularing 660
6529
Rumillies"
"Liliane Verdonck","Franklei 3
6417
Wilsele"
"Nicole Van Poucke","Luchof 267
5822 Tellin"
"Ivonne Vanderstraeten","Marceldreef 661
6013
Warnant"
"Dominique Decock","Antoonhof 003
7803
Ganshoren"
"Sven Mortier","Dimitristeeg 06
4998 Mourcourt"
"Cathy De Smet","Josianesingel 567
5074 Rebecq"
"Frédéric Somers","Yassinesteeg 19
3816 Daussoulx"
"Jessica Verlinden De Wulf","Stevensingel 58
8673 Baugnies"
"Maria Kerkhofs","Sandrabaan 0
3999 Onoz"
"Isabelle Van Acker Bogaert","Christinestraat 3
7085 Terhagen"
"Britt Maes","Isabelboulevard 51
5220
Naomé"
"Niels Devos","Sophiering 2
1858
Borsbeek"
"Annelies Timmermans","Ilsesingel 808
1086
Braives"
"Bernadette Joos","Sammylei 2
7488 Wangenies"
"Anita Wouters","Carinadreef 9
9723 Audregnies"
"Liliane Van Poucke","Ellenpad 675
1159
Westmeerbeek"
"Johan Maes","Kevinring 8
6209
Wilsele"
"Marcel Vleugels","Joerilei 0
3244 Waarschoot"
"Christophe Leysen","Elisesteeg 21
1599 Fays-les-Veneurs"
"Olivier François","Brechtbaan 4
3738
Oupeye"
"Klaas Vermeire","Sofiehof 0
7406 Zichen-Zussen-Bolder"
"Niels Hendrickx","Louisboulevard 00
1309 Neufvilles"
"Claude De Ridder","Anpad 9
1565 Meslin-l'Evêque"
"Kaat Govaerts","Pierreboulevard 598
5334 Bellingen"
"Antoon Van Impe Vandenbroucke","Edmondhof 26
9706
Izier"
"Tom Van den Berghe","Heleenlei 2
9038 Heers"
"Martine Hanssens Maris","Edwardlei 19
4873
Veerle"
"Dieter Peeters","Emmadreef 9
7901 Neervelp"
"Carine Eeckhout","Koenpad 1
8310
Ukkel"
"André Adams","Jeanninehof 728
9867
Bekkerzeel"
"Mohammad De Pauw","Juliettestraat 06
5814
Bressoux"
"Niels Wuyts","Marcbaan 86
2821 Ellikom"
"Marina De Wilde","Tomboulevard 121
8504
Kinrooi"
"Thibo Feys","Guybaan 5
4864
Arquennes"
"Ines De Groote","Geertlaan 04
1954 Neuville-en-Condroz"
"Andreas Van den Bossche","Bramboulevard 7
3029
Meensel-Kiezegem"
"Lena Coppens","Ahmedsteeg 4
4924
Namêche"
"Ingrid Hellemans","Debbielaan 14
9396 Wezemaal"
"Simonne Cornelis","Hendrikboulevard 16
4227
Renlies"
"Rune Driesen","Nathalieboulevard 31
7809 Robertville"
"Tom Vranken","Lutgardehof 7
5982 Oignies-en-Thiérache"
"Nina Callens","Georgeslaan 44
7022
Lavaux-Sainte-Anne"
"Christel De Groote","Françoishof 1
4015
Mortsel"
"Lucienne Dewitte","Driessteeg 737
3274 Koningshooikt"
"Jeannine Van Damme Verschueren","Simonesteeg 4
8230
Feluy"
"Marguerite Claes","Ingelei 143
9349 Nazareth"
"Nico Peeters Van Bogaert","Anjahof 0
4084
Corbion"
"Bjorn Martens","Fatimalaan 798
9017 Burg-Reuland"
"Kenneth Vanhee","Rogerstraat 498
1328
Sint-Michiels"
"Laurent Moors","Antoonsteeg 42
3200
Zolder"
"Herman De Mey","Kristofsingel 56
4907 Beauraing"
"Nina De Smet","Alainbaan 27
2014
Oudekapelle"
"Emiel Demeulenaere","Etiennestraat 52
3644 Bauffe"
"Steve De Sutter","Marie-Thérèselaan 53
1503
Denderwindeke"
"Ali Beckers","Franciscusboulevard 98
8773
Fosses-la-Ville"
"Wouter Claes De Vos","Nathalielaan 1
5922 Saint-Hubert"
"Rita Martens","Arthurlei 0
9531
Cognelée"
"Nancy Rutten","Jeroenboulevard 568
7444
Leval-Trahegnies"
"Yasmine Meeus","Michielboulevard 5
8327
Soye"
"Monique Van Laere","Dirkdreef 763
9783
Goeferdinge"
"Monique Singh","Sandrahof 5
9388
Berloz"
"Noah Breugelmans","Johanstraat 49
1738 Limont"
"Monique Kaya","Annesteeg 924
6907 Poperinge"
"Michael Verstraeten","Jessicahof 32
9997 Wintershoven"
"Lindsey Marien","Ritalei 44
1409
Niel"
"Paul Hellemans","Arnelei 600
2173 Dranouter"
"Petrus De Smet Pauwels","Thomasdreef 129
1003 Manhay"
"Christiana Hermans","Annekebaan 16
4661 Mortier"
"Stefan Vereecke","Dirkdreef 1
3480 Merksplas"
"Jan De Wit","Paulpad 44
1717
Leers-Nord"
"Johannes Sanders","Louislaan 971
2741
Hofstade"
"Noor Declercq","Fatimalaan 65
6762
Blanden"
"Annie Thys","Josephinelei 6
7580
Bellevaux"
"Kris Vandevelde","Edithlaan 1
3684
Landskouter"
"Carine Devolder","Janpad 8
1839
Stuivekenskerke"
"Rosalie Verelst","Helenaweg 122
9316
Halmaal"
"Vanessa Simons","Peterlei 631
5395 Longvilly"
"Ivonne De Witte","Debbydreef 59
1653
Beveren-aan-den-Ijzer"
