"Ѓорги Јовановски"|"Никола Вапцаров 711
87858 Битола" 
"Борче Христов"|"Никола Карев 63
71123 Кочани"
"Симона Ѓоргиева"|"Кирил Пејчиновиќ 8а/4
89031 Дебар"
"Филип Марковски"|"Тодор Александров 6б
05363 Кратово"
"Ангела Николова"|"Едвард Кардељ 476
52681 Пехчево"
"Стојан Димитриев"|"Јасминска 427
34986 Кичево"
"Кузман Стефановски"|"Булевар Свети Климент Охридски 0б/3
78111 Битола"
"Тијана Петковска"|"Никола Вапцаров 7б/8
56697 Штип"
"Арсен Поповски"|"Радовишка 940
37933 Кавадарци"
"Проф. Лилјана Василева"|"Дојранска 5а
95172 Виница"
"Проф. Катерина Арсовска"|"Булевар Александар Македонски 7б
08258 Гостивар"
"Г-ѓа Валентина Дамјановска"|"Скупи 9в
87219 Богданци"
"Симона Алексовска"|"Васил Главинов 0а/5
61568 Гостивар"
"Др. Јасмина Михајловска"|"Рибарска 1в
95018 Ресен"
"Проф. Марјан Гавриловски"|"Софиска 77
18447 Виница"
"Магдалена Стефановска"|"Букурешка 3а/7
80722 Дебар"
"Г-н Игор Матевски"|"Самоилова 9а
18697 Демир Хисар"
"Душан Јовановски"|"Булевар Партизански одреди 708
73151 Крушево"
"Др. Дарија Николовска"|"Самоилова 9а/1
65104 Кратово"
"Соња Јовчева"|"Аристотел 288
67818 Демир Капија"
"Димитар Поповски"|"Никола Вапцаров 73
98862 Кратово"
"Оливера Велкова"|"Петар Поп Арсов 0
61509 Пробиштип"
"Симона Алексовска"|"Илинденска 0б
40392 Пробиштип"
"Јане Николовски"|"Рибарска 2б/7
88644 Куманово"
"Г-н Михаил Дешановски"|"Васил Главинов 143
72541 Тетово"
"Др. Иванка Мартиновска"|"Кирил Пејчиновиќ 39
65635 Свети Николе"
"Др. Сара Апостолова"|"Свети Климент Охридски 3в
58132 Кратово"
"Данче Арсовска"|"Радовишка 2а
99388 Тетово"
"Снежана Дамјановска"|"Христијан Тодоровски Карпош 7а
85313 Пехчево"
"Г-н Методи Лазаревски"|"Димитар Влахов 7б/9
67225 Виница"
"Емилија Тодоровска"|"Никола Вапцаров 1а
58423 Битола"
"Симона Донева"|"Климент Охридски 6а/8
59880 Дебар"
"Симона Апостолова"|"Булевар Цветан Димов 2б/0
21567 Кичево"
"Др. Весна Петровска"|"Булевар Блаже Конески 3б
07187 Гевгелија"
"Г-н Коста Матевски"|"Волгоградска 0
20776 Пробиштип"
"Ристо Бојаџиев"|"Дојранска 6
88528 Велес"
"Чедо Климовски"|"Воденска 31
12825 Крива Паланка"
"Дарија Николовска"|"Пролетерска 7б
64040 Кичево"
"Лина Михајловска"|"Лондонска 3б
96111 Куманово"
"Г-ца Марија Илиева"|"Хелсинки 69
03266 Ресен"
"Никола Бојаџиев"|"Трета македонска бригада 8б
31544 Кратово"
"Оливера Димитриева"|"Македонија 4в
57585 Охрид"
"Симона Апостолова"|"Климент Охридски 7а/9
97070 Велес"
"Проф. Бранко Мусијановски"|"Перо Наков 9б
21567 Ресен"
"Г-н Петре Коцев"|"Јане Сандански 7б
26657 Берово"
"Др. Марина Јанева"|"Свети Климент Охридски 0а
95926 Кочани"
"Проф. Даниел Михајловски"|"Едвард Кардељ 0
84730 Кичево"
"Проф. Тодор Заев"|"Даме Груев 0б/2
54165 Прилеп"
"Филип Шакири"|"Лазар Личеноски 1
94182 Делчево"
"Г-ца Магдалена Зафировска"|"Јасминска 2
77740 Кавадарци"
"Роза Петковска"|"Букурешка 2а/5
43357 Крушево"
"Проф. Магдалена Глигорова"|"Букурешка 4
65503 Дебар"
"Симона Василева"|"Зелезничка 4б
41541 Демир Хисар"
"Г-н Иван Апостолов"|"Рибарска 5б/7
31221 Пехчево"
"Проф. Ѓорче Коцев"|"Крсте Мисирков 0
17121 Неготино"
"Димка Василева"|"Маршал Тито 6а/6
87969 Берово"
"Лазар Алексовски"|"Букурешка 9б/0
25401 Радовиш"
"Трајан Димовски"|"Луј Пастер 7б
27678 Струга"
"Димитар Дешановски"|"Перо Наков 89
30721 Битола"
"Др. Ѓорги Николовски"|"Петар Поп Арсов 5в
64386 Македонски Брод"
"Стефан Георгиев"|"Варшавска 2а
12279 Скопје"
"Кузман Ристовски"|"Јасминска 5а/2
48535 Скопје"
"Симона Димитриева"|"Илинденска 7а
80935 Крушево"
"Проф. Надица Лазова"|"Димитар Влахов 1
42480 Велес"
"Благица Арсовска"|"Рибарска 3
11461 Радовиш"
"Филип Христов"|"Питу Гули 6
76597 Ресен"
"Г-н Марјан Митревски"|"Јане Сандански 7
92944 Кратово"
"Методи Николовски"|"Природна 4
44329 Прилеп"
"Цветанка Цветковска"|"Перо Наков 6б
52415 Куманово"
"Г-ца Александра Дамјановска"|"Димитар Влахов 7а/4
57875 Делчево"
"Проф. Кузман Наумовски"|"Кирил Пејчиновиќ 185
46329 Делчево"
"Г-ѓа Софија Василева"|"Никола Русински 3б/4
45676 Дебар"
"Симона Мојсова"|"Одбранбена 3в
31901 Македонски Брод"
"Г-н Влатко Јовчев"|"Глигор Прличев 2а/5
64783 Ресен"
"Ѓорче Климовски"|"Наум Охридски 6а
83517 Македонски Брод"
"Др. Јасмина Дамјановска"|"Питу Гули 3а/6
06830 Свети Николе"
"Стефанија Апостолова"|"Јован Хаџи Константинов Џинот 02
52522 Македонска Каменица"
"Зоран Велков"|"Луј Пастер 73
86248 Македонска Каменица"
"Василка Стојановска"|"Волгоградска 9а
14293 Пробиштип"
"Билјана Мартиновска"|"Софиска 1а
83875 Кочани"
"Доне Коцев"|"Булевар Александар Македонски 9б
23168 Свети Николе"
