"Albina Dolić"	"Mesnička 8c
01290 Šibenik" 
"Barbara Rakela"	"Podgaj 8a
98398 Vrbovsko"
"Marica Ivšić"	"Hercegovačka 4a/2
33030 Benkovac"
"Vedran Terlević"	"Zamenhofova 5c
06430 Delnice"
"Andrija Ričko"	"Draškovićeva 2c
46680 Pazin"
"Mirjana Žeželić"	"Mihaljevac 5a/3
87135 Kutina"
"Dominik Paparić"	"Bosanska 4
70167 Rab"
"Pero Dvojak"	"Skalinska 2a
15566 Duga Resa"
"Ruža Bijelić"	"Harmica 727
78311 Otočac"
"Kata Hren"	"Krležin gvozd 601
50982 Benkovac"
"Lorena Rašeta"	"Vijenac 8
70798 Poreč"
"Dušan Maras"	"Horvatovac 738
63908 Kastav"
"Julijana Dujmović"	"Istarska 8c
98452 Bjelovar"
"Josip Božanović"	"Ksaver 6c/4
28247 Imotski"
"Tatjana Perkov"	"Šilobodov put 5b/9
69769 Pula"
"Milena Brlek"	"Demetrova 9c
76027 Mali Lošinj"
"Željka Vretenar"	"Mesnička 0c
00929 Požega"
"Pero Jakovljević"	"Perivoj srpanjskih žrtava 45
79428 Vrbovec"
"Renata Pokas"	"Kamaufova 3c
41274 Sinj"
"Albina Vela"	"Istarska 1a
53039 Osijek"
"Erik Franušić"	"Klanac Grgura Tepečića 5b/8
14667 Mali Lošinj"
"Petra Šibalić"	"Skalinska 4c/4
18524 Lipik"
"Branka Rubeša"	"Perivoj biskupa Stjepana II. 44
94230 Glina"
"Mihael Kaniški"	"Skalinska 843
61020 Zaprešić"
"Sanja Kolega"	"Ksaver 875
07462 Duga Resa"
"Slavko Trgovčić"	"Palmotićeva 4c/5
30652 Našice"
"Ruža Car"	"Šalata 1a/3
25038 Ludbreg"
"Pero Karamarko"	"Mala 2b/1
90284 Dugo Selo"
"Josip Bičanić"	"Zavojna 6c
94652 Varaždinske Toplice"
"Danijela Salopek"	"Palmotićeva 6
87286 Metković"
"Stjepan Rahija"	"Javorovac 650
01857 Virovitica"
"Igor Kocijančić"	"Wickerhauserova 01
13796 Koprivnica"
"Roko Krpan"	"Dolac 7c/2
01360 Kaštela"
"Mate Marinović"	"Magdićeve 3c/0
31545 Mali Lošinj"
"Anton Bogadi"	"Zavojna 3b/4
56746 Rijeka"
"Jana Rendulić"	"Mlinarska 6a
86716 Požega"
"Jakov Hadžić"	"Svibovac 5b/0
31657 Valpovo"
"Pero Kirinčić"	"Opatička 36
96178 Sinj"
"Karlo Borošak"	"Istarska 0c
97989 Slavonski Brod"
"Lovro Lucić"	"Nova Ves 4c/1
98215 Zagreb"
"Barbara Mamula"	"Mlinarska 28
41280 Karlovac"
"Ivana Marasović"	"Grič 1
60665 Rab"
"Dragan Pamić"	"Tošovac 079
05522 Delnice"
"Ivana Petek"	"Magdićeve 796
87166 Opatija"
"Mato Šimunić"	"Klanac Grgura Tepečića 0c
44395 Ludbreg"
"Anita Rajčić"	"Bakačeva 9b/7
48600 Imotski"
"Lucija Duvančić"	"Ksaverska 2c/8
34541 Zaprešić"
"Pero Liber"	"Cmrok 5a/2
76297 Cres"
"Ika Grgurević"	"Zeleni dol 7a
81450 Rab"
"Bruno Tuškan"	"Jagodnjak 7a
57619 Čabar"
"Nina Jemrić"	"Ribnjak 6c
60528 Biograd na Moru"
"Karla Rajčić"	"Istarska 1
42651 Split"
"Mare Kocijančić"	"Nova Ves 3b/6
26240 Vrlika"
"Filip Malnar"	"Cmrok 5c/5
03916 Grubišno Polje"
"Albina Obratov"	"Male 8b/1
16455 Senj"
"Jasminka Miklečić"	"Gornje Prekrižje 2c/6
13103 Vodnjan"
"Stjepan Kokanović"	"Hercegovačka 046
91706 Dubrovnik"
"Pero Oršulić"	"Krvavi most 28
57163 Opatija"
"Damir Mičetić"	"Lobmayerove 3c/9
02407 Pula"
"Dejan Banovac"	"Klanac Grgura Tepečića 0b/5
10450 Klanjec"
"Marica Šupraha"	"Goljak 7c
51429 Gospić"
"Damir Glavor"	"Jurjevska 5c
51584 Beli Manastir"
"Filip Klanac"	"Arnoldova 1a/5
47341 Rab"
"Igor Puljiz"	"Goljačke 1c/1
49826 Komiža"
"Eva Hećimović"	"Mašekova 0a
70958 Čakovec"
"Ivan Balić"	"Opatovina 7a/7
41869 Daruvar"
"Mateja Grgurić"	"Jurjeve 3c/8
98402 Hvar"
"Pero Tisaj"	"Magdićeve 5
08022 Popovača"
"Maja Matahlija"	"Dvoranski prečac 7c/2
83699 Otok"
"Antonio Solomun"	"Bosanska 03
81229 Poreč"
"Antonio Knežević"	"Klanac Grgura Tepečića 8a/2
47466 Popovača"
"Jasminka Škugor"	"Vrazovo šetalište 8a/7
58398 Požega"
"Elizabeta Šitum"	"Zelengaj 7a
27266 Imotski"
"Gordana Ribić"	"Jagodnjak 1c/4
98382 Križevci"
"Juraj Krčelić"	"Dverce 0b/7
39564 Solin"
"Dino Pozder"	"Opatička 7c/0
73861 Kaštela"
"Anita Žic"	"Gornje Prekrižje 3a/1
22727 Novigrad"
"Pero Zubčić"	"Donje Prekrižje 7a/3
00006 Senj"
"Božena Vranić"	"Jurjevska 5b
50886 Ploče"
"Vesna Borošak"	"Bosanska 4c
72253 Skradin"
"Duje Mraović"	"Perivoj biskupa Stjepana II. 3c
36523 Novalja"
"Zvonko Tepeš"	"Vinogradska 67
33863 Duga Resa"
"Pavao Jelić"	"Gračanska 5b
31722 Buzet"
"Antun Galešić"	"Bosanska 1b/9
45988 Komiža"
"Branko Žeželić"	"Opatička 5
54460 Lipik"
"Tomo Vitasović"	"Mihaljevac 4
21500 Senj"
"Ante Plantek"	"Mirogojska 6c
90475 Bakar"
"Pero Šipek"	"Višnjičke 3a
30051 Karlovac"
"Anto Dizdar"	"Ribnjak 8
76698 Petrinja"
"Mateja Hodak"	"Klenovac 642
65323 Ivanić-Grad"
"Duje Vojković"	"Zelengaj 3
15375 Varaždinske Toplice"
"Stjepan Barešić"	"Vinogradska 52
63933 Kutina"
"Laura Radojković"	"Višnjica 7c/8
30046 Korčula"
"Đurđica Živković"	"Jabukovac 744
02379 Slavonski Brod"
"Nada Bebić"	"Draškovićeva 8c
18909 Vukovar"
"Juraj Friščić"	"Mala 4a/5
57228 Nova Gradiška"
"Marta Cvenić"	"Javorovac 440
86726 Bakar"
"Petar Bičak"	"Perivoj biskupa Stjepana II. 18
36977 Kutina"
"Darko Modrić"	"Kurelčeva 4a/7
52195 Osijek"
"Anđa Franušić"	"Magdićeve 8c
53117 Biograd na Moru"
"Željko Burić"	"Horvatovac 8c/2
55533 Ivanec"
"Mateja Jakupić"	"Bučarova 3b/3
02564 Duga Resa"
"Zorka Papak"	"Perivoj biskupa Stjepana II. 5a
23024 Cres"
"Albina Puharić"	"Kamenjak 120
60523 Sveti Ivan Zelina"
"Vesna Šarić"	"Perivoj biskupa Stjepana II. 2c
39892 Ivanić-Grad"
"Franciska Ukić"	"Cmrok 6c/9
34172 Skradin"
"Sandra Perković"	"Jagodnjak 9c/8
76316 Krapina"
"Petar Hadrović"	"Vijenac 4
06288 Garešnica"
"Jozo Popović"	"Svibovac 5b
07135 Prelog"
"Jakov Šimara"	"Istarska 7c/0
08413 Kraljevica"
"Štefanija Božičević"	"Bosanska 8b
38551 Kutjevo"
"Duje Ribičić"	"Strossmayerovo šetalište 111
52289 Zabok"
"Dragutin Stupalo"	"Zelengaj 3c/2
73188 Bakar"
"Lovro Šošić"	"Cmrok 9b/8
58702 Sveta Nedelja"
"Mihael Prtenjača"	"Vinogradska 8c/2
11678 Poreč"
"Ivan Drandić"	"Kurelčeva 1
31016 Lipik"
"Marijan Maričević"	"Mihaljevac 9
58456 Opuzen"
"Petar Herout"	"Višnjičke 503
44085 Drniš"
"Hana Hrvojić"	"Rockefellerova 5b
77891 Pakrac"
"Matija Sardelić"	"Lisinskoga 9b
68395 Ilok"
"Branko Viljevac"	"Voćarska 9a
09284 Gospić"
"Božica Vrhovec"	"Davor 6b/9
39031 Drniš"
"Katica Šuran"	"Zelengaj 9a
41623 Benkovac"
"Vedran Nižetić"	"Istarska 4b
58474 Trogir"
"Stana Cestarić"	"Krvavi most 8b/9
37765 Crikvenica"
"Bruno Polović"	"Kurelčeva 220
28768 Stari Grad"
"Jozo Kelečić"	"Mlinske 2c
11403 Čakovec"
"Petar Lukić"	"Vrazovo šetalište 6
34598 Komiža"
"Željko Bošnjak"	"Klesarski put 827
70443 Slatina"
"Rozalija Sršen"	"Zeleni dol 6c
39431 Supetar"
"Zoran Kereković"	"Opatovina 468
44196 Belišće"
"Denis Kauzlarić"	"Streljačka 65
88406 Supetar"
"Igor Zgorelec"	"Jurišićeva 591
18424 Osijek"
"Anka Eterović"	"Remetska 9c/6
58340 Ozalj"
"Karla Kadija"	"Mlinarska 492
54751 Valpovo"
"Jadranka Blažek"	"Zelengaj 7c/8
94949 Otok"
"Ivica Vojković"	"Rokova 127
24183 Makarska"
"Petar Semialjac"	"Kraljevec 4b
66257 Hvar"
"Franciska Čubrić"	"Orlovac 0c
03324 Orahovica"
"Snježana Keleković"	"Grič 6a
49210 Pag"
"Snježana Kujundžić"	"Kamaufova 339
07918 Novi Marof"
"Duje Antonić"	"Mašekova 0c/8
17951 Trogir"
"Goran Erceg"	"Klenovac 1a/9
67789 Gospić"
"Marko Sabljak"	"Radnički dol 7b
47585 Mursko Središće"
"Pavao Lukša"	"Klenovac 6c/3
62926 Donji Miholjac"
"Zvonko Milina"	"Mala 0b/0
78230 Buzet"
"Filip Dobrić"	"Srebrnjak 8
79326 Trilj"
"Petar Terzić"	"Svibovac 9b/2
01758 Senj"
"Mislav Kramarić"	"Pantovčak 8c
71666 Novi Marof"
"Juraj Bernardić"	"Mlinarska 160
19114 Nin"
"Mateja Markovac"	"Kozarčev vijenac 0c
10430 Drniš"
"Mirko Kinkela"	"Donje Prekrižje 2c/5
62822 Poreč"
"Dragan Peharda"	"Čačkovićeva 0c
66118 Virovitica"
"Damir Peterlik"	"Vitezovićeva 46
21730 Ludbreg"
"Ana Didović"	"Hercegovačka 6b/0
19984 Donji Miholjac"
"Anto Ljubičić"	"Hercegovačka 8b
01800 Ivanec"
"Dalibor Jukić"	"Dvoranski prečac 7b
96713 Labin"
"Petar Čubrić"	"Ružičnjak 3a
55132 Vinkovci"
"Anđa Šimunić"	"Nemetova 3c/5
93546 Ilok"
"Lovre Kelečić"	"Šestinski vrh 5c
43198 Slavonski Brod"
"Vladimir Jugovac"	"Rikardove 7b/9
52761 Varaždin"
"Kate Banovac"	"Vinogradska 7c
99206 Rab"
"Slavko Pavković"	"Šumski prečac 9a
19260 Bakar"
"Šime Vorkapić"	"Orlovac 4c/3
10166 Poreč"
"Tatjana Matokanović"	"Kraljevec II. 095
75060 Trogir"
"Eva Ljubetić"	"Glogovac 9
03725 Jastrebarsko"
"Katica Bebić"	"Gradec 90
43122 Vukovar"
"Petra Lešić"	"Kraljevec II. 0
28303 Đakovo"
"Ivana Vlašić"	"Golubovac 7b
37255 Pazin"
"Vlado Turudić"	"Zamenhofove 4c
28235 Orahovica"
"Joso Toić"	"Zelenjak 7b
34819 Sveti Ivan Zelina"
"Damir Bertoša"	"Gornje Prekrižje 586
06978 Vodice"
"Ane Šturlan"	"Mlinarska 906
34418 Poreč"
"Marin Toić"	"Lisinskoga 7b
57986 Đurđevac"
"Nina Radman"	"Jezuitski trg 4c/4
15325 Križevci"
"Albina Škrnički"	"Medveščak 3a
07918 Ploče"
"Biljana Maretić"	"Gračanska 3
09327 Daruvar"
"Petra Pribanić"	"Kozarčev vijenac 3b
47773 Solin"
"Leon Cafuk"	"Zamenhofove 3b/6
03368 Sinj"
"David Martinčević"	"Kapucinske 2b
11313 Bjelovar"
"Tea Matijević"	"Gornje Prekrižje 2b/6
00976 Labin"
"Anđa Orlović"	"Zelenjak 6b/3
42034 Belišće"
"Davor Rastija"	"Zavojna 0a
05914 Lipik"
"Marina Šipić"	"Draškovićeva 1c/1
72527 Kutjevo"
"Marko Balinčić"	"Šestinski vrh 029
32297 Beli Manastir"
"Erik Prtenjača"	"Rokov perivoj 7
95612 Oroslavje"
"Lea Kalanjoš"	"Jurjevska 475
08115 Vodice"
"Petra Tisaj"	"Horvatovac 8b/8
43402 Rijeka"
"Franjo Maras"	"Naumovac 2
63759 Đurđevac"
"Dino Ivančan"	"Medveščak 1a/0
29018 Vukovar"
"Hrvoje Maržić"	"Visoka 0c/1
93338 Valpovo"
"Mare Vukman"	"Ilica 8c
46578 Benkovac"
"Jozo Vrban"	"Rikardove 8
51944 Vrbovec"
"Albina Ljubičić"	"Rockefellerova 35
02972 Vodnjan"
"Ane Burić"	"Zeleni dol 3c
39996 Novigrad"
"Nikša Prelec"	"Golubovac 849
82585 Crikvenica"
"Ivka Pešić"	"Zamenhofove 14
39233 Kastav"
"Petra Đurinić"	"Dubravkin 2a
78514 Vodnjan"
"Duje Dolinar"	"Šumski prečac 4c
39683 Sveti Ivan Zelina"
"Kristijan Obradović"	"Svibovac 12
15265 Komiža"
"Elvis Vorkapić"	"Ružičnjak 23
70997 Ludbreg"
"Bara Buzov"	"Ljubinkovac 917
48443 Grubišno Polje"
"Julijana Mesarić"	"Kraljevečki ogranak 5b
11894 Vukovar"
"Sara Cik"	"Naumovac 460
49071 Virovitica"
"Matej Mužina"	"Ilica 91
43792 Duga Resa"
"Siniša Ribarić"	"Orlovac 71
11593 Donja Stubica"
"Maria Puljiz"	"Mesnička 9a/1
98735 Opuzen"
"Renata Brlas"	"Mesnička 9
87195 Vis"
"Nikša Zgorelec"	"Ružičnjak 9a
25674 Kastav"
"Mirko Vrhovec"	"Svibovac 2c/1
29836 Buje"
"Mile Drandić"	"Zeleni dol 6b/5
78841 Rijeka"
"Mate Sobota"	"Splavnica 070
72137 Pakrac"
"Dalibor Glasnović"	"Ribnjak 5c
26697 Samobor"
"Hrvoje Šurina"	"Vrazovo šetalište 29
51805 Gospić"
"Dragan Gudelj"	"Pantovčak 7a/2
16122 Donji Miholjac"
"Katarina Šimunić"	"Golubovac 2a
18191 Imotski"
"Antun Rojnić"	"Dverce 9c
43926 Koprivnica"
"Renata Brlek"	"Jurjeve 3a/3
33046 Klanjec"
"Ivka Tešija"	"Istarska 9b/3
53278 Pleternica"
"Alen Hinić"	"Kožarska 4c/5
78260 Samobor"
"Milena Ilijić"	"Vlaška 5a
95178 Jastrebarsko"
"Miroslav Piljek"	"Perivoj srpanjskih žrtava 35
28220 Karlovac"
"Petar Sobota"	"Naumovac 4a
60888 Ivanec"
"Suzana Špišić"	"Gradec 1c
86253 Ludbreg"
"Dejan Špoljarić"	"Jagodnjak 4b
73389 Rovinj"
"Viktor Matošević"	"Jurjevska 8b/7
96695 Zadar"
"Dragutin Baničević"	"Magdićeve 6c
73942 Križevci"
"Renata Jovanovac"	"Ksaverska 9b/5
74478 Slavonski Brod"
"Anđela Matas"	"Medveščak 4c
94711 Ploče"
"Maria Barać"	"Magdićeve 8b/4
35455 Samobor"
"Jasminka Jakupić"	"Splavnica 8a/7
23247 Beli Manastir"
"Dragica Rogošić"	"Naumovac 3a
35400 Koprivnica"
"Zora Malnar"	"Magdićeve 0b
82460 Pregrada"
"Bruno Jakupić"	"Novi Goljak 1
37393 Varaždinske Toplice"
"Lea Kirinčić"	"Strossmayerovo šetalište 1b/2
13073 Koprivnica"
"Ivan Sirotić"	"Bučarova 2a/8
22585 Ogulin"
"Danijel Guberović"	"Šumski prečac 3b
49294 Čabar"
"Renata Karamarko"	"Krležin gvozd 0b
52064 Zlatar"
"Aldo Ljubičić"	"Hercegovačka 944
48847 Obrovac"
"Martina Staničić"	"Davor 6a
32966 Pag"
"Ankica Bačak"	"Cmrok 09
30319 Našice"
"Dino Starčević"	"Rokova 9a/1
40954 Velika Gorica"
"Josip Đurinić"	"Palmotićeva 866
86612 Lepoglava"
"Božo Mišak"	"Opatička 2c/2
27608 Petrinja"
"Mirjana Štifanić"	"Voćarska 6
07131 Varaždin"
"Kate Čizmić"	"Kapucinske 6a
70218 Opuzen"
"Nevenka Tuksar"	"Nova Ves 5a
15144 Novalja"
"Renata Matko"	"Višnjica 3a/1
77973 Vrlika"
"Dušan Odobašić"	"Višnjica 1b/7
33742 Opuzen"
"Hana Perčić"	"Mala 8c/8
78766 Kaštela"
"Bara Požega"	"Ribnjak 3c
96953 Ilok"
"Zdravko Liber"	"Šumski prečac 592
46625 Slatina"
"Branko Boban"	"Splavnica 0a/0
77768 Jastrebarsko"
"Danijel Stipanović"	"Rikardove 3b/9
89157 Umag"
"Biljana Baksa"	"Paunovac 124
38748 Supetar"
"Ivana Radin"	"Klesarski put 541
89971 Varaždinske Toplice"
"Joško Žuvela"	"Male 8
29894 Knin"
"Renata Medved"	"Naumovac 9c/4
04203 Zaprešić"
"Mladen Šinković"	"Horvatovac 8a/0
30247 Obrovac"
"Božena Gulan"	"Visoka 1c/6
25987 Križevci"
"Igor Perić"	"Vinogradska 3
97422 Zaprešić"
"Ika Bojanić"	"Podgaj 9c
75746 Garešnica"
"Matea Jelić"	"Ružičnjak 4a
74039 Makarska"
"Hana Ribić"	"Zmajevac 4c
31573 Krk"
"Antonio Vižintin"	"Strossmayerovo šetalište 2
09076 Požega"
"Matija Mustapić"	"Ksaverska 7a/8
66884 Stari Grad"
"Dragica Kosanović"	"Vijenac 5c
20224 Prelog"
"Renata Mihaljević"	"Mletačka 9b/5
06724 Poreč"
"Tea Madunić"	"Kozarčev vijenac 3c
86162 Orahovica"
"Ankica Miletić"	"Mala 225
90442 Lepoglava"
"Bruno Forjan"	"Javorovac 2a/0
40604 Požega"
"Sanja Vukušić"	"Zeleni dol 2
41905 Pula"
"Bruno Šarić"	"Remetska 5b
69629 Nova Gradiška"
"Erik Matijević"	"Donje Prekrižje 3a/1
34254 Vrbovsko"
"Dražen Mofardin"	"Istarska 9b
40030 Bjelovar"
"Biljana Raljević"	"Mala 725
63086 Kutjevo"
"Darko Klarin"	"Kraljevečki ogranak 795
26058 Koprivnica"
"Renata Radin"	"Kamenita 1
13198 Kastav"
"Matija Pongrac"	"Gračanska 0c
03826 Novigrad"
"Alen Baričević"	"Višnjičke 7b
97384 Ludbreg"
"Dino Damjanović"	"Ribnjak 3c/9
28728 Rab"
"Mirjana Brlas"	"Pod zidom 22
96868 Zaprešić"
"Mate Terzić"	"Pod zidom 7b
35900 Pag"
"Mario Obratov"	"Jurkovićeva 0
11080 Varaždinske Toplice"
"Kristina Peša"	"Vrazovo šetalište 7a
60283 Prelog"
"Dragan Pavlović"	"Vrazovo šetalište 751
77412 Sinj"
"Nevenka Peša"	"Demetrova 125
60602 Varaždinske Toplice"
"Renata Rukavina"	"Tošovac 0a/8
43117 Vukovar"
"Lana Modrić"	"Dvoranski prečac 0c/4
61887 Popovača"
"David Krznarić"	"Arnoldova 9a
51626 Benkovac"
"Josip Tešija"	"Visoka 4
18735 Crikvenica"
"Nikša Rahija"	"Davor 8
32205 Skradin"
"Milan Ričko"	"Strossmayerovo šetalište 538
03237 Ivanec"
"Lovro Žugec"	"Zamenhofove 549
78637 Hrvatska Kostajnica"
"Željko Rubinić"	"Donje Prekrižje 2c/1
53753 Biograd na Moru"
"Stana Halambek"	"Medveščak 09
45205 Omiš"
"Ane Zelić"	"Tkalčićeva 4
66313 Karlovac"
"Renata Trgovčić"	"Lobmayerove 9c
29289 Pazin"
"Nikolina Čović"	"Ilica 1c/2
53561 Nova Gradiška"
"Denis Stipanović"	"Kraljevečki odvojak 0c/4
27026 Hrvatska Kostajnica"
"Vera Zebec"	"Svibovac 6a/9
95417 Donja Stubica"
"Ivka Klanac"	"Bakačeva 2a
43174 Zlatar"
"Lucija Vučković"	"Jurjeve 7b
19498 Stari Grad"
"Mato Stražičić"	"Svibovac 2a/1
80119 Varaždin"
"Maria Šarić"	"Vlaška 1a
28790 Buje"
"Martina Polić"	"Mlinovi 494
31593 Lipik"
"Štefanija Vukman"	"Jabukovac 6b
32309 Osijek"
"Renata Vitasović"	"Medvedgradska 8c/3
26286 Požega"
"Zlatko Ilinović"	"Zeleni dol 9a/2
67342 Komiža"
"Rudolf Matulić"	"Horvatovac 5c
05657 Virovitica"
"Ivica Miličić"	"Mašekova 2c/2
64748 Labin"
"Ljubica Petek"	"Radnički dol 7c
74022 Delnice"
"Jasna Dobrić"	"Orlovac 1b/6
13261 Nin"
"Joško Blažević"	"Bučarova 7
38131 Rab"
"Tea Gržinčić"	"Dolac 2c/0
25550 Bjelovar"
"Jasna Rađenović"	"Vrazovo šetalište 1c
20396 Pag"
"Anita Božanić"	"Draškovićeva 3
25778 Buzet"
"Robert Božičković"	"Grič 4a/9
32951 Zlatar"
"Vlado Medač"	"Cmrok 848
01956 Bjelovar"
"Matej Tisaj"	"Mašekova 235
92844 Novi Marof"
"Damir Sever"	"Jurjeve 2
25999 Novi Vinodolski"
"Igor Škara"	"Jurkovićeva 2b
00427 Prelog"
"Barbara Dretvić"	"Palmotićeva 19
84407 Zaprešić"
"Suzana Mimica"	"Goljak 9c/9
29473 Donja Stubica"
"Ivana Barišić"	"Male 4b/5
04342 Hrvatska Kostajnica"
"Renata Barbić"	"Jurjeve 8c
58367 Opatija"
"Leon Milovac"	"Svibovac 9
18256 Prelog"
"Robert Dubovečak"	"Svibovac 5b
88325 Vukovar"
"Sanja Škrnički"	"Zeleni dol 1
94774 Prelog"
"Rudolf Gligora"	"Nova Ves 4c/7
69827 Vrlika"
"Zvonko Kukučka"	"Šumski prečac 8c/1
34558 Slunj"
"Zdravko Hadrović"	"Šumski prečac 2
48722 Zaprešić"
"Viktor Polović"	"Petrova 9b
87080 Otočac"
"Mladen Crevar"	"Kamaufova 5a
65427 Valpovo"
"Jadranka Bralić"	"Šilobodov put 7c/9
43750 Ploče"
"Damir Tomljanović"	"Demetrova 4c
74493 Nin"
"Ljubica Jakuš"	"Zelengaj 15
06006 Valpovo"
"Robert Gabud"	"Naumovac 7b
53918 Našice"
"Anka Mardešić"	"Splavnica 4c
82862 Novska"
"Patrik Štimac"	"Harmica 4b
65621 Kutjevo"
"Ivica Fuček"	"Višnjica 5b/4
96086 Zaprešić"
"Ana Žufika"	"Krvavi most 41
55615 Vrbovec"
"Goran Kadija"	"Pantovčak 1b/7
19678 Sisak"
"Lucija Mišak"	"Palmotićeva 297
38115 Zagreb"
"Matea Madunić"	"Kraljevec II. 6a
15123 Đakovo"
"Barbara Mustapić"	"Dolac 6c/7
38252 Popovača"
"Alen Solomun"	"Svibovac 5a
52524 Supetar"
"Robert Jakuš"	"Opatovina 5a/4
96762 Ilok"
"Vjekoslav Hrženjak"	"Bakačeva 953
34214 Samobor"
"Renata Stojnić"	"Ribnjak 0a
69807 Čabar"
"Franciska Dončević"	"Svibovac 5c/8
63173 Supetar"
"Ljubica Šupraha"	"Dubravkin 4a/3
10923 Novska"
"Jadranka Huljev"	"Nova Ves 1b
04698 Rab"
"Julijana Pečur"	"Jurišićeva 5
46465 Novigrad"
"Julijana Katić"	"Medvedgradska 658
08555 Vodnjan"
"Ružica Herceg"	"Horvatovac 607
15375 Vodice"
"Dragan Abičić"	"Splavnica 4c
90025 Opuzen"
"Robert Kolarec"	"Kraljevečki odvojak 5a/8
53362 Prelog"
"Mateja Bingula"	"Petrova 5c/4
16577 Novi Vinodolski"
"Ivanka Žabjačan"	"Šestinski vijenac 0c
01858 Osijek"
"Lorena Obratov"	"Vitezovićeva 1b
99362 Klanjec"
"Barica Špika"	"Tkalčićeva 7c/4
06684 Nova Gradiška"
"Igor Viljevac"	"Voćarsko naselje 3b/1
19082 Hvar"
"Jasna Starčević"	"Kamenjak 9a
28431 Valpovo"
"Milka Zanoški"	"Ksaverska 8c/9
88580 Slunj"
"Siniša Zrilić"	"Ribnjak 3a
89940 Buje"
"Siniša Galešić"	"Arnoldova 8b
00499 Stari Grad"
"Robert Markuš"	"Davor 3b/6
51736 Kaštela"
"Dejan Kraljić"	"Mašekova 7b/0
23157 Đakovo"
"Kristina Katić"	"Kamaufova 1a/0
63761 Popovača"
"Pavao Petričević"	"Gradec 9
79127 Ilok"
"Ilija Ozimec"	"Krvavi most 0c/3
82826 Varaždinske Toplice"
"Danica Dujmović"	"Gornje Prekrižje 1b/1
29860 Biograd na Moru"
"Štefica Ćosić"	"Šilobodov put 1c
13491 Rijeka"
"Ante Šipek"	"Wickerhauserova 7a/2
36266 Rab"
"Aldo Bungić"	"Draškovićeva 022
33988 Benkovac"
"Nikola Mišković"	"Šestinski vijenac 6c
25542 Makarska"
"Robert Preočanin"	"Davor 1
09914 Senj"
"Martina Barbieri"	"Zamenhofove 8a/7
56698 Novi Marof"
"Luka Krznarić"	"Kaptol 6c
11108 Rijeka"
"Mateja Zelić"	"Streljačka 7a
96892 Benkovac"
"Jure Bijelić"	"Donje Prekrižje 7c
10391 Vrgorac"
"Ane Novak"	"Perivoj biskupa Stjepana II. 7c/0
84664 Makarska"
"Gordana Ritoša"	"Dolac 9b/2
45429 Benkovac"
"Roko Glavan"	"Radnički dol 3b
58116 Novigrad"
"Valter Bazjak"	"Donje Prekrižje 204
82814 Ilok"
"Igor Petek"	"Mletačka 7b/0
18436 Varaždinske Toplice"
"Robert Ričko"	"Perivoj srpanjskih žrtava 2a/2
76709 Pregrada"
"Hana Risek"	"Klenovac 8a
67970 Valpovo"
"Matija Čupić"	"Pantovčak 4a/4
60806 Benkovac"
"Antonija Vozila"	"Jurjevska 6b
45113 Novigrad"
"Nikša Mihelčić"	"Dolac 972
80583 Split"
"Jozo Mikulčić"	"Ljubinkovac 2
32803 Donja Stubica"
"Lorena Žerjav"	"Dolac 0
81903 Nova Gradiška"
"Sandra Božiković"	"Bosanska 4a
09954 Crikvenica"
"Marta Gotić"	"Goljačke 4a
74929 Korčula"
"Iva Bezić"	"Zmajevac 89
88449 Komiža"
"Robert Stiperski"	"Vrazovo šetalište 1a
45466 Garešnica"
"Jasminka Škugor"	"Jurjevska 0c/0
74473 Valpovo"
"Luka Kramarić"	"Horvatovac 97
98251 Valpovo"
"Milan Turina"	"Mlinarska 1c/9
41073 Split"
"Đuro Antić"	"Draškovićeva 4b/0
38967 Hrvatska Kostajnica"
"Erik Vižintin"	"Šilobodov put 13
06310 Omiš"
"Jasna Milatić"	"Kurelčeva 9a/4
11588 Virovitica"
"Damir Bačić"	"Kraljevečki odvojak 6a
85322 Oroslavje"
"Fran Sabljak"	"Mirogojska 2b
81997 Omiš"
"Duje Liović"	"Opatička 24
14560 Opatija"
"Robert Zgorelec"	"Opatička 4a
23926 Kaštela"
"Štefanija Božiković"	"Bijenička 7a
21766 Kastav"
"Matija Rebić"	"Šestinski vrh 642
15750 Sveti Ivan Zelina"
"Marijan Kauzlarić"	"Ružičnjak 6a/0
76049 Skradin"
"Lovre Bunčić"	"Zelengaj 7
64547 Nova Gradiška"
"Marin Šurina"	"Mirogojska 5a
48373 Trilj"
"Zoran Ilinović"	"Šestinski vijenac 530
77228 Osijek"
"Ivanka Ilić"	"Voćarsko naselje 1a/1
57331 Omiš"
"Tomislav Plažanin"	"Kraljevec 3a
79820 Belišće"
"Mario Polović"	"Gupčeva zvijezda 2b/0
84986 Oroslavje"
"Robert Šelendić"	"Mlinarska 8a
56550 Ludbreg"
"Ivanka Martinović"	"Voćarsko naselje 15
11897 Đakovo"
"Goran Bačak"	"Istarska 1a/4
27508 Trilj"
"Katarina Bašić"	"Kraljevec II. 7c
17674 Našice"
"Nevenka Gracin"	"Vinogradska 5b/9
93807 Ploče"
"Jelena Mikić"	"Remetska 844
58127 Bakar"
"Zlatko Poropat"	"Ružičnjak 0b/1
22739 Varaždinske Toplice"
"Matea Mesarić"	"Demetrova 8a
91990 Crikvenica"
"Nevenka Lukić"	"Tuškanac 5b
72101 Sinj"
"Leon Milotić"	"Mihaljevac 2
27459 Buje"
