"Albina Barišić","Jurkovićeva 7
44983 Rovinj" 
"Anica Martinčević","Magdićeve 529
04130 Krapina"
"Davor Knezović","Jabukovac 1c/4
55790 Vrgorac"
"Jozo Štefović","Svibovac 8c/4
41861 Čazma"
"Jasna Čupić","Lisinskoga 360
02312 Petrinja"
"Jele Borojević","Remetska 1c
43699 Glina"
"Tomislav Škugor","Zelengaj 1b
45734 Zlatar"
"Darko Car","Donje Prekrižje 0c/1
54897 Orahovica"
"Ruža Sobota","Wickerhauserova 28
81705 Kaštela"
"Dino Bukvić","Mihaljevac 8a
83635 Sinj"
"Božica Polonijo","Kapucinske 9c
86801 Otok"
"Anita Božičević","Magdićeve 05
08348 Osijek"
"Anka Stolnik","Orlovac 2a
00858 Velika Gorica"
"Mislav Darojković","Slavujevac 2c
86885 Vukovar"
"Ema Zrilić","Zeleni dol 2
48823 Varaždin"
"Nikša Bučar","Mletačka 9c
79796 Vrbovsko"
"Tomo Barić","Rokova 0a/3
29108 Oroslavje"
"Ruža Amidžić","Krvavi most 1b
52827 Sisak"
"Elvis Rađenović","Vlaška 4
23002 Ogulin"
"Jasminka Kinkela","Splavnica 707
29859 Vrbovec"
"Kate Josipović","Opatička 22
99185 Đurđevac"
"Gordana Halambek","Hercegovačka 5a/9
59986 Novalja"
"Dora Šantić","Harmica 7b
77894 Nova Gradiška"
"Matija Lazar","Vinogradska 8b/3
34755 Biograd na Moru"
"Mia Bradić","Zmajevac 7c/5
44739 Opuzen"
"Damir Sardelić","Mletačka 75
21401 Daruvar"
"Tomo Boljkovac","Jurjevska 7
19088 Knin"
"Josip Leščić","Jurkovićeva 12
86383 Vrbovec"
"Domagoj Britvec","Paunovac 2a/1
42055 Otočac"
"Dragica Sokić","Zvonarnička 14
41274 Orahovica"
"Andrea Mamić","Visoka 1b/7
37075 Pag"
"Anita Kralj","Remetska 9a
43816 Supetar"
"Andrija Jurjević","Magdićeve 092
92473 Sinj"
"Aldo Kučić","Jurjeve 7b
28100 Bjelovar"
"Mislav Tuksar","Novi Goljak 9b/0
79477 Pazin"
"Anita Prelec","Srebrnjak 1b/3
89586 Omiš"
"Tomo Franjić","Klesarski put 1b
69630 Osijek"
"Janko Stipanović","Vitezovićeva 771
48573 Jastrebarsko"
"Erik Sever","Perivoj biskupa Stjepana II. 7b
66864 Garešnica"
"Filip Ivančan","Kraljevec II. 431
30572 Glina"
"Antun Golubić","Vrazovo šetalište 7b/1
83292 Labin"
"Andrija Zgorelec","Voćarsko naselje 9b/1
17952 Sveta Nedelja"
"Štefica Erceg","Tkalčićeva 2c/8
03430 Novi Marof"
"Nikolina Ljubičić","Ljubinkovac 5c
68301 Vodnjan"
"Antonija Mavra","Jurkovićeva 5a
44798 Grubišno Polje"
"Matea Tudor","Skalinska 8c
50969 Mursko Središće"
"Tomo Grgurević","Davor 62
42342 Bjelovar"
"Marta Šitum","Vinogradska 4
98255 Mursko Središće"
"Vlado Oršolić","Goljačke 327
73181 Pakrac"
"Anđela Krpan","Arnoldova 6a
66948 Đurđevac"
"Laura Čizmić","Višnjica 3c/3
30779 Vinkovci"
"Robert Božanović","Jurišićeva 85
67828 Nin"
"Dušan Darojković","Tkalčićeva 2c/7
34431 Pag"
"Jakov Žiković","Remetska 5c
25354 Trogir"
"Mario Cukon","Pantovčak 07
70207 Sinj"
"Ružica Cindrić","Podgaj 8b
88087 Biograd na Moru"
"Tomo Kolarec","Vijenac 91
95720 Čazma"
"Tomo Grubišić","Opatovina 020
47281 Nin"
"Davor Krajcar","Bakačeva 0c/1
95475 Buzet"
"Miroslav Govorčinović","Mirogojska 1c
49293 Lepoglava"
"Luka Špralja","Bakačeva 8b/9
34563 Ivanić-Grad"
"Kate Kralj","Ljubinkovac 6
96822 Sveta Nedelja"
"Ivo Mušćet","Visoka 714
47138 Beli Manastir"
"Marko Matovina","Jezuitski trg 5b/2
80379 Novi Vinodolski"
"Kate Prelec","Klanac Grgura Tepečića 7c/0
13100 Obrovac"
"Đurđica Medač","Bosanska 075
96624 Samobor"
"Tomo Marasović","Tošovac 1a/8
79629 Prelog"
"Josip Puškarić","Kraljevec 7a/0
26591 Vrbovec"
"Petra Ćosić","Perivoj biskupa Stjepana II. 3
54004 Novalja"
"Katarina Mihić","Arnoldova 1b
57057 Ivanić-Grad"
"Lovro Živković","Šestinski vrh 3a/7
63344 Ivanić-Grad"
"Nika Kostanić","Pod zidom 194
84748 Komiža"
"Jure Brezjan","Magdićeve 4a
25280 Pazin"
"Pavao Gulan","Bijenička 571
20029 Ivanec"
"Boris Milevoj","Paunovac 3b/0
38686 Rijeka"
"Šime Govorčinović","Medveščak 8
33078 Lipik"
"Tomo Modrić","Ilica 384
43688 Varaždin"
"Niko Preočanin","Horvatovac 5
39853 Vrbovec"
"David Vukman","Nemetova 3a
73857 Rijeka"
"Eva Poslon","Dolac 6
65315 Virovitica"
"Dario Rađenović","Dvoranski prečac 175
47313 Nova Gradiška"
"Pero Toić","Šestinski vijenac 9c
81382 Otočac"
"Marija Sršen","Kamenita 46
53886 Vodnjan"
"Antonija Gulan","Vijenac 6c/1
91274 Đurđevac"
"Domagoj Žagar","Perivoj srpanjskih žrtava 2a/8
02022 Vodnjan"
"Elvis Matković","Vitezovićeva 1a
46827 Split"
"Tomo Prtenjača","Zeleni dol 0c/2
84839 Hrvatska Kostajnica"
"Dejan Špišić","Vinogradska 1a
56562 Jastrebarsko"
"Sara Topić","Klenovac 080
01552 Bakar"
"Franciska Prtenjača","Perivoj biskupa Stjepana II. 68
15147 Čabar"
"Petar Turčinov","Svibovac 5a/3
09288 Vinkovci"
"Suzana Birtić","Cmrok 5b/1
57189 Obrovac"
"Vedran Huljev","Svibovac 3
05168 Slunj"
"Matea Vugdelija","Goljak 9a/6
38558 Ivanić-Grad"
"Mladen Jelavić","Višnjičke 6c
15384 Ludbreg"
"Mihael Kostanić","Rockefellerova 2
17581 Zaprešić"
"Tomo Ražov","Čačkovićeva 1a/8
07661 Crikvenica"
"Terezija Čuljak","Mesnička 1c/9
13181 Poreč"
"Franjo Žugec","Klanac Grgura Tepečića 73
73975 Mursko Središće"
"Mare Toić","Orlovac 2c/3
57238 Pakrac"
"Matea Bungić","Gračanska 7a/5
55095 Požega"
"Robert Obradović","Klenovac 6c/3
48071 Zagreb"
"Matija Bušljeta","Golubovac 7
15616 Virovitica"
"Matej Ušić","Kamenjak 6
92967 Ploče"
"Dragan Mraović","Jurkovićeva 1b
17207 Supetar"
"Tomislav Jakuš","Podgaj 987
48120 Lepoglava"
"Tomo Sikirić","Višnjica 0c/8
63363 Zlatar"
"Božica Damjanović","Slavujevac 499
41454 Slatina"
"Ivanka Sardelić","Opatička 4b/1
95870 Vrgorac"
"Katica Tomičić","Podgaj 9b
41899 Grubišno Polje"
"Mare Bezić","Donje Prekrižje 6b/8
89560 Našice"
"Katarina Kalazić","Svibovac 5a
77956 Kutjevo"
"Mateo Novak","Ljubinkovac 6b/0
93440 Krapina"
"Mia Matana","Goljak 3
41826 Slatina"
"Anđela Ljubetić","Zelenjak 1a/6
49542 Knin"
"Joso Klarin","Ksaverska 1b
23370 Supetar"
"Tomo Ušić","Splavnica 6b
15241 Koprivnica"
"Petra Eterović","Gračanska 07
47039 Slatina"
"Nikša Rogošić","Perivoj srpanjskih žrtava 9c/2
61590 Karlovac"
"Ivka Vuljak","Javorovac 0a/5
21170 Mali Lošinj"
"Milena Jagarinec","Vončinina 2
00043 Duga Resa"
"Alen Legović","Nemetova 6
06401 Sveta Nedelja"
"Veronika Madunić","Jadranska 6a
98712 Đakovo"
"Antonija Miše","Gradec 2b/7
95815 Vodnjan"
"Jure Botić","Dverce 6a/5
02726 Novalja"
"Ankica Horvatić","Vrazovo šetalište 4b/8
78656 Vodice"
"Tomo Šestak","Pod zidom 7b/3
31926 Đurđevac"
"Matija Cvetković","Jurkovićeva 2b/0
46689 Vrbovsko"
"Nada Peterlik","Kapucinske 225
39302 Obrovac"
"Martin Plantek","Jurjevska 2b/7
71497 Mali Lošinj"
"Iva Dobrić","Bakačeva 0b
58819 Bakar"
"Nevenka Seničić","Nemetova 3b
61887 Bjelovar"
"Luka Lučić","Palmotićeva 1a
77473 Virovitica"
"Franjo Kuščević","Kapucinske 3c
76665 Vrbovec"
"Antonio Rakela","Visoka 3b/1
57301 Omiš"
"Karla Boljkovac","Višnjičke 1a
10966 Opatija"
"Toni Debelić","Kraljevečki ogranak 6b/3
36026 Dugo Selo"
"Maria Hinić","Voćarsko naselje 8a
17743 Karlovac"
"Pero Roso","Kraljevečki ogranak 23
07043 Sinj"
"Danijela Dolinar","Kraljevec 7c/6
08737 Gospić"
"Anto Mihelčić","Jurišićeva 58
50444 Pregrada"
"Karlo Mesić","Demetrova 1
39267 Trilj"
"Željka Krpan","Jurkovićeva 8b/2
64882 Split"
"Saša Benčić","Medveščak 3a
89334 Ivanec"
"Barica Franjić","Dvoranski prečac 4a/3
74310 Slatina"
"Vedran Mihić","Vinogradska 6b
46885 Opatija"
"Toni Dretvić","Zelengaj 455
54280 Mursko Središće"
"Nevenka Zanoški","Gračanska 79
39068 Virovitica"
"Valter Sakač","Javorovac 7c
93385 Ogulin"
"Snježana Bučar","Kožarska 25
23228 Kutina"
"Mirko Đurašević","Jurjeve 2b/7
89334 Beli Manastir"
"Dragutin Hršak","Naumovac 1c/8
84465 Buje"
"Jadranka Liber","Mala 0
18914 Virovitica"
"Štefanija Vučković","Ksaver 0a
86425 Cres"
"Duje Stančin","Goljačke 8a/3
37189 Pazin"
"Hrvoje Bingula","Mala 1b
04351 Omiš"
"Toni Kovaček","Strossmayerovo šetalište 9c
78236 Metković"
"Mislav Žunec","Lisinskoga 6a/4
04900 Garešnica"
"Štefanija Boljkovac","Skalinska 7c/3
62358 Zaprešić"
"Anđela Rahija","Kamenjak 0b
09348 Nova Gradiška"
"Zdenka Trnski","Skalinska 9b
35409 Jastrebarsko"
"Biserka Matovina","Ljubinkovac 8c/9
47623 Beli Manastir"
"Lovro Žuvela","Zmajevac 7
90354 Slavonski Brod"
"Julijana Markanjević","Dubravkin 2c/1
58259 Donja Stubica"
"Toni Govorčinović","Mihaljevac 9a
27303 Dugo Selo"
"Nikolina Morić","Mesnička 4
23186 Makarska"
"Toni Lelas","Pantovčak 7b
49497 Otočac"
"Jasna Sladonja","Ribnjak 08
91826 Mali Lošinj"
"Boris Zrinski","Bakačeva 8c
75734 Glina"
"Dragutin Vrhovec","Mirogojska 5c/8
85929 Koprivnica"
"Marijana Jakopec","Kožarska 9b
91407 Crikvenica"
"Valter Valentić","Rikardove 6b/6
92338 Ivanec"
"Rozalija Kelić","Bakačeva 7b/7
81615 Slatina"
"Mario Bošnjaković","Strossmayerovo šetalište 7b
32633 Krk"
"Ilija Putinja","Opatička 72
32612 Đakovo"
"Jakov Barković","Vlaška 7a/2
87436 Duga Resa"
"Toni Majstorović","Kamenita 4a
42331 Otok"
"Mile Šeparović","Zelenjak 4b
93602 Kaštela"
"Matej Dragičević","Opatovina 449
20579 Čabar"
"Toni Seničić","Vinogradska 7b
05070 Križevci"
"Lana Vukman","Kamenjak 073
83798 Zaprešić"
"Nina Filipčić","Hercegovačka 27
87505 Umag"
"Vjekoslav Špika","Slavujevac 9c/3
34185 Pazin"
"Zoran Bogović","Cmrok 8b
92319 Pleternica"
"Nikša Lučić","Radnički dol 6c
36769 Omiš"
"Damir Čukman","Zmajevac 3b
03058 Našice"
"Toni Matijević","Gračanska 2a/2
03991 Split"
"Pero Šegović","Dverce 4a/7
79492 Vinkovci"
"Hrvoje Kalanjoš","Naumovac 5c/1
11723 Mursko Središće"
"Sanja Bašnec","Novi Goljak 6c/8
44720 Donja Stubica"
"Mladen Baričević","Jurjeve 561
61778 Vis"
"Stana Radinović","Kraljevečki odvojak 7c
03424 Bjelovar"
"Ivka Banovac","Jurjevska 94
77434 Sveti Ivan Zelina"
"Marija Dukić","Medveščak 7c
29355 Pula"
"Miroslav Milevoj","Mašekova 53
35044 Vrbovec"
"Davor Mirt","Mihaljevac 77
88473 Donji Miholjac"
"Toni Rukavina","Šestinski vrh 115
18735 Glina"
"Joso Prtenjača","Mlinarska 1a
03755 Kastav"
"Jakov Tuškan","Kamenita 9b/9
09678 Cres"
"Kate Peša","Klesarski put 1
81909 Pula"
"Maria Karlović","Vončinina 3a
60584 Valpovo"
"Elizabeta Jurić","Perivoj biskupa Stjepana II. 8a/3
98252 Pleternica"
"Jele Puharić","Kozarčev vijenac 6a
43921 Nin"
"Dušan Liber","Šumski prečac 957
65026 Đakovo"
"Zora Pešić","Kraljevec II. 845
40009 Benkovac"
"Lorena Tomičić","Istarska 7a/4
15713 Vukovar"
"Toni Sokić","Wickerhauserova 9
12334 Korčula"
"Anđela Oršolić","Strossmayerovo šetalište 1a
11125 Dubrovnik"
"Ankica Sobota","Kaptol 6
67621 Rab"
"Anđela Matahlija","Čačkovićeva 3c/5
16221 Vrlika"
"Jadranka Brcko","Bučarova 260
36367 Novska"
"Veronika Orlović","Bakačeva 212
97472 Vrbovsko"
"Lea Sikirić","Kamenjak 8b/8
58684 Čabar"
"Lidija Ladavac","Voćarsko naselje 1c/8
16971 Krapina"
"Fran Pajur","Javorovac 7a
75717 Komiža"
"Toni Baljak","Strossmayerovo šetalište 437
09491 Gospić"
"Valentina Bačak","Rikardove 2c
97193 Osijek"
"Vesna Marinović","Zelenjak 3b
83969 Vodnjan"
"Barica Mimica","Zamenhofove 5
14457 Vrbovsko"
"Lidija Mihalić","Bijenička 2c/2
62953 Vrlika"
"Fran Pribanić","Bosanska 3b
36449 Cres"
"Matej Filar","Donje Prekrižje 4
02375 Novska"
"Fuma Sever","Kurelčeva 12
15471 Čakovec"
"Ilija Sobota","Šestinski vrh 1a/4
71481 Komiža"
"Alen Vižintin","Kapucinske 5c
05258 Novska"
"Ljubica Amanović","Medvedgradska 382
07952 Otok"
"Valentina Buršić","Čačkovićeva 0c/0
52763 Ludbreg"
"Dora Hadrović","Radnički dol 8a/7
75790 Umag"
"Mato Lucić","Pantovčak 7c/8
87589 Komiža"
"Matija Ciganović","Mlinske 3b
17466 Novi Vinodolski"
"Božena Malnar","Hercegovačka 1a
63523 Slavonski Brod"
"Mato Popović","Wickerhauserova 3c
67788 Dugo Selo"
"Elvis Liber","Magdićeve 4c
84133 Osijek"
"Franjo Perak","Klesarski put 265
51327 Pakrac"
"Dušan Ukić","Kapucinske 6b/2
55537 Donja Stubica"
"Manda Andrijević","Mašekova 01
85420 Bjelovar"
"Valentina Ferenac","Jadranska 978
42115 Jastrebarsko"
"Dragan Šuran","Jurjevska 2b/0
78375 Hvar"
"Eva Puškarić","Klenovac 7b/1
68973 Orahovica"
"Ika Penić","Šestinski vrh 2c
70676 Vodice"
"Dora Plažanin","Kamenita 5a/2
32548 Hrvatska Kostajnica"
"Karla Komljenović","Mala 730
76389 Donji Miholjac"
"Josip Bukvić","Kaptol 0a/4
02819 Grubišno Polje"
"Ivan Nakić","Kraljevečki ogranak 11
48414 Benkovac"
"Igor Mamula","Male 3b
21432 Mursko Središće"
"Josip Ercegović","Bakačeva 2b/7
32637 Karlovac"
"Valentina Jelavić","Medvedgradska 9c
59110 Bjelovar"
"Mara Kosanović","Šestinski vijenac 78
74376 Split"
"Branka Macan","Slavujevac 9c/0
16907 Karlovac"
"Branka Batrnek","Svibovac 7b/9
58876 Ivanić-Grad"
"Joso Čotić","Zmajevac 66
55102 Velika Gorica"
"Lea Gržetić","Streljačka 62
44124 Zlatar"
"Anto Golubić","Zamenhofova 3b/5
06255 Trogir"
"Željko Šverko","Kraljevečki ogranak 6a
30388 Ploče"
"Laura Dvojak","Bosanska 2b/0
64159 Varaždin"
"Matej Krznarić","Petrova 52
74285 Sveti Ivan Zelina"
"Valentina Kuzmić","Novi Goljak 5a/8
45625 Ilok"
"Nikolina Mardešić","Ljubinkovac 7a
09485 Đakovo"
"Mihael Džapo","Zmajevac 8c
18803 Vrgorac"
"Dora Dragobratović","Zelengaj 3b
62104 Vrbovec"
"Nikša Matković","Vrazovo šetalište 9c/5
01956 Buje"
"Tomislav Vrabelj","Rokov perivoj 6c/6
55559 Oroslavje"
"Marija Brlas","Petrova 7b/8
38883 Kaštela"
"Matea Marković","Dolac 56
81025 Cres"
"Anto Starčević","Svibovac 8c/1
39305 Samobor"
"Lea Surać","Nemetova 8
54109 Ploče"
"Valentina Moslavac","Visoka 3
03075 Pregrada"
"Dražen Jureško","Vijenac 9b/5
78262 Požega"
"Lidija Grbac","Kamaufova 5
74933 Nin"
"Ivanka Labaš","Jurjeve 0
09709 Petrinja"
"Martin Čubrić","Medveščak 8c/8
49683 Daruvar"
"Šime Kunac","Perivoj biskupa Stjepana II. 8
85271 Rab"
"Ivka Bogadi","Zvonarnička 3c
60866 Buje"
"Suzana Karmelić","Tošovac 2c
78722 Velika Gorica"
"Leon Milotić","Zelenjak 8a/9
94511 Garešnica"
"Nina Flego","Kožarska 9c
34314 Delnice"
"Valentina Rahija","Čačkovićeva 8c
07742 Komiža"
"Toni Rajčić","Lisinskoga 6c/2
19188 Drniš"
"Jakov Perković","Bijenička 8
33174 Pag"
"Mirjana Ritoša","Vončinina 0c
43214 Knin"
"Rudolf Medved","Ljubinkovac 6b
43937 Garešnica"
"Mare Lenić","Svibovac 401
14245 Zadar"
"Lidija Vorkapić","Visoka 1b
07397 Slavonski Brod"
"Dario Marušić","Kraljevec II. 0c
34508 Hrvatska Kostajnica"
"Tatjana Maretić","Jurjeve 843
57447 Dugo Selo"
"Dušan Bračun","Magdićeve 3a
64816 Prelog"
"Valentina Sorić","Jadranska 5b
24838 Duga Resa"
"Božica Hranić","Male 0a/6
92003 Vrgorac"
"Dino Valentić","Draškovićeva 2c/6
76585 Osijek"
"Miroslav Čargonja","Svibovac 4a
52235 Krk"
"Damir Ladavac","Radnički dol 8c/0
12407 Donja Stubica"
"Snježana Ribičić","Bijenička 4b
37643 Rovinj"
"Bruno Škrnički","Skalinska 12
97377 Popovača"
"Martina Lučić","Zvonarnička 31
14529 Solin"
"Jadranka Žagar","Jurjevska 8a
71066 Jastrebarsko"
"Dejan Amanović","Magdićeve 4c
94981 Kutina"
"Valter Drakulić","Kaptol 9c/4
57863 Labin"
"Erik Nižetić","Srebrnjak 0b/8
67464 Pazin"
"Milena Batrnek","Gornje Prekrižje 778
37509 Novi Vinodolski"
"Kristijan Cafuk","Zelengaj 9a/8
57349 Vis"
"Fuma Mužina","Wickerhauserova 236
53233 Kutina"
"Dominik Šalić","Voćarska 0b/1
35913 Metković"
"Josip Karagić","Medvedgradska 02
97316 Umag"
"Šime Britvec","Svibovac 2c
75702 Garešnica"
"Terezija Prelec","Krvavi most 9c/6
54209 Ozalj"
"Bruno Kujundžić","Mesnička 0b/4
75796 Kutjevo"
"Valter Maras","Zavojna 78
66929 Donji Miholjac"
"Maria Božanić","Horvatovac 97
90120 Osijek"
"Ružica Risek","Jabukovac 8a
75697 Pazin"
"Kata Marić","Kurelčeva 3a/7
73906 Oroslavje"
"Ivica Kukučka","Šumski prečac 8a/1
43351 Kutjevo"
"Draga Pozder","Kožarska 0c/2
58989 Vodnjan"
"Biljana Hršak","Zavojna 0c
22194 Prelog"
"Darko Martinić","Zamenhofova 9
49905 Kaštela"
"Dominik Jakopec","Nemetova 1a/8
35920 Kastav"
"Šime Bosilj","Šestinski vijenac 4a/5
14723 Belišće"
"Valter Meić","Rockefellerova 1c
11401 Ogulin"
"Filip Gotić","Zavojna 2b
62154 Zadar"
"Vera Barić","Šalata 2b/9
07266 Rab"
"Mislav Škrnički","Javorovac 6a
85799 Benkovac"
"Zora Jagarinec","Gradec 4a/8
68515 Labin"
"Jasna Vrabelj","Gupčeva zvijezda 708
21790 Rovinj"
"Mihael Čupić","Višnjica 309
97872 Pakrac"
"Karla Baričević","Glogovac 1c
68480 Krk"
"Dragutin Kujundžić","Male 3c
16463 Mali Lošinj"
"Maria Ribičić","Svibovac 8a/9
03189 Ploče"
"Valter Mišković","Gornje Prekrižje 8c
96265 Ozalj"
"Marina Drakulić","Mletačka 7a
59639 Nova Gradiška"
"Duje Karamarko","Perivoj srpanjskih žrtava 8c
69637 Gospić"
"Vjekoslav Miličić","Glogovac 3a/6
80318 Imotski"
"Mario Rubeša","Lisinskoga 1b/0
01258 Garešnica"
"Manda Piljek","Glogovac 7
76120 Zaprešić"
"Nataša Buljan","Kraljevec 7
34016 Pazin"
"Veronika Dubovečak","Vinogradska 6
50114 Varaždin"
"Štefanija Rakela","Jurjeve 0c
16833 Ivanec"
"Alen Barbieri","Kamenjak 60
37991 Varaždin"
"Valter Palić","Kozarčev vijenac 0b/3
55499 Oroslavje"
"Stana Soldo","Vlaška 0b
29999 Sveta Nedelja"
"Darko Bradić","Jurjevska 500
97933 Biograd na Moru"
"Lara Prelec","Zamenhofova 2c/4
61610 Velika Gorica"
"Boris Lukić","Voćarsko naselje 4b/5
64429 Koprivnica"
"Nikolina Mikulec","Mala 1a/4
06816 Pula"
"Branko Jovanovac","Kamenjak 2a/4
00510 Čakovec"
"Lidija Gligora","Pantovčak 5
21710 Trilj"
"Maria Knezović","Bučarova 434
68771 Buzet"
"Marica Volarević","Draškovićeva 388
72729 Ivanić-Grad"
"Vedran Bojanić","Male 2c/1
85338 Poreč"
"Slavica Živković","Kamaufova 9a/9
45723 Bjelovar"
"Marica Baričević","Ksaverska 61
69220 Orahovica"
"Marta Mofardin","Vlaška 3c
55246 Novi Vinodolski"
"Bruno Šeparović","Wickerhauserova 4a
40544 Supetar"
"Ankica Huljev","Vlaška 9c
87258 Vis"
"Terezija Martinović","Harmica 3a
22506 Karlovac"
"Kate Kinkela","Zavojna 1b/9
83067 Đurđevac"
"Mira Beraković","Bučarova 3a/1
16573 Šibenik"
"Biljana Gudelj","Mletačka 0a/3
90010 Osijek"
"Vedran Karlović","Ksaver 6c
04145 Krk"
"Pero Jakopović","Zamenhofova 7
55560 Novalja"
"Hrvoje Kraljić","Kapucinske 514
87742 Belišće"
"Anto Glavan","Tuškanac 6b/1
13094 Dubrovnik"
"Gordana Jakuš","Kapucinske 49
90769 Dugo Selo"
"Mirko Kolega","Vitezovićeva 4c
34883 Klanjec"
"Lea Franušić","Perivoj srpanjskih žrtava 27
22214 Kutjevo"
"Marija Lukinić","Srebrnjak 7a
62016 Lepoglava"
"Sara Hinić","Strossmayerovo šetalište 7b
44004 Makarska"
"Ivana Medić","Remetska 7c/2
71246 Stari Grad"
"Vedran Knežević","Tkalčićeva 298
45773 Klanjec"
"Ankica Tešija","Klesarski put 19
44470 Virovitica"
"Sanja Slavica","Vitezovićeva 4b/5
69408 Daruvar"
"Zorka Šantić","Jurišićeva 3c
45206 Beli Manastir"
"Danijela Brcko","Lisinskoga 2b/1
29381 Oroslavje"
"Juraj Glavor","Svibovac 7
83518 Umag"
"Matija Culi","Šilobodov put 6b/5
01329 Slatina"
"Juraj Rubeša","Paunovac 1c/5
70529 Zaprešić"
"Vera Perčić","Jabukovac 0c/2
27431 Đurđevac"
"Maja Šipek","Jurišićeva 3c/3
67580 Ludbreg"
"Vedran Roca","Magdićeve 1b/3
22805 Vodice"
"Sanja Maraš","Kapucinske 0a/1
10652 Metković"
"Vesna Ušić","Gradec 1b/0
57749 Donji Miholjac"
"Slavko Mamula","Mirogojska 3a/3
40256 Petrinja"
"Milka Božičević","Mihaljevac 0c/9
61439 Delnice"
"Petra Maras","Davor 0c/2
90655 Pakrac"
"Ivanka Matahlija","Medveščak 1b/5
30511 Osijek"
"Jelena Bezić","Grič 5a/9
68390 Vodice"
"Toni Franjić","Mlinarska 572
04639 Benkovac"
"Fran Colić","Bosanska 9c
01624 Vis"
"Vedran Stiperski","Srebrnjak 7a
15969 Ilok"
"Darko Šimunović","Ribnjak 4a
24493 Oroslavje"
"Božica Botica","Zavojna 6c/6
67048 Umag"
"Tatjana Vukobratović","Petrova 6a/1
98257 Varaždinske Toplice"
"Manda Kupsjak","Medvedgradska 6b
68774 Opatija"
"Gordana Glavor","Zelengaj 0
80363 Novska"
"Suzana Pribanić","Rockefellerova 98
91310 Nin"
"Laura Polović","Demetrova 9c
79792 Orahovica"
"Ane Mihalić","Jagodnjak 121
04210 Donji Miholjac"
"Marina Skupnjak","Zeleni dol 2c/3
80554 Biograd na Moru"
"Vedran Totić","Tošovac 3b
93153 Zagreb"
"Lucija Branković","Jurišićeva 9a/3
60705 Donji Miholjac"
"Karla Sošić","Ružičnjak 7a
14429 Rovinj"
"Željko Viljevac","Bijenička 3a
56723 Slunj"
"Ivan Vidović","Palmotićeva 3a
56750 Velika Gorica"
"Matej Kadija","Svibovac 06
32330 Pazin"
"Maja Šargač","Opatička 654
29548 Nova Gradiška"
"Boris Šipić","Perivoj srpanjskih žrtava 0b
64154 Velika Gorica"
"Nada Ilijić","Gupčeva zvijezda 39
84432 Čakovec"
"Matija Mihalić","Zeleni dol 603
89390 Beli Manastir"
"Vera Dražić","Ksaverska 6
24998 Bakar"
"Jakov Nedić","Kraljevečki ogranak 5c/0
00137 Obrovac"
