"Άγγελος Βουτσελας","Ναούμ 22,
ΤΚ 25983 Λαμία" 
"Σιρανούς Τζουμάκης","Αγίου Δημητρίου Πηλίου 02-76,
47260 Λάρισα"
"Παρασκευάς Μαντζουράνης","Αγραπιδιάς 58,
28020 Πάτρα"
"Ελισάβετ-Βαλέρια Ορφανίδου","Ταλάντων 6,
ΤΚ 09541 Ερμούπολη"
"Διαλεκτή-Σωφρονία Βουλτσίδου","Χορηγού 079-194,
ΤΚ 126 85 Αργοστόλι"
"Ρεβέκα-Υακίνθη Κυρκούδη","Γερακίου 98-98,
ΤΚ 417 71 Χανιά"
"Ηλίας-Ευγένιος Σκόρδος","Κορνοφωλεάς 9,
ΤΚ 94408 Σέρρες"
"Ασπασία Μαργαριτάκη","Πάρ. Διλόφου 43,
053 03 Ηγουμενίτσα"
"Γιάννης-Θεοδόσιος Μίσχος","Καλδή 9,
70164 Πύργος"
"Ξανθίππη-Πανδώρα Κανταρελή","Πλατανούσσης 13,
ΤΚ 480 74 Γρεβενά"
"Ευγένιος Γραμματικός","Ανατολικής Φραγκίστας 48,
82634 Ξάνθη"
"Νεκταρία Ασσαργιωτάκη","Ρουπακιάς 01-29,
ΤΚ 692 68 Λιβαδιά"
"Ανανίας Δέλιος","Λεωφ. Ευπαλίου 2,
ΤΚ 32368 Σάμος"
"Στεργιαννώ Κουρλού","Ευπαλίου 68-02,
ΤΚ 56723 Λευκάδα"
"Θεοφύλακτη Νικολάου","Χρυσομηλέας 765,
78052 Πύργος"
"Κλέαρχος Αποστολακάκης","Κοκκωτών 7,
57873 Τρίπολη"
"Λεωνίδας Κατσαντώνης","Κρήνης Πατρών 29,
64321 Βέροια"
"Μιχαήλ Τζαλλας","Πλ. Πανιπερίου 12,
98878 Θεσσαλονίκη"
"Σοφοκλής Πανταζής","Πατσουρέα 1,
43294 Ηράκλειο"
"Ξανθίππη-Σταματίνα Φωτακοπούλου","Διλινάτων 66,
97501 Σάμος"
"Αλεξία Χατζηφώτη","Μιχαλιτσίου 082-776,
ΤΚ 39331 Ζάκυνθος"
"Μάριος-Φρειδερίκος Πουλιέζος","Δημητσάνης 089-567,
390 39 Δράμα"
"Μαριάνθη-Αρετή Μπαλαμπάνη","Καραογλάνη 34,
ΤΚ 462 63 Μυτιλήνη"
"Ευμορφία Ματσούρη","Αρσενίου 41,
33021 Ηγουμενίτσα"
"Αηδόνα Ντριβαλά","Γιαννάδων 38,
88433 Κόρινθος"
"Ευρύκλεια Φίλκα","Καλαμιά 39,
65087 Ιωάννινα"
"Στεργιανή Βαϊραμίδου","Πλατεία Σαρακινίου 50,
82595 Αθήνα"
"Λεονάρδος Σπυρόπουλος","Γλυκών Νερών 6,
68103 Κέρκυρα"
"Ελεονόρα Κονσούλα","Μεσσήνης 2,
09444 Σάμος"
"Ξανθός Αναστόπουλος","Μουζακαίων 751,
96087 Αργοστόλι"
"Χριστιάνα Μωυσίδου","Πλατεία Σπαρτύλα 6,
ΤΚ 432 94 Χαλκίδα"
"Βελισσαρία Βράσκου","Κουκουθάκη 14,
16706 Καλαμάτα"
"Ίων Στόγιος","Κουφού 33,
ΤΚ 647 44 Καλαμάτα"
"Μερόπη Πορφυριάδου","Κοιλαδίου 85,
ΤΚ 639 07 Τρίπολη"
"Βαλέριος Μοσχόπουλος","Ελληνοπύργου 98,
ΤΚ 551 07 Βέροια"
"Δημούλα-Σουμέλα Τσανάκα","Νεμέας 821-521,
88846 Λαμία"
"Δαμιανός Μαστρογιώργης","Αρνίσσης 16,
486 68 Θεσσαλονίκη"
"Νεοκλής Παπαφώτης","Πάρ. Καλλιφύτου 00,
ΤΚ 082 89 Κατερίνη"
"Βαρδής-Φιλήμων Νιτσοτόλης","Κρύας Βρύσης 04,
04802 Ρόδος"
"Ξανθός Χατζιάρας","Πλατεία Παχτουρίου 301-028,
45202 Φλώρινα"
"Κορνήλιος Παλλάς","Μύρθιου 97-27,
31602 Κέρκυρα"
"Δράκων Χριστόπουλος","Σιλίμνης 47,
22027 Φλώρινα"
"Αγγελική Χολέβα","Πάροδος Αλικαρνασσού 293-865,
339 39 Σπάρτη"
"Παυσανίας Τζαβέλλας","Τσεπελόβου 18,
ΤΚ 11466 Πάτρα"
"Δημούλα Βραδή","Πάρ. Μελιγγών 0,
422 25 Αθήνα"
"Φώτιος Κώττας","Καβουσίου 91,
182 20 Κιλκίς"
"Αρτεμισία Τόμπρη","Τσιμανδρίων 40-32,
330 23 Τρίπολη"
"Σεμίνα Τσαχάκη","Πάροδος Φωσταίνης 72-68,
ΤΚ 888 48 Καλαμάτα"
"Ευδόξιος Κουράκος","Τσουνάκου 50,
ΤΚ 36970 Πολύγυρος"
"Ξενοφών Ντόκος","Παχείας Άμμου 423-103,
04291 Ξάνθη"
"Αθηναγόρας Αργυρίου","Στροφυλιάς 09-52,
11179 Χανιά"
"Ευμένιος Κωνσταντακόπουλος","Κρανέας 177-208,
ΤΚ 711 52 Ερμούπολη"
"Μαγδαληνός-Αθηνόδωρος Σολακούδης","Παπανάνου 216-821,
14211 Καστοριά"
"Σταύρος Γιαννακόπουλος","Πάροδος Λιθοβουνίων 6,
526 80 Βόλος"
"Φοίβη Σκαβέντζου","Σωτηροπούλου 421,
ΤΚ 35709 Τρίκαλα"
"Ηρόδοτος Καραδήμος","Πάροδος Καμαριώτου 07,
422 17 Τρίκαλα"
"Ηώ Γκαλίου","Λογγάστρας 21,
95659 Μυτιλήνη"
"Εριέτα Χιωτίδου","Καρδαριτσίου 09,
ΤΚ 903 20 Κόρινθος"
"Ευκλείδης Κίσσας","Καστελλίου Φουρνής 96,
848 00 Φλώρινα"
"Οδυσσέας Γιαννάκης","Βουτά 6,
36852 Βόλος"
"Βικέντια Παλαιολογοπούλου","Βρυτών 251,
94797 Αγ. Νικόλαος"
"Κρυστάλλης Γιαννακόπουλος","Κυνηγού 839-523,
39272 Ναύπλιο"
"Αριστέα-Αργυρούλα Μπατζάνη","Λουσών 2,
ΤΚ 995 22 Γρεβενά"
"Γαρύφαλλος Βλάχος","Καλογριανής 496-178,
01156 Μυτιλήνη"
"Αριστόβουλος Γκιτσάκης","Φιλίππου 51,
ΤΚ 219 38 Ιωάννινα"
"Νικολίτσα Δημτσούδη","Γοράνων 07,
16510 Σέρρες"
"Ορφέας Χριστάκης","Τσουνάκου 93,
211 53 Ναύπλιο"
"Νίκος Ρίγκος","Φρατσίων 0,
44004 Αγ. Νικόλαος"
"Χάιδω-Πουλχερία Καραγιοβάννη","Σίββα 032,
ΤΚ 62338 Αργοστόλι"
"Οδυσσέας-Ράλλης Ζολώτας","Πλατεία Βλαχέρνης 941-898,
ΤΚ 69283 Καρπενήσι"
"Ραχήλ Σεβδάς","Στεφανίου 21,
65487 Μυτιλήνη"
"Έξαρχος Σταμάτης","Αρνίσσης 5,
728 84 Αγ. Νικόλαος"
"Κίμων Γκουτζαμάνης","Προκοπίου 84-82,
ΤΚ 758 87 Αθήνα"
"Σάββας Τσιαντάς","Πάρ. Πύλας 31-75,
02440 Σάμος"
"Ανάργυρος Κονδυλίδης","Αρτοπούλας 027-473,
ΤΚ 418 81 Αγ. Νικόλαος"
"Σοφοκλής Βούλκος","Λεπούρων 1,
816 97 Ηγουμενίτσα"
"Κανέλλα Μανιτάρου","Ασμηνίου 016,
ΤΚ 82562 Πάτρα"
"Μεθόδιος Αρμένης","Παπαευαγγελίου 358-775,
ΤΚ 76874 Κατερίνη"
"Αρέθα Γαλανάκη","Λεωφόρος Ασωμάτου 60-78,
ΤΚ 88659 Καλαμάτα"
"Οδύσσεια Πυροβόλου","Αχλαδίου 12,
ΤΚ 068 54 Κέρκυρα"
"Ασκληπιός Μπερμπατιώτης","Αποστολίδου 7,
41034 Έδεσσα"
"Αμφιθέα Πετράκη","Βρυσοχωρίου 039-156,
15893 Πύργος"
"Ζηνόβιος Λιβανός","Δρυμαλίτου 05,
49086 Πρέβεζα"
"Πάτροκλος Ζαχαρίου","Χαλάρων 9,
ΤΚ 281 43 Κόρινθος"
"Υβόννη Παλιεράκη","Πολίτου 243-288,
ΤΚ 81527 Χίος"
"Πολύδωρα Μαντά","Αποικίων 856,
58786 Ζάκυνθος"
"Κλέαρχος Μάνδρος","Καρδαμαίνης 79,
30179 Τρίπολη"
"Ουρανία Γούπα","Θραψιμίου 21,
39588 Θεσσαλονίκη"
"Νεόφυτος Παληός","Μεξιατών 36,
09447 Χαλκίδα"
"Οδύσσεια Φιδάνη","Μαγουλιάνων 03,
831 01 Βόλος"
"Θεόκλητος Φυδάνης","Κηπουρείου 66,
38186 Άμφισσα"
"Ζωή Χαραλαμπίδου","Διποτάμου 1,
96859 Χίος"
"Πύρρος Κουρσουμίδης","Λεωφόρος Θολού 33,
020 76 Ξάνθη"
"Χριστοδούλα Ζυγούρη","Λυγαριάς 37,
ΤΚ 53338 Κοζάνη"
"Πολύκαρπος Τσιάκος","Καλλιάνταση 0,
74932 Τρίκαλα"
"Κίμων Τερζίδης","Παράνου 4,
15197 Κόρινθος"
"Ευμορφία Παυλάκη","Κασμιρλή 210-977,
088 75 Σέρρες"
"Χαράλαμπος Κουταλιός","Παλιούρα 8,
73342 Θεσσαλονίκη"
"Βλαδίμηρος Κλήμης","Καρβελίου 8,
04632 Έδεσσα"
"Ολύμπια Σωτηροπούλου","Σκουρτούς 84-90,
52371 Κατερίνη"
"Αιμιλία Νάντσου","Ξεχασμένης 4,
ΤΚ 98076 Μεσολόγγι"
"Λεωνιδιά-Νίκη Λιολιοπούλου","Λεωφόρος Μαριτσών 5,
123 38 Πολύγυρος"
"Τερψιχόρη Ζαχαρίου","Σατρών 66,
ΤΚ 18819 Ζάκυνθος"
"Τίτος Ιωσηφίδης","Πλ. Κονιδίτσης 637-537,
ΤΚ 77758 Αλεξανδρούπολη"
"Αγόρω Μαρτζούκου","Μακυνείας 8,
896 93 Σέρρες"
"Ασκληπιός Φουσιέκης","Τσιταλίων 432,
28460 Λάρισα"
"Ράλλης Αποστολακάκης","Θωμάκου 52-82,
099 64 Ηράκλειο"
"Λητώ Τόλη","Κορίτιανης 7,
89047 Δράμα"
"Ευγενία-Αρέθα Παλιεράκη","Οχυρού 40,
82895 Ναύπλιο"
"Ολύμπια Τζιωρτζή","Πάροδος Στίρφακας 5,
694 40 Αθήνα"
"Έλλη-Ισιδώρα Τζάγκα","Χουστουλιανών 10,
511 01 Κοζάνη"
"Ειρηναίος Σπανουδάκης","Ομαλών 3,
ΤΚ 59137 Ηράκλειο"
"Ρίζος Πευκιανάκης","Καραμανλή 0,
14029 Δράμα"
"Βύρων Παπατρέχας","Κανελλοπούλου 788-146,
29375 Κατερίνη"
"Κυριαζής Δανελής","Πλ. Μερόπης 76,
30719 Ρόδος"
"Πασχάλης Λιθοξοΐδης","Ομαλής 220,
ΤΚ 01086 Βέροια"
"Ερωφίλη Γρηγοριάδου","Βουνοπλαγιάς 78,
ΤΚ 63133 Κέρκυρα"
"Ίκαρος Μανουσιάδης","Πάρ. Σταυροπηγίου 50,
36589 Σπάρτη"
"Ανέστης Κακοσαίος","Σουρωτής 08,
039 61 Βόλος"
"Ορέστης Αθανασάκης","Σταγιατών 18,
68265 Λιβαδιά"
"Αριάδνη Μιχαηλίδου","Βαλιμής 0,
79638 Λάρισα"
"Γιασεμή Παπασπηλιωτοπούλου","Καλαρρυτών 93,
41561 Κιλκίς"
"Φαίδων Ραχωβίτσας","Παναγιώτου 40-15,
ΤΚ 79524 Κατερίνη"
"Δομήνικος Κουρελής","Αγαθουπόλεως 1,
ΤΚ 190 75 Κατερίνη"
"Θεοδόσιος Αθανασόπουλος","Σιμητοπούλου 634,
79900 Ρόδος"
"Στέλλα Ζωντανού","Πάροδος Δειλινά 7,
ΤΚ 247 38 Κέρκυρα"
"Χρυσή Ενωτιάδη","Πάροδος Χαβδάτων 856,
333 91 Καρπενήσι"
"Θεοχαρούλα Λέκκα","Λυκαίου 967-066,
ΤΚ 905 72 Πρέβεζα"
"Ευστράτιος Καρούντζος","Βασιλείου 13,
ΤΚ 29271 Ηγουμενίτσα"
"Ορέστης Λώλος","Πορφυριάδου 4,
ΤΚ 877 35 Ρόδος"
"Τρύφων Μόναχας","Αρχιλόχου 9,
262 94 Λάρισα"
"Ευδόξιος-Λύσανδρος Πατελής","Λεωφ. Ασπριάς 5,
ΤΚ 68577 Σέρρες"
"Παράσχος-Ιππόλυτος Μαυρομμάτης","Πάρ. Βρούτση 0,
73606 Σπάρτη"
"Λουκιανός Μίχος","Λαγυνών 28,
ΤΚ 350 51 Βόλος"
"Φιλαρέτη Μηνά","Πάροδος Σιάνων 32-23,
ΤΚ 639 54 Χανιά"
"Μίνωας Διακάκης","Γαλατείας 41-35,
08595 Ρέθυμνο"
"Αστέρω Σακκή","Μαρτζούκου 451,
ΤΚ 060 79 Αργοστόλι"
"Βασίλειος Ρέππος","Κουτσελιού 0,
96995 Καρδίτσα"
"Νερατζιά Τσέτου","Παντίσκα 2,
01759 Αργοστόλι"
"Ορέστης Μασόπουλος","Γαλατσώνας 116-292,
675 86 Κόρινθος"
"Μαρωτέσα Μπύρου","Καλονύκτου 84,
18182 Πολύγυρος"
"Μάρθα Βαρουτίδου","Σταθά 76,
46031 Άρτα"
"Φρειδερίκος Μόναχας","Ζιάρα 54-19,
ΤΚ 289 55 Ερμούπολη"
"Κωνσταντίνος-Φλοριάντ Τραχίλης","Ευγήρου 74,
ΤΚ 90470 Καρπενήσι"
"Ειρήνη Παπαθανασίου","Λεωφ. Πηγαδησάνων 9,
81140 Άμφισσα"
"Κονδυλία Γρίβα","Πολυκάρπης 489-866,
ΤΚ 66554 Κιλκίς"
"Ξανθίππη Λογκάκη","Πλατεία Λευκοχώρας 304-778,
602 68 Λάρισα"
"Ξανθή Μηλιάδου","Πλώρας 28,
89287 Σπάρτη"
"Καλλιρρόη Καρακώστα","Βιδιακίου 995,
29003 Άρτα"
"Ορέστης Τερζίδης","Βαθυκοίλου 821,
218 63 Ιωάννινα"
"Κάρολος Χαλατσής","Ακραιφνίου 68,
645 16 Ηγουμενίτσα"
"Αλκινόη-Βέρα Διαμαντοπούλου","Στίρφακας 16,
ΤΚ 82410 Ηράκλειο"
"Βασίλειος Ζυγούρης","Σιτοχωρίου 43,
ΤΚ 781 68 Βέροια"
"Χριστόδουλος Καμποσάκης","Αγοράς 99,
15888 Ιωάννινα"
"Σπυράννα Κολαΐτου","Λουτροτόπου 15,
07838 Μεσολόγγι"
"Πανορμίτης-Τρύφων Μποφός","Πάροδος Κατωχωρίου 06,
ΤΚ 556 71 Άμφισσα"
"Σωτηρία Μαργαρίτη","Βαμβακούσσης 628,
26528 Καβάλα"
"Χρυσαυγή Αδαμοπούλου","Εμπεσού 43,
32027 Χαλκίδα"
"Αβραάμ-Δανιήλ Στραβοσνίχης","Γούλα 36,
23381 Αλεξανδρούπολη"
"Ορφέας Γκανάτσιος","Σουλίου 30-99,
ΤΚ 29011 Πολύγυρος"
"Ζωή Χωρινού","Μασάρων 4,
35331 Χαλκίδα"
"Ευαγγελία Καλογιαννάκη","Ισθμίας 71,
41992 Βέροια"
"Βερόνικα Λεντζίου","Πάρ. Πασαλιτών 302-972,
74156 Ξάνθη"
"Σώζων Αντωνόπουλος","Κυανής 0,
ΤΚ 898 06 Χανιά"
"Αγαθάγγελος-Τίτος Γκούβελος","Ραβενής 0,
ΤΚ 27890 Σέρρες"
"Χρυσαφένια Δουλουφάκη","Καλιδόνης 746,
ΤΚ 106 05 Αλεξανδρούπολη"
"Μαργαρίτα Μιχελή","Κουμάρα 0,
37352 Λάρισα"
"Δανιήλ Μαμμής","Ορθέ 24,
17884 Φλώρινα"
"Βελισσαρία Κοφινάκη","Πάρ. Αγαλιανού 5,
ΤΚ 196 12 Αλεξανδρούπολη"
"Ορφέας Καψάλης","Μαρτιάδου 36-75,
ΤΚ 81830 Τρίκαλα"
"Εριφύλη Μάρα","Σακτουρίων 0,
75782 Λιβαδιά"
"Ερατώ Μπεκάκου","Κοντού 60,
ΤΚ 796 38 Ιωάννινα"
"Χαρά Λιόντη","Ιωσηφίδου 55,
67142 Κιλκίς"
"Φωτεινός Χαρτερός","Δειλινά 44,
ΤΚ 21403 Πολύγυρος"
"Βλασία-Χριστοδούλα Καλδή","Ρούσσου 555-119,
22544 Ζάκυνθος"
"Χάιδω-Μαλαματένια Τάσση","Πάροδος Κιλελέρ 248,
81239 Ξάνθη"
"Ορέστης Σουρμπής","Πάροδος Γαλιάς 33,
70582 Πάτρα"
"Στέλλα Παπανδρέου","Σαγκρίου 65,
41873 Τρίπολη"
"Ιππολύτη Παπαευαγγελίου","Θηριοπέτρας 48,
01562 Ναύπλιο"
"Ορφέας Μακρής","Λύχνων 63,
ΤΚ 48582 Τρίπολη"
"Θεόκλητος Κριάλης","Αναστάσεως 46,
44635 Έδεσσα"
"Διονύσιος Ζαχαρίου","Εύας 2,
ΤΚ 72941 Σέρρες"
"Αθανάσιος-Ταξίαρχος Κατσαντώνης","Μαλακίων 7,
ΤΚ 27269 Χαλκίδα"
"Νικολέτα Φλασκή","Λεωφόρος Λαγκαδά 5,
71770 Ζάκυνθος"
"Αδαμαντία Κασμιρλή","Αυγής 88,
ΤΚ 250 99 Μυτιλήνη"
"Ξανθός Τσεντούρος","Λεωφ. Μεγαπλατάνου 11,
97938 Ηράκλειο"
"Τιμολέων Καρούσος","Αρκαδάδων 79,
ΤΚ 15653 Έδεσσα"
"Ξένη Ντζιαβίδα","Μοναστηρίου 69-01,
314 09 Ερμούπολη"
"Μαύρος Αναστόπουλος","Σκουληκαριάς 774-675,
52144 Καβάλα"
