"Ѓорги Велков","Крушевска 509
37695 Битола" 
"Сузана Зафировска","Јасминска 6в
65604 Кратово"
"Др. Доне Василев","Рибарска 7б/6
53741 Скопје"
"Проф. Томе Ристовски","Михаило Пупин 6в
17125 Пробиштип"
"Даница Трајковска","Радовишка 6в
68750 Пробиштип"
"Проф. Дамјан Илиев","Едвард Кардељ 9б
97838 Дебар"
"Симон Лазаревски","Будимпештанска 3а/1
35513 Прилеп"
"Димка Апостолова","Даме Груев 567
10692 Радовиш"
"Алексеј Дурловски","Христијан Тодоровски Карпош 8в
69331 Берово"
"Проф. Лина Марковска","Лондонска 9б
34686 Куманово"
"Снежана Димовска","Петар Поп Арсов 1б/0
37816 Скопје"
"Г-н Душан Јанев","Свети Климент Охридски 7б/9
42650 Дебар"
"Г-ца Анита Глигорова","Никола Вапцаров 2в
15759 Ресен"
"Проф. Драган Крстески","Орце Николов 9а/9
67040 Неготино"
"Г-н Антон Ѓоргиев","Крушевска 0а
34199 Крушево"
"Проф. Дамјан Коцев","Михаило Пупин 315
64989 Скопје"
"Др. Катерина Јовановска","Трета македонска бригада 2а/7
87600 Пробиштип"
"Трајче Спасов","Варшавска 4б
68255 Крива Паланка"
"Стефанија Пановска","Зелезничка 3б/7
84568 Богданци"
"Г-ца Василка Чулева","Јасминска 3
55871 Гостивар"
"Др. Анита Климовска","Едвард Кардељ 6б
53811 Битола"
"Проф. Благој Бојаџиев","Перо Наков 861
59421 Кичево"
"Влатко Арсовски","Булевар Партизански одреди 6а/1
75278 Кочани"
"Др. Данче Мартиновска","Ленинградска 3а
09498 Кочани"
"Петре Чулев","Глигор Прличев 2б/9
57283 Куманово"
"Проф. Дамјан Христов","Волгоградска 1в
61136 Куманово"
"Дарија Дешановска","Јасминска 518
05806 Кратово"
"Билјана Иванова","Кеј Македонија 9а/8
35877 Прилеп"
"Г-ѓа Јасмина Иванова","Партизански одреди 9б
87955 Охрид"
"Проф. Даниел Чулев","Лондонска 0а/3
43382 Пробиштип"
"Др. Јована Ѓоргиева","Кирил Пејчиновиќ 4б
76418 Демир Капија"
"Елизабета Велкова","Аристотел 4б
84117 Гевгелија"
"Василка Апостолова","Јован Хаџи Константинов Џинот 18
64657 Свети Николе"
"Проф. Иван Крстески","Благој Давков 5б/0
51319 Пробиштип"
"Др. Јован Марковски","Пролетерска 9в
36681 Кичево"
"Проф. Даниел Дешановски","Булевар Партизански одреди 9в
31909 Кичево"
"Даница Ристовска","Свети Климент Охридски 3
64148 Виница"
"Жарко Лазаревски","Гоце Делчев 9в
08919 Богданци"
"Проф. Марија Ѓорѓиевска","Климент Охридски 611
34479 Богданци"
"Г-ѓа Драгана Димитриева","Софиска 5в
90855 Пехчево"
"Г-н Борис Гавриловски","Булевар Свети Климент Охридски 9в
94079 Кавадарци"
"Др. Трајан Поповски","Булевар Свети Климент Охридски 2б/0
85788 Скопје"
"Цветанка Ѓорѓиевска","Маршал Тито 1б/1
91602 Делчево"
"Лилјана Мојсова","Варшавска 792
55815 Кратово"
"Павле Цветковски","Дојранска 4б/1
03214 Кавадарци"
"Проф. Даница Јовановска","Кеј Македонија 9
03152 Македонски Брод"
"Проф. Петар Георгиев","Партизански одреди 60
67644 Кавадарци"
"Иван Младеновски","Воденска 3
01224 Битола"
"Др. Трајан Велков","Никола Вапцаров 857
27557 Прилеп"
"Г-ѓа Весна Трајковска","Радовишка 6а
48606 Македонска Каменица"
"Др. Тодор Крстев","Женевска 1
15334 Струмица"
"Проф. Цветанка Лазаревска","Ленинградска 1в
62195 Гевгелија"
"Маја Глигорова","Македонија 1а
96568 Охрид"
"Др. Емил Дурловски","Кеј Димитар Влахов 662
87965 Богданци"
