"Adriana Almeida","Av Leal, 59
8518-401 Funchal" 
"Henrique Pinho","Praça de Vieira, 55
3532-689 Pinhel"
"Nicole Jesus-Carvalho","Rua de Coelho, 30
5581-395 Loulé"
"Patrícia Rodrigues","R. do Passeio Alegre, 69
9545-152 Vila Franca de Xira"
"Vera Lourenço","Praça dos Aventureiros, 659
4357-126 Porto Santo"
"Micael Azevedo","Largo Noah Branco, S/N
7126-431 Loulé"
"Henrique Batista-Faria","Praça Gaspar, 96
8493-961 Lisboa"
"Salomé Jesus","Praça de Públia Hortênsia, 91
2502-959 Maia"
"Salomé Pinheiro","Alameda de Neto, 4
7188-612 Ílhavo"
"Mauro Moreira","Travessa Erika Antunes, 27
5846-999 Alcobaça"
"Margarida Silva-Barros","Av do Barcal, 53
5816-429 Lourosa"
"Bryan do Marques","Travessa Vicente, 4
4086-445 São Mamede de Infesta"
"Salomé Vaz-Oliveira","Rua Artur Cupertino de Miranda, 66
2437-688 Vila Nova de Foz Côa"
"Diogo Maia","Travessa de Oliveira, 55
1273-600 Valpaços"
"Francisco Barbosa","Av da Associação Empresarial de Portugal, S/N
3105-681 Rio Tinto"
"Mauro Pinto-Nascimento","Alameda Neves, 23
6494-962 Almada"
"Salomé Correia","Avenida das Japoneiras, 75
6421-227 Santana"
"Fabiana-Emma Teixeira","R. Cardoso, 950
3024-200 Loulé"
"Salomé Simões","Rua de Tavares, 92
2599-809 Câmara de Lobos"
"Wilson Rodrigues","Largo Anita Borges, 77
8080-329 Entroncamento"
"Artur Figueiredo","Avenida de Moradais Populares do Carriçal, 64
7433-075 Anadia"
"Emma Simões","Rua Batista, 48
2309-593 Esmoriz"
"Ângelo Lima","Largo dos Ferreiros, 9
5754-236 Ribeira Grande"
"Francisca do Lima","R. de Oliveira, 9
8316-822 Alcácer do Sal"
"Matias Pinheiro","Largo de Rodrigues de Freitas, 8
7444-979 Santa Maria da Feira"
"Diego Andrade","Av Joana Carvalho, S/N
9157-224 Guimarães"
"Nair Campos","Alameda Abreu, S/N
6689-130 Porto"
"Sandro Lourenço","R. de Guerreiro, 51
9507-175 Viseu"
"Salomé Vieira","Rua Tavares, S/N
8560-176 Gandra"
"Rodrigo Nunes","Travessa Ivo Melo, 70
8535-957 Horta"
"Mara Mota","Av Machado de Asis, S/N
9093-119 Guarda"
"Bruna Vieira","Praça de Gomes, S/N
8457-835 Torres Vedras"
"Luísa Pinheiro","Largo Grande de Cima, 51
9848-967 Ílhavo"
"Brian Esteves","R. de Sá, 63
7794-042 Sabugal"
"Ângela Melo-Matias","Alameda Bryan Leite, 61
5384-186 Lisboa"
"Rodrigo Lima","Av Nelson Mandela, 3
8697-804 Amora"
"Ângela Esteves","Avenida Sara Domingues, 883
7632-025 Porto Santo"
"Lúcia Barbosa","Largo Denis Moura, 294
7394-925 Vila Real"
"Salvador Abreu","Avenida de Soares, 53
8799-109 Ovar"
"Lorena Morais","Travessa de Eça de Queirós, 65
9548-328 Ourém"
"Nuno Faria","Travessa Rafaela Antunes, 9
6174-285 Anadia"
"Joana da Cruz","Travessa de Maia, 32
1707-990 Gandra"
"Joel Lourenço","Av de Marques, 39
2703-716 Mêda"
"César Monteiro","R. Sá, 4
9152-096 Valpaços"
"Alice Magalhães-Teixeira","Travessa Martins, 54
8023-734 Vila Real de Santo António"
"Marco Lima","R. de Andrade, 78
3951-867 Rio Tinto"
"Francisca Lourenço","Praça Paiva, S/N
5499-015 Serpa"
"Joaquim Coelho","Av de Rocha, 7
8043-879 Peso da Régua"
"Salvador Andrade","R. de Carvalho, 967
2026-812 Tavira"
"Cláudio Alves","Largo Vítor Reis, 27
5374-169 Ponta Delgada"
"Igor Ferreira","Praça Erica Santos, 61
8030-960 Covilhã"
"André Sousa","Largo Brian Moreira, 997
5440-995 Agualva-Cacém"
"Nair Assunção","Travessa Macedo, 63
9103-547 Vila Real de Santo António"
"Henrique Simões","R. Branco, 20
2724-721 Santa Comba Dão"
"Nuno Martins-Marques","Rua Noah Rodrigues, 936
5677-115 Faro"
"Isaac Fonseca","Alameda Ana Maia, 13
2301-435 Gondomar"
"Sebastião Cardoso","Avenida dos Armazéns, 684
2641-358 Gondomar"
"Benjamim Assunção","Av de Barbosa, 82
4175-267 São Salvador de Lordelo"
"Salvador Baptista","Praça Tomás Soares, S/N
5830-427 Quarteira"
"Vítor Pacheco","Praça de Antunes, 65
4299-895 Figueira da Foz"
"Carlota Batista","Av Mia Costa, 54
2649-037 Vila Nova de Gaia"
"Vítor Nunes","Travessa de Antunes, 999
8996-408 Mirandela"
"Sofia Amorim","Travessa de Assunção, 78
8987-449 Alcobaça"
"Vasco Andrade","R. Tristão da Silva, 8
3806-294 São Salvador de Lordelo"
"Tatiana Monteiro","Travessa de Ferreira, 91
1061-975 Paredes"
"Mauro Nogueira-Paiva","Avenida de Sousa, 73
5692-241 Tarouca"
"Vítor Baptista","Avenida Lisandro Lima, S/N
6457-309 Viseu"
"Carlota de Maia","Alameda de Pacheco, 88
7464-675 Reguengos de Monsaraz"
"Salvador Campos","Rua Yasmin Gonçalves, 36
4376-364 Torres Novas"
"César da Loureiro","Largo Paiva, 5
8639-096 Câmara de Lobos"
"Micael Teixeira","Largo Nádia Amaral, S/N
9883-096 Cartaxo"
"Jéssica Gaspar","Travessa Ferreira, 44
9826-330 Estarreja"
"Andreia Figueiredo","Travessa do Sobreirinho, 13
6102-725 Sabugal"
"William Barbosa","Praça de Estêvão Vasconcelos, 105
5161-376 Santo Tirso"
"Rafaela Machado","Rua Lia Vaz, 88
1924-056 Covilhã"
"Alícia Leite","Largo de Abreu, S/N
6839-671 Castelo Branco"
"Juliana Carneiro","Rua Brito, 4
8620-985 Marinha Grande"
"André Guerreiro-Pires","R. de Oliveira, 16
8949-050 Amadora"
"Salvador Cardoso","R. Almirante Pinheiro de Azevedo, 2
6111-792 Valbom"
"Tiago Macedo","Largo Abreu, 32
3657-896 Espinho"
"Jaime Lopes","Rua de Vieira, S/N
3237-345 Bragança"
"Marta Maia","Praça Silva, 35
7148-425 Amadora"
"Eduarda Baptista","Avenida das Ondas, 29
9259-493 Tomar"
"Rodrigo Marques","Rua Wilson Fonseca, S/N
4173-048 Lisboa"
"Bianca Vicente","R. de Vicente, 245
2228-218 Vila Nova de Santo André"
"Cristiano Esteves","Avenida de Campos, 42
1225-675 Ovar"
"Ângela Borges","Rua Coelho, 48
1723-367 Mangualde"
"Emma Sousa","R. de Cunha, 3
1015-610 Reguengos de Monsaraz"
"Salvador Pacheco-Teixeira","Alameda de Paiva, S/N
3108-265 Tomar"
"Marcos Batista","Praça Paulo Fernandes, S/N
5635-323 Vila Nova de Famalicão"
"Gil Andrade","Avenida de Paiva, 52
2430-507 Maia"
"João Gomes-Cruz","Alameda Torres, 4
9989-927 Amarante"
"Lara da Araújo","Praça de Mota, 84
3715-847 Reguengos de Monsaraz"
"Mélanie Oliveira","Av dos Aliados, 16
8893-517 Setúbal"
"Leandro Barros","Av Jesus, 53
8318-415 Odivelas"
"Simão Andrade-Soares","R. do Ródano, 21
4591-433 Agualva-Cacém"
"Eva Faria","R. Carvalho, 90
8704-214 Mangualde"
"Dinis Reis","Alameda Pinheiro, 22
2482-472 Fafe"
"Salvador Pinho","R. Luna Nunes, 25
9074-644 Viseu"
"Sara Carneiro","R. de Jesus, 14
4107-724 Entroncamento"
"Rita Batista","Largo de São Vicente de Paulo, 4
5128-935 Covilhã"
"Iara Borges","Avenida República Argentina, 737
7754-067 Mangualde"
"Jéssica da Monteiro","Praça Melo, 1
4944-318 Rebordosa"
"Rui Gonçalves","Alameda Micael Freitas, S/N
9239-300 Praia da Vitória"
"Helena Valente","R. de Morais, 60
4085-009 São João da Madeira"
"Marco Silva","Alameda de Silva, 97
5323-261 Funchal"
"Margarida Sá","Praça Cardoso, S/N
2525-440 Praia da Vitória"
"Madalena Lourenço","Alameda do Varejão, 4
9188-578 Montemor-o-Novo"
"Salvador Simões","Largo de Ramalde, 41
9365-046 Amarante"
"Cristiano Andrade","Travessa Matos, 391
3412-283 Miranda do Douro"
"Filipe Loureiro","R. de Antero de Quental, 572
6659-595 Oliveira do Hospital"
"Camila Pinho-Cruz","Rua do Amazonas, 20
9603-819 Évora"
"Pilar Barros","Av José Ferreira, 7
8383-389 Ribeira Grande"
"Ema Freitas","Rua de Morais, 85
1470-002 Anadia"
"Soraia-Eduarda Silva","Praça Cardoso, 59
2244-793 Lamego"
"Letícia Henriques","Av Almirante Pinheiro de Azevedo, 40
7619-767 Ílhavo"
"Laura da Batista","Largo do Monte da Lapa, 98
5844-401 Sacavém"
"Hugo Miranda","Avenida Petra Pinto, 232
6675-602 Ermesinde"
"Salvador Simões-Almeida","Rua de Castro, 293
2701-062 Oliveira de Azeméis"
"Ana Nascimento","Av Pedro Marques, 27
7701-834 Oliveira do Hospital"
"Melissa do Lopes","Praça Bryan Andrade, 711
9906-133 Rio Maior"
"Guilherme Ramos","Travessa de Carvalho, 66
9870-505 Sabugal"
"Eva Baptista","Alameda de Loureiro, 224
8388-776 Torres Vedras"
"Luca Carneiro","Rua de Francisco Borges, S/N
5328-491 Vendas Novas"
"Larissa Rodrigues","Praça de Vieira, 70
1590-435 São Salvador de Lordelo"
"Constança Pinto-Pinheiro","Largo Torres, 48
3490-206 Câmara de Lobos"
"Teresa-Yara Paiva","Largo de Vieira, 802
4523-444 Guimarães"
"Nuno Anjos","Travessa Panorâmica Edgar Cardoso, S/N
4977-754 Valpaços"
"Salvador Valente","Largo Silva, 8
2338-541 Trofa"
"Benjamim Leite","Rua Ramos, 60
9363-348 Marinha Grande"
"Rúben Ramos-Morais","Rua Vicente, S/N
1330-535 Agualva-Cacém"
"Alice-Margarida Nogueira","Av de Correia, 7
2743-727 Fátima"
"Sofia Amaral","Praça Figueiredo, 3
8321-479 Fundão"
"Mariana-Teresa Ferreira","Largo da Agra do Amial, 8
8547-941 Almada"
"Henrique Castro","Travessa Pedro Moreira, 3
8554-564 Alcácer do Sal"
"Leonardo do Matias","Rua de Mendes, 64
8733-253 Lisboa"
"Catarina-Carolina Vaz","Av de Fernandes, 67
5845-683 Alcobaça"
"Gaspar Teixeira","Av Marques, 82
8145-745 Lagoa"
"Salvador Vaz","Praça de Monteiro, 67
5632-873 Serpa"
"Adriana-Matilde Loureiro","Travessa de Branco, 752
3914-845 Ponte de Sor"
"Yasmin Teixeira","Av de Azevedo, 57
7466-879 Santana"
"Luna Carneiro","Alameda Lia Melo, 41
2831-796 Barreiro"
"Lucas Barbosa-Pinheiro","Rua Martim Vicente, 80
8472-008 Chaves"
"Larissa Faria-Teixeira","Travessa André Pires, 40
3998-780 Almada"
"Cristiano do Rodrigues","Largo de Silva, 89
3459-385 Esposende"
"Santiago Gonçalves-Mendes","Largo Macedo, 502
3804-600 Fafe"
"Bernardo Leal","Travessa de Vasco da Gama, 26
8808-212 Fiães"
"Nádia Figueiredo","R. Castro, 2
4958-095 Paços de Ferreira"
"Salvador da Anjos","Travessa Ribeiro, 17
3581-169 Ribeira Grande"
"Érica do Nogueira","R. de Garcia, 91
3179-483 Amadora"
"Nádia do Soares","R. de Abreu, 43
6720-184 Seixal"
"César Cruz-Machado","R. Nogueira, 3
2997-406 Vila Real"
"Sebastião de Marques","Alameda Alice Matos, 622
4646-841 São Mamede de Infesta"
"Catarina Rodrigues","Av Lorena Leite, 5
8715-580 São João da Madeira"
"Bárbara Cunha","Rua Erica Alves, 77
1142-329 Estremoz"
"Francisca-Eduarda Brito","Travessa Amaral, 81
5665-706 Braga"
"Sandro Guerreiro","Av Afonso Matos, 8
4363-934 Rio Maior"
"Edgar Almeida","Av de Santos, 743
7274-810 Valbom"
"Salvador de Oliveira","Praça Figueiredo, 61
9663-904 Guarda"
"Fabiana Vicente","Avenida de Loureiro, 184
5165-096 Lixa"
"Benjamim Pinto","Alameda de Pires, 39
4454-095 Vila Franca de Xira"
"Margarida Guerreiro","Praça de Neto, S/N
3431-717 Ribeira Grande"
"Dinis Nunes","R. Velho do Outeiro, 75
3955-720 Santo Tirso"
"Mia Barbosa","Rua Artur Agostinho, 69
8920-002 Felgueiras"
"Filipe Barros","R. Lopes, 739
9396-832 Braga"
"Lucas Abreu","R. Matos, 75
2206-876 Évora"
"Sara Campos","Rua de São João de Deus, 754
6288-695 Ermesinde"
"Luna-Mara Matias","Largo de Públia Hortênsia, 3
8244-204 Estremoz"
"Samuel Coelho","Alameda Bianca Carvalho, 35
6362-865 Abrantes"
"Laura Sá","Alameda de Andrade, 33
9794-459 Vila Real"
"Larissa Leal","Praça da Praia da Galé, 771
4514-411 Peniche"
"Ângela-Melissa Carvalho","Alameda Cardeal Cerejeira, 47
1297-100 Serpa"
"Ana-Bruna Jesus","Alameda da Quinta de São João Baptista, 30
1600-841 Covilhã"
"Filipe Almeida","Largo Guilherme Correia, S/N
1278-043 Santa Cruz"
"Kyara Rodrigues","Avenida de Neves, 25
6167-907 Sabugal"
"Edgar Nogueira","Travessa de São Francisco, 950
6692-099 Barcelos"
"João Silva","R. de Valente, 85
3337-920 Santarém"
"Gabriel Alves","Av Nicole Nunes, 6
7077-702 Trancoso"
"Samuel Costa","R. dos Pardais, 846
6310-172 Braga"
"Gaspar Correia-Soares","R. Camila Miranda, 14
3521-016 Gondomar"
"Larissa Amorim","Avenida Domingues, 57
8513-976 Tavira"
"Patrícia Rodrigues","Rua de Neto, S/N
1100-758 Agualva-Cacém"
"Henrique Nogueira-Ribeiro","Av Fabiana Abreu, 19
9013-933 Barcelos"
"Alícia da Jesus","R. Silva Porto, S/N
9689-751 Rio Tinto"
"Luciana da Melo","Av de Miranda, 74
8914-036 Maia"
"Eduarda de Torres","Av Barbosa, 89
8880-472 Portimão"
"Hugo de Henriques","Praça Goelas de Pau, S/N
8920-640 Torres Vedras"
"Eduarda Machado","Av de Lima, 32
6035-406 Paços de Ferreira"
"Samuel Faria","Rua Caetana Garcia, 80
5496-406 Ílhavo"
"Patrícia Amaral","Praça Português, 23
3499-300 São João da Madeira"
"Isaac de Amorim","Av Emma Leal, 255
9649-970 Póvoa de Santa Iria"
"Érica Antunes-Campos","Travessa Isabela Freitas, 385
7548-966 Santa Comba Dão"
"João Gonçalves","Largo Laura Costa, 49
7855-269 Guimarães"
"Salomé Nogueira","Alameda do Tronco, 2
5897-329 Mangualde"
"Gabriel da Alves","Rua Silva, 73
6079-111 Maia"
"Íris Melo","Rua de Lima, 822
9428-890 Vizela"
"Rodrigo Ramos","Alameda Margarida Azevedo, 43
9918-230 Castelo Branco"
"Miguel Neves","Alameda Vitória Pires, 19
1466-213 Évora"
"Samuel Neto","Travessa Leal, 36
3568-114 Anadia"
"Érica-Carolina Mendes","Avenida Cardoso, 959
7649-548 Fafe"
"Gil da Figueiredo","Alameda da Lingueta, 477
5847-111 Lixa"
"Ana Melo","Largo Vicente Moreira, 69
7246-768 Oliveira de Azeméis"
"Simão Oliveira","Avenida de Macedo, 189
2773-464 Caldas da Rainha"
"Isaac Cruz","Praça das Rolas, 64
1950-184 Gafanha da Nazaré"
"Bianca Henriques","Av Guilherme Oliveira, 9
6955-521 Tavira"
"Ângelo Esteves","Praça Sebastião Branco, 859
7601-799 Portalegre"
"Sandro Torres","Av das Olaias, 14
4172-903 Valbom"
"Melissa Assunção","Largo de Palma, 57
8734-111 Lagoa"
"Samuel Pinheiro","Praça Borges, 37
4371-058 Trancoso"
"Ângelo Matos","Avenida Joana Branco, S/N
1800-474 Vila Nova de Famalicão"
"Noa Tavares","Travessa Nacional 108, 67
3957-400 Agualva-Cacém"
"Artur do Lopes","Praça Iara Castro, 169
4186-448 Esposende"
"Marta Lima","Rua de Monteiro, 32
1945-798 Santana"
"Tiago Guerreiro","Rua de Pacheco, S/N
2918-425 Mêda"
"Jaime Batista","Rua Petra Maia, 27
2264-714 Setúbal"
"Iara Campos","Travessa Eduardo Garcia, 12
6119-605 Lagos"
"Erica Magalhães","Avenida Costa, 93
5457-673 Santa Maria da Feira"
"Rafaela Cruz","Largo Clara Silva, 19
2905-589 Mêda"
"Samuel da Borges","Avenida Moura, 3
4762-380 Guarda"
"Vasco do Cruz","Alameda de S. Mamede, 604
8014-201 Peso da Régua"
"Amélia-Filipa Santos","Av Abreu, 69
4891-588 Santiago do Cacém"
"Valentina Cardoso","Av das Andorinhas, S/N
7571-493 Lixa"
"Marco Gaspar","Praça Neto, 72
3875-520 Montijo"
"Margarida-Irina Almeida","Av do Cidral de Baixo, 89
1144-804 Caldas da Rainha"
"Lia Leal-Teixeira","Travessa Abreu, 56
6506-910 Moura"
"Ismael de Vieira","Av de Assunção, 75
1369-081 Montijo"
"Nair da Pinheiro","Travessa de Pina Manique, 87
1212-028 Ourém"
"Rafael Pereira-Amaral","Praça de Leal, 34
2220-657 Fátima"
"Sandro Brito","Praça Luana Gaspar, 6
3690-449 Setúbal"
"Daniela-Miriam Cunha","Travessa Cardoso, 331
3657-423 Caniço"
"Eduardo Monteiro","Travessa Flor da Rosa, 17
6824-058 Santa Cruz"
"Marta de Abreu","Avenida de Macedo, 513
3432-564 Peso da Régua"
"Brian Vieira","Rua da Agra do Amial, 2
6983-194 Olhão"
"Mélanie Borges","Alameda Jesus, 54
1533-627 Tondela"
"Renato Cruz","R. de S. João da Foz, 60
2270-372 Portalegre"
"Bryan Cunha","Rua Vitória Soares, S/N
2023-003 Santa Cruz"
"Fábio Lourenço-Gomes","Largo Manuel Gaspar, 4
4936-290 Coimbra"
"Bárbara-Júlia Cunha","Travessa Ferreira, 34
1718-988 Santa Cruz"
"Sandro Freitas","Alameda de Neto, 12
9929-039 Barreiro"
"Frederico Torres","Praça Novo (à Travessa das Águas Boas), 39
5181-425 Figueira da Foz"
"Amélia Barros","Largo Rita Vaz, 45
2380-192 Seixal"
"Yasmin Garcia","Largo de Baptista, 87
2286-617 Peniche"
"Luísa-Isabel Faria","Av Jaime Rodrigues, 58
4389-880 Silves"
"Mia Alves","R. de Monchique, 24
6638-685 Viana do Castelo"
"Valentina Cunha-Moura","Avenida Prof. António José Saraiva, 70
7577-358 Gondomar"
"Ricardo Pinho","Largo Afonso de Albuquerque, 84
5888-944 Amadora"
"Henrique Vaz","Rua de Moura, 61
6863-441 Câmara de Lobos"
"Gaspar Cardoso","Praça Faria, 84
6161-340 Amora"
"Sandro Pinto","Alameda de Pacheco, 87
9125-376 Almeirim"
"Valentim Rocha","Rua Emma Ferreira, 58
2274-407 Mirandela"
"Afonso Guerreiro","Travessa de Amaral, 47
6616-790 Fundão"
"António do Barros","Largo Campos, 829
6607-224 Portalegre"
"Victória Faria","Largo Augusto Monjardino, 55
5729-359 Viseu"
"Sara Soares","Travessa de Leite, 523
9996-330 Reguengos de Monsaraz"
"Afonso Antunes-Castro","Travessa Ismael Gonçalves, S/N
9930-752 Braga"
"Kelly Mota","Rua Erica Lourenço, S/N
3062-529 Vila Nova de Gaia"
"Miriam Rodrigues","Alameda dos Heróis do Mar, 7
1447-743 Almada"
"Leandro Cruz","Avenida César Pinto, 56
3458-035 Pinhel"
"Sandro Sousa","Largo de Fontes Pereira de Melo, 15
7334-182 Esposende"
"Mia Freitas","Alameda de Andrade, 90
3167-926 Cantanhede"
"Luís Andrade","Praça de Araújo, S/N
1596-579 Aveiro"
"Bryan Leal-Mota","R. de Silva, 34
3483-530 Sabugal"
"Ângela Martins","Largo Pinho, S/N
3243-470 Moura"
"Yara-Catarina Ferreira","Largo de D. Afonso Henriques, S/N
4704-035 Sacavém"
"Mara Amaral","Praça de Neves, 81
6354-915 Vila Nova de Famalicão"
"Frederico Vieira","Alameda Cardoso, 7
4749-233 Costa da Caparica"
"Débora Araújo-Vicente","Alameda Santiago Lopes, 55
7834-122 Viseu"
"Diana-Madalena Barbosa","R. das Pedras, 65
1190-252 Loulé"
"Santiago Anjos","Largo de Maia, 980
4417-686 Montijo"
"Beatriz Assunção","Travessa de Mota, 707
9207-801 Trancoso"
"Ângelo Torres","Avenida Oliveira, 56
1474-110 Vila Nova de Gaia"
"Bruna Pinheiro","Alameda do Longo, 52
5906-445 Sabugal"
"Eva Miranda","Alameda de Freitas, S/N
8655-264 Miranda do Douro"
"Rafaela Nogueira","Rua Adão Barata, 62
5654-410 Valbom"
"Fábio Carvalho","R. de Públia Hortênsia, 41
2372-833 Portimão"
"Nádia-Ângela Maia","Rua Assunção, 90
8495-710 Loures"
"Mia Jesus-Cardoso","R. do Dr. Jaime Cortesão, 5
8127-265 Pombal"
"Márcio do Silva","Rua Lopes, 374
9671-956 Abrantes"
"Santiago Barros","Av Pires, 30
3758-537 Freamunde"
"Hugo Nascimento","Praça de Sobre-o-Douro, 32
6331-188 Costa da Caparica"
"Álvaro Alves","Rua Cardoso, 93
1944-588 São João da Madeira"
"Gabriela-Débora Sá","Rua de Araújo, S/N
6067-528 Anadia"
"Érica Ramos","Alameda da Fonte de Cima, 89
3911-612 Oliveira do Bairro"
"Luana de Henriques","Travessa Fernandes, 41
2544-522 Paredes"
"João Morais","Av Correia, 91
5927-146 Loulé"
"Fabiana Castro-Coelho","Alameda Coelho, 90
4411-919 Marco de Canaveses"
"Yara-Íris Branco","Travessa Bárbara Faria, 37
6625-690 Loures"
"Lourenço Neto-Barros","Avenida Lima, 1
4200-704 Rio Maior"
"Santiago Cruz","Travessa Castro, 99
3886-436 Espinho"
"William Ribeiro","Avenida de D. Afonso Henriques, 321
9349-400 Serpa"
"Anita Pinheiro","Praça Rodrigo Leal, 74
2160-191 Valbom"
"Rita Moreira","Praça de Leal, 76
4595-741 Setúbal"
"Andreia da Carneiro","Largo André Esteves, S/N
3908-992 Costa da Caparica"
"Denis Gonçalves-Batista","Avenida de Azevedo, 175
9055-528 Gouveia"
"Carminho Marques","Praça Ângela Lima, 93
6626-197 Peniche"
"Emília da Amorim","R. Rocha, 63
7432-980 Viana do Castelo"
"Daniela Abreu","Rua Anita Lopes, 4
2084-675 Sintra"
"Petra Morais","Alameda do Evaristo, 807
5970-232 Loures"
"Santiago Domingues","Largo Joel Morais, 546
2258-535 Mirandela"
"Bryan de Macedo","Praça Elisa Baptista de Sousa Pedroso, 54
2528-499 Lisboa"
"Violeta Campos","Travessa de Moreira, 3
5424-135 Castelo Branco"
"Alice-Anita Rodrigues","Alameda Magalhães, 322
5866-718 Miranda do Douro"
"Luca Pacheco","Rua Noa Marques, 118
7322-140 Vila Nova de Famalicão"
"Isaac do Mendes","Largo Vicente, 30
9292-593 Freamunde"
"Melissa Amaral","Av Ana Fonseca, 5
4184-241 Póvoa de Santa Iria"
"Luca Coelho","Alameda de Campos, 3
6037-094 Braga"
"Benjamim Monteiro","R. Baptista, S/N
2592-024 Miranda do Douro"
"Kevin Fernandes-Baptista","Av Matos, 10
5113-135 São Mamede de Infesta"
"Santiago Ferreira","Praça Ivo Araújo, 41
8911-545 Évora"
"Matias Maia","Alameda Martins, 27
2748-086 Penafiel"
