"Achim Ababei"	"Intrarea Voinea
Sfantu Gheorghe, 845829" 
"Eva Dumitrescu"	"Bulevardul Stancu
Bals, 326564"
"Valentina Stan"	"Intrarea Popa Nr. 54 Bl. 32  Sc. 81 Ap. 304
Vicovu de Sus, 289492"
"Crenguța Oprea"	"Aleea Ene Nr. 294
Jimbolia, 502720"
"Theodor Dobre"	"Strada Gheorghiu Nr. 556
Zarnesti, 630132"
"Paulica Diaconu"	"Aleea Barbu Nr. 98
Gura Humorului, 561847"
"Adam Dumitrescu"	"Bulevardul Stancu Nr. 64
Saveni, 288640"
"Sofia Diaconescu"	"Bulevardul Voicu Pop Nr. 277
Agnita, 850107"
"Darius Albu"	"Drumul Toma
Vicovu de Sus, 470422"
"Ovidiu Ioniță"	"Intrarea Paula Georgescu
Ploiesti, 156131"
"Emilia Dinu"	"Strada Stancu Nr. 398
Moreni, 515777"
"Mircea Ababei"	"Aleea Alistar Barbu
Eforie Nord, 624703"
"Marioara Stan"	"Drumul Tudor Nr. 260
Odobesti, 764240"
"Leopoldina Pop"	"Aleea Barbu Nr. 18
Caracal, 530243"
"Theodor Oprea"	"Intrarea Fabian Dinu Nr. 190
Ludus, 689949"
"Olimpian Ioniță"	"Strada Tabacu Nr. 97
Sangeorz-Bai, 892599"
"Lorin Tudor"	"Bulevardul Gheorghiu Nr. 552
Babeni, 419754"
"Ernest Nemeș"	"Soseaua Suciu
Cudalbi, 252696"
"Antoniu Dumitrescu"	"Intrarea Diaconu Nr. 53
Vlahita, 237205"
"Miruna Popa"	"Aleea Ionescu
Valea Mare (Babeni), 123349"
"Anabela Dumitrescu"	"Bulevardul Tabacu
Curcani, 203247"
"Ștefania Ioniță"	"Intrarea Mazilescu
Simeria, 396797"
"Iustina Dinu"	"Bulevardul Nicuță Manole
Barlad, 915938"
"Rafila Albu"	"Intrarea Fabian Georgescu Nr. 984 Bl. 95  Sc. 85 Ap. 201
Otopeni, 625095"
"Theodor Pop"	"Bulevardul Dumitrescu Nr. 42
Alba Iulia, 179202"
"Traian Ababei"	"Intrarea Mirabela Mocanu
Targu Lapus, 646722"
"Sabin Tudor"	"Aleea Dima
Sinaia, 150769"
"Flora Pop"	"Intrarea Stan
Bolintin-Vale, 187256"
"Damian Diaconu"	"Drumul Gheorghiu
Sangeorz-Bai, 837673"
"Adina Barbu"	"Intrarea Albertina Georgescu Nr. 897
Harsova, 409465"
"Eugen Ardelean"	"Aleea Daria Albu
Otopeni, 683072"
"Beatrice Toma"	"Intrarea Tabacu Nr. 956
Deta, 609428"
"Henrieta Nemeș"	"Drumul Eftimie Nr. 52
Anina, 105208"
"Angel Nistor"	"Aleea Marin Nr. 804
Targu Lapus, 747311"
"Theodor Tomescu"	"Intrarea Manole Nr. 973
Curtici, 719786"
"Gheorghe Pop"	"Soseaua Sandu Ardelean Nr. 856
Carei, 497792"
"Ozana Oprea"	"Aleea Dima Nr. 187
Iasi, 642517"
"Antonela Aanei"	"Drumul Dochioiu Nr. 475
Vlahita, 315766"
"Florentin Toma"	"Strada Popescu Nr. 965 Bl. 87  Sc. 33 Ap. 197
Vicovu de Sus, 133964"
"Laurenția Mazilescu"	"Bulevardul Anatolie Ionescu Nr. 121
Plosca, 112592"
"Pamfil Oprea"	"Soseaua Svetlana Stănescu Nr. 914 Bl. 99  Sc. 28 Ap. 180
Rasnov, 520894"
"Romulus Voinea"	"Drumul Popa
Victoria, 761851"
"Iolanda Dima"	"Bulevardul Mazilescu Nr. 212
Corabia, 343193"
"Nadia Stănescu"	"Drumul Barbu Nr. 78
Dumbravita, 924846"
"Theodor Tudor"	"Drumul Stănescu Nr. 141 Bl. 11  Sc. 56 Ap. 103
Lumina, 688623"
"Ladislau Marin"	"Strada Anda Stancu Nr. 97 Bl. 43  Sc. 21 Ap. 992
Topoloveni, 779369"
"Mihnea Stănescu"	"Soseaua Barbu
Zarnesti, 774848"
"Adam Stan"	"Drumul Alex Stan Nr. 419
Talmaciu, 487577"
"Ilarie Nistor"	"Intrarea Diaconescu Nr. 96
Rosiori de Vede, 223099"
"Eufrosina Dinu"	"Intrarea Dumitrescu
Sacele, 446247"
"Georgian Dinu"	"Drumul Dochioiu Nr. 184 Bl. 66  Sc. 23 Ap. 617
Magurele, 593191"
"Otilia Cristea"	"Soseaua Stan Nr. 126 Bl. 15  Sc. 80 Ap. 408
Fundeni, 499932"
"Sinică Ababei"	"Bulevardul Stancu
Marginea, 705746"
"Viorela Voinea"	"Bulevardul Nelu Mazilescu Nr. 24
Roman, 932668"
"Tiberia Diaconescu"	"Aleea Ionescu
Anina, 404399"
"Florentin Dochioiu"	"Aleea Constantina Nistor Nr. 49 Bl. 22  Sc. 55 Ap. 812
Maieru, 715733"
"Irinel Suciu"	"Bulevardul Bucur Voinea
Lugoj, 715621"
"Panait Stan"	"Bulevardul Marin
Baraolt, 192674"
"Emanuela Marin"	"Intrarea Dochioiu Nr. 766
Bacau, 177091"
"Rica Nistor"	"Strada Cosmin Dobre Nr. 73
Cudalbi, 700345"
"Amalia Eftimie"	"Bulevardul Manuela Pușcașu
Vlahita, 309686"
"Dimitrina Marin"	"Aleea Nistor Nr. 643
Straja, 119516"
"Eliza Mazilescu"	"Intrarea Georgescu Nr. 775 Bl. 50  Sc. 40 Ap. 424
Arbore, 245310"
"Gică Stancu"	"Drumul Popa
Fundeni, 868122"
"Tiberia Mazilescu"	"Aleea Mihai Dobre Nr. 59
Sadova, 936834"
"Rada Popescu"	"Soseaua Todor Toma
Berceni, 323923"
"Miron Barbu"	"Soseaua Mocanu Nr. 40
Bistrita, 850884"
"Tiberiu Manole"	"Aleea Marin
Peris, 596574"
"Noemi Georgescu"	"Bulevardul Nemeș Nr. 55 Bl. 80  Sc. 73 Ap. 950
Cristuru Secuiesc, 265770"
"Sever Eftimie"	"Strada Raluca Diaconu Nr. 949
Valenii de Munte, 799404"
"Jan Barbu"	"Soseaua Cosmina Pușcașu Nr. 328
Mioveni, 229132"
"Cornel Dima"	"Intrarea Ionescu Nr. 69 Bl. 98  Sc. 39 Ap. 595
Deva, 647172"
"Victoria Cristea"	"Bulevardul Preda
Dumbravita, 374025"
"Grațiana Barbu"	"Drumul Dochioiu
Stei, 903006"
"Tiberiu Dobre"	"Bulevardul Dumitrescu Nr. 39
Comanesti, 882165"
"Magdalena Dochioiu"	"Aleea Niță Nr. 964
Pantelimon, 749436"
"Gabriel Gheorghiu"	"Drumul Diaconu Nr. 123 Bl. 41  Sc. 60 Ap. 114
Matca, 256086"
"Ilona Ardelean"	"Strada Ludovica Georgescu
Vaslui, 471110"
"Zaraza Mocanu"	"Bulevardul Dobre
Deta, 155754"
"Emanuil Popescu"	"Intrarea Ghiță Dobre Nr. 12 Bl. 19  Sc. 48 Ap. 463
Baia Sprie, 668966"
"Gianina Mocanu"	"Aleea Nistor
Campulung Moldovenesc, 872628"
"Irina Nemeș"	"Strada Iancu Popa Nr. 900 Bl. 46  Sc. 11 Ap. 809
Balotesti, 451520"
"Severin Oprea"	"Strada Maricica Diaconescu Nr. 36
Iernut, 358962"
"Marcel Diaconu"	"Strada Pușcașu
Fetesti, 726901"
"Tiberiu Niță"	"Intrarea Florea Nr. 50 Bl. 50  Sc. 88 Ap. 611
Pogoanele, 236032"
"Ica Popescu"	"Bulevardul Flora Toma
Falticeni, 389611"
"Teodor Nistor"	"Aleea Aurelian Diaconu
Deta, 654388"
"Gherghina Ababei"	"Strada Manole Nr. 89
Strejnicu, 376353"
"Dalia Popescu"	"Drumul Horea Mocanu Nr. 285
Seini, 260860"
"Mioara Tabacu"	"Intrarea Ababei
Bragadiru, 950691"
"Zenobia Florea"	"Soseaua Nistor Nr. 951 Bl. 39  Sc. 47 Ap. 593
Tunari, 721593"
"Relu Tabacu"	"Bulevardul Nistor Nr. 43 Bl. 31  Sc. 14 Ap. 953
Suceava, 849006"
"Relu Florea"	"Drumul Dinu Nr. 220
Otelu Rosu, 842832"
"Georgiana Georgescu"	"Bulevardul Tabacu Nr. 84 Bl. 87  Sc. 55 Ap. 579
Calafat, 829463"
"Timea Nemeș"	"Strada Nemeș
Petrosani, 384965"
"Denisa Ardelean"	"Drumul Dorina Suciu Nr. 74 Bl. 48  Sc. 99 Ap. 747
Ovidiu, 294735"
"Valentin Mocanu"	"Bulevardul Oliviu Stan Nr. 76
Harlau, 818416"
"Elisaveta Dochioiu"	"Soseaua Filip Mazilescu Nr. 989 Bl. 59  Sc. 17 Ap. 496
Sovata, 324585"
"Marina Popa"	"Aleea Popa Nr. 625 Bl. 66  Sc. 68 Ap. 540
Ruscova, 373517"
"Ionică Nistor"	"Intrarea Nistor Nr. 37 Bl. 22  Sc. 53 Ap. 136
Anina, 382215"
"Corvin Ioniță"	"Drumul Nistor Nr. 982 Bl. 12  Sc. 32 Ap. 878
Targu Ocna, 361235"
"Catrinel Manole"	"Aleea Diaconescu Nr. 310
Fundeni, 508398"
"Mirona Ene"	"Intrarea Ileana Dobre
Targoviste, 587285"
"Giorgian Dobre"	"Aleea Silvia Barbu
Tomesti, 442828"
"Timea Oprea"	"Drumul Florentin Popescu Nr. 583 Bl. 70  Sc. 67 Ap. 310
Turda, 373451"
"Draga Barbu"	"Soseaua Ababei Nr. 627 Bl. 41  Sc. 91 Ap. 153
Odobesti, 615883"
"Nelu Diaconescu"	"Soseaua Estera Diaconescu
Berceni, 823997"
"Sorin Popa"	"Soseaua Aurica Cristea Nr. 47
Modelu, 706058"
"Roberta Suciu"	"Aleea Valter Niță Nr. 690 Bl. 89  Sc. 61 Ap. 404
Harlau, 551506"
"Lascăr Dinu"	"Intrarea Brăduț Florea Nr. 43 Bl. 61  Sc. 25 Ap. 395
Constanta, 444323"
"Corvin Manole"	"Drumul Ioniță
Oravita, 310706"
"Luiza Georgescu"	"Intrarea Codruța Pușcașu Nr. 38
Ruscova, 916839"
"Emilia Ionescu"	"Soseaua Georgescu Nr. 116
Ramnicu Valcea, 604423"
"Catrina Ardelean"	"Drumul Dinu
Dragu-Brad, 833714"
"Timea Pop"	"Intrarea Iolanda Nemeș Nr. 137 Bl. 88  Sc. 97 Ap. 343
Focsani, 302066"
"Eva Florea"	"Bulevardul Georgescu Nr. 539
Balotesti, 967030"
"Adelaida Florea"	"Strada Cristea Nr. 449
Campulung Moldovenesc, 579373"
"Jenel Niță"	"Soseaua Mazilescu
Alba Iulia, 552161"
"Teona Oprea"	"Drumul Floriana Manole Nr. 342
Sacueni, 633621"
"Stela Dochioiu"	"Strada Mocanu Nr. 858 Bl. 78  Sc. 20 Ap. 867
Chisineu-Cris, 265208"
"Narcisa Eftimie"	"Aleea Ababei Nr. 656 Bl. 98  Sc. 83 Ap. 390
Gaesti, 306037"
"Henrieta Marin"	"Strada Oprea
Turda, 662514"
"Doina Tudor"	"Drumul Simi Ene Nr. 403
Pecica, 350779"
"Nicuță Dumitrescu"	"Intrarea Ioniță Nr. 10
Cajvana, 164189"
"Timotei Dinu"	"Soseaua Avram Ardelean Nr. 946
Moinesti, 464384"
"Laurian Georgescu"	"Aleea Norica Stoica Nr. 50
Buzau, 450512"
"Fabiana Mazilescu"	"Bulevardul Diaconu Nr. 51
Focsani, 450329"
"Delia Nistor"	"Bulevardul Barbu
Dragu-Brad, 263417"
"Flaviu Ionescu"	"Strada Ionescu
Balan, 884810"
"Matilda Dobre"	"Soseaua Barbu Nr. 31 Bl. 78  Sc. 95 Ap. 589
Siria, 660184"
"Domnica Stancu"	"Soseaua Suzana Barbu Nr. 43 Bl. 51  Sc. 69 Ap. 571
Sfantu Gheorghe, 493014"
"Iacob Dobre"	"Bulevardul Stănescu Nr. 367 Bl. 16  Sc. 48 Ap. 705
Breaza de Sus, 329662"
"Nidia Georgescu"	"Bulevardul Aanei
Sovata, 856362"
"Niculina Dumitrescu"	"Strada Gheorghiu Nr. 59 Bl. 52  Sc. 15 Ap. 943
Fetesti-Gara, 228989"
"Timotei Pușcașu"	"Bulevardul Eftimie
Campia Turzii, 564479"
"Larisa Ioniță"	"Aleea Traian Tabacu Nr. 717 Bl. 57  Sc. 36 Ap. 432
Hunedoara, 356200"
"Haralamb Stancu"	"Drumul Gheorghiu Nr. 34 Bl. 43  Sc. 64 Ap. 362
Tudora, 167951"
"Mioara Mocanu"	"Soseaua Diaconu Nr. 52
Slatina, 281730"
"Cerasela Stancu"	"Intrarea Niță
Rovinari, 846909"
"Marga Pop"	"Bulevardul Benone Ionescu
Negresti-Oas, 669959"
"Paulica Dima"	"Bulevardul Popescu
Agnita, 679593"
"Floriana Albu"	"Drumul Dumitrescu Nr. 40 Bl. 35  Sc. 19 Ap. 956
Videle, 351826"
"Narcis Nistor"	"Intrarea Aurică Ababei Nr. 216
Balan, 228601"
"Corneliu Toma"	"Aleea Jeana Pușcașu Nr. 61 Bl. 35  Sc. 78 Ap. 407
Bailesti, 842816"
"Timotei Tudor"	"Drumul Dumitrescu Nr. 84 Bl. 17  Sc. 62 Ap. 217
Glina, 290087"
"Arsenie Georgescu"	"Soseaua Eftimie
Dej, 144255"
"Stela Georgescu"	"Strada Mugurel Cristea Nr. 79 Bl. 61  Sc. 43 Ap. 879
Resita, 989694"
"Beatrice Preda"	"Drumul Marcela Stan Nr. 42
Buzau, 811536"
"Aida Niță"	"Strada Nistor Nr. 478
Sebis, 270208"
"Carmen Popa"	"Aleea Tomescu
Calan, 618012"
"Luca Popa"	"Strada Dafina Manole Nr. 373
Codlea, 737873"
"Ozana Preda"	"Strada Dima Nr. 447 Bl. 78  Sc. 75 Ap. 500
Brad, 979932"
"Florea Ionescu"	"Aleea Amelia Oprea Nr. 933 Bl. 20  Sc. 87 Ap. 425
Rasnov Romacril, 514575"
"Visarion Georgescu"	"Bulevardul Nistor
Negresti-Oas, 454775"
"Tinca Diaconescu"	"Drumul Zeno Cristea Nr. 196 Bl. 63  Sc. 33 Ap. 927
Marghita, 970031"
"Bogdana Cristea"	"Strada Nistor Nr. 689 Bl. 44  Sc. 12 Ap. 809
Talmaciu, 718845"
"Octavian Pop"	"Strada Janeta Popa Nr. 767 Bl. 48  Sc. 69 Ap. 670
Motatei, 104399"
"Silvana Albu"	"Bulevardul Vincențiu Aanei Nr. 990
Sannicolau Mare, 828108"
"Timotei Popa"	"Bulevardul Ionescu Nr. 41
Ramnicu Valcea, 869115"
"Ilie Dumitrescu"	"Aleea Stoica
Glina, 337564"
"Bucur Nemeș"	"Bulevardul Cristea Nr. 837
Nasaud, 221884"
"Tatiana Oprea"	"Soseaua Dumitrescu Nr. 176
Motru, 820799"
"Gabriela Toma"	"Strada Mocanu Nr. 56
Sebis, 501235"
"Ovidiu Eftimie"	"Drumul Albu Nr. 693 Bl. 93  Sc. 57 Ap. 576
Ovidiu, 628975"
"Tinca Diaconescu"	"Intrarea Diaconu Nr. 45 Bl. 78  Sc. 47 Ap. 943
Cornetu, 108387"
"Luana Aanei"	"Drumul Toma
Amara, 725998"
"Codruța Cristea"	"Strada Tudor Nr. 622
Tuzla, 552088"
"Roberta Voinea"	"Strada Ilarie Tomescu Nr. 466
Codlea, 458697"
"Niculiță Preda"	"Aleea Bogdana Voinea Nr. 285 Bl. 11  Sc. 18 Ap. 557
Segarcea, 159413"
"Steluța Dumitrescu"	"Drumul Oprea Nr. 299
Harsova, 609528"
"Gică Ionescu"	"Drumul Niță Nr. 94
Harsova, 393467"
"Felicia Tudor"	"Strada Nemeș Nr. 71
Ludus, 337862"
"Clementina Marin"	"Bulevardul Dinu Nr. 62 Bl. 99  Sc. 28 Ap. 880
Vaslui, 332253"
"Claudia Popa"	"Intrarea Dumitrescu
Sibiu, 837487"
"Tinca Ionescu"	"Drumul Pușcașu
Suceava, 507619"
"Sofia Georgescu"	"Strada Dinu Nr. 75 Bl. 20  Sc. 76 Ap. 332
Bistrita, 354589"
"Bogdan Toma"	"Strada Marin
Gura Humorului, 526750"
"Constantina Nistor"	"Aleea Antonie Ene Nr. 75 Bl. 34  Sc. 31 Ap. 383
Poiana Mare, 309896"
"Timea Florea"	"Strada Florin Popescu
Comanesti, 226065"
"Adrian Voinea"	"Aleea Lucian Stoica Nr. 67
Amara, 298680"
"Leordean Barbu"	"Strada Suciu
Fetesti, 249188"
"Marin Eftimie"	"Soseaua Salomea Tudor
Bals, 360668"
"Laurenția Dima"	"Soseaua Elena Aanei Nr. 53 Bl. 39  Sc. 97 Ap. 851
Carei, 340696"
"Anastasia Ene"	"Aleea Dobre Nr. 963 Bl. 18  Sc. 85 Ap. 498
Fundulea, 870760"
"Tinca Nistor"	"Soseaua Oprea Nr. 80
Orsova, 877801"
"Aurelian Manole"	"Intrarea Ionescu Nr. 95 Bl. 75  Sc. 52 Ap. 989
Medgidia, 769472"
"Basarab Preda"	"Drumul Adina Tudor Nr. 83 Bl. 59  Sc. 13 Ap. 476
Baile Borsa, 454491"
"Florina Diaconescu"	"Intrarea Ioniță Nr. 12
Buftea, 663836"
"Mitică Stan"	"Soseaua Nemeș Nr. 54 Bl. 63  Sc. 44 Ap. 385
Jilava, 248970"
"Ducu Florea"	"Bulevardul Popa Nr. 104 Bl. 76  Sc. 86 Ap. 143
Sibiu, 354718"
"Raluca Nistor"	"Strada Iolanda Dinu Nr. 118 Bl. 21  Sc. 65 Ap. 276
Paunesti, 477958"
"Maxim Toma"	"Drumul Niță Nr. 31 Bl. 45  Sc. 52 Ap. 577
Tunari, 124628"
"Silvana Tudor"	"Intrarea Eduard Ardelean Nr. 53 Bl. 80  Sc. 20 Ap. 658
Cisnadie, 880969"
"Lucian Eftimie"	"Aleea Mazilescu Nr. 199
Beius, 177382"
"Tinca Oprea"	"Aleea Manole Nr. 748
Sacueni, 790824"
"Zina Dinu"	"Intrarea Toma Nr. 222
Rasinari, 528592"
"Paulica Ioniță"	"Soseaua Petruța Popescu
Marginea, 265058"
"Eremia Mocanu"	"Soseaua Stan
Suceava, 499013"
"Grațiela Stan"	"Drumul Gheorghiu Nr. 793
Cudalbi, 591411"
"Domnica Aanei"	"Intrarea Nistor Nr. 492
Sovata, 671211"
"Nechifor Stancu"	"Strada Sergiu Albu Nr. 45 Bl. 76  Sc. 91 Ap. 239
Braila, 325220"
"Sorin Voinea"	"Drumul Viviana Nistor Nr. 16
Floresti, 390482"
"Marcel Ardelean"	"Aleea Tabacu Nr. 101 Bl. 43  Sc. 76 Ap. 567
Bumbesti-Jiu, 372697"
"Dan Ionescu"	"Strada Cristea
Pecica, 838553"
"Tinca Oprea"	"Strada Pop Nr. 806 Bl. 84  Sc. 82 Ap. 363
Amara, 535904"
"Coralia Preda"	"Intrarea Oprea
Bocsa, 932356"
"Natalia Marin"	"Bulevardul Ionescu
Piatra-Neamt, 681795"
"Georgia Barbu"	"Strada Tudor
Straja, 672501"
"Leopoldina Ioniță"	"Aleea Raul Dinu
Tomesti, 503724"
"Marcela Stancu"	"Strada Panait Stancu
Targu Lapus, 475069"
"Mirona Dinu"	"Strada Ionelia Dumitrescu Nr. 61 Bl. 17  Sc. 63 Ap. 654
Brad, 601745"
"Olimpia Pușcașu"	"Drumul Tamara Mazilescu
Tuzla, 596263"
"Valentin Stănescu"	"Drumul Tudor Nr. 873 Bl. 28  Sc. 11 Ap. 539
Constanta, 446733"
"Tudorița Oprea"	"Bulevardul Gelu Tudor
Salonta, 542406"
"Tinca Pop"	"Drumul Aanei
Hateg, 676681"
"Corneliu Nistor"	"Soseaua Iris Popa Nr. 30 Bl. 90  Sc. 67 Ap. 159
Fagaras, 342188"
"Petrică Mocanu"	"Bulevardul Popa
Urziceni, 922251"
"Savina Tudor"	"Intrarea Iuliana Aanei Nr. 541
Covasna, 834683"
"Bebe Toma"	"Bulevardul Suciu Nr. 144
Vulcan, 702296"
"Teofil Popescu"	"Strada Zamfira Pop
Berceni, 364611"
"Liana Mazilescu"	"Bulevardul Aanei
Horodnic de Sus, 182730"
"Olimpia Ionescu"	"Aleea Stănescu Nr. 60
Onesti, 563716"
"Lavinia Diaconu"	"Intrarea Aurora Ene Nr. 692
Talmaciu, 197495"
"Gheorghe Diaconu"	"Intrarea Ionescu Nr. 87
Lugoj, 284620"
"Titus Barbu"	"Bulevardul Popa Nr. 144 Bl. 28  Sc. 13 Ap. 917
Corabia, 566442"
"Anemona Aanei"	"Bulevardul Giorgian Dobre Nr. 706
Saveni, 295682"
"Dragoș Stan"	"Drumul Casiana Pușcașu Nr. 38
Carei, 288275"
"Severin Marin"	"Drumul Laurențiu Nistor Nr. 583
Busteni, 584183"
"Julieta Gheorghiu"	"Aleea Barbu
Techirghiol, 980122"
"Aneta Tabacu"	"Drumul Albu Nr. 555
Sebis, 388792"
"Diana Popa"	"Soseaua Stan Nr. 15
Gura Humorului, 687093"
"Angel Ardelean"	"Bulevardul Dobre
Huedin, 559271"
"Anda Stănescu"	"Drumul Ene
Sancraiu de Mures, 528214"
"Iuliu Mazilescu"	"Strada Cristea
Campulung, 879303"
"Titus Diaconescu"	"Soseaua Dobre Nr. 41 Bl. 61  Sc. 81 Ap. 463
Vladimirescu, 523975"
"Nidia Stănescu"	"Intrarea Ionescu
Copsa Mica, 457367"
"Dalia Stănescu"	"Drumul Tomescu
Bistrita, 825728"
"Iurie Popa"	"Drumul Arina Ardelean Nr. 631 Bl. 51  Sc. 71 Ap. 860
Fagetel (Remetea), 838104"
"Leordean Dima"	"Strada Mirela Aanei Nr. 36
Drobeta-Turnu Severin, 106620"
"Stelian Ionescu"	"Strada Toma Stancu Nr. 328 Bl. 85  Sc. 22 Ap. 770
Babeni, 846524"
"Estera Nemeș"	"Soseaua Cedrin Dobre Nr. 772
Ocna Mures, 477950"
"Dorian Niță"	"Intrarea Luminița Georgescu Nr. 135 Bl. 37  Sc. 94 Ap. 229
Marghita, 993708"
"Adina Gheorghiu"	"Bulevardul Nistor
Feldru, 552495"
"Gianina Ene"	"Bulevardul Norica Pușcașu Nr. 62 Bl. 80  Sc. 96 Ap. 392
Alesd, 251422"
"Titus Tudor"	"Aleea Adrian Niță
Caransebes, 960985"
"Relu Dumitrescu"	"Strada Nemeș
Schela Cladovei, 962536"
"Ina Manole"	"Bulevardul Marin Nr. 18
Lipova, 634781"
"Niculina Toma"	"Intrarea Dumitrescu Nr. 24 Bl. 83  Sc. 55 Ap. 874
Bistrita, 408965"
"Gabriel Suciu"	"Aleea Dobre Nr. 454 Bl. 63  Sc. 70 Ap. 765
Seini, 869022"
"Cristobal Toma"	"Aleea Tabacu Nr. 36 Bl. 88  Sc. 36 Ap. 250
Sacueni, 832606"
"Panait Oprea"	"Bulevardul Eftimie Nr. 48 Bl. 11  Sc. 44 Ap. 726
Sfantu Gheorghe, 939230"
"Hortensia Albu"	"Bulevardul Manole Nr. 973
Onesti, 768532"
"Toma Pușcașu"	"Strada Ene Nr. 33 Bl. 30  Sc. 15 Ap. 163
Motru, 857623"
"Flora Diaconescu"	"Aleea Adam Mocanu
Saveni, 539857"
"Todor Diaconu"	"Drumul Nemeș Nr. 186
Borsa, 900771"
"Stancu Gheorghiu"	"Aleea Ene Nr. 91 Bl. 17  Sc. 92 Ap. 424
Sangeorgiu de Mures, 351995"
"Leontin Toma"	"Bulevardul Atena Georgescu Nr. 40 Bl. 83  Sc. 15 Ap. 469
Fundulea, 938723"
"Venera Voinea"	"Strada Sorana Dima Nr. 11 Bl. 55  Sc. 67 Ap. 853
Petrila, 193250"
"Carina Diaconu"	"Soseaua Pușcașu Nr. 483 Bl. 56  Sc. 20 Ap. 216
Sinaia, 399531"
"Zina Dima"	"Aleea Toma Nr. 42 Bl. 28  Sc. 13 Ap. 227
Babeni, 790809"
"Anda Diaconescu"	"Aleea Pușcașu Nr. 21
Harlau, 840258"
"Robert Ionescu"	"Aleea Eremia Dumitrescu
Barbulesti, 220064"
"Rafila Pop"	"Soseaua Daria Gheorghiu Nr. 69
Voluntari, 309359"
"Todor Dima"	"Drumul Aanei Nr. 22 Bl. 66  Sc. 63 Ap. 506
Baciu, 304543"
"Todor Dima"	"Drumul Tabacu Nr. 97
Branesti, 594477"
"Zoe Nemeș"	"Soseaua Stancu Nr. 514
Bocsa, 636134"
"Costache Gheorghiu"	"Drumul Erica Ioniță
Vulcan, 161170"
"Iolanda Florea"	"Soseaua Dumitru Aanei Nr. 12 Bl. 69  Sc. 59 Ap. 635
Curtici, 614436"
"Cipriana Ababei"	"Intrarea Amelia Voinea Nr. 53
Sighetu Marmatiei, 846055"
"Monica Stancu"	"Drumul Aanei Nr. 552 Bl. 16  Sc. 52 Ap. 925
Filiasi, 601732"
"Cazimir Toma"	"Bulevardul Anamaria Diaconescu
Avrig, 103647"
"Oliviu Suciu"	"Aleea Mocanu
Motatei, 862547"
"Teofil Tomescu"	"Strada Dima Nr. 83
Uricani, 743401"
"Marinela Tabacu"	"Soseaua Carmina Barbu Nr. 21
Ploiesti, 483340"
"Todor Ioniță"	"Intrarea Roza Dobre Nr. 54
Siret, 474785"
"Diana Stănescu"	"Soseaua Silvian Ardelean Nr. 683
Barbulesti, 885501"
"Minodora Stan"	"Aleea Ioan Dobre Nr. 489 Bl. 22  Sc. 41 Ap. 796
Lunca Cetatuii, 675649"
"Aglaia Nemeș"	"Drumul Mazilescu Nr. 982 Bl. 72  Sc. 65 Ap. 193
Lipova, 813452"
"Vanesa Dobre"	"Soseaua Nemeș Nr. 61
Calafat, 249489"
"Ernest Dima"	"Aleea Ludovica Tomescu Nr. 691
Reghin, 227937"
"Marilena Nemeș"	"Bulevardul Pop
Motru, 956261"
"Eliza Stoica"	"Strada Mocanu
Arad, 165196"
"Ștefan Nemeș"	"Intrarea Dochioiu
Tudora, 722939"
"Ada Barbu"	"Intrarea Mazilescu Nr. 44
Rosu, 171852"
"Toma Cristea"	"Strada Tomescu Nr. 451 Bl. 85  Sc. 94 Ap. 273
Sebes, 715509"
"Horațiu Oprea"	"Aleea Nistor Nr. 15
Negresti, 988745"
"Zamfira Gheorghiu"	"Aleea Pop Nr. 805
Mizil, 482255"
"Antonie Oprea"	"Aleea Florentina Dobre Nr. 266
Zalau, 458201"
"Carolina Ababei"	"Bulevardul Teohari Stancu Nr. 827
Remetea, 536029"
"Petrică Suciu"	"Drumul Sabina Pușcașu Nr. 111 Bl. 68  Sc. 31 Ap. 130
Stei, 602501"
"Eric Ioniță"	"Strada Stan Nr. 33 Bl. 26  Sc. 83 Ap. 852
Macin, 208230"
"Bogdana Popescu"	"Soseaua Ionelia Stancu Nr. 597 Bl. 20  Sc. 40 Ap. 486
Curtici, 231576"
"Alexandra Dochioiu"	"Strada Dima
Iasi, 762876"
"Clementina Tabacu"	"Aleea Lelia Gheorghiu Nr. 776
Branesti, 319650"
"Toma Dumitrescu"	"Drumul Dochioiu Nr. 61
Poienile de sub Munte, 616864"
"Emil Dinu"	"Aleea Ileana Voinea
Otelu Rosu, 948205"
"Elena Manole"	"Aleea Nistor Nr. 140 Bl. 25  Sc. 23 Ap. 928
Valea lui Mihai, 467025"
"Nichifor Ababei"	"Intrarea Dima
Sighetu Marmatiei, 248459"
"Iulia Diaconu"	"Strada Pușcașu Nr. 387
Breaza de Sus, 874390"
"Irinel Toma"	"Intrarea Anastasia Marin Nr. 95
Podu Iloaiei, 142585"
"Lioara Oprea"	"Strada Ionescu Nr. 57
Motatei, 474968"
"Celia Diaconu"	"Intrarea Popescu Nr. 107
Otopeni, 646802"
"Sebastian Tomescu"	"Soseaua Ionescu Nr. 955
Braila, 207969"
"Gicu Stoica"	"Strada Dobre Nr. 422 Bl. 95  Sc. 37 Ap. 711
Satu Mare, 936950"
"Toma Oprea"	"Drumul Gheorghiu
Dobroesti, 251237"
"Mădălina Ene"	"Drumul Mazilescu Nr. 428 Bl. 12  Sc. 34 Ap. 264
Lipova, 174984"
"Ludovica Ioniță"	"Intrarea Pușcașu Nr. 428
Rosu, 116044"
