"Ada Hamerla"	"pl. Świerczewskiego 98
76-081 Bielawa" 
"Klara Zapaśnik"	"pl. Fredry 04
83-324 Luboń"
"Arkadiusz Kordus"	"plac Konstytucji 3 Maja 36/66
35-377 Opole"
"Melania Hallmann"	"aleja Młynarska 74
36-501 Łowicz"
"pani Krystyna Kasznia"	"pl. Piłsudskiego 58
34-204 Tczew"
"pani Julianna Sobieszczyk"	"pl. Hallera 937
47-993 Sieradz"
"Apolonia Ciepła"	"pl. Dąbrowskiej 99
90-360 Zamość"
"Monika Jaremek"	"ulica Daszyńskiego 87/14
52-562 Piaseczno"
"Aniela Szajek"	"aleja Sokola 969
20-618 Swarzędz"
"pan Kacper Kuba"	"aleja Konarskiego 80/72
21-512 Chrzanów"
"Elżbieta Grabas"	"aleja Popiełuszki 67
48-794 Bielsk Podlaski"
"Konstanty Mostek"	"aleja Słowicza 32
47-828 Lublin"
"Dominik Salawa"	"pl. Prusa 348
48-749 Wyszków"
"Sebastian Przeklasa"	"plac Bolesława Krzywoustego 15/82
05-046 Olkusz"
"pan Julian Bortkiewicz"	"ul. Orzeszkowej 83/59
49-746 Ostróda"
"Jakub Maksym"	"ulica Tysiąclecia 31/58
07-694 Gdynia"
"pani Marcelina Maćczak"	"pl. Partyzantów 03
17-373 Rumia"
"Julita Zapora"	"al. Słowackiego 533
56-664 Ostrołęka"
"Konstanty Folta"	"plac Kraszewskiego 86
53-614 Żory"
"pan Kajetan Holeksa"	"ul. Mickiewicza 78
79-314 Gorlice"
"Damian Wilusz"	"pl. Baczyńskiego 33
68-094 Police"
"pan Alex Roszkiewicz"	"plac Andersa 592
21-973 Ruda Śląska"
"Jacek Galos"	"ulica Poniatowskiego 84
97-642 Legnica"
"Mikołaj Śnieg"	"pl. Stefana Batorego 02/19
04-916 Giżycko"
"pani Adrianna Solnica"	"ul. Żwirki i Wigury 06/52
22-974 Żory"
"Damian Wyskiel"	"pl. Piłsudskiego 663
72-944 Wągrowiec"
"pan Witold Linka"	"ul. Władysława Łokietka 465
58-783 Ostrowiec Świętokrzyski"
"Krystyna Walentynowicz"	"ulica Długosza 00/70
54-155 Łódź"
"Paweł Liedtke"	"ulica Sikorskiego 23/19
22-321 Wałbrzych"
"pan Kajetan Mazan"	"ulica Prosta 558
73-898 Stalowa Wola"
"pan Juliusz Czapiga"	"aleja Pszenna 418
14-460 Kluczbork"
"Krystian Merchel"	"pl. Powstańców Śląskich 99
27-958 Olsztyn"
"Kornel Uryga"	"pl. Jana Sobieskiego 599
78-469 Lubartów"
"Jeremi Jędrzejek"	"ulica Polna 10
50-603 Radom"
"Fabian Mila"	"al. Konstytucji 3 Maja 027
98-549 Turek"
"Ernest Szmelter"	"pl. Kosynierów 429
10-435 Legionowo"
"Julianna Orkisz"	"ulica Dworska 19
68-306 Koło"
"Sebastian Malcherek"	"plac Wyspiańskiego 945
86-413 Radomsko"
"Tola Jędra"	"pl. Sucharskiego 179
50-913 Lubartów"
"pan Kajetan Pacholak"	"ul. Lelewela 764
72-634 Jasło"
"Fabian Żołnierczyk"	"al. Wojciecha 07/99
56-680 Wieluń"
"Krzysztof Turczyk"	"pl. Powstańców 74
60-696 Lubliniec"
"Olga Machowiak"	"pl. Listopada 28
12-577 Czechowice-Dziedzice"
"Józef Gawliczek"	"al. Jana Pawła II 25
47-702 Polkowice"
"Hubert Jakubaszek"	"ulica Tysiąclecia 480
15-321 Dzierżoniów"
"pani Roksana Sass"	"plac Kilińskiego 381
07-825 Dzierżoniów"
"pan Marcin Komisarczyk"	"pl. Ściegiennego 484
48-078 Pruszcz Gdański"
"Anastazja Kołsut"	"aleja Jastrzębia 007
67-855 Ciechanów"
"Kornel Kieszek"	"al. Miodowa 94
83-548 Tarnów"
"pan Kamil Dynak"	"aleja Torowa 29
46-019 Dzierżoniów"
"pan Eryk Potok"	"ulica Szkolna 79
80-001 Rybnik"
"Aleksander Kalota"	"pl. Konstytucji 3 Maja 86/07
24-717 Kościerzyna"
"Józef Pieszak"	"aleja Krasińskiego 36/95
89-731 Słupsk"
"Konstanty Żołnierczyk"	"pl. Konarskiego 533
93-917 Racibórz"
"Fryderyk Borzych"	"aleja Fredry 020
85-805 Ostrów Wielkopolski"
"Dariusz Garczyk"	"ul. Armii Krajowej 00/28
16-307 Chorzów"
"Agnieszka Ryszkiewicz"	"aleja Bankowa 80/17
20-539 Jelenia Góra"
"pani Malwina Linek"	"plac Wieniawskiego 63/97
87-919 Krotoszyn"
"Roksana Miecznik"	"ul. Grottgera 55/13
38-871 Szczecin"
"pan Kamil Getka"	"plac Wybickiego 52
44-101 Świętochłowice"
"Wiktor Szumiło"	"pl. Długosza 72
76-119 Kalisz"
"Ryszard Sado"	"pl. Kołłątaja 392
17-858 Bydgoszcz"
"Marika Wilusz"	"ulica Malczewskiego 00/90
35-087 Tomaszów Mazowiecki"
"pan Tymon Kuziora"	"plac Jana Pawła II 170
70-878 Grodzisk Mazowiecki"
"Arkadiusz Pietrusiak"	"aleja Korczaka 12
86-035 Szczecin"
"pan Jędrzej Niksa"	"ulica Daszyńskiego 97
15-714 Lubliniec"
"pan Karol Szyc"	"ul. Tartaczna 89
03-726 Zakopane"
"Szymon Sadownik"	"plac Kosynierów 65/04
53-842 Goleniów"
"Mateusz Gryga"	"al. Grzybowa 52/48
96-020 Katowice"
"pan Kamil Prażuch"	"ulica Korczaka 588
18-141 Pruszków"
"Bartek Miętus"	"al. Łączna 06/87
71-601 Nowy Dwór Mazowiecki"
"Patryk Gubernat"	"ulica Towarowa 17/39
97-417 Nysa"
"Kalina Bełza"	"plac Wyszyńskiego 318
38-933 Cieszyn"
"Oliwier Rozynek"	"plac Asnyka 93
99-625 Dąbrowa Górnicza"
"Gustaw Misztela"	"aleja Kilińskiego 27/11
18-710 Elbląg"
"Daniel Dzidek"	"ul. Jabłoniowa 17/44
31-240 Oława"
"Adrian Frycz"	"aleja Gałczyńskiego 01/90
27-995 Zduńska Wola"
"Sonia Kieszek"	"ul. Cicha 65/08
02-126 Gorlice"
"Malwina Kopyt"	"aleja Baczyńskiego 71/91
33-960 Reda"
"pan Kazimierz Macioł"	"plac Krasickiego 461
65-730 Siedlce"
"Jeremi Berg"	"ulica Modrzewiowa 37
96-751 Kalisz"
"Kalina Stanisławek"	"aleja Rynek 03/90
87-939 Augustów"
"Cezary Buk"	"ul. Skośna 04/48
78-306 Szczecin"
"Marcin Tylus"	"ulica Władysława Jagiełły 892
46-558 Zambrów"
"pan Przemysław Fijoł"	"al. Rumiankowa 62/15
67-693 Świecie"
"pan Antoni Letkiewicz"	"ul. Konstytucji 3 Maja 14
44-918 Ełk"
"pan Maurycy Mikoda"	"aleja Miłosza 66
38-964 Ełk"
"Maksymilian Marciniszyn"	"ulica Kossaka 256
95-785 Włocławek"
"pani Ewa Fras"	"plac Plater 12
12-987 Grodzisk Mazowiecki"
"pan Kazimierz Roda"	"ul. Podwale 68/62
16-193 Zamość"
"pani Sonia Stempniak"	"ulica Partyzantów 492
43-657 Jastrzębie-Zdrój"
"pani Adrianna Drynda"	"plac Brzechwy 70
60-293 Chrzanów"
"Jeremi Węgrzynowicz"	"pl. Jana Sobieskiego 37/27
46-247 Tomaszów Mazowiecki"
"Damian Holeksa"	"aleja Ciasna 009
90-575 Dąbrowa Górnicza"
"Filip Łyczek"	"plac Wróblewskiego 608
47-964 Zduńska Wola"
"Ksawery Tomys"	"ulica Fredry 77/73
02-832 Oława"
"Damian Kudela"	"al. Bema 37
28-429 Chorzów"
"Melania Orpel"	"pl. Kilińskiego 04
30-078 Elbląg"
"Juliusz Kowala"	"pl. Tuwima 030
69-300 Włocławek"
"pan Kazimierz Ziętal"	"ul. Kościelna 25
57-364 Tychy"
"pan Dominik Beśka"	"plac Popiełuszki 78/28
13-740 Toruń"
"Olaf Bystrek"	"ulica Bolesława Krzywoustego 26/52
45-926 Koszalin"
"Nikodem Bielat"	"aleja Broniewskiego 06/80
21-172 Chorzów"
"Fryderyk Kozdroń"	"ul. Parkowa 029
03-821 Wodzisław Śląski"
"Maksymilian Jonak"	"pl. Skargi 744
56-238 Tychy"
"Liwia Dulik"	"ul. Wiosenna 25
72-181 Mysłowice"
"Kaja Skonieczka"	"aleja Kościuszki 205
54-255 Lubliniec"
"Wojciech Wszoła"	"ulica Truskawkowa 80
03-515 Kraśnik"
"Anita Smagała"	"plac Traugutta 41/77
42-101 Brodnica"
"pan Konrad Klin"	"ul. Sosnowa 171
34-227 Sochaczew"
"Olaf Wrochna"	"aleja Odrzańska 712
46-605 Tarnów"
"pan Adam Bastek"	"ulica Rynek 56
51-050 Biała Podlaska"
"pani Blanka Żołna"	"ulica Targowa 53/16
99-375 Koszalin"
"pani Kaja Łyś"	"ulica Ciasna 19/17
85-357 Wołomin"
"Karina Kapera"	"pl. Staffa 90/08
93-120 Police"
"Malwina Dudczak"	"ulica Maczka 605
23-151 Szczytno"
"pani Angelika Mędrala"	"aleja Brzozowa 65
67-106 Oława"
"Kamila Hudzik"	"aleja Działkowa 608
41-350 Zambrów"
"Natan Gabryel"	"ul. Malczewskiego 66/32
98-539 Sopot"
"pan Konrad Leoniak"	"ul. Powstańców Śląskich 906
02-590 Ruda Śląska"
"Maks Raszkiewicz"	"ul. Słoneczna 306
18-770 Chrzanów"
"Inga Doroz"	"ulica Kossaka 540
76-583 Sieradz"
"Jeremi Steckiewicz"	"aleja Chopina 37
17-322 Legionowo"
"Kajetan Herok"	"pl. Staszica 89
19-309 Białystok"
"Julita Jachimczyk"	"ul. Skośna 899
90-235 Piekary Śląskie"
"Julianna Smolka"	"ul. Kochanowskiego 286
61-014 Mińsk Mazowiecki"
"pan Jan Perka"	"plac Kochanowskiego 27/27
72-515 Katowice"
"Stefan Budner"	"ul. Wojciecha 56
96-313 Będzin"
"Leon Balas"	"ulica Żytnia 45/46
69-550 Kraśnik"
"pan Konrad Nitkiewicz"	"plac Grottgera 113
80-202 Dzierżoniów"
"Olaf Mitera"	"plac Wyzwolenia 13
50-298 Kielce"
"Tymon Bork"	"al. Skłodowskiej-Curie 47
62-299 Żary"
"Iwo Zbylut"	"al. Towarowa 121
73-557 Wodzisław Śląski"
"Apolonia Ferdyn"	"ul. Dąbrowskiej 14/58
47-651 Zduńska Wola"
"pani Kamila Tonder"	"aleja Narcyzowa 49/90
90-564 Bartoszyce"
"pan Patryk Lewek"	"plac Poniatowskiego 499
88-383 Piaseczno"
"Krystian Zygmuntowicz"	"plac Popiełuszki 17
04-118 Sandomierz"
"Wojciech Palonek"	"ulica Stolarska 58/05
07-214 Ostrołęka"
"Malwina Ograbek"	"aleja Pszenna 08
89-736 Bielawa"
"pan Konrad Picheta"	"ulica Wróblewskiego 299
83-465 Otwock"
"Krystian Karwot"	"ul. Lazurowa 536
26-929 Wałbrzych"
"Albert Rezler"	"al. Czereśniowa 26
88-025 Ostrołęka"
"Andrzej Goska"	"pl. Drzymały 51/61
13-929 Szczecin"
"Gabriel Cop"	"plac Bolesława Krzywoustego 59
22-616 Gliwice"
"Natan Fidor"	"plac Niepodległości 368
32-427 Jasło"
"Konrad Jantos"	"plac Tuwima 45
04-159 Sochaczew"
"Grzegorz Sudnik"	"ul. Klasztorna 82/85
51-211 Stargard Szczeciński"
"Jakub Bzdęga"	"pl. Czarnieckiego 063
29-332 Sosnowiec"
"pani Dorota Rorat"	"ul. Wiązowa 61/14
03-731 Oława"
"pan Konstanty Bugno"	"ulica Staszica 15/64
16-111 Goleniów"
"Roksana Andreasik"	"al. Zwycięstwa 78
07-516 Żagań"
"Oskar Bobik"	"ul. Gdańska 30/21
67-218 Koło"
"Kaja Kwinta"	"ulica Niepodległości 997
17-979 Nowy Sącz"
"Inga Fiutak"	"plac Floriana 298
79-504 Siemianowice Śląskie"
"Ignacy Kominiak"	"ul. Wyzwolenia 464
13-401 Warszawa"
"Ryszard Tecław"	"pl. Kruczkowskiego 94/66
15-019 Piekary Śląskie"
"Aurelia Złotek"	"plac Drzymały 94/82
54-880 Zabrze"
"Melania Jurczuk"	"al. Wesoła 744
84-821 Sandomierz"
"Anita Słobodzian"	"ulica Kowalska 320
17-542 Zduńska Wola"
"pan Konstanty Hajdukiewicz"	"ul. Grabowa 081
12-249 Śrem"
"Bartek Nurkiewicz"	"ul. Wrocławska 711
65-554 Świecie"
"Kajetan Węgrzyk"	"ulica Prosta 63/33
60-089 Gdynia"
"Nikodem Sadza"	"al. Złota 40
75-977 Katowice"
"Klara Olkowicz"	"ulica Opolska 271
15-485 Rzeszów"
"Antoni Pryk"	"ulica Niecała 825
63-737 Sieradz"
"Malwina Ciepła"	"ulica Zaułek 97/25
21-525 Nowa Ruda"
"pan Józef Zagrodnik"	"ul. Letniskowa 71/40
53-386 Bolesławiec"
"Konrad Siergiej"	"al. Północna 06
46-389 Śrem"
"Elżbieta Oczko"	"aleja Sikorskiego 19
70-264 Sopot"
"pan Konstanty Han"	"al. Wybickiego 38
29-231 Koło"
"Błażej Lazarek"	"ul. Żurawia 35/57
83-108 Piła"
"Natan Pyszny"	"pl. Poniatowskiego 028
82-625 Otwock"
"Elżbieta Boś"	"ul. Pałacowa 87/18
93-622 Puławy"
"Natan Gamoń"	"ulica Wiklinowa 79/88
65-877 Żywiec"
"pani Adrianna Naumiuk"	"plac Władysława Łokietka 745
15-231 Koło"
"Dominik Szachniewicz"	"ulica Browarna 93
25-790 Zakopane"
"Igor Połom"	"plac Długosza 69/69
68-323 Lubin"
"pani Inga Murach"	"aleja Kruczkowskiego 336
64-217 Jaworzno"
"Rafał Podsiadła"	"aleja Kazimierza Wielkiego 754
88-031 Mińsk Mazowiecki"
"pan Konstanty Matusewicz"	"plac Miłosza 09
64-267 Nowy Sącz"
"pan Aleks Kopiczko"	"ul. Akacjowa 39/45
23-991 Mikołów"
"pan Aleksander Dulemba"	"plac Głowackiego 60
46-886 Gdynia"
"Cezary Pituła"	"plac Sawickiej 47/14
05-133 Mysłowice"
"Roksana Steckiewicz"	"plac Kopernika 730
25-778 Ostrołęka"
"Julianna Łakota"	"pl. Poniatowskiego 26/70
04-430 Kraśnik"
"Angelika Witas"	"ulica Mickiewicza 071
11-865 Bielsko-Biała"
"Daniel Jasionek"	"pl. Kraszewskiego 91
79-657 Nowa Sól"
"Ewelina Drobot"	"ulica Wierzbowa 08
46-303 Puławy"
"Kamila Zapiór"	"aleja Stefana Batorego 613
51-930 Myszków"
"pan Kornel Rubaj"	"pl. Świerczewskiego 48/42
48-523 Tomaszów Mazowiecki"
"Wojciech Janasik"	"al. Rejtana 39
38-482 Jarosław"
"Marcin Chudoba"	"al. Słoneczna 682
79-842 Radomsko"
"Tadeusz Zaraś"	"plac Bolesława Chrobrego 62/91
77-939 Rumia"
"pan Maurycy Kulus"	"pl. Głowackiego 911
97-019 Luboń"
"Elżbieta Stryjek"	"ulica Rzemieślnicza 18
67-584 Gorlice"
"Marika Tokaj"	"plac Bolesława Chrobrego 89/99
10-487 Skierniewice"
"pan Jan Nitkiewicz"	"pl. Tuwima 02
28-831 Skierniewice"
"Kornel Kossak"	"ulica Jana Pawła II 34/08
86-119 Sandomierz"
"Angelika Stróż"	"pl. Kochanowskiego 27/75
45-390 Malbork"
"pan Krystian Byzdra"	"pl. Prusa 42
70-313 Świętochłowice"
"Tymon Rejmak"	"al. Orzeszkowej 90/46
23-221 Siemianowice Śląskie"
"Szymon Mendyka"	"ulica Średnia 17
24-364 Zambrów"
"Anastazja Długozima"	"aleja Malczewskiego 47/27
56-646 Olsztyn"
"pani Kaja Błażejewicz"	"al. Cmentarna 71/32
36-564 Poznań"
"pani Karina Kasiak"	"plac Korfantego 29
11-702 Nowy Dwór Mazowiecki"
"pan Maciej Pogorzelec"	"aleja Solidarności 32
29-143 Świętochłowice"
"pani Olga Miszkurka"	"ulica Fredry 13
62-315 Sandomierz"
"Cyprian Hanas"	"aleja Rózana 90
69-532 Lębork"
"Lidia Lorenz"	"ul. Ludowa 96
17-262 Czerwionka-Leszczyny"
"pan Krystian Godyń"	"al. Konarskiego 43
60-785 Szczecinek"
"Sandra Kubasiak"	"al. Jana Pawła II 55
66-172 Zgorzelec"
"Marcin Marcińczyk"	"pl. Armii Krajowej 458
12-974 Świdnica"
"Fabian Hyjek"	"al. Rynek 86/61
58-366 Iława"
"pan Jerzy Mały"	"aleja Kopernika 60
85-985 Piaseczno"
"Dariusz Garczyk"	"ulica Maczka 189
03-518 Luboń"
"Aleksander Obiała"	"ul. Zbożowa 70/14
85-995 Przemyśl"
"Dawid Sommer"	"aleja Gałczyńskiego 15/40
26-227 Bielawa"
"pani Nela Strzępek"	"al. Truskawkowa 507
66-120 Piotrków Trybunalski"
"pani Kalina Widuch"	"aleja Krasickiego 287
78-738 Rumia"
"pan Krzysztof Błażejczak"	"pl. Wybickiego 741
42-681 Tychy"
"Witold Humeniuk"	"al. Ludowa 62/36
31-484 Swarzędz"
"Sara Szumna"	"pl. Traugutta 70
01-423 Dębica"
"Stefan Miotke"	"al. Solidarności 90
48-060 Śrem"
"Alan Jaroch"	"ulica Jana Pawła II 63/24
05-990 Nowy Targ"
"Andrzej Przekwas"	"ul. Staffa 145
05-838 Skawina"
"Wojciech Pyś"	"ulica Witosa 136
45-939 Krotoszyn"
"Gaja Fabiańczyk"	"aleja Skrajna 436
17-539 Marki"
"pan Jan Gogół"	"plac Witosa 171
21-381 Ostrów Mazowiecka"
"pani Eliza Pietraszkiewicz"	"aleja Niepodległości 82/94
91-655 Tarnów"
"pan Krzysztof Księżak"	"ul. Radosna 99/57
75-619 Dzierżoniów"
"Leonard Kolman"	"al. Dąbrowskiej 771
08-621 Ełk"
"Nela Mielcarz"	"plac Kruczkowskiego 94
04-356 Pszczyna"
"pani Malwina Naczk"	"ulica Tysiąclecia 96
75-230 Oława"
"pan Jeremi Helman"	"aleja Pałacowa 499
02-965 Chorzów"
"Ada Balik"	"pl. Batalionów Chłopskich 859
32-124 Siemianowice Śląskie"
"Błażej Feluś"	"al. Jesionowa 44
17-235 Kalisz"
"Antoni Smagacz"	"ul. Dąbrowskiej 983
74-679 Dębica"
"Leon Bortkiewicz"	"al. Magnoliowa 42/64
12-129 Łódź"
"pani Kamila Kosidło"	"al. Górna 38/66
37-626 Bydgoszcz"
"pan Ksawery Czosnyka"	"aleja Cicha 49/79
64-625 Biłgoraj"
"Daniel Tymczyszyn"	"pl. Żeromskiego 26
27-100 Piaseczno"
"pani Sylwia Jacak"	"aleja Makuszyńskiego 864
10-644 Olsztyn"
"Gaja Bączkiewicz"	"plac Batalionów Chłopskich 58
90-555 Toruń"
"Gaja Zieniewicz"	"plac Broniewskiego 01
08-508 Szczecinek"
"Cyprian Łakota"	"plac Narutowicza 41
07-267 Kraków"
"Oskar Wlizło"	"plac Kusocińskiego 60/31
18-066 Legnica"
"Kamila Młodzik"	"plac Prusa 94/31
44-594 Augustów"
"Leon Strzała"	"aleja Przemysłowa 97
18-810 Świecie"
"Dariusz Gordon"	"plac Chełmońskiego 09/03
34-254 Gorzów Wielkopolski"
"pan Ksawery Płoskonka"	"plac Poniatowskiego 31/35
32-950 Zakopane"
"Hubert Pazera"	"plac Paderewskiego 50
11-530 Toruń"
"pani Blanka Kusio"	"ul. Hutnicza 362
15-562 Starogard Gdański"
"Anastazja Jakiel"	"ul. Krzywa 69
15-059 Siemianowice Śląskie"
"Leonard Lubera"	"ulica Jadwigi 24
89-306 Piekary Śląskie"
"Aleksander Gryka"	"aleja Działkowa 03/86
78-854 Malbork"
"Stefan Block"	"al. Jasna 71/77
20-878 Kętrzyn"
"Olga Straszak"	"al. Jeżynowa 52
90-193 Wałbrzych"
"Mariusz Stempel"	"ulica Łączna 18
68-247 Szczecinek"
"Józef Działak"	"ul. Torowa 914
45-758 Jastrzębie-Zdrój"
"pan Leon Skoneczna"	"al. Widok 188
83-690 Włocławek"
"Olaf Kruszona"	"ulica Owocowa 092
16-813 Brodnica"
"Dagmara Białczyk"	"ulica Bema 60
17-154 Konin"
"pani Anastazja Nestorowicz"	"pl. Plater 37
39-742 Świebodzice"
"Natan Goworek"	"al. Sowia 13/80
06-378 Grudziądz"
"Ksawery Dietrich"	"ulica Cisowa 57/53
30-020 Bielsko-Biała"
"Kamil Skubała"	"pl. Prusa 70/34
62-486 Jarocin"
"pani Ewelina Salach"	"ul. Pułaskiego 70/58
34-914 Grodzisk Mazowiecki"
"Jędrzej Wons"	"aleja Słowackiego 16
60-759 Siedlce"
"pan Maksymilian Karyś"	"aleja Zaciszna 58
73-531 Szczecinek"
"pan Leonard Majsterek"	"ulica Czarnieckiego 574
30-090 Kraśnik"
"Arkadiusz Malon"	"ul. Broniewskiego 710
40-866 Ciechanów"
"Józef Siejak"	"ul. Ciasna 87/62
56-277 Sieradz"
"pan Sebastian Browarczyk"	"plac Wyzwolenia 01/30
51-769 Krotoszyn"
"Urszula Różak"	"plac Korczaka 719
13-673 Police"
"Bruno Hołota"	"plac Wojciecha 95
43-068 Kutno"
"pani Dagmara Durlik"	"pl. Korfantego 846
93-146 Konin"
"Blanka Dziuban"	"ul. Średnia 96/17
18-850 Tomaszów Mazowiecki"
"Mariusz Denkiewicz"	"al. Powstańców 539
86-120 Świętochłowice"
"pani Sandra Gryciuk"	"pl. Poniatowskiego 32/14
06-448 Wrocław"
"pan Maciej Dziuban"	"pl. Kołłątaja 00
55-503 Głogów"
"Eliza Dzikiewicz"	"ul. Lipca 23
51-756 Ostrołęka"
"Nela Siekierka"	"aleja Środkowa 58
17-676 Lubartów"
"pan Karol Zięcik"	"ulica Morska 52/55
42-045 Łomża"
"pan Dawid Wieja"	"aleja Piwna 76/01
64-350 Ostrów Wielkopolski"
"Tymon Latek"	"pl. Broniewskiego 637
65-881 Sanok"
"Kazimierz Patalas"	"ulica Torowa 96/93
36-185 Dzierżoniów"
"pan Wiktor Bernard"	"al. Wojska Polskiego 891
82-450 Żywiec"
"Konrad Fiedorczuk"	"al. Nałkowskiej 54
20-852 Głogów"
"Marcel Czosnyka"	"ul. Konopnickiej 18
11-041 Gdańsk"
"pan Maciej Fogel"	"pl. Asnyka 39/88
04-055 Wejherowo"
"Grzegorz Klejna"	"ulica Zamkowa 10
22-037 Rumia"
"Jędrzej Tatarek"	"pl. Matejki 11
52-919 Włocławek"
"Malwina Księżyk"	"plac Wyzwolenia 62/80
54-937 Giżycko"
"Piotr Dyszkiewicz"	"ul. Rejtana 740
81-737 Przemyśl"
"Karol Osipowicz"	"al. Ogrodowa 651
45-842 Łuków"
"pani Dagmara Łągiewka"	"aleja Żwirowa 15/08
24-209 Lubartów"
"Ignacy Kloska"	"ul. Młynarska 83
76-128 Sanok"
"pani Kalina Rosłoń"	"aleja Malczewskiego 359
56-580 Gorlice"
"Natasza Kruś"	"al. Jana Pawła II 513
65-471 Płońsk"
"pan Maciej Kiełek"	"ulica Głowackiego 99/86
09-077 Goleniów"
"Rozalia Stypka"	"ul. Rzeczna 807
91-267 Głogów"
"Dariusz Graban"	"plac Listopada 503
93-987 Tczew"
"Franciszek Tondera"	"al. Szymanowskiego 04/21
05-719 Chrzanów"
"Patryk Lewicz"	"plac Rynek 16/55
31-112 Wejherowo"
"Maksymilian Królikiewicz"	"ul. Kasztanowa 08
57-028 Otwock"
"Marek Engel"	"al. Ściegiennego 999
03-819 Nowy Targ"
"Grzegorz Dubel"	"al. Miłosza 73/68
88-636 Mysłowice"
"Hubert Garncarz"	"pl. Asnyka 730
55-676 Kędzierzyn-Koźle"
"Przemysław Ulewicz"	"ulica Jasna 60
78-055 Lublin"
"pan Maksymilian Preuss"	"aleja Malczewskiego 29
14-455 Puławy"
"Jacek Łodyga"	"al. Dworcowa 13
22-344 Rumia"
"Bartek Tyniec"	"ul. Młyńska 08
54-554 Lublin"
"Olgierd Orwat"	"pl. Niepodległości 70
78-863 Bielsk Podlaski"
"Filip Gregorek"	"pl. Sawickiej 850
05-701 Głogów"
"pan Maciej Mroczko"	"aleja Zielna 513
80-544 Stargard Szczeciński"
"Daniel Miecznik"	"plac Traugutta 70
80-201 Malbork"
"Fryderyk Cibor"	"plac Orzeszkowej 402
08-192 Kołobrzeg"
"Adrianna Labudda"	"al. Listopada 79
54-024 Żory"
"Nicole Krefta"	"ul. Mieszka I 70/86
36-180 Sandomierz"
"pan Maksymilian Rakus"	"aleja Łąkowa 282
17-085 Stalowa Wola"
"pani Adrianna Fidos"	"pl. Żwirki i Wigury 636
81-106 Sopot"
"pani Marcelina Hewelt"	"pl. Kilińskiego 15
75-470 Środa Wielkopolska"
"pan Kornel Surdyk"	"al. Kościuszki 047
96-871 Nowa Ruda"
"Maciej Matulewicz"	"ulica Czarnieckiego 556
90-687 Chełm"
"Julita Mazepa"	"pl. Kazimierza Wielkiego 428
76-154 Chorzów"
"Leon Aleksandrzak"	"aleja Jałowcowa 982
27-522 Zielona Góra"
"Ewa Wisła"	"plac Stefana Batorego 910
59-756 Łomża"
"Piotr Mikołajewicz"	"ulica Chopina 03/67
31-644 Koszalin"
"Witold Juśkiewicz"	"ul. Gdańska 00/08
82-044 Tczew"
"pan Maksymilian Suchora"	"plac Miłosza 37/76
11-337 Legionowo"
"Maks Grygorcewicz"	"ul. Morcinka 86/29
93-139 Nowy Sącz"
"Oskar Sądej"	"al. Powstańców Wielkopolskich 49/80
87-770 Poznań"
"Nicole Rejmak"	"pl. Fredry 852
43-856 Mława"
"Bianka Szlachcic"	"aleja Staffa 48/01
54-249 Skarżysko-Kamienna"
"pani Ewelina Linkiewicz"	"aleja Powstańców Wielkopolskich 06/68
70-646 Białogard"
"Szymon Warwas"	"ulica Konstytucji 3 Maja 189
87-672 Gdańsk"
"Borys Ragan"	"ulica Tęczowa 685
73-589 Stargard Szczeciński"
"Bianka Ślebioda"	"ul. Bociania 10
64-369 Ruda Śląska"
"pani Melania Ciarka"	"plac Konstytucji 3 Maja 246
99-252 Kluczbork"
"pan Marcel Dyjas"	"plac Makuszyńskiego 65
26-396 Jarocin"
"Kornelia Klama"	"pl. Grottgera 32/93
41-271 Tarnów"
"Ida Brodowicz"	"plac Nałkowskiej 36
62-867 Pabianice"
"Maurycy Cieloch"	"aleja Ptasia 20
72-034 Gliwice"
"Wojciech Stój"	"aleja Majowa 875
57-575 Wejherowo"
"Przemysław Przewoźniak"	"plac Jana Sobieskiego 067
54-666 Kołobrzeg"
"Krzysztof Golus"	"plac Solidarności 35
28-433 Legionowo"
"Gabriel Groń"	"ul. Waryńskiego 060
89-175 Świdnica"
"Emil Fronczyk"	"aleja Hallera 18
35-161 Legionowo"
"Klara Krzempek"	"ul. Wypoczynkowa 91/21
26-095 Brodnica"
"pan Marcel Kapciak"	"aleja Zakole 83
36-606 Krotoszyn"
"Patryk Jaskóła"	"plac Mieszka I 197
87-641 Słupsk"
"Julianna Balcewicz"	"ul. Jaworowa 34/33
93-574 Gdańsk"
"Melania Pawełkiewicz"	"aleja Bursztynowa 605
64-760 Ełk"
"Apolonia Zagrodnik"	"pl. Sienkiewicza 41/98
26-470 Jarocin"
"Melania Fydrych"	"aleja Szeroka 74/96
94-042 Zielona Góra"
"Tobiasz Potok"	"aleja Bukowa 16
20-970 Płock"
"Antoni Sztaba"	"aleja Poznańska 28/81
10-120 Tarnobrzeg"
"Adam Tlałka"	"aleja Lubelska 11/77
82-348 Kielce"
"Malwina Forma"	"pl. Lelewela 85/83
52-219 Ząbki"
"pan Marcel Kosela"	"aleja Majowa 21/66
21-065 Świnoujście"
"pan Leon Hejduk"	"ulica Targowa 924
54-225 Stalowa Wola"
"Mikołaj Łyjak"	"aleja Fiołkowa 711
93-080 Łódź"
"Janina Handke"	"aleja Jana 04
39-808 Cieszyn"
"Karol Kuświk"	"plac Solidarności 09
61-476 Skawina"
"Mateusz Matura"	"aleja Głowackiego 36/70
25-863 Biała Podlaska"
