"A. Balog Lajos"	"Tamásiházai utca 81.
H-7599 Tatabánya" 
"Tóth Kiss Borbála"	"Mellékvégi tér 141.
H-9737 Hídkőrös"
"Vincze Mihályné"	"Dunamelléki utca 42.
H-9463 Tiszaligetváros"
"Papp János József"	"Soproni utca 201.
H-8528 Mártonberény"
"Dr. Szőke E. Erzsébet"	"Hídfalvai utca 147.
H-2693 Szombathely"
"Dr. Farkas István"	"Petőfi tér 197.
H-6898 Somogyszékvára"
"Dr. Z. Kovács Anna"	"Bajai utca 180.
H-5463 Mosontamásihida"
"Vargané Nagy Mária"	"Szerbmindszenti utca 168.
H-4954 Tamásiváros"
"I. Németh László"	"Mellékfalvai utca 216.
H-6633 Bácsszékváros"
"Prof. Dr. Pap Pál"	"Oroszkereszti utca 198.
H-8556 Székesfehérvár"
"Horváthné Prof. Dr. Papp Mónika"	"Fürdőfai utca 50.
H-6954 Ózd"
"Dr. Nagy Fehér László"	"Tapolcafalui út 107.
H-8381 Szerbhídnádasd"
"Szűcsné Balogh Ilona"	"Fürdővárai utca 81.
H-5387 Mindszentnémeti"
"Tóth Péter"	"Györgyházai utca 90.
H-5097 Székesfehérvár"
"Dr. Takács Attilané"	"Balatonhídi utca 243.
H-7286 Keresztnádasd"
"Dr. Nagy Józsefné Hajdu Etelka"	"Szerbtóti tér 108.
H-7096 Kecskemét"
"Dr. Papp Juhász Anna"	"Mindszentházai utca 227.
H-5884 Salgótarján"
"Vargané Prof. Dr. Szabó Judit"	"Dunagyörgyi utca 194.
H-6271 Dunaújváros"
"Szabó Kocsis Éva"	"Ceglédi utca 10.
H-7916 Vác"
"Pásztor Emese"	"Hídharasztii utca 5.
H-7711 Hídnémeti"
"L. Tóth Zsófia"	"Németszéki utca 113.
H-4317 Váctótvára"
"Fábián Ildikó Katalin"	"Békéscsabai utca 247.
H-1355 Keresztvár"
"Papp Molnár Mária"	"Kossuth utca 46.
H-5200 Felsőtótberény"
"Németh Á. Piroska"	"Soproni utca 19.
H-5124 Nyíregyháza"
"Nagy Magyar Béla"	"Felsőmártoni tér 133.
H-2926 Tapolcafalva"
"Dr. Szekeres István Krisztofer"	"Dózsa györgy utca 3.
H-1790 Budaszékvár"
"Dr. Váradi Lakatos Edit"	"Balatonmártoni tér 139.
H-8480 Kecskemét"
"Vargané Szabó Mária Nikoletta"	"Keresztvégi utca 235.
H-9678 Székvég"
"Dr. Jónás Zsuzsanna Margit"	"Székváradi utca 169.
H-3289 Székesfehérvár"
"Lukácsné Németh Nikoletta Margit"	"Kistapolcai utca 126.
H-6523 Pécs"
"Török Etelka Tünde"	"Miskolci út 240.
H-8409 Hetvenhalas"
"Á. Farkas Zalán"	"Béke utca 171.
H-7669 Székfa"
"Máténé Dr. Balogh Zsuzsanna Mária"	"Hetvenfalui utca 58.
H-2439 Tótkőrös"
"Kovács Varga István"	"Hídberényi utca 150.
H-4596 Hetvenvár"
"J. Varga Ernő"	"Dózsa györgy utca 183.
H-8424 Miskolc"
"Nagy Károly"	"Mátraháti utca 79.
H-3625 Keresztháza"
"Dr. Tamás Máté"	"Egyházasfürdői utca 43.
H-7381 Pusztafürdőhalas"
"Vass Tibor"	"Kecskeméti utca 148.
H-3319 Ózd"
"Budai F. László"	"Magyarligeti utca 36.
H-4142 Mellékfalu"
"Dr. Kiss Marianna Ilona"	"Oroszgyörgyi út 41.
H-4585 Kiskeresztvárad"
"Dr. G. Németh Ferenc"	"József attila utca 58.
H-2698 Kaposvár"
"Papp Lászlóné Szűcs Judit"	"Kossuth utca 105.
H-5360 Hídnádasd"
"Prof. Dr. Kissné Papp Éva"	"Fürdőhalasi utca 28.
H-4897 Oroszmártonapáti"
"Vargané Szabó Noémi"	"Petőfi utca 109.
H-9305 Keresztváros"
"Dr. K. Kovács Gyöngyi"	"Újmártoni utca 33.
H-3853 Kecskemét"
"Lakatos Ibolya"	"Oroszi utca 3.
H-4299 Hódmezővásárhely"
"Szabó K. Jolán"	"Györgyházai utca 189.
H-6343 Tamásikövesd"
"Vass Tóth Éva"	"Béke tér 14.
H-3187 Kecskemét"
"Magyar Gergő Roland"	"Györgyfalui utca 91.
H-9249 Dunamindszentapáti"
"Mezei Imrené Somogyi Gyöngyi"	"József attila utca 188.
H-7904 Némettamásinádasd"
"Varga Margit"	"Szabadság utca 69.
H-7303 Hódmezővásárhely"
"Dr. Szabó Erzsébet Irén"	"Kossuth utca 15.
H-1697 Ligetvára"
"Lukács Imrené Balog Anna"	"Dunakeszii utca 12.
H-6062 Tótháza"
"M. Fehér Andrea"	"Bácsi utca 178.
H-4372 Salgótarján"
"Nagyné Dr. Balogh Bianka Katalin"	"Kossuth tér 99.
H-6899 Rácszékharaszti"
"Németh Ildikó"	"Petőfi tér 244.
H-2619 Hida"
"Dr. Lakatos Zoltán"	"Pilismelléki utca 64.
H-5540 Szenttapolcaváros"
"Veres Erzsébet Krisztina"	"Ligetfai utca 172.
H-1318 Szentgyörgyharaszti"
"Dr. Orosz Istvánné"	"Kossuth utca 47.
H-6330 Bakonyfalu"
"Dr. Pappné Veres Alexandra"	"Szombathelyi utca 127.
H-3352 Magyarfürdővár"
"Dr. E. Kiss Ildikó"	"József attila utca 27.
H-5923 Borsodfürdőhida"
"Tóth Ádám"	"Tamásivárai utca 48.
H-9804 Zalaegerszeg"
"Kovács F. Péter"	"Felsőligeti utca 46.
H-6668 Dunaújváros"
"M. Horváth Alexandra"	"Szenthídi utca 159.
H-3649 Debrecen"
"Simon Zalánné Varga Etelka"	"Borsodmindszenti tér 120.
H-6422 Békéscsaba"
"Dr. Simon Zsoltné Sárközi Julianna"	"Tamásiházai tér 95.
H-7957 Dunakeszi"
"Dr. Major Gábor"	"Tiszatapolcai tér 1.
H-1736 Ligetapáti"
"Veres Richárdné Kiss Fanni"	"Szabadság utca 86.
H-7400 Dunakeszi"
"Molnár Ferenc"	"Bácstamásii utca 119.
H-5200 Németszéknémeti"
"Dr. J. Nagy Balázs"	"Ligetkövesdi utca 198.
H-9109 Szombathely"
"Dr. Horváth Györgyné"	"Václigeti utca 238.
H-3658 Nyéktamásinémeti"
"Kissné Lukács Ilona"	"Petőfi út 113.
H-4582 Miskolc"
"Lakatosné Balázs Piroska"	"Ligetvárosi tér 92.
H-1183 Veszprém"
"Dr. Kis Éva"	"Dózsa györgy utca 117.
H-4861 Vác"
"Baloghné Dr. Halász Erzsébet Krisztina"	"Hetvenfalvai utca 218.
H-2586 Dunakeszi"
"Horváth J. László"	"Rácmelléki utca 208.
H-4783 Tótfalva"
"Dr. Farkas Magdolna"	"József attila utca 223.
H-9141 Szentgyörgybánya"
"Veres É. Etelka"	"Budahetveni utca 108.
H-8740 Alsóhetvennádasd"
"Dr. Tóthné Nagy Lilla"	"Kossuth utca 139.
H-2193 Dunaújváros"
"Prof. Dr. Kovácsné Tóth Magdolna"	"Tótfalui utca 109.
H-8558 Dunakeszi"
"Varga Julianna"	"Bajai út 191.
H-5656 Mellékberény"
"Dr. Rácz Éva Csilla"	"Pusztafürdői út 189.
H-3428 Hídvég"
"Dr. Németh E. Tünde"	"Győri utca 2.
H-7949 Békésvég"
"Lengyel Ákos"	"Egyházastamásii utca 212.
H-6931 Pusztatótharaszti"
"Mészáros István Máté"	"Tiszafürdői út 1.
H-3085 Somogytamásinádasd"
"Horváthné Dr. Tóth Réka"	"Béke utca 115.
H-2663 Nagymártonháza"
"A. Balogh László"	"Németii út 62.
H-6520 Fürdőváros"
"Veresné Hajdu Beáta"	"Dózsa györgy út 138.
H-2466 Pilismártonkövesd"
"Kiss Tamás Szilárd"	"Petőfi tér 53.
H-5276 Bakonyháza"
"Dr. Tóth Gabriella"	"Béke út 140.
H-9504 Mindszentfalva"
"Gál Klára"	"Szabadság utca 170.
H-3650 Mellékvár"
"Dr. Tóthné Lakatos Gyöngyi"	"Zalaegerszegi út 226.
H-2993 Hetvenberény"
"Kiss Adrienn Aranka"	"Kaposvári utca 238.
H-8887 Györgydevecser"
"Kis S. Zoltán"	"Apátii utca 70.
H-9101 Mártonvár"
"S. Varga Ilona"	"Kossuth utca 182.
H-2620 Újhalas"
"Gál Zsuzsanna Tünde"	"Dózsa györgy utca 219.
H-9021 Kunfürdőharaszti"
"Tóth Varga Márta"	"Székharasztii utca 227.
H-7275 Nyékhetvenvár"
"Vincze Alex"	"Oroszfürdői utca 114.
H-7554 Kunhídnémeti"
"Dr. Novák I. István"	"Szabadság utca 146.
H-3558 Békéscsaba"
"Kovácsné Dr. Gáspár Rózsa"	"Lajosmelléki utca 69.
H-2307 Rácszékvárad"
"Némethné Dr. Nagy Ildikó"	"Györgyváradi utca 43.
H-3741 Székesfehérvár"
"Fodorné Dr. Kovács Tünde"	"Arany jános utca 62.
H-3325 Nyírhetvenberény"
"Dr. S. Hegedűs László"	"Békéskereszti tér 200.
H-1864 Kecskemét"
"Dr. Lengyel Tamásné Jakab Krisztina"	"Dunaújvárosi utca 200.
H-5911 Sopron"
"Molnár András"	"Dózsa györgy utca 208.
H-8822 Nyíregyháza"
"Fülöp Katalin Krisztina"	"Szegedi út 235.
H-5061 Miskolc"
"Dr. Szabóné Szabó Anita"	"Szabadság utca 155.
H-9407 Nyíregyháza"
"Vincze Boglárka"	"Ózdi tér 61.
H-2596 Nyíregyháza"
"Oláhné Dr. Major Beáta"	"Tatabányai utca 6.
H-1417 Szerbszékvég"
"Dr. Farkas E. Erzsébet"	"Egeri utca 180.
H-9174 Vég"
"P. Hegedűs István"	"Nyékhídi út 158.
H-2235 Vácmindszentháza"
"Török Viktória Katalin"	"Petőfi út 126.
H-7406 Keresztvára"
"Juhász É. Nóra"	"Dunakereszti út 48.
H-4193 Dunakeresztháza"
"Pásztor Ágnes Julianna"	"Hetvenhidai utca 226.
H-7893 Somogytapolcavárad"
"Kissné Dr. Kiss Brigitta"	"Tapolcaharasztii utca 147.
H-6927 Salgótarján"
"Horváthné Dr. Nagy Alexandra"	"Lajosszéki utca 202.
H-2179 Kecskemét"
"A. Boros Judit"	"Mártonkőrösi utca 36.
H-9363 Tapolcahalas"
"Vincze Gábor"	"Fürdőberényi utca 94.
H-3138 Szeged"
"Szabó Zsuzsanna"	"Hetvennádasdi utca 7.
H-5689 Dunakeszi"
"Nagyné Németh Zsuzsanna"	"Váci utca 95.
H-9981 Salgótarján"
"Dr. Mészáros Nagy Éva"	"Petőfi utca 81.
H-5461 Tótapáti"
"Kovácsné Lukács Klára"	"Györgynádasdi tér 158.
H-6151 Mártonkövesd"
"Takács Z. György"	"Bajai utca 228.
H-4512 Győr"
"Dr. Fülöp Lakatos Ilona"	"Rácgyörgyi út 231.
H-7472 Szeged"
"Vargané Tóth Irén"	"József attila utca 91.
H-5145 Tapolcanémeti"
"Dr. Fekete Róbert"	"Mindszentvárosi utca 95.
H-1413 Kecskemét"
"Simon Fanni Mária"	"Hátkövesdi utca 132.
H-7572 Ligetvára"
"Vincze Martinné Magyar Nóra"	"Szentkereszti utca 165.
H-4915 Mezőszéknádasd"
"Hegedűs János István"	"Tapolcaházai út 139.
H-2679 Györgyháza"
"M. Molnár Lilla"	"József attila út 175.
H-7518 Hetvennádasd"
"E. Kiss Anikó"	"Érdi tér 64.
H-1748 Ózd"
"Dr. Rácz Mária"	"Szabadság utca 56.
H-3390 Felsőligetvár"
"Dr. A. Kocsis Julianna"	"Tamásihalasi utca 191.
H-6478 Székesfehérvár"
"Dr. Fehér Z. Márton"	"Mezőmelléki utca 45.
H-2353 Zalaegerszeg"
"Gáspár György"	"Tapolcaharasztii utca 174.
H-5922 Tatabánya"
"A. Horváth János"	"Nagykanizsai utca 99.
H-3135 Dunatapolcaváros"
"Somogyi Fülöp Nóra"	"Tamásifalvai utca 45.
H-9302 Salgótarján"
"Vincze Tóth Mária"	"Felsőmártoni utca 93.
H-3822 Tapolcabánya"
"Kiss Éva Renáta"	"Dózsa györgy tér 172.
H-2136 Zalaegerszeg"
"Papp Erika Ilona"	"Balatongyörgyi utca 204.
H-9091 Alsómindszentkövesd"
"Bognárné Dr. Fehér Erzsébet Laura"	"Hajdúháti utca 103.
H-4674 Váckőrös"
"Nagy Zsófia Julianna"	"Harasztii utca 126.
H-3049 Érd"
"Törökné Dr. Pataki Ágnes"	"Győri utca 17.
H-4114 Mártonharaszti"
"M. Kovács Attila"	"Pécsi utca 220.
H-8579 Tamásinádasd"
"Kiss Kornél"	"Kossuth út 200.
H-6512 Hetvenharaszti"
"Lakatos G. Ádám"	"Ózdi utca 101.
H-6156 Szigetszentmiklós"
"Dr. Tóth István"	"Béke utca 85.
H-2120 Nyíregyháza"
"Vincze Zsomborné Pintér Dóra"	"Keresztvégi utca 172.
H-4159 Haraszti"
"Dr. Molnár O. Kitti"	"Rácmártoni utca 66.
H-8215 Dunaújváros"
"Orbán J. Ilona"	"Székházai utca 246.
H-6647 Drávatamásinémeti"
"A. Kovács Mária"	"Petőfi utca 107.
H-1524 Nagykeresztfa"
"Nagy A. Gergely"	"Magyarmártoni utca 83.
H-2089 Magyarhetvenvár"
"Dr. Hajdu József József"	"Békéscsabai utca 153.
H-7891 Balatonhátberény"
"Fekete Szűcs Mária"	"Székhalasi út 7.
H-1643 Györgyfalu"
"Budai Orsolya Szilvia"	"Egeri utca 88.
H-2789 Mosonkőrös"
"Németh Péter Gábor"	"Berényi út 100.
H-9899 Debrecen"
"Tóth B. József"	"Szabadság utca 86.
H-4395 Alsómártonhida"
"Vincze Ábel Richárd"	"Petőfi sándor utca 226.
H-1486 Székvár"
"Juhászné Dr. Hegedűs Erika"	"Ady endre utca 229.
H-9498 Fürdőapáti"
"Kovács E. Ágnes"	"Ceglédi utca 83.
H-6303 Kecskemét"
"Mezei Árpád"	"Mosonmagyaróvári utca 36.
H-3341 Pécs"
"Németh Erzsébet Rozália"	"Ady endre tér 134.
H-8082 Szigetszentmiklós"
"Balázsné Kiss Szilvia Viktória"	"Ady endre utca 148.
H-4717 Háza"
"Dr. Kovács Norbertné"	"Székházai utca 95.
H-4914 Balatongyörgyfalva"
"Tóthné Dr. Tóth Julianna"	"Budapesti tér 55.
H-1520 Hajdúfürdővár"
"Szabó Norbertné Horváth Anita"	"Arany jános utca 159.
H-3148 Tótharaszti"
"Varga Margit Diána"	"Drávafürdői út 92.
H-1087 Mindszentharaszti"
"Vincze Ágnes"	"Békéscsabai utca 82.
H-2577 Dunaújváros"
"K. Bogdán Tímea"	"Mátrahetveni utca 244.
H-6922 Hetvenkövesd"
"Dr. Nagyné Balogh Ágnes"	"Töröktapolcai utca 201.
H-9850 Kiskeresztfalu"
"Faragó Kovács Dorina"	"Magyarfürdői út 48.
H-2721 Budafürdőfa"
"Dr. Tóth Szabó Éva"	"Szegedi utca 121.
H-5703 Mindszentvára"
"Dr. E. Mészáros Katalin"	"Váci utca 13.
H-1929 Pilismellékfa"
"Vargané Nagy Enikő"	"Mártonnémetii utca 68.
H-8608 Hódmezővásárhely"
"Dr. Farkas Zoltánné Kovács Adrienn"	"Hetvendevecseri utca 93.
H-9539 Felsőhetvenháza"
"Dr. Kiss Lajosné Szabó Beáta"	"Hódmezővásárhelyi utca 249.
H-4352 Ráchátharaszti"
"Szabó Biró Enikő"	"Soproni tér 111.
H-8997 Szerbfürdőfalu"
"Vinczené Dr. Hegedűs Éva"	"Keresztvárai utca 180.
H-3011 Békéscsaba"
"Nemes Mária Ilona"	"Ligetkövesdi utca 146.
H-5667 Békéscsaba"
"Dr. Bognár Károlyné"	"Várai utca 172.
H-8969 Nyékmindszentvára"
"Dr. Tóth Mészáros Zsolt"	"József attila utca 216.
H-2337 Fürdőharaszti"
"Dr. Kovács Árpád"	"Nagykanizsai utca 124.
H-9005 Hátvára"
"Juhász Zoltánné"	"Alsószéki utca 191.
H-1123 Szigetszentmiklós"
"Dr. Szűcs Mónika"	"Zalaegerszegi tér 219.
H-4494 Mártonberény"
"G. Varga Benjámin"	"Debreceni utca 102.
H-2005 Salgótarján"
"Lengyel F. Imre"	"Dunaújvárosi utca 112.
H-3641 Nyíregyháza"
"Dr. F. Kovács Patrik"	"Pécsi utca 117.
H-9750 Tapolcanádasd"
"Vinczené Dr. Molnár Éva"	"Ady endre utca 147.
H-6574 Tótkövesd"
"Baloghné Dr. Molnár Mária"	"Lajostamásii utca 212.
H-4194 Drávahátberény"
"Nagyné Juhász Erzsébet Mária"	"Béke utca 7.
H-7637 Ligetfalu"
"Balázs Antalné Mezei Katalin"	"Szigetszentmiklósi utca 163.
H-4000 Győr"
"Kisné Dr. Pásztor Margit Ágnes"	"Kunhetveni utca 66.
H-6749 Keresztvára"
"Papp Magyar György"	"Petőfi út 28.
H-4378 Mellékhalas"
"Dr. K. Kis Dávid"	"Tótváradi út 97.
H-1932 Ligetfa"
"Takács B. Bence"	"Dunaújvárosi utca 19.
H-9227 Hetvennémeti"
"Katona Sándor Sándor"	"Kossuth utca 59.
H-6439 Székbánya"
"Sipos Mária Erika"	"Pécsi tér 29.
H-3501 Ligetvára"
"Virág Attilané Katona Katalin"	"Soproni utca 173.
H-4280 Békésmindszentvár"
"Dr. Szőke T. József"	"Magyarháti utca 212.
H-2501 Szerbtapolcanémeti"
"Szücs István"	"Nyíregyházai utca 226.
H-9420 Hódmezővásárhely"
"Németh L. János"	"Petőfi utca 57.
H-9919 Tapolcafa"
"Nagy Z. Annamária"	"Mindszentkőrösi utca 209.
H-6121 Törökfürdőfalu"
"Szilágyi Balogh Katalin"	"Pusztatamásii utca 176.
H-9019 Zalaegerszeg"
"Kovács A. Sándor"	"Mátratóti utca 209.
H-9471 Nyékhetvenvára"
"Kiss Györgyné Váradi Éva"	"Szigetszentmiklósi tér 134.
H-9885 Mindszentvég"
"Dr. Papp I. Terézia"	"Hídkövesdi utca 113.
H-9275 Mosonhetvenvár"
"Dr. Varga Gáborné"	"Magyarfürdői utca 40.
H-7300 Hódmezővásárhely"
"Virág Ferencné Molnár Judit"	"Tapolcaváradi utca 84.
H-2956 Egyházasszéknémeti"
"Nagy Árpád Krisztofer"	"Mátramártoni utca 250.
H-4176 Mellékhida"
"Fehér A. Viktória"	"Tamásivárosi tér 63.
H-8167 Zalaegerszeg"
"Dr. L. Kovács László"	"József attila utca 186.
H-1836 Hátnádasd"
"Kiss Ferencné"	"Miskolci utca 30.
H-8682 Alsótapolcanémeti"
"Biró Klára Anna"	"Falui utca 181.
H-8684 Szolnok"
"Dr. Fehér János György"	"Békéscsabai utca 95.
H-3568 Nyírmártonbánya"
"Dr. A. Kovács Ibolya"	"Szigetszentmiklósi utca 74.
H-9194 Balatonkeresztvég"
"Máténé Szabó Judit Veronika"	"Székfalvai utca 104.
H-2635 Mindszentdevecser"
"Novák Csaba"	"Kismindszenti utca 153.
H-3702 Melléknádasd"
"Virág M. Éva"	"Szerbhídi utca 103.
H-1873 Alsótamásiváros"
"Dr. Kovács Takács Róbert"	"Törökháti utca 71.
H-2686 Mosonmagyaróvár"
"Baloghné Fekete Erzsébet Alexandra"	"Györgyfalui utca 203.
H-8635 Székvár"
"Dr. Rácz G. Róbert"	"Györgyhidai utca 224.
H-1474 Miskolc"
"Szilágyiné Takács Adrienn"	"Béke utca 16.
H-3324 Dunakeszi"
"Fazekas Németh Krisztina"	"Kaposvári utca 178.
H-5469 Felsőtóthalas"
"Dr. Juhászné Varga Kitti Mária"	"Mindszentvári utca 44.
H-8471 Vác"
"Dr. Kovácsné Biró Vivien"	"Hajdútóti utca 205.
H-6027 Tamásiberény"
"Tóthné Dudás Margit Rozália"	"Mosonmagyaróvári út 28.
H-6345 Eger"
"Dr. Vincze Jenő Zoltán"	"Petőfi utca 150.
H-3187 Hódmezővásárhely"
"Virág Mártonné Szalai Rozália"	"Ózdi út 97.
H-1580 Tapolcahalas"
"Dr. Fekete Zsoltné Hegedüs Zsófia"	"Ady endre utca 180.
H-2357 Békéshátháza"
"Szabó Miklósné"	"Béke utca 174.
H-6744 Nyíregyháza"
"Dr. Szilágyi Ferencné"	"Németii út 135.
H-1995 Tótfalva"
"Nagyné Boros Katalin"	"Budapesti utca 156.
H-3460 Tamásivárad"
"Dr. G. Gulyás Zoltán"	"Keresztkőrösi utca 138.
H-1768 Belsőhetvenfa"
"Dr. Horváth Klára"	"Váctapolcai utca 95.
H-9450 Hódmezővásárhely"
"Z. Váradi Levente"	"Pécsi utca 13.
H-7619 Dunaújváros"
"Dr. Kocsis N. Krisztina"	"Egyházaskereszti út 66.
H-4116 Tapolcafalu"
"Dr. T. Kovács Tamás"	"Nyékhetveni utca 151.
H-1037 Györgyvárad"
"Virág T. Katalin"	"Székesfehérvári körút 23.
H-7580 Salgótarján"
"Horváth Róbertné Farkas Gizella"	"Pécsi tér 8.
H-6051 Nagykanizsa"
"Varga Lukács Anikó"	"Szabadság út 125.
H-2632 Tamásidevecser"
"Barnané Orbán Ilona Ágnes"	"Debreceni utca 143.
H-6394 Sopron"
"Dr. Papp Miklósné"	"Dunamártoni utca 141.
H-6046 Miskolc"
"Fekete Katalin"	"Ligetkőrösi utca 189.
H-7708 Hídvár"
"Dr. Papp G. István"	"Dunaújvárosi utca 141.
H-8679 Hetvenkőrös"
"Dr. Tóth Máté"	"Szigetszentmiklósi utca 193.
H-8053 Kecskemét"
"Dr. Varga Fodor Éva"	"Ligethalasi utca 194.
H-4200 Ózd"
"Dr. Orbánné Balla Krisztina"	"Szegedi utca 85.
H-2804 Belsőmártonkövesd"
"Virágné Dr. Bálint Klára"	"Szombathelyi utca 109.
H-6566 Szerbgyörgynádasd"
"Szűcs Ferenc Dániel"	"Bajai utca 198.
H-5251 Lajoskeresztdevecser"
"Dr. Szűcs Árpádné"	"Ady endre utca 112.
H-8726 Tótbánya"
"Dr. Németh Mihályné"	"Nagyligeti utca 131.
H-2679 Békéshátnádasd"
"Prof. Dr. Szücs Sándorné"	"Hódmezővásárhelyi utca 22.
H-6732 Mosonmagyaróvár"
"Horváth Imrené"	"Ady endre út 135.
H-8253 Szigetszentmiklós"
"Horváth Lajosné"	"Ráctóti tér 160.
H-7690 Fürdőhida"
"Horváthné Dr. Gál Edina"	"Tótfalui út 36.
H-7630 Mellékvára"
"Dr. Szalainé Sipos Edina"	"József attila utca 52.
H-2109 Salgótarján"
"Takácsné Katona Andrea"	"Budapesti utca 206.
H-8870 Kunmelléknádasd"
"Virágné Dr. Molnár Laura"	"Ligethalasi utca 160.
H-1867 Kaposvár"
"Horváth László Gergely"	"Dózsa györgy út 119.
H-6386 Mellékvára"
"Dr. Papp A. János"	"Egyházastamásii tér 188.
H-8554 Cegléd"
"Prof. Dr. Molnár Dánielné Lakatos Melinda"	"Salgótarjáni tér 168.
H-8476 Mindszentfalu"
"Fábián István"	"Szolnoki utca 45.
H-8468 Ligetkőrös"
"Nagyné Dr. Szabó Éva"	"Borsodligeti utca 3.
H-1016 Tapolcafalva"
"Dr. Borbély Mária"	"Kossuth utca 245.
H-2898 Mindszentkőrös"
"Dr. Németh Máté"	"Újmártoni út 237.
H-1828 Hátfa"
"Horváthné Juhász Viktória"	"Hátfalui út 123.
H-8515 Györgyhalas"
"Orsósné Dr. Biró Erzsébet"	"Budaháti tér 19.
H-5923 Keresztnádasd"
"Váradi J. József"	"Bajai utca 213.
H-2021 Magyartótfalva"
"Somogyi János Csaba"	"Ady endre utca 175.
H-7433 Ózd"
"Szabóné Dr. Orsós Ágnes"	"Ceglédi utca 124.
H-6126 Kőrös"
"Lukács Andrea"	"Keresztberényi utca 35.
H-7619 Somogyligetkövesd"
"Kis J. Milán"	"Szombathelyi utca 12.
H-4352 Székhida"
"Orbán J. Ferenc"	"Hídfalvai utca 68.
H-2293 Mosonmártonfalu"
"Dr. Kiss Papp Péter"	"Székesfehérvári utca 169.
H-1369 Györgyfalu"
"Dr. Tóthné Budai Mariann"	"Székharasztii utca 170.
H-8523 Szenthátváros"
"Prof. Dr. E. Antal Ágnes"	"Nagyligeti utca 68.
H-7568 Kistapolcavár"
"Kelemen Melinda"	"Béke utca 179.
H-8468 Pilisszékberény"
"Váradi Margit Hajnalka"	"Petőfi utca 192.
H-4332 Mártonnémeti"
"Fülöp V. Piroska"	"Petőfi sándor utca 63.
H-5909 Tótháza"
"Dr. Fülöp Jánosné"	"Ligetnémetii utca 235.
H-7327 Mártonváros"
"Dr. Tóth M. Mária"	"Arany jános utca 234.
H-1030 Hátvára"
"Dr. Horváth Valéria Dóra"	"Tapolcanémetii utca 144.
H-5820 Balatonmindszentvárad"
"K. Vörös Erzsébet"	"Keresztfalvai utca 60.
H-8009 Hetvenvár"
"Bakos J. Nándor"	"Mindszentharasztii utca 4.
H-7935 Székvár"
"Dr. Somogyiné Papp Ilona Diána"	"Szerbtóti út 207.
H-4766 Zalaegerszeg"
"Nagy Mária"	"Szabadság utca 172.
H-4652 Mindszentberény"
"Kozma Gáborné Kovács Mária"	"Mártonvárai utca 45.
H-5255 Lajoshátkövesd"
"Váradi Mária"	"József attila utca 30.
H-6891 Vác"
"Magyar László Dénes"	"Zalaegerszegi utca 45.
H-7378 Ligetfalu"
"Gulyás K. Noémi"	"Nyíregyházai utca 124.
H-5804 Rácligetberény"
"Magyar Zoltán"	"Ady endre utca 60.
H-8564 Mindszentvég"
"I. Nagy Ilona"	"Petőfi utca 41.
H-5549 Keresztfalu"
"Dr. I. Mészáros Bence"	"Pusztaháti utca 170.
H-1748 Balatonmellékdevecser"
"Z. Németh Dávid"	"Érdi tér 72.
H-9956 Lajostamásifalva"
"Dr. Novák B. Erik"	"Nyíregyházai utca 248.
H-4421 Tamásivár"
"Dr. K. Somogyi Bettina"	"Békésmelléki utca 75.
H-6465 Dunaújváros"
"Dr. Tóth E. Boglárka"	"József attila utca 182.
H-8136 Mártonvára"
"Váradiné Dr. Takács Judit"	"Békéstamásii utca 71.
H-4493 Hídváros"
"Papp Tamásné Gál Irén"	"Petőfi utca 100.
H-6405 Baja"
"Dr. Bodnárné Kovács Katalin"	"Melléknádasdi utca 14.
H-2203 Sopron"
"Dr. Molnár T. János"	"Egyházasfürdői utca 132.
H-2567 Miskolc"
"Magyarné Kiss Andrea Katalin"	"Györgyvégi tér 61.
H-3487 Hajdúkereszthida"
"Szabóné Dr. Pataki Katalin Erika"	"Kaposvári utca 79.
H-8991 Mindszentvárad"
"B. Nagy Márton"	"Székkövesdi utca 215.
H-5244 Hetvenhida"
"Dr. Tóth Márta Eszter"	"Tatabányai út 130.
H-8330 Székvár"
"Varga Hegedüs Sándor"	"Kecskeméti utca 164.
H-7640 Tatabánya"
