"Adrian Ahmed","Mikkelsengjerdet 6, 6404 Tobiashamn" 
"Egil Moe","Karlsenskrenten 3E, 5779 Hansvåg"
"Terje Abrahamsen-Aune","Martinsenlyngen 05A, 8097 Torvik"
"Jørgen Tveit","Evensenmoen 1, 9889 Nilseid"
"Inger Rasmussen-Rasmussen","Knudsenlunden 6, 2519 Siljeborg"
"Elin Henriksen","Nygårdengen 8, 9495 Magnusberg"
"Torill Henriksen","Aasenrøa 79C, 5205 Isaksen"
"Roar-Eirik Nilsen","Eidelyngen 60, 5019 Larsen"
"Dag Haug","Gundersengropa 04, 1182 Camillanes"
"Egil Pedersen","Abrahamsenstykket 166, 2119 Hanneberg"
"Gunn Moe","Abrahamsenhaugen 8, 6224 Kårevåg"
"Synnøve Ødegård","Liemyra 61, 0945 Rogerås"
"Gunn Johnsen","Ødegårdberget 8, 0978 Adriansand"
"Steinar Simonsen-Strand","Haugengropa 059, 5849 Ivarberg"
"Mette Johansen-Ellingsen","Hansenkollen 8C, 5112 Ahmed"
"Marianne Nygård","Auneflata 818, 7905 Janøy"
"Torill Nilsen-Andersen","Iversenstien 8, 3547 Ødegård"
"Espen Rasmussen","Næssfaret 9A, 7986 Synnøvehelle"
"Janne-Irene Svendsen","Aasroa 5, 0176 Knutsen"
"Tore-Frank Edvardsen","Moemarka 7A, 9059 Karløy"
"Harald Lunde-Johannessen","Christensenekra 1, 1701 Gerdberg"
"Elin Olsen-Mikkelsen","Kristensentunet 2, 6152 Maritnes"
"Lise-Maren Berntsen","Bergesvingen 9, 3635 Arnesen"
"Frode Amundsen","Nguyenhavna 8, 3498 Jensen"
"Tone-Kirsten Moe","Johansenløkka 64D, 6459 Ragnhildsand"
"Dag Thomassen","Dahlløkka 6, 6839 Eide"
"Torill Nygård","Alitjernet 6, 5356 Monafjord"
"Morten Haug","Thomassengrenda 71, 2968 Martinvær"
"Eli Kristiansen","Pedersenengen 5, 0530 Alfhamn"
"Marius-Sebastian Kristoffersen","Myklebustlia 2, 8719 Pettersen"
"Roger Mikkelsen","Dahlskogen 20, 5287 Solberg"
"Cathrine-Ellen Nilsen","Halvorsentunet 5, 6031 Kristoffersund"
"Kristian-Thomas Ruud","Jakobsenalléen 9, 6842 Tommark"
"Mona Johannessen","Rønninglyngen 877, 1874 Ellenberg"
"Karin Berge","Gundersengrenda 5, 5671 Thomasfoss"
"Jørgen-Sigurd Jakobsen","Ahmedstykket 33, 2703 Berg"
"Tove Arnesen","Solheimspranget 01, 4863 Steinsand"
"Geir Edvardsen","Danielsenstubben 684, 7810 Joakimgrunn"
"Synnøve Martinsen","Rønningflata 789, 4977 Bøe"
"Trine Jenssen","Karlsenhøgda 2, 4896 Larsen"
"Cecilie Gundersen","Hellandhavna 7, 7743 Steinstrand"
"Trine Isaksen","Abrahamsenlunden 02C, 0401 Wencheås"
"Eirik Solberg","Solbergmoen 8A, 5903 Emilmark"
"Helene Lund","Mikkelsenberget 8, 1251 Theafjord"
"Christian Berg","Olsenrøa 54, 6160 Ødegård"
"Per Lien-Dahl","Holmvika 8, 9986 Martinsen"
"Tove Bakke","Thomassenskogen 3, 9173 Markusvik"
"Thea-Sara Tangen","Lievollen 7, 7870 Lie"
"Kristoffer Karlsen","Abrahamsenstykket 73, 9013 Strand"
"Prof. Hans Johansen","Sandviklia 77, 4668 Pettersen"
"Else Moen","Ruudekra 93, 8813 Knutsen"
"Adrian Aas","Nygårdberget 355, 5042 Stinestrøm"
"Jørgen Eriksen","Aasentunet 3A, 9995 Dahl"
"Tove Karlsen","Kristiansenbakken 25F, 9153 Hauge"
"Ida Knudsen","Solheimlia 2, 8062 Tangen"
"Eva Næss","Mathisenlyngen 47, 8798 Brekke"
"Tove Thomassen","Knudsenholtet 44B, 8433 Dagstrand"
"Berit Eliassen","Aasholtet 67, 4534 Sivertsen"
"Sissel Bøe","Iversenskrenten 03, 4728 Espenberg"
"Henrik Jacobsen","Madsentjernet 65A, 8360 Mariafjell"
"Berit Arnesen","Fredriksenstykket 8A, 1599 Jennyhelle"
"Ingeborg Andresen","Bakkealléen 57, 0914 Bentevåg"
"Roy Næss","Ahmedroa 42, 3449 Paulsen"
"Roar Gundersen","Liealléen 9, 2414 Mathiassjøen"
"Arild Aas","Pedersenplassen 16A, 7383 Linnbø"
"Stian Sørensen","Sæthertoppen 85, 6227 Øyvindbø"
"Tove Thomassen","Madsenhaugen 8F, 4218 Asbjørnås"
"Sebastian Knutsen","Hauglandskrenten 03, 5972 Finnsand"
"Roy Solberg","Ruudgata 8, 0111 Åseodden"
"Christian Brekke","Kristoffersensvingen 19, 6942 Unnifoss"
"Unni Hagen-Rasmussen","Bergevika 765, 8071 Sæther"
"Britt Sørensen","Moeberget 2, 0957 Larsen"
"Karen Martinsen","Henriksenmyra 31, 9081 Anitasjøen"
"Kjetil-Jens Kristiansen","Andersenskogen 6, 9221 Sigurdfoss"
"Rolf-Alexander Hanssen","Solheimgjerdet 150, 4337 Næss"
"Thea Ali","Strømhøgda 7, 0250 Ødegård"
"Tove-Else Knutsen","Sandvikstubben 8, 9888 Rønning"
"Line Rasmussen","Hellandflata 8, 6623 Jensen"
"Dr. Rolf Holm","Nilsenekra 8, 8099 Unniodden"
"Hanne Jenssen","Halvorsenfaret 015, 9593 Sæther"
"Reidun Moe","Pettersenstien 22, 1462 Haugen"
"Petter-Christian Nygård","Moegropa 661, 3685 Sørensen"
"Stian Nilsen","Bakkeringen 510, 9893 Isaksen"
"Johan Moen","Ødegårdrøa 4E, 1357 Adriansund"
"Lise Eide","Knutsenmoen 48, 0251 Martinsen"
"Prof. Torbjørn Rønning","Rasmussenlunden 806, 9015 Martinvik"
"Tove-Ida Haugland","Gulbrandsenstubben 62, 3740 Karlvik"
"Britt Jensen","Moekroken 18, 1776 Haraldberg"
"Ida Karlsen","Kristiansenvika 1F, 9354 Solveigstrøm"
"Emma Vik","Haugehavna 3, 4589 Eide"
"Julie Johannessen","Birkelandmarka 4C, 5163 Myklebust"
"Tonje Andreassen","Sandvikkollen 2C, 1868 Thorfjell"
"Øystein Arnesen","Aunerøa 6E, 6511 Vildeås"
"Magnus Olsen","Hansensvingen 3C, 3280 Antonsen"
"Petter Næss","Myhreåsen 870, 9641 Pervær"
"Lars Larsen","Vikløkka 9A, 9216 Randifjord"
"Tove-May Knudsen","Jenssenfaret 3, 6966 Anetteborg"
"Andreas-Kjetil Bakken","Danielsenlyngen 6, 7243 Nilsstrøm"
"Kari Jensen","Alisvingen 1, 1143 Stigby"
"Unni Karlsen","Solbergtjernet 4, 2319 Emiliestrøm"
"Torill Sandvik","Gulbrandsenekra 9B, 4842 Martinedal"
"Linn Kristensen","Kristensenskogen 57, 6099 Næss"
"Morten Henriksen","Hanssenmarka 68, 9413 Gunnby"
"Anette Amundsen-Isaksen","Myklebustgata 9, 5892 Aune"
"Anne Thorsen-Tangen","Hellandstykket 150, 6254 Rønning"
"Emil Moe","Næssplassen 6, 2510 Paulsen"
"Trine Danielsen","Hanssenkroken 47, 5480 Kristensen"
"Alexander Ellingsen","Karlsenholtet 4B, 2174 Jongrunn"
"Odd Rønning-Svendsen","Andreassenhagen 03B, 2544 Rolfsund"
"Synnøve Kristensen","Strandgrenda 55A, 7792 Hagen"
"Kristoffer Christensen","Andresenberget 5, 7148 Malinstrand"
"Sara Haugen","Nilsenhøgda 92C, 7883 Thomassen"
"Mona-Andrea Holm","Bakkenhagen 59A, 1357 Gundersen"
"Frank Lien","Eidespranget 3, 4098 Tommyfjell"
"Bjørg Henriksen-Kristensen","Moeekra 711, 7409 Halvorsen"
"Dr. Ivar Haugen","Danielsenekra 7, 4307 Bjørnby"
"Trine Danielsen-Andresen","Thorsenplassen 4, 6105 Johnsen"
"Jens-Magne Nygård","Hauglandskogen 623, 8766 Sanderøy"
"Prof. Egil Myhre","Hanssenhavna 2C, 3643 Stinehelle"
"Elise Lien","Evensenholtet 42A, 4610 Helgeøy"
"Roy Berge","Jensenstranda 06, 5092 Helgeodden"
"Kirsten Vik","Ahmedlunden 2, 8952 Pettersand"
"Stian Birkeland","Isaksenplassen 1F, 8499 Rasmussen"
"Johannes Bakke","Tangentunet 2B, 0596 Vegardeid"
"Nils Hanssen","Gundersenjordet 13, 7135 Edvardsen"
"Thor-Johannes Myklebust","Haugealléen 58C, 6138 Kårefoss"
"Trine Eliassen","Moenberget 27A, 9716 Kristianmark"
"Elisabeth Ali","Moehavna 8, 1644 Adrianås"
"Kristian Johannessen-Bøe","Brekkeholtet 8, 7362 Eliassen"
"Unni Tveit-Bakken","Aasenvollen 2, 5657 Sarasund"
"Alexander-Rolf Nilsen","Hansenmyra 76B, 2390 Reidunstad"
"Torill Tangen","Svendsenstranda 6C, 0280 Svendsen"
"Gunnar Lien","Hanssenflata 74, 7600 Elseås"
"Sondre Moen","Svendsenlyngen 44, 3317 Jørgensen"
"Trond Gundersen","Bøeflata 47B, 2701 Erlingstrøm"
"Maren Ellingsen","Hansenjordet 6, 2353 Wenchedal"
"Trine Haugen-Gulbrandsen","Strandmoen 7, 8618 Roberthelle"
"Helge Iversen","Strømstien 2, 7698 Næss"
"Elin Rønning","Jenssentunet 92, 0765 Henriksund"
"Magnus Karlsen","Gundersenberget 68, 3980 Jørgenstad"
"Marius Olsen","Johnsengjerdet 12, 7398 Eriksen"
"Ingrid Brekke","Ødegårdstykket 3H, 0681 Sørensen"
"Simen Thorsen","Nielsenkroken 02F, 4590 Marithamn"
"Lars Thorsen","Jacobsengata 1B, 2259 Bjørgdal"
"Nora Ali","Ødegårdgjerdet 7, 6985 Haugland"
"Magne Hansen","Kristensenalléen 5B, 3217 Myhre"
"Trine Jørgensen","Ødegårdmoen 8, 2242 Vik"
"Gunnar Hanssen","Thomassenroa 81C, 3894 Pålø"
"Stine Moen-Lien","Ellingsenlunden 6, 2008 Brekke"
"Emilie Moen","Rasmussengjerdet 7, 6965 Larsen"
"Else-Grete Johansen","Antonsenkollen 1G, 6244 Knudsen"
"Liv-Siri Jørgensen","Brekkeekra 4A, 0037 Sverrenes"
"Emma Kristiansen","Strømlia 16E, 2329 Trondstad"
"Heidi Karlsen","Bøeroa 6B, 5137 Daghavn"
"Roy Jørgensen","Bøekroken 20, 1679 Engen"
"Prof. Tore Nygård","Andresenflata 3A, 1812 Eliassen"
"Trine Karlsen","Myhrekroken 6G, 4538 Henriksen"
"Inger Knudsen","Lienbråten 04E, 6072 Gulbrandsen"
"Sverre Knutsen","Sørensengrenda 586, 8958 Jakobsen"
"Prof. Hans Lien","Edvardsenåsen 78, 8308 Håvardeid"
"Eva-Inger Næss","Mikkelsenvollen 2H, 3043 Ellingsen"
"Jens-Eivind Aasen","Nygårdhagen 4B, 6401 Birkeland"
"Stine Gundersen","Kristensenbakken 04, 9852 Lund"
"Roy Haugland-Moen","Ruudtunet 6, 8634 Rønning"
"Svein-Trond Nilsen","Haugengrenda 3, 0869 Lunde"
"Grethe-Torill Andresen","Isaksengata 5A, 8822 Marisjøen"
"Trine Kristoffersen","Jørgensenhagen 56E, 8011 Randistrøm"
"Thor Nygård-Johansen","Knutsengrenda 1, 2959 Engen"
"Arne Danielsen","Hellandgrenda 50, 8473 Mathisen"
"Kjersti-Trine Sivertsen","Hellandrøa 57, 4710 Linemark"
"Grete Svendsen","Kristiansenringen 41C, 7401 Evadal"
"Linda Larsen","Johnsenfaret 3, 8017 Lailastad"
"Karl Hagen","Paulsengjerdet 4, 3516 Paulsen"
"Eva-Torill Halvorsen","Haugenmarka 3, 7996 Sandvik"
"Sofie Ellingsen","Evensenroa 1, 8421 Oddøy"
"Sigurd Amundsen","Lundeberget 9, 9272 Arnesen"
"Trine Sæther","Nielsengjerdet 11, 2432 Abrahamsen"
"Hege Myklebust","Henriksenlunden 1, 5556 Sørensen"
"Anette-Cecilie Aas","Holmplassen 88, 7108 Halvorsen"
"Cathrine Eide","Rønningplassen 4, 0900 Emilieås"
"Karin Dahl","Simonsenbråten 6C, 0078 Aune"
"Martine Moe","Solheimlyngen 07, 4027 Halvorsen"
"Lise Solheim","Thomassenstranda 47, 1396 Hildeø"
"Sigrid Engen","Paulsenhøgda 1B, 9893 Jensen"
"Mari-Marie Mikkelsen","Nygårdmyra 3F, 8789 Øysteinfjord"
"Sverre Myhre-Nguyen","Aasplassen 19, 1490 Andersgrunn"
"Trine Vik","Bakkebakken 315, 4369 Monicavåg"
"Marte-Thea Berge","Rasmussenløkka 9G, 6886 Alfsjøen"
"Kristine-Cecilie Antonsen","Hauglandrøa 136, 3279 Karenby"
"Adrian-Jan Brekke","Danielsenflata 3, 5565 Sveinodden"
"Irene Berg","Bøekroken 2, 9685 Nilsen"
"Øystein Lien","Holmmoen 6, 2101 Solveigmark"
"Ellen-Sara Ødegård","Aunekroken 723, 6173 Ivarberg"
"Gunn Ødegård","Eidemoen 5, 8639 Theamark"
"Håvard Thorsen","Thorsenhaugen 432, 2687 Ødegård"
"Jan Tveit","Isaksenjordet 4, 7262 Oddstrøm"
"Trine-Bente Paulsen","Johannessenberget 9F, 6576 Berge"
"Tommy Evensen-Mikkelsen","Eideberget 1A, 1829 Hannafoss"
"Gerd-Else Pettersen","Moesvingen 121, 5659 Sindrestrand"
"Stine-Gro Lunde","Madsengata 77F, 2259 Strand"
"Ann-Maren Gulbrandsen","Antonsentunet 8, 6709 Lisesund"
"Vidar-Frode Aasen","Thorsenkollen 45, 8671 Kristiansen"
"John Hauge","Rasmussentunet 5B, 9792 Thomasgrunn"
"Thor Bøe","Holmsvingen 263, 5091 Strand"
"Gunn Berge","Eideekra 2, 6113 Haug"
"Alf-Tom Helland","Kristoffersenringen 8, 3638 Fredriksen"
"Trine-Martine Sivertsen","Martinsenbråten 3F, 5249 Hegefjell"
"Else-Reidun Jenssen","Iversenstranda 399, 0169 Steinfoss"
"Jonas Solheim-Nielsen","Rasmussenmarka 52, 5409 Hauge"
"Sara Hauge","Paulsenhavna 62, 8632 Runesund"
"Finn Antonsen-Sørensen","Kristiansenflata 99, 9419 Evavær"
"Adrian Strøm","Pettersenstykket 90E, 9883 Petterborg"
"Nina Edvardsen","Thomassenspranget 99, 5295 Alexanderodden"
"Else Holm","Myklebustmarka 45C, 6834 Sofieøy"
"Torill Lunde","Hauglandplassen 5, 6276 Alexanderhavn"
"Jens Berntsen","Berntsenmoen 24, 7455 Haugland"
"Trond Abrahamsen","Lieneggen 113, 5464 Jacobsen"
"Jorunn Kristensen","Gundersenlunden 9, 5326 Isaksen"
"Roar Tangen","Aasenspranget 1, 3850 Bakken"
"Emilie Jensen","Lienvollen 45C, 6309 Steineid"
"Anders-John Bakke","Rasmussenringen 8, 8316 Hildehavn"
"Emilie-Marie Berge","Henriksenvika 3C, 1645 Thorsen"
"Bente Myhre","Nguyenberget 776, 8358 Magnusmark"
"Adrian Nygård","Alibråten 8, 0837 Holm"
"Nina Abrahamsen","Andresenplassen 6B, 7958 Karlsen"
"Eva Moen-Andreassen","Halvorsentoppen 2, 2689 Sæther"
"Trond Arnesen","Svendsenplassen 8C, 9120 Wenchestrøm"
"Ola Strøm","Brekkemarka 478, 0983 Karlhamn"
"Siri Brekke","Sivertsenjordet 40, 8718 Myklebust"
"Adrian Andresen","Abrahamsenkollen 08C, 5483 Ivarmark"
"Jon Iversen","Olsentoppen 51A, 5401 Mettevik"
"Daniel Christensen-Birkeland","Svendsenlia 30, 6464 Sæther"
"Daniel Tangen","Nielsenlia 46, 0209 Oddgrunn"
"Kjetil Simonsen","Aaslyngen 8C, 9416 Heleneø"
"Gro Hauge","Thomassenberget 24, 5569 Ødegård"
"Olav Christensen-Halvorsen","Eideeggen 22, 6799 Gundersen"
"Trond Bakke","Nilsenstranda 1, 1984 Jonasvåg"
"Kirsten Kristoffersen-Evensen","Birkelandtjernet 5, 6111 Vik"
"Daniel Jacobsen-Moe","Sørensenalléen 14, 4215 Rønning"
"Håkon Lien","Karlseneggen 1B, 3700 Ruud"
"Hilde Johansen","Ahmedsvingen 9C, 9814 Andersen"
"Ellen Kristoffersen","Johannessentjernet 11, 9223 Stinehelle"
"Stig Engen-Gulbrandsen","Madsenflata 2, 9685 Birkeland"
"Ole Ahmed","Engenlyngen 57B, 0348 Simonsen"
"Hanna Gundersen","Jørgensenalléen 3, 8196 Liseø"
"Marius-Adrian Haug","Simonsenekra 3C, 6347 Kristiansen"
"Trond Christensen","Lundestykket 1, 5913 Jakobsen"
"Andreas Danielsen","Nguyenberget 4, 2366 Jennydal"
"Tom-Marius Sivertsen","Pedersenrøa 5, 8403 Jenssen"
"Eli Myklebust","Lundegata 7, 5946 Larsen"
"Helge Abrahamsen-Ødegård","Myklebustengen 93B, 2496 Lien"
"Jon-Hans Nilsen","Tangenstykket 09, 8963 Gundersen"
"Mona Tangen","Nilsenstranda 1, 6435 Pålhamn"
"Frode Thomassen","Rønningtjernet 54C, 9525 Jonvik"
"Heidi Aune","Abrahamsenhavna 5, 3813 Pedersen"
"Jørgen Larsen","Eliassengata 30E, 3855 Torehelle"
"Trond Danielsen","Bakkenkroken 18E, 3264 Sarasand"
"Unni Paulsen","Edvardsenhavna 018, 7385 Mariaeid"
"Prof. Asbjørn Aas","Bakkenåsen 158, 6795 Mathiasfjord"
"Magnus Edvardsen","Bøehaugen 6, 8909 Steinarstrand"
"Eli Amundsen","Kristiansenengen 945, 3025 Saranes"
"Vidar-Thor Arnesen","Christensenbråten 5, 8309 Isaksen"
"Ruth Aune","Eidemoen 4, 9232 Marenfjell"
"Dr. Jan Johannessen","Amundsenholtet 5F, 5219 Sirisjøen"
"Anne-Ruth Eriksen","Pettersenskogen 253, 8133 Ødegård"
"Asbjørn Kristiansen","Bøejordet 6, 6127 Astridfjord"
"Trond Edvardsen","Mathisenbråten 1, 4391 Sandvik"
"Monica Nilsen","Bakkenberget 417, 0053 Gretestrand"
"Hanna Nilsen","Sandviktoppen 811, 0277 Håvardgrunn"
"Lars Hagen","Holmstien 958, 6976 Solveigeid"
"Liv-Maria Hanssen","Myhrespranget 3, 8165 Henrikeid"
"Steinar Isaksen","Knutsenlia 583, 3820 Berg"
"Sigurd-Eirik Christensen","Mathisenholtet 673, 4875 Johnsen"
"John-Jan Karlsen","Jensenstykket 71F, 2066 Maritstrand"
"Roy Danielsen","Olsenstykket 09, 0713 Svendsen"
"Kari Antonsen","Hauglyngen 60, 8971 Elsesund"
"Trond Edvardsen","Nilsenkollen 8, 1813 Karihavn"
"Adrian Hanssen","Johannessenskogen 4H, 6960 Mariavær"
"Marte-Tone Kristiansen","Birkelandstubben 88C, 9871 Lien"
"Helene Jakobsen","Strømringen 48, 1347 Lie"
"Nora Hagen","Engenvollen 14, 9207 Svendsen"
"Dr. Frode Hanssen","Simonsenhøgda 1, 9828 Stianvik"
"Elise Strand","Sivertsentoppen 54, 2609 Jakobsen"
"Jonas Moe","Myklebustholtet 2, 4057 Jonstad"
"Linn Thomassen-Aas","Mathisengata 02A, 8498 Simonsen"
"Marius-Roar Gulbrandsen","Eidealléen 9A, 2005 Haugen"
"Trond Eriksen","Bergegrenda 4B, 3136 Isaksen"
"Jan Knudsen-Berg","Strømlia 3, 9585 Camillavær"
"Tone Hanssen","Halvorsenkollen 81, 0213 Elibø"
"Johannes-Kåre Nguyen","Ruudtjernet 36H, 4394 Torfjord"
"Julie Ødegård","Knutsenmarka 1D, 9734 Karinbø"
"Asbjørn Thomassen","Liekroken 87, 7682 Tommyfoss"
"Thomas Sandvik","Halvorsenholtet 3F, 4969 Wenchevåg"
"Sissel Simonsen","Sætherhøgda 3, 6536 Hanssen"
"Torill Svendsen-Berge","Hagenengen 7, 4622 Torø"
"Siri Jørgensen-Antonsen","Christensensvingen 43A, 9305 Karivåg"
"Trond Fredriksen","Birkelandtunet 33A, 6934 Andresen"
"Per Birkeland-Nygård","Knutsenhagen 97A, 3758 Elinøy"
"Johannes Jakobsen","Solbergmyra 6, 1617 Thorfjord"
"Sigurd Nielsen","Edvardsenskrenten 6, 9484 Frankø"
"Johan Haug","Bakkenfaret 6C, 7578 Kristoffersen"
"Simen Berntsen","Johnsenekra 9A, 1652 Berge"
"Kjell Nguyen","Amundsenskrenten 42, 9066 Oddmark"
"Tom Solheim","Thorsenvika 74, 2040 Janfoss"
"Sander Bøe","Sivertsenjordet 60, 2444 Pettersen"
"Petter Hauge","Tveitkroken 8A, 4736 Ruthsjøen"
"Trond Fredriksen","Hauglandstranda 54F, 7813 Grethestrøm"
"Johannes-Tobias Rønning","Rønningskrenten 5, 1227 Wencheås"
"Anita Helland","Jakobsenflata 51F, 6339 Myhre"
"Nina-Anita Karlsen","Sørensenspranget 1, 9991 Sandvik"
"Julie Dahl","Strømgrenda 94, 8583 Kjellsand"
"Elin Halvorsen","Gundersenspranget 9, 1336 Torbjørnø"
"Olav Tangen","Fredrikseneggen 17, 7675 Tomstrøm"
"Lene-Randi Eriksen","Nygårdholtet 06, 6022 Idahelle"
"Emil Haugen","Solheimspranget 56A, 9067 Johannessen"
"Sofie Martinsen","Bakkenvika 8, 9801 Henriksen"
"Trond Gundersen","Ahmedberget 04, 9037 Jorunnstrøm"
"Stig-Øystein Knudsen","Jacobsenhøgda 2, 6883 Karihamn"
"Hanne-Jorunn Lund","Tveitstranda 797, 9697 Sondrefoss"
"Kjetil Aasen","Strandlia 2B, 2473 Eivindborg"
"Nora-Karen Isaksen","Tveithagen 652, 3564 Hagen"
"Grethe Myhre","Lientoppen 4F, 8907 Magnuseid"
"Grete-Liv Strøm","Olsenstykket 081, 4004 Lund"
"Magnus-Frode Solberg","Ahmedhagen 63B, 1193 Lie"
"Finn Knutsen","Rasmussenstykket 86, 7724 Gromark"
"John Strøm","Johansenbråten 2, 9987 Idasand"
"Trond Gundersen","Ellingsenbråten 15, 1431 Strand"
"Johannes-Ivar Bakke","Bøerøa 5, 5784 Berge"
"Kjell Aune","Amundsenberget 1, 8127 Myhre"
"Julie-Linda Aune","Jørgensengjerdet 51, 6132 Karolinesund"
"Wenche Jørgensen","Knutsentoppen 3, 6076 Marenø"
"Linn-Kristin Knudsen","Bergbråten 4C, 4401 Haugen"
"Sissel Kristoffersen","Svendsenhagen 24, 9982 Torevær"
"Lise Olsen","Kristoffersengrenda 51, 8216 Bøe"
"Alf Johannessen","Engenekra 97, 0272 Gunnarfjell"
"Gunn Andersen","Rønningbråten 1, 4711 Rasmussen"
"Trond Haugen","Martinsensvingen 8, 3617 Tangen"
"Ellen Engen-Martinsen","Kristoffersentjernet 6, 8094 Evensen"
"Ragnhild-Helene Tveit","Kristoffersenspranget 7, 8109 Lie"
"Gunn-Janne Eliassen","Alikollen 9, 0036 Kristinsjøen"
"Vilde Olsen","Ødegårdkroken 24A, 4525 Lindabø"
"Ragnhild Nygård","Engengrenda 7, 5683 Pettervær"
"Andreas-John Tangen","Birkelandengen 5, 9470 Rønning"
"Morten Sandvik","Johannessengrenda 3A, 8356 Nilsen"
"Grethe Thomassen","Holmtoppen 2A, 7631 Camillanes"
"Espen Helland","Isaksenstubben 711, 5625 Berntsen"
"Trond Henriksen","Madsenlia 9, 3088 Ødegård"
"Gunnar Birkeland","Arnesenbråten 5, 9771 Mathiassund"
"Marit-Marianne Ellingsen","Hanssenholtet 2C, 0189 Madsen"
"Kristian Andreassen","Johansengrenda 37, 8800 Iversen"
"Kristian Solheim","Solheimrøa 9, 5101 Tveit"
"Ellen-Hege Ruud","Sæthermoen 7A, 5439 Johangrunn"
"Kristine Vik","Madsenstubben 5, 4813 Bentesand"
"Kristian Sivertsen","Paulsenplassen 486, 1581 Andersen"
"Geir-Eirik Hansen","Pettersenvika 6, 8498 Iversen"
"Malin Hauge","Strandholtet 050, 7296 Nygård"
"Trond Knudsen","Thorsenbråten 04, 7279 Madsen"
"Frode Olsen-Næss","Bakkenskrenten 56C, 9219 Martinsen"
"Kim Ellingsen","Lienhaugen 14, 0489 Rolfsjøen"
"Mari Bakken","Sandviksvingen 1, 5448 Danielsen"
"Leif Simonsen","Hansenlia 7D, 4579 Iversen"
"Trine Tveit","Sørensenstranda 2, 0754 Kristinvik"
"Cathrine Lie","Aasenløkka 2, 8859 Abrahamsen"
"Dag Eide","Gundersenalléen 82, 9053 Torillstrøm"
"Sigrid-Line Eide","Ruudhaugen 95, 0744 Haugen"
"Helge Olsen-Thomassen","Mikkelsenholtet 7G, 0205 Rolfvik"
"Trond Madsen","Birkelandplassen 36, 2910 Madsen"
"Laila Amundsen","Bøeengen 5, 9839 Stinehelle"
"Gro Thorsen","Andersenåsen 9, 1851 Maritbø"
"Sigrid Sørensen","Abrahamsengata 916, 7175 Ragnhildstrøm"
"Stian Danielsen","Eidesvingen 2F, 7471 Vildefjord"
"Jens Eriksen","Pettersentjernet 45, 3529 Halvorsen"
"Prof. Kjell Jacobsen","Auneeggen 575, 1789 Stianberg"
"Ingeborg Johannessen","Karlsenkroken 7, 2900 Larshelle"
"Marius Solheim","Bakkenmoen 1, 0187 Solheim"
"Eva Arnesen","Hansengrenda 73, 8048 Juliesjøen"
"Trond Myklebust","Fredriksenringen 3, 0811 Nygård"
"Mona Eide","Lundengen 93, 3399 Kristinestrøm"
"Laila Ruud","Amundsenhavna 828, 9545 Perbø"
"Andrea Mathisen","Andreassenringen 61, 5442 Rogerdal"
"Liv-Tove Nilsen","Paulsenlia 111, 7561 Antonsen"
"Vegard Olsen","Eidehagen 5H, 8081 Henriksen"
"Bjørg-Tonje Berntsen","Sætherjordet 2, 5171 Haugen"
"Gunn Johannessen","Næssstien 6, 3985 Eriksen"
"Egil Johansen","Christensenberget 65C, 9403 Berntsen"
"Julie Edvardsen","Strømeggen 8, 3665 Idanes"
"Trond Nilsen","Edvardsengata 8, 3153 Mariannefoss"
"Kari Hansen","Larsengrenda 002, 6960 Karolinefjell"
"Jan Rasmussen","Danielsenvika 157, 8279 Nilssjøen"
"Nils Næss","Arnesenvika 3, 1072 Aasen"
"Leif Simonsen","Lienvollen 002, 0328 Edvardsen"
"Tom-Jens Halvorsen","Johannessenåsen 53, 2526 Jenssen"
"Rune Andersen-Martinsen","Mikkelsenvika 79A, 5457 Egilås"
"Bjørn Eide","Kristoffersenhagen 75, 4413 Eriksen"
"Inger Ahmed","Madsengrenda 6E, 5649 Unniby"
"Alf Andreassen","Danielsenlunden 96C, 5748 Strand"
"Trond Næss","Strømgjerdet 86, 1631 Markusøy"
"Sigurd Paulsen","Strandekra 86, 7162 Mariaodden"
"Terje-John Brekke","Johnsenberget 7, 6768 Næss"
"Gerd Jakobsen","Olsenåsen 54B, 0750 Cathrineø"
"Sander-Jørgen Abrahamsen","Pedersenberget 493, 5681 Simonsen"
"Hilde Lie","Pedersengata 82, 9433 Trinestad"
"May-Cecilie Kristoffersen","Bøetunet 74C, 7339 Antonsen"
"Knut Dahl","Nilsentoppen 16, 8601 Sørensen"
"Håkon Ruud","Strandengen 2, 6413 Paulsen"
"Arild Eide","Haugenlyngen 02D, 8828 Ruud"
"Trond Pedersen","Aaslia 38F, 6016 Pervær"
"Erik Vik","Solheimengen 054, 8791 Brekke"
"Eli-Åse Isaksen","Hagenåsen 66, 8553 Sørensen"
"Malin Lunde","Thorsenvollen 6D, 4516 Rolfhelle"
"Alexander-Torbjørn Lund","Hansenalléen 2, 2550 Steinarsund"
"Henrik Jenssen","Evensenlunden 9, 6340 Kristinnes"
"Trine Larsen","Simonsenhagen 377, 1272 Camillastrand"
"Tonje Hanssen","Brekkeflata 2, 9160 Øysteinø"
"Reidun Ødegård","Haugskogen 07G, 2025 Royhelle"
"Dr. Terje Tangen","Aasholtet 7G, 3222 Dahl"
"Trond Pettersen","Larsensvingen 54, 5172 Antonsen"
"Elisabeth Jakobsen","Aasstykket 192, 0369 Ruthhavn"
"Alexander Aune","Mathisenalléen 11, 6704 Ingeborgfjord"
