"Abelone Dahl","Stenløsevej 856
8842 Roskilde" 
"Zehnia Mogensen","Tyrols Allé 2
4702 Gørlev"
"Ane Thorsen-Toft","Stradellasvej 69
2231 Fakse Ladeplads"
"Tammy Laursen-Lund","Haldager Allé 700
4158 Gesten"
"Kim Kjeldsen","Nørre Farimagsgade 522
1873 Randers"
"Stig Pedersen-Knudsen","Irlandsvej 42
8657 Lille Skensved"
"Dr. Natasha Overgaard","Bomhusgade 9
9376 Kongerslev"
"Prof. Karen Kjeldsen","Bohrs Allé 63
1350 Marstal"
"Gertrud Mathiesen-Rasmussen","Slotsgade 328
1502 Ørbæk"
"Boe Madsen","Hildursgade 3
9882 Vamdrup"
"Christine Eriksen","Ætnastræde 195
2390 Mårslet"
"Mille Olsen","Store Kannikevej 9
8945 Holbæk"
"Prof. Ellen Winther","Kongshøjvej 556
4992 Hårlev"
"Tammy Schou","Østerdalsstræde 6
7135 Kolding"
"Alberte Henriksen-Sørensen","Annexstræde 192
7767 Dronninglund"
"Magnus Winther","Middelgrunds Allé 544
9578 Tårs"
"Julie Nissen","Baldersvej 299
1253 Blommenslyst"
"Univ.Prof. Troels Rasmussen","Odins Tværvej 970
3880 Jerslev"
"John Brandt-Jakobsen","Jernbanegade 4
4711 Karise"
"Karlo Jakobsen","Refsnæsvej 327
2469 Nykøbing F"
"Jannie Vestergaard","Marengo Allé 570
3330 Ørbæk"
"Odeline Møller","Ahlmannsgade 784
9153 Borup"
"Simon Schultz","Heibergs Allé 8
5872 Gjern"
"Tammy Steffensen","Søndre Fasangade 9
2976 Ringe"
"Selma Lassen","Vestrevej 534
8062 Næstved"
"Univ.Prof. John Lauritsen","Sofie Brahesstræde 720
8302 Vejle Øst"
"Univ.Prof. Sigrid Kristensen","Gasværksvej 34
3931 Horbelev"
"Erna Svendsen","Grønnemosevej 81
1528 Struer"
"Univ.Prof. Lasse Olesen","Dronningensvej 65
3633 Århus"
"Otto Bruun","Fiskedams Allé 35
7858 Ry"
"Aage Schmidt","Sofie Allé 919
3941 Rynkeby"
"Hr Julius Kristoffersen","Philip De Langesstræde 8
6408 Erslev"
"Prof. Paulina Nielsen","Houmannsgade 985
8912 Borup"
"Tammy Thygesen","Hildursgade 24
8758 Ulstrup"
"Benjamin Bruun-Bruun","Pistolgade 70
4814 Sindal"
"Kristina Eriksen","Ny Kongens Allé 6
3918 Skødstrup"
"Katrine Nørgaard","James Grievevej 1
8518 Tørring"
"Jano Andersen","Saxogade 4
3171 Hornbæk"
"Lasse Berg","Jyderupvej 9
4363 Kokkedal"
"Dr. Kirstine Madsen","Nøjsomhedsstræde 22
2503 Haslev"
"Prof. Sten Gregersen","Theklagade 599
2807 Stokkemarke"
"Prof. Rolf Hansen","Kvægtorvsvej 180
4021 Jyderup"
"Sarah Friis","Valhalsvej 82
9500 Sejerø"
"Tanja Bruun","Esromgade 902
2210 Hejls"
"Andrea Simonsen-Hansen","Helsingborgvej 1
4468 Glejbjerg"
"Silas Jensen-Kjær","Kirkegårdsstræde 32
9435 Sæby"
"Hr Verner Clausen","Ourøvej 22
6739 Jelling"
"Stig Nørgaard-Karlsen","Puggaardsgade 57
3252 Odense"
"Nils Christensen-Iversen","Sejlklub Allé 397
2114 Østermarie"
"Frida Frederiksen","Brysselvej 339
8772 Balle"
"Winnie Petersen","Fjenneslevgade 97
7425 Stubbekøbing"
"Henry Svendsen","Bellisgade 65
2340 Rødovre"
"Prof. Sonja Madsen","Molbechsvej 84
1505 Mørkøv"
"Tanja Kjeldsen","Hirse Allé 74
2712 Karby"
"Prof. Nikolai Friis","Lindgreens Allé 319
8818 Erslev"
"Bruno Sørensen","Sneppestræde 73
3618 Viby Sjælland"
"Prof. Benthe Jørgensen","Lergravsgade 7
6233 Fakse"
"Elsebeth Bach","Bramslykkegade 6
7058 Gørlev"
"Inga Klausen","Tonemestergade 522
7386 Mårslet"
"Univ.Prof. Thea Danielsen","Grøndals Parkgade 74
3426 Møldrup"
"Karlo Bach","Fehmernsvej 36
2787 Skødstrup"
"Holger Ravn","Molbechsgade 5
7490 Kettinge"
"Dr. Simon Koch","Helsingborg Allé 995
6583 Gjerlev"
"Tanja Schultz-Nørgaard","Kalkbrænderihavnsgade 83
8253 Beder"
"Dr. Ida Danielsen","Hastingsgade 3
2559 Harboøre"
"Yvonne Sørensen","Timiansvej 5
4788 Hårlev"
"Erik Andersen-Brandt","Hjelmsstræde 770
4556 Klarup"
"Hr Bjarne Bach","Lønganggade 99
3259 Slagelse"
"Gunhild Rasmussen","Lystrupgade 75
1063 Bogø By"
"Bitten Brandt","Fordresgårdvej 74
1031 Løgstør"
"Øyvind Danielsen-Simonsen","Bymose Allé 895
2526 Bækmarksbro"
"Prof. Birte Simonsen","Kærsangervej 8
9106 Fredensborg"
"Noah Olsen","Ottiliavej 1
1589 Tjele"
"Tejs Bruun","Rosenvængets Hovedvej 6
9777 Gelsted"
"Anders Krogh","Skånevej 3
2658 Valby"
"William Lund","Næstved Allé 13
4870 Ebberup"
"Univ.Prof. Astrid Nilsson","Serbiensvej 1
3399 Egtved"
"Janne Lauridsen","Kirkebjerg Allé 181
2850 Lejre"
"Prof. Elisabeth Christiansen","Skelmosestræde 80
5666 Sejerø"
"David Jakobsen","Mirabellevej 3
9223 Søby Ærø"
"Prof. Nanni Lund","Valby Maskinfabriksgade 6
9488 Fuglebjerg"
"Ørni Lind","Letlands Allé 58
2845 Køge"
"Bettina Møller","Bremensgade 9
6734 Store Heddinge"
"Tejs Carlsen","Hjertensfrydsvej 133
4811 Hejls"
"Tobias Pedersen","Gislingevej 5
4845 Nibe"
"Jon Lauritsen","Thingvallagade 6
7470 Gudbjerg"
"Karin Frederiksen","Lille Kannike Allé 6
9650 Taastrup"
"Dr. Nikolai Sørensen","Signelilvej 88
6733 Gilleleje"
"Palle Johansen","Storegårdsvej 8
3752 Outrup"
"Mimi Mortensen","Hulgårdsstræde 22
5064 Christiansfeld"
"Rikke Pedersen","Tybjergstræde 2
9580 Kongens Lyngby"
"Prof. Hannah Lauridsen","Holbækmotorenstræde 6
4849 Svinninge"
"Prof. Troels Friis","Rentemesterstræde 95
9644 Stakroge"
"Tejs Iversen-Larsen","Tømrer Allé 23
9487 Vallensbæk"
"Hanne Poulsen","Flinterupgade 148
3818 Jægerspris"
"Margrethe Bech","Grøndalsvængevej 153
2309 Aulum"
"Laust Klausen","Store Kannikevej 597
2045 Stokkemarke"
"Robin Gregersen","Meldahlsgade 9
9352 Janderup"
"Prof. Sine Søndergaard","Vangehusstræde 2
2781 Gørding"
"Joakim Jespersen","Vanløse Bystræde 50
5529 Løsning"
"Laus Lund","Oldermandsvej 4
8353 Egernsund"
"Dr. Jack Dam","Kirstinedalsvej 394
6511 Gislev"
"Erik Brandt","Normandivej 439
1789 Havndal"
"Tejs Ravn","Derbyvej 2
8088 Ærøskøbing"
"Hr Kenneth Olesen","Reykjaviks Allé 333
5933 Klovborg"
"Catrine Christensen","Spiræa Allé 254
4299 Brønderslev"
"Bodil Danielsen-Lauritsen","Folke Bernadottesvej 699
3031 Nørresundby"
"Gustav Simonsen","Sokkelundsstræde 101
5754 Lemming"
"Fru Olga Søndergaard","Flinterupvej 18
9307 Henne"
"Mette Jacobsen","Søndervangsgade 206
5792 Viuf"
"Nana Christiansen","Brohusvej 1
5738 Tistrup"
"Keld Lassen","Blushøj Allé 46
1041 Skanderborg"
"Birgitte Andersen","Cylindervej 40
8608 Herfølge"
"Thomas Berg","Frederikssundsgade 3
5765 Glostrup"
"Naja Paulsen","Frederiksgårds Allé 460
2685 Videbæk"
"Mads Danielsen","Korsørstræde 807
6638 Vesløs"
"Weena Andersen","Sionsgade 66
6799 Skovlunde"
"Dr. Tina Winther","Margretheholmsgade 957
7944 Haderup"
"Dr. Palle Petersen","Oldermandsvej 8
9975 Janderup"
"Per Friis-Schmidt","Vestre Kirkegårdsvej 942
6291 Sæby"
"Åge Mathiasen-Olsen","Ahlefeldtsvej 30
9379 Jyllinge"
"Yvonne Jepsen-Nørgaard","Hustofte Allé 36
9068 Farsø"
"Univ.Prof. Lena Koch","Torfastræde 17
4929 Aabybro"
"Thomas Clausen","Hareskov Allé 13
6765 Tårs"
"Fru Silje Svendsen","Elmelunde Allé 83
6646 Børkop"
"Agnes Madsen","Sundby Parkvej 72
8350 Snekkersten"
"Solveig Brandt","Vindmølle Allé 18
3077 Kruså"
"Øivind Holm","Brobergsgade 8
2129 Glamsbjerg"
"Hr Verner Henriksen","Fyrtårnvej 5
6562 Nørager"
"Elna Jensen-Frandsen","Esthers Allé 62
4601 Brørup"
"Rolf Thygesen","Gladbo Allé 3
7074 Ringe"
"Prof. Herman Østergaard","Nokken Hovednvej 26
4719 Herfølge"
"Ritt Johansen","Øster Sø Allé 751
3537 Tim"
"Thomas Gregersen","Brobergs Allé 7
8470 Strøby"
"Jesper Brandt","Gartnerigade 860
9743 Skodsborg"
"Prof. Lucas Jørgensen","Oldfuxgade 968
6912 Låsby"
"Kristina Nilsson","Vestre Tegl Allé 78
6686 Store Fuglede"
"Ingrid Svendsen","Blåmejsevej 107
1458 Ørsted"
"Mark Krogh","Refsnæsvej 336
3697 Sydals"
"Mikael Jessen","Alsvej 3
9322 Guldborg"
"Silas Johnsen","Bygholmvej 85
4356 Sorring"
"Frode Mathiasen","Sandbjerg Allé 96
1454 Ærøskøbing"
"Hr Jack Mathiesen","Trøjborgvej 70
8686 Væggerløse"
"Tilde Brandt","Knuthenborgvej 82
1747 Skælskør"
"Andreas Holm-Andresen","Elselille Allé 4
6467 Slangerup"
"Univ.Prof. Nana Danielsen","Lærkegade 141
4762 Værløse"
"Jack Skov","Herbergenvej 736
7620 Stoholm"
"Beth Thomsen","Gudenågade 19
3676 Kirke Hyllinge"
"Dr. Filippa Kristensen","Asnæsgade 663
1172 Frederikshavn"
"Hr Villads Bech","Tikøbgade 4
6298 Liseleje"
"Prof. Simon Olesen","Poppelvej 860
8192 Marslev"
"Nanna Nilsson","Hedegaardsvej 812
6665 Løkken"
"Jakob Hansen","Rødelandsvej 42
2686 Harlev"
"Tilde Danielsen-Christiansen","Laplandsvej 90
4644 Thyborøn"
"Dr. Stina Friis","Skyggelundsgade 50
7605 Bøvlingbjerg"
"Christine Nilsson","Lakse Allé 937
3021 Lynge"
"Univ.Prof. Joakim Møller","Dahlerupsgade 9
1444 Gram"
"Dr. Anne Lund","Valkyrievej 833
1139 Græsted"
"Yan Nilsson","Solsikke Allé 330
3641 Kettinge"
"Oliver Skov","Nivågade 724
3150 Asperup"
"Finn Klausen","Bygårdvej 146
8240 Viborg"
"Dr. Søren Dam","Emdrupgårds Allé 564
1597 Øster Assels"
"Laura Bach","Toftøjegade 361
7027 Frederiksberg"
"Tilde Jakobsen","Hyskenvej 188
3411 Broby"
"Tilde Laursen","Slots Allé 34
6545 Birkerød"
"Prof. Caroline Hansen","Markskifte Allé 142
7214 Vallensbæk Strand"
"Marie Nørgaard-Klausen","Følfodgade 40
4391 Hjortshøj"
"Jannie Jørgensen","Broagervej 420
8347 Hovborg"
"Dennis Poulsen","Kejservej 1
5941 Årre"
"Prof. Alexander Gregersen","Reventlowsvej 29
6113 Holte"
"Univ.Prof. Ritt Ravn","Bulbjergvej 68
9288 Ullerslev"
"Eric Krogh","Kejser Allé 490
8032 Havdrup"
"Bjarne Bruun","Morsøvej 3
7551 Klarup"
"Tim Bech","Ingerslevsgade 674
4223 Årre"
"Lærke Winther","Brorsonsgade 17
7121 Skørping"
"Stina Jessen","Gilbjerg Allé 702
6938 Spenstrup"
"Univ.Prof. Borris Knudsen","Fladstjernestræde 4
3590 Øster Assels"
"Asta Pedersen-Clausen","Risbyholmvej 57
9349 Helsingør"
"Ziggy Nørgaard-Berg","Prinsessegade 427
8182 Gråsten"
"André Poulsen","Elmevej 848
7750 Oksbøl"
"Fru Karin Petersen","Berggreensvej 838
2965 Kibæk"
"Michala Nielsen","Lyrskovgade 64
4288 Glejbjerg"
"Osvald Krogh-Nielsen","Odensevej 2
1387 Fjenneslev"
"Tim Brandt","Geysers Allé 37
3292 Sakskøbing"
"Hr James Lassen","Christianshavns Voldvej 258
9721 Nørresundby"
"Verner Danielsen","Tuxensgade 9
2014 Vordingborg"
"Univ.Prof. Johnnie Jessen","Amaliestræde 45
2051 Vester Skerninge"
"Andrea Carlsen","Provstevej 899
6785 Gislinge"
"Ronja Schmidt","Lyshøjstræde 9
6704 Klampenborg"
"Prof. Isabella Johnsen","Vindruevej 9
1465 Lille Skensved"
"Herman Mikkelsen","Tipsagervej 4
3552 Bækmarksbro"
"Boe Bech","Kornblomstvej 358
5758 Søllested"
"Dr. Einar Mathiasen","Varde Allé 772
5338 Møldrup"
"Timmy Christoffersen","Tigervej 84
7738 Sønder Stenderup"
"Prof. Karsten Jepsen","Lyshøjgårdsvej 79
7414 Søborg"
"Solveig Thomsen","Pistolgade 53
9152 Bredsten"
"Odette Christensen","Jægersprisgade 509
2223 Hillerød"
"Jeppe Olesen-Østergaard","Tuborgvej 1
9818 Horslunde"
"Charlotte Holst","Brønshøj Kirke Allé 35
9310 Boeslunde"
"Andreas Jepsen","Sionsgade 6
1304 Henne"
"Laus Mathiesen-Møller","Birkedommergade 7
7532 Gislinge"
"Merete Gregersen","Soltoftevej 6
7487 Harpelunde"
"Ronny Friis-Thomsen","Arabiensvej 1
4338 Henne"
"Timmy Johnsen","Asnæsvej 26
6754 Viby J"
"Fru Christina Christensen","Amagermotorenvej 95
6757 Tarm"
"Gert Dam","Alsted Allé 4
9850 Helsingør"
"Dr. Tine Nielsen","Trepkasvej 899
8399 Viby J"
"Cecilie Jacobsen","Fossgårdsvej 50
4874 Store Merløse"
"Univ.Prof. Bertil Dahl","Stadfeldtsvej 58
1489 Regstrup"
"Hjalte Lind-Sørensen","Rundholtsstræde 91
1620 Præstø"
"Kaspar Andresen","Tustrupvej 55
9061 Frederiksberg"
"Dr. Line Mortensen","Æbeløgade 4
4530 Hvide Sande"
"Univ.Prof. Oscar Holm","Heklas Allé 729
9334 Karup"
"Timmy Larsen-Jensen","Molbechsvej 76
8136 Havndal"
"Allan Winther","Ballum Allé 6
8169 Holme-Olstrup"
"Fru Nicoline Lassen","Blågårdsvej 227
5477 Aabybro"
"Christina Laursen-Larsen","Klingseyvej 1
8620 Juelsminde"
"Tage Larsen-Danielsen","Livjægergade 742
1284 Hovedgård"
"Flemming Olesen","Lyshøjvej 94
3489 Karup"
"Bobby Jespersen-Holm","Gitterstræde 2
1869 Føllenslev"
"Ingelise Danielsen-Lind","Gransangervej 13
6339 Borre"
"Katrine Nissen-Knudsen","Fyrbødervej 6
3865 Frederiksværk"
"Matthias Jeppesen","Marengovej 99
4181 Kastrup"
"Timmy Svendsen","Lergravsvej 264
5131 Rudkøbing"
"Ronny Laursen","Ravnsborg Tværstræde 6
3512 Sorø"
"Dr. Jano Pedersen","Ewaldsstræde 203
2289 Fårevejle"
"Silas Lauritsen","Flyhangargade 52
1458 Skals"
"Dina Steffensen","Kløvermarksgade 68
6197 Hellerup"
"Alex Mogensen-Lauritsen","Judithsstræde 25
5463 Ringsted"
"Randi Danielsen","Blåbærvej 245
3990 Karrebæksminde"
"Dr. Tim Carlsen","Keldsøgade 2
4797 Lille Skensved"
"Univ.Prof. Stina Skov","Ryesgade 183
2429 Gjern"
"Frida Søndergaard-Kjær","Kasemat Allé 20
9691 Svinninge"
"Tina Jakobsen","Mimosastræde 75
7781 Sjællands Odde"
"Anette Schou","Nordlandsvej 5
5050 Hasle"
"Holger Carlsen","Webersvej 522
7677 Faaborg"
"Prof. Kenneth Søndergaard","Ingerslevs Allé 322
2287 Ålbæk"
"Prof. Connie Jessen","Rigensvej 3
1522 Rønde"
"Birger Johansen-Madsen","Rumæniensvej 6
1057 Fredensborg"
"Univ.Prof. Johanne Schultz","Guldagergade 94
9402 Fanø"
"Prof. Esben Larsen","Lille Istedvej 10
8319 Glumsø"
"Zacharias Krogh","Ledager Allé 2
3380 Hesselager"
"Poul Jørgensen-Eriksen","Vindebro Allé 629
6302 Viby J"
"Tina Lind","Dalbyvej 30
4335 Langå"
"Nadia Hermansen-Nilsson","Landlystgade 4
5758 Valby"
"Fru Paulina Vestergaard","Spøttrup Allé 766
2500 Aars"
"Prof. Berta Nissen","Lindevej 627
6715 Gørding"
"Sussie Larsen","Lagergade 826
4892 Højer"
"Nicolai Simonsen","Digestræde 5
9657 Havndal"
"Fru Winnie Svendsen","Skydebanegade 997
8546 Vejstrup"
"Gorm Johnsen","Tværagergade 97
7556 Stensved"
"André Sørensen","Selsøvej 595
9366 Børkop"
"Flemming Hansen","Verdis Allé 98
4508 Ebeltoft"
"Tine Sørensen-Krogh","Eschrichtsstræde 86
2446 Lejre"
"Rolf Lind","Bodilsvej 2
6387 Hasselager"
"Fru Elna Sørensen","Stjerne Allé 268
7401 Snertinge"
"Xenia Skov","Larsbjørnsvej 3
1787 Ugerløse"
"Prof. Mathilde Clausen","Gladiolusgade 23
2361 Greve Strand"
"Prof. Benthe Jakobsen","Vesterhavsgade 36
7545 Hejnsvig"
"Univ.Prof. Olfert Petersen","Dronning Dagmarsstræde 6
5067 Vejen"
"Katcha Johansen","Nørrebrovej 483
6641 Snekkersten"
"Univ.Prof. Tanja Olsen","Vestre Kirkegårds Allé 6
3159 Silkeborg"
"Simone Nilsson","Alsvej 11
5839 Spenstrup"
"Tobias Andersen","Heldbovej 568
2960 Hadsten"
"Amanda Johansen","Egilsvej 2
5451 Føvling"
"Johnny Knudsen","Bogensestræde 346
1559 Lundby"
"Ruben Jensen","Danneskiold-Samsøesvej 69
7873 Gudhjem"
"Christoffer Larsen","Saxtorphsvej 809
1057 Vejle Øst"
"Fru Viola Mathiasen","Trekronervej 9
5695 Horslunde"
"Olfert Christensen-Schultz","Herbergengade 669
6519 Faaborg"
"Astrid Steffensen-Christoffersen","Studie Allé 935
9023 Tørring"
"Fru Isabella Brandt","Tårnhusvej 828
4865 Tørring"
"Kenny Ravn","Lindenborgvej 5
4042 Mern"
"Tobias Kristiansen","Ny Blegdamsgade 89
4235 Svinninge"
"Mathias Dam","Pakhusvej 1
1847 Kolind"
"Joan Pedersen","Bøhmensvej 54
1457 Lemming"
"Odette Jensen-Johansen","Thy Allé 858
4735 Sønder Felding"
"Regitze Simonsen","Uggerløsestræde 6
3175 Frederikssund"
"Emilie Rasmussen","Rørholmsvej 82
1699 Holeby"
"Hr Arne Laursen","Ny Kongens Allé 9
8382 Karlslunde"
"Hr Villads Kjeldsen","Asger Jornsvej 46
2873 Kværndrup"
"Univ.Prof. Maren Andreasen","Rundholtsgade 533
8310 Bryrup"
"Univ.Prof. Anette Hermansen","Sofievej 859
8099 Ølsted"
"Tobias Mogensen","Islevhusvej 24
5594 Vejers Strand"
"Jonathan Andresen","Panumsvej 913
1888 Kibæk"
"Prof. Åse Lassen","Otto Bachesvej 2
9484 Middelfart"
"Prof. Paulina Hansen","Rabarbervej 13
6633 Frederikshavn"
"Jens Thorsen","Sejrøvej 9
3745 Vejers Strand"
"Britt Kristensen","Jerichausvej 2
1294 Tappernøje"
"Steve Hansen","Vester Søvej 2
6896 Føvling"
"Mogens Knudsen","Bohrs Allé 48
1885 Øster Vrå"
"Kirstin Poulsen","Genuastræde 13
7396 Viby Sjælland"
"Dr. Boris Jørgensen","Lundevangsvej 49
1896 Fjenneslev"
"Tom Berg-Lauridsen","Kløverbladsvej 230
4063 Lejre"
"Dr. Herbert Vestergaard","Ullerupvej 777
7149 Tylstrup"
"Otto Rasmussen","Fossgårdsvej 6
7843 Løkken"
"Lærke Skov","Frederiksstadsstræde 66
3576 Brædstrup"
"Sonny Bruun","Løvetandsgade 120
5812 Tranbjerg J"
"Minna Jeppesen","Egholmvej 413
8742 Errindlev"
"Univ.Prof. Gunnar Jacobsen","Vestermarks Allé 460
9538 Nørager"
"Jacqueline Nielsen","Hedebyvej 7
9110 Skibby"
"Anton Dahl","Sigurdsvej 808
8837 Them"
"Nete Christoffersen","Hastingsgade 375
7030 Ribe"
"Tom Lauridsen","Fredensvej 7
1728 Samsø"
"Prof. Jonna Østergaard","Vangehusvej 541
4228 Hesselager"
"Dr. Frede Vestergaard","Slesvigs Allé 93
6722 Tølløse"
"Patricia Berg","Georginegade 6
5474 Hasle"
"Frederikke Hermansen","Rosengade 129
8709 Støvring"
"Yannick Mikkelsen","Gernersgade 6
7214 Rønnede"
"Åse Lauritsen","Estlandsvej 5
8209 Svendborg"
"Dr. Dagny Hansen","Sundby Parkvej 151
6807 Dalby"
"Hr Bruno Simonsen","Aggergade 7
1182 Spjald"
"Prof. Bettina Danielsen","Firkløvergade 934
5724 Læsø"
"Tommy Iversen","Wildersgade 9
1247 Kalundborg"
"Michael Kristensen","Australiensvej 85
8809 Møldrup"
"Troels Koch","Glommensgade 684
8384 Nexø"
"Dr. Stina Nørgaard","Gladiolusstræde 5
2268 Horbelev"
"Dr. Alex Frandsen","Kastaniestræde 4
8670 Bjert"
"Gorm Frederiksen-Mogensen","Rostgaardsvej 58
5759 Bjert"
"Winni Jespersen","Meinungsgade 699
1826 Ølstykke"
"Lea Lauritsen","Hannoverstræde 28
2152 Herlev"
"Ulrik Andresen","Hardenbergvej 6
7205 Skibby"
"William Holst-Nissen","Istedvej 8
8264 Østbirk"
"Tommy Lind","Thoragade 9
9111 Blokhus"
"Ursula Simonsen","Alstedstræde 52
7605 Stensved"
"Dr. Dina Karlsen","Alstedvej 92
2529 Nyborg"
"Mette Karlsen","Turesensstræde 85
8923 Anholt"
"Prof. John Paulsen","Pernille Allé 2
4247 Bække"
"Paul Olesen-Andreasen","Jyllingegade 11
4659 Bælum"
"Prof. Bjarne Olsen","Øresundsvej 652
3416 Brøndby"
"Natasja Henriksen","Pindosvej 62
7354 Gørlev"
"Per Madsen","Sorgenfrivej 7
2343 Søborg"
"Hr Esben Christensen","Spiræavej 88
4405 Løkken"
"Tommy Mikkelsen","Oldenborgvej 41
8776 Thyborøn"
"Jannie Nilsson","Viktoria Allé 304
1980 Årslev"
"Sten Iversen-Toft","Weysesvej 848
9200 Sæby"
"Fru Solvej Berg","Kjeldsgårdsstræde 8
6656 Ørum Djurs"
"Univ.Prof. Elias Thorsen","Firkløvergade 71
8646 Vejen"
"Tejs Hermansen","Faksingegade 39
9540 Ferritslev Fyn"
"Henry Jacobsen","Lyshøjgade 80
5595 Nørre Snede"
"Fru Freja Poulsen","Emdrup Mosegade 910
7133 Christiansfeld"
"Line Møller-Pedersen","Novembergade 151
7971 Oure"
"Jacqueline Mathiesen","Smyrnavej 43
7034 Videbæk"
"Tonny Kristiansen","Broagervej 645
7453 Boeslunde"
"Prof. Ruben Mortensen","Broagergade 7
2267 Tim"
"Alberte Andersen","Lukretiastræde 98
6687 Skibby"
"Leonora Lassen","Hyldebær Allé 980
7965 Kværndrup"
"Univ.Prof. Allan Gregersen","Serridslevvej 616
1349 Kokkedal"
"Dr. Catrine Bruun","Kansler Allé 1
6735 Langeskov"
"Kirsten Knudsen","Wiinbladsstræde 167
4417 Asnæs"
"Tove Knudsen","Vanløsevej 3
2682 Hellerup"
"Christoffer Holm","Gullandsvej 863
9653 Them"
"Zenia Iversen-Jessen","Højsagergade 7
6075 Tårs"
"Torben Bertelsen-Bertelsen","Pommernsvej 588
9130 Haderup"
"Fru Yvonne Overgaard","Vigerslevvej 83
6253 Klovborg"
"Univ.Prof. Patrick Sørensen","Ravneholmsvej 503
5890 Bogense"
"Sanne Mathiesen","Broagervej 669
1099 Langeskov"
"Kasper Brandt-Ravn","Hjelmsgade 75
6981 Klarup"
"Michael Henriksen","Thurebyholmstræde 4
9019 Hadsund"
"Anton Pedersen","Dybendalsvej 5
6417 Måløv"
"Stig Kjeldsen","Musholmstræde 277
2669 Stokkemarke"
"Univ.Prof. Sille Lund","Emdrupgårdsgade 734
4230 Blokhus"
"Prof. Zara Nilsson","Jemtelandsgade 707
3868 Rødekro"
"Torben Eriksen","Mimosagade 2
3170 Højslev"
"Herdis Mathiasen","Langøstræde 288
6009 Skive"
"Prof. Allan Mikkelsen","Nansens Allé 5
7660 Vestervig"
"Ulla Lauritsen","Vermundsvej 13
8508 Vallensbæk"
"Nils Andersen-Knudsen","Shetlandsvej 6
5597 Nørager"
"Carlo Kjær","Nørrebrovej 287
2796 Hovborg"
"Kåre Andresen","Husumgade 45
1047 Idestrup"
"Preben Vestergaard","Slangerupgade 997
3221 Karby"
"Vera Svendsen-Mortensen","Sixtusstræde 94
5664 Nexø"
"Hr Zacharias Brandt","Ib Schønbergsstræde 66
8125 Korsør"
"Torben Jeppesen","Hellested Allé 34
3452 Hanstholm"
"Herdis Henriksen","Messinagade 387
9388 Rønnede"
"Hr Ziggy Jeppesen","Laksestræde 438
2934 Roskilde"
"Oliver Friis","Sæbyvej 413
9211 Haderup"
"Rune Iversen","Herslevvej 870
7993 Holeby"
"Frede Thorsen","Harevej 78
6767 Gelsted"
"Åge Dahl","Arne Jacobsensgade 947
4890 Svendborg"
"Hr Carl Simonsen","Clematisgade 24
3348 Thyholm"
"Sofie Mogensen","Eskildsvej 466
4978 Fredensborg"
"Fru Tanja Andresen","Amerikavej 84
8880 Skals"
"Tove Nilsson","Bisiddergade 930
4846 Horsens"
"Grethe Karlsen","Classensgade 474
6110 Kibæk"
"Kasper Nissen","Egelykkevej 349
8111 Them"
"Jenny Nilsson-Skov","Landskronavej 27
2620 Tureby"
