"Aage Dahl"|"Jeppes Allé 29
9602 Risskov" 
"Caroline Thomsen"|"Lembergstræde 682
7148 Frederikshavn"
"Yasmin Christoffersen"|"Hans Bogbindersgade 583
2245 Frøstrup"
"Prof. Sara Eriksen"|"Svendsstræde 823
7805 Kalvehave"
"Edith Lauridsen"|"Heimdalsgade 530
2109 Terndrup"
"Sandra Danielsen"|"Høsterkøbgade 964
3888 Vrå"
"Ulrike Thorsen"|"Philip De Langesgade 65
2248 Gedser"
"Stefan Pedersen-Paulsen"|"Gamle Vasbyvej 537
5548 Storvorde"
"Zehnia Olsen"|"Jena Allé 6
7946 Jyderup"
"Lone Kristensen-Holm"|"Lybækgade 194
3827 Vesterborg"
"Univ.Prof. Gundhild Nilsson"|"Rådhusstræde 69
3164 Boeslunde"
"Simon Jessen"|"Ebbe Rodesstræde 3
6817 Bogense"
"Kurt Sørensen"|"Finlandsvej 76
8209 Højby"
"Henrik Thorsen"|"Hellestedvej 727
4537 Blommenslyst"
"Åge Jørgensen"|"Rådhusvej 34
1468 Sønderborg"
"Verner Johnsen"|"Alsted Allé 35
8456 Rungsted Kyst"
"Fru Emilie Knudsen"|"Verasstræde 7
2360 Auning"
"Stefan Ravn"|"Rumæniensvej 43
8771 Egtved"
"Dr. Jesper Jørgensen"|"Østerdalsvej 1
8961 Stege"
"Dr. Ellen Petersen"|"Danshøjstræde 22
8268 Juelsminde"
"Per Nilsson-Paulsen"|"Sundbygårdsgade 8
3684 Løgumkloster"
"Freddy Mogensen"|"Ting Allé 8
8461 Brenderup"
"Einar Lind"|"Griffenfeldsgade 50
3424 Bagenkop"
"Tine Jacobsen-Kristiansen"|"Frejasstræde 47
5058 Odder"
"Janne Christiansen"|"Mælkeenvej 122
7589 Borup"
"Nicolai Henriksen"|"Skoleholderstræde 4
1775 Snedsted"
"Stina Eriksen"|"Eriksholmstræde 6
1318 Hovborg"
"Sten Jespersen"|"Hjertensfrydsstræde 306
2133 Smørum"
"Karoline Gregersen"|"Timiansvej 15
4603 Hårlev"
"Fru Gerda Nilsson"|"Burgundyvej 35
2448 Juelsminde"
"Katrine Frandsen-Andresen"|"Asger Jornsvej 96
8745 Svaneke"
"Uffe Andersen"|"Nordre Fasan Allé 7
9683 Asperup"
"Dr. Michelle Ravn"|"Drejøgade 463
4355 Knebel"
"Marcus Olsen"|"Rughavegade 77
9607 Ferritslev Fyn"
"Tage Mortensen"|"Holte Allé 469
5005 Idestrup"
"Albert Danielsen"|"Syvstensvej 9
3087 Padborg"
"Johnnie Skov"|"Buntmagervej 143
3648 Harboøre"
"Sten Larsen"|"Volosvej 919
3330 Hedehusene"
"Dennis Laursen"|"Polensvej 7
5396 Jyllinge"
"Univ.Prof. Martin Schmidt"|"Nordrevej 82
2846 Aabybro"
"Prof. Ditte Overgaard"|"Krusåvej 751
4692 Bolderslev"
"Maja Krogh"|"Fremadsstræde 11
2185 Ærøskøbing"
"Erna Berg"|"Lauravej 75
7175 Frederikshavn"
"Ulrike Petersen"|"Griffenfeldsgade 736
9087 Vamdrup"
"Klavs Poulsen"|"Rødby Allé 51
8482 Nørre Aaby"
"Elisabeth Clausen"|"Ringkøbinggade 756
8257 Ansager"
"Ruth Toft"|"Breidablikgade 480
4677 Viuf"
"Stephan Karlsen-Clausen"|"Stadilgade 6
3424 Ruds Vedby"
"Caroline Simonsen"|"Gernersvej 1
2034 Snekkersten"
"Mads Carlsen-Sørensen"|"Tulipan Allé 39
8103 Vejen"
"Simone Simonsen"|"Dronningens Tværvej 7
1443 Gjern"
"Ellen Andreasen"|"Wittenberggade 10
5645 Glumsø"
"Kent Dahl-Klausen"|"Straussvej 384
3186 Thorsø"
"Berta Brandt-Steffensen"|"Dalbygade 8
7113 Højslev"
"Hannah Friis-Nissen"|"Sokkelundsgade 96
9686 Hjørring"
"Øystein Lund"|"Knivholtvej 5
9377 Jerslev"
"Martin Andreasen"|"Ansgarsvej 48
2812 Aars"
"Stephan Søndergaard"|"Ebbe Rodes Allé 537
9466 Ryslinge"
"Dr. Villads Frederiksen"|"Hammelstrupgade 32
8993 Ikast"
"Gustav Toft"|"Tåstrupstræde 5
5091 Rudkøbing"
"Naja Laursen"|"Palles Allé 860
5677 Gandrup"
"David Lassen"|"Brobergsvej 3
1377 Janderup"
"Tanja Kjeldsen"|"Smørumstræde 75
7655 Hvidovre"
"Univ.Prof. Klaus Madsen"|"Viborgstræde 42
7418 Fur"
"Margrethe Schultz"|"Bagervej 30
9779 Svenstrup"
"Prof. Simon Koch"|"Philip De Langesvej 262
5929 Bække"
"Kim Berg"|"Toftøjestræde 1
3884 Tikøb"
"Steve Johansen"|"Trapsgade 1
5588 Kalundborg"
"Jacobine Dahl-Danielsen"|"Lundeborggade 5
2785 Nimtofte"
"Tom Johansen"|"Veras Allé 9
8611 Karby"
"Univ.Prof. Ane Clausen"|"Kanadagade 65
8527 Hjortshøj"
"Robin Henriksen"|"Valby Torvevej 17
7464 Græsted"
"Dennis Lauritsen-Iversen"|"Etonvej 387
1148 Løkken"
"Univ.Prof. Olga Rasmussen"|"Oliefabriksgade 881
8229 Trige"
"Prof. Dorte Lauritsen"|"Vennemindevej 393
7877 Hasle"
"Malthe Dam"|"Digevej 95
2059 Hellerup"
"Kenny Frandsen"|"Tersløsevej 50
9810 Hørsholm"
"Steve Madsen"|"Tudskærvej 871
3428 Rask Mølle"
"Prof. Birger Brandt"|"Bellis Allé 6
7417 Glejbjerg"
"Stefan Christensen"|"Sejlklub Allé 35
6793 Tranekær"
"Zahra Nørgaard-Larsen"|"Stenosvej 368
4731 Middelfart"
"Jasmin Johansen"|"Kongsdalvej 378
5311 Jerslev"
"Nicolaj Schou"|"Kampmanns Allé 329
8801 Gjern"
"Sten Friis"|"Vindebrovej 11
2070 Egtved"
"Ib Frandsen"|"Kongeæblestræde 2
8799 Øster Vrå"
"Tine Danielsen"|"Solrødstræde 81
7558 Dronninglund"
"Øystein Jacobsen"|"Arnes Allé 462
3119 Hvidovre"
"Steve Søndergaard"|"Lotusgade 647
6308 Tølløse"
"Curt Christensen"|"Spøttrup Allé 87
7513 Bindslev"
"Prof. Uffe Nissen"|"Hastingsgade 8
8194 Vejen"
"Helge Knudsen"|"Højbogade 8
7375 Vamdrup"
"Dr. Kaspar Iversen"|"Dalbyvej 755
9686 Esbjerg"
"Hr Stig Laursen"|"Ebertsvej 730
1704 Gedser"
"Odette Knudsen"|"Tuborgstræde 189
6315 Roslev"
"Randi Carlsen"|"Jægersborggade 617
8146 Skamby"
"Yasmin Nissen"|"Ådalsgade 4
8423 Vodskov"
"Esmarelda Iversen"|"Gyldenrisgade 445
1729 Karise"
"Steven Kristiansen"|"Landgildegade 77
3241 Havdrup"
"Randi Lauridsen"|"Christen Bergs Allé 8
9997 Vandel"
"Mathilde Jacobsen"|"Hjortdalsvej 1
3993 Holbæk"
"Hr André Pedersen"|"Eskildstrupvej 73
6256 Blommenslyst"
"Dr. Joachim Møller"|"Æginavej 7
6728 Tappernøje"
"Dr. Dina Nørgaard"|"Korsika Allé 701
6536 Padborg"
"Henry Winther"|"Hauser Allé 5
1007 Karby"
"Dr. Herdis Vestergaard"|"Valkyrievej 302
3093 Vejen"
"Univ.Prof. Winnie Jeppesen"|"Serridslevgade 6
3388 Sunds"
"Majken Lind"|"Nordfeldvej 976
1946 Tylstrup"
"Stig Madsen"|"Glostervej 330
8325 Fårevejle"
"Nikolaj Holm"|"Haifavej 2
9213 Gørlev"
"Hr Villads Lind"|"Rømers Allé 750
7793 Gadbjerg"
"Elisabeth Sørensen"|"Magvej 95
6385 Dronninglund"
"Univ.Prof. Gundhild Mortensen"|"Gadekær Allé 2
4998 Samsø"
"Prof. Leonora Skov"|"Drogdensgade 16
7531 Allingåbro"
"Bobby Gregersen-Nilsson"|"Bisiddergade 8
1705 Haderup"
"Prof. Ofelia Simonsen"|"Dagøvej 1
5157 Pandrup"
"Benedikte Steffensen"|"Mitchellsvej 5
7221 Aalestrup"
"Dr. Carsten Bruun"|"Jeppesvej 186
7793 Hundested"
"Stig Nilsson"|"Ruths Allé 355
9375 Korsør"
"Richardt Winther"|"Pallesstræde 62
4089 Sønder Stenderup"
"Ursula Holst"|"Lidemarksgade 9
7783 Guldborg"
"Prof. Conny Larsen"|"Fremadsgade 3
8837 Veflinge"
"Dr. Emil Thygesen"|"Samsøvej 92
7978 Trige"
"Simon Thorsen"|"Castbergsvej 5
3521 Vejle Øst"
"Yrsa Friis"|"Mysundevej 12
2699 Millinge"
"Tina Andresen-Bruun"|"Selinestræde 8
6703 Brovst"
"Dr. Inge Lassen"|"Hyldebærstræde 9
3757 Dronningmølle"
"Kenny Kristensen"|"Vestre Kirkegårdsvej 642
3314 Valby"
"Stig Overgaard"|"Skovgaards Allé 146
3352 Sulsted"
"Marcus Mathiesen"|"Ourøgade 16
1391 Stenderup"
"Ragna Karlsen"|"Lundedalsvej 752
1128 Brøndby Strand"
"Henriette Lassen"|"Vanløse Bystræde 2
7939 Bolderslev"
"Steven Schultz-Andreasen"|"Sejrøgade 9
2874 Bandholm"
"Johan Bach"|"Østervej 454
1413 Erslev"
"Morten Mortensen"|"Enebærvej 60
1928 Bogense"
"Kenneth Jørgensen"|"Absalonsvej 15
6986 Vanløse"
"Britt Christiansen"|"Corkgade 7
3068 Jelling"
"René Jacobsen"|"Stadfeldtsvej 1
8599 Vedbæk"
"Stina Christoffersen"|"Arnesvej 436
5143 Bevtoft"
"Univ.Prof. Oscar Bech"|"Selinegade 711
5809 Haderslev"
"Fru Beth Andreasen"|"Ruthsstræde 6
3243 Morud"
"Hr Morten Mikkelsen"|"Toskiftegade 90
3655 Stakroge"
"Freddy Kristensen"|"Hannemannsvej 97
1404 Sejerø"
"Abelone Bruun"|"Apollogade 22
3761 Hadsund"
"Fru Filippa Madsen"|"Vesterbrostræde 5
5817 Fejø"
"Steve Christiansen"|"Nørretoftevej 32
7408 Store Merløse"
"Univ.Prof. Connie Petersen"|"Persillestræde 6
8380 Glejbjerg"
"Dr. Dina Søndergaard"|"Prisholmstræde 5
3319 Føllenslev"
"Stina Olsen-Skov"|"Gitterstræde 153
3399 Rynkeby"
"Prof. Yasmin Bach"|"Randbøl Allé 62
9817 Stensved"
"Katja Nielsen"|"Maggade 348
5844 Skodsborg"
"Boe Kristiansen-Schultz"|"Klosterrisvej 19
7122 Glostrup"
"Ziggy Jespersen"|"Amagerfælledvej 5
3163 Tistrup"
"Leif Holst"|"Dahlerups Allé 8
4004 Herfølge"
"Carina Rasmussen"|"Valgårdsstræde 462
4486 Tranbjerg J"
"Stig Mogensen"|"Havdrupvej 102
1256 Jystrup"
"Dr. Casper Jespersen"|"Klaipedagade 2
3292 Asnæs"
"Mia Simonsen"|"Dronningens Tværvej 200
3127 Nakskov"
"Stina Søndergaard"|"Marsalagade 5
8105 Hundested"
"Sys Nilsson-Kjær"|"Persillevej 4
1859 Kongens Lyngby"
"Liva Holst"|"Haralds Allé 3
8063 Bredebro"
"Carl Søndergaard"|"Sigbritsgade 172
8412 Ebberup"
"Richard Johansen-Schou"|"Limfjordsvej 873
3416 Helsinge"
"Thea Lund"|"Vangehusvej 5
6588 Struer"
"Dr. Aage Ravn"|"Engelstedsgade 4
6317 Lejre"
"Inger Kristiansen-Nissen"|"Nordregade 62
6560 Stenstrup"
"Maiken Dahl"|"Bellisgade 383
4310 Silkeborg"
"Univ.Prof. Marie Jessen"|"Teglholms Allé 5
6247 Bækmarksbro"
"Stine Laursen"|"Kærskiftegade 509
9896 Rømø"
"Dr. Ludvig Larsen"|"Signelilvej 44
5511 Lystrup"
"Anna Klausen"|"Nattergalevej 9
4557 Smørum"
"Bjarne Søndergaard"|"Stokhusstræde 6
4782 Skårup"
"Katrine Brandt"|"Hellelidenstræde 99
1985 Nørager"
"Univ.Prof. Troels Overgaard"|"Grønnemosevej 4
6810 Læsø"
"Valdemar Skov-Madsen"|"Hildursgade 53
7448 Ringsted"
"Dr. Ib Mogensen"|"Vigerslev Godsstræde 9
1917 Skamby"
"Johnny Madsen-Kristoffersen"|"Tigervej 203
5077 Ulstrup"
"Ofelia Skov"|"Bellisgade 606
1807 Vig"
"Sussanne Bruun"|"Husumgade 24
1549 Glostrup"
"Ingrid Simonsen"|"Østre Tegl Allé 199
9100 Gesten"
"Øystein Simonsen"|"Karensvej 281
9637 Hejls"
"Tonny Steffensen-Kjeldsen"|"Strandlodsvej 314
6091 Humlebæk"
"Prof. Olivia Andreasen"|"Valby Kirkevej 70
4140 Nyborg"
"Øjvind Clausen-Lassen"|"Vingårdvej 18
9963 Skibby"
"Esmarelda Schou"|"Heibergsgade 67
5512 Aalestrup"
"Georg Koch-Danielsen"|"Kongsdalgade 1
3061 Grindsted"
"Univ.Prof. Sandra Simonsen"|"Vestagervej 63
5843 Mørkøv"
"Sonny Vestergaard"|"P.D. Løvsgade 4
7616 Hvidovre"
"Sussanne Frandsen"|"Beatevej 29
4365 Skjern"
"Majken Jessen"|"Kvintusvej 3
6811 Kruså"
"Åbjørn Larsen"|"Korfugade 6
2456 Odense"
"Asta Schou"|"Folevadsvej 3
4805 Terndrup"
"Frede Bruun"|"Spøttrupgade 582
4015 Sæby"
"Kristine Berg"|"Tudskærvej 5
3382 Føvling"
"Gerda Frandsen"|"Kapselgade 75
1737 Sandved"
"Ronni Johansen"|"Brombærvej 5
4058 Ballerup"
"Dr. Marlene Bach"|"Bulbjergvej 85
2779 Munke Bjergby"
"Gundhild Koch-Hermansen"|"Store Kirke Allé 4
3556 Bælum"
"Sussanne Jespersen"|"Maltavej 24
8861 Ringe"
"Nick Petersen"|"Luftmarinevej 48
2886 Nørager"
"Åge Christensen"|"Lille Theklavej 817
6250 Langebæk"
"Jarl Steffensen"|"Sorgenfrigade 74
7585 Ringsted"
"Berit Christoffersen-Jacobsen"|"Alsvej 724
1538 Løsning"
"Victor Carlsen"|"Bellisvej 3
7258 Farum"
"Stig Jepsen-Berg"|"Jernbanestræde 851
7183 Karby"
"Justina Thorsen"|"Borthigs Allé 177
8559 Ulstrup"
"Nete Lauridsen"|"Sporemagergade 88
2577 Bogø By"
"Birthe Schmidt"|"Slotsherrensgade 7
5417 Vig"
"Sussanne Kristiansen"|"Mårumstræde 13
7235 Bække"
"Isabella Krogh"|"Løvgade 303
4200 Bredsten"
"Dan Olesen-Lauridsen"|"Mariehamnstræde 633
1656 Allingåbro"
"Hr Mads Thorsen"|"Baltikagade 43
3106 Græsted"
"Prof. Herman Bach"|"Mosedalstræde 74
7725 Tappernøje"
"Prof. Sara Holm"|"Åkande Allé 4
2784 Søborg"
"Julius Lauritsen"|"Søndrevej 126
8227 Ribe"
"Univ.Prof. Brian Jørgensen"|"Nannasgade 3
1107 Holbæk"
"Caroline Thomsen"|"Hammerensvej 334
8109 Virum"
"Prof. Kim Jeppesen"|"Vermundsvej 795
1452 Thyholm"
"Sussanne Lauridsen"|"Roskildestræde 3
7856 Oure"
"Univ.Prof. Vagn Lund"|"Lindholmsgade 85
2683 Glostrup"
"Prof. René Jacobsen"|"Schleppegrells Allé 86
5956 Slagelse"
"Ole Karlsen"|"Eskildstrupvej 2
1776 Gredstedbro"
"Heidi Schultz-Jakobsen"|"Hillerødmotorengade 282
3746 Hadsten"
"Sille Klausen"|"Børsgade 33
3333 Karrebæksminde"
"Fru Anette Madsen"|"Selevej 793
5867 Frederikssund"
"Tanja Schultz"|"Rysensteensgade 7
8988 Kerteminde"
"Sandra Johansen"|"Tustrupvej 3
7332 Blokhus"
"Prof. Sonny Clausen"|"Oldfuxvej 3
7997 Svebølle"
"Sussie Kristiansen"|"Karlslunde Allé 2
1297 Hårlev"
"Kåre Johnsen"|"Høgholt Allé 5
8654 Vorbasse"
"Mimi Nilsson"|"Spøttrupgade 3
8924 Svaneke"
"August Knudsen"|"Murervej 384
1999 Kongerslev"
"Trine Koch"|"Ballumgade 8
3063 Sporup"
"Jacobine Thomsen"|"Solskiftevej 3
5275 Klippinge"
"Hannah Nielsen"|"Radisestræde 3
8099 Ryomgård"
"Malou Jespersen"|"Solrødvej 8
7169 Vejle"
"Laura Svendsen"|"Strandagergade 9
9225 Asaa"
"Hannah Gregersen-Christensen"|"Rovsingsgade 35
5668 Rødby"
"Sussie Mathiasen"|"Sommerstedstræde 8
1128 Sjølund"
"Hr Ronni Henriksen"|"Etongade 6
3908 Dalmose"
"Annemette Bach"|"Sonnerupvej 26
8408 Lejre"
"Magnus Hansen"|"Bagergade 301
9871 Thorsø"
"Dr. Esmarelda Hansen"|"Rødkløverstræde 47
6300 Terndrup"
"Prof. Silje Toft"|"Markmandsvej 9
5455 Nykøbing M"
"Anton Svendsen"|"Murciagade 22
5291 Bælum"
"Marlene Eriksen"|"Travemündevej 3
4329 Glumsø"
"Dr. Tine Schmidt"|"Steenbergsgade 5
4792 Assens"
"Hr Marius Steffensen"|"Hellebækvej 2
7299 Mørke"
"Svenning Bach-Friis"|"Forbindelsesgade 62
4435 Tjele"
"Univ.Prof. Nina Schultz"|"Ceylongade 2
1096 Ballerup"
"Dr. Filippa Simonsen"|"Larsbjørnsgade 1
8789 Ikast"
"Uffe Mogensen-Johnsen"|"Glentevej 697
3852 Gistrup"
"Univ.Prof. George Rasmussen"|"Montagehalsstræde 4
7908 Lundby"
"Patrick Knudsen"|"Tornsangergade 8
2043 Hornsyld"
"Paula Skov-Frederiksen"|"Drejervej 497
9655 Silkeborg"
"Dr. Rita Bach"|"Smørumgade 4
4064 Dybvad"
"Ron Kjeldsen"|"Sundevedsgade 327
9670 Karise"
"Yan Dam"|"Solsikkevej 7
6864 Horbelev"
"Svenning Kjeldsen-Johansen"|"Kleinsgade 64
9311 Tørring"
"Hr Peter Larsen"|"Sorgenfrivej 99
8449 Lundby"
"Ingelise Lind"|"Herholdts Allé 3
7556 Solbjerg"
"Maria Carlsen-Holm"|"Stemannsvej 734
5401 Sjællands Odde"
"Prof. Inga Nielsen"|"Tullinsstræde 8
1008 Videbæk"
"Mark Møller"|"Ullerup Allé 2
7700 Bolderslev"
"Prof. Kenny Karlsen"|"Nærum Allé 4
3885 Præstø"
"Jacob Dahl"|"Blåmejsegade 7
6817 Klampenborg"
"Frederikke Møller"|"Nybogade 89
6910 Sejerø"
"Univ.Prof. William Lauridsen"|"Hellebækgade 3
4397 Kolind"
"Svenning Koch-Olesen"|"Verasgade 89
5026 Måløv"
"Ole Lauritsen"|"Dannebrogs Allé 6
3994 Sorring"
"Dr. Rosa Christoffersen"|"Vesterbrovej 5
8308 Liseleje"
"Julius Karlsen"|"Birkagerstræde 27
1277 Aars"
"Dr. Henrik Jakobsen"|"Sporemagergade 38
7831 Billum"
"Aksel Thomsen"|"Kanslervej 1
6632 Mørke"
"Uffe Iversen"|"Vesterbrovej 2
1070 Tim"
"Emil Jensen"|"Tryggevælde Allé 422
7001 Søborg"
"Univ.Prof. Jakob Andersen"|"Rosendalsvej 98
7030 Rønnede"
"Kristian Laursen"|"Lysefjordsstræde 9
4041 Stokkemarke"
"Sys Jacobsen"|"Ceylonvej 7
1279 Nørre Snede"
"Jan Jørgensen"|"Horsensvej 7
2041 Skårup"
"Sine Ravn-Møller"|"Dalmosegade 78
1838 Østbirk"
"Ester Brandt"|"Rådhusstræde 431
2004 Ribe"
"Nete Andresen"|"Veksø Allé 17
2667 Nørager"
"Rasmus Paulsen"|"Askøgade 413
6820 Nørre Snede"
"Sussanne Ravn"|"Bisiddergade 329
4706 Gistrup"
"Irma Toft"|"Knivholtgade 9
1313 Risskov"
"Vivian Winther"|"Beethovensstræde 343
6422 Sabro"
"Ronni Svendsen"|"Jægersprisstræde 444
8742 Strandby"
"Søren Bruun"|"Ålborgvej 4
1012 Hellebæk"
"Boe Dam"|"Landlyst Allé 478
4168 Jyderup"
"Prof. Line Kjær"|"Glentevej 8
4591 Jordrup"
"Sara Svendsen"|"Hovgaardsvej 927
4098 Kongens Lyngby"
"Berta Christensen"|"Fragtgade 89
5189 Struer"
"Dr. Stina Laursen"|"Englandsstræde 82
4866 Hundslund"
"Ragna Lauridsen"|"Rumæniensvej 51
9534 Vrå"
"Gunner Danielsen"|"Gilbjerggade 4
9085 Fakse"
"Viola Klausen"|"Lønstrup Allé 7
5353 Gesten"
"Andrea Mortensen"|"Ahrenkildesgade 1
5106 Sjølund"
"Søren Iversen-Mortensen"|"Bavnehøjgade 93
2315 Kirke Såby"
"Alvin Møller-Hansen"|"Ryes Allé 9
2555 Humlebæk"
"Nina Nissen"|"Lidemarksvej 69
8646 Ikast"
"Steven Kristiansen"|"Lavendelgade 1
4844 Vesløs"
"Dr. Amanda Lund"|"Gasværksgade 804
2988 Fjenneslev"
"Univ.Prof. Dennis Ravn"|"Isafjordsvej 5
3091 Hagersten"
"Lea Thorsen"|"Nordborggade 7
2670 Toreby"
"Prof. Helge Kjær"|"Jenastræde 2
1160 Bredsten"
"Dr. Bobby Nørgaard"|"Jyllingevej 97
8978 Vestbjerg"
"Gunnar Frederiksen-Nilsson"|"Wibrandtsstræde 8
1599 Bevtoft"
"Sørine Andersen"|"Bevtoftvej 544
1397 Oure"
"Ib Bertelsen"|"Gilbjergstræde 211
2158 Kibæk"
"Paula Christiansen"|"Nokken Fornvej 5
2868 Højslev"
"Hr Jakob Schou"|"Fiolgade 2
2572 Kværndrup"
"Joan Laursen-Nielsen"|"Viborgvej 725
6862 Bording"
"Birthe Hansen"|"Alstedvej 547
4929 Vonge"
"Maria Andresen-Andreasen"|"Vestbanestræde 196
7237 Hasselager"
"Olga Kjeldsen"|"Orlogsværftvej 23
5361 Rødkærsbro"
"Sine Christensen"|"Klubiensgade 22
1959 Rønne"
"Fru Alma Christensen"|"Spangbergsgade 35
7505 Balle"
"Sørine Christensen"|"Korinthvej 38
5584 Hinnerup"
"Per Jepsen"|"Palermogade 9
5342 Frederiksværk"
"Christine Christensen"|"Fussingsvej 351
8452 Skærbæk"
"Stefan Clausen-Nilsson"|"Stenrosevej 6
9614 Humlebæk"
"Malthe Larsen"|"Aggervej 81
2034 Ranum"
"Birgit Mogensen"|"Kongstedgade 8
6624 Skårup"
"Esmarelda Frederiksen"|"Viktoria Allé 893
2314 Skals"
"Maren Olsen"|"Rovsingsvej 42
5438 Rødby"
"Dr. Ole Svendsen"|"Sandbjergstræde 1
4629 Kjellerup"
"Tove Frandsen"|"Ryvangsgade 2
8372 Saltum"
"Sørine Dahl"|"Rosenørnsvej 26
8937 Tørring"
"Paulina Lind"|"Fjenneslevstræde 15
6335 Mesinge"
"Jørgen Karlsen"|"Trangravsvej 1
6694 Kongens Lyngby"
"Alexander Bruun"|"Katrinedalsvej 672
6072 Hejnsvig"
"Doris Karlsen"|"Skipper Clementsgade 238
5186 Skanderborg"
"Dr. Dennis Johnsen"|"Brivej 4
5100 Haderslev"
"Ørni Christiansen-Knudsen"|"Gammeltoftsvej 18
1779 Tinglev"
"Univ.Prof. Agnes Kristiansen"|"Sejrøvej 188
1170 Balle"
"Hr Nicklas Nilsson"|"Spangbergsgade 231
7963 Skærbæk"
"Univ.Prof. Herdis Nissen"|"Castbergs Allé 4
4793 Langebæk"
"Sørine Nielsen"|"Astrupvej 41
5825 Stenderup"
"Grethe Bruun"|"Langagergade 763
1445 Karby"
"Univ.Prof. Anton Nielsen"|"Bjergmarksvej 209
6445 Holbæk"
"Univ.Prof. Nora Bach"|"Slesvigsvej 495
9734 Gudbjerg"
"Dr. Øyvind Nissen"|"Oliebladsstræde 986
3899 Broager"
"Dr. Poul Hansen"|"Brøndumstræde 8
1611 Fårvang"
"Johannes Christiansen"|"Århusgade 3
1192 Hornslet"
"Alexander Andreasen"|"Limfjords Allé 30
6339 Boeslunde"
"Univ.Prof. Ingrid Kristoffersen"|"Knabrovej 738
1809 Hjørring"
"Elin Thygesen"|"Hyttehusgade 327
5022 Karlslunde"
"Søs Bech"|"Spinderigade 4
3295 Struer"
"Jan Lind"|"Børglumgade 111
4870 Toreby"
"Claus Olsen"|"Dunhammervej 859
5840 Mårslet"
"Patrick Nissen"|"Delfinvej 2
4253 Skælskør"
"Ziggy Jespersen"|"Valhøj Allé 6
6885 Fuglebjerg"
"Mogens Kjær"|"Vester Søstræde 118
7996 Grenaa"
"Paulina Thomsen"|"Bådsmandsvej 62
4044 Tranekær"
"Jacqueline Schultz"|"Stenrosegade 9
3471 Bagsværd"
"Alvin Jakobsen"|"Ærtebjergvej 5
1139 Brovst"
"Hr Sebastian Mogensen"|"Keldsøgade 27
8818 Kastrup"
"Søs Christoffersen-Danielsen"|"Rovsingsgade 5
4654 Fuglebjerg"
"Joachim Thorsen"|"Blåmunkegade 51
7249 Hørsholm"
"Dr. Lena Friis"|"Hovgaardsgade 75
5699 Føllenslev"
"Univ.Prof. Ragna Carlsen"|"Kjeldsgårdsgade 50
9861 Ans by"
"Nadia Mortensen"|"Fremadsvej 2
9218 Farsø"
"Dr. Selma Nilsson"|"Svankærgade 1
6310 Skodsborg"
"Jano Jespersen"|"Southamptonvej 663
7147 Hasle"
"Bettina Johnsen"|"Uffesgade 1
5108 Billund"
"Ernst Henriksen"|"Kløverbladsvej 5
5700 Lynge"
"Tonny Andersen-Holm"|"Iranvej 216
3627 Veksø Sjælland"
"Søs Kristiansen"|"Ebbe Rodesvej 5
6541 Dalmose"
"Prof. Sofia Larsen"|"Oldenborgvej 774
8185 Hjortshøj"
"James Mikkelsen"|"Istanbulstræde 151
5124 Ølstykke"
"Catrine Toft"|"Amsterdam Allé 5
4123 Gilleleje"
"Maiken Bruun"|"Valkyrievej 6
9329 Vissenbjerg"
"Fru Janne Brandt"|"Fredensborg Allé 2
9788 Hjortshøj"
"Johnnie Dahl"|"Bechgaardsgade 14
1500 Fuglebjerg"
"Dr. Anna Schmidt"|"Persillevej 19
3450 Marstal"
"Mimi Lauritsen-Mogensen"|"Haraldstedvej 386
9538 Ribe"
"Hr Jano Holst"|"Brohusgade 995
3128 Vejen"
"Søs Svendsen"|"Tuelandsvej 269
5442 Faaborg"
"Dan Krogh"|"Siamgade 825
1742 Løsning"
"Bettina Schou"|"Keplersgade 9
8456 Karby"
"Clara Jørgensen"|"Parosgade 18
2804 Blommenslyst"
"Fru Minna Toft"|"Sallinggade 83
4977 Brørup"
"Dr. Aksel Nørgaard"|"Købmagergade 24
6248 Egtved"
"Maren Olesen"|"Borthigs Allé 7
8249 Guldborg"
"Conny Friis"|"Skaffervej 652
5249 Øster Vrå"
"Frida Schmidt"|"Laplandsvej 12
1435 Hedensted"
"Hr Kim Andreasen"|"Ålstrupvej 7
7169 Hejls"
"Søs Thygesen-Gregersen"|"Farumvej 36
6675 Kalundborg"
"Hr Jan Mogensen"|"James Grievevej 461
8493 Harpelunde"
"Kasper Kjeldsen-Jespersen"|"Maltavej 16
6609 Asaa"
"Univ.Prof. Peder Toft"|"Carstensgade 518
7538 Herlufmagle"
"Mathias Dahl-Nørgaard"|"Herjedal Allé 491
5353 Gørløse"
"Noah Winther"|"Japanstræde 959
6457 Vorbasse"
"Prof. Dorte Olesen"|"Gearhalsgade 675
5989 Rønne"
"Mik Christoffersen"|"Irlandsgade 42
2919 Køge"
"Gundhild Klausen"|"Bogfinkevej 2
3392 Bylderup-Bov"
"Dr. Sille Hermansen"|"Birkestræde 83
9667 Fuglebjerg"
"Søs Winther-Iversen"|"Prøvestensstræde 1
9363 Humble"
"Palle Olesen"|"Hindustanvej 726
4662 Rødovre"
"Regitze Friis"|"Gimlesvej 963
9116 Nykøbing Sj"
"Fru Zara Lauritsen"|"Arendals Allé 182
5700 Egtved"
"Prof. Ragner Hansen"|"Sønderborggade 5
1080 Martofte"
"Maren Kristoffersen"|"Kronborgvej 86
8566 Ørum Djurs"
"Hr Stephan Friis"|"Willemoesvej 8
9903 Trustrup"
"Lona Bertelsen"|"Svankærvej 56
9164 Nørre Aaby"
