"ავთანდილ გაბელია"	"ლიხაურის ქ. 13, ახალციხე" 
"თამილა ალიევი"	"ბალანჩივაძე მელიტონის ქ. 41, მარნეული"
"ედუარდ კირკიტაძე"	"არმაზის ქ. 75, გორი"
"სოსო კახიძე"	"ხახანაშვილის ქ. 40, კასპი"
"ნაზიკო სულაბერიძე"	"ლიხის ქ. 56, ხონი"
"იოსებ ჩინჩალაძე"	"ერწოს ქ. 49, კასპი"
"თეონა ჯიქია"	"თრიალეთის ქ. 22, აბაშა"
"ნიკოლოზ ლატარია"	"ურბნისის ქ. 41, მარნეული"
"ლიზა თედორაძე"	"ხაზინის ქ. 60, სენაკი"
"უჩა ტალახაძე"	"ქედის ქ. 03, აბაშა"
"ემზარ ნუცუბიძე"	"ჯიქიას ქ. 96, ოზურგეთი"
"მაკა სარქისიანი"	"წუწხვატის ქ. 70, ბათუმი"
"იოსებ ანთაძე"	"ჩიქობავა არნოლდის ქ. 95, ქობულეთი"
"გელა ყიფშიძე"	"ჭაბუკიანი ვახტანგის ქ. 14, ახალი ათონი"
"ჯონი გიორგაძე"	"არსენალის ქ. 37, ონი"
"ზვიად დიასამიძე"	"შორაპნის ქ. 10, სამტრედია"
"გიგა ჯაფარიძე"	"ურბნისის ქ. 96, სამტრედია"
"ნიკოლოზ მაღლაკელიძე"	"საბაშვილის ქ. 69, ჭიათურა"
"ნაზი პაპიაშვილი"	"მარელისის ქ. 51, გურჯაანი"
"რუსუდან ფირცხალავა"	"ენუქიძის ქ. 89, გარდაბანი"
"ზაქარია შაინიძე"	"ჭავჭავაძე ზურაბის ქ. 31, ახმეტა"
"იური რამიშვილი"	"ცაბაძე გიორგის ქ. 37, წნორი"
"ფიქრია ნუცუბიძე"	"წიწამურის ქ. 89, გალი"
"ლიანა ოთარაშვილი"	"შურდულის ქ. 78, სენაკი"
"რეზო გეგეშიძე"	"კოლხეთის ქ. 49, ახალი ათონი"
"გენადი პეტროსიანი"	"ჭიჭინაძე ზაქარიას ქ. 24, ხონი"
"ვლადიმერ ღამბაშიძე"	"ნასაკირალის ქ. 02, ცაგერი"
"ნიკოლოზ ნიკოლაიშვილი"	"გედევანიშვილის ქ. 04, ქარელი"
"გულნარა დოლიძე"	"ანანურის ქ. 09, ცხინვალი"
"სალომე წულუკიძე"	"ეფრემ მცირის ქ. 25, ხობი"
"ია კირკიტაძე"	"ხოშარაულის ქ. 08, კასპი"
"მაყვალა სალუქვაძე"	"დგებუაძის ქ. 02, ახმეტა"
"ნესტან ღურწკაია"	"ლორთქიფანიძის ქ. 04, ბორჯომი"
"ნუგზარ ჯოჯუა"	"გამცემლიძე შოთას ქ. 91, სიღნაღი"
"თათია მანაგაძე"	"ხვიჩია იპოლიტეს ქ. 97, ბათუმი"
"ვალერი ალანია"	"ბეღლეთის ქ. 63, სიღნაღი"
"რატი ლოლაძე"	"გალავნის ქ. 68, ვალე"
"ნიკოლოზ პაპავა"	"წინანაურის ქ. 23, წალენჯიხა"
"რუსუდან თავაძე"	"დიდი ხეივნის ქ. 22, წნორი"
"თეიმურაზ ქარცივაძე"	"გოგაშენის ქ. 10, ახალციხე"
"ვალენტინა ცუცქირიძე"	"აწყურის ქ. 34, რუსთავი"
"ელენე ადამია"	"ჭოველიძე თამარის ქ. 70, ნინოწმინდა"
"ზვიად ქარჩავა"	"რიწის ქ. 98, საგარეჯო"
"მარინე ღლონტი"	"უშაკოვის ქ. 12, ახალქალაქი"
"ბიძინა მიქაბერიძე"	"ვასაძის ქ. 60, ჯვარი"
"გოგი დემეტრაშვილი"	"კობერიძის ქ. 96, წყალტუბო"
"ნარგიზა ბლიაძე"	"ონიაშვილის ქ. 51, ქობულეთი"
"ნიკოლოზ ფიცხელაური"	"ლაზოს ქ. 33, დმანისი"
"დიმიტრი ნოზაძე"	"იმედაშვილი გაიოზის ქ. 48, ხონი"
"თეა ბასილაძე"	"ჭაბუკიანი ვახტანგის ქ. 57, ლანჩხუთი"
"ჟუჟუნა კაციტაძე"	"გრიშაშვილის ქ. 59, ბაღდათი"
"გულნარა დავითაძე"	"ზუბალაშვილების ქ. 62, ჭიათურა"
"ჯონი ჭიჭინაძე"	"სტამბის ქ. 53, ონი"
"ვერიკო მეფარიშვილი"	"ნოსირის ქ. 79, ვანი"
"თეონა ლომიძე"	"ხევის ქ. 60, მარტვილი"
"ვაჟა ავალიანი"	"მარტყოფის ქ. 49, ზესტაფონი"
"ამირან ქევხიშვილი"	"ხევის ქ. 52, გაგრა"
"ნიკოლოზ ქარდავა"	"ალექსიძე მერაბის ქ. 98, ვალე"
